# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	ndh//dkgA//
NarL	aspA//ydcS//rhaD//entE//glpQ//pgaC//pdeL//fes//fadH//tyrA//nrdD//entB//rutC//hmp//trpC//mtlD//ascB//hcaC//iscS//aceB//phnG//aroH//sodA//chbG//
NarP	ahpF//bioB//deoB//narI//nirB//nrdB//guaB//ttdB//grxA//
NemR	araD//folA//
NhaR	aroF//malP//alkA//metE//glpA//
NikR	cysG//
NimR	recF//
NorR	rhaB//
NrdR	murD//yedX//rbsD//paaY//
NsrR	relA//aceB//hycE//lysC//argF//caiD//
NtrC	puuE//melA//folA//pgaB//uxuA//katG//ddlB//zwf//
OmpR	mhpE//napH//cadA//murF//ruvA//gpmA//paaC//ftsI//
OxyR	tnaA//glmS//mtlD//lsrF//glyA//gloA//pgaD//bglB//arsC//hemH//cysK//cysE//rhaD//
PaaX	paaZ//moaC//torA//atoA//entB//pdeR//pgk//entD//xylB//
PdeL	nagA//
PdhR	ttdA//napB//caiD//dmsC//araB//rhaA//edd//nanE//murD//tyrA//ynfE//paaI//argF//phnH//hcp//ldtD//srkA//cadA//udp//torC//lsrK//trpA//
PepA	caiC//phnJ//
PgrR	hcaC//sbcD//
PhoB	hycE//codA//tdcD//hyaC//ygeA//recD//rsmH//aceB//astE//waaZ//hyaA//mdh//ruvA//citG//gcvH//
PhoP	nrdB//accC//hycC//
PspF	alkB//
PurR	ftsI//truB//hycB//feaB//fdhF//nirD//garL//caiA//glpQ//rhaA//pspE//galK//
PutA	galE//dgkA//
PuuR	purA//astC//moaD//fadI//lpxC//rsmH//
QseB	
RbsR	purH//ulaF//fbaA//fabB//phnL//fabA//
RcdA	ulaF//
RclR	
RcnR	recB//
RcsAB	chbG//feaB//
RcsB	rutA//pspE//
RcsB-BglJ	paaJ//glpC//
RelB	hcaF//
RelB-RelE	zwf//
RhaR	
RhaS	glmU//nagB//argF//kbaZ//
Rob	gcvP//metC//alaS//nagB//
RstA	gcvT//
RutR	fumC//polA//kbaY//dapB//hycC//glcD//fumB//moaD//argB//nanE//
SdiA	
SgrR	entB//frdC//rsmH//
SlyA	umuD//hycB//nrfA//mhpC//gloA//garR//purH//tdcB//ftsI//
SoxR	tyrA//
SoxS	nemA//pgaB//edd//nirB//glyA//paaE//poxB//atoB//rhaD//cynT//epd//feaB//alkA//paaZ//glpC//mhpD//
StpA	ahpF//
SutR	waaZ//add//
TdcA	ahpC//torA//paaK//hycG//fabD//
TdcR	atoA//edd//katG//ychF//aroH//
TorR	nrdA//accC//fabG//galT//
TreR	puuA//melA//
TrpR	metE//alkA//recF//murF//argI//glpQ//rhaD//nirB//nanM//
TtdR	ftsI//lpxC//
TyrR	ftsI//fau//guaB//pdeR//moaA//ulaE//garK//argC//glxR//
UhpA	mhpF//
UlaR	purN//dmsC//murI//gcl//feaB//
UvrY	mhpE//hemL//
UxuR	purF//melA//yqjH//
XylR	narG//nirD//hcaD//
YdeO	fadD//trpA//glpQ//
YefM	argG//
YefM-YoeB	pgk//
YhaJ	
YjjQ	
YpdB	
YqhC	dmsC//purF//
YqjI	ribA//
ZntR	dkgA//
ZraR	
Zur	ttdB//
