# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	garL//cysG//
NtrC	trpD//metF//fes//luxS//kbaZ//hypF//gcvH//ung//
OmpR	rutC//polA//galT//rbsK//lpd//garK//bioF//garL//
OxyR	ssuE//lacA//rhaD//yedX//rbsK//rbsK//hcaC//polA//dkgA//frc//paaA//ldtD//ogt//
PaaX	mtlD//ssuD//pdeR//paaF//phoA//aceB//paaE//entC//ftsI//
PdeL	nemA//
PdhR	frc//mhpD//mhpE//astB//bioA//hyaB//pck//phnP//pgaC//araD//argC//srkA//hcaF//gltB//dmsB//lsrF//galE//wzb//ogt//hcaD//narH//adhE//
PepA	aceE//chbG//
PgrR	slt//nanK//
PhoB	dgcZ//nrdD//iscS//puuC//caiB//folA//dmsB//pdeR//citE//hycF//galT//argC//waaY//mhpF//uxuA//
PhoP	accD//chbG//frc//
PspF	fadH//
PurR	ribA//rutE//aldA//argI//paaG//rbsK//chbF//gltD//rbsK//ssuD//truB//ruvA//
PutA	gapA//alkB//
PuuR	nrdB//kbaY//glcE//atoA//entB//rimK//
QseB	
RbsR	umuC//nanE//accD//puuD//ada//entB//
RcdA	phnN//
RclR	
RcnR	fabI//
RcsAB	purH//ulaE//
RcsB	grxA//atoD//
RcsB-BglJ	fadE//torC//
RelB	alkB//
RelB-RelE	uxuB//
RhaR	
RhaS	puuD//yedX//fabD//fabA//
Rob	add//lacA//patD//patD//
RstA	purB//
RutR	paaJ//cadA//allA//yfdE//paaG//nrfC//tam//astC//ulaE//citE//
SdiA	
SgrR	nemA//astA//gltB//
SlyA	phnH//bioF//paaA//oxc//phnH//phnM//lysC//epd//ulaF//
SoxR	nanM//
SoxS	edd//narG//ndh//fbaA//accC//deoD//trpA//lpd//mngB//mraY//hycG//cyoE//ccp//nagB//aroF//frdA//
StpA	lpd//
SutR	trpC//trpB//
TdcA	garK//guaB//argC//gloA//gcvP//
TdcR	lacA//rimK//aceA//tnaA//pgk//
TorR	purH//ydcS//moaC//murE//
TreR	hycG//rutE//
TrpR	ddlB//mhpD//astE//hcaF//nrdE//aceA//tynA//argB//glpQ//
TtdR	puuD//cysE//
TyrR	rhaA//murF//fabI//yfdE//glpC//gpmA//hemL//bioD//gltB//
UhpA	folA//
UlaR	ung//puuC//sodA//pgk//hyaA//
UvrY	garK//napG//
UxuR	adiA//gcvT//citD//
XylR	murC//garR//feaB//
YdeO	luxS//yfdE//recD//
YefM	ulaD//
YefM-YoeB	entH//
YhaJ	
YjjQ	
YpdB	
YqhC	ldtD//napH//
YqjI	nrdB//
ZntR	sufS//
ZraR	
Zur	garL//
