# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	paaE//nagB//
GalS	frdB//chbG//ygeA//phnM//eno//
GcvA	ftnA//hcaB//melA//
GlcC	frdD//cysM//chbG//
GlpR	feaB//gadB//deoC//purD//ruvA//rbsD//nemA//
GlrR	
GntR	xylB//appA//hycC//glxR//nrdD//
HU	edd//ftsI//phnP//wzb//
HcaR	puuA//tauD//
HdfR	
HigA	ygeA//
HigB-HigA	lldD//
HipAB	lldD//napA//
HipB	metC//rnpB//ahpF//
HprR	nrdD//ulaG//
HypT	yedX//polB//
IclR	hcaB//entD//paaH//
IlvY	entD//
IscR	ldtD//recD//purD//argD//cysK//paaG//phnP//
KdgR	phnL//
KdpE	sbcD//
LacI	polA//mhpE//paaZ//
LeuO	iscS//fdhF//malY//
LexA	guaA//ddlB//add//epd//sodA//alkA//garK//metA//wrbA//
LldR	phnM//glmU//
LrhA	
LsrR	nrdB//umuC//gntK//glpB//nfsA//
MalI	ubiX//pflB//
MalT	tauD//napH//pfkA//glxR//
MarA	rbsK//mhpB//edd//arsC//puuD//fadI//puuD//ogt//phnN//iscS//lsrF//udp//
MarR	
MatA	galE//
MazE	rhaA//
MazE-MazF	ascB//
McbR	
MelR	ynfG//nrdF//
MetJ	fabA//add//paaZ//caiC//udp//
MetR	carB//fadE//fabI//
MhpR	ppiA//fadI//atoB//purF//fau//fau//
Mlc	ung//relA//caiA//
MlrA	rhaD//
MngR	paaH//paaF//
MntR	ogt//
ModE	carB//mhpF//hemH//ulaD//glyA//pgaC//garK//mhpA//gltD//murG//fabH//citX//glmS//uxuB//ulaG//
MprA	frdC//
MqsA	nanA//araD//
MraZ	argA//ruvA//ulaD//codA//codA//sodA//glnA//puuE//astB//nanK//
MurR	glcF//lsrF//atoA//
Nac	luxS//aceB//ung//phnP//
NadR	bioA//
NagC	rsmH//dmsC//paaK//umpH//waaZ//murI//cadA//fadJ//bglB//eda//hycG//ubiX//paaB//ldtC//
NanR	mhpE//rutA//argH//torC//purB//atoA//
NarL	epd//tauD//umuD//dkgA//hcaE//waaZ//ruvA//rutE//ubiX//phnJ//glcE//accD//patD//ygeA//nagA//hyaC//murG//ogt//glpB//rbsK//accA//nagB//rutB//aceA//
NarP	argB//adhE//rutE//ulaE//rhaA//malY//puuC//ygeA//putA//
NemR	purC//nanK//
NhaR	ruvB//cysG//slt//adiA//garR//
NikR	nrdB//
NimR	nanK//
NorR	gcvT//
NrdR	metC//nanM//ddlB//bioA//
NsrR	cysG//trpA//argA//araB//glmS//entD//
NtrC	bioD//cueO//moaA//araA//napG//ascB//fabI//malP//
OmpR	purM//aroH//lldD//atoA//fabH//tauD//napG//nfsA//
OxyR	appA//ilvC//ilvC//argD//ygeA//sufS//glxK//wrbA//gadB//hycB//gpmA//argE//glxK//
PaaX	carA//metC//ttdA//tyrA//aspA//rimK//aceA//rnpB//deoD//
PdeL	galE//
PdhR	glcD//luxS//torC//guaA//relA//umpH//pgaB//caiA//galM//aceB//frdA//epd//allB//argE//rbsK//gapA//uvrB//galM//tyrB//waaY//mhpD//mraY//
PepA	murF//malY//
PgrR	guaB//purD//
PhoB	murF//tdcG//glyA//chbG//nfsB//purB//mhpD//guaB//glmU//guaB//ogt//tdcD//galE//cyoE//mdh//
PhoP	fdhF//galM//slt//
PspF	glpB//
PurR	entH//umuD//cysM//argE//rutA//alkB//relA//aroF//cynS//mraY//gloA//napG//
PutA	moaC//dgkA//
PuuR	tdcG//hyi//phnL//nrdA//mazG//oxc//
QseB	
RbsR	paaE//adhE//pfkA//deoC//ssuD//entE//
RcdA	gadB//
RclR	
RcnR	garR//
RcsAB	fadH//hycB//
RcsB	ulaG//paaC//
RcsB-BglJ	hemL//pgaB//
RelB	zwf//
RelB-RelE	ogt//
RhaR	
RhaS	deoA//rutA//malP//gcvP//
Rob	glpQ//carA//deoB//napA//
RstA	melA//
RutR	nemA//napB//dapD//argI//gadA//lsrK//phnL//aceF//citX//nadB//
SdiA	
SgrR	purF//bioF//dkgA//
SlyA	narH//nfsB//aroL//yqhD//lsrF//fumB//epd//yedX//gdhA//
SoxR	rutB//
SoxS	folA//dgcC//yfdE//ldtD//nagA//entH//hypF//alkB//lldD//garL//caiA//dmsA//purM//araD//trpA//purF//
StpA	dkgA//
SutR	caiC//lpd//
TdcA	paaA//nanK//paaE//rimK//phnL//
TdcR	lacZ//ndh//paaK//citE//purN//
TorR	sufS//patD//polA//lldD//
TreR	fumB//rutD//
TrpR	moaD//tdcG//ung//citG//fabB//folA//aceE//entH//iscS//
TtdR	entF//fdhF//
TyrR	ada//purB//deoB//ogt//hypF//hmp//argB//cysE//gadB//
UhpA	moaA//
UlaR	pdeL//pgaB//guaB//ulaD//nfsA//
UvrY	eda//alkA//
UxuR	paaA//fau//aceA//
XylR	gcvT//eno//puuE//
YdeO	hyaB//mazG//pykF//
YefM	deoC//
YefM-YoeB	hmp//
YhaJ	
YjjQ	
YpdB	
YqhC	glcD//adhE//
YqjI	ynfG//
ZntR	argD//
ZraR	
Zur	pyrC//
