# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	glnA//hycG//
LeuO	mhpD//metC//ttdA//
LexA	entE//fadJ//guaA//aceE//deoD//carA//pck//dgcC//fabD//
LldR	adiA//poxB//
LrhA	
LsrR	sufS//rutB//gdhA//glcE//paaE//
MalI	nanK//pnp//
MalT	tdcG//recB//puuA//caiD//
MarA	gltB//glyA//chbG//aroF//hypF//malY//add//ssuE//mhpC//moaD//lsrK//rimK//
MarR	
MatA	nrdE//
MazE	nrdF//
MazE-MazF	rutD//
McbR	
MelR	napA//ftsI//
MetJ	glcF//ruvA//yqjH//nfsA//dmsA//
MetR	malQ//bioA//galM//
MhpR	purD//torC//cadA//nfsA//galT//cynT//
Mlc	umpH//bioD//dgcZ//
MlrA	purB//
MngR	entD//pgaC//
MntR	ruvA//
ModE	frdC//pgaC//pspE//lldD//puuE//uxuA//ftnA//ftnA//lacA//pdeR//lysA//rnpB//murQ//eno//pykF//
MprA	poxB//
MqsA	glpC//argI//
MraZ	metA//mhpD//fes//ada//folE//aroF//ddlB//cyoE//torA//hcaE//
MurR	malP//caiD//astE//
Nac	cysE//citF//phnH//phnL//
NadR	gltD//
NagC	pfkA//nfsB//paaK//bioF//aceA//purC//cysM//ulaF//fadJ//ynfG//umuC//recD//allA//hyaB//
NanR	lpxC//cueO//lacA//udp//bioD//bioD//
NarL	rimK//fadD//araA//nrdF//araD//mtlD//nrdE//lacZ//paaY//nanM//murQ//ygeA//ruvA//paaK//bioF//paaH//argE//udp//deoC//purD//aceE//aceA//paaB//glpB//
NarP	murF//nagA//ynfG//dkgA//dapD//malY//recD//nanK//hycB//
NemR	glpC//ogt//
NhaR	galM//garL//nanK//ugpQ//purN//
NikR	wzb//
NimR	polB//
NorR	gltD//
NrdR	ppsA//mhpD//hycB//paaH//
NsrR	hypF//phoA//gpmA//purH//allB//paaB//
NtrC	galT//galK//torA//yedX//umpH//araB//argH//paaJ//
OmpR	argA//narI//entF//aceF//tnaA//glcB//rsmH//citF//
OxyR	cynS//purH//dgcZ//fabH//argD//gltB//cynS//oxc//polB//dapD//eno//glpK//glxK//
PaaX	trpE//dmsA//pdeL//entB//citD//patD//treC//mdh//dmsC//
PdeL	fadI//
PdhR	accA//hmp//lldD//gdhA//nrdA//nfsB//entC//paaG//rhaD//oxc//allB//entC//puuC//pgk//ahpF//ynfG//purF//deoD//cadA//moaE//mhpC//fdhF//
PepA	argF//malP//
PgrR	gadB//ahpF//
PhoB	astB//ynfF//mhpC//galK//fadI//melA//dapB//argD//fabG//trpE//grxA//umuC//chbF//cyoE//galT//
PhoP	yqjH//pflB//trpB//
PspF	argI//
PurR	alkB//ppiA//paaB//ulaD//gcvH//recB//recD//moaD//yqjH//umpH//araB//cynT//
PutA	nadB//ung//
PuuR	chbF//malY//entF//dgkA//pgk//argB//
QseB	
RbsR	ssuE//narH//murI//rutD//hcp//tdcG//
RcdA	glpX//
RclR	
RcnR	ydcS//
RcsAB	waaY//xylA//
RcsB	umuD//lldD//
RcsB-BglJ	puuB//paaZ//
RelB	dkgA//
RelB-RelE	mhpE//
RhaR	
RhaS	gcvH//aroL//astD//argC//
Rob	moaD//gcvH//sodA//mngB//
RstA	murG//
RutR	fes//accA//gltD//bioF//wrbA//wzb//glpC//cdd//moaE//ddlB//
SdiA	
SgrR	mdh//trpD//umuD//
SlyA	bioD//fabH//trpE//hyaA//puuA//katG//hcp//tynA//gloA//
SoxR	fabD//
SoxS	rnpB//galM//ulaD//eno//citX//lysC//paaH//argF//cdd//cueO//purH//phoA//hcp//nanK//xylA//argA//
StpA	fumB//
SutR	hcaD//araD//
TdcA	deoC//gloA//gltD//argG//bioA//
TdcR	epd//melA//paaK//rutD//entE//
TorR	aceE//accA//caiA//pdeR//
TreR	dgcZ//wzb//
TrpR	hcaF//srkA//hcp//hycG//acnA//cyoE//nirB//fadD//ccp//
TtdR	ulaG//caiD//
TyrR	rutE//murQ//gadA//fdhF//frdA//appA//napG//bioF//glxR//
UhpA	napH//
UlaR	aroG//rutD//moaC//cyoE//rhaD//
UvrY	edd//argA//
UxuR	tdcG//metF//recB//
XylR	malP//lsrK//gntK//
YdeO	purN//gpmA//purM//
YefM	fadD//
YefM-YoeB	narG//
YhaJ	
YjjQ	
YpdB	
YqhC	nrdB//cysG//
YqjI	wrbA//
ZntR	hcp//
ZraR	
Zur	hyi//
