# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	dgcZ//torA//
Rob	phnJ//trpB//gltB//srkA//
RstA	gadA//
RutR	chbG//ulaG//pfkA//gcl//pgaC//moaC//lysA//ycjG//slt//lpd//
SdiA	
SgrR	bioB//relA//ldtD//
SlyA	pck//sbcC//cadA//narG//nagB//oxc//aceE//paaH//rimK//
SoxR	citG//
SoxS	oxc//putA//codA//glyA//phnH//aceB//pdeL//nagA//atoB//gapA//fabI//paaE//kbaZ//paaI//purM//pgk//
StpA	glmS//
SutR	argH//ftsI//
TdcA	wzb//atoB//narG//gadB//mhpA//
TdcR	argD//argI//torA//caiD//nanK//
TorR	ppsA//mraY//sodA//puuA//
TreR	mpaA//tdcD//
TrpR	phnI//pck//metC//pykF//dgcC//murE//iscS//paaZ//rsmH//
TtdR	rsmH//paaG//
TyrR	moaD//aroH//argI//truB//lldD//ascB//glpA//pykF//rutA//
UhpA	ilvC//
UlaR	hyaA//rbsK//fadE//lysC//tynA//
UvrY	treC//umuD//
UxuR	fadE//paaJ//puuD//
XylR	folE//rutE//ycjG//
YdeO	bioD//mngB//frc//
YefM	hcaE//
YefM-YoeB	caiD//
YhaJ	
YjjQ	
YpdB	
YqhC	murI//murC//
YqjI	frdC//
ZntR	wzc//
ZraR	
Zur	adhE//
