# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	cdd//ttdA//
Fur_neg	metB//cysI//malQ//entC//atoB//glgA//fucI//idnD//argH//tauD//fabH//gntK//guaB//rutE//ruvA//malZ//gcvP//dmsB//feaB//ttdB//lsrG//citG//srlD//chbF//nanK//lysC//gcl//metA//phnG//purA//bioC//dkgB//tdcD//sodB//lldD//ulaE//rsmH//rffH//yfdE//metC//hycG//glgB//ruvA//galM//ulaG//ahpC//pheT//pykF//pdeL//pgi//cueO//trpB//wzc//gadA//
Fur_pos	adiA//fbaB//idnO//ulaF//eda//mhpC//ada//pspE//trpA//araB//fau//accD//yfdE//folA//fabB//entC//hyi//
GadE-RcsB_pos	astE//citX//gatZ//guaB//
GadE_pos	add//allE//glmS//dhaL//ycjG//frdC//fabA//sucC//pgaB//fumB//
GadW_neg	ugpQ//pepD//hcaB//
GadW_pos	ulaG//sodB//frdC//fabH//
GadX_neg	araA//ycjG//
GadX_pos	waaZ//psd//yeaE//cueO//glgC//alsE//chbF//ulaE//pnp//amn//
GalR_neg	acnA//ndh//mngB//purF//hmp//fabB//
GalR_pos	cysE//fabH//accD//paaY//
GalS_neg	fes//acnB//torC//tadA//alkA//hcaE//
GalS_pos	glcB//ynfG//nrdB//fumC//
GatR_neg	pykF//glpA//trpE//
GcvA_neg	rimK//ndh//frdD//
GcvA_pos	lyxK//fbaB//galT//
GlcC_neg	
GlcC_pos	dsdA//citX//trpC//
GlpR_neg	pflB//rutC//argH//relA//glxK//waaY//mpaA//
GlrR_pos	
GntR_neg	rutA//caiA//gabD//cysJ//rffG//ychF//katE//lacA//bioC//
GutM_pos	fbaA//ribA//mazG//
GutR_neg	dmsB//serA//kbaZ//
HU_neg	metF//phnG//lysA//purB//hyaC//lpxA//cueO//
HU_pos	
HcaR_neg	
HcaR_pos	cysM//rffH//
HdfR_neg	
HdfR_pos	
HigA_neg	dkgA//
HigB-HigA_neg	allB//
HipAB_neg	fruK//prpD//
HipB_neg	purE//aldA//sgbH//
HyfR_pos	sucA//
HypT_neg	hycG//ynfG//
HypT_pos	fumC//rutC//slt//lysC//gatD//
IclR_neg	entE//pyrC//deoD//
IdnR_neg	glgC//mraY//
IdnR_pos	cueO//treC//hycF//uxaB//
IlvY_neg	
IlvY_pos	cysM//
IscR_neg	pykF//uxaC//ssuE//narG//
IscR_pos	pyrC//speA//
KdgR_neg	idnO//xylB//
KdpE_pos	nirB//
LacI_neg	ldtC//mhpA//galE//
LeuO_neg	
LeuO_pos	truB//metK//pgm//prpC//chbG//nrfA//
LexA_neg	yfbR//pdeH//hypF//recF//accD//ppsA//lsrF//hyaB//ynfF//poxB//glk//purM//narI//idnK//leuD//allD//bioD//nagB//cysH//deoC//mazG//
LldR_neg	sgbU//hcp//
LldR_pos	alaS//folA//
LrhA_neg	
LrhA_pos	
LsrR_neg	cysH//alaS//araD//nrdF//ycjG//
LysR_neg	
LysR_pos	ttdB//
MalI_neg	fucA//caiA//
MalT_pos	entA//bacA//paaZ//glxR//yeaG//xapA//
MarA_neg	gor//
MarA_pos	talA//trpC//puuE//garK//trpC//glk//malZ//gnd//citE//paaF//lyxK//tauD//nrfD//fabI//carA//wzc//adhE//treC//umuC//fumC//nrdA//appA//
MarR_neg	
MatA_neg	rffM//
MatA_pos	
MazE-MazF_neg	hcaF//
MazE_neg	gadB//
McbR_neg	
McbR_pos	
MelR_neg	dmsA//carB//
MelR_pos	argA//alaS//
MetJ_neg	mazG//torC//purE//nrdA//mazG//allC//galE//hycB//trpD//uxuB//
MetR_neg	napG//
MetR_pos	tdcG//hycE//aceE//pncB//
MhpR_pos	pdeH//malQ//purN//gatZ//hyaC//glxK//
Mlc_neg	dapD//leuD//cueO//citC//
MlrA_pos	rbsD//
MngR_neg	hypF//fucO//
MntR_neg	waaY//
MntR_pos	torA//
ModE_neg	chbG//lysC//tadA//ndh//ycjG//glnA//ahpF//psd//
ModE_pos	caiA//gatZ//ulaF//cysH//paaY//cynT//
MprA_neg	edd//bglB//yeaG//
MqsA_neg	ulaG//speB//
MraZ_neg	trpB//rffC//paaC//putA//ynfF//murG//alaS//ddlB//rffT//fau//pnp//
MtlR_neg	lysA//mazG//idnD//
MurR_neg	fdhF//paaF//napB//
MurR_pos	
Nac_neg	alkA//pepD//xylA//
Nac_pos	metB//phoA//uxuA//argG//metH//fadB//nrfD//
NadR_neg	hcaF//tnaA//rpiB//rhaB//
NagC_neg	tam//fucO//epd//lysC//entH//frdD//cadA//aceF//paaC//trpD//aceF//caiB//acnB//luxS//ugpQ//ppc//dhaM//ssuD//
NagC_pos	polB//lysA//
NanR_neg	gnd//prpD//tehB//rffH//caiA//sucC//
NanR_pos	
NarL_neg	cysM//kbaY//udp//dapB//ftnA//pgaD//fucA//pgpC//tyrB//pheS//pgm//leuB//polB//xylB//gloA//ftsI//pnp//moaD//xapA//lsrK//pfkA//citF//epd//bioD//
NarL_pos	lhgO//aroF//fabZ//phnO//cysE//rhaB//glpB//truB//paaH//gatY//rhaB//sdhA//wecB//
NarP_neg	dacC//trpD//bioA//
NarP_pos	zwf//hmp//xapA//glcF//deoA//cdd//phoA//alsE//gutQ//wzb//
NemR_neg	ascB//prpC//
NhaR_pos	yeaG//purD//murI//uxuA//iscS//
NikR_neg	nfsA//
NimR_neg	ftnA//
NorR_neg	
NorR_pos	ulaF//
NrdR_neg	fadD//mnmG//fabG//pgpC//
NsrR_neg	acnA//folA//metL//ulaE//ubiX//pykF//paaY//uxaC//glcE//umuC//fucI//ppiA//bglB//fes//rsmH//pgi//ynfF//lacA//fucK//ynfG//leuB//gutQ//acnB//gutQ//kbaY//napC//trpD//araB//atoB//paaG//araA//malQ//ssuD//gadB//murC//argI//
NtrC_neg	pdeH//folA//
NtrC_pos	alkB//rpiB//mngB//rimK//nfsA//hcaD//fucA//cysC//nfsA//pheT//cysI//argA//nrdE//pdeL//citG//moeA//gutQ//fadM//ftsI//caiC//aroH//
OmpR_neg	chbG//ulaG//mraY//glgA//murQ//
OmpR_pos	ppiA//ldtB//sodB//luxS//
OxyR_neg	gpmA//glpX//citC//fabI//thrS//
OxyR_pos	narI//alsE//deoD//fumC//atoB//rffT//guaB//mhpD//napA//
PaaX_neg	hcaC//rdoA//ubiC//nrdB//garD//nrfA//pheT//uvrA//malZ//
PdeL_pos	eno//
PdhR_neg	psd//bacA//paaA//katE//aroF//cysI//hmp//pgm//glcB//frdA//cysC//araA//astB//allA//aroF//galK//nrdF//argH//lsrG//pgpC//hcaD//metC//gpmM//mhpC//
PdhR_pos	acnA//slt//
PepA_neg	nirB//malZ//
PgrR_neg	cysM//alkB//
PhoB_neg	ugpQ//ubiA//fbaA//fadJ//
PhoB_pos	lsrK//asnB//galE//tdcD//glgB//paaJ//katE//purD//fbaB//cynT//pgaB//sgbH//dhaM//alaC//mhpC//gpmA//
PhoP_neg	feaB//gcvH//paaE//
PhoP_pos	nrdD//sdhD//citG//lpxC//dgcZ//rnpB//gudD//gadA//cysI//murF//pnp//gatZ//sdhA//fadH//nfsB//gpmM//napA//allB//pspE//slt//hcaE//glk//serA//yqjH//entB//cysN//citD//metB//moeB//astE//nirD//rsmH//
PrpR_neg	
PrpR_pos	lpxD//asnA//dacC//nrfC//
PspF_neg	
PspF_pos	citF//
PurR_neg	mhpC//tktB//phoA//fabB//bioC//cdd//fumB//ycjG//nrfB//pyrD//ada//nirD//glnA//nanK//sucD//ung//leuD//fabG//ulaD//purE//phnJ//gcvP//thrS//umpH//glcD//lhgO//
PutA_neg	zwf//iscS//
PuuR_neg	allB//poxB//adhE//murQ//citD//aspA//
QseB_pos	
RbsR_neg	hyaC//uxuA//guaB//mraY//pdeR//
RbsR_pos	iscS//
RcdA_neg	
RcdA_pos	slt//
RclR_pos	
RcnR_neg	nadA//
RcsAB_neg	gabD//
RcsAB_pos	appA//entE//
RcsB-BglJ_pos	tehB//ybjG//
RcsB_neg	ychF//
RcsB_pos	frdB//pspE//entD//
RelB-RelE_neg	udp//
RelB_neg	malP//
RhaR_pos	
RhaS_pos	trpE//thrS//sdhC//fumC//
Rob_neg	
Rob_pos	appA//metC//rhaD//chbF//ynfF//fucK//melA//fbaB//rutC//hcaE//chbF//patD//umuC//paaH//phnN//cdd//alkA//dhaL//nirB//
RstA_neg	garR//fucO//
RstA_pos	uxaC//
RtcR_pos	pgaB//fucU//
RutR_neg	frdC//pspE//citF//lpd//phoA//citD//citD//hycC//umpH//purC//
RutR_pos	caiA//
SdiA_neg	
SdiA_pos	
SgrR_neg	dapB//
SgrR_pos	fucO//allE//
SlyA_pos	
SoxR_neg	
SoxR_pos	ubiA//
SoxS_neg	
SoxS_pos	hycC//mazG//guaB//ddlB//psd//araA//fabB//bioD//gntK//oxc//nfsB//atoB//dkgB//gudD//pepD//napH//nemA//tdcG//ssuE//putA//fabG//serA//feaB//dinB//moaA//acnB//
StpA_neg	pdeH//umuD//paaG//
SutR_neg	mhpC//dhaL//
SutR_pos	
TdcA_pos	bioF//ogt//entH//ribA//rhaA//
TdcR_pos	nrdF//talA//rutC//fadI//yqjH//
TorR_neg	fdhF//
TorR_pos	appA//entD//tnaA//
TreR_neg	cysJ//hcaD//
TrpR_neg	hmp//garD//trpA//lpd//gadB//sodA//cueO//rutE//glpA//
TyrR_neg	napB//tdcB//sucC//murD//gadA//gltB//iscS//
TyrR_pos	frdA//moaD//trpA//
UhpA_pos	puuA//
UidR_neg	ribA//malS//
UlaR_neg	ilvC//patA//mhpA//cynS//cysM//
UvrY_pos	pheS//frdC//
UxuR_neg	metA//rutE//cysI//accB//fdhF//
XapR_pos	ynfH//nanA//
XylR_neg	
XylR_pos	nrfC//torC//nrfA//
YdeO_neg	
YdeO_pos	wecC//ldtB//ahpF//
YedW_neg	yeaE//tyrB//
YedW_pos	speB//
YefM-YoeB_neg	argH//
YefM_neg	hyaB//
YehT_pos	
YeiL_pos	
YiaJ_neg	sdhA//alkA//ynfG//adhE//ybaS//dmsA//
YjjQ_neg	araD//
YpdB_pos	
YqhC_pos	ssuE//ychF//
YqjI_neg	guaB//
ZntR_pos	cysD//
ZraR_pos	
Zur_neg	pgk//
