# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	nrfD//bacA//
FeaR_pos	acnA//paaB//
FhlA_pos	ddlB//aceB//sgbE//caiA//sufS//glcF//dgcZ//
FlhDC_neg	caiB//fumC//
FlhDC_pos	mhpC//hcaF//tdcG//waaY//mhpE//ppc//murC//yibQ//mhpB//
FliZ_neg	aroH//uxaA//ldtD//rutD//hmp//
FucR_pos	torC//gcl//dmsC//frc//cdd//pgaD//
Fur_neg	xylB//rnpB//dmsB//sufS//metK//folA//galM//purF//prpB//galE//cynT//patD//polB//narI//astD//malP//fadM//mpl//argI//yiaK//pnp//rsmH//nrfC//cynS//pepD//nrfC//moaD//ada//sodB//dapB//metA//phnJ//frdB//fau//sgbU//araA//hcaC//pheS//rbsK//nrfD//uidA//mraY//metC//pykF//ynfF//rhaB//nanK//ubiX//cysH//yiaK//cysD//ppsA//nadA//idnO//
Fur_pos	phnN//tynA//hcaE//moeA//glpA//deoA//nirD//dacC//pdeR//caiC//citD//aroF//nadB//pyrD//atoB//glpC//prpC//
GadE-RcsB_pos	gpmA//dgcC//tdcB//nadA//
GadE_pos	katE//fabH//pykF//rdoA//slt//glxK//malY//murC//fabA//eno//
GadW_neg	gltB//murC//gnd//
GadW_pos	fumB//paaY//glpD//nadA//
GadX_neg	idnK//frdA//
GadX_pos	mltF//mhpC//lldD//xapA//ldtB//cadA//rhaB//treC//sucB//mnmG//
GalR_neg	nrdB//feaB//rffH//mnmG//gnd//dkgA//
GalR_pos	ugpQ//cysG//trpE//puuC//
GalS_neg	nrdB//hycB//ybaS//xylA//lsrF//idnK//
GalS_pos	argI//bioD//astD//moeA//
GatR_neg	cysH//metK//pyrD//
GcvA_neg	trpE//hmp//sdhB//
GcvA_pos	nrfA//fumC//rdoA//
GlcC_neg	
GlcC_pos	torC//argD//cynS//
GlpR_neg	kbaY//accB//accA//cadA//allC//garL//narH//
GlrR_pos	
GntR_neg	hcaE//deoB//psd//glpQ//entB//alkB//allA//napC//hycG//
GutM_pos	speA//trpE//moeB//
GutR_neg	dhaL//tadA//gcvT//
HU_neg	ulaD//ddlB//leuD//trpD//gltD//narH//cysH//
HU_pos	
HcaR_neg	
HcaR_pos	eda//bioB//
HdfR_neg	
HdfR_pos	
HigA_neg	murQ//
HigB-HigA_neg	folE//
HipAB_neg	nagA//glpX//
HipB_neg	phnI//hcaD//fbaB//
HyfR_pos	atoA//
HypT_neg	paaH//lsrG//
HypT_pos	astC//sucA//ascB//leuB//deoD//
IclR_neg	garR//citD//hemL//
IdnR_neg	entH//codA//
IdnR_pos	metH//pykF//aceA//rutC//
IlvY_neg	
IlvY_pos	nrfC//
IscR_neg	aspA//chbG//astD//slt//
IscR_pos	hyaB//bioB//
KdgR_neg	asnB//metH//
KdpE_pos	citX//
LacI_neg	ahpF//ampC//dmsA//
LeuO_neg	
LeuO_pos	napA//gudD//metH//nrfA//ulaG//ubiA//
LexA_neg	pheT//tpiA//hycG//tehB//pheS//uxaB//luxS//pykF//glpK//hycG//carB//hycC//leuC//murD//deoD//metH//ahpC//phnO//glxK//paaY//astD//
LldR_neg	lysC//ascB//
LldR_pos	sodB//dhaL//
LrhA_neg	
LrhA_pos	
LsrR_neg	cysC//umpH//pnp//betB//galE//
LysR_neg	
LysR_pos	nrdE//
MalI_neg	ugpQ//pdeL//
MalT_pos	nanK//asnA//ugpQ//metA//mnmG//pheS//
MarA_neg	udp//
MarA_pos	fabA//aspC//appA//cysI//hyaA//waaH//pdeH//gpmM//ribA//rhaD//ynfF//leuD//ascB//trpB//rbsD//metH//lpd//ftnA//malQ//sodA//glxK//glpC//
MarR_neg	
MatA_neg	yfbR//
MatA_pos	
MazE-MazF_neg	glpK//
MazE_neg	hycD//
McbR_neg	
McbR_pos	
MelR_neg	wrbA//appA//
MelR_pos	aroG//betB//
MetJ_neg	dacC//napG//carA//argD//ruvA//nrfA//sdhA//wecC//cynS//galK//
MetR_neg	oxc//
MetR_pos	ruvA//glgA//phnL//glxR//
MhpR_pos	hcaE//nrfA//napH//fabB//rfe//nfsA//
Mlc_neg	waaY//nadA//yibQ//frdD//
MlrA_pos	tdcD//
MngR_neg	hcp//murI//
MntR_neg	torA//
MntR_pos	pagP//
ModE_neg	dinB//nirD//mpl//entF//rbsK//glgB//feaB//dmsA//
ModE_pos	prpE//ppc//paaG//cysI//tynA//ycjG//
MprA_neg	nrfA//bacA//fadD//
MqsA_neg	chbG//nirD//
MraZ_neg	torA//feaB//ruvA//fucK//ybaS//murI//lhgO//mltF//xylA//pncB//paaF//
MtlR_neg	hyaA//fabZ//sdhA//
MurR_neg	deoB//glnA//astA//
MurR_pos	
Nac_neg	metC//glyA//fbaA//
Nac_pos	garK//prs//astD//puuB//rutD//fabH//ubiA//
NadR_neg	lpxD//fucO//gutQ//umuC//
NagC_neg	pykF//cysH//gltD//hycB//serA//purA//narI//argH//uxaB//fucO//citC//hycE//purD//polA//accA//fadD//ftnA//citD//
NagC_pos	ynfF//glyA//
NanR_neg	trpB//purF//nanM//purK//uxaC//prpE//
NanR_pos	
NarL_neg	ndh//glpD//glxK//eno//mtlD//phnP//lsrK//fabA//malP//dinB//galT//idnK//bioA//puuD//fdhF//ung//malP//nrfC//accA//yqjH//gor//arsC//cysG//putA//
NarL_pos	bioA//gabD//ldtB//hcaB//gapA//pgaB//tdcB//allB//zwf//tnaA//chbF//nrfA//dmsB//
NarP_neg	uvrC//codA//frc//
NarP_pos	eno//oxc//napA//trpD//ogt//phnH//nfsB//glmS//allE//caiC//
NemR_neg	paaE//purD//
NhaR_pos	waaY//hcaC//sucD//lacZ//mhpD//
NikR_neg	mnmG//
NimR_neg	ddlB//
NorR_neg	
NorR_pos	luxS//
NrdR_neg	purK//recF//relA//ldtB//
NsrR_neg	ubiC//nrdE//truB//ulaE//purF//acnB//mhpA//moaE//fadJ//tynA//folE//cadA//sdhA//ybaS//nrdA//paaF//uxaC//fdhF//hcaE//asnA//pgk//alsE//fabZ//phnH//hycC//garL//frdD//lsrF//ftnA//pgi//pykF//xapA//cysJ//yeaE//nrdE//ilvC//
NtrC_neg	xapA//pyrD//
NtrC_pos	tdcB//glpX//accB//serA//ldtD//yeaG//fabD//aroG//yeaE//phnN//nanE//aceA//ampC//tehB//phnL//fucK//prpD//ung//glpD//sdhA//bioC//
OmpR_neg	entC//poxB//cadA//uvrA//moaD//
OmpR_pos	paaC//guaA//ogt//purA//
OxyR_neg	glcE//tadA//sufS//pgk//metE//
OxyR_pos	lsrF//ulaE//wecB//mhpC//acnB//aldA//bglB//acnB//citE//
PaaX_neg	nrdF//nrfC//araA//paaF//fadB//uvrC//mtlD//add//lysA//
PdeL_pos	napH//
PdhR_neg	ybaS//melA//lsrG//ldtD//lpxA//fadH//citD//mhpB//lysC//mngB//paaB//ada//gadA//lpd//bioA//aceE//glmS//ynfE//fabA//tdcG//glcE//lldD//ssuE//katG//
PdhR_pos	gntK//pdeL//
PepA_neg	metH//tynA//
PgrR_neg	katG//phnI//
PhoB_neg	aceF//ynfH//ampC//dkgB//
PhoB_pos	ulaE//cysH//feaB//sodB//cysM//phnJ//ascB//wrbA//ruvB//fadA//sucB//xylB//glmU//murC//cysD//aroL//
PhoP_neg	caiB//metB//allD//
PhoP_pos	metC//relA//recF//fabB//mhpE//acnA//uxaB//caiC//lyxK//tyrB//fdhF//aceA//ynfH//araA//nanK//tauD//glk//glpQ//deoC//adiA//nfsA//accD//gnd//aroF//acnB//napH//nfsA//carB//metK//cysK//rhaD//allD//
PrpR_neg	
PrpR_pos	ndh//fadE//idnK//slt//
PspF_neg	
PspF_pos	frdC//
PurR_neg	astC//sgbH//nadA//sgbH//accB//fucK//bioF//dhaK//rutE//pdeR//napB//pgaD//dhaK//dhaK//glcE//purH//hcaF//fucI//nrdB//ampC//accA//tynA//allD//torC//cueO//pepD//
PutA_neg	puuB//umuD//
PuuR_neg	argI//mdh//glmS//cysD//pykF//aceA//
QseB_pos	
RbsR_neg	murI//aspC//nadA//rutE//nrfA//
RbsR_pos	psd//
RcdA_neg	
RcdA_pos	hyaC//
RclR_pos	
RcnR_neg	fabI//
RcsAB_neg	yeaG//
RcsAB_pos	lysA//deoA//
RcsB-BglJ_pos	nemA//fabH//
RcsB_neg	rffH//
RcsB_pos	rimK//paaF//astD//
RelB-RelE_neg	rutD//
RelB_neg	murF//
RhaR_pos	
RhaS_pos	slt//gatZ//puuC//sodB//
Rob_neg	
Rob_pos	pgaD//nanM//argB//ybjG//nrfB//paaG//dgcC//fabB//yqhD//paaC//sgbE//ynfF//allE//glcB//argC//slt//adiA//pgk//paaY//
RstA_neg	codA//frdC//
RstA_pos	napG//
RtcR_pos	puuB//gutQ//
RutR_neg	ldtC//dinB//tam//rhaA//acnB//ppiA//xapA//aspC//phoA//caiC//
RutR_pos	metL//
SdiA_neg	
SdiA_pos	
SgrR_neg	nrdF//
SgrR_pos	pnp//dmsC//
SlyA_pos	
SoxR_neg	
SoxR_pos	argE//
SoxS_neg	
SoxS_pos	rutC//metH//ssuD//hypB//rutD//hycE//pagP//argE//gcl//malS//pagP//hycG//fabI//murE//mhpF//malQ//fadA//hcaC//glmS//bioC//nemA//hcaE//wrbA//rutD//atoA//fucI//
StpA_neg	glgC//phnP//glpX//
SutR_neg	phnP//acnB//
SutR_pos	
TdcA_pos	nanM//cysK//pykF//gntK//acnB//
TdcR_pos	rffM//nrfA//wzb//ubiC//sucB//
TorR_neg	araA//
TorR_pos	purK//rutB//luxS//
TreR_neg	gcvH//galT//
TrpR_neg	paaB//uxaA//paaF//mhpC//icd//tdcE//gpmA//pyrC//iscS//
TyrR_neg	ttdA//folE//gatD//argH//wecB//arsC//mltF//
TyrR_pos	astE//ubiX//ilvC//
UhpA_pos	talA//
UidR_neg	aroH//tdcG//
UlaR_neg	fau//rutC//epd//phnI//fbaA//
UvrY_pos	purE//waaH//
UxuR_neg	dmsB//narH//pncB//dmsA//pyrC//
XapR_pos	astB//aroH//
XylR_neg	
XylR_pos	ulaG//cysC//speA//
YdeO_neg	
YdeO_pos	mhpD//gutQ//phnN//
YedW_neg	cdd//ulaF//
YedW_pos	dmsC//
YefM-YoeB_neg	psd//
YefM_neg	oxc//
YehT_pos	
YeiL_pos	
YiaJ_neg	glyA//paaK//paaB//lpxC//fumB//rutC//
YjjQ_neg	allA//
YpdB_pos	
YqhC_pos	fabZ//hcaC//
YqjI_neg	tynA//
ZntR_pos	uxuB//
ZraR_pos	
Zur_neg	galT//
