# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	malP//epd//
HU_neg	nrdD//alkA//ynfE//caiA//ppc//narI//fadD//
HU_pos	
HcaR_neg	
HcaR_pos	aceA//puuB//
HdfR_neg	
HdfR_pos	
HigA_neg	alkA//
HigB-HigA_neg	idnO//
HipAB_neg	dmsC//fadA//
HipB_neg	metE//nrfC//accC//
HyfR_pos	glxK//
HypT_neg	nadA//argC//
HypT_pos	relA//dinB//frc//paaY//ogt//
IclR_neg	paaA//ycjG//alkA//
IdnR_neg	purN//ulaE//
IdnR_pos	napA//alkA//ycjG//mnmG//
IlvY_neg	
IlvY_pos	nanK//
IscR_neg	fau//ftnA//araB//mhpD//
IscR_pos	ttdB//rpiB//
KdgR_neg	patD//mpaA//
KdpE_pos	waaZ//
LacI_neg	metF//leuB//yfdE//
LeuO_neg	
LeuO_pos	fadA//purC//uvrB//ldtC//ndh//edd//
LexA_neg	cysK//napA//malY//fucU//polB//pnp//yiaK//ulaE//araB//citC//carA//alkB//pheS//puuA//astE//fdhF//purC//glpB//cynT//pgpC//phnP//
LldR_neg	fadJ//patA//
LldR_pos	paaZ//gadB//
LrhA_neg	
LrhA_pos	
LsrR_neg	bioC//bioA//feaB//glcF//citG//
LysR_neg	
LysR_pos	purA//
MalI_neg	cysN//bglB//
MalT_pos	trpE//sdhA//gnd//rimK//accC//prs//
MarA_neg	fadM//
MarA_pos	umpH//paaG//mtlD//frdC//glmU//gcvH//yqjH//pyrC//rhaB//ascB//ada//dmsA//pck//hcp//yeaE//metE//dapB//metH//xylA//kbaY//cysJ//garK//
MarR_neg	
MatA_neg	tdcB//
MatA_pos	
MazE-MazF_neg	pgaC//
MazE_neg	leuD//
McbR_neg	
McbR_pos	
MelR_neg	yeaE//atoA//
MelR_pos	cynT//rffM//
MetJ_neg	cysK//paaF//glk//puuC//ychF//cysC//uxuB//gudD//tpiA//cynS//
MetR_neg	uxuB//
MetR_pos	wzc//citX//ynfH//pheS//
MhpR_pos	caiB//entF//idnD//folA//lhgO//metF//
Mlc_neg	hcaB//ttdA//wecC//caiD//
MlrA_pos	paaH//
MngR_neg	cueO//cysK//
MntR_neg	bioB//
MntR_pos	ulaE//
ModE_neg	dinB//luxS//udp//fucK//alkA//glgC//carA//purC//
ModE_pos	alsE//puuB//ttdB//metL//mhpB//hcaF//
MprA_neg	patA//ndh//frdC//
MqsA_neg	entB//entE//
MraZ_neg	ynfE//nrfA//deoD//phnG//cysC//cysK//puuC//gatY//hycB//argC//phnN//
MtlR_neg	hyi//tdcG//metB//
MurR_neg	puuD//pgaC//yfbR//
MurR_pos	
Nac_neg	dkgA//atoA//sgbE//
Nac_pos	nrdE//ybjG//wecC//mdh//ftsI//mpl//pgk//
NadR_neg	phoA//lacA//yfbR//puuB//
NagC_neg	rsmH//zwf//cyoE//umpH//hycE//pykF//cysM//astA//gcvT//lsrG//rfe//gloA//glcD//aroH//iscS//murF//bioB//sucB//
NagC_pos	phnO//fadI//
NanR_neg	rhaA//gabT//thrS//pgaD//ppiA//lhgO//
NanR_pos	
NarL_neg	hemL//prpC//glcF//rutE//glcF//bioD//cyoE//nirD//glcF//fbaB//glpQ//caiD//dkgB//pgi//frdC//nrdF//hycB//hypB//lpd//umpH//rfe//phnL//fumC//hemH//
NarL_pos	glyA//garK//glpD//mdh//uvrC//metA//fadI//nrdD//lpd//frdB//idnO//gatZ//nadA//
NarP_neg	prpB//araB//ynfE//
NarP_pos	aroG//serA//yfbR//purB//fabD//gapA//lpd//glnA//tnaA//ttdB//
NemR_neg	lysC//tyrB//
NhaR_pos	idnO//mraY//lpd//nrdF//glpK//
NikR_neg	ulaE//
NimR_neg	recF//
NorR_neg	
NorR_pos	yqjH//
NrdR_neg	lpxD//rsmH//fucA//recF//
NsrR_neg	alaS//eno//dgcZ//nanE//aroH//rdoA//fbaB//cysH//nrdB//dsdA//nrfC//hycE//waaZ//fau//deoC//malS//uvrB//purD//mltF//argE//cynS//hyaA//umpH//pncB//cyoE//leuA//pnp//trpA//malY//prpE//napG//gudD//napB//tdcD//waaY//glpK//
NtrC_neg	lldD//malZ//
NtrC_pos	lpxA//paaF//fruK//moaE//citX//phnL//purH//fumB//fucA//glgC//glyA//pck//cysI//treC//rutE//hcaB//paaE//ssuE//hycG//allA//nrdA//
OmpR_neg	ppc//ldtB//poxB//gcvH//gadA//
OmpR_pos	frc//gudD//nanK//entE//
OxyR_neg	malZ//leuB//ulaG//ldtC//fabI//
OxyR_pos	fadH//paaZ//rpiB//allE//ubiX//rutC//folA//alaS//rffH//
PaaX_neg	metB//sucA//narH//galT//metC//murE//cysG//metE//mltF//
PdeL_pos	lpxA//
PdhR_neg	caiB//ada//wecC//patD//bioF//napC//sodB//glgB//purK//uvrB//pykF//moaD//mpl//nagA//cueO//napB//aroG//araB//torA//sodA//katG//hycC//aceF//nadB//
PdhR_pos	nanE//pncB//
PepA_neg	luxS//uxaB//
PgrR_neg	ilvC//gadB//
PhoB_neg	ssuD//puuB//poxB//ubiC//
PhoB_pos	paaG//gnd//aroL//slt//leuC//uxaA//narH//paaF//deoB//moaE//nfsA//nrdF//ubiC//asnB//dapD//metA//
PhoP_neg	tdcE//ubiC//glpK//
PhoP_pos	metC//rffG//rhaA//trpE//ribA//gatZ//deoB//citG//luxS//fruK//hemH//tnaA//garR//murG//citC//ung//rutA//fucK//hypF//metF//dmsB//nanK//yiaK//nanK//rutA//allE//melA//lacA//yfdE//folA//fadH//iscS//
PrpR_neg	
PrpR_pos	malY//aroL//fadJ//wrbA//
PspF_neg	
PspF_pos	cysM//
PurR_neg	fabZ//frdD//fabI//lacA//murF//hycE//uidA//mpl//cysD//paaK//narI//galM//cysC//murE//argH//waaH//pgaC//pnp//ldtD//nadA//sdhC//psd//guaB//allD//icd//putA//
PutA_neg	fadJ//sufS//
PuuR_neg	ttdA//waaH//polB//trpD//tadA//frdB//
QseB_pos	
RbsR_neg	alkB//acnA//gudD//leuD//glgX//
RbsR_pos	ruvB//
RcdA_neg	
RcdA_pos	puuC//
RclR_pos	
RcnR_neg	tktB//
RcsAB_neg	nagB//
RcsAB_pos	purD//pfkA//
RcsB-BglJ_pos	phnI//pgaC//
RcsB_neg	pgm//
RcsB_pos	hemL//ndh//garR//
RelB-RelE_neg	ubiA//
RelB_neg	frc//
RhaR_pos	
RhaS_pos	pnp//ubiA//entH//purL//
Rob_neg	
Rob_pos	purA//mhpA//melA//hemL//glmS//pgm//dsdA//cysH//ldtD//ogt//nanK//sgbU//cysJ//accC//paaC//hcp//cysN//fbaB//accA//
RstA_neg	nagB//fucO//
RstA_pos	psd//
RtcR_pos	pykF//ugpQ//
RutR_neg	accC//fabH//citG//hyaC//leuA//alaC//bioF//katG//adiA//pheS//
RutR_pos	alaC//
SdiA_neg	
SdiA_pos	
SgrR_neg	dmsB//
SgrR_pos	eno//glyA//
SlyA_pos	
SoxR_neg	
SoxR_pos	nrdA//
SoxS_neg	
SoxS_pos	alaS//amn//ppc//lsrK//trpC//allC//ulaF//murE//fadH//hyaB//ssuD//lysA//phnH//wrbA//cysI//ubiC//metC//eda//hemL//ugpQ//nrfA//gapA//ung//pflB//tdcG//malZ//
StpA_neg	prpB//dinB//tktB//
SutR_neg	pheT//mngB//
SutR_pos	
TdcA_pos	glxR//moaA//lhgO//hycB//glpC//
TdcR_pos	pgk//alsE//hycC//pspE//pgaB//
TorR_neg	napC//
TorR_pos	dkgB//hycB//garD//
TreR_neg	uvrB//narH//
TrpR_neg	cysK//yqjH//napC//rhaA//accA//nrdE//xylA//rutC//entA//
TyrR_neg	deoC//prpE//lyxK//fruK//puuD//pyrC//nrdF//
TyrR_pos	cysI//ppc//codA//
UhpA_pos	hcaF//
UidR_neg	betA//idnK//
UlaR_neg	moaD//aspA//paaI//cysC//mraY//
UvrY_pos	glxK//mhpA//
UxuR_neg	gadA//accB//tdcG//rnpB//umuD//
XapR_pos	dmsC//carB//
XylR_neg	
XylR_pos	udp//napG//mltF//
YdeO_neg	
YdeO_pos	deoA//aspC//psd//
YedW_neg	napH//alaC//
YedW_pos	cysH//
YefM-YoeB_neg	dsdA//
YefM_neg	argA//
YehT_pos	
YeiL_pos	
YiaJ_neg	ychF//puuD//nrdF//carB//rfe//accD//
YjjQ_neg	paaY//
YpdB_pos	
YqhC_pos	araB//idnO//
YqjI_neg	fadB//
ZntR_pos	umuD//
ZraR_pos	
Zur_neg	fau//
