# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	phnM//hmp//
CreB_neg	glgB//
CreB_pos	dgcC//
CsgD_neg	astA//srlD//
CsgD_pos	murG//wrbA//ahpC//
CsiR_neg	aspA//nrdA//slt//ldtB//
CspA_pos	gdhA//
CueR_neg	entB//yeaG//
CueR_pos	sodA//ynfE//
CusR_pos	pyrC//uxaB//gcvH//
CynR_neg	
CynR_pos	phnN//cynS//oxc//
CysB_neg	hemL//argH//hycG//
CysB_pos	eda//glpK//bglB//idnD//murD//lyxK//fau//gcvT//ppc//umuD//glcD//nemA//araB//frdB//hmp//
CytR_neg	zwf//udp//guaA//yfbR//pck//phnM//phnJ//nirD//araD//accC//
Dan_pos	wzc//truB//
DcuR_pos	fadB//astB//glxR//oxc//
DeoR_neg	tnaA//nagA//cysE//mpl//uxaA//ulaF//
DhaR_neg	
DhaR_pos	allC//
DicA_neg	
DinJ-YafQ_neg	alsE//
DnaA_neg	glpC//pgk//adhE//fadH//dapB//
DnaA_pos	citX//torC//allE//
DpiA_neg	
DpiA_pos	hcp//glgP//fucU//paaH//fucI//
DsdC_neg	
DsdC_pos	ruvA//mpaA//
EbgR_neg	
EnvR_neg	metF//hypB//
EnvY_pos	malQ//purK//
EvgA_pos	glk//wecB//glyA//tnaA//pdeL//folA//
ExuR_neg	nrfC//trpD//cynT//prpB//phnG//leuB//
FabR_neg	paaA//patD//
FadR_neg	ynfF//glmS//slt//pyrC//metL//gloA//dapB//idnK//glcB//
FadR_pos	lpxA//purE//serA//yiaK//pgaC//atoA//truB//pyrD//oxc//
FeaR_pos	allA//metC//
FhlA_pos	adhE//lsrF//lyxK//ssuE//bioF//lpxA//phoA//
FlhDC_neg	umuC//tnaA//
FlhDC_pos	bioD//ldtB//trpE//gdhA//treC//metB//tynA//lyxK//argF//
FliZ_neg	ssuD//rfe//fabD//dmsB//ubiC//
FucR_pos	paaJ//dmsB//accB//waaZ//ttdA//sucA//
Fur_neg	ampC//oxc//malQ//gntK//sgbU//pgaD//cynS//carB//frdB//sucD//fadD//dmsB//uidA//puuD//alkA//phnL//yeaE//glxK//ftsI//metL//nadA//argH//asnB//glcB//paaK//pnp//atoD//cysJ//pdeH//ribA//gatD//rhaA//argD//waaZ//phnI//dgcZ//argB//fucA//deoA//purB//fucA//fucK//ubiC//ilvC//sgbU//gpmM//purB//cysN//paaA//mhpC//cyoE//lacZ//nirD//dkgA//
Fur_pos	allA//rnpB//argH//pdeL//murC//lysC//dgkA//nrdF//arsC//aceA//srlD//ung//citF//tam//deoD//nfsB//yibQ//
GadE-RcsB_pos	ftnA//aceE//mngB//lsrF//
GadE_pos	gloA//slt//fabG//argE//paaI//pnp//gutQ//nanE//sucD//asnB//
GadW_neg	folA//folA//alaS//
GadW_pos	yfbR//dkgA//pheS//moaD//
GadX_neg	malQ//rffM//
GadX_pos	fadJ//chbF//glyA//araA//allD//cysH//feaB//guaA//entF//metC//
GalR_neg	citC//tyrA//tam//sgbU//aroF//gcl//
GalR_pos	glpA//dgkA//gpmM//sgbU//
GalS_neg	tyrA//rhaA//entE//rimK//moaE//gor//
GalS_pos	tdcG//rhaD//bioF//mpl//
GatR_neg	sodB//gltD//glgB//
GcvA_neg	nanE//metH//dsdA//
GcvA_pos	paaB//ada//thrS//
GlcC_neg	
GlcC_pos	nirB//edd//patD//
GlpR_neg	fabI//mhpA//glpA//purC//gdhA//allA//paaH//
GlrR_pos	
GntR_neg	aroF//polA//ftsI//argI//uvrC//fabI//hemL//tpiA//cynS//
GutM_pos	asnB//epd//argF//
GutR_neg	nanA//fadJ//cadA//
HU_neg	hcaE//napB//frdC//lldD//glgP//ppsA//carA//
HU_pos	
HcaR_neg	
HcaR_pos	gltD//dhaK//
HdfR_neg	
HdfR_pos	
HigA_neg	ppiA//
HigB-HigA_neg	dapD//
HipAB_neg	entD//umuC//
HipB_neg	dsdA//appA//gntK//
HyfR_pos	pgi//
HypT_neg	mhpE//betA//
HypT_pos	waaY//purK//rutE//folA//entD//
IclR_neg	lsrK//mpaA//asnB//
IdnR_neg	metH//glpD//
IdnR_pos	sucD//puuA//tdcB//rimK//
IlvY_neg	
IlvY_pos	fes//
IscR_neg	glnA//purD//pgaD//fadB//
IscR_pos	fruK//garK//
KdgR_neg	lysC//umuC//
KdpE_pos	nfsA//
LacI_neg	iscS//lhgO//lsrK//
LeuO_neg	
LeuO_pos	gapA//gntK//codA//poxB//ynfH//codA//
LexA_neg	sodA//glk//malY//sucC//murQ//cynT//sgbU//narG//bioB//gutQ//bioC//murQ//caiB//bioA//araB//glpQ//malP//rnpB//serA//argA//glcE//
LldR_neg	nfsB//glgA//
LldR_pos	hemH//dhaK//
LrhA_neg	
LrhA_pos	
LsrR_neg	idnK//uxuB//umpH//waaY//ilvC//
LysR_neg	
LysR_pos	rpiB//
MalI_neg	glxK//sodB//
MalT_pos	uvrB//hyaC//pepD//eda//galK//sgbH//
MarA_neg	ndh//
MarA_pos	araD//araA//entB//nagA//rhaA//paaB//purC//rffH//frdB//wzb//fucI//yeaG//mraY//uxaB//speA//cysI//gudD//glmU//purN//accD//asnB//alaC//
MarR_neg	
MatA_neg	argH//
MatA_pos	
MazE-MazF_neg	metL//
MazE_neg	mpl//
McbR_neg	
McbR_pos	
MelR_neg	rhaB//tktB//
MelR_pos	glpD//yibQ//
MetJ_neg	metK//sgbH//ubiC//paaK//argG//atoB//aspA//fabB//ahpF//glpA//
MetR_neg	paaC//
MetR_pos	purH//cysN//ycjG//lysA//
MhpR_pos	napA//ychF//hypF//mhpA//mhpE//murI//
Mlc_neg	argH//deoB//argE//pgaB//
MlrA_pos	astD//
MngR_neg	purA//ilvC//
MntR_neg	fumB//
MntR_pos	uxaC//
ModE_neg	phnO//paaJ//dhaK//puuD//nanA//pgaC//lpxA//fabI//
ModE_pos	citG//yiaK//chbF//ulaD//rfe//astA//
MprA_neg	idnO//nrfD//pdeR//
MqsA_neg	frc//nagB//
MraZ_neg	narG//aldA//citF//sdhB//hycB//murC//murD//hycB//gltD//gapA//aceF//
MtlR_neg	fabB//argD//ribA//
MurR_neg	cysH//dmsA//alaC//
MurR_pos	
Nac_neg	glpB//ybaS//moaE//
Nac_pos	gcvT//ldtB//wecC//nrdD//trpD//trpD//phnL//
NadR_neg	argB//recF//sucD//aroF//
NagC_neg	fucI//alaS//paaB//lacZ//ppiA//sdhA//allA//hemL//argE//metE//phnL//ycjG//leuB//eno//nanK//paaF//murI//dmsC//
NagC_pos	malQ//hycC//
NanR_neg	ldtC//pgpC//malP//luxS//phnG//uxaC//
NanR_pos	
NarL_neg	ulaE//nagB//codA//fabG//sufS//dsdA//ttdB//wecB//fabH//nanM//paaJ//idnK//fucK//slt//nanE//entD//phnG//ulaE//sucB//dmsB//uxuB//rimK//alaS//nrdE//
NarL_pos	hemH//tdcE//ndh//moaE//lyxK//tyrA//argB//citD//fucU//murD//leuD//nagA//araB//
NarP_neg	entH//pck//nrdD//
NarP_pos	uxuA//polA//pdeR//mnmG//pyrC//leuD//eda//prpB//hmp//oxc//
NemR_neg	pspE//epd//
NhaR_pos	yqjH//eda//pgm//waaY//polB//
NikR_neg	citG//
NimR_neg	rpiB//
NorR_neg	
NorR_pos	metK//
NrdR_neg	poxB//katG//ulaE//rhaD//
NsrR_neg	sdhA//psd//frdB//gor//eda//murD//ddlB//gor//pheS//prpD//glpK//purB//waaZ//caiB//argG//fbaA//rffC//guaA//astA//talA//cysH//alaC//ulaD//rutC//ynfH//hycF//pgaD//fes//fes//purM//hyaB//yqjH//moaD//srlD//uxaA//kbaZ//
NtrC_neg	ruvB//uvrC//
NtrC_pos	paaG//ppc//paaJ//rhaB//araA//cynT//phnN//hycF//purF//ttdB//garK//ppc//gnd//katE//hcaB//wrbA//argI//cueO//sufS//alaS//murF//
OmpR_neg	citX//rutE//accC//puuB//aceF//
OmpR_pos	nfsA//hcaD//idnD//lsrF//
OxyR_neg	ogt//glk//cyoE//polA//citC//
OxyR_pos	glgC//aroH//ynfH//polA//srlD//torA//ruvA//gpmM//malP//
PaaX_neg	deoC//ppsA//phr//pdeH//paaZ//glgB//paaB//ddlB//ahpC//
PdeL_pos	gcvP//
PdhR_neg	gabD//ynfF//napG//uidA//garR//carB//cysM//rhaA//rffG//cadA//entH//alkB//carA//phoA//gadB//purE//gatY//hcp//metC//fucU//murI//glpB//xylA//murC//
PdhR_pos	tam//putA//
PepA_neg	yqjH//alaC//
PgrR_neg	aroH//ynfE//
PhoB_neg	gatD//lpd//prs//paaJ//
PhoB_pos	waaH//entF//aspC//mdh//purB//mhpF//glpA//paaK//yfbR//cysK//trpA//torC//entD//tdcD//yiaK//lpxD//
PhoP_neg	melA//fadM//zwf//
PhoP_pos	uxuB//sgbH//ftnA//hmp//fabD//sodA//polA//hcp//zwf//torC//citG//cysN//hyaA//yeaG//galT//malP//pdeL//ssuE//leuA//astD//deoD//add//lysA//ilvC//nanA//accD//rdoA//rhaD//argA//uxaB//allE//waaZ//
PrpR_neg	
PrpR_pos	trpB//glgX//sdhD//fadA//
PspF_neg	
PspF_pos	tktB//
PurR_neg	nanM//aroL//trpA//fbaA//dgcC//mhpA//cynS//folA//ddlB//napA//sdhA//accB//pfkA//paaZ//ldtD//nrdA//appA//waaY//nanK//wecB//wzb//mnmG//gcvP//ahpF//cysI//oxc//
PutA_neg	uxaC//ftnA//
PuuR_neg	ddlB//entD//malQ//thrS//lldD//recF//
QseB_pos	
RbsR_neg	phr//nanM//adiA//moaD//cysH//
RbsR_pos	phnI//
RcdA_neg	
RcdA_pos	glgP//
RclR_pos	
RcnR_neg	oxc//
RcsAB_neg	eno//
RcsAB_pos	dhaK//murG//
RcsB-BglJ_pos	gcvT//glpC//
RcsB_neg	pykF//
RcsB_pos	ftsI//ycjG//rhaA//
RelB-RelE_neg	metF//
RelB_neg	ilvC//
RhaR_pos	
RhaS_pos	citX//cysM//leuA//ppc//
Rob_neg	
Rob_pos	pagP//wecB//pgaD//ynfF//cysH//fdhF//napH//cynT//metA//purK//malQ//phr//gcvH//pheS//pagP//lsrK//purC//ilvC//bioB//
RstA_neg	pgaC//napB//
RstA_pos	sucD//
RtcR_pos	ribA//tktB//
RutR_neg	metH//paaA//nirD//carB//glpK//cysN//fadB//paaK//waaY//acnB//
RutR_pos	metF//
SdiA_neg	
SdiA_pos	
SgrR_neg	rutA//
SgrR_pos	entD//pdeH//
SlyA_pos	
SoxR_neg	
SoxR_pos	hyaB//
SoxS_neg	
SoxS_pos	torC//malY//cysM//astB//sucB//gadA//fadA//ppiA//ilvC//ppc//carB//pgaC//hyaB//fucK//mhpD//rffC//narI//iscS//pgk//adiA//aceF//citD//fdhF//prpD//torA//cueO//
StpA_neg	gcvH//narI//slt//
SutR_neg	wecC//ybaS//
SutR_pos	
TdcA_pos	iscS//phnP//cynT//melA//pepD//
TdcR_pos	murC//cysN//entC//mpaA//leuB//
TorR_neg	metA//
TorR_pos	lpxC//ppsA//aroF//
TreR_neg	fumB//nadA//
TrpR_neg	hcaF//tdcB//napC//frdC//nanM//puuD//mhpD//trpA//umuD//
TyrR_neg	phnG//purF//uvrA//leuD//argF//phnP//yeaG//
TyrR_pos	metF//metH//aceF//
UhpA_pos	atoB//
UidR_neg	psd//mhpD//
UlaR_neg	atoD//metE//leuA//rffC//trpE//
UvrY_pos	rbsD//tdcG//
UxuR_neg	entC//cyoE//serA//aspC//phnG//
XapR_pos	uxaB//polB//
XylR_neg	
XylR_pos	uxaA//fumB//ybjG//
YdeO_neg	
YdeO_pos	dacC//glgB//entE//
YedW_neg	sgbE//paaH//
YedW_pos	gadB//
YefM-YoeB_neg	moeA//
YefM_neg	wecB//
YehT_pos	
YeiL_pos	
YiaJ_neg	cyoE//lsrK//gcl//fadA//mhpD//appA//
YjjQ_neg	astE//
YpdB_pos	
YqhC_pos	ldtB//tdcE//
YqjI_neg	hypF//
ZntR_pos	rhaA//
ZraR_pos	
Zur_neg	leuD//
