# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	purA//tdcD//
FhlA_pos	moaD//gcvH//garD//atoA//thrS//lpxD//mdh//
FlhDC_neg	hyi//fucI//
FlhDC_pos	ada//paaE//fucA//sucA//talA//kbaZ//hcaB//argA//metL//
FliZ_neg	hycC//gnd//glpX//ruvB//pflB//
FucR_pos	nrfA//ndh//acnA//pgi//cysC//ldtC//
Fur_neg	phnH//ldtC//glk//yfbR//citD//fdhF//pncB//metB//cynT//gatZ//metK//hyi//hemL//pncB//patD//tam//speB//prpB//rutC//nadB//araD//pyrC//eno//aroH//yibQ//murQ//ada//glpB//fau//pgk//nrdD//umuC//lhgO//cynT//oxc//hmp//purF//pgaC//sucA//katG//mpaA//gabT//citF//fabD//galM//asnB//ahpF//wrbA//aceF//murC//asnB//fadA//rhaB//lpxC//
Fur_pos	uvrC//aroG//tehB//argG//eno//aspC//cysG//pgm//mngB//accD//mtlD//astB//wzb//rffT//rffC//hypF//gpmM//
GadE-RcsB_pos	dmsA//edd//guaB//patA//
GadE_pos	cynT//deoA//talA//gcvH//glpX//katG//purE//fadB//mpl//alkA//
GadW_neg	ampC//fabI//pgaD//
GadW_pos	glpX//glcF//hcaE//psd//
GadX_neg	gloA//citC//
GadX_pos	polB//glgB//citX//nadA//ugpQ//glpX//napH//gpmA//leuC//glxR//
GalR_neg	murI//sgbH//eda//pagP//yqjH//rutE//
GalR_pos	argA//pgk//garL//bioF//
GalS_neg	ynfF//glcE//garK//cysC//melA//glpX//
GalS_pos	dmsC//eda//asnA//yeaE//
GatR_neg	guaA//fucO//rutB//
GcvA_neg	fbaB//waaZ//tyrA//
GcvA_pos	ahpC//cadA//gutQ//
GlcC_neg	
GlcC_pos	phnN//aldA//dapB//
GlpR_neg	mpl//acnB//deoD//idnO//ldtD//aceA//astE//
GlrR_pos	
GntR_neg	ulaF//fabI//fes//hypB//nrfC//bioD//entE//glpC//entD//
GutM_pos	chbG//sucB//ycjG//
GutR_neg	murE//bglB//phnH//
HU_neg	purB//nanA//rutE//tadA//mpaA//ulaE//uvrB//
HU_pos	
HcaR_neg	
HcaR_pos	wrbA//aroH//
HdfR_neg	
HdfR_pos	
HigA_neg	rutC//
HigB-HigA_neg	cadA//
HipAB_neg	amn//puuC//
HipB_neg	yeaG//cysK//citC//
HyfR_pos	cynS//
HypT_neg	ynfE//entD//
HypT_pos	ubiA//gadB//gltB//ung//glpC//
IclR_neg	nrfB//glmU//pdeH//
IdnR_neg	pyrD//ssuE//
IdnR_pos	fruK//uxaC//mtlD//nrfC//
IlvY_neg	
IlvY_pos	pdeR//
IscR_neg	napH//rbsD//hycF//carB//
IscR_pos	glmU//glgP//
KdgR_neg	aroG//rffT//
KdpE_pos	uxuA//
LacI_neg	argF//xapA//napB//
LeuO_neg	
LeuO_pos	araD//kbaZ//paaI//wzc//cynT//paaG//
LexA_neg	glnA//oxc//ubiX//kbaY//uvrA//phnI//uvrA//thrS//glnA//tktB//nagA//argF//argI//lacZ//waaH//alkA//allB//glcE//uxaA//folA//thrS//
LldR_neg	fadJ//allE//
LldR_pos	xylB//prpE//
LrhA_neg	
LrhA_pos	
LsrR_neg	entB//glcE//adiA//ndh//cynS//
LysR_neg	
LysR_pos	pheS//
MalI_neg	rimK//tpiA//
MalT_pos	gcl//ybaS//phnO//glcF//fabI//paaA//
MarA_neg	aspC//
MarA_pos	tyrA//tyrB//gnd//waaZ//wecB//gatY//glgA//tktB//nfsA//cysM//pflB//pnp//uxuA//ppsA//adiA//purF//kbaZ//allA//fadA//ynfE//accC//acnB//
MarR_neg	
MatA_neg	ssuD//
MatA_pos	
MazE-MazF_neg	sucD//
MazE_neg	cyoE//
McbR_neg	
McbR_pos	
MelR_neg	katE//cysE//
MelR_pos	moeB//ynfF//
MetJ_neg	bioA//cysD//phnL//paaC//phnJ//fadE//fucI//rpiB//rimK//gcvH//
MetR_neg	narI//
MetR_pos	aroG//wecC//talA//napG//
MhpR_pos	ulaE//fabH//ahpC//nirB//mhpE//codA//
Mlc_neg	murC//tdcD//galT//tam//
MlrA_pos	sdhD//
MngR_neg	uxuB//ampC//
MntR_neg	alaS//
MntR_pos	citG//
ModE_neg	prs//thrS//purB//glgB//ribA//cueO//putA//yiaK//
ModE_pos	puuD//glmU//accC//hemH//mdh//uxuA//
MprA_neg	glcF//ybjG//carB//
MqsA_neg	argE//accA//
MraZ_neg	frc//metE//fucU//accB//ycjG//umuC//ybaS//speA//metB//uxaA//atoA//
MtlR_neg	cdd//bglB//idnK//
MurR_neg	fbaB//phnP//moaD//
MurR_pos	
Nac_neg	allE//torA//guaA//
Nac_pos	fadJ//ascB//frdD//puuA//metC//oxc//wecC//
NadR_neg	yfbR//fabA//ynfF//ruvB//
NagC_neg	ubiA//pheS//glpB//tadA//ppsA//rhaA//rfe//prs//guaB//phnG//fucK//fucI//dsdA//deoD//fadJ//ruvB//atoB//cysN//
NagC_pos	ssuD//rhaD//
NanR_neg	dacC//garK//pykF//uxaB//murI//tdcE//
NanR_pos	
NarL_neg	fadH//hyaA//argG//purD//rutA//poxB//hcaD//umuC//rbsD//phr//mraY//cysG//uxaB//dhaL//tdcG//cysJ//paaZ//uxaA//citF//nanM//rsmH//hycC//fadA//guaA//
NarL_pos	lyxK//phr//glpB//ychF//gatY//allA//paaY//phnL//glpK//ilvC//yfbR//cysE//frc//
NarP_neg	murG//accD//mhpD//
NarP_pos	malY//mdh//ugpQ//fadA//glgC//glpB//polA//treC//oxc//glpK//
NemR_neg	gloA//accA//
NhaR_pos	aceB//caiC//mnmG//cynS//uidA//
NikR_neg	srlD//
NimR_neg	rdoA//
NorR_neg	
NorR_pos	pheT//
NrdR_neg	allC//napC//trpB//lacA//
NsrR_neg	pgk//deoC//tynA//aceB//fadI//glpC//rhaA//purM//hycB//fumC//ychF//tdcB//paaF//dmsB//purF//mraY//murG//nfsB//dhaK//gadA//fadE//alaC//citE//rhaD//fumB//citX//sdhA//garD//lyxK//tehB//murC//alkA//sdhC//dacC//rnpB//murC//
NtrC_neg	lacZ//leuC//
NtrC_pos	fumB//rutB//slt//fabZ//pfkA//feaB//dapD//glxR//tadA//nanK//cyoE//mnmG//dkgA//leuA//fruK//gcvH//yqhD//rutC//moaE//metE//sgbE//
OmpR_neg	xylB//lacA//amn//carA//nrdB//
OmpR_pos	cyoE//gutQ//entB//pykF//
OxyR_neg	ybjG//luxS//gatY//malS//bacA//
OxyR_pos	entA//eno//rdoA//moaA//gapA//purK//leuC//mngB//dmsC//
PaaX_neg	ssuE//mhpF//citC//citF//hyi//entC//relA//mhpF//fucK//
PdeL_pos	patA//
PdhR_neg	uxaA//melA//hemL//thrS//fucO//nemA//cysD//rutE//aroF//paaA//phnP//glpQ//rutC//glpB//entH//paaE//astC//atoD//aroL//kbaZ//treC//nirD//paaK//aroL//
PdhR_pos	aceE//icd//
PepA_neg	ycjG//gor//
PgrR_neg	pykF//dmsB//
PhoB_neg	dhaK//gltB//trpD//rbsD//
PhoB_pos	dinB//leuB//metK//dapD//glgB//fabB//deoB//paaE//glmS//ndh//katE//accB//ugpQ//katG//tpiA//cysH//
PhoP_neg	argB//idnO//gcvH//
PhoP_pos	pncB//phnP//paaA//lpxD//lpxA//speB//amn//uxaC//trpC//ilvC//phnL//nfsB//cysJ//nanA//mtlD//carA//leuA//puuB//pykF//sodB//asnA//sufS//mdh//pykF//paaZ//garL//glk//edd//glgX//puuE//pgk//trpC//
PrpR_neg	
PrpR_pos	trpE//adhE//rnpB//paaZ//
PspF_neg	
PspF_pos	lpxC//
PurR_neg	cysK//hycG//pyrD//phnN//trpD//gatZ//tynA//fadB//phnG//lpxC//tpiA//glxK//hmp//rutC//ppiA//atoD//astB//araA//polA//mnmG//fadD//gor//wzc//tpiA//bacA//hycG//
PutA_neg	glgP//sucA//
PuuR_neg	pgi//lpd//appA//yibQ//tdcB//galT//
QseB_pos	
RbsR_neg	ttdB//uxaA//cysC//napH//gpmM//
RbsR_pos	sgbH//
RcdA_neg	
RcdA_pos	ung//
RclR_pos	
RcnR_neg	purM//
RcsAB_neg	fabG//
RcsAB_pos	cysE//lpxD//
RcsB-BglJ_pos	gltB//argF//
RcsB_neg	gatD//
RcsB_pos	umuD//narI//cysK//
RelB-RelE_neg	trpD//
RelB_neg	entD//
RhaR_pos	
RhaS_pos	trpB//malZ//ssuE//codA//
Rob_neg	
Rob_pos	gcvP//puuE//rffG//bioC//waaH//paaB//ulaG//glpA//trpC//gatY//prpC//fabH//rsmH//carA//idnO//aroF//araB//hemL//gcvT//
RstA_neg	nrdA//atoA//
RstA_pos	pck//
RtcR_pos	mhpE//idnO//
RutR_neg	ldtC//garD//dapB//fadI//murI//glgP//glcF//ssuD//ppiA//amn//
RutR_pos	lpxC//
SdiA_neg	
SdiA_pos	
SgrR_neg	tktB//
SgrR_pos	citG//nagB//
SlyA_pos	
SoxR_neg	
SoxR_pos	patD//
SoxS_neg	
SoxS_pos	wecB//hyi//phnG//patA//glgB//entH//pflB//purE//trpC//fadJ//rffT//acnA//prpB//xylA//pfkA//sgbE//allE//sdhD//prs//guaB//caiB//zwf//ftsI//ppsA//narH//paaJ//
StpA_neg	argG//hycD//aspA//
SutR_neg	ppiA//atoA//
SutR_pos	
TdcA_pos	gadB//frc//uvrB//caiB//nrdF//
TdcR_pos	serA//ilvC//galK//phr//gatZ//
TorR_neg	cysC//
TorR_pos	pyrD//murQ//waaH//
TreR_neg	hycF//bglB//
TrpR_neg	katE//ycjG//frdA//aroL//mnmG//dhaL//yiaK//leuC//psd//
TyrR_neg	lyxK//paaF//mpl//citF//fabD//entE//gpmM//
TyrR_pos	narH//phnP//ugpQ//
UhpA_pos	metK//
UidR_neg	ulaG//rdoA//
UlaR_neg	napG//caiD//waaY//mpaA//alaC//
UvrY_pos	treC//cysD//
UxuR_neg	nrdA//glpQ//gatY//cdd//pykF//
XapR_pos	ahpF//cysC//
XylR_neg	
XylR_pos	umuC//uxaB//gltB//
YdeO_neg	
YdeO_pos	tyrB//nrfD//acnA//
YedW_neg	astB//iscS//
YedW_pos	lpd//
YefM-YoeB_neg	entD//
YefM_neg	alaS//
YehT_pos	
YeiL_pos	
YiaJ_neg	cysD//nirD//glgB//fumB//glgB//paaF//
YjjQ_neg	hyaC//
YpdB_pos	
YqhC_pos	cynT//napH//
YqjI_neg	gnd//
ZntR_pos	appA//
ZraR_pos	
Zur_neg	waaZ//
