# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	fau//glcB//
FucR_pos	mhpC//glgX//ulaG//fdhF//edd//glpX//
Fur_neg	phnJ//acnB//cysK//ugpQ//murI//relA//gadA//fadD//leuA//sucB//tpiA//glpC//glpQ//bglB//phnM//speA//bglB//mdh//gatY//yqhD//katG//gabT//idnD//glgX//cynT//astA//hypB//malQ//tadA//frdC//rhaD//phnN//argC//lysC//wzc//metA//luxS//lacZ//glcE//hcaE//pheS//napC//rutA//entA//fabZ//fbaA//ybaS//waaY//wecC//paaH//uidA//adhE//cysD//epd//
Fur_pos	waaY//lysC//lacZ//aspC//cysC//yiaK//betB//srlD//idnK//aroL//hyaA//ahpF//rhaD//fucK//leuA//uxaA//sucC//
GadE-RcsB_pos	bioC//rfe//cynT//hcaE//
GadE_pos	citE//betA//glgA//purD//murC//garL//garR//glcD//ulaF//epd//
GadW_neg	pnp//mazG//pagP//
GadW_pos	gutQ//purK//cueO//moaD//
GadX_neg	cysH//allA//
GadX_pos	hcaD//citX//moeB//argC//uxaB//ppiA//fadI//arsC//prpC//hyaC//
GalR_neg	dacC//ynfE//fabG//waaH//argH//dmsC//
GalR_pos	cynT//paaB//yqjH//ahpC//
GalS_neg	melA//caiD//tdcG//nanE//uxaA//prs//
GalS_pos	acnB//eda//yeaE//ppc//
GatR_neg	ascB//malQ//galM//
GcvA_neg	dkgA//mhpC//aceF//
GcvA_pos	astB//recF//mltF//
GlcC_neg	
GlcC_pos	ndh//frdD//yqhD//
GlpR_neg	aspA//idnD//gcvP//mngB//katG//mhpD//deoA//
GlrR_pos	
GntR_neg	glgX//moeB//moaA//ubiC//fucA//metF//cysI//pagP//puuD//
GutM_pos	glmS//sufS//dapB//
GutR_neg	cysI//nrdE//fabA//
HU_neg	allA//puuA//ogt//cysN//pfkA//murI//torA//
HU_pos	
HcaR_neg	
HcaR_pos	phnM//carA//
HdfR_neg	
HdfR_pos	
HigA_neg	garK//
HigB-HigA_neg	relA//
HipAB_neg	lsrF//rimK//
HipB_neg	pck//puuB//astA//
HyfR_pos	mtlD//
HypT_neg	ung//nrdD//
HypT_pos	ruvB//aspA//fumC//luxS//fucU//
IclR_neg	ruvB//malP//paaG//
IdnR_neg	trpE//gutQ//
IdnR_pos	codA//wrbA//nagB//atoA//
IlvY_neg	
IlvY_pos	ynfF//
IscR_neg	hycG//rsmH//metH//pnp//
IscR_pos	trpA//fadE//
KdgR_neg	acnB//recF//
KdpE_pos	gdhA//
LacI_neg	fadM//pgaB//rutB//
LeuO_neg	
LeuO_pos	ogt//astA//malZ//gor//wrbA//yfbR//
LexA_neg	cysN//nrdF//ascB//nanK//rhaD//entD//acnA//argC//lysA//zwf//gadB//ulaG//fumC//mhpC//mhpD//paaF//ugpQ//torA//nadB//murQ//paaY//
LldR_neg	glcD//phr//
LldR_pos	cadA//gltD//
LrhA_neg	
LrhA_pos	
LsrR_neg	gpmM//uxuA//gntK//gatD//gpmA//
LysR_neg	
LysR_pos	deoD//
MalI_neg	galK//sucB//
MalT_pos	puuA//pspE//narI//adhE//entF//entA//
MarA_neg	lpxA//
MarA_pos	yibQ//purH//garD//cysN//pspE//hypB//paaA//deoB//rutC//yibQ//fabA//cysC//argH//dmsC//prs//hycG//gutQ//mngB//nrfC//frdC//phnP//aceB//
MarR_neg	
MatA_neg	ldtB//
MatA_pos	
MazE-MazF_neg	asnA//
MazE_neg	chbF//
McbR_neg	
McbR_pos	
MelR_neg	lsrK//pyrD//
MelR_pos	tnaA//pgm//
MetJ_neg	ppiA//prs//udp//paaI//sucD//ribA//dinB//hypF//sucB//ssuE//
MetR_neg	fadA//
MetR_pos	cysJ//paaK//gltD//ldtD//
MhpR_pos	ldtD//mdh//rffG//pheT//dmsA//leuD//
Mlc_neg	metH//garL//metH//sgbH//
MlrA_pos	lacA//
MngR_neg	ssuE//patA//
MntR_neg	hcaF//
MntR_pos	gltB//
ModE_neg	tehB//aceB//nrfD//argC//astC//ftnA//nanK//pdeR//
ModE_pos	glgB//patA//rbsK//fadD//ppsA//phnL//
MprA_neg	nirD//glmU//appA//
MqsA_neg	ruvB//ogt//
MraZ_neg	caiA//entF//dsdA//chbF//gabD//rutC//metF//aspC//fucO//phnG//umuD//
MtlR_neg	cysK//hcaC//fruK//
MurR_neg	iscS//mnmG//waaY//
MurR_pos	
Nac_neg	phnL//murE//deoC//
Nac_pos	wecC//galK//nrdF//frdC//glgB//fabH//treC//
NadR_neg	argH//mhpB//allA//pgaD//
NagC_neg	yqhD//fes//mraY//prpB//cysG//hcp//paaI//argI//ilvC//frdC//mngB//glnA//murC//uxaC//pgaD//ppc//luxS//hcaB//
NagC_pos	wecC//ynfH//
NanR_neg	frdB//rsmH//purM//gadA//deoC//yfbR//
NanR_pos	
NarL_neg	napC//puuE//frdA//purN//nrdE//katG//uxaC//mazG//napA//galT//argG//mtlD//caiB//pgk//pyrC//hyi//garD//gcl//rffC//leuD//tdcD//moeA//waaY//katE//
NarL_pos	fucA//yqjH//lacZ//citE//patD//paaH//puuE//nadA//murE//citE//rffG//puuD//alsE//
NarP_neg	uxaC//astA//puuC//
NarP_pos	glnA//fabD//uxuA//nemA//rutC//epd//ogt//argG//pnp//rhaB//
NemR_neg	melA//cadA//
NhaR_pos	gutQ//garK//hycG//bioD//rffC//
NikR_neg	nrfD//
NimR_neg	murE//
NorR_neg	
NorR_pos	cdd//
NrdR_neg	pck//allC//tpiA//phnL//
NsrR_neg	deoD//aroH//ssuE//katG//gpmA//tdcE//napB//recF//cynS//uvrC//murD//glmU//dgkA//sdhB//fabB//alsE//betB//glnA//kbaZ//puuD//metK//gabD//glpX//nrfD//frdB//nanA//gabD//purA//codA//icd//torC//fucA//metF//hcp//uxaC//puuA//
NtrC_neg	paaI//aceF//
NtrC_pos	purD//ybaS//nrfC//hycD//talA//cysN//glmS//fadB//moaD//glcB//dmsB//udp//argG//pdeH//ttdA//eno//dhaM//galK//mngB//pagP//gudD//
OmpR_neg	aceB//talA//rutB//pspE//psd//
OmpR_pos	polA//dacC//fabG//ung//
OxyR_neg	bioC//glgA//metE//alaS//glpK//
OxyR_pos	mngB//metA//pnp//lpd//ynfH//cadA//cadA//glpD//allB//
PaaX_neg	dhaL//ynfE//lpd//entF//metF//serA//cysM//ruvA//rhaA//
PdeL_pos	fadI//
PdhR_neg	kbaY//codA//fucI//argA//adhE//alsE//ycjG//nrfA//narI//aroG//argG//pheS//acnA//fadB//alaS//paaZ//lsrF//galK//fbaA//dacC//gatD//glpX//ynfF//leuB//
PdhR_pos	rbsD//dacC//
PepA_neg	polA//rhaD//
PgrR_neg	rutB//amn//
PhoB_neg	caiD//gntK//torA//nrfC//
PhoB_pos	sodA//tnaA//leuD//wzb//atoA//tynA//relA//malZ//allE//rhaA//mpl//ddlB//nrfA//murE//fadD//citD//
PhoP_neg	dgkA//tktB//paaA//
PhoP_pos	nrdB//betA//ssuD//lpxC//aroF//argF//napB//napB//tktB//gatZ//mhpD//ubiX//trpA//idnK//fbaA//rhaB//acnB//allB//ulaD//appA//metC//ybaS//gatZ//purF//sgbH//carA//sdhD//narG//adhE//dkgA//glpB//dacC//
PrpR_neg	
PrpR_pos	guaA//pgaC//puuB//lysA//
PspF_neg	
PspF_pos	waaZ//
PurR_neg	rhaA//nrfB//gpmA//galM//deoB//paaZ//umuC//metF//fdhF//prs//rffH//ahpF//gnd//ybaS//ribA//dapB//paaH//recF//nrdE//cyoE//nanA//phnP//puuE//hyaC//metE//allD//
PutA_neg	mhpD//ubiA//
PuuR_neg	purM//feaB//accA//phnG//lysC//relA//
QseB_pos	
RbsR_neg	fadA//phr//fadA//hycE//ychF//
RbsR_pos	araB//
RcdA_neg	
RcdA_pos	xylA//
RclR_pos	
RcnR_neg	mltF//
RcsAB_neg	citC//
RcsAB_pos	chbF//fau//
RcsB-BglJ_pos	sufS//speB//
RcsB_neg	hyi//
RcsB_pos	argI//nadB//uidA//
RelB-RelE_neg	ycjG//
RelB_neg	wecB//
RhaR_pos	
RhaS_pos	atoB//nanM//uvrC//slt//
Rob_neg	
Rob_pos	edd//lpd//caiB//hycG//napG//glmS//katE//deoD//frc//alkB//paaZ//gpmA//paaZ//accC//ftnA//gcvH//alkA//cynT//glcB//
RstA_neg	tauD//treC//
RstA_pos	yqjH//
RtcR_pos	lpd//paaE//
RutR_neg	cynT//betA//leuD//nanM//adiA//gutQ//purD//ppiA//deoC//yfbR//
RutR_pos	uvrA//
SdiA_neg	
SdiA_pos	
SgrR_neg	ampC//
SgrR_pos	ulaG//frdB//
SlyA_pos	
SoxR_neg	
SoxR_pos	pykF//
SoxS_neg	
SoxS_pos	appA//rutC//uxuB//pgi//frdB//sufS//prpC//lysA//hypB//argE//murE//deoC//entH//fucA//mhpD//speA//gltB//gatZ//tdcG//fadM//kbaY//alkB//chbF//codA//bioC//ppc//
StpA_neg	tyrA//epd//ahpF//
SutR_neg	lacZ//carA//
SutR_pos	
TdcA_pos	purF//gcvH//sodA//nadB//moeA//
TdcR_pos	gapA//katG//pck//ribA//rfe//
TorR_neg	sodA//
TorR_pos	ung//glcF//entC//
TreR_neg	asnB//sucB//
TrpR_neg	bglB//narG//argD//tehB//fadD//gloA//purA//gcl//astE//
TyrR_neg	ulaD//glpK//fumB//deoB//paaB//wecB//fucO//
TyrR_pos	gcvH//mtlD//argC//
UhpA_pos	entB//
UidR_neg	ahpC//metA//
UlaR_neg	relA//mhpD//purF//citC//lpxD//
UvrY_pos	pck//paaA//
UxuR_neg	pgaD//kbaY//paaA//tdcG//allC//
XapR_pos	lsrG//fadH//
XylR_neg	
XylR_pos	glgC//gadA//gutQ//
YdeO_neg	
YdeO_pos	ssuE//ynfF//hcaC//
YedW_neg	glyA//gatZ//
YedW_pos	ssuD//
YefM-YoeB_neg	amn//
YefM_neg	pflB//
YehT_pos	
YeiL_pos	
YiaJ_neg	xapA//waaH//nfsA//entA//gltB//glgA//
YjjQ_neg	aspA//
YpdB_pos	
YqhC_pos	nfsB//glxK//
YqjI_neg	gapA//
ZntR_pos	hyaC//
ZraR_pos	
Zur_neg	fadI//
