# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	mhpE//malQ//
CytR_neg	argA//wzc//yeaE//pdeH//hcaB//allA//nrdF//fadE//napC//glpB//
Dan_pos	sgbH//uxuB//
DcuR_pos	edd//wzc//hcp//argC//
DeoR_neg	araB//prpC//yqjH//uxaB//galM//hemL//
DhaR_neg	
DhaR_pos	cynS//
DicA_neg	
DinJ-YafQ_neg	lysC//
DnaA_neg	hcaB//pgi//eno//uxaB//deoC//
DnaA_pos	mnmG//fucI//putA//
DpiA_neg	
DpiA_pos	tdcE//paaK//pflB//fucO//argE//
DsdC_neg	
DsdC_pos	aspA//garK//
EbgR_neg	
EnvR_neg	patA//mhpB//
EnvY_pos	uxuB//hcaC//
EvgA_pos	glgX//cadA//fucA//entE//argG//lsrG//
ExuR_neg	tdcD//fucI//prpC//metH//purL//kbaZ//
FabR_neg	phoA//aroH//
FadR_neg	pgaC//glgC//napB//fabH//glpK//dmsA//mhpF//umpH//caiA//
FadR_pos	puuE//entC//lsrK//cysE//fadB//phnJ//uxaB//ung//uxaC//
FeaR_pos	argA//sgbE//
FhlA_pos	purN//sodB//ulaD//ugpQ//pgi//garR//dmsB//
FlhDC_neg	metA//puuB//
FlhDC_pos	frdB//ulaE//sgbH//pncB//fabB//dmsB//aspC//fucO//acnB//
FliZ_neg	argI//astB//purN//purA//dmsB//
FucR_pos	aceB//gudD//entD//mltF//nanK//caiC//
Fur_neg	pykF//eno//narH//arsC//icd//chbF//tynA//sdhD//rffG//ampC//chbG//rbsK//ribA//ybaS//cysE//ribA//ulaG//feaB//gatD//lacZ//fau//lhgO//glgX//cynS//argE//ynfF//bioA//pspE//ldtB//gpmA//pheS//malS//ruvB//srlD//tpiA//cynS//nadA//bioB//leuA//pheS//mnmG//puuA//sgbH//rsmH//rimK//hyi//ulaG//glcD//mtlD//uvrC//aceE//idnK//pdeL//hemL//
Fur_pos	prs//purL//luxS//metH//hycC//napC//ascB//fbaB//gcl//ldtC//lyxK//glmU//gor//tdcE//gcvT//hyi//prpB//
GadE-RcsB_pos	ppsA//yfdE//katE//tauD//
GadE_pos	rbsD//yfdE//fruK//phnG//fadE//sdhB//rutE//malQ//uxaB//fabA//
GadW_neg	ldtB//entH//ahpC//
GadW_pos	slt//uvrB//puuE//gcvP//
GadX_neg	lysA//glpA//
GadX_pos	fadE//nrdD//pyrD//fucK//sdhC//paaC//murI//argC//gatY//alaC//
GalR_neg	purH//ubiA//ruvA//citE//prpB//dgkA//
GalR_pos	nrfA//nrfA//glpA//glpC//
GalS_neg	metB//gudD//citC//glk//napG//sgbH//
GalS_pos	phnL//amn//paaC//araB//
GatR_neg	sodA//recF//xapA//
GcvA_neg	lpxD//nirB//nadA//
GcvA_pos	zwf//paaZ//hycD//
GlcC_neg	
GlcC_pos	pck//yeaG//metL//
GlpR_neg	truB//fabD//metF//rdoA//frdD//aldA//hcaC//
GlrR_pos	
GntR_neg	allB//polA//aspC//nanE//rsmH//fabB//hycF//alaC//yqhD//
GutM_pos	garR//mhpE//fucU//
GutR_neg	murF//nrdF//frdC//
HU_neg	gabD//carB//bioC//fdhF//mhpC//trpB//gltB//
HU_pos	
HcaR_neg	
HcaR_pos	gcvT//frc//
HdfR_neg	
HdfR_pos	
HigA_neg	paaG//
HigB-HigA_neg	add//
HipAB_neg	ulaD//nrdD//
HipB_neg	astB//codA//purN//
HyfR_pos	narI//
HypT_neg	glpK//hycB//
HypT_pos	purB//paaA//ftnA//paaY//dmsC//
IclR_neg	aroG//nanA//phnH//
IdnR_neg	yiaK//tnaA//
IdnR_pos	treC//bioD//gabT//uxaC//
IlvY_neg	
IlvY_pos	folE//
IscR_neg	narI//pgaB//pheS//dmsB//
IscR_pos	phnH//rfe//
KdgR_neg	torC//aceE//
KdpE_pos	phnN//
LacI_neg	mpl//garK//metH//
LeuO_neg	
LeuO_pos	ubiA//uidA//entH//entE//nrfC//yfdE//
LexA_neg	ruvA//treC//tyrA//paaF//pgaD//gcvH//metE//galT//acnA//paaE//araB//waaH//tdcG//metC//pheT//napC//aceF//alaC//nrfA//dinB//phnI//
LldR_neg	pgm//rffC//
LldR_pos	hycB//bioB//
LrhA_neg	
LrhA_pos	
LsrR_neg	prpE//fucO//chbG//sdhC//bioD//
LysR_neg	
LysR_pos	nadA//
MalI_neg	cysK//nagB//
MalT_pos	hyi//argI//hcaE//gadA//gudD//astE//
MarA_neg	citD//
MarA_pos	cynT//argE//fucO//ynfE//rutB//fumC//eno//nemA//paaE//sucD//hycE//aldA//deoD//glcD//leuD//cynT//narH//gabD//tdcG//uvrC//amn//glcF//
MarR_neg	
MatA_neg	katE//
MatA_pos	
MazE-MazF_neg	frc//
MazE_neg	glpC//
McbR_neg	
McbR_pos	
MelR_neg	glpC//frdC//
MelR_pos	atoA//hmp//
MetJ_neg	alaS//gpmM//acnA//mazG//ahpF//hcaF//accA//sodA//gabT//alkA//
MetR_neg	yfdE//
MetR_pos	argE//phnP//argI//ftsI//
MhpR_pos	lhgO//glmU//caiC//rffG//paaC//glxK//
Mlc_neg	gltD//hypB//xylA//gatY//
MlrA_pos	cueO//
MngR_neg	betB//phr//
MntR_neg	atoA//
MntR_pos	wrbA//
ModE_neg	dhaK//pdeR//ascB//alaC//metF//hypB//lpxD//sgbH//
ModE_pos	puuE//hcaF//waaY//purE//nrfD//rutC//
MprA_neg	aceE//ycjG//alkB//
MqsA_neg	gltB//argI//
MraZ_neg	glmS//gltB//kbaZ//deoA//astA//paaF//sodB//moaD//pepD//gcvH//fadJ//
MtlR_neg	wzc//citE//fumB//
MurR_neg	oxc//prs//acnB//
MurR_pos	
Nac_neg	cdd//tktB//prpB//
Nac_pos	caiB//hcaD//glpC//rffC//glgP//purK//argF//
NadR_neg	malY//uxaB//xylB//sdhB//
NagC_neg	mhpD//fbaA//speA//dkgA//ybaS//ldtC//purD//mtlD//citC//dsdA//zwf//aldA//sdhC//purE//slt//uxuB//speB//cueO//
NagC_pos	fucI//mhpC//
NanR_neg	deoC//entB//hypF//purB//metH//purM//
NanR_pos	
NarL_neg	mhpF//murI//pgi//rfe//pykF//yiaK//bacA//phnJ//mhpA//mhpC//ampC//glpQ//rhaA//frc//glyA//garD//torA//astB//ppsA//phnJ//glcE//rhaB//eno//srlD//
NarL_pos	phnM//pgaD//glnA//glxR//ulaF//rhaB//patD//ada//phnO//recF//araD//gabD//bioC//
NarP_neg	metF//ruvB//lpd//
NarP_pos	atoB//paaG//fucO//astB//hcaD//paaB//paaB//hmp//oxc//murG//
NemR_neg	paaZ//gcvT//
NhaR_pos	aroF//caiA//cysI//metB//glgB//
NikR_neg	deoD//
NimR_neg	paaH//
NorR_neg	
NorR_pos	fabA//
NrdR_neg	rffH//uvrC//pgm//amn//
NsrR_neg	sdhA//rnpB//wzc//tauD//pgaB//pck//gpmM//yfdE//purE//glxR//nrfC//caiB//sucC//dmsA//cdd//aceA//allB//aceA//sodA//aroG//pheS//cysH//garD//citG//mngB//speA//glxR//ulaD//prpB//prs//paaB//puuA//phnL//carA//ldtB//citC//
NtrC_neg	pnp//ybjG//
NtrC_pos	hmp//ynfF//mraY//allC//sgbE//bioA//paaA//aroL//rutB//garL//murD//bioB//ppc//idnD//aroG//deoA//sodB//poxB//idnO//acnB//pyrD//
OmpR_neg	moaA//paaZ//cysH//cysM//hcaF//
OmpR_pos	astB//dgcC//argH//fadJ//
OxyR_neg	glnA//glnA//uxuB//glxK//nagA//
OxyR_pos	dgcC//uxaB//gcl//cysK//eno//entC//sodA//trpB//folE//
PaaX_neg	nrdB//tdcE//nadA//purA//argA//metC//pspE//metF//feaB//
PdeL_pos	yeaE//
PdhR_neg	garR//pflB//phr//lysA//malY//tdcG//cueO//aspA//yibQ//deoD//ulaD//rffM//leuA//tnaA//kbaY//citX//narH//puuD//fadI//mhpC//adiA//glmS//nanE//ynfH//
PdhR_pos	hycC//aceE//
PepA_neg	sgbE//accB//
PgrR_neg	acnA//metB//
PhoB_neg	pfkA//dapB//gatY//yibQ//
PhoB_pos	allE//pagP//wrbA//codA//codA//asnB//tauD//prpB//entD//adhE//ulaF//caiC//pgk//xylA//fabD//lyxK//
PhoP_neg	add//lpxA//glmS//
PhoP_pos	glgB//fabA//leuC//puuD//tyrA//glgA//alkA//lpxD//fadD//sgbE//cysH//ada//trpE//fau//pck//fabH//pncB//puuC//pykF//gcl//uxaB//paaZ//caiA//narI//garL//prpC//frdB//accD//argG//aceA//carB//napA//
PrpR_neg	
PrpR_pos	sdhB//wecC//nadB//glcF//
PspF_neg	
PspF_pos	adhE//
PurR_neg	aroG//mhpC//adhE//atoD//pnp//dkgB//ldtD//bacA//cysC//mltF//ulaG//gabT//dgcC//torC//leuC//nagA//galT//paaY//gabT//cysG//astE//sgbH//hcaE//phnG//entE//murC//
PutA_neg	sdhA//argB//
PuuR_neg	glgB//gpmM//sdhC//gapA//amn//adhE//
QseB_pos	
RbsR_neg	mpl//gabT//frdA//gadB//leuA//
RbsR_pos	entD//
RcdA_neg	
RcdA_pos	glk//
RclR_pos	
RcnR_neg	pnp//
RcsAB_neg	hycC//
RcsAB_pos	paaB//hyaC//
RcsB-BglJ_pos	sdhA//gatY//
RcsB_neg	nanA//
RcsB_pos	pdeH//fucU//fabZ//
RelB-RelE_neg	dhaK//
RelB_neg	tehB//
RhaR_pos	
RhaS_pos	mazG//tktB//umuC//gcvH//
Rob_neg	
Rob_pos	tadA//pdeR//codA//moaD//entF//paaK//fucA//uxaC//nirD//gcvT//kbaZ//dapD//lsrF//rdoA//accC//cueO//ftnA//lpxC//napB//
RstA_neg	trpA//chbG//
RstA_pos	sdhC//
RtcR_pos	glpC//icd//
RutR_neg	ulaD//gcl//arsC//caiD//glpK//waaH//gor//ybjG//pgaB//argA//
RutR_pos	hcaC//
SdiA_neg	
SdiA_pos	
SgrR_neg	bioD//
SgrR_pos	pgaC//sucA//
SlyA_pos	
SoxR_neg	
SoxR_pos	atoB//
SoxS_neg	
SoxS_pos	purA//dhaK//nrdE//poxB//uvrC//fes//hypB//aroF//ubiX//gabD//nirB//moeB//uxuA//sgbE//adhE//umuD//carA//garD//fabZ//napB//torC//purB//accA//nrfD//trpD//sgbE//
StpA_neg	cysJ//ynfG//glcE//
SutR_neg	ynfH//cysN//
SutR_pos	
TdcA_pos	ulaF//moaA//acnA//araA//trpC//
TdcR_pos	fucO//leuC//hyaC//fucK//yibQ//
TorR_neg	napB//
TorR_pos	rdoA//purD//rutB//
TreR_neg	hcaF//nrfC//
TrpR_neg	aldA//dgcZ//aceF//malP//aceA//pspE//napC//hcaB//wrbA//
TyrR_neg	mngB//mazG//glpQ//malY//nrdF//lsrK//aceE//
TyrR_pos	gcvP//rffG//aspA//
UhpA_pos	fumB//
UidR_neg	lsrK//fadH//
UlaR_neg	idnO//leuA//puuD//phoA//acnA//
UvrY_pos	fabI//hcaC//
UxuR_neg	glyA//tdcG//glxK//ttdB//talA//
XapR_pos	wzc//allD//
XylR_neg	
XylR_pos	tehB//glxK//gadB//
YdeO_neg	
YdeO_pos	glcD//fabI//murQ//
YedW_neg	glpK//uvrB//
YedW_pos	yqhD//
YefM-YoeB_neg	cysM//
YefM_neg	ybjG//
YehT_pos	
YeiL_pos	
YiaJ_neg	hycC//hypF//leuB//argG//purM//fadD//
YjjQ_neg	deoB//
YpdB_pos	
YqhC_pos	lsrG//iscS//
YqjI_neg	gatD//
ZntR_pos	lhgO//
ZraR_pos	
Zur_neg	trpD//
