# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	phnO//guaA//
CpxR_pos	adhE//sdhC//fucA//pyrC//puuC//dgcC//phnI//narI//ugpQ//mdh//ttdB//tadA//gltB//gadA//relA//rhaB//glgB//lacZ//
Cra_neg	purM//ldtB//uxuB//phnH//aceF//sgbH//aspC//nemA//sodA//pykF//hemL//purD//uxaC//rutA//gatD//glmU//lysA//paaF//rimK//puuE//deoA//cynS//pspE//sucA//entC//trpA//citX//purK//rutC//metC//fruK//hypF//caiC//lpd//gor//ulaD//paaY//fruK//fabB//gltB//dhaL//phr//patA//tdcG//glcE//leuB//
Cra_pos	fadH//aceE//hcaF//mhpD//gcvT//waaH//hycC//paaA//fau//cysN//ynfG//cdd//tauD//acnA//gpmA//frdC//bioC//
CreB_neg	ttdA//
CreB_pos	phnP//
CsgD_neg	ampC//rffM//
CsgD_pos	aroG//paaI//bglB//
CsiR_neg	dkgB//amn//folE//sgbU//
CspA_pos	fucU//
CueR_neg	sodB//folE//
CueR_pos	gabT//kbaZ//
CusR_pos	metH//polA//glnA//
CynR_neg	
CynR_pos	pheS//hcaB//fbaA//
CysB_neg	accC//lysA//poxB//
CysB_pos	leuB//ubiC//ddlB//glcD//dmsA//hyaB//katE//epd//murE//alkB//caiA//aspA//ndh//hyaB//srlD//
CytR_neg	lpxA//prpC//slt//lyxK//deoB//glpC//mltF//rutE//pflB//glxR//
Dan_pos	nadA//arsC//
DcuR_pos	tauD//uxuB//rutD//tauD//
DeoR_neg	cynS//tynA//wrbA//ynfG//nrdD//frdD//
DhaR_neg	
DhaR_pos	tam//
DicA_neg	
DinJ-YafQ_neg	ahpF//
DnaA_neg	moaA//glgX//nrfD//napA//sucC//
DnaA_pos	yiaK//cysJ//sucD//
DpiA_neg	
DpiA_pos	prpE//dapD//sucD//ribA//argB//
DsdC_neg	
DsdC_pos	sgbU//fumB//
EbgR_neg	
EnvR_neg	nrdA//deoA//
EnvY_pos	idnO//pfkA//
EvgA_pos	gnd//rutE//citD//lhgO//narI//waaZ//
ExuR_neg	paaJ//citF//astD//pheS//dgcC//fadJ//
FabR_neg	glpD//moaE//
FadR_neg	rutB//nfsA//gatY//hycF//ttdB//ychF//cyoE//sdhC//rhaA//
FadR_pos	argB//xylB//astA//tdcB//pagP//putA//rdoA//citC//pyrC//
FeaR_pos	aceE//glmS//
FhlA_pos	adiA//moeA//puuA//ulaD//argH//glcF//gdhA//
FlhDC_neg	hemL//hyaB//
FlhDC_pos	fabD//gcvP//hmp//rbsK//phoA//citD//ybaS//ftsI//dhaL//
FliZ_neg	glcE//aroF//aroF//pepD//yibQ//
FucR_pos	dmsC//kbaY//aroL//hyaA//paaK//tdcB//
Fur_neg	betB//mpaA//alaC//entF//murD//glpC//pyrD//hyi//metB//gntK//murQ//fes//galT//fucI//purM//fabD//dsdA//argC//sdhD//glpB//tpiA//phnM//rhaB//truB//hemL//napB//murC//mraY//entA//chbG//entE//fabG//sdhC//fbaB//hycE//guaA//purL//katE//glpK//aspA//citF//mhpC//pgi//metH//phnH//metE//wzc//idnO//paaI//luxS//entC//glpD//napB//fucO//
Fur_pos	mhpD//paaH//uxuB//sgbE//nfsB//melA//tdcB//hyaA//galK//nanK//nrdB//glpA//sucC//sodB//malY//gltB//atoB//
GadE-RcsB_pos	udp//tyrA//sdhA//phnO//
GadE_pos	mhpB//gadB//phnP//pykF//iscS//acnB//ftnA//phnH//treC//fadB//
GadW_neg	lhgO//pykF//udp//
GadW_pos	arsC//torC//aroH//garR//
GadX_neg	amn//hycF//
GadX_pos	ssuD//acnB//torC//truB//phnI//nrdA//sdhD//rffC//ampC//waaH//
GalR_neg	murE//rsmH//rhaD//cysN//wecB//purK//
GalR_pos	bioA//glyA//caiA//dapB//
GalS_neg	paaA//murG//murG//mraY//mtlD//tdcG//
GalS_pos	ppc//lpxC//garD//fabA//
GatR_neg	treC//cdd//katE//
GcvA_neg	nadA//tnaA//nrdF//
GcvA_pos	chbG//mhpB//uxuB//
GlcC_neg	
GlcC_pos	hycF//zwf//hmp//
GlpR_neg	fabZ//glmS//dapD//gpmM//relA//yqhD//pgaC//
GlrR_pos	
GntR_neg	narG//fadB//gadB//gatY//entB//bacA//aceB//hycB//paaY//
GutM_pos	lsrK//purD//sdhD//
GutR_neg	atoD//garD//nemA//
HU_neg	sgbH//patD//gcl//ung//fumB//mhpC//puuA//
HU_pos	
HcaR_neg	
HcaR_pos	rffC//gadB//
HdfR_neg	
HdfR_pos	
HigA_neg	argI//
HigB-HigA_neg	gnd//
HipAB_neg	malY//argF//
HipB_neg	rffT//polA//kbaY//
HyfR_pos	hyaB//
HypT_neg	galT//rutE//
HypT_pos	katG//pykF//katG//sucB//mhpB//
IclR_neg	puuC//ynfF//hemH//
IdnR_neg	fucK//gpmM//
IdnR_pos	bacA//argA//hcp//sdhD//
IlvY_neg	
IlvY_pos	umuD//
IscR_neg	sgbE//eda//waaZ//entB//
IscR_pos	aceA//argI//
KdgR_neg	purH//mhpA//
KdpE_pos	purC//
LacI_neg	nanK//alkA//gatY//
LeuO_neg	
LeuO_pos	mdh//glpQ//lldD//sgbU//argC//araD//
LexA_neg	aceE//eno//ycjG//trpD//fadI//nirB//tnaA//prpC//araB//prpB//lsrG//ppc//mhpC//argG//folE//accD//mtlD//narG//purK//iscS//hyaB//
LldR_neg	patD//cysM//
LldR_pos	pgpC//rbsK//
LrhA_neg	
LrhA_pos	
LsrR_neg	entF//entF//pheT//gloA//paaH//
LysR_neg	
LysR_pos	leuC//
MalI_neg	dmsC//waaZ//
MalT_pos	ugpQ//gatD//tdcD//adhE//sgbH//tdcG//
MarA_neg	torC//
MarA_pos	rffH//lpxD//feaB//fabD//cysN//prpC//pgm//sufS//hyaC//puuD//ppiA//purH//atoB//phr//nirD//malY//murD//fbaB//murG//chbG//fabB//atoD//
MarR_neg	
MatA_neg	astB//
MatA_pos	
MazE-MazF_neg	uvrA//
MazE_neg	astB//
McbR_neg	
McbR_pos	
MelR_neg	lyxK//accA//
MelR_pos	entF//sdhD//
MetJ_neg	nagA//nrfA//fadH//nanA//caiD//pgi//acnB//fadI//alkA//paaJ//
MetR_neg	frdD//
MetR_pos	hyaC//truB//fabG//nanA//
MhpR_pos	aroH//lpxC//ribA//phnM//bioC//nanA//
Mlc_neg	phnI//wecC//sdhA//lysA//
MlrA_pos	aceF//
MngR_neg	entC//fadB//
MntR_neg	yqhD//
MntR_pos	murD//
ModE_neg	paaZ//aroF//rdoA//purE//zwf//uvrC//umpH//argE//
ModE_pos	treC//deoB//hemH//argG//psd//narG//
MprA_neg	murD//mpaA//nagA//
MqsA_neg	slt//rsmH//
MraZ_neg	sdhD//hyaB//add//mhpD//tktB//fumB//ada//metB//pfkA//gadB//yfdE//
MtlR_neg	gadA//pgaD//ada//
MurR_neg	cdd//purE//fadH//
MurR_pos	
Nac_neg	phnJ//pdeR//hcaD//
Nac_pos	malY//glpX//mhpA//bioD//cysH//fabA//argF//
NadR_neg	murQ//purM//srlD//fau//
NagC_neg	mpaA//ynfF//uvrA//ruvA//tpiA//fabZ//glgC//gcvT//speA//entB//pgaB//gabT//uvrA//ulaD//glmS//glmU//tdcD//purE//
NagC_pos	gntK//fabI//
NanR_neg	wzc//phnM//purA//recF//argI//gatZ//
NanR_pos	
NarL_neg	pepD//polB//deoC//paaF//feaB//gutQ//puuE//cysG//metL//pgaD//idnO//entA//fabD//guaA//guaB//phnH//fadD//ychF//dmsB//waaH//glcE//phnI//yibQ//cynS//
NarL_pos	dgcC//gapA//ldtC//argH//rutC//fumC//uxuB//ldtD//hmp//glgB//wzb//nrdD//purA//
NarP_neg	paaZ//chbG//nrdE//
NarP_pos	entH//chbF//moaA//cynS//pgm//mtlD//malY//paaG//ttdB//mhpB//
NemR_neg	hypF//araA//
NhaR_pos	torC//pck//rhaB//murE//caiD//
NikR_neg	xylA//
NimR_neg	phnN//
NorR_neg	
NorR_pos	cyoE//
NrdR_neg	leuC//sdhC//ulaG//hyi//
NsrR_neg	accD//paaG//xylB//lldD//alaS//hycC//cyoE//sucB//phnH//rnpB//ruvB//ubiX//bioA//cueO//allE//add//garD//nirB//glcE//arsC//mpaA//allC//betB//ubiC//xapA//ychF//gadB//prpB//phnJ//ftsI//hypF//fadB//phnJ//lpd//caiB//adhE//
NtrC_neg	uxaB//ftsI//
NtrC_pos	pdeL//napB//rffH//purH//purD//mraY//gatD//nrdB//ilvC//adhE//tktB//zwf//argC//gloA//puuE//fabB//rutA//ahpF//sufS//hemH//puuB//
OmpR_neg	yeaE//lsrF//lsrK//hyi//luxS//
OmpR_pos	ahpF//fau//leuA//relA//
OxyR_neg	phnJ//luxS//araD//glpK//cysG//
OxyR_pos	gltD//ldtB//pheT//eda//mltF//hyi//mhpF//fau//mpaA//
PaaX_neg	prpB//serA//codA//cysM//purL//ybjG//mngB//bioA//mhpB//
PdeL_pos	prpB//
PdhR_neg	napG//nfsB//glgA//uxaB//caiA//waaY//glmU//fes//waaY//deoB//ynfF//paaF//nagA//purN//prpE//hycB//astD//trpA//napH//sdhB//carB//aceB//glk//fbaB//
PdhR_pos	fucK//dkgA//
PepA_neg	glcE//nirD//
PgrR_neg	nagA//garD//
PhoB_neg	nrfA//malQ//nirD//puuB//
PhoB_pos	pdeH//glpB//uvrA//galM//metB//caiB//cysM//nrfA//betB//gabT//prs//glpX//rhaD//mhpA//yfdE//fruK//
PhoP_neg	dapD//mnmG//murD//
PhoP_pos	gcvP//alaS//ftsI//paaA//ubiA//gabT//ascB//ftsI//aceB//frdD//garD//sucD//codA//gltB//folA//prs//ascB//argD//gudD//fabA//hyaC//nrfC//murI//adhE//ulaE//pflB//mpl//murI//treC//napA//trpB//ilvC//
PrpR_neg	
PrpR_pos	rdoA//serA//glcE//acnB//
PspF_neg	
PspF_pos	bioA//
PurR_neg	mngB//mhpC//patA//alaS//ugpQ//fadM//leuB//alkB//narI//folA//paaB//frdC//glk//speB//nrdB//amn//trpE//caiA//purM//paaF//pheS//gpmA//pgk//fruK//entC//nadA//
PutA_neg	eno//ybaS//
PuuR_neg	fadB//uvrC//leuD//accB//paaI//tdcB//
QseB_pos	
RbsR_neg	purL//lpxC//carA//ppc//cysD//
RbsR_pos	luxS//
RcdA_neg	
RcdA_pos	hyaB//
RclR_pos	
RcnR_neg	nagA//
RcsAB_neg	ubiX//
RcsAB_pos	paaE//yeaE//
RcsB-BglJ_pos	atoA//mtlD//
RcsB_neg	malS//
RcsB_pos	citX//hcaC//udp//
RelB-RelE_neg	bioD//
RelB_neg	aroL//
RhaR_pos	
RhaS_pos	eno//rutB//zwf//truB//
Rob_neg	
Rob_pos	dkgA//aceB//katG//rbsK//ascB//uvrB//ttdB//deoB//folA//citX//galE//paaI//caiC//hyi//bioC//prpD//nrfD//glxK//phnG//
RstA_neg	astA//astC//
RstA_pos	yfdE//
RtcR_pos	astA//aspC//
RutR_neg	leuA//guaB//mpaA//trpA//sufS//fadH//sdhB//rffC//paaY//hycG//
RutR_pos	nadA//
SdiA_neg	
SdiA_pos	
SgrR_neg	glpB//
SgrR_pos	folA//aroF//
SlyA_pos	
SoxR_neg	
SoxR_pos	cysM//
SoxS_neg	
SoxS_pos	gntK//ppsA//pagP//uvrB//nanE//rhaB//lpxD//prpC//gntK//murF//galE//dgkA//sucB//pepD//ubiX//ubiX//mltF//hmp//hycD//paaE//nrdF//tpiA//kbaZ//gcvT//rffG//prpD//
StpA_neg	phnM//nadB//allB//
SutR_neg	cysN//glcD//
SutR_pos	
TdcA_pos	ribA//sdhD//nemA//fadA//hcaB//
TdcR_pos	pgaC//fabI//torC//mhpB//dacC//
TorR_neg	nagB//
TorR_pos	pfkA//glpQ//accD//
TreR_neg	gcl//entE//
TrpR_neg	atoA//glmS//acnB//gnd//prpE//ynfE//deoD//asnB//hycC//
TyrR_neg	talA//yeaE//napB//mhpB//bioC//sucB//glcF//
TyrR_pos	gcvP//gloA//speA//
UhpA_pos	purL//
UidR_neg	malQ//rbsD//
UlaR_neg	acnA//ycjG//uxaC//nrdF//phnL//
UvrY_pos	purB//cynS//
UxuR_neg	dapD//katE//epd//pyrC//deoC//
XapR_pos	pspE//gabD//
XylR_neg	
XylR_pos	ftsI//sufS//araA//
YdeO_neg	
YdeO_pos	paaY//napB//sgbE//
YedW_neg	tam//sdhC//
YedW_pos	cueO//
YefM-YoeB_neg	aspC//
YefM_neg	carA//
YehT_pos	
YeiL_pos	
YiaJ_neg	yiaK//waaZ//paaH//lysC//luxS//glcD//
YjjQ_neg	deoA//
YpdB_pos	
YqhC_pos	citX//rffG//
YqjI_neg	caiA//
ZntR_pos	uvrB//
ZraR_pos	
Zur_neg	rffH//
