# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	gcvP//purC//
NarP_neg	ynfG//fadD//xapA//
NarP_pos	folA//dapB//sodB//cysN//citX//phnN//garD//kbaZ//purE//yfbR//
NemR_neg	astA//bacA//
NhaR_pos	glcB//fadI//glk//astB//psd//
NikR_neg	purE//
NimR_neg	allA//
NorR_neg	
NorR_pos	fabI//
NrdR_neg	uxuA//patD//glpC//frdB//
NsrR_neg	pheS//cysI//nfsA//sdhC//argI//argE//ascB//paaY//tyrA//talA//glpB//cysG//phoA//tynA//dkgB//glcB//aroL//speB//astE//fdhF//ttdB//kbaY//yiaK//ahpC//gcvP//wecB//fbaB//rdoA//uvrA//astC//uxaC//nadA//cysE//phnO//cysJ//citF//
NtrC_neg	prpE//fbaA//
NtrC_pos	entE//ppc//ddlB//gnd//fadM//glnA//argA//gadA//cysC//gdhA//purK//trpB//pck//dhaM//argE//metA//wzb//uxaA//glpA//ycjG//hcaD//
OmpR_neg	glgA//ynfG//acnB//sucB//xylA//
OmpR_pos	rhaB//poxB//uxuB//murG//
OxyR_neg	xylA//chbG//pgaB//pdeL//dsdA//
OxyR_pos	ahpC//astE//cysJ//gatZ//citC//cysK//nadA//argC//leuB//
PaaX_neg	gnd//prpB//ftsI//treC//tyrA//uxaB//nrfA//lsrF//moeB//
PdeL_pos	cyoE//
PdhR_neg	phr//metK//hcp//mhpC//hcaC//deoA//puuB//paaH//leuB//nadB//accB//idnO//nrdD//eno//rsmH//uvrB//argH//cysD//argA//allD//eno//hypF//gatY//lysA//
PdhR_pos	fadM//purK//
PepA_neg	ynfG//phnO//
PgrR_neg	astD//cysM//
PhoB_neg	purD//rbsK//frdC//sdhC//
PhoB_pos	fbaB//purM//cysE//rbsK//malZ//hcaB//fabB//yeaG//araD//chbF//nfsA//nagA//xylB//fadA//nemA//purN//
PhoP_neg	galM//prpB//pgi//
PhoP_pos	cueO//prpC//ychF//sucD//cysN//fau//dmsB//slt//tyrB//gcvP//pheT//rutD//trpD//fadM//waaH//lysC//glpB//prpC//fabD//waaY//lsrK//deoA//glyA//astC//glk//frdB//leuD//truB//metE//lacA//pyrC//ribA//
PrpR_neg	
PrpR_pos	gor//caiB//phr//nrfB//
PspF_neg	
PspF_pos	ldtB//
PurR_neg	hcaC//pgm//glpC//pepD//ulaE//nrfC//ribA//ampC//fucK//purF//napC//yfbR//phr//purH//udp//metF//aldA//paaY//citD//uxaA//hmp//dkgB//uvrB//ampC//trpB//pflB//
PutA_neg	fucI//garK//
PuuR_neg	lpd//galT//yqjH//acnA//fabI//fadA//
QseB_pos	
RbsR_neg	paaZ//pncB//wecC//dacC//dhaL//
RbsR_pos	astD//
RcdA_neg	
RcdA_pos	hemL//
RclR_pos	
RcnR_neg	purH//
RcsAB_neg	narI//
RcsAB_pos	glxR//bioC//
RcsB-BglJ_pos	puuE//ynfG//
RcsB_neg	tpiA//
RcsB_pos	fadM//fucU//dacC//
RelB-RelE_neg	rdoA//
RelB_neg	tynA//
RhaR_pos	
RhaS_pos	araD//astA//tdcD//rsmH//
Rob_neg	
Rob_pos	acnA//malQ//lysC//gltB//moaD//yiaK//metL//nfsB//puuC//ulaD//metB//gltD//aldA//araA//fucU//trpB//fbaA//xapA//ybaS//
RstA_neg	yibQ//nanM//
RstA_pos	garK//
RtcR_pos	ldtC//ssuE//
RutR_neg	ldtB//dapD//uxuA//phnP//polB//prpD//hypF//polB//eda//metK//
RutR_pos	mnmG//
SdiA_neg	
SdiA_pos	
SgrR_neg	ulaE//
SgrR_pos	sdhC//fabB//
SlyA_pos	
SoxR_neg	
SoxR_pos	murI//
SoxS_neg	
SoxS_pos	sgbE//paaG//entF//relA//glmS//speA//glgC//yqhD//sdhC//metH//lpxC//uidA//gloA//pnp//xylA//pgaC//puuE//pheT//metC//yfbR//phnH//entC//entD//tyrA//guaB//lacZ//
StpA_neg	dhaM//paaE//nrdB//
SutR_neg	ubiC//uvrB//
SutR_pos	
TdcA_pos	nadA//ulaG//wzb//nanA//pgaB//
TdcR_pos	gatY//lpxC//pdeL//argF//prs//
TorR_neg	amn//
TorR_pos	idnK//fumC//recF//
TreR_neg	ruvA//mpaA//
TrpR_neg	puuA//gadB//gltB//yfdE//ulaD//gadB//prs//rutA//idnO//
TyrR_neg	waaY//accB//pgaB//accB//nrfB//ascB//torA//
TyrR_pos	glcE//cysE//ftnA//
UhpA_pos	glcD//
UidR_neg	leuB//paaZ//
UlaR_neg	pspE//chbG//phnN//entD//bioB//
UvrY_pos	idnO//uxuB//
UxuR_neg	fabD//narH//entC//nrdB//garD//
XapR_pos	mngB//ttdA//
XylR_neg	
XylR_pos	cysG//ynfF//glpX//
YdeO_neg	
YdeO_pos	ychF//accD//tyrA//
YedW_neg	nanM//nrdD//
YedW_pos	paaG//
YefM-YoeB_neg	lsrG//
YefM_neg	cdd//
YehT_pos	
YeiL_pos	
YiaJ_neg	putA//ubiA//hycE//citD//pck//metE//
YjjQ_neg	hcp//
YpdB_pos	
YqhC_pos	moeB//glpC//
YqjI_neg	citE//
ZntR_pos	paaJ//
ZraR_pos	
Zur_neg	astD//
