# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	polB//nirD//
PhoP_pos	malP//phnH//yfdE//guaA//glmS//umpH//ychF//nirB//fadJ//serA//adhE//hycD//cyoE//garD//slt//ldtB//ulaG//yiaK//tdcD//argI//aroF//accB//argC//dhaL//folA//speA//pck//accC//ada//lpxD//trpA//allB//
PrpR_neg	
PrpR_pos	aroL//lpd//katG//ulaD//
PspF_neg	
PspF_pos	mhpD//
PurR_neg	rffT//tdcE//leuB//carA//tpiA//dkgA//umuC//dacC//paaE//dapB//malY//citG//puuC//putA//rutD//ybaS//metB//fucO//astA//fadH//pgaC//gltB//aldA//hcp//galM//phnN//
PutA_neg	glmU//napB//
PuuR_neg	carB//phnG//hypB//acnB//glpK//lpxC//
QseB_pos	
RbsR_neg	pgpC//tyrB//metK//leuC//rutA//
RbsR_pos	rutE//
RcdA_neg	
RcdA_pos	argA//
RclR_pos	
RcnR_neg	moaD//
RcsAB_neg	galK//
RcsAB_pos	mraY//argB//
RcsB-BglJ_pos	murI//dgcC//
RcsB_neg	idnD//
RcsB_pos	caiA//gdhA//betB//
RelB-RelE_neg	astB//
RelB_neg	acnA//
RhaR_pos	
RhaS_pos	cynT//cynS//argA//murG//
Rob_neg	
Rob_pos	pheS//glk//speB//phnI//napC//argC//napA//betA//glcE//lsrG//mdh//pgpC//entF//ascB//talA//astA//ppiA//tdcB//prpC//
RstA_neg	murQ//mpl//
RstA_pos	sodA//
RtcR_pos	aspA//murI//
RutR_neg	nagA//cyoE//thrS//sodA//purE//torC//zwf//dkgB//ppc//rpiB//
RutR_pos	nrdB//
SdiA_neg	
SdiA_pos	
SgrR_neg	leuC//
SgrR_pos	paaE//uvrA//
SlyA_pos	
SoxR_neg	
SoxR_pos	fruK//
SoxS_neg	
SoxS_pos	acnB//frdD//prpE//phnM//uvrB//pgm//asnA//bioB//ynfH//xylB//hycC//phoA//arsC//napB//pdeL//glcF//eda//pepD//nrfC//rimK//ascB//garR//rffM//mraY//accC//allC//
StpA_neg	appA//fadH//ribA//
SutR_neg	dmsA//melA//
SutR_pos	
TdcA_pos	rimK//hyaB//nrdF//dgcZ//gadA//
TdcR_pos	codA//purD//dacC//dkgB//trpE//
TorR_neg	fabD//
TorR_pos	hycD//murQ//gnd//
TreR_neg	caiA//tktB//
TrpR_neg	murI//rhaA//lsrK//hcp//purH//yqjH//ftsI//napH//puuA//
TyrR_neg	melA//rffM//glcD//hycD//nanA//fabA//katE//
TyrR_pos	mdh//yeaE//tauD//
UhpA_pos	glgP//
UidR_neg	ldtB//purD//
UlaR_neg	fadM//fadA//napB//gor//rutD//
UvrY_pos	guaA//fucO//
UxuR_neg	ychF//xapA//frdC//epd//yeaG//
XapR_pos	mhpB//cynS//
XylR_neg	
XylR_pos	rimK//malZ//glxK//
YdeO_neg	
YdeO_pos	ppiA//astA//galT//
YedW_neg	sodA//gadA//
YedW_pos	citG//
YefM-YoeB_neg	ahpF//
YefM_neg	atoB//
YehT_pos	
YeiL_pos	
YiaJ_neg	yibQ//sufS//pgpC//fadB//pdeL//ulaF//
YjjQ_neg	rbsD//
YpdB_pos	
YqhC_pos	uidA//ribA//
YqjI_neg	alsE//
ZntR_pos	adhE//
ZraR_pos	
Zur_neg	glcD//
