# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	xylB//ynfG//
MqsA_neg	ubiA//glcF//
MraZ_neg	nemA//glpC//ppsA//ruvA//nrdF//srlD//purK//argD//aroF//hyaA//aceA//
MtlR_neg	nrdA//hcaF//pagP//
MurR_neg	bioD//psd//mraY//
MurR_pos	
Nac_neg	rffC//napH//entD//
Nac_pos	dkgB//glgC//cysN//sdhC//lacA//yfbR//ppsA//
NadR_neg	mhpE//kbaY//mngB//leuC//
NagC_neg	ppsA//amn//lpd//allE//glpC//glpB//trpE//mhpC//glcB//rutA//hcaD//hemL//ppc//caiC//edd//glgA//dapD//rimK//
NagC_pos	allC//sucC//
NanR_neg	fadD//bioA//glpB//glpQ//pagP//melA//
NanR_pos	
NarL_neg	sgbH//metC//iscS//fadA//gatZ//mhpF//lpxC//oxc//argD//slt//katG//moeA//allA//cueO//sdhA//ddlB//aroL//paaI//moaD//murE//aroL//udp//glgA//wrbA//
NarL_pos	luxS//astD//atoD//aroL//alkB//melA//gcvT//napG//nagA//sodB//malZ//galT//citC//
NarP_neg	nrfB//hycG//sgbH//
NarP_pos	moaE//lsrK//fabB//dmsA//atoA//rutB//ssuD//hcp//trpE//entH//
NemR_neg	tnaA//mpaA//
NhaR_pos	gcvP//hemL//pgi//fadH//hypF//
NikR_neg	paaB//
NimR_neg	puuA//
NorR_neg	
NorR_pos	rsmH//
NrdR_neg	aspC//moeA//epd//glgX//
NsrR_neg	garR//deoD//dkgB//lldD//metL//ttdB//dhaK//pncB//sufS//ynfG//uidA//glmU//nadB//rhaB//udp//umpH//murI//pykF//rutC//paaK//narH//fadD//lacZ//ssuE//pdeH//leuD//nanM//deoD//nrdB//dgkA//leuC//tehB//allC//purE//pdeR//ahpC//
NtrC_neg	trpB//uxuB//
NtrC_pos	relA//bioC//allC//uxuB//poxB//hycC//glpD//truB//torA//umpH//cynS//ogt//nrdE//rdoA//napB//fbaB//folA//dhaK//nanE//gutQ//paaK//
OmpR_neg	napB//kbaZ//ahpC//appA//polA//
OmpR_pos	glpX//caiD//iscS//ulaD//
OxyR_neg	sucB//lhgO//lpxC//cysC//murF//
OxyR_pos	cysN//cysK//murF//nfsA//sgbU//aspC//frdB//caiC//idnD//
PaaX_neg	epd//puuC//ahpF//hyi//tyrA//rffT//tauD//pdeR//purL//
PdeL_pos	cysD//
PdhR_neg	ynfE//nemA//phoA//gltD//moeA//ndh//nanM//nrdD//napB//dacC//pepD//katG//dkgA//frdC//ttdB//caiA//nrfA//argD//gdhA//ldtB//astC//nanE//napH//moaD//
PdhR_pos	pgk//rffH//
PepA_neg	tam//phnH//
PgrR_neg	argD//ulaG//
PhoB_neg	rhaB//nagB//eda//pdeL//
PhoB_pos	murQ//carA//alkB//narI//lpxD//oxc//ugpQ//patA//ubiA//phnH//dmsB//ychF//speB//fabA//gutQ//sdhA//
PhoP_neg	idnO//dkgA//amn//
PhoP_pos	purN//rffM//iscS//guaA//amn//phoA//rsmH//argD//mtlD//bioD//ycjG//betA//glcF//cysK//zwf//fumB//murG//lsrK//srlD//glmS//oxc//appA//acnA//dmsC//eno//glxR//cysC//mdh//leuD//glpX//phnM//yibQ//
PrpR_neg	
PrpR_pos	nrdB//cysI//rutE//pgk//
PspF_neg	
PspF_pos	ldtD//
PurR_neg	fadD//folA//rhaB//aspC//dmsC//astC//fruK//ttdA//paaB//xapA//katG//rdoA//nrfD//ulaG//gor//fdhF//garL//patD//paaB//caiD//argH//alkB//yfbR//ulaF//rsmH//mtlD//
PutA_neg	deoB//murG//
PuuR_neg	bioA//fumC//phnG//ubiA//lysC//glpC//
QseB_pos	
RbsR_neg	pspE//idnD//rffC//malY//narH//
RbsR_pos	bioA//
RcdA_neg	
RcdA_pos	trpE//
RclR_pos	
RcnR_neg	idnD//
RcsAB_neg	puuC//
RcsAB_pos	hycD//umuC//
RcsB-BglJ_pos	sucB//rhaD//
RcsB_neg	rfe//
RcsB_pos	dacC//malZ//puuE//
RelB-RelE_neg	citD//
RelB_neg	citX//
RhaR_pos	
RhaS_pos	sgbH//sgbE//fabG//alsE//
Rob_neg	
Rob_pos	glmS//trpE//nrdF//ddlB//ascB//metA//sgbH//cysE//mhpA//wecB//ldtD//garR//narG//nadB//gabD//dkgB//hcaC//puuC//ulaD//
RstA_neg	murI//bioA//
RstA_pos	folA//
RtcR_pos	gor//phr//
RutR_neg	narH//ogt//acnA//rutE//ubiX//alaS//deoB//luxS//fabA//pfkA//
RutR_pos	dinB//
SdiA_neg	
SdiA_pos	
SgrR_neg	malS//
SgrR_pos	gloA//nrdB//
SlyA_pos	
SoxR_neg	
SoxR_pos	allE//
SoxS_neg	
SoxS_pos	polA//dinB//gntK//fadJ//hycD//ppsA//hyaB//phnI//hcaD//nirB//hycG//pncB//deoC//rffC//deoA//mhpC//gapA//pncB//malP//cysD//metA//aspA//srlD//guaB//amn//caiC//
StpA_neg	fadH//lpxA//mazG//
SutR_neg	glgA//glcD//
SutR_pos	
TdcA_pos	metE//glpQ//wrbA//glgP//atoA//
TdcR_pos	hyi//acnB//hyaA//udp//nrdF//
TorR_neg	rhaD//
TorR_pos	cysI//ppsA//bioF//
TreR_neg	ppsA//gcl//
TrpR_neg	paaC//accC//purK//nrdA//argF//hyaC//ldtD//fabB//fucO//
TyrR_neg	tam//hcaB//fruK//rpiB//pykF//ssuE//purA//
TyrR_pos	yfbR//ada//fadE//
UhpA_pos	sdhB//
UidR_neg	moaA//ppiA//
UlaR_neg	gltD//glgC//gatY//nrdB//ttdB//
UvrY_pos	napC//gcvH//
UxuR_neg	ndh//lysA//sdhC//hemH//malQ//
XapR_pos	tnaA//waaH//
XylR_neg	
XylR_pos	ynfG//pck//ung//
YdeO_neg	
YdeO_pos	murF//malY//gabD//
YedW_neg	eda//acnB//
YedW_pos	lldD//
YefM-YoeB_neg	mazG//
YefM_neg	lacA//
YehT_pos	
YeiL_pos	
YiaJ_neg	lpxA//tnaA//napH//galT//yqhD//pdeL//
YjjQ_neg	sodA//
YpdB_pos	
YqhC_pos	carA//glk//
YqjI_neg	ruvA//
ZntR_pos	sgbU//
ZraR_pos	
Zur_neg	purH//
