# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	ascB//hmp//
HipB_neg	katE//tam//nanK//
HyfR_pos	ulaF//
HypT_neg	glpA//fabI//
HypT_pos	tnaA//galE//gatY//phnL//argH//
IclR_neg	dapD//astE//luxS//
IdnR_neg	lldD//glmU//
IdnR_pos	sdhD//ppc//ftsI//araB//
IlvY_neg	
IlvY_pos	wecB//
IscR_neg	sodB//frc//alkB//carA//
IscR_pos	moeA//gatZ//
KdgR_neg	metE//trpA//
KdpE_pos	ynfG//
LacI_neg	yfdE//lacZ//aceE//
LeuO_neg	
LeuO_pos	patD//putA//folE//argE//purK//malQ//
LexA_neg	ulaG//trpB//dmsA//katE//adhE//bioF//gadB//uxuA//arsC//fadD//paaG//glgA//gadB//phnH//slt//tktB//puuA//relA//malP//aroG//glmS//
LldR_neg	adiA//nagA//
LldR_pos	rffT//caiB//
LrhA_neg	
LrhA_pos	
LsrR_neg	sdhB//ubiX//lpxA//epd//paaA//
LysR_neg	
LysR_pos	hycC//
MalI_neg	sucC//fau//
MalT_pos	dmsA//paaK//fabG//rpiB//purF//gapA//
MarA_neg	hyaC//
MarA_pos	moaD//wecC//ribA//dapB//ynfG//ubiC//ycjG//prpD//argG//sgbE//lpxD//tdcE//napH//betB//paaZ//leuC//hcp//astE//malY//ycjG//fruK//mraY//
MarR_neg	
MatA_neg	uidA//
MatA_pos	
MazE-MazF_neg	moaA//
MazE_neg	ychF//
McbR_neg	
McbR_pos	
MelR_neg	uidA//dacC//
MelR_pos	rbsK//rutB//
MetJ_neg	malP//glcF//bioA//waaY//gor//gadA//nadA//pdeH//frdA//fadA//
MetR_neg	glnA//
MetR_pos	kbaZ//murC//acnB//fadI//
MhpR_pos	paaB//yqjH//glxR//nanA//bioF//ttdB//
Mlc_neg	leuA//gabD//fucO//folE//
MlrA_pos	rffH//
MngR_neg	argG//metK//
MntR_neg	rffT//
MntR_pos	fucA//
ModE_neg	ybjG//prpE//serA//caiD//leuC//hmp//tdcE//chbG//
ModE_pos	aspA//argH//mngB//entB//fabA//fau//
MprA_neg	sdhB//glk//nanM//
MqsA_neg	nirD//gatD//
MraZ_neg	pgk//ascB//hcaD//pheT//trpC//ppsA//fbaB//glpB//paaA//ruvA//prpE//
MtlR_neg	ttdB//gatY//fabA//
MurR_neg	betA//caiB//purA//
MurR_pos	
Nac_neg	tktB//moaE//tnaA//
Nac_pos	sgbE//fau//phoA//murF//cysD//tyrA//fadM//
NadR_neg	fbaA//puuD//uvrA//hycC//
NagC_neg	wzc//prpC//mpl//pncB//moeA//dsdA//paaB//allB//cynS//murQ//paaZ//dmsC//citE//uvrA//wzb//lpxC//aroL//ubiA//
NagC_pos	ruvB//cadA//
NanR_neg	astC//ubiC//dgkA//uxaB//frc//nanK//
NanR_pos	
NarL_neg	puuB//dmsC//puuB//prpC//ulaD//relA//dgcZ//pepD//ldtB//nrdE//puuE//paaC//puuB//amn//pagP//icd//hypB//argA//allA//puuD//alaC//rutB//yfbR//lysC//
NarL_pos	phnL//lysC//phr//prpD//galK//yiaK//nrdF//cynT//rffC//mhpC//purF//xylB//citD//
NarP_neg	rdoA//folA//rhaA//
NarP_pos	aroL//arsC//argF//galE//prpD//glcB//rdoA//moaD//frdA//adiA//
NemR_neg	trpC//hycC//
NhaR_pos	entD//kbaY//bioC//nrdB//waaZ//
NikR_neg	yiaK//
NimR_neg	alaS//
NorR_neg	
NorR_pos	entB//
NrdR_neg	lsrK//metK//psd//cysE//
NsrR_neg	aroH//cyoE//alaC//glgB//guaA//srlD//uvrC//dhaM//gabT//atoD//ulaD//citD//lpxC//galK//atoA//oxc//fabG//sdhA//dmsC//frdB//pgaB//ynfH//tam//fadB//ynfG//bioC//tdcG//napB//deoC//rffG//puuC//bioD//metF//hcp//edd//glgC//
NtrC_neg	pheT//dapD//
NtrC_pos	entB//aceA//purL//carB//entC//narG//gcvH//astE//rutD//patD//uxaA//prpD//ubiA//lpxC//xapA//murG//galM//fadE//glpX//phnP//paaH//
OmpR_neg	dapB//ssuD//argG//purN//glgX//
OmpR_pos	leuD//accA//gloA//alkB//
OxyR_neg	glcD//hmp//cysI//pgi//cysG//
OxyR_pos	fabB//uxuB//dapB//caiC//murD//folE//purB//bioF//aroG//
PaaX_neg	alkB//araB//carA//ulaF//argI//fabA//dapB//araA//gcl//
PdeL_pos	umuD//
PdhR_neg	fadE//chbF//araD//tktB//betA//glpK//cysH//accB//tdcB//malY//ubiX//purE//nrfA//ftsI//atoD//nagA//napH//entH//pagP//pck//alaC//entD//ldtD//lysC//
PdhR_pos	pyrC//murI//
PepA_neg	astC//pdeH//
PgrR_neg	cynS//mhpF//
PhoB_neg	fadB//caiA//pgaC//relA//
PhoB_pos	polB//glxK//allD//purH//carA//gpmA//purK//puuA//leuC//entC//malP//cueO//pdeL//sgbH//gutQ//glcB//
PhoP_neg	gnd//uxaB//hcaF//
PhoP_pos	gcl//xapA//citG//phr//hemH//torC//phnH//phnL//sdhB//ynfF//rbsD//malY//lpxD//gpmM//rffH//lldD//pepD//ulaD//metF//caiC//serA//dkgA//ldtC//ada//gntK//lhgO//tnaA//acnB//uxaB//uvrC//metB//argB//
PrpR_neg	
PrpR_pos	rimK//metC//entC//ruvB//
PspF_neg	
PspF_pos	deoD//
PurR_neg	puuD//bioC//paaC//rhaD//hyi//tadA//glxR//ulaD//hcaD//paaG//astA//rffM//fabZ//recF//fabI//ynfE//sodA//carA//mnmG//fabI//carB//galT//ppiA//amn//alsE//atoA//
PutA_neg	glnA//cysJ//
PuuR_neg	fadI//prpC//patA//add//rutA//hemL//
QseB_pos	
RbsR_neg	galM//ftnA//idnO//entB//ldtC//
RbsR_pos	alkB//
RcdA_neg	
RcdA_pos	pyrD//
RclR_pos	
RcnR_neg	rutA//
RcsAB_neg	mhpF//
RcsAB_pos	guaB//rbsK//
RcsB-BglJ_pos	mltF//hemH//
RcsB_neg	ruvB//
RcsB_pos	ndh//fucK//mhpE//
RelB-RelE_neg	fdhF//
RelB_neg	araA//
RhaR_pos	
RhaS_pos	fucA//aceA//fabD//glcE//
Rob_neg	
Rob_pos	chbF//rimK//sodA//nanK//tadA//mraY//hcp//glcD//sdhD//gabD//fabI//yqjH//sucA//speB//ttdB//tauD//astA//polA//pck//
RstA_neg	lacA//astC//
RstA_pos	wzb//
RtcR_pos	dmsC//fumB//
RutR_neg	mhpE//umuD//glgP//nrdA//alkB//purN//allD//dmsC//pdeH//frdA//
RutR_pos	relA//
SdiA_neg	
SdiA_pos	
SgrR_neg	carB//
SgrR_pos	ybjG//purN//
SlyA_pos	
SoxR_neg	
SoxR_pos	ychF//
SoxS_neg	
SoxS_pos	metL//gpmM//astA//allB//hmp//pgaC//uvrA//tktB//nemA//glnA//lsrK//ung//nanK//paaH//trpB//ychF//uxaB//metL//deoB//slt//hypB//fabA//pnp//hycE//pck//psd//
StpA_neg	ubiA//rdoA//speA//
SutR_neg	phnM//citD//
SutR_pos	
TdcA_pos	mdh//puuE//uxaA//yiaK//pflB//
TdcR_pos	cysJ//glgX//slt//ttdA//gatY//
TorR_neg	purF//
TorR_pos	dkgB//murD//accC//
TreR_neg	atoA//kbaY//
TrpR_neg	rffM//metK//argE//fruK//purK//gltD//betA//hcaD//hycC//
TyrR_neg	citG//malQ//moeA//rffT//gpmA//glgP//icd//
TyrR_pos	puuA//pdeL//purE//
UhpA_pos	pdeH//
UidR_neg	fadB//astC//
UlaR_neg	glcB//gapA//hycF//rsmH//sdhB//
UvrY_pos	atoD//ftnA//
UxuR_neg	gor//frc//pdeR//fumC//lsrF//
XapR_pos	frdC//yeaG//
XylR_neg	
XylR_pos	ulaG//rutA//fdhF//
YdeO_neg	
YdeO_pos	cueO//glgP//lhgO//
YedW_neg	sgbU//hcp//
YedW_pos	ynfE//
YefM-YoeB_neg	pspE//
YefM_neg	talA//
YehT_pos	
YeiL_pos	
YiaJ_neg	dmsA//caiA//sodA//rffC//asnA//narH//
YjjQ_neg	mhpD//
YpdB_pos	
YqhC_pos	purK//entH//
YqjI_neg	uxuA//
ZntR_pos	fbaA//
ZraR_pos	
Zur_neg	pspE//
