# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	metE//rdoA//
Cra_neg	napH//wecB//entA//dgkA//cdd//glgX//pheT//ynfG//bioC//dmsB//carB//phnM//gutQ//uvrC//ynfE//leuB//rimK//mltF//purF//xylA//glxK//nrdB//lyxK//ynfH//ppiA//arsC//cdd//hypB//fau//astD//lsrK//gcl//waaZ//dacC//narG//narH//ndh//sdhD//napG//lsrF//sodA//glgA//moeA//cysI//cysD//alsE//
Cra_pos	ulaG//ulaE//hycD//lacA//mhpF//phoA//acnA//patA//metH//dhaM//dinB//paaI//gadB//argA//nfsB//atoA//ugpQ//
CreB_neg	waaZ//
CreB_pos	frc//
CsgD_neg	gadB//murG//
CsgD_pos	caiC//mtlD//murD//
CsiR_neg	feaB//amn//nanK//mnmG//
CspA_pos	glpQ//
CueR_neg	frdB//ubiX//
CueR_pos	frdC//pspE//
CusR_pos	aroH//lsrF//uxuB//
CynR_neg	
CynR_pos	yeaE//argA//mazG//
CysB_neg	xapA//ascB//arsC//
CysB_pos	ddlB//luxS//nemA//talA//uvrC//alsE//wzb//tadA//guaA//yeaG//paaJ//feaB//lpxA//dgcZ//aceE//
CytR_neg	mhpF//gpmA//asnA//aceA//gcvH//rpiB//purF//torC//talA//ldtD//
Dan_pos	fadA//dhaK//
DcuR_pos	murG//yibQ//truB//purF//
DeoR_neg	idnO//nanA//slt//hcaD//glgA//purE//
DhaR_neg	
DhaR_pos	gadA//
DicA_neg	
DinJ-YafQ_neg	idnO//
DnaA_neg	fadI//pgaC//pnp//purH//polA//
DnaA_pos	ubiX//asnA//paaI//
DpiA_neg	
DpiA_pos	glgP//aroF//dhaK//phnM//ppc//
DsdC_neg	
DsdC_pos	mtlD//putA//
EbgR_neg	
EnvR_neg	paaJ//murD//
EnvY_pos	uxaA//argC//
EvgA_pos	eno//puuC//garR//araA//murQ//dinB//
ExuR_neg	metL//ulaF//gor//serA//hcp//cysD//
FabR_neg	waaH//sgbU//
FadR_neg	araA//cysJ//fumC//betA//ynfF//glcF//pgm//uxuB//metK//
FadR_pos	hypF//phnH//mpaA//gatZ//pnp//ppiA//fabB//caiC//purH//
FeaR_pos	cysG//yqjH//
FhlA_pos	aroH//fabD//entA//purL//tyrB//fucU//uxuA//
FlhDC_neg	metB//xapA//
FlhDC_pos	gnd//yqjH//tauD//glpC//dmsC//entD//betA//srlD//idnK//
FliZ_neg	paaE//hycG//dhaM//pgm//fucU//
FucR_pos	napB//glgA//ynfE//ftnA//frdC//xapA//
Fur_neg	alsE//rhaB//pgm//folE//hyaC//uvrB//gcvT//slt//yqhD//hcaD//rnpB//waaY//ynfH//uxaA//nirD//dapD//cynT//ruvA//prpB//alaC//iscS//dmsB//rpiB//aspA//ahpF//glgA//paaK//nrdB//pheS//rimK//sdhC//ftnA//hcaF//chbF//katE//phnI//alsE//tyrB//yibQ//allA//glpD//entH//fadI//nrfA//metH//argG//yqjH//fadA//dgkA//glpX//nanE//alkA//fbaA//gatD//
Fur_pos	pgaC//astE//frdA//garD//glgB//galM//nrdF//idnK//sodB//caiA//srlD//hyaB//galT//glcE//lacZ//ssuD//cysK//
GadE-RcsB_pos	speB//katG//accB//metL//
GadE_pos	dhaL//nrfA//fucA//aroL//ybaS//lacZ//fucK//cysN//gutQ//pfkA//
GadW_neg	ada//glpX//metH//
GadW_pos	pck//polA//kbaY//fadA//
GadX_neg	sdhD//mpaA//
GadX_pos	tpiA//pgpC//tktB//glmS//nfsB//phnH//citC//citF//purE//glcD//
GalR_neg	mpaA//metF//nanA//gcvH//mhpA//dgkA//
GalR_pos	narI//fumC//guaB//ogt//
GalS_neg	sdhB//serA//moeA//atoD//napC//ppsA//
GalS_pos	yqjH//citF//dgkA//argH//
GatR_neg	napB//gdhA//narH//
GcvA_neg	astC//mpaA//cysH//
GcvA_pos	puuC//narI//dmsA//
GlcC_neg	
GlcC_pos	napH//allE//aspA//
GlpR_neg	ldtB//katE//ppsA//pgaD//gadA//hmp//sdhC//
GlrR_pos	
GntR_neg	gcvP//puuB//frdA//ppsA//phoA//paaA//nrfB//prpE//wecB//
GutM_pos	psd//bioF//accD//
GutR_neg	mdh//moaD//gcvH//
HU_neg	pepD//hycG//iscS//entF//tadA//fadB//paaY//
HU_pos	
HcaR_neg	
HcaR_pos	wecB//phnP//
HdfR_neg	
HdfR_pos	
HigA_neg	alkB//
HigB-HigA_neg	gltD//
HipAB_neg	gapA//entH//
HipB_neg	gapA//hycE//malY//
HyfR_pos	gatZ//
HypT_neg	ogt//cysI//
HypT_pos	lpxA//polA//ahpF//napG//fabH//
IclR_neg	hycD//recF//umpH//
IdnR_neg	srlD//hyi//
IdnR_pos	pgaD//uxuB//idnD//nagB//
IlvY_neg	
IlvY_pos	glxR//
IscR_neg	gatY//argE//purD//purC//
IscR_pos	icd//hcaD//
KdgR_neg	deoA//gcl//
KdpE_pos	cysE//
LacI_neg	fadI//purF//phnM//
LeuO_neg	
LeuO_pos	purN//phnG//phnJ//nrdE//ftsI//fruK//
LexA_neg	argF//alaC//ulaE//leuC//nanE//fabD//aceB//nirB//entC//tadA//lsrF//malS//prpC//polA//argH//mtlD//bglB//hycC//sgbU//rnpB//cysD//
LldR_neg	sufS//dkgB//
LldR_pos	ddlB//astC//
LrhA_neg	
LrhA_pos	
LsrR_neg	zwf//xylA//mhpC//dapD//paaE//
LysR_neg	
LysR_pos	rutC//
MalI_neg	dapB//nrdB//
MalT_pos	ahpC//phnJ//citC//thrS//allE//sucA//
MarA_neg	allD//
MarA_pos	rhaA//alaC//nrdE//sdhC//glnA//purH//pdeR//pdeH//rutB//srlD//cysM//dgkA//narG//gpmM//bioC//moeB//tehB//truB//ttdB//gdhA//aspC//aceF//
MarR_neg	
MatA_neg	sucC//
MatA_pos	
MazE-MazF_neg	idnO//
MazE_neg	hypB//
McbR_neg	
McbR_pos	
MelR_neg	pflB//glpC//
MelR_pos	dmsA//srlD//
MetJ_neg	garR//srlD//trpA//purK//yfbR//yiaK//paaG//hmp//hyaA//paaY//
MetR_neg	idnO//
MetR_pos	gcvP//entE//lacA//leuB//
MhpR_pos	metH//kbaY//purA//garL//fabG//glpX//
Mlc_neg	hyaB//gabT//entD//mhpD//
MlrA_pos	pepD//
MngR_neg	araA//kbaY//
MntR_neg	ribA//
MntR_pos	cysG//
ModE_neg	gcl//sgbE//xylA//paaK//puuB//cadA//folE//nirB//
ModE_pos	lacZ//gcvH//mnmG//acnB//pspE//paaI//
MprA_neg	dgcZ//tpiA//trpE//
MqsA_neg	paaB//allE//
MraZ_neg	argE//nfsA//nrdB//pflB//hemL//yqhD//pepD//gutQ//caiA//hcaB//sufS//
MtlR_neg	metF//nadB//paaH//
MurR_neg	betA//fumB//prpD//
MurR_pos	
Nac_neg	pyrC//ybjG//dsdA//
Nac_pos	ulaG//phnP//rbsK//ftnA//entA//lysC//hcaC//
NadR_neg	lpxA//ampC//mraY//gntK//
NagC_neg	patD//frdC//lysA//araB//cyoE//ybjG//ychF//lpxC//aceB//glgB//speB//trpE//phnO//prpE//aroH//nagB//sdhD//metL//
NagC_pos	ynfG//glpB//
NanR_neg	truB//metE//aceF//wecC//murD//citE//
NanR_pos	
NarL_neg	fumB//gadB//nadA//ssuE//tdcE//ulaD//yqhD//nrfC//paaI//tdcG//sdhC//aceA//rdoA//ascB//yfbR//alkB//dhaK//cysN//yiaK//citF//glpX//lhgO//ftnA//tyrA//
NarL_pos	fadJ//malS//uxaA//umpH//aceB//yfdE//gatY//gntK//puuB//nrdB//aspA//pgaB//pyrD//
NarP_neg	puuA//argG//rhaB//
NarP_pos	gapA//ndh//gcvT//hyaC//pgaB//sgbH//bglB//cysM//hemL//malZ//
NemR_neg	araD//codA//
NhaR_pos	moaA//tyrA//lacA//gltD//allA//
NikR_neg	bioD//
NimR_neg	rdoA//
NorR_neg	
NorR_pos	glcD//
NrdR_neg	nagA//cysI//hcaF//speB//
NsrR_neg	idnK//gpmA//garL//cueO//polB//ynfG//pgk//rutB//argH//mraY//ogt//hycE//ddlB//ppc//hycB//ulaG//umuC//nadB//guaA//sucB//ugpQ//citE//patD//atoB//aceE//fadJ//rnpB//rffG//garR//pflB//nadB//nrfD//fabB//trpC//ubiX//purB//
NtrC_neg	gnd//bioF//
NtrC_pos	napA//fucK//pck//rffC//hycD//mhpA//paaH//pheS//lpxC//moaD//fes//moaE//rutC//araD//argA//cysJ//mpaA//dgcZ//kbaY//purM//prpE//
OmpR_neg	mazG//metB//garD//glpA//argA//
OmpR_pos	nrdD//glgC//mdh//ulaD//
OxyR_neg	talA//glcF//treC//sgbU//fadA//
OxyR_pos	lpxA//narI//gadA//nfsA//pykF//mdh//purM//psd//ybaS//
PaaX_neg	phnJ//allD//nrdE//cysC//entD//purF//glyA//uvrC//bglB//
PdeL_pos	udp//
PdhR_neg	prs//nrdD//sdhC//paaK//citD//pnp//uxaC//ulaE//cynT//dacC//ribA//gdhA//puuC//tdcD//citC//waaY//xapA//prpB//moeB//purB//wecC//leuB//phnN//betB//
PdhR_pos	lyxK//metK//
PepA_neg	wrbA//hcaF//
PgrR_neg	gpmM//mpl//
PhoB_neg	dgcZ//fucO//treC//fucU//
PhoB_pos	sdhB//rimK//nagA//ftsI//serA//astE//argA//mpl//galT//luxS//mhpA//ulaF//pepD//nfsB//galE//garK//
PhoP_neg	dhaK//relA//arsC//
PhoP_pos	uidA//cdd//puuB//polB//nrdE//nirB//betB//entF//glgX//dkgB//sodB//tdcD//uxuB//nanM//dapD//dgcZ//hyaA//pdeH//ulaE//ascB//pnp//yibQ//prpE//metB//yfdE//allD//paaZ//ribA//rffM//hypF//tynA//katE//
PrpR_neg	
PrpR_pos	mhpE//zwf//deoC//phnN//
PspF_neg	
PspF_pos	xapA//
PurR_neg	mhpE//pgm//appA//guaA//dmsC//purE//mraY//aceE//argA//pheT//dsdA//gcvT//murQ//leuC//bioF//murE//hycD//rutB//uvrB//galE//fabD//gltD//purN//paaF//moaD//tauD//
PutA_neg	sdhC//yibQ//
PuuR_neg	chbG//trpC//ascB//dgcZ//nrfC//dapD//
QseB_pos	
RbsR_neg	yeaE//tauD//rffT//narI//murC//
RbsR_pos	acnA//
RcdA_neg	
RcdA_pos	sucB//
RclR_pos	
RcnR_neg	folE//
RcsAB_neg	malZ//
RcsAB_pos	citE//phr//
RcsB-BglJ_pos	nrdE//ulaF//
RcsB_neg	wecC//
RcsB_pos	katE//hypB//pck//
RelB-RelE_neg	ahpF//
RelB_neg	citX//
RhaR_pos	
RhaS_pos	accD//uxaA//phoA//gcvP//
Rob_neg	
Rob_pos	gadB//paaF//torC//fabI//ddlB//malY//mpl//gcvH//dmsB//deoC//fadA//sgbU//pagP//glgP//nagB//ftnA//nanK//fabB//tehB//
RstA_neg	araB//lsrK//
RstA_pos	lsrK//
RtcR_pos	phnM//ftnA//
RutR_neg	betB//ulaG//allC//purB//yqjH//wrbA//napC//leuA//purD//prpE//
RutR_pos	fabA//
SdiA_neg	
SdiA_pos	
SgrR_neg	puuA//
SgrR_pos	fumC//uxuB//
SlyA_pos	
SoxR_neg	
SoxR_pos	ubiC//
SoxS_neg	
SoxS_pos	glgC//relA//rutC//lhgO//pflB//murQ//gloA//ada//lsrK//glcB//tnaA//tdcB//leuD//hcaB//zwf//oxc//rffT//phnG//purH//deoC//truB//hypB//kbaZ//tdcD//pyrC//prpD//
StpA_neg	glmS//sufS//gutQ//
SutR_neg	umuC//nanE//
SutR_pos	
TdcA_pos	aceF//prpD//ulaD//gcvH//astA//
TdcR_pos	ldtC//phnN//fadI//pflB//putA//
TorR_neg	mhpA//
TorR_pos	hemH//puuA//gadA//
TreR_neg	rbsK//nfsA//
TrpR_neg	gloA//recF//arsC//pheS//gatD//napC//accA//caiD//ogt//
TyrR_neg	paaC//narH//ppiA//wrbA//rutD//sdhA//garK//
TyrR_pos	accB//hemL//sodA//
UhpA_pos	melA//
UidR_neg	astD//entE//
UlaR_neg	gnd//uidA//dsdA//kbaZ//dhaL//
UvrY_pos	lhgO//murG//
UxuR_neg	metC//ulaF//gpmA//prpC//mhpB//
XapR_pos	rutD//purB//
XylR_neg	
XylR_pos	glmS//nfsA//purB//
YdeO_neg	
YdeO_pos	pyrC//cysG//leuA//
YedW_neg	dmsC//katE//
YedW_pos	puuD//
YefM-YoeB_neg	frc//
YefM_neg	carB//
YehT_pos	
YeiL_pos	
YiaJ_neg	gcvT//glgP//uvrA//pflB//rutA//aroL//
YjjQ_neg	moaD//
YpdB_pos	
YqhC_pos	cyoE//rutA//
YqjI_neg	alkA//
ZntR_pos	lyxK//
ZraR_pos	
Zur_neg	nrfB//
