# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	dhaL//leuA//
PhoP_pos	speB//lpxA//yqhD//glcF//glpK//chbF//caiD//glcB//bioF//poxB//fabZ//gltD//slt//citF//fau//nrfB//sufS//ybaS//fbaA//folA//pdeH//accA//glcE//ldtC//yiaK//phnJ//xylB//malP//ftsI//hycE//malZ//idnK//
PrpR_neg	
PrpR_pos	idnO//acnA//nirB//aspC//
PspF_neg	
PspF_pos	fdhF//
PurR_neg	lhgO//napG//mhpE//gdhA//gltB//hycB//asnA//yqjH//uxuA//deoA//entC//gadB//ftsI//rutB//hmp//uvrA//dgcC//puuA//lpxC//paaF//cynT//patD//pdeH//patA//cueO//pgk//
PutA_neg	moaE//sucC//
PuuR_neg	wzb//cdd//mhpF//chbF//sucB//purF//
QseB_pos	
RbsR_neg	poxB//rutB//fumB//wrbA//aceB//
RbsR_pos	bacA//
RcdA_neg	
RcdA_pos	folE//
RclR_pos	
RcnR_neg	ybaS//
RcsAB_neg	prpC//
RcsAB_pos	tadA//purK//
RcsB-BglJ_pos	hcaD//ychF//
RcsB_neg	glpQ//
RcsB_pos	argH//eno//arsC//
RelB-RelE_neg	pykF//
RelB_neg	dgcZ//
RhaR_pos	
RhaS_pos	paaJ//phnL//argG//alaS//
Rob_neg	
Rob_pos	gpmA//fadE//add//gabD//alkB//sdhC//nfsA//gpmA//gpmM//gadA//cysC//malP//speA//pgpC//ubiA//yeaE//ynfF//lsrG//pgm//
RstA_neg	oxc//sucC//
RstA_pos	asnB//
RtcR_pos	ppc//pyrD//
RutR_neg	zwf//dmsC//rfe//hcaD//nrdB//asnB//garR//fucA//napC//purE//
RutR_pos	glmU//
SdiA_neg	
SdiA_pos	
SgrR_neg	talA//
SgrR_pos	asnB//trpC//
SlyA_pos	
SoxR_neg	
SoxR_pos	fbaB//
SoxS_neg	
SoxS_pos	adhE//fucO//ldtB//lacZ//purA//mhpE//leuD//gcl//glgP//astE//rutC//ulaF//fadE//tyrB//entH//gabT//murG//wzb//ynfG//mhpC//phnJ//sdhD//rffM//yfdE//frdA//garK//
StpA_neg	hycC//gabD//purB//
SutR_neg	fruK//rutE//
SutR_pos	
TdcA_pos	glpX//fadA//prpE//ppsA//pgaB//
TdcR_pos	nemA//rbsK//dgcC//idnK//tdcG//
TorR_neg	fadD//
TorR_pos	murG//ada//asnA//
TreR_neg	acnB//fadM//
TrpR_neg	katE//pncB//ldtB//ulaD//nadB//ulaF//lhgO//ppiA//yfbR//
TyrR_neg	ulaD//hycB//nrdE//purA//garL//glxK//gltD//
TyrR_pos	sgbU//mnmG//nfsA//
UhpA_pos	rimK//
UidR_neg	nfsA//dgkA//
UlaR_neg	galK//rbsK//moeB//caiD//guaB//
UvrY_pos	rutB//astE//
UxuR_neg	waaH//murI//rpiB//putA//truB//
XapR_pos	iscS//rsmH//
XylR_neg	
XylR_pos	nfsA//rffG//phnG//
YdeO_neg	
YdeO_pos	nrfC//fumB//argI//
YedW_neg	purA//cysK//
YedW_pos	malS//
YefM-YoeB_neg	fabB//
YefM_neg	glpQ//
YehT_pos	
YeiL_pos	
YiaJ_neg	slt//lysA//mhpC//gatY//hycD//yfdE//
YjjQ_neg	entH//
YpdB_pos	
YqhC_pos	hcaD//metL//
YqjI_neg	tdcG//
ZntR_pos	atoD//
ZraR_pos	
Zur_neg	napG//
