# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	idnK//waaY//
Cra_neg	puuD//fadJ//fabI//argG//fadJ//hemH//yeaE//lldD//rhaB//kbaY//paaK//polB//mdh//ychF//glmS//yfdE//dmsC//pflB//dgcC//lpxD//pagP//garD//luxS//ahpF//nfsA//leuC//glmS//tyrA//dacC//argC//trpE//aroH//ynfE//glcE//ssuE//aroF//purD//tdcG//yfbR//nfsA//trpA//sdhA//fau//pgaD//glmS//araD//
Cra_pos	bioB//xylB//hycE//aceA//entF//fadD//moeB//moeA//glxR//mtlD//glcE//cueO//glcF//fabD//tynA//rpiB//pgaC//
CreB_neg	ascB//
CreB_pos	fruK//
CsgD_neg	fucI//gadA//
CsgD_pos	gpmA//rbsD//fucO//
CsiR_neg	hycF//metE//lpxC//moeB//
CspA_pos	narG//
CueR_neg	fadI//pepD//
CueR_pos	lldD//frdB//
CusR_pos	acnB//carA//napC//
CynR_neg	
CynR_pos	lysA//nfsB//phr//
CysB_neg	katG//galM//adhE//
CysB_pos	udp//fumB//gdhA//ruvA//fucU//gor//bioF//garK//malY//phnH//pepD//glmS//ddlB//rbsK//iscS//
CytR_neg	yeaG//speB//argC//yiaK//tam//aldA//ndh//ldtC//metB//gloA//
Dan_pos	idnK//yqhD//
DcuR_pos	dmsC//uvrC//prpD//yqjH//
DeoR_neg	yibQ//gatD//paaE//ppc//purM//sdhC//
DhaR_neg	
DhaR_pos	leuB//
DicA_neg	
DinJ-YafQ_neg	hcp//
DnaA_neg	aroG//ppc//fabI//patD//lysC//
DnaA_pos	alkA//epd//argC//
DpiA_neg	
DpiA_pos	rfe//ftnA//glxR//dsdA//argB//
DsdC_neg	
DsdC_pos	lsrF//accD//
EbgR_neg	
EnvR_neg	araA//pgaC//
EnvY_pos	bacA//paaE//
EvgA_pos	aroH//yqhD//sodA//citG//fucI//sdhC//
ExuR_neg	glpD//tyrA//argH//udp//rfe//glpQ//
FabR_neg	phnH//gabT//
FadR_neg	puuA//trpE//wecB//uxaA//citX//glpD//wzc//fumB//phnP//
FadR_pos	argD//allB//waaH//sdhD//recF//idnO//ogt//nrfA//mhpB//
FeaR_pos	torA//kbaZ//
FhlA_pos	purK//ldtB//moeB//frdC//xylB//amn//wecC//
FlhDC_neg	nadA//pflB//
FlhDC_pos	paaK//fabA//aldA//lysA//allE//srlD//mhpF//gpmM//sgbU//
FliZ_neg	hcaC//ulaG//ogt//gabT//sucC//
FucR_pos	ascB//glk//mazG//fadJ//entE//ftnA//
Fur_neg	waaZ//sdhB//purF//pgk//ilvC//yqhD//umuC//ubiA//napA//codA//ldtC//gloA//ttdB//glyA//phnH//murG//hypF//edd//ascB//prpC//gabD//gabD//pdeH//trpA//gabD//ynfH//pepD//rffC//argD//aceB//glpB//xylB//pgpC//atoA//wrbA//hyaB//sgbE//luxS//mdh//thrS//astD//lsrK//ppsA//hycB//sdhC//gabD//hycB//nfsA//pdeL//rffT//fadB//pheT//ubiX//garL//
Fur_pos	fucU//sodA//yiaK//napH//allE//speA//citX//fabD//purD//cysC//ubiA//gatY//dhaL//idnK//ada//murG//metL//
GadE-RcsB_pos	mngB//uvrA//fumC//malQ//
GadE_pos	fucI//rfe//ycjG//phnI//waaH//alkB//murQ//adiA//hycF//cysE//
GadW_neg	glxR//pgaB//purL//
GadW_pos	dmsA//ruvB//glmS//gntK//
GadX_neg	phoA//moeA//
GadX_pos	gpmM//ubiA//hmp//katE//zwf//cdd//bglB//aroL//betB//hycD//
GalR_neg	fabH//deoC//pdeL//puuE//dhaL//hyaB//
GalR_pos	bacA//uvrB//mpl//rffG//
GalS_neg	araB//allD//hycF//rffT//nanA//fucK//
GalS_pos	eda//alsE//melA//mhpE//
GatR_neg	lpd//gpmM//psd//
GcvA_neg	metC//edd//rhaA//
GcvA_pos	cysJ//dmsC//lpxA//
GlcC_neg	
GlcC_pos	bglB//malZ//frdC//
GlpR_neg	sufS//hcaC//asnA//ndh//pncB//cysK//sucA//
GlrR_pos	
GntR_neg	ubiA//lysC//ddlB//putA//ldtB//cyoE//slt//cyoE//bioF//
GutM_pos	amn//puuA//fadJ//
GutR_neg	tehB//xylB//fucI//
HU_neg	epd//cysK//hycC//moaD//yfdE//ung//sdhD//
HU_pos	
HcaR_neg	
HcaR_pos	phr//fau//
HdfR_neg	
HdfR_pos	
HigA_neg	luxS//
HigB-HigA_neg	astB//
HipAB_neg	yibQ//puuC//
HipB_neg	fruK//glcD//accA//
HyfR_pos	asnA//
HypT_neg	aceA//phoA//
HypT_pos	uvrB//idnD//yiaK//amn//oxc//
IclR_neg	hemL//ubiA//umuD//
IdnR_neg	citX//gadA//
IdnR_pos	frdB//pnp//argF//ulaD//
IlvY_neg	
IlvY_pos	ulaE//
IscR_neg	garK//sodB//nanK//murF//
IscR_pos	citD//yfbR//
KdgR_neg	caiD//xapA//
KdpE_pos	aroF//
LacI_neg	uidA//yqjH//yibQ//
LeuO_neg	
LeuO_pos	fdhF//ascB//mdh//fau//atoD//entH//
LexA_neg	mraY//waaZ//folE//lacA//ubiX//purD//murE//pgm//gltD//phr//malP//hcp//glpC//srlD//phr//paaG//fabH//ung//lacA//fabB//mhpA//
LldR_neg	uxaA//fabB//
LldR_pos	paaA//accB//
LrhA_neg	
LrhA_pos	
LsrR_neg	fau//caiA//prpD//murQ//dsdA//
LysR_neg	
LysR_pos	glk//
MalI_neg	fucA//ulaE//
MalT_pos	pheT//gudD//rbsK//atoB//ppc//fabG//
MarA_neg	dhaM//
MarA_pos	prpC//fruK//aceE//acnB//idnO//purL//atoB//hycF//glcE//edd//pagP//entC//puuD//dmsA//pgi//melA//dmsA//purM//purB//truB//leuC//gltD//
MarR_neg	
MatA_neg	gpmM//
MatA_pos	
MazE-MazF_neg	dgcZ//
MazE_neg	fumC//
McbR_neg	
McbR_pos	
MelR_neg	yfdE//dmsA//
MelR_pos	ycjG//glpX//
MetJ_neg	putA//cysE//malS//trpA//purE//fumC//rdoA//pheT//tdcD//trpC//
MetR_neg	glgC//
MetR_pos	accB//phr//nrdE//nfsB//
MhpR_pos	yibQ//ppiA//aceB//nanA//pyrD//hycG//
Mlc_neg	paaB//fbaA//betB//ugpQ//
MlrA_pos	dmsA//
MngR_neg	rffH//narH//
MntR_neg	atoA//
MntR_pos	ssuE//
ModE_neg	patA//ahpC//purF//gcvT//mhpF//alaC//mhpD//gntK//
ModE_pos	tehB//puuD//asnB//fabG//dkgA//nrdD//
MprA_neg	hcaE//napA//sdhA//
MqsA_neg	ulaF//mltF//
MraZ_neg	phnN//tktB//uxuB//metC//talA//ynfG//eno//guaA//hcaF//serA//betA//
MtlR_neg	nfsA//cdd//astE//
MurR_neg	gutQ//katG//iscS//
MurR_pos	
Nac_neg	garD//uxaA//gor//
Nac_pos	hycE//entB//trpB//frdB//ftsI//thrS//ppc//
NadR_neg	treC//metL//bacA//narI//
NagC_neg	hycB//accC//ssuD//purD//puuE//glpC//ssuD//phnN//nrdB//leuC//astD//malQ//gloA//adhE//puuD//cysI//katE//cueO//
NagC_pos	cadA//sdhB//
NanR_neg	gdhA//bioB//pspE//uxaC//ynfH//gnd//
NanR_pos	
NarL_neg	accD//eno//mtlD//hcaD//glpX//treC//hcaF//astE//speA//cysJ//gdhA//dmsC//glcD//cysG//araA//glgB//nadB//rutB//lysC//nagB//pgaD//pnp//araB//nadB//
NarL_pos	asnB//astE//dgkA//gabD//sgbE//malS//deoC//lacZ//sucC//napH//pepD//fau//glpB//
NarP_neg	pheS//gpmM//kbaY//
NarP_pos	trpA//lysC//moeA//sodB//ybaS//tynA//mdh//sodB//gcvP//gatD//
NemR_neg	lyxK//sufS//
NhaR_pos	araA//nagB//gabD//rutD//rsmH//
NikR_neg	pnp//
NimR_neg	moaE//
NorR_neg	
NorR_pos	nrfA//
NrdR_neg	puuE//yqjH//gadB//ampC//
NsrR_neg	gapA//nagA//dgcZ//allB//citG//napA//paaI//dkgA//pspE//bacA//eda//mhpC//gntK//speB//cysJ//truB//malZ//ldtB//hemL//ubiX//galK//lacZ//dkgB//phnJ//entH//allE//rutB//waaZ//nanM//ndh//pyrC//trpA//nanM//atoB//citD//arsC//
NtrC_neg	gdhA//caiB//
NtrC_pos	gatZ//atoA//cysI//dsdA//purC//pgaD//hycC//hcp//ung//caiD//hcaF//purM//paaH//cysD//psd//phnG//lysA//lpxA//umpH//pgm//hyaB//
OmpR_neg	relA//feaB//purM//glpD//ugpQ//
OmpR_pos	gdhA//uvrB//frc//glpD//
OxyR_neg	epd//rfe//pgi//paaB//ttdA//
OxyR_pos	allA//hcaE//hcp//psd//sodA//purM//fabA//mtlD//tadA//
PaaX_neg	glcF//icd//fbaB//sucD//gnd//moaE//cysD//uxaC//ampC//
PdeL_pos	murI//
PdhR_neg	hycB//ung//gabD//allA//sgbU//fabH//fabB//mhpD//hmp//waaZ//relA//nanK//edd//guaB//argB//citX//glcB//nirB//narH//ubiC//fabD//lysC//aceA//glmU//
PdhR_pos	chbF//serA//
PepA_neg	hypF//entA//
PgrR_neg	galK//waaH//
PhoB_neg	malP//pflB//ddlB//glcD//
PhoB_pos	hcaD//codA//rutD//paaB//tyrB//yiaK//glnA//tyrB//sgbU//asnB//allE//tehB//caiA//xapA//hyi//pheS//
PhoP_neg	eno//rutA//entA//
PhoP_pos	sucA//cysH//edd//speB//thrS//malZ//phnJ//patD//nrfA//lysC//pgaC//malS//hycD//cysC//polA//mazG//puuB//frc//carB//betB//cysN//nemA//fabG//xylB//katG//gcvH//ttdB//pgaD//purK//nfsA//metE//deoB//
PrpR_neg	
PrpR_pos	atoB//tnaA//guaA//fucA//
PspF_neg	
PspF_pos	rbsD//
PurR_neg	fumC//dapD//oxc//cysG//phoA//hycE//ftnA//mraY//dgcC//accB//tam//puuB//mraY//rdoA//ftsI//ftnA//ung//nrfA//moaA//gor//gcvP//tyrA//rhaA//aroF//iscS//allE//
PutA_neg	prpB//murI//
PuuR_neg	waaY//dkgB//lsrF//argA//aceB//napA//
QseB_pos	
RbsR_neg	phr//paaK//gabT//frdA//ulaG//
RbsR_pos	fabD//
RcdA_neg	
RcdA_pos	rhaD//
RclR_pos	
RcnR_neg	garD//
RcsAB_neg	lsrG//
RcsAB_pos	narG//dgcC//
RcsB-BglJ_pos	nanK//ycjG//
RcsB_neg	gutQ//
RcsB_pos	paaE//lyxK//hcaD//
RelB-RelE_neg	malP//
RelB_neg	mazG//
RhaR_pos	
RhaS_pos	pgk//hyi//waaH//purN//
Rob_neg	
Rob_pos	pagP//hyaC//nrdD//paaI//araB//mpl//sgbE//gatD//gadA//hemH//ddlB//deoB//purN//gatY//puuB//rhaD//hemL//kbaZ//metB//
RstA_neg	caiB//xapA//
RstA_pos	treC//
RtcR_pos	nanK//moaE//
RutR_neg	leuA//frdA//yfbR//ogt//tnaA//rffG//kbaZ//nadA//mazG//ahpF//
RutR_pos	cysC//
SdiA_neg	
SdiA_pos	
SgrR_neg	murC//
SgrR_pos	puuB//fucI//
SlyA_pos	
SoxR_neg	
SoxR_pos	citG//
SoxS_neg	
SoxS_pos	alaC//purH//atoB//gatD//prpC//poxB//adhE//nemA//prpC//nfsB//cysG//ubiX//ogt//citD//cueO//argF//glgB//codA//aspA//fbaA//ubiA//puuB//hycB//fbaA//trpE//citC//
StpA_neg	moaE//phnG//hcp//
SutR_neg	lsrG//nemA//
SutR_pos	
TdcA_pos	purC//cynT//pgpC//torA//atoA//
TdcR_pos	ulaE//speB//nrfC//codA//uidA//
TorR_neg	rutA//
TorR_pos	citF//yfdE//lacA//
TreR_neg	fumB//mdh//
TrpR_neg	ahpC//entF//pdeH//cysM//poxB//frc//tam//fumB//pheT//
TyrR_neg	bioA//puuD//lysA//malQ//narI//garR//ppsA//
TyrR_pos	fabZ//hycF//moaA//
UhpA_pos	gdhA//
UidR_neg	dhaM//codA//
UlaR_neg	nrdE//phnH//rhaB//pagP//paaB//
UvrY_pos	thrS//narG//
UxuR_neg	rutE//metF//ddlB//hycG//paaC//
XapR_pos	rutE//ldtC//
XylR_neg	
XylR_pos	caiC//metF//leuC//
YdeO_neg	
YdeO_pos	luxS//uvrB//citE//
YedW_neg	lpxD//edd//
YedW_pos	sucC//
YefM-YoeB_neg	asnB//
YefM_neg	gcvH//
YehT_pos	
YeiL_pos	
YiaJ_neg	ulaG//ppc//ilvC//betB//deoA//yeaE//
YjjQ_neg	murF//
YpdB_pos	
YqhC_pos	ulaD//sucD//
YqjI_neg	napA//
ZntR_pos	lhgO//
ZraR_pos	
Zur_neg	metK//
