# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	recF//dgcC//
CpxR_pos	waaY//ung//araD//allB//relA//sufS//ttdB//metK//speA//folE//katE//fadI//luxS//asnB//ugpQ//tadA//cysJ//lysC//
Cra_neg	rffT//luxS//tdcD//pgaD//feaB//asnA//ttdA//lacA//uvrC//lldD//ogt//citE//gcvT//murF//citE//fdhF//prs//moaD//pdeH//uxuB//ynfH//citE//garR//gcvT//paaI//gdhA//gudD//sodB//deoD//xapA//pgi//phnP//zwf//atoD//uxaA//nanK//pgm//hcaF//dkgB//phr//betA//galK//treC//pepD//fadE//trpE//
Cra_pos	glxK//nrdB//accD//fadH//accC//glpK//dinB//ssuE//rpiB//napB//accA//moeB//argA//cynT//puuB//garD//xylA//
CreB_neg	feaB//
CreB_pos	ppiA//
CsgD_neg	dkgA//pgaB//
CsgD_pos	deoB//malP//hyaA//
CsiR_neg	cysK//xapA//lpxC//ilvC//
CspA_pos	putA//
CueR_neg	cueO//nanM//
CueR_pos	rffG//ilvC//
CusR_pos	aspC//hcaB//talA//
CynR_neg	
CynR_pos	ssuD//moaA//glpC//
CysB_neg	pfkA//rffC//pgi//
CysB_pos	uxuA//chbG//cysI//mhpA//mpl//nrfD//lpxA//thrS//rutB//hcaC//hcaF//fadA//mpl//katE//glpA//
CytR_neg	citG//ppiA//rbsD//mdh//ubiC//leuD//accD//hcaF//hyaB//entE//
Dan_pos	narI//xylA//
DcuR_pos	pgaD//uxuB//rpiB//uxuB//
DeoR_neg	folE//paaK//pagP//sgbH//lhgO//uxaB//
DhaR_neg	
DhaR_pos	bglB//
DicA_neg	
DinJ-YafQ_neg	putA//
DnaA_neg	gapA//sgbH//hypB//slt//lyxK//
DnaA_pos	gltB//cynT//metK//
DpiA_neg	
DpiA_pos	pgaC//betA//rfe//murE//fadD//
DsdC_neg	
DsdC_pos	mtlD//paaH//
EbgR_neg	
EnvR_neg	uxaB//moaA//
EnvY_pos	pheT//yeaG//
EvgA_pos	aroL//katE//alkB//chbG//rutC//carB//
ExuR_neg	astD//phoA//gadA//entE//alkA//ppiA//
FabR_neg	patD//fadB//
FadR_neg	katG//uidA//melA//nrdE//ychF//rffC//napH//garR//asnB//
FadR_pos	garK//fucO//deoD//rutD//pykF//tdcB//caiA//metA//epd//
FeaR_pos	yqhD//nrdF//
FhlA_pos	acnB//gapA//idnK//aceF//uxaA//thrS//pgaB//
FlhDC_neg	cysH//fadM//
FlhDC_pos	nrdF//paaE//adhE//puuB//gnd//astC//alaS//nanE//argH//
FliZ_neg	dhaM//dgkA//murG//appA//nrdD//
FucR_pos	ybjG//fucU//ogt//cueO//guaB//nrfC//
Fur_neg	sgbE//uvrC//frdD//tyrB//fabG//sufS//paaE//fucU//purF//truB//acnB//dkgB//katE//metL//allB//gltB//ynfF//malY//nrfC//astE//purE//ogt//ssuD//rbsD//uxuB//speB//hcaF//fabD//ldtB//nrdB//napG//yqjH//galE//uxuB//glmS//nrdD//xylA//murC//gntK//nrdB//aceA//zwf//purN//fdhF//gnd//cysJ//phnP//hycE//garR//nrdB//iscS//cysJ//ruvB//adiA//
Fur_pos	ldtD//slt//phnL//cdd//idnK//caiC//bioB//hcaB//dkgA//ldtC//tehB//galT//polA//umpH//nrdE//purN//paaG//
GadE-RcsB_pos	bioA//aceE//ampC//mtlD//
GadE_pos	tktB//pgpC//lacZ//lsrG//glgB//waaH//nfsA//paaK//gatD//paaZ//
GadW_neg	aceE//wecB//nrdE//
GadW_pos	glpC//add//glgX//fbaB//
GadX_neg	accD//rffT//
GadX_pos	bioD//alaC//carB//eno//deoA//narG//bacA//narI//malZ//puuB//
GalR_neg	gabT//gabT//pck//dmsC//cynT//ynfH//
GalR_pos	dgcC//lpxC//sodB//epd//
GalS_neg	asnA//gatZ//pdeL//napB//speB//sdhD//
GalS_pos	arsC//ftsI//rnpB//sufS//
GatR_neg	hycE//ung//fabZ//
GcvA_neg	mltF//pepD//argH//
GcvA_pos	speB//gudD//aceE//
GlcC_neg	
GlcC_pos	tdcE//lacZ//cueO//
GlpR_neg	ttdA//gabD//ttdA//ssuD//rffM//torA//hmp//
GlrR_pos	
GntR_neg	paaG//uxaA//ppiA//cysH//rnpB//gpmM//hycD//araA//nfsB//
GutM_pos	gabD//narH//ldtB//
GutR_neg	nrfB//fabH//pgaC//
HU_neg	mnmG//nrdA//atoA//dmsA//garR//nrdF//rutA//
HU_pos	
HcaR_neg	
HcaR_pos	sufS//tyrA//
HdfR_neg	
HdfR_pos	
HigA_neg	ulaG//
HigB-HigA_neg	nfsB//
HipAB_neg	uvrC//napA//
HipB_neg	paaI//dacC//cueO//
HyfR_pos	sgbE//
HypT_neg	pspE//wrbA//
HypT_pos	fruK//hyaB//hycG//paaC//asnA//
IclR_neg	sodA//cdd//glpQ//
IdnR_neg	uxuA//polA//
IdnR_pos	tktB//pnp//galK//thrS//
IlvY_neg	
IlvY_pos	hemH//
IscR_neg	mazG//mnmG//ldtB//tadA//
IscR_pos	glgP//hycC//
KdgR_neg	caiA//dsdA//
KdpE_pos	ulaE//
LacI_neg	purC//argD//ulaG//
LeuO_neg	
LeuO_pos	rutC//hcaB//yeaG//paaG//rsmH//murQ//
LexA_neg	aroF//entD//allB//fumC//cysN//gloA//murD//gntK//glgX//pgi//entC//glpQ//mtlD//bacA//leuD//cysJ//trpB//astE//luxS//mhpF//umpH//
LldR_neg	citC//paaI//
LldR_pos	sufS//fadE//
LrhA_neg	
LrhA_pos	
LsrR_neg	uvrA//paaC//paaF//add//udp//
LysR_neg	
LysR_pos	astB//
MalI_neg	betA//hypB//
MalT_pos	accA//sdhA//gadA//nirD//fadE//astB//
MarA_neg	pepD//
MarA_pos	speB//puuE//purD//moeA//gpmA//rbsK//glpD//murD//rutA//ssuD//rffC//ogt//sucC//glpB//puuB//tnaA//nadA//eno//aceE//moeB//fabB//dapB//
MarR_neg	
MatA_neg	citD//
MatA_pos	
MazE-MazF_neg	hcp//
MazE_neg	cysC//
McbR_neg	
McbR_pos	
MelR_neg	nemA//pck//
MelR_pos	codA//nrdD//
MetJ_neg	asnA//purK//glcD//fucO//entC//hypB//asnA//dhaM//wrbA//fdhF//
MetR_neg	atoB//
MetR_pos	polA//ubiC//mpaA//trpB//
MhpR_pos	rbsK//dsdA//waaZ//cysM//prpE//tdcG//
Mlc_neg	paaJ//putA//moaA//fadE//
MlrA_pos	frdD//
MngR_neg	prs//gudD//
MntR_neg	ynfE//
MntR_pos	sgbU//
ModE_neg	nrdF//frc//accB//paaI//dinB//dapD//yqhD//cynS//
ModE_pos	fabI//hyaA//hcaC//tdcE//rutE//malS//
MprA_neg	gadB//metC//ascB//
MqsA_neg	allD//speA//
MraZ_neg	cysJ//fabG//fumB//ada//carB//speA//ogt//wecC//araA//paaA//nirD//
MtlR_neg	hyaA//sodB//rffM//
MurR_neg	aspA//cyoE//bglB//
MurR_pos	
Nac_neg	yfdE//dkgA//rhaD//
Nac_pos	galE//fabH//cadA//uxaC//allB//purC//paaK//
NadR_neg	alkB//moeB//trpE//relA//
NagC_neg	malS//rhaA//ndh//mdh//hycD//citF//mnmG//cysI//hcaC//sgbE//gudD//fau//lacA//glpD//sdhD//nfsA//mtlD//glpX//
NagC_pos	lpxD//frdD//
NanR_neg	gutQ//eno//kbaY//cdd//icd//cysN//
NanR_pos	
NarL_neg	ulaF//narG//deoC//melA//hycB//alkA//pheS//lpxD//astB//idnD//frdA//deoC//talA//dmsC//argG//patD//nrfC//melA//phnL//mpaA//phoA//tdcD//bioF//nagB//
NarL_pos	eda//uvrA//appA//lpd//uxuB//nrdD//uvrA//talA//lsrG//prpC//waaZ//aroF//sdhC//
NarP_neg	ubiC//pepD//glgC//
NarP_pos	fumC//puuD//fucK//hmp//frdB//ssuE//sdhA//pnp//fadA//purN//
NemR_neg	recF//napC//
NhaR_pos	ruvA//alkA//astD//ttdB//uvrB//
NikR_neg	ung//
NimR_neg	uxaA//
NorR_neg	
NorR_pos	tyrB//
NrdR_neg	phnP//trpC//phoA//wrbA//
NsrR_neg	psd//nrdF//tdcE//psd//fucK//puuC//fau//waaZ//tyrA//aldA//ssuD//bioF//araD//paaI//hemH//gloA//dgcC//fdhF//bacA//pheS//oxc//trpB//carB//rnpB//gadB//gpmA//nanE//pfkA//malQ//dacC//xylB//galT//ogt//uvrA//phnN//bacA//
NtrC_neg	fadH//accA//
NtrC_pos	glgX//tehB//alkB//napG//cysN//paaB//garK//fucU//sgbH//wzb//yqhD//malP//hycC//hyi//uxaB//ruvB//recF//yeaG//mnmG//rhaA//cysN//
OmpR_neg	citF//ldtC//ybaS//deoA//katG//
OmpR_pos	umuD//gloA//trpC//fabD//
OxyR_neg	metA//speA//narG//relA//fabI//
OxyR_pos	bglB//nanK//fruK//yeaE//metE//gabD//mhpD//deoA//yfdE//
PaaX_neg	uxaA//pheT//ndh//pgk//ynfF//dmsA//pgm//mraY//ychF//
PdeL_pos	puuE//
PdhR_neg	epd//moaD//alkB//sgbU//sgbU//glpC//purD//deoB//paaI//ttdA//fbaB//mazG//hycB//icd//alsE//garK//fucU//aspC//bioB//cysN//frdA//fadM//mhpB//cysE//
PdhR_pos	polB//argD//
PepA_neg	glxK//carB//
PgrR_neg	ulaE//hcaD//
PhoB_neg	puuE//dkgA//ssuE//rutE//
PhoB_pos	paaZ//mpl//tadA//hyaB//idnD//yfbR//fabA//purF//nemA//rnpB//ulaG//oxc//fadJ//tdcG//tyrB//uxaA//
PhoP_neg	prpC//cysJ//ung//
PhoP_pos	bioC//galK//garD//udp//aceE//narG//citF//mpl//purH//paaI//uvrB//galT//waaH//rutE//rdoA//edd//fadM//aspC//sucA//tam//sgbU//nrdA//ttdB//rhaA//rfe//hycB//tehB//rbsK//cynS//tynA//hyaB//malY//
PrpR_neg	
PrpR_pos	arsC//entD//chbG//fadA//
PspF_neg	
PspF_pos	rutA//
PurR_neg	glyA//atoA//xylB//purC//gpmA//aceA//asnB//prpC//phnG//patD//cysM//phnN//gor//ldtB//recF//yibQ//acnB//katE//paaF//puuD//zwf//glpB//xapA//nirD//malQ//fumB//
PutA_neg	paaY//nanA//
PuuR_neg	narG//trpD//galE//mhpD//relA//mraY//
QseB_pos	
RbsR_neg	ampC//metF//rhaB//cynT//rutD//
RbsR_pos	trpB//
RcdA_neg	
RcdA_pos	fabB//
RclR_pos	
RcnR_neg	glgC//
RcsAB_neg	galK//
RcsAB_pos	metB//narG//
RcsB-BglJ_pos	hyaB//narH//
RcsB_neg	citX//
RcsB_pos	purB//lldD//ybaS//
RelB-RelE_neg	hyaB//
RelB_neg	caiA//
RhaR_pos	
RhaS_pos	phnI//sodA//puuB//nagB//
Rob_neg	
Rob_pos	hyaA//mnmG//umuD//fabZ//rnpB//ynfG//malS//cynS//cysK//pheS//fucU//waaY//astC//ftsI//dsdA//puuE//mdh//glcB//accC//
RstA_neg	pfkA//speB//
RstA_pos	umuD//
RtcR_pos	gapA//nrdF//
RutR_neg	ugpQ//pheT//chbG//torA//cysH//uxaB//wzb//zwf//murF//dhaK//
RutR_pos	tynA//
SdiA_neg	
SdiA_pos	
SgrR_neg	uxuA//
SgrR_pos	lpxC//fbaA//
SlyA_pos	
SoxR_neg	
SoxR_pos	rutD//
SoxS_neg	
SoxS_pos	xapA//ttdA//rbsD//fadJ//polA//tehB//adhE//metH//aceB//fbaA//mngB//glpK//sufS//sgbE//gnd//astA//recF//sucB//umuC//pdeH//ung//fes//umuC//paaK//ynfF//sucC//
StpA_neg	lysC//mngB//hcaB//
SutR_neg	rhaA//entE//
SutR_pos	
TdcA_pos	argI//tdcE//citG//sucA//malP//
TdcR_pos	paaF//waaZ//rpiB//fes//thrS//
TorR_neg	cueO//
TorR_pos	udp//rbsK//hypF//
TreR_neg	tdcD//guaB//
TrpR_neg	moaE//yqhD//bioA//purM//tadA//pspE//nirD//waaY//glmU//
TyrR_neg	mltF//purE//bioD//cysG//sucB//serA//glpX//
TyrR_pos	iscS//purN//rffT//
UhpA_pos	fumB//
UidR_neg	hycG//rutD//
UlaR_neg	rfe//atoD//glgX//gatD//hcaF//
UvrY_pos	paaF//chbF//
UxuR_neg	dinB//paaI//hyaC//mhpB//gpmA//
XapR_pos	rffC//mhpE//
XylR_neg	
XylR_pos	mhpB//wecB//fadE//
YdeO_neg	
YdeO_pos	tktB//hycF//ychF//
YedW_neg	dgcZ//ulaF//
YedW_pos	moeB//
YefM-YoeB_neg	trpD//
YefM_neg	tdcB//
YehT_pos	
YeiL_pos	
YiaJ_neg	nfsB//garD//glpB//glmS//lyxK//tadA//
YjjQ_neg	fbaA//
YpdB_pos	
YqhC_pos	paaE//ppiA//
YqjI_neg	hemL//
ZntR_pos	rbsD//
ZraR_pos	
Zur_neg	fadB//
