# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	caiC//bioC//
PdeL_pos	fumC//
PdhR_neg	hycE//ascB//ruvB//gltB//aldA//fes//garR//glgC//ahpF//glnA//lacZ//mazG//fes//narI//bioC//aldA//argA//moaA//dsdA//hyi//sucA//ddlB//katE//accD//
PdhR_pos	rimK//torC//
PepA_neg	trpB//purF//
PgrR_neg	rffT//entD//
PhoB_neg	ruvA//argF//dmsB//sodB//
PhoB_pos	metC//narG//rbsK//cadA//fadD//fucK//adhE//zwf//ppiA//rutE//nanA//glpB//glxK//asnB//cynT//murC//
PhoP_neg	ttdA//astC//lacZ//
PhoP_pos	edd//ada//ppsA//patD//melA//bioC//mnmG//epd//ahpC//cdd//pgaB//pck//betB//alaC//uvrB//katG//napC//gcvP//gpmM//hemH//betB//nrfB//frdD//murI//hycB//cysD//cadA//sgbH//purH//narI//dkgA//purM//
PrpR_neg	
PrpR_pos	fadI//garD//feaB//fucO//
PspF_neg	
PspF_pos	rhaD//
PurR_neg	murI//gntK//dkgB//pdeL//hyaC//purK//zwf//glcB//dgcZ//appA//gcl//lacZ//cysE//rbsD//adhE//galK//phnJ//nanK//kbaY//rutB//malP//gloA//glxR//metB//gdhA//asnA//
PutA_neg	lysA//ttdB//
PuuR_neg	alkA//ssuD//dgcC//napC//metK//add//
QseB_pos	
RbsR_neg	amn//galK//gatD//ada//rutC//
RbsR_pos	napG//
RcdA_neg	
RcdA_pos	garD//
RclR_pos	
RcnR_neg	mhpB//
RcsAB_neg	entE//
RcsAB_pos	rutA//galM//
RcsB-BglJ_pos	ndh//napG//
RcsB_neg	napB//
RcsB_pos	dhaM//truB//sdhC//
RelB-RelE_neg	dhaK//
RelB_neg	nrdA//
RhaR_pos	
RhaS_pos	argE//fadJ//uvrB//kbaZ//
Rob_neg	
Rob_pos	accA//fabA//phnM//lsrG//tyrA//galM//zwf//tam//codA//trpA//torA//mdh//sgbU//yibQ//galE//bioF//cysC//fucA//malZ//
RstA_neg	dmsA//cysE//
RstA_pos	ampC//
RtcR_pos	nanE//gntK//
RutR_neg	gcvT//iscS//sgbE//gutQ//trpB//araB//gpmM//slt//nrdD//uxaB//
RutR_pos	wrbA//
SdiA_neg	
SdiA_pos	
SgrR_neg	phnN//
SgrR_pos	polB//ttdA//
SlyA_pos	
SoxR_neg	
SoxR_pos	patD//
SoxS_neg	
SoxS_pos	codA//mnmG//asnA//uxaB//argH//gpmM//nfsB//waaH//entF//wzb//fucI//lysC//entF//rpiB//fucA//garK//deoA//pfkA//pgm//napG//nadA//ynfG//fumB//glgC//frc//atoD//
StpA_neg	fadB//rutA//speA//
SutR_neg	argH//ogt//
SutR_pos	
TdcA_pos	nrfA//purN//cysG//pdeH//malS//
TdcR_pos	sdhA//fbaB//metB//purD//hycF//
TorR_neg	aspA//
TorR_pos	pdeL//caiB//sucA//
TreR_neg	gcvP//ddlB//
TrpR_neg	astD//rhaA//rimK//nrdE//citD//lysA//ulaE//malZ//srlD//
TyrR_neg	garL//purM//ascB//iscS//atoB//rutE//pheS//
TyrR_pos	allE//trpB//garR//
UhpA_pos	pheT//
UidR_neg	bioD//rhaB//
UlaR_neg	nadA//hyaB//pgpC//torC//adhE//
UvrY_pos	yiaK//dhaM//
UxuR_neg	sdhC//dmsC//melA//zwf//pgaC//
XapR_pos	ssuE//hcaB//
XylR_neg	
XylR_pos	citF//wzc//idnK//
YdeO_neg	
YdeO_pos	argF//mngB//lpxD//
YedW_neg	nrdE//glyA//
YedW_pos	glcD//
YefM-YoeB_neg	pck//
YefM_neg	entD//
YehT_pos	
YeiL_pos	
YiaJ_neg	rutA//waaZ//gatZ//fabH//nrdF//mraY//
YjjQ_neg	citF//
YpdB_pos	
YqhC_pos	serA//dmsC//
YqjI_neg	malP//
ZntR_pos	entE//
ZraR_pos	
Zur_neg	nagA//
