# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	napA//gntK//
FlhDC_neg	tadA//umuD//
FlhDC_pos	puuD//hmp//speA//gltD//luxS//glpX//accC//aceB//betA//
FliZ_neg	astE//phnJ//speB//dapB//ynfH//
FucR_pos	phr//asnB//gatZ//pgk//hcaC//pagP//
Fur_neg	lsrK//nanK//dacC//phr//entB//xylA//caiC//deoA//murI//hyaC//patA//codA//katE//pyrC//lsrF//talA//phnH//malZ//dkgB//appA//lsrG//glnA//nrdF//hyaB//rffT//sdhD//pgaC//cysK//murI//gnd//paaY//murC//glgX//fucI//tyrB//cueO//murD//dmsB//cyoE//glxR//srlD//ynfE//uxaC//talA//pgaD//uxaA//rhaD//phr//mazG//fumC//hcp//leuB//tauD//pgaB//
Fur_pos	yeaG//fabB//polB//glpK//hcaF//sucC//entC//cysJ//asnA//nfsB//garR//metB//pyrD//hycD//srlD//nrdF//entE//
GadE-RcsB_pos	pdeR//glpK//glcD//cysK//
GadE_pos	purF//mpaA//paaB//polA//appA//putA//dgcZ//accC//gltB//gcl//
GadW_neg	rutB//rdoA//dapD//
GadW_pos	fadM//nrfB//epd//glyA//
GadX_neg	mhpC//galM//
GadX_pos	nemA//patD//rffM//rutE//fadI//guaB//dacC//pgi//murE//talA//
GalR_neg	idnO//frdC//tdcE//ttdB//gcl//paaB//
GalR_pos	entC//trpC//oxc//dmsA//
GalS_neg	phnM//nfsA//yibQ//rfe//aldA//ldtD//
GalS_pos	rffT//paaF//uxaC//fruK//
GatR_neg	ynfH//rffC//cysE//
GcvA_neg	hycG//rutC//kbaY//
GcvA_pos	murQ//nagB//tadA//
GlcC_neg	
GlcC_pos	glmS//tauD//prpB//
GlpR_neg	aspC//patD//dapB//fdhF//fbaB//appA//mpl//
GlrR_pos	
GntR_neg	citC//pheT//leuC//alkB//fucI//appA//ybaS//gor//epd//
GutM_pos	cysD//trpE//allB//
GutR_neg	rfe//ynfE//sgbU//
HU_neg	allB//entC//glnA//epd//atoB//aspC//frc//
HU_pos	
HcaR_neg	
HcaR_pos	hcaE//gltD//
HdfR_neg	
HdfR_pos	
HigA_neg	pgaB//
HigB-HigA_neg	entF//
HipAB_neg	fabB//fucI//
HipB_neg	sdhC//puuA//purN//
HyfR_pos	nrdA//
HypT_neg	cysE//kbaZ//
HypT_pos	hcaD//asnB//ynfF//sdhB//phr//
IclR_neg	fucA//rutA//paaA//
IdnR_neg	galK//ulaF//
IdnR_pos	pheT//phnG//serA//argH//
IlvY_neg	
IlvY_pos	cysH//
IscR_neg	uvrA//guaA//nagB//rutB//
IscR_pos	sdhD//pfkA//
KdgR_neg	glk//purF//
KdpE_pos	frc//
LacI_neg	yeaG//murE//napG//
LeuO_neg	
LeuO_pos	mtlD//ftnA//eno//puuB//tam//lpxA//
LexA_neg	astA//rffG//bioF//kbaZ//fabI//mhpB//narH//aldA//ldtD//purA//phoA//sucD//pdeH//edd//tadA//malP//xapA//hcaD//sdhC//astE//hemH//
LldR_neg	katE//citF//
LldR_pos	puuC//mhpC//
LrhA_neg	
LrhA_pos	
LsrR_neg	ychF//galE//citE//rsmH//dacC//
LysR_neg	
LysR_pos	treC//
MalI_neg	trpC//hcp//
MalT_pos	hycG//trpC//lsrG//pspE//cysJ//murE//
MarA_neg	argE//
MarA_pos	gnd//paaC//sdhA//cynS//gloA//betA//metA//phr//pgaC//hycD//puuD//moaD//alkA//cueO//allE//nanK//adhE//paaK//metF//nrdD//nagB//frdB//
MarR_neg	
MatA_neg	argI//
MatA_pos	
MazE-MazF_neg	ung//
MazE_neg	phoA//
McbR_neg	
McbR_pos	
MelR_neg	torA//umpH//
MelR_pos	nadB//pgaD//
MetJ_neg	fabZ//ttdA//narG//ynfH//ulaG//fadD//leuB//fumC//ynfE//nrfA//
MetR_neg	pyrD//
MetR_pos	fucU//acnB//argB//murE//
MhpR_pos	gcvH//tdcB//mltF//pepD//rnpB//frdA//
Mlc_neg	rutA//napB//srlD//allB//
MlrA_pos	napB//
MngR_neg	carA//uvrB//
MntR_neg	argC//
MntR_pos	purN//
ModE_neg	mraY//gdhA//ftsI//aldA//argB//murE//nrdF//pykF//
ModE_pos	glxK//bioF//thrS//sgbE//rhaD//sdhD//
MprA_neg	malS//lsrF//uvrB//
MqsA_neg	accD//torA//
MraZ_neg	amn//pagP//entD//ulaF//paaY//fbaB//accC//poxB//rdoA//citD//waaY//
MtlR_neg	eno//rffM//fabD//
MurR_neg	hycB//purK//mltF//
MurR_pos	
Nac_neg	uxaA//mtlD//dmsA//
Nac_pos	hcp//xylA//fucA//glgC//gcvT//argA//gabD//
NadR_neg	gpmA//phnP//folE//entE//
NagC_neg	frdB//sucC//guaA//melA//napB//umuD//ubiA//ulaF//gadA//rhaA//citX//acnA//araB//fau//cysE//rfe//wzb//nanA//
NagC_pos	ssuE//mhpE//
NanR_neg	paaY//add//pgaB//allB//cynT//rhaD//
NanR_pos	
NarL_neg	rutE//pheS//metA//allC//lsrG//ttdB//prpD//pgm//ribA//hypB//astB//dapB//dkgB//nadA//purM//aspC//nanM//rffT//acnA//fadE//cdd//pdeR//paaZ//deoB//
NarL_pos	phnH//araB//purH//gcvP//glnA//sdhC//gcvH//glpQ//accC//pepD//sodB//phnP//katG//
NarP_neg	cdd//frdA//paaC//
NarP_pos	pepD//purF//lsrK//hyaB//dgcC//murF//cysI//glpB//citC//adhE//
NemR_neg	yfdE//araA//
NhaR_pos	guaA//paaI//argH//ttdA//phnI//
NikR_neg	nanA//
NimR_neg	ubiC//
NorR_neg	
NorR_pos	argH//
NrdR_neg	phnG//alkB//xapA//putA//
NsrR_neg	phnM//pgpC//gadB//dgcZ//mhpB//napA//mazG//argF//gatD//allA//gor//kbaZ//murC//ruvA//argC//fabB//paaY//dacC//argD//entE//rsmH//ppc//bglB//gcvT//caiC//cysJ//pheS//pyrD//bglB//glgB//glcB//mhpE//lysC//gdhA//atoB//araD//
NtrC_neg	adiA//asnA//
NtrC_pos	napB//rutD//frdD//mnmG//cdd//adiA//allD//fadM//guaB//caiC//purN//narH//paaB//rbsD//nadA//iscS//fabG//eno//entE//lpd//argB//
OmpR_neg	purB//hcaC//hmp//nemA//ada//
OmpR_pos	glcF//yiaK//nirD//deoC//
OxyR_neg	rutC//astD//entB//bioA//allB//
OxyR_pos	lsrK//malP//glk//dhaL//nrfB//hmp//puuD//dmsC//gadA//
PaaX_neg	chbF//aldA//umpH//leuB//ppsA//aceF//nrdD//edd//puuB//
PdeL_pos	lsrK//
PdhR_neg	gcvP//ahpC//dhaK//gcvP//trpE//rnpB//fdhF//mltF//entF//fabZ//acnB//dmsA//nrfB//ppiA//hycG//nanM//umuC//metB//fabB//slt//carB//sgbH//ada//cynS//
PdhR_pos	rpiB//glpX//
PepA_neg	alaC//atoB//
PgrR_neg	waaH//argB//
PhoB_neg	aceB//frdA//uxuA//tdcE//
PhoB_pos	hmp//codA//chbF//fruK//udp//ulaG//carB//eda//cynT//yfbR//fucU//argH//argG//fabB//paaA//moaA//
PhoP_neg	ftsI//polA//metK//
PhoP_pos	astC//gltB//araA//adiA//paaI//ampC//frdA//fadM//pgaD//yeaG//pflB//alaC//entB//nrdB//glxK//bioD//aceF//lldD//eno//add//pdeL//murI//gutQ//folA//rutE//phnG//pgaC//thrS//argE//pepD//bioF//cysM//
PrpR_neg	
PrpR_pos	eno//psd//purF//ulaD//
PspF_neg	
PspF_pos	frdB//
PurR_neg	nadA//guaB//tnaA//frdD//metA//ybaS//galK//rffH//bioC//glk//guaA//argH//patA//astE//nadA//ynfH//citD//accC//fabA//hypB//murF//fucO//ruvA//luxS//hypF//napA//
PutA_neg	murG//lysA//
PuuR_neg	mhpC//fadA//bioF//uxaB//purA//malZ//
QseB_pos	
RbsR_neg	luxS//purE//gor//wzb//tdcG//
RbsR_pos	pgaC//
RcdA_neg	
RcdA_pos	poxB//
RclR_pos	
RcnR_neg	ssuD//
RcsAB_neg	fabZ//
RcsAB_pos	fdhF//asnA//
RcsB-BglJ_pos	bacA//ada//
RcsB_neg	galT//
RcsB_pos	pepD//gor//pheT//
RelB-RelE_neg	uxaC//
RelB_neg	speB//
RhaR_pos	
RhaS_pos	aldA//fbaA//sufS//uvrB//
Rob_neg	
Rob_pos	fadM//ldtB//tdcD//phnM//speB//fucI//fumB//mhpF//malY//sdhC//dmsA//hyaC//bglB//nfsA//nemA//moeB//ycjG//fadA//ppc//
RstA_neg	puuB//citG//
RstA_pos	garD//
RtcR_pos	chbF//puuB//
RutR_neg	hycC//fadJ//glxR//tam//puuB//glxK//add//moeA//nrdF//betB//
RutR_pos	moeB//
SdiA_neg	
SdiA_pos	
SgrR_neg	araB//
SgrR_pos	sodB//puuC//
SlyA_pos	
SoxR_neg	
SoxR_pos	glnA//
SoxS_neg	
SoxS_pos	fbaA//nanK//cysM//iscS//asnB//dapD//glpA//garL//pgaD//dkgB//ppsA//allC//rutC//ycjG//fruK//gatY//glnA//cynS//dapB//rutC//tam//psd//idnO//ychF//trpB//hemH//
StpA_neg	rutD//glnA//gor//
SutR_neg	glpB//paaI//
SutR_pos	
TdcA_pos	leuA//tnaA//murQ//allE//pck//
TdcR_pos	purL//rimK//uvrB//gcvH//acnA//
TorR_neg	fucO//
TorR_pos	fumC//araB//trpD//
TreR_neg	pgaC//lacA//
TrpR_neg	dhaM//yqhD//sucA//aroG//ynfF//paaI//gcl//paaK//rdoA//
TyrR_neg	astA//frdC//lsrF//metA//nirB//ldtB//uxaC//
TyrR_pos	argI//rimK//argA//
UhpA_pos	argI//
UidR_neg	hycD//purL//
UlaR_neg	ycjG//mhpA//leuD//dhaM//sucB//
UvrY_pos	pspE//wzb//
UxuR_neg	ogt//carA//ldtC//purB//citF//
XapR_pos	ugpQ//glk//
XylR_neg	
XylR_pos	nrdE//lacA//folA//
YdeO_neg	
YdeO_pos	alkB//trpE//ttdA//
YedW_neg	paaZ//sdhA//
YedW_pos	sdhD//
YefM-YoeB_neg	aroH//
YefM_neg	glgB//
YehT_pos	
YeiL_pos	
YiaJ_neg	argI//glpB//citC//fdhF//pnp//fadM//
YjjQ_neg	murI//
YpdB_pos	
YqhC_pos	murF//nagB//
YqjI_neg	nrdB//
ZntR_pos	hycB//
ZraR_pos	
Zur_neg	hypF//
