# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	tnaA//yqhD//
DicA_neg	
DinJ-YafQ_neg	mdh//
DnaA_neg	gltB//rhaA//paaJ//alaC//nrfA//
DnaA_pos	fadJ//pgm//deoB//
DpiA_neg	
DpiA_pos	entA//prpB//lyxK//mnmG//napG//
DsdC_neg	
DsdC_pos	dinB//tdcD//
EbgR_neg	
EnvR_neg	idnD//fucK//
EnvY_pos	caiA//carA//
EvgA_pos	metB//astE//prpB//gcl//murC//epd//
ExuR_neg	hycE//malS//cynS//malS//trpE//citF//
FabR_neg	aldA//alaS//
FadR_neg	fucK//gltD//ldtC//aroL//adhE//pgaB//mazG//frdA//nirB//
FadR_pos	puuD//mltF//ruvA//yeaG//murE//umuC//cueO//mltF//gntK//
FeaR_pos	betB//umuC//
FhlA_pos	entH//ppc//frdA//fabA//nadB//patA//tyrB//
FlhDC_neg	glk//umpH//
FlhDC_pos	dacC//ynfE//lacZ//xylB//astC//mhpD//gcvT//eda//paaH//
FliZ_neg	pykF//entF//tynA//glxK//paaH//
FucR_pos	ssuE//sodB//nrfA//sucD//adhE//murG//
Fur_neg	ynfH//nadB//lpxA//fbaA//rhaD//speB//pnp//uxaC//sdhD//phoA//sgbE//galT//cynS//cysI//gcvT//citC//metB//pgm//tdcE//aceA//nrfD//ubiX//napC//gcvT//garR//melA//ulaF//fdhF//aroG//folE//arsC//ruvB//torA//dgkA//glpB//ycjG//alkA//mnmG//ogt//gcvH//rnpB//lsrK//fadA//garL//dgcZ//metF//umuD//dsdA//aceB//astC//frc//idnD//polB//argG//
Fur_pos	dhaL//paaY//tnaA//phnO//ulaG//ilvC//treC//yfdE//speA//napH//argH//gutQ//rsmH//cysH//yqjH//srlD//glcF//
GadE-RcsB_pos	pepD//cysC//moeA//alkB//
GadE_pos	ascB//polA//carA//gor//pflB//napB//glgX//aroG//fucK//glpB//
GadW_neg	icd//idnO//malZ//
GadW_pos	poxB//yiaK//astA//nanM//
GadX_neg	eda//gor//
GadX_pos	talA//glyA//nagA//ubiA//prpC//fucI//malY//pfkA//pyrC//lpxC//
GalR_neg	tyrA//fbaA//umpH//aroG//sdhD//gloA//
GalR_pos	lsrK//sodA//gabT//pdeH//
GalS_neg	moeB//napB//psd//gabD//glcB//nanA//
GalS_pos	prpC//nrdE//umuC//frdC//
GatR_neg	mhpD//pgaB//bglB//
GcvA_neg	nrdA//frdA//mhpA//
GcvA_pos	dmsB//dgkA//citF//
GlcC_neg	
GlcC_pos	pepD//hycF//metL//
GlpR_neg	caiC//idnO//argI//alkA//fabH//nadA//rffC//
GlrR_pos	
GntR_neg	bioD//atoD//entC//lpxD//uxaB//phnN//hcaB//entC//phnN//
GutM_pos	poxB//hypF//argD//
GutR_neg	nadB//glxK//rdoA//
HU_neg	glnA//oxc//paaK//xylB//entF//cysG//gadA//
HU_pos	
HcaR_neg	
HcaR_pos	metF//alkA//
HdfR_neg	
HdfR_pos	
HigA_neg	glcF//
HigB-HigA_neg	ssuE//
HipAB_neg	amn//rutE//
HipB_neg	kbaZ//nfsB//cdd//
HyfR_pos	alaS//
HypT_neg	murD//dmsA//
HypT_pos	puuA//ychF//uvrB//carA//nrdF//
IclR_neg	gcvP//cynT//allA//
IdnR_neg	phr//lldD//
IdnR_pos	pncB//gatY//hycD//atoA//
IlvY_neg	
IlvY_pos	ampC//
IscR_neg	caiB//pdeL//uidA//waaH//
IscR_pos	phnG//aroF//
KdgR_neg	ycjG//cynS//
KdpE_pos	aceA//
LacI_neg	entH//ybjG//argE//
LeuO_neg	
LeuO_pos	mraY//aroF//rbsD//kbaY//fabG//nrfA//
LexA_neg	carA//rffH//araB//pspE//narI//trpE//glgC//wzb//caiA//hemH//atoA//dgkA//ruvB//ubiA//hycC//caiC//lyxK//umpH//yqhD//prpB//ada//
LldR_neg	adhE//astA//
LldR_pos	moaD//rutE//
LrhA_neg	
LrhA_pos	
LsrR_neg	rpiB//nagA//ttdB//hycC//napC//
LysR_neg	
LysR_pos	pdeR//
MalI_neg	glgC//gntK//
MalT_pos	allA//gatY//glxR//glgP//waaZ//pepD//
MarA_neg	ung//
MarA_pos	glpQ//nagB//waaH//oxc//pagP//entF//gpmA//purM//chbF//carB//pgm//murE//polB//glpC//narI//hypB//fucA//sdhA//rffM//katE//fadA//moeA//
MarR_neg	
MatA_neg	melA//
MatA_pos	
MazE-MazF_neg	paaH//
MazE_neg	dkgA//
McbR_neg	
McbR_pos	
MelR_neg	dmsB//lpxA//
MelR_pos	glpQ//hmp//
MetJ_neg	nadB//ubiA//fadB//cysC//paaJ//pgk//malP//alkA//mpl//pflB//
MetR_neg	aceF//
MetR_pos	gudD//tyrA//purM//dhaM//
MhpR_pos	cysH//fbaB//murG//yiaK//metC//rffG//
Mlc_neg	entF//wecC//dkgA//tktB//
MlrA_pos	katG//
MngR_neg	moeA//luxS//
MntR_neg	yeaG//
MntR_pos	frdD//
ModE_neg	nagB//puuE//araB//deoC//ndh//gntK//nemA//asnA//
ModE_pos	tynA//alkA//rffH//zwf//phnJ//glk//
MprA_neg	accC//pgk//udp//
MqsA_neg	fadM//aspA//
MraZ_neg	adiA//yeaE//gadB//glcD//astB//rutD//frc//frdC//umpH//caiC//ttdB//
MtlR_neg	allE//argH//gcvP//
MurR_neg	glgX//argC//entF//
MurR_pos	
Nac_neg	galE//prpE//deoC//
Nac_pos	sdhA//allE//sucA//glpX//leuC//guaB//nanA//
NadR_neg	tdcE//gatY//puuA//ppsA//
NagC_neg	pdeR//ulaG//murE//hyaB//phnJ//rdoA//argH//gatY//ugpQ//paaZ//dhaM//phr//ycjG//hemH//nrdF//alaC//accA//wzb//
NagC_pos	rutC//pgaC//
NanR_neg	phnG//hypF//puuB//cysH//paaK//fruK//
NanR_pos	
NarL_neg	leuC//ahpC//moeA//umpH//bioB//glgX//lacA//hcaC//nanA//fadA//aceB//adiA//nrdD//psd//trpC//dkgB//dkgB//pyrC//metC//allC//rffC//pdeL//yqjH//glcB//
NarL_pos	ybaS//ulaD//gutQ//paaE//mltF//prpD//glpA//gntK//araA//cysC//purH//ddlB//entC//
NarP_neg	nirD//frdD//fadB//
NarP_pos	citC//rutC//glgX//glcB//cysG//alkB//ampC//mltF//glgA//alkA//
NemR_neg	ddlB//waaZ//
NhaR_pos	mhpA//hycB//gapA//nrfD//bioA//
NikR_neg	trpE//
NimR_neg	poxB//
NorR_neg	
NorR_pos	purD//
NrdR_neg	pykF//ybjG//talA//ppc//
NsrR_neg	argE//cysI//garR//hycB//codA//glxK//gpmM//umuD//astA//alaC//lacZ//hcaF//fabH//citF//ybaS//glcE//melA//hyaA//astE//lpxA//alkA//eda//cysK//glgX//glpX//glpQ//waaH//puuE//lysA//ribA//uxuA//cysI//purF//argD//purN//arsC//
NtrC_neg	rffG//fruK//
NtrC_pos	pdeR//nrdD//astC//atoD//hemL//purB//aroH//nrdB//fbaA//fadH//purF//nrfB//tehB//fdhF//gadB//mhpE//wzc//tyrB//chbF//aldA//wecC//
OmpR_neg	narG//nadA//paaZ//ampC//betA//
OmpR_pos	argB//pheS//tynA//pflB//
OxyR_neg	xapA//malQ//cysG//glgA//ndh//
OxyR_pos	yeaG//caiC//ddlB//glcE//aldA//garL//lysA//wzb//lsrK//
PaaX_neg	acnB//ulaG//metH//mraY//idnO//paaY//add//fabH//glnA//
PdeL_pos	sgbE//
PdhR_neg	paaB//fadD//phnM//xapA//pgaB//yqjH//carA//glmU//yibQ//garR//napB//tam//pncB//sgbU//aspC//serA//aceB//gcl//argD//rffT//sucD//xylB//metE//cysG//
PdhR_pos	sgbU//murF//
PepA_neg	puuD//ssuD//
PgrR_neg	hmp//ribA//
PhoB_neg	xylA//wzb//phnG//fadE//
PhoB_pos	codA//wrbA//napA//phr//mhpA//glgB//tktB//phnJ//murC//mpaA//nanM//glpB//gloA//dhaM//nirB//ynfF//
PhoP_neg	pyrC//rutB//ubiA//
PhoP_pos	ahpF//metF//metH//hcaD//nfsB//fucO//dkgA//pheS//phr//allA//lpd//fruK//narG//rbsK//lacA//moeB//thrS//gcvT//glgX//nanA//pnp//recF//nanA//lysA//folE//cysE//purD//bioA//bioB//rhaB//aceF//lpxD//
PrpR_neg	
PrpR_pos	galE//frc//metC//eno//
PspF_neg	
PspF_pos	phnL//
PurR_neg	moeB//gltB//zwf//puuC//yqhD//fdhF//cysE//kbaY//gntK//cysK//pyrD//yibQ//rffC//pyrD//gabT//gatZ//aroF//entD//aspC//caiD//nrfC//moaD//entB//cueO//fabG//murC//
PutA_neg	lacZ//phoA//
PuuR_neg	rutD//chbF//nrdD//pgm//mhpC//metE//
QseB_pos	
RbsR_neg	deoA//glgA//fbaA//glpB//phnG//
RbsR_pos	cynT//
RcdA_neg	
RcdA_pos	glcE//
RclR_pos	
RcnR_neg	poxB//
RcsAB_neg	galK//
RcsAB_pos	cysM//citE//
RcsB-BglJ_pos	glcE//aceF//
RcsB_neg	hycF//
RcsB_pos	citD//nagA//glk//
RelB-RelE_neg	ulaG//
RelB_neg	cadA//
RhaR_pos	
RhaS_pos	argF//argG//pck//rutD//
Rob_neg	
Rob_pos	dhaL//ppsA//metK//ynfF//pgaD//tktB//phnI//lpxA//truB//phnL//waaY//wrbA//murG//fbaA//rffH//prpB//pagP//malQ//pykF//
RstA_neg	citX//napB//
RstA_pos	allE//
RtcR_pos	phnL//aroH//
RutR_neg	nanK//fucI//xylA//murD//asnA//puuB//rhaB//pyrC//yfbR//argG//
RutR_pos	chbF//
SdiA_neg	
SdiA_pos	
SgrR_neg	deoD//
SgrR_pos	narI//lsrK//
SlyA_pos	
SoxR_neg	
SoxR_pos	mhpF//
SoxS_neg	
SoxS_pos	gapA//moaE//amn//deoD//citC//uxuA//hcaC//gcvH//purE//frdC//ldtB//aspA//bioC//yiaK//tyrB//icd//purB//bioD//dmsC//ubiX//polA//lldD//ada//pck//umuC//metB//
StpA_neg	chbG//paaZ//epd//
SutR_neg	patD//lldD//
SutR_pos	
TdcA_pos	fucO//sgbU//argF//wecC//rutA//
TdcR_pos	aceF//aceB//cysJ//fabZ//ppsA//
TorR_neg	wrbA//
TorR_pos	gutQ//waaY//fabB//
TreR_neg	mpaA//rsmH//
TrpR_neg	hmp//paaY//fadB//sdhD//entB//napH//lldD//hypF//murF//
TyrR_neg	ugpQ//lpxC//accA//pgaB//malZ//dsdA//fumC//
TyrR_pos	guaB//nanM//lpd//
UhpA_pos	entD//
UidR_neg	fdhF//metB//
UlaR_neg	waaZ//narH//nanM//idnK//xapA//
UvrY_pos	allC//ppsA//
UxuR_neg	narI//trpB//fdhF//argC//napB//
XapR_pos	ynfE//rbsD//
XylR_neg	
XylR_pos	metL//dapD//nanK//
YdeO_neg	
YdeO_pos	cysC//cynS//ulaF//
YedW_neg	argC//ttdB//
YedW_pos	edd//
YefM-YoeB_neg	paaF//
YefM_neg	phnG//
YehT_pos	
YeiL_pos	
YiaJ_neg	moaA//pnp//carB//purK//ulaD//dhaM//
YjjQ_neg	uxaC//
YpdB_pos	
YqhC_pos	hycE//sdhC//
YqjI_neg	udp//
ZntR_pos	fau//
ZraR_pos	
Zur_neg	rnpB//
