# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	lacZ//idnK//
DnaA_neg	rffC//idnO//mhpE//xylB//nirB//
DnaA_pos	sgbU//galT//astE//
DpiA_neg	
DpiA_pos	rffT//rffT//alaS//caiB//metE//
DsdC_neg	
DsdC_pos	gcl//leuA//
EbgR_neg	
EnvR_neg	glpD//hemL//
EnvY_pos	idnD//entB//
EvgA_pos	nirB//hcaF//astA//prs//citE//patD//
ExuR_neg	purK//gadA//glgB//aroH//murD//dinB//
FabR_neg	allD//murF//
FadR_neg	tehB//rpiB//citG//fbaB//lysC//glk//tehB//mhpE//melA//
FadR_pos	paaF//purB//astA//phnP//thrS//fabB//fruK//udp//sdhD//
FeaR_pos	idnO//hycB//
FhlA_pos	pgaC//dgcZ//phnG//fadM//araA//gudD//tdcE//
FlhDC_neg	malY//ahpC//
FlhDC_pos	ubiA//paaJ//gabD//fau//cysC//astE//frdD//fabZ//rffC//
FliZ_neg	alkB//ahpF//sgbE//cadA//gpmA//
FucR_pos	cysK//aldA//hemH//mtlD//lacZ//mhpF//
Fur_neg	dacC//astC//uxuB//rhaB//ilvC//alkA//nrfC//talA//hypF//paaF//lldD//ppsA//paaG//deoA//purD//mhpE//bioA//ahpF//allC//yfbR//napC//deoA//mdh//betB//gdhA//mnmG//kbaZ//ldtD//allD//malP//gcl//ogt//glyA//caiA//nanM//ubiC//deoA//ddlB//tyrB//paaF//frdD//fucU//gapA//rffG//phnM//entB//aldA//entC//argC//rbsD//fadB//glmU//dgcC//arsC//
Fur_pos	guaB//tyrA//uvrB//citX//lsrG//malZ//pgaB//yeaE//moaE//xapA//caiA//rffT//entD//hcaE//rdoA//hycG//sucA//
GadE-RcsB_pos	acnB//pnp//aceA//hemH//
GadE_pos	aceE//ttdB//tam//iscS//allE//glgP//pdeH//dinB//dmsA//hyaB//
GadW_neg	nrdD//tehB//murQ//
GadW_pos	feaB//chbG//pepD//gpmA//
GadX_neg	sucC//citF//
GadX_pos	garK//nagB//paaC//lsrF//dhaL//lsrK//nirD//aspC//cysJ//lpxD//
GalR_neg	prpE//ftnA//glpC//fadI//bioB//betB//
GalR_pos	hcaF//garD//adhE//cysM//
GalS_neg	pdeR//ulaG//fadE//phnH//eda//entD//
GalS_pos	hemH//metH//ubiX//ulaD//
GatR_neg	citE//lpxD//fruK//
GcvA_neg	phnH//ung//ybjG//
GcvA_pos	metL//sgbH//treC//
GlcC_neg	
GlcC_pos	argB//glpQ//ycjG//
GlpR_neg	galE//araA//gatY//glgC//aldA//rhaA//waaY//
GlrR_pos	
GntR_neg	glmU//metK//uvrB//tadA//glgA//nadA//ulaG//rimK//glcE//
GutM_pos	glgB//ascB//dsdA//
GutR_neg	fumB//accC//nrfB//
HU_neg	lyxK//katE//serA//mhpC//phnH//allA//eno//
HU_pos	
HcaR_neg	
HcaR_pos	nagB//glpA//
HdfR_neg	
HdfR_pos	
HigA_neg	asnB//
HigB-HigA_neg	ubiX//
HipAB_neg	dhaK//metL//
HipB_neg	glgB//gapA//aspA//
HyfR_pos	slt//
HypT_neg	torA//pyrC//
HypT_pos	patD//ppsA//fdhF//hyi//leuD//
IclR_neg	gatZ//metA//sdhA//
IdnR_neg	ppsA//glmU//
IdnR_pos	gcvH//napC//sucD//sgbU//
IlvY_neg	
IlvY_pos	napC//
IscR_neg	nemA//fes//bioC//caiC//
IscR_pos	lacA//murE//
KdgR_neg	gutQ//yfbR//
KdpE_pos	allE//
LacI_neg	ruvA//gloA//atoD//
LeuO_neg	
LeuO_pos	edd//mngB//guaA//glpB//aspC//phnN//
LexA_neg	lyxK//frc//rnpB//murF//folA//patD//torA//rffG//talA//astB//yqhD//mhpB//glpC//entC//pgpC//tdcD//lysC//speA//gpmA//pgaC//puuC//
LldR_neg	ulaE//asnB//
LldR_pos	lpxA//rutA//
LrhA_neg	
LrhA_pos	
LsrR_neg	waaZ//pykF//pepD//paaI//gnd//
LysR_neg	
LysR_pos	deoC//
MalI_neg	glmU//rutA//
MalT_pos	galK//wrbA//glgA//ahpC//appA//argG//
MarA_neg	paaZ//
MarA_pos	idnO//deoC//leuB//entD//leuC//nrfB//malY//patA//astD//sucD//arsC//argF//trpE//add//mazG//cadA//metH//ttdB//pflB//glk//phnM//dmsB//
MarR_neg	
MatA_neg	nrdD//
MatA_pos	
MazE-MazF_neg	tauD//
MazE_neg	ttdB//
McbR_neg	
McbR_pos	
MelR_neg	codA//phnL//
MelR_pos	cyoE//trpC//
MetJ_neg	treC//galE//moeA//acnA//nagA//glcE//atoA//aceE//patA//prs//
MetR_neg	sucB//
MetR_pos	pykF//pdeR//dgcZ//deoD//
MhpR_pos	caiD//hcaC//sufS//entC//umpH//fucU//
Mlc_neg	sodB//entD//ruvA//pdeH//
MlrA_pos	alsE//
MngR_neg	citG//trpD//
MntR_neg	xylB//
MntR_pos	malS//
ModE_neg	mnmG//murQ//ilvC//argF//ppsA//pgaD//fadE//cysN//
ModE_pos	uidA//argI//argF//mngB//aroL//idnK//
MprA_neg	cdd//purB//metK//
MqsA_neg	accA//fumC//
MraZ_neg	gatZ//glpX//entD//caiD//aldA//lacA//folA//dmsC//fucA//gloA//lyxK//
MtlR_neg	sdhB//phnJ//alkA//
MurR_neg	atoA//guaA//fadM//
MurR_pos	
Nac_neg	ruvB//pgk//astD//
Nac_pos	sucA//alaC//alsE//xylA//umuC//argF//sucC//
NadR_neg	ada//pnp//entB//uxaB//
NagC_neg	entH//astC//tktB//ung//ynfH//purK//napC//ubiA//cueO//hycB//mhpA//tpiA//rffM//glk//rffG//rfe//asnA//xapA//
NagC_pos	murD//hemH//
NanR_neg	dgcC//cysD//feaB//lacZ//entE//epd//
NanR_pos	
NarL_neg	hcaB//narG//relA//gdhA//torA//purL//dapD//trpB//ssuE//pgi//dhaK//leuD//fadI//feaB//gpmM//waaH//waaY//ndh//patD//nrdA//gutQ//napA//frdD//eno//
NarL_pos	phnH//aceB//argB//argH//srlD//pheT//fadJ//argI//ulaE//serA//rffM//fes//glcD//
NarP_neg	araB//puuA//trpD//
NarP_pos	hycB//melA//tadA//pgaC//phnI//napC//paaY//bacA//asnB//speA//
NemR_neg	cyoE//nrfD//
NhaR_pos	nrdA//idnO//cysI//argE//purH//
NikR_neg	talA//
NimR_neg	prpB//
NorR_neg	
NorR_pos	fucU//
NrdR_neg	citC//phnN//mhpD//pncB//
NsrR_neg	moeB//nrdD//mhpF//uxaA//accB//pdeR//cyoE//nfsB//tdcG//adiA//fbaA//ulaG//leuC//mngB//uvrA//hcaB//glmU//allC//yfdE//pgaB//phoA//xapA//caiA//araA//relA//fabB//hcaC//napG//argC//idnD//paaJ//wzc//rimK//appA//nrdE//gadB//
NtrC_neg	cysD//ruvB//
NtrC_pos	nrfA//gcl//aroH//moeB//allC//rhaD//uxaB//pgk//gcvP//ldtC//metB//trpA//purH//sdhD//araA//adhE//tyrA//paaF//yfdE//pdeR//astA//
OmpR_neg	glyA//phoA//fadI//gdhA//gadB//
OmpR_pos	wzc//sdhB//leuA//dgkA//
OxyR_neg	entC//tehB//lhgO//alaC//argD//
OxyR_pos	napG//fadA//glcB//ulaF//pgi//paaF//murF//mtlD//pnp//
PaaX_neg	eno//leuC//bacA//wzc//mhpA//thrS//mhpC//nrdB//oxc//
PdeL_pos	glpA//
PdhR_neg	ung//rutB//gutQ//ssuD//add//puuA//waaH//prs//putA//trpC//katE//cysN//feaB//cdd//nagA//truB//fes//deoD//lldD//folE//speA//ahpF//glgC//rhaA//
PdhR_pos	citD//prpE//
PepA_neg	uxaA//gadA//
PgrR_neg	hypF//fadH//
PhoB_neg	sdhA//ynfH//pgaD//ascB//
PhoB_pos	narG//dacC//nanM//lpxC//ppc//accA//argE//gcvP//thrS//astA//phr//purN//uvrA//citE//fadM//nanE//
PhoP_neg	gloA//cysM//mazG//
PhoP_pos	bglB//gatY//polB//cynT//argF//allB//idnO//yfbR//purH//fadD//hypF//dgcC//eda//ogt//aroF//gdhA//rnpB//sodA//phnH//ampC//malS//malZ//allA//kbaZ//metH//moeA//gabD//pgpC//murE//astC//gnd//purK//
PrpR_neg	
PrpR_pos	gabD//gadB//ruvA//pgaD//
PspF_neg	
PspF_pos	nadA//
PurR_neg	hycG//wrbA//adhE//napG//cysJ//feaB//ldtB//napH//fbaA//tynA//ttdA//pgaC//nanM//fumB//fadB//umpH//nrdA//fadB//betB//ppsA//argA//ppiA//cysI//dmsC//edd//caiD//
PutA_neg	polA//fadH//
PuuR_neg	aceF//pgk//ynfG//accB//nrdB//trpD//
QseB_pos	
RbsR_neg	pepD//dinB//purA//frdB//ybaS//
RbsR_pos	yiaK//
RcdA_neg	
RcdA_pos	glgX//
RclR_pos	
RcnR_neg	ruvB//
RcsAB_neg	gntK//
RcsAB_pos	glxR//lpxC//
RcsB-BglJ_pos	uxaB//ftsI//
RcsB_neg	lhgO//
RcsB_pos	rutD//nrfA//phnG//
RelB-RelE_neg	patA//
RelB_neg	glpK//
RhaR_pos	
RhaS_pos	malP//metA//ppc//umuD//
Rob_neg	
Rob_pos	idnO//paaK//xapA//speA//metK//waaY//dapD//ppc//cynT//argI//citC//pyrD//idnO//ruvA//cynT//hyaC//paaF//adhE//bglB//
RstA_neg	garK//allB//
RstA_pos	napA//
RtcR_pos	ybjG//pykF//
RutR_neg	trpD//ampC//allA//argE//sucB//pck//purL//rbsK//glpC//malS//
RutR_pos	srlD//
SdiA_neg	
SdiA_pos	
SgrR_neg	kbaY//
SgrR_pos	rhaB//allC//
SlyA_pos	
SoxR_neg	
SoxR_pos	phnH//
SoxS_neg	
SoxS_pos	glpA//dgcZ//sdhA//hcaD//glcE//glgA//tdcG//carB//caiA//mhpB//asnA//argB//ldtB//aroH//aceF//ynfE//hcp//sufS//fbaB//astA//moaD//lsrK//phnL//ubiX//glpQ//leuA//
StpA_neg	rutB//pgaC//sucA//
SutR_neg	caiD//gcvT//
SutR_pos	
TdcA_pos	murC//aroG//yeaG//rutE//nagB//
TdcR_pos	hcaC//acnB//paaF//nirD//pgm//
TorR_neg	hycE//
TorR_pos	fadE//puuE//mdh//
TreR_neg	glmS//wecB//
TrpR_neg	adiA//mhpF//alaS//wecB//uvrC//sucC//moaD//garR//paaY//
TyrR_neg	luxS//katE//murI//dkgB//tpiA//folA//wrbA//
TyrR_pos	nagA//trpC//dmsA//
UhpA_pos	malZ//
UidR_neg	dapB//carB//
UlaR_neg	nfsA//gutQ//hcaF//gcvT//hypB//
UvrY_pos	glk//mhpB//
UxuR_neg	cueO//guaA//betA//hmp//paaF//
XapR_pos	rffG//dsdA//
XylR_neg	
XylR_pos	waaZ//hycF//asnB//
YdeO_neg	
YdeO_pos	araD//mhpE//dhaK//
YedW_neg	rdoA//nirD//
YedW_pos	fadD//
YefM-YoeB_neg	glgP//
YefM_neg	umuC//
YehT_pos	
YeiL_pos	
YiaJ_neg	trpD//serA//deoB//gapA//astE//nrdF//
YjjQ_neg	phnO//
YpdB_pos	
YqhC_pos	rpiB//fabI//
YqjI_neg	fucK//
ZntR_pos	metL//
ZraR_pos	
Zur_neg	malS//
