# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	caiD//tam//
Cra_neg	chbG//nrdE//guaB//lyxK//paaZ//yibQ//aspA//gpmA//glgX//eno//rffG//fucK//nagB//glgP//astD//ribA//aceB//cysG//ulaE//paaC//treC//fau//malQ//ulaD//napC//hemH//nfsB//purK//hyaA//uvrC//ruvA//sdhD//ldtB//patA//hcp//paaG//caiA//aceA//carB//aceB//ldtC//aspC//glpK//fucU//cdd//uxaB//
Cra_pos	hypF//patD//frdC//betB//tauD//fabI//mraY//leuD//fadH//rffM//dinB//phr//cysN//uxuB//umuD//paaK//melA//
CreB_neg	rutE//
CreB_pos	fabZ//
CsgD_neg	rffM//tpiA//
CsgD_pos	uxuB//rpiB//pspE//
CsiR_neg	glpK//uxuA//aroH//narH//
CspA_pos	sufS//
CueR_neg	phnO//cynT//
CueR_pos	fadB//mraY//
CusR_pos	yqhD//gdhA//astC//
CynR_neg	
CynR_pos	galM//ynfE//purL//
CysB_neg	hemH//yfdE//cysD//
CysB_pos	ppiA//aspC//rsmH//sdhC//wzc//sgbH//uxaB//wzc//fucU//cysD//garL//hemL//pgaC//malZ//nrdE//
CytR_neg	ldtC//nrdE//tyrA//yqhD//idnD//purK//hycC//ssuE//napG//astA//
Dan_pos	dmsC//ynfG//
DcuR_pos	bioF//betA//sucC//yfdE//
DeoR_neg	hycE//cynT//bglB//argI//codA//dsdA//
DhaR_neg	
DhaR_pos	ugpQ//
DicA_neg	
DinJ-YafQ_neg	fadB//
DnaA_neg	hyaA//glxK//idnK//araD//idnD//
DnaA_pos	yeaG//hcaE//sdhD//
DpiA_neg	
DpiA_pos	thrS//glcE//glpA//cysC//glxK//
DsdC_neg	
DsdC_pos	idnK//lpd//
EbgR_neg	
EnvR_neg	malQ//torA//
EnvY_pos	nfsB//ddlB//
EvgA_pos	gadA//narG//allD//atoB//mhpF//purL//
ExuR_neg	epd//paaZ//paaZ//yqjH//phr//puuD//
FabR_neg	lacZ//argB//
FadR_neg	gdhA//hyaA//ada//caiD//ribA//lpd//fucK//tdcB//gatD//
FadR_pos	waaY//rutC//paaB//gatD//paaC//waaH//bioD//rimK//aroH//
FeaR_pos	bioD//moaE//
FhlA_pos	purC//katE//nanM//puuA//adhE//phnO//asnA//
FlhDC_neg	dmsB//murI//
FlhDC_pos	edd//phnP//idnK//ndh//glgP//asnA//argH//tdcE//phnH//
FliZ_neg	murC//tyrA//moeB//prs//hmp//
FucR_pos	iscS//rffH//guaA//tadA//tpiA//cueO//
Fur_neg	idnO//ychF//fabA//mnmG//guaB//rffH//murQ//nrdE//hycB//wecC//chbG//yqjH//glk//trpD//rutC//lhgO//fumB//tdcB//purK//wrbA//wrbA//murF//trpE//allE//nemA//metK//torC//arsC//glcD//waaH//acnA//ychF//sdhA//bacA//alaS//cysG//rimK//hyaC//entH//tnaA//phnM//pdeR//tyrB//puuD//fbaB//pepD//rimK//gcvH//zwf//sucA//astB//aceA//xylB//dinB//
Fur_pos	idnO//kbaY//speA//ttdB//narG//ynfE//bglB//hyaA//glmU//paaF//ahpF//malY//ppiA//katG//pfkA//gatY//cysH//
GadE-RcsB_pos	aspA//metL//glgP//purM//
GadE_pos	fbaA//narH//rnpB//ldtC//talA//mhpD//carA//rfe//lyxK//pgaD//
GadW_neg	arsC//hypB//glxK//
GadW_pos	tktB//sdhB//gor//hyaA//
GadX_neg	bioB//frdC//
GadX_pos	bioB//yibQ//rffM//ssuE//gatZ//cueO//ldtC//rutD//bacA//polA//
GalR_neg	lpxC//gadB//yqjH//epd//ynfH//fabD//
GalR_pos	ynfF//prpB//allC//lhgO//
GalS_neg	rimK//gatY//appA//lysC//bioB//dgcC//
GalS_pos	metL//astD//rbsK//fabI//
GatR_neg	fucI//argC//phnL//
GcvA_neg	citF//purN//ubiX//
GcvA_pos	umuD//fabZ//tam//
GlcC_neg	
GlcC_pos	murG//atoB//ung//
GlpR_neg	lpd//xylB//nadA//aroL//mnmG//ldtD//murF//
GlrR_pos	
GntR_neg	nanK//ada//nrdD//guaA//galK//dacC//ycjG//slt//deoA//
GutM_pos	phnL//dhaM//rutD//
GutR_neg	fucO//uxaC//nadA//
HU_neg	paaB//mnmG//entB//torC//purL//nrfC//treC//
HU_pos	
HcaR_neg	
HcaR_pos	pheT//hyaB//
HdfR_neg	
HdfR_pos	
HigA_neg	waaZ//
HigB-HigA_neg	lpxD//
HipAB_neg	sdhB//fumC//
HipB_neg	atoD//eda//ynfF//
HyfR_pos	dkgA//
HypT_neg	fucA//icd//
HypT_pos	murQ//fadJ//deoA//hemL//entE//
IclR_neg	deoD//moaA//mhpF//
IdnR_neg	nrdD//mhpB//
IdnR_pos	lpxC//fabH//add//cysD//
IlvY_neg	
IlvY_pos	xylB//
IscR_neg	argG//accD//aspA//nrdB//
IscR_pos	talA//yeaE//
KdgR_neg	mltF//srlD//
KdpE_pos	cysJ//
LacI_neg	epd//nfsB//allA//
LeuO_neg	
LeuO_pos	sgbE//cysE//edd//asnB//ldtB//yibQ//
LexA_neg	alsE//ampC//paaG//ulaG//fabG//poxB//gutQ//kbaY//phnH//amn//narI//ftsI//aroG//nrfC//relA//fadJ//pepD//ftnA//rutE//leuC//puuB//
LldR_neg	sodB//frdC//
LldR_pos	bioA//gadB//
LrhA_neg	
LrhA_pos	
LsrR_neg	mhpA//udp//fabD//uvrA//entH//
LysR_neg	
LysR_pos	cynT//
MalI_neg	pspE//phnJ//
MalT_pos	sgbU//chbF//ftnA//rbsD//entB//ppiA//
MarA_neg	puuB//
MarA_pos	dinB//pheS//bacA//pgaD//fucK//chbG//glcE//glpB//gltB//ddlB//bioC//glxR//rsmH//gabT//fucK//cyoE//umuD//sodA//entA//glcD//garL//caiB//
MarR_neg	
MatA_neg	hmp//
MatA_pos	
MazE-MazF_neg	fadH//
MazE_neg	purM//
McbR_neg	
McbR_pos	
MelR_neg	dmsA//rbsK//
MelR_pos	leuA//frdB//
MetJ_neg	cysM//glgC//pgk//dapB//alkB//murQ//ttdA//alkB//cysN//xylB//
MetR_neg	bioA//
MetR_pos	mnmG//frdA//citF//melA//
MhpR_pos	wzc//metH//ttdA//rutB//cdd//melA//
Mlc_neg	phnO//fadI//arsC//mhpC//
MlrA_pos	lysA//
MngR_neg	argH//lsrG//
MntR_neg	cysN//
MntR_pos	ruvA//
ModE_neg	rnpB//serA//ybjG//astD//puuA//waaH//metE//dgkA//
ModE_pos	glgB//puuC//fabA//fes//uxuA//paaJ//
MprA_neg	alaC//entF//hycD//
MqsA_neg	gabD//purN//
MraZ_neg	nrfD//nrdE//alaC//fadJ//malY//sucD//metA//pck//trpC//lpd//hyaC//
MtlR_neg	pgm//pykF//edd//
MurR_neg	bioF//xylA//glpK//
MurR_pos	
Nac_neg	bioF//phnJ//accA//
Nac_pos	lpxA//napC//lpxC//codA//napA//nrfD//ftsI//
NadR_neg	gor//murG//ndh//glgA//
NagC_neg	gntK//aceE//caiA//accC//hycE//araD//frdB//betB//tauD//pncB//relA//moeA//ycjG//bacA//argD//aroF//gabT//atoD//
NagC_pos	caiC//ybaS//
NanR_neg	mazG//cysI//ascB//murG//pgaC//ahpF//
NanR_pos	
NarL_neg	galE//fadJ//metL//patA//glpQ//argE//tktB//puuC//tdcE//phnO//citG//hyaA//galT//astE//patD//cysD//bglB//nrfD//citE//puuB//gdhA//prpE//argG//alaC//
NarL_pos	malP//icd//dmsB//ybaS//paaJ//fabA//serA//purN//sgbE//rutC//ascB//puuA//entD//
NarP_neg	glcF//umpH//astC//
NarP_pos	tadA//hcaF//fabD//gpmM//garR//tdcG//trpC//ddlB//tauD//araA//
NemR_neg	glcF//asnB//
NhaR_pos	aceB//dkgB//hypB//truB//fadI//
NikR_neg	murE//
NimR_neg	rsmH//
NorR_neg	
NorR_pos	mhpC//
NrdR_neg	hcaB//ubiA//betA//dmsC//
NsrR_neg	phr//mnmG//wecC//ftsI//nagA//ybaS//nrfC//uvrB//citE//bioB//sodA//frc//accB//cysH//tdcE//garD//astA//allA//caiB//aspA//galT//bglB//kbaY//sdhD//purC//betA//mazG//pykF//entA//gcvP//tdcE//lldD//pflB//pheS//guaB//bioB//
NtrC_neg	sodB//luxS//
NtrC_pos	poxB//hyi//atoD//umuC//fau//gltD//glnA//sucC//ruvB//hcaC//gutQ//sdhA//uxaB//astB//umuD//nadA//waaH//phnI//lacA//entF//amn//
OmpR_neg	fadB//citG//glmU//ybaS//rhaB//
OmpR_pos	nanK//allC//truB//cueO//
OxyR_neg	purC//phnG//hcaE//luxS//add//
OxyR_pos	lsrK//phr//katG//yeaG//rffM//fabD//pgaB//pgaC//yeaE//
PaaX_neg	dmsB//lldD//betA//cysC//ynfH//srlD//purE//mhpC//trpA//
PdeL_pos	tauD//
PdhR_neg	mhpA//galK//lysA//moeA//betB//aceE//ybjG//rffG//galE//cynS//gadB//hemH//gor//ftsI//leuA//yqhD//ruvA//narH//dgkA//ugpQ//mltF//tynA//purL//wzc//
PdhR_pos	glxK//trpD//
PepA_neg	alsE//murQ//
PgrR_neg	mhpA//tyrB//
PhoB_neg	umuD//prpE//gcvH//cdd//
PhoB_pos	phnL//uxaC//ilvC//aroF//prpD//speB//frdD//rpiB//hemL//gatD//alsE//glcB//pyrD//fumB//aceB//metL//
PhoP_neg	lyxK//galK//fucO//
PhoP_pos	malZ//lacA//mhpC//ychF//rutD//sodB//serA//araD//cdd//pgi//nfsA//paaK//rbsK//phnJ//fabD//fucO//narH//dkgB//arsC//citG//moeB//tadA//allC//nadB//amn//rhaB//arsC//chbG//aroL//hcaC//katE//entC//
PrpR_neg	
PrpR_pos	rutB//pfkA//entC//speB//
PspF_neg	
PspF_pos	rpiB//
PurR_neg	trpE//pgaD//cysM//mhpF//accC//ldtD//glgA//glcF//cysE//accA//malY//puuB//glpB//xapA//napC//murQ//yfdE//polA//lysA//chbF//yibQ//ftnA//rutB//paaC//hyi//hemH//
PutA_neg	ldtC//mtlD//
PuuR_neg	aldA//asnA//leuB//frdC//cysG//leuD//
QseB_pos	
RbsR_neg	katE//ppsA//gcvT//glcD//prpE//
RbsR_pos	ubiX//
RcdA_neg	
RcdA_pos	ybjG//
RclR_pos	
RcnR_neg	edd//
RcsAB_neg	gadB//
RcsAB_pos	ttdB//paaF//
RcsB-BglJ_pos	eda//ftsI//
RcsB_neg	sodB//
RcsB_pos	fabG//fabD//fabG//
RelB-RelE_neg	ycjG//
RelB_neg	rutA//
RhaR_pos	
RhaS_pos	paaJ//melA//puuE//deoC//
Rob_neg	
Rob_pos	tauD//nrdA//yfdE//torA//glgC//cysC//ubiC//add//waaY//murD//rimK//tdcE//fdhF//nrdE//hyaC//cynS//dgkA//rffC//purF//
RstA_neg	nrdE//napA//
RstA_pos	puuA//
RtcR_pos	paaF//atoD//
RutR_neg	malP//gdhA//pykF//gnd//fucO//relA//rutB//lsrG//moeA//caiC//
RutR_pos	ung//
SdiA_neg	
SdiA_pos	
SgrR_neg	accA//
SgrR_pos	torA//citG//
SlyA_pos	
SoxR_neg	
SoxR_pos	entB//
SoxS_neg	
SoxS_pos	guaA//epd//fau//fabD//purH//treC//pnp//ftsI//caiB//uvrA//trpC//sgbH//pflB//hycG//murI//paaB//moaA//rpiB//relA//ppsA//glgB//rdoA//fucO//pdeH//mltF//tdcB//
StpA_neg	aspC//polA//kbaZ//
SutR_neg	fadM//pflB//
SutR_pos	
TdcA_pos	paaY//yfbR//sgbE//ulaG//mdh//
TdcR_pos	mltF//sdhC//purM//pgi//fabZ//
TorR_neg	fumB//
TorR_pos	icd//mngB//mhpE//
TreR_neg	deoD//hemL//
TrpR_neg	pgm//dapB//cyoE//allC//treC//prpC//paaF//nrfC//phr//
TyrR_neg	murC//purH//rpiB//epd//ulaG//mhpE//ppiA//
TyrR_pos	pncB//entH//glpQ//
UhpA_pos	amn//
UidR_neg	fau//metH//
UlaR_neg	luxS//pgaB//rutC//fabB//hycG//
UvrY_pos	moeA//bioD//
UxuR_neg	folA//epd//ugpQ//aspC//wecB//
XapR_pos	murC//fucA//
XylR_neg	
XylR_pos	frc//frdB//waaZ//
YdeO_neg	
YdeO_pos	bioA//paaK//paaZ//
YedW_neg	puuA//citD//
YedW_pos	ddlB//
YefM-YoeB_neg	moeA//
YefM_neg	argE//
YehT_pos	
YeiL_pos	
YiaJ_neg	gapA//hemL//paaK//galK//astE//purK//
YjjQ_neg	dkgA//
YpdB_pos	
YqhC_pos	ribA//fabZ//
YqjI_neg	purN//
ZntR_pos	rnpB//
ZraR_pos	
Zur_neg	lpxD//
