# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	glpQ//cynT//
NtrC_pos	fes//pgaD//recF//idnO//alsE//sucB//hycF//ldtC//umuC//dgkA//mhpC//citF//allD//rnpB//sgbE//fadI//paaH//gatD//cysK//fumB//eno//
OmpR_neg	rpiB//ttdA//garR//glpC//gnd//
OmpR_pos	waaY//purD//mdh//glpC//
OxyR_neg	torA//aspC//napG//paaA//aldA//
OxyR_pos	aspA//hycD//cueO//ppiA//uvrA//rfe//luxS//tdcB//prpE//
PaaX_neg	murC//uvrB//glgP//tauD//wecB//glk//frdA//cdd//deoA//
PdeL_pos	paaB//
PdhR_neg	dhaM//accC//aroL//malY//umpH//torC//frdC//araD//rutA//gudD//treC//xylA//rffT//sgbE//gcvH//ndh//fumB//xylB//uxuB//melA//glpX//prpD//gcvH//glpQ//
PdhR_pos	moeB//deoD//
PepA_neg	rimK//alaS//
PgrR_neg	gabD//pheT//
PhoB_neg	eda//glnA//thrS//udp//
PhoB_pos	nrfB//fucU//nanK//fau//gcl//pgk//rutD//hyi//leuB//trpD//fes//ubiA//purL//rutC//fucO//waaZ//
PhoP_neg	fabA//murC//leuC//
PhoP_pos	accC//zwf//paaA//mpl//phnJ//murG//waaH//psd//carA//recF//guaA//rutB//bioC//hcaC//mpl//dmsC//hcaC//treC//leuA//glxK//sucC//ribA//patA//dhaK//araA//lsrG//accA//fucK//metF//eno//sodB//hcaF//
PrpR_neg	
PrpR_pos	araB//purF//argC//ybjG//
PspF_neg	
PspF_pos	tauD//
PurR_neg	phnP//caiC//wecC//phnN//umuC//nrdF//araA//cysE//ttdA//bglB//tam//nadB//puuD//cueO//napC//aroG//glgC//gabD//astA//tyrB//sucC//argI//puuC//glpA//tyrA//pnp//
PutA_neg	glgB//adhE//
PuuR_neg	katG//ttdA//paaJ//purN//ruvA//nirB//
QseB_pos	
RbsR_neg	aroH//lacA//pgaC//entA//aceA//
RbsR_pos	alaC//
RcdA_neg	
RcdA_pos	idnD//
RclR_pos	
RcnR_neg	idnD//
RcsAB_neg	dkgB//
RcsAB_pos	mpaA//accD//
RcsB-BglJ_pos	gntK//pgi//
RcsB_neg	cysG//
RcsB_pos	pheS//purC//nanE//
RelB-RelE_neg	purC//
RelB_neg	rffH//
RhaR_pos	
RhaS_pos	ahpF//rhaA//ynfH//cynT//
Rob_neg	
Rob_pos	ppc//cysM//truB//metC//astE//ftnA//rhaD//gapA//pgaB//frdB//melA//hemL//dhaM//nrdA//eda//narG//dhaM//betB//melA//
RstA_neg	tnaA//leuD//
RstA_pos	psd//
RtcR_pos	aceE//aspC//
RutR_neg	guaA//paaC//tdcD//ynfE//entC//asnA//nrdF//entF//malP//guaB//
RutR_pos	sgbE//
SdiA_neg	
SdiA_pos	
SgrR_neg	epd//
SgrR_pos	moaD//fadH//
SlyA_pos	
SoxR_neg	
SoxR_pos	lpxC//
SoxS_neg	
SoxS_pos	metF//murE//moeB//ubiC//mhpC//melA//fbaB//citD//rhaA//treC//tyrA//ppc//glcD//accD//ahpC//ttdB//moaA//ychF//hemH//araA//nagA//argA//sdhC//polB//cueO//rutC//
StpA_neg	slt//mltF//fes//
SutR_neg	melA//gcvP//
SutR_pos	
TdcA_pos	sucB//gcvH//alkA//napA//phnM//
TdcR_pos	araD//citD//citD//gutQ//metF//
TorR_neg	pheS//
TorR_pos	aroH//fruK//alaS//
TreR_neg	ssuE//idnK//
TrpR_neg	dhaM//oxc//pdeR//cysI//nrdF//chbF//thrS//sgbU//purL//
TyrR_neg	fabB//nrfA//argD//aroH//yfbR//iscS//frdC//
TyrR_pos	napH//argB//dgcC//
UhpA_pos	mdh//
UidR_neg	pheT//ppsA//
UlaR_neg	hycG//glpA//waaZ//glgA//pyrC//
UvrY_pos	iscS//aroH//
UxuR_neg	purE//cysM//patA//sgbH//fes//
XapR_pos	sufS//ulaG//
XylR_neg	
XylR_pos	uidA//epd//pgaD//
YdeO_neg	
YdeO_pos	glxK//dhaL//ppsA//
YedW_neg	bglB//speA//
YedW_pos	gcl//
YefM-YoeB_neg	aceE//
YefM_neg	gatZ//
YehT_pos	
YeiL_pos	
YiaJ_neg	paaJ//ttdA//malY//mhpE//mazG//pdeL//
YjjQ_neg	pflB//
YpdB_pos	
YqhC_pos	speA//moaA//
YqjI_neg	ulaG//
ZntR_pos	xylA//
ZraR_pos	
Zur_neg	glk//
