# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	garR//fumB//
MraZ_neg	hyi//mhpE//dhaK//argC//ampC//tdcB//aspC//asnB//chbG//fadE//ybjG//
MtlR_neg	aspC//phnL//fadJ//
MurR_neg	umuC//uxuA//fabI//
MurR_pos	
Nac_neg	lsrF//dkgA//guaB//
Nac_pos	trpB//hycG//mpaA//hycC//astE//katE//ldtB//
NadR_neg	ahpC//dkgA//mtlD//garR//
NagC_neg	paaG//uvrA//psd//sdhA//glyA//tyrA//torC//hcaB//lldD//gpmA//mhpC//wecB//gntK//purA//purA//fes//lpd//gabD//
NagC_pos	ynfG//yfdE//
NanR_neg	feaB//lacZ//relA//aroF//bioA//allD//
NanR_pos	
NarL_neg	rhaA//idnK//zwf//nfsA//pheS//aceF//ruvB//trpD//hypB//pykF//trpD//ogt//purH//alsE//phnJ//napC//glpX//lsrF//nrdE//purA//ssuD//fdhF//pepD//narG//
NarL_pos	gltD//nrfD//ascB//pyrC//gadB//mhpC//talA//srlD//mhpA//sucA//oxc//paaA//entF//
NarP_neg	glmS//idnO//cysE//
NarP_pos	tyrB//atoA//rutB//torC//ulaF//metK//aceB//sdhB//paaF//garR//
NemR_neg	glk//fucK//
NhaR_pos	glyA//ppiA//rutD//epd//purL//
NikR_neg	ilvC//
NimR_neg	talA//
NorR_neg	
NorR_pos	ilvC//
NrdR_neg	sucA//fadD//sdhD//lpxA//
NsrR_neg	nrfD//cdd//cysM//rutE//deoB//rutE//glgX//argG//hycG//deoD//pdeH//nrdE//hcp//napH//talA//hycB//xylA//patA//mpaA//purD//glcF//dinB//rnpB//rutA//bioA//rutE//nemA//entB//patD//edd//wecC//glpD//cadA//glcE//ulaF//pepD//
NtrC_neg	malQ//phnI//
NtrC_pos	ybjG//accC//uidA//accD//ybjG//purK//metB//uxuA//glpB//sucA//gltB//alaS//aceB//purK//hycC//sdhA//aroH//lpd//cynS//nrdA//prpD//
OmpR_neg	prs//sgbE//tdcE//nanE//gnd//
OmpR_pos	glpD//citD//uxaC//dkgA//
OxyR_neg	sucC//nrfB//melA//aceF//fucI//
OxyR_pos	pheS//fabH//patA//cueO//glgA//melA//sgbH//prpE//fadB//
PaaX_neg	lpxC//icd//gor//asnA//napC//gadA//gntK//idnO//nrfA//
PdeL_pos	trpB//
PdhR_neg	rbsK//phr//murD//tam//tyrB//gpmA//frc//metH//fadH//fadB//aroF//garD//glmU//dkgB//bioA//malQ//sdhC//metH//pgm//astA//fbaB//astC//puuD//aroL//
PdhR_pos	cysK//tynA//
PepA_neg	metE//napA//
PgrR_neg	umpH//pyrD//
PhoB_neg	hycC//trpC//ahpC//alsE//
PhoB_pos	atoB//paaH//garD//trpB//leuD//mltF//atoB//gadA//paaE//phnL//allD//lacA//fabZ//polA//entA//nemA//
PhoP_neg	murQ//metA//lysC//
PhoP_pos	nagA//pfkA//rffG//leuD//umpH//dkgB//uidA//fruK//gcvH//tyrA//puuD//sdhB//pdeH//ldtD//pgaD//lhgO//ynfG//fumC//lacA//puuC//ruvB//rbsK//yfdE//deoA//gcl//waaY//nfsB//fbaA//bioA//fadH//hyi//malZ//
PrpR_neg	
PrpR_pos	fabI//hyaA//kbaY//aspA//
PspF_neg	
PspF_pos	rnpB//
PurR_neg	aspC//atoA//bacA//malZ//dkgB//trpA//wecB//lpxC//citX//lpxA//wzc//hcp//guaA//entE//hypB//pncB//ugpQ//fucU//fumB//tpiA//nirD//glpC//lpxA//cysK//uvrB//entH//
PutA_neg	argD//patD//
PuuR_neg	leuA//tehB//metB//murF//codA//rffT//
QseB_pos	
RbsR_neg	pdeH//lsrG//purA//purL//paaF//
RbsR_pos	lsrK//
RcdA_neg	
RcdA_pos	pspE//
RclR_pos	
RcnR_neg	glpQ//
RcsAB_neg	cysK//
RcsAB_pos	paaG//folA//
RcsB-BglJ_pos	fbaB//gntK//
RcsB_neg	phnH//
RcsB_pos	sucB//cysH//purK//
RelB-RelE_neg	fabZ//
RelB_neg	bioF//
RhaR_pos	
RhaS_pos	glcF//fbaB//ychF//ynfF//
Rob_neg	
Rob_pos	fumB//sdhC//glpA//cysG//argG//ubiC//aceE//rffC//malZ//mnmG//alaC//cysE//napG//lsrG//ddlB//malZ//slt//hcaC//pdeH//
RstA_neg	paaI//lhgO//
RstA_pos	sgbH//
RtcR_pos	glcF//pspE//
RutR_neg	nadB//entC//ascB//cadA//garR//cysM//mdh//lldD//dhaM//fucU//
RutR_pos	asnA//
SdiA_neg	
SdiA_pos	
SgrR_neg	paaE//
SgrR_pos	dsdA//glcB//
SlyA_pos	
SoxR_neg	
SoxR_pos	ung//
SoxS_neg	
SoxS_pos	ndh//metH//fadH//nrdF//folE//napH//murC//trpE//xylB//mtlD//phnJ//sdhC//ldtC//eda//dkgB//rhaD//sufS//lacZ//allB//wzc//ttdA//ubiA//ruvB//pagP//trpE//ulaE//
StpA_neg	gcvH//astA//uvrA//
SutR_neg	tadA//aceE//
SutR_pos	
TdcA_pos	tdcE//kbaY//bioC//dgcC//feaB//
TdcR_pos	glcD//acnB//wrbA//mhpB//nrfA//
TorR_neg	tdcG//
TorR_pos	fabD//uxaC//glgC//
TreR_neg	nrdD//glpA//
TrpR_neg	xylA//malP//dhaK//lpxA//acnA//gcl//garD//hycB//aceA//
TyrR_neg	pgm//dgcZ//fucI//fucA//paaE//paaZ//fbaA//
TyrR_pos	napC//mltF//dapD//
UhpA_pos	allA//
UidR_neg	hypF//ynfE//
UlaR_neg	phnL//pgaB//sdhA//rdoA//hmp//
UvrY_pos	gutQ//citC//
UxuR_neg	murG//tyrB//rffM//sdhA//gpmM//
XapR_pos	alaS//entA//
XylR_neg	
XylR_pos	pykF//fbaB//gloA//
YdeO_neg	
YdeO_pos	prpD//hyaB//ybaS//
YedW_neg	dkgA//xylB//
YedW_pos	ychF//
YefM-YoeB_neg	aspC//
YefM_neg	moeA//
YehT_pos	
YeiL_pos	
YiaJ_neg	paaA//cysJ//ruvB//serA//metE//allB//
YjjQ_neg	gabT//
YpdB_pos	
YqhC_pos	rbsK//fruK//
YqjI_neg	fadB//
ZntR_pos	purK//
ZraR_pos	
Zur_neg	metK//
