# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	bioC//tynA//
Cra_pos	allA//napG//entA//citX//sdhA//hypB//sodA//hyi//glk//pykF//accC//feaB//eda//accB//sucA//tam//napC//
CreB_neg	gpmM//
CreB_pos	wzb//
CsgD_neg	pgaD//dinB//
CsgD_pos	gabT//phnL//ulaF//
CsiR_neg	argG//ldtC//ppc//fruK//
CspA_pos	rffM//
CueR_neg	atoA//allA//
CueR_pos	frc//accC//
CusR_pos	gatZ//uxaA//entC//
CynR_neg	
CynR_pos	rffM//paaZ//tdcD//
CysB_neg	dinB//nadA//sodA//
CysB_pos	ftnA//hycF//garR//murE//tdcB//tdcB//wecC//glgA//cysN//gudD//hycF//fabG//rffG//bioF//sgbE//
CytR_neg	puuA//icd//bioF//accC//pnp//pspE//acnB//caiB//pck//rsmH//
Dan_pos	ldtC//phnP//
DcuR_pos	rffT//chbF//ttdB//phnN//
DeoR_neg	sucC//lldD//lldD//fadI//aspA//lpxC//
DhaR_neg	
DhaR_pos	bacA//
DicA_neg	
DinJ-YafQ_neg	frdB//
DnaA_neg	napB//hyi//fbaA//edd//truB//
DnaA_pos	narH//cysJ//ppiA//
DpiA_neg	
DpiA_pos	ynfG//caiC//astA//zwf//fadH//
DsdC_neg	
DsdC_pos	gcvT//pspE//
EbgR_neg	
EnvR_neg	hcaF//aroG//
EnvY_pos	napA//hcaF//
EvgA_pos	astE//hycB//prpB//aspC//gudD//murD//
ExuR_neg	gdhA//yqhD//argF//fadD//yibQ//speB//
FabR_neg	ampC//cadA//
FadR_neg	sdhB//ruvA//lpxA//ilvC//glxR//lacZ//betB//cysH//puuE//
FadR_pos	bglB//gntK//entC//ulaD//mazG//prpB//gadA//aceE//glgC//
FeaR_pos	asnA//gpmM//
FhlA_pos	rutD//mhpF//cysH//fdhF//bioF//puuE//ilvC//
FlhDC_neg	pagP//ldtC//
FlhDC_pos	metL//sucC//fucI//nrdF//fadE//pgaC//entC//sdhB//fabI//
FliZ_neg	pspE//mltF//hemH//gcvH//yibQ//
FucR_pos	glpK//accB//bioC//tyrA//fbaB//lysC//
Fur_neg	tauD//dkgB//aroH//garR//citC//fucI//murI//ahpC//argF//frdD//purK//icd//pdeH//citX//rfe//fucK//speA//paaK//ldtB//napA//acnB//ychF//rffT//rpiB//deoC//tadA//ulaE//lhgO//aspC//yeaE//leuD//hyaC//add//gatZ//gloA//idnO//alsE//tpiA//metH//aspA//ppiA//paaY//dmsC//aldA//nrdE//argA//purH//poxB//astD//ssuD//rfe//nrdE//paaF//ubiC//
Fur_pos	pgaC//eda//lysA//cysE//sodA//galK//aspC//xylB//glxK//glpQ//glmU//garL//argH//trpC//deoD//ogt//arsC//
GadE-RcsB_pos	pgaD//glcD//mraY//hmp//
GadE_pos	nrdB//caiB//mdh//lpxC//alsE//citC//recF//rffC//phnG//waaH//
GadW_neg	cysC//patA//dmsB//
GadW_pos	frdD//yfdE//fadD//bioD//
GadX_neg	aceB//gudD//
GadX_pos	gudD//paaG//ssuD//nadB//glmS//dmsB//tadA//paaC//purA//hypF//
GalR_neg	garR//kbaY//lysA//entE//murE//nagB//
GalR_pos	xapA//glpX//dhaL//araA//
GalS_neg	idnK//argD//hycE//cysE//ynfF//gpmM//
GalS_pos	cdd//tktB//deoD//pyrD//
GatR_neg	glcD//purE//umuC//
GcvA_neg	pheS//glk//gapA//
GcvA_pos	tdcG//astB//pheT//
GlcC_neg	
GlcC_pos	tehB//rfe//cysN//
GlpR_neg	puuD//ynfH//ssuE//bioA//hmp//glgP//argC//
GlrR_pos	
GntR_neg	ftnA//araB//cysI//murC//citG//hycF//paaI//frc//dmsB//
GutM_pos	metH//rhaD//iscS//
GutR_neg	glk//accA//glpC//
HU_neg	kbaY//entF//fruK//metA//adhE//glpD//rutE//
HU_pos	
HcaR_neg	
HcaR_pos	wrbA//gpmM//
HdfR_neg	
HdfR_pos	
HigA_neg	galM//
HigB-HigA_neg	edd//
HipAB_neg	glgX//pdeL//
HipB_neg	paaE//narG//guaB//
HyfR_pos	wecB//
HypT_neg	deoB//hycF//
HypT_pos	sgbU//rutE//bglB//ddlB//ruvB//
IclR_neg	rffC//sdhA//yfbR//
IdnR_neg	astD//cysN//
IdnR_pos	ssuD//rhaA//rutB//iscS//
IlvY_neg	
IlvY_pos	sdhC//
IscR_neg	glcE//gcvT//hycE//gcvH//
IscR_pos	umpH//glpD//
KdgR_neg	hypB//argB//
KdpE_pos	wzb//
LacI_neg	entH//cysM//dgcZ//
LeuO_neg	
LeuO_pos	hycC//recF//cynS//paaA//leuD//nrdF//
LexA_neg	fdhF//talA//ddlB//cysJ//murF//murI//eda//argI//speA//tadA//malS//bioA//talA//trpB//metH//mhpD//mltF//epd//guaB//glcF//bioB//
LldR_neg	dkgB//appA//
LldR_pos	ruvB//atoD//
LrhA_neg	
LrhA_pos	
LsrR_neg	gapA//yibQ//torA//ruvB//purC//
LysR_neg	
LysR_pos	glgP//
MalI_neg	prpB//speA//
MalT_pos	rbsD//araA//feaB//citG//uxaB//add//
MarA_neg	wzc//
MarA_pos	araA//ppiA//gpmM//ubiA//epd//yeaE//rnpB//bglB//cysC//deoB//fabA//purK//idnO//frc//entC//leuA//fes//nrfC//hyi//allD//araD//hcp//
MarR_neg	
MatA_neg	fadE//
MatA_pos	
MazE-MazF_neg	entF//
MazE_neg	uxaA//
McbR_neg	
McbR_pos	
MelR_neg	nrfA//gcvP//
MelR_pos	trpE//uvrB//
MetJ_neg	gadB//mnmG//purE//gapA//uvrA//dkgA//dacC//puuB//galM//tnaA//
MetR_neg	ssuE//
MetR_pos	fadH//zwf//dhaM//torC//
MhpR_pos	recF//aceE//fadH//nrdF//murI//fadJ//
Mlc_neg	gadB//purB//fadI//gudD//
MlrA_pos	guaB//
MngR_neg	tnaA//sodB//
MntR_neg	murD//
MntR_pos	torC//
ModE_neg	fucA//ubiX//sucB//gnd//citF//purD//ulaD//paaC//
ModE_pos	rhaA//nrfD//purL//leuB//uxaB//rutE//
MprA_neg	yqhD//pyrC//metL//
MqsA_neg	cysJ//paaF//
MraZ_neg	pgm//bioA//tyrB//sdhA//nirD//yqjH//cysK//epd//cysI//gor//waaZ//
MtlR_neg	paaB//purA//gadB//
MurR_neg	ssuE//torC//trpB//
MurR_pos	
Nac_neg	lsrG//garL//thrS//
Nac_pos	hyaC//paaI//uvrB//napC//tauD//ahpF//mazG//
NadR_neg	murE//dmsA//puuE//lysA//
NagC_neg	purA//gdhA//frdD//glpK//rffH//glxK//trpD//xapA//glpX//murE//fumB//phnG//mhpF//phnL//wecC//amn//moeA//cysK//
NagC_pos	ybaS//aceA//
NanR_neg	argF//dsdA//purC//aldA//citG//ddlB//
NanR_pos	
NarL_neg	guaB//kbaY//fabG//atoB//mhpA//rdoA//fabG//metC//truB//nirB//phnN//uidA//ynfF//tadA//accB//fbaA//tyrA//leuA//paaE//iscS//rutD//atoA//deoC//uvrC//
NarL_pos	ulaE//yeaE//araA//paaH//pgaB//malP//ldtC//pgaC//lacZ//paaK//metF//ychF//glk//
NarP_neg	bioA//hycC//nrdA//
NarP_pos	paaE//gnd//fabA//tktB//nrfA//fabI//araD//nirB//glpK//lsrG//
NemR_neg	cysE//fdhF//
NhaR_pos	ubiA//purE//purE//narI//glpB//
NikR_neg	metF//
NimR_neg	nadB//
NorR_neg	
NorR_pos	tnaA//
NrdR_neg	citC//mazG//patD//glcB//
NsrR_neg	alkB//nrfB//yeaG//entD//tdcG//hcaE//putA//dmsC//aspC//edd//guaB//cysJ//lsrF//glmU//oxc//gdhA//waaY//sucB//fbaB//ynfF//pdeH//rbsK//allE//epd//ubiX//phoA//gltB//aspA//fumC//wzc//cynS//ulaD//trpA//entE//ruvB//fadH//
NtrC_neg	murC//mpl//
NtrC_pos	ychF//paaF//pnp//tktB//glgP//nadA//umuD//paaZ//atoB//mraY//paaI//adhE//lysC//garK//purH//rffT//fabD//astA//mdh//recF//hyaC//
OmpR_neg	putA//leuA//tnaA//moeA//mhpB//
OmpR_pos	aldA//ybjG//glmS//gudD//
OxyR_neg	pgaB//citC//arsC//betB//ynfG//
OxyR_pos	allE//pdeL//pgaD//carA//psd//dgcC//atoB//cysD//purN//
PaaX_neg	paaY//wzb//trpD//adhE//sucA//fabG//yibQ//araB//lysC//
PdeL_pos	murE//
PdhR_neg	astB//aroG//mdh//hycD//katE//nanM//pspE//fadJ//rffH//phnI//srlD//rffH//leuD//rffT//cysC//caiA//allA//hyaB//glk//asnB//rfe//glgX//citF//nrfB//
PdhR_pos	tyrB//rfe//
PepA_neg	luxS//ulaF//
PgrR_neg	gabD//araD//
PhoB_neg	mhpA//gcl//speA//dmsB//
PhoB_pos	lacA//ung//dmsA//dgcZ//asnA//mraY//metL//moeB//ahpF//aroH//moeB//wzc//nrfC//fadD//allA//alkB//
PhoP_neg	idnK//purA//gapA//
PhoP_pos	uidA//dkgB//hypF//trpD//bioF//rimK//fruK//glmU//fadJ//mtlD//pdeL//fabB//melA//aspA//cadA//alkB//ftsI//gadA//ynfH//uvrC//ppiA//ndh//tnaA//uxaC//feaB//nrfC//rdoA//prpE//frc//hcaF//ybaS//polB//
PrpR_neg	
PrpR_pos	pagP//garR//paaB//cysJ//
PspF_neg	
PspF_pos	bioC//
PurR_neg	glpD//umuD//allE//phoA//rffH//hycE//hycF//gcvT//frc//dmsA//idnD//aroL//pgaC//paaC//gcvP//uvrB//cueO//ugpQ//pagP//sgbU//purB//purL//psd//dsdA//puuB//entE//
PutA_neg	deoB//ppiA//
PuuR_neg	polA//lsrF//hcp//yeaE//rutE//lysC//
QseB_pos	
RbsR_neg	lldD//sdhB//ubiA//uidA//luxS//
RbsR_pos	yibQ//
RcdA_neg	
RcdA_pos	gdhA//
RclR_pos	
RcnR_neg	mhpA//
RcsAB_neg	phr//
RcsAB_pos	moaD//yfbR//
RcsB-BglJ_pos	fadI//gltB//
RcsB_neg	murG//
RcsB_pos	fadE//murC//acnA//
RelB-RelE_neg	serA//
RelB_neg	dmsB//
RhaR_pos	
RhaS_pos	melA//phnM//hmp//wzb//
Rob_neg	
Rob_pos	dmsC//entC//gapA//eno//moaA//citE//metB//astC//uxuA//paaC//gatD//moeB//gabT//glcF//ychF//argG//lacA//wzb//ribA//
RstA_neg	ttdA//dkgB//
RstA_pos	ulaE//
RtcR_pos	tpiA//nrdE//
RutR_neg	nrfD//leuD//lacA//purL//trpB//fucU//nanA//metL//dgcZ//pgk//
RutR_pos	ahpF//
SdiA_neg	
SdiA_pos	
SgrR_neg	sgbU//
SgrR_pos	cysG//patA//
SlyA_pos	
SoxR_neg	
SoxR_pos	pheT//
SoxS_neg	
SoxS_pos	sdhB//luxS//fadM//citG//puuC//uxaC//glpD//argA//ubiA//argB//dhaL//feaB//entC//nagB//cyoE//purN//ndh//ddlB//sufS//paaH//fabA//hypF//glnA//caiC//narH//putA//
StpA_neg	uxaB//araA//frdB//
SutR_neg	uxuA//zwf//
SutR_pos	
TdcA_pos	napB//aspA//accD//gpmM//araB//
TdcR_pos	cysG//fumC//phnM//ascB//rutA//
TorR_neg	guaB//
TorR_pos	hcaD//glpK//rhaD//
TreR_neg	caiC//poxB//
TrpR_neg	deoB//hcaF//paaH//puuC//fumB//phnG//serA//argF//wecC//
TyrR_neg	hemH//dmsB//yfbR//murI//astE//aldA//ahpF//
TyrR_pos	wecB//argF//fruK//
UhpA_pos	ubiX//
UidR_neg	dapB//tdcB//
UlaR_neg	pck//moeB//nfsA//rimK//uidA//
UvrY_pos	gor//truB//
UxuR_neg	lacZ//fucI//dgcZ//waaH//ribA//
XapR_pos	sodA//dinB//
XylR_neg	
XylR_pos	rhaB//ilvC//puuD//
YdeO_neg	
YdeO_pos	sucC//trpD//fabZ//
YedW_neg	kbaY//hcp//
YedW_pos	caiD//
YefM-YoeB_neg	melA//
YefM_neg	glpB//
YehT_pos	
YeiL_pos	
YiaJ_neg	gor//fabH//cysK//uxuA//gatY//arsC//
YjjQ_neg	allE//
YpdB_pos	
YqhC_pos	bacA//purE//
YqjI_neg	fadD//
ZntR_pos	aroL//
ZraR_pos	
Zur_neg	mpaA//
