# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	speA//uvrB//
DpiA_pos	leuC//frdA//ldtD//puuE//xylB//
DsdC_neg	
DsdC_pos	murF//galM//
EbgR_neg	
EnvR_neg	paaJ//arsC//
EnvY_pos	lacZ//sodA//
EvgA_pos	poxB//ldtC//galE//rutE//aceF//glcB//
ExuR_neg	pck//glpC//ung//fucK//galT//paaC//
FabR_neg	ldtD//puuD//
FadR_neg	arsC//sucC//cynT//tktB//cysN//nanE//gpmA//eda//moaE//
FadR_pos	malZ//pncB//purH//psd//nrdF//argE//cysD//gpmA//nemA//
FeaR_pos	cysN//gatY//
FhlA_pos	mngB//paaC//sucC//metE//add//cysK//codA//
FlhDC_neg	argI//galM//
FlhDC_pos	hyaC//leuC//ynfE//gcvP//nanE//araA//icd//astB//nrfB//
FliZ_neg	frdB//metE//phnP//narH//nanM//
FucR_pos	entB//aspC//hemH//argI//dsdA//wzc//
Fur_neg	pncB//gutQ//hypF//metE//ybjG//lpxC//entE//mhpD//argG//nrfB//mhpB//mltF//xylB//acnA//argF//phnN//aceA//ada//citG//gudD//accB//gatY//lpxA//phnI//gpmA//idnD//idnK//bioD//metL//entD//gapA//sucB//glcE//galT//hyaB//rhaB//napB//napA//moeB//purC//asnB//sucD//talA//rutE//nanK//mpl//trpD//psd//ynfH//fadA//bglB//fabB//murC//galM//
Fur_pos	truB//argB//lacZ//wrbA//asnA//nrdA//glcD//mpl//phnI//moaE//rffC//uvrB//hycF//hcaD//phnN//fucO//gcvH//
GadE-RcsB_pos	phnM//zwf//tauD//poxB//
GadE_pos	ilvC//entC//hycC//lpxA//alaC//mdh//dacC//napG//ulaE//rffC//
GadW_neg	gatZ//ldtC//fadH//
GadW_pos	phnG//metC//nrfA//rutB//
GadX_neg	citD//ppc//
GadX_pos	ugpQ//purD//poxB//uvrA//relA//citF//xapA//lsrG//nanE//phnG//
GalR_neg	rfe//asnB//pdeH//allD//gor//xylA//
GalR_pos	cynS//gcvH//rhaA//rffC//
GalS_neg	ttdA//astB//uxaC//fadM//kbaY//frdB//
GalS_pos	ulaE//trpA//glcD//paaK//
GatR_neg	fucI//yqhD//fadM//
GcvA_neg	waaY//rsmH//gcvT//
GcvA_pos	fabG//nanE//wrbA//
GlcC_neg	
GlcC_pos	mraY//araD//aroG//
GlpR_neg	tehB//phoA//astB//tam//atoD//slt//asnA//
GlrR_pos	
GntR_neg	bioD//murC//fabI//ruvB//glxK//ulaF//frdC//nrfD//slt//
GutM_pos	dhaL//acnA//gapA//
GutR_neg	lhgO//dapB//sucA//
HU_neg	bioB//purB//prpE//relA//allD//pgaD//carA//
HU_pos	
HcaR_neg	
HcaR_pos	frdC//pgk//
HdfR_neg	
HdfR_pos	
HigA_neg	cdd//
HigB-HigA_neg	kbaY//
HipAB_neg	purN//ubiC//
HipB_neg	pyrC//psd//glcF//
HyfR_pos	fucO//
HypT_neg	glmU//prpE//
HypT_pos	caiA//gltB//galE//yfbR//ulaG//
IclR_neg	argC//guaA//treC//
IdnR_neg	wecC//aceA//
IdnR_pos	uxuA//tadA//ychF//glyA//
IlvY_neg	
IlvY_pos	aldA//
IscR_neg	malS//cueO//ampC//aroH//
IscR_pos	aceF//purM//
KdgR_neg	fadA//ychF//
KdpE_pos	paaY//
LacI_neg	cynT//fadM//dapD//
LeuO_neg	
LeuO_pos	hcp//glcB//fadM//hyaA//deoA//dapB//
LexA_neg	ynfF//ynfF//metL//caiA//narI//deoB//fadH//glmU//aspA//glmS//gcvH//metL//purA//glcB//fucK//frdC//rpiB//tehB//gabT//sucB//gatD//
LldR_neg	garD//iscS//
LldR_pos	glmU//katE//
LrhA_neg	
LrhA_pos	
LsrR_neg	wzc//phnJ//oxc//prpD//rutD//
LysR_neg	
LysR_pos	ldtC//
MalI_neg	sdhD//cdd//
MalT_pos	mhpB//hemH//paaK//murI//betB//napH//
MarA_neg	idnD//
MarA_pos	edd//eda//ulaF//mnmG//kbaZ//wecC//astD//pspE//nrfC//pgk//astA//hcaF//katE//fadJ//xapA//torC//napG//allC//speA//paaI//rutA//aroG//
MarR_neg	
MatA_neg	nirB//
MatA_pos	
MazE-MazF_neg	paaE//
MazE_neg	leuD//
McbR_neg	
McbR_pos	
MelR_neg	hycF//aroG//
MelR_pos	gcvH//cysC//
MetJ_neg	carA//pspE//nrdB//bacA//malS//glpC//pgaD//leuC//gatY//wzc//
MetR_neg	idnD//
MetR_pos	entH//prs//ddlB//nemA//
MhpR_pos	tnaA//napG//malY//rfe//pdeH//mhpC//
Mlc_neg	fadA//cysC//lpxA//fadH//
MlrA_pos	pgaD//
MngR_neg	pyrC//fadE//
MntR_neg	ldtB//
MntR_pos	fadH//
ModE_neg	dapD//aspA//xapA//rffH//entB//pdeR//lacZ//phnJ//
ModE_pos	mpl//putA//tyrA//sucB//sdhD//fes//
MprA_neg	sucA//uvrA//nrfC//
MqsA_neg	entC//pheS//
MraZ_neg	rutE//fdhF//glyA//ttdA//nrdA//hycD//ulaE//katG//paaA//citC//carA//
MtlR_neg	nrfC//aroG//cysI//
MurR_neg	accC//moaE//trpB//
MurR_pos	
Nac_neg	fdhF//phnO//fau//
Nac_pos	galE//aroF//sufS//dapB//fucU//frdC//umuC//
NadR_neg	aspC//accB//nrdE//oxc//
NagC_neg	arsC//nanE//pgaD//astA//fbaA//caiD//nrfB//glgC//torA//folE//hycD//lsrG//phnJ//fucK//rdoA//nagA//appA//aceA//
NagC_pos	alaC//purE//
NanR_neg	rhaA//aceF//dacC//ycjG//rutA//chbG//
NanR_pos	
NarL_neg	uvrB//tdcG//argE//purF//citE//murC//ulaG//ssuD//argG//xylA//entD//dgcC//cysN//dhaK//poxB//cyoE//feaB//murC//galM//fadI//sdhC//murE//paaA//glpD//
NarL_pos	aceE//dhaK//hemL//argG//uxuB//leuB//chbG//fadI//argI//pyrD//cysK//uvrB//hycB//
NarP_neg	allB//accC//iscS//
NarP_pos	pgaD//trpB//paaB//lpd//argC//eno//gpmA//gntK//puuE//hemL//
NemR_neg	gor//dmsC//
NhaR_pos	napA//trpA//purE//accC//purK//
NikR_neg	caiC//
NimR_neg	guaB//
NorR_neg	
NorR_pos	epd//
NrdR_neg	gadA//galK//metB//cynT//
NsrR_neg	dapB//fes//wecB//rdoA//galT//rbsD//fbaB//lpxD//recF//puuC//tynA//phoA//ynfH//deoC//patA//fau//gltD//sdhC//pdeL//pgk//ogt//purB//ribA//paaJ//ftnA//citF//cysD//ynfE//rutE//mngB//mhpB//hmp//rbsD//leuA//ynfF//tynA//
NtrC_neg	ynfG//frdC//
NtrC_pos	frdD//lpxD//fabI//add//entD//lysC//nrfB//araA//prpE//entF//srlD//eno//betA//dkgB//nemA//epd//gatY//paaZ//sdhC//hemH//lsrF//
OmpR_neg	mhpE//sucA//sucC//lysA//amn//
OmpR_pos	dkgB//katE//leuD//metL//
OxyR_neg	ttdA//adhE//sucC//cysD//ulaF//
OxyR_pos	ada//caiB//codA//lpd//bioA//hyaA//mhpA//yfbR//puuD//
PaaX_neg	araD//argC//mhpE//murF//patA//trpA//glgP//hypF//argF//
PdeL_pos	poxB//
PdhR_neg	dgkA//glcE//paaE//argB//paaK//pfkA//gatD//pfkA//galE//lysA//tehB//sdhB//sdhC//folA//lyxK//gutQ//pagP//gabD//glxK//ada//cadA//rpiB//entF//ulaF//
PdhR_pos	nrdE//murC//
PepA_neg	garL//gpmA//
PgrR_neg	accA//cysH//
PhoB_neg	rbsD//fucU//prs//aldA//
PhoB_pos	hcaC//rutE//paaF//ddlB//ugpQ//aroL//murG//lldD//fabB//ogt//ilvC//ynfH//trpC//cadA//serA//dkgB//
PhoP_neg	asnA//nrfD//idnD//
PhoP_pos	paaJ//uvrB//sodA//ybaS//glcD//glpD//cynT//yeaG//glgX//argH//nirB//entB//waaY//lldD//rutB//purC//uxuB//alkB//dhaL//gpmA//rutE//leuD//xylA//murC//hcaB//xylB//hemH//fbaA//epd//yfbR//carA//frdC//
PrpR_neg	
PrpR_pos	ilvC//hycE//aspA//cysM//
PspF_neg	
PspF_pos	xylA//
PurR_neg	sucA//pgaC//idnD//glpQ//hcaF//ung//luxS//ugpQ//hypB//mngB//ampC//dinB//dinB//asnB//dapD//argB//frdC//patD//glxR//aroH//napC//katG//purF//chbG//garD//ubiC//
PutA_neg	pfkA//wecB//
PuuR_neg	rutB//uxaC//accA//hycD//pflB//dgkA//
QseB_pos	
RbsR_neg	fabG//glpD//rffC//wrbA//rffC//
RbsR_pos	fadH//
RcdA_neg	
RcdA_pos	tynA//
RclR_pos	
RcnR_neg	lpxC//
RcsAB_neg	hycF//
RcsAB_pos	hyaC//fucI//
RcsB-BglJ_pos	gabD//mhpC//
RcsB_neg	hyi//
RcsB_pos	glxR//ttdB//paaE//
RelB-RelE_neg	glpQ//
RelB_neg	mpaA//
RhaR_pos	
RhaS_pos	fucA//phnP//fucK//katE//
Rob_neg	
Rob_pos	cysK//wecC//bglB//umuC//argB//phnP//fucK//mnmG//tdcE//srlD//dgcC//lhgO//purH//sucC//mltF//mltF//mhpE//polB//tyrA//
RstA_neg	lldD//cysC//
RstA_pos	citF//
RtcR_pos	sdhB//fucK//
RutR_neg	uvrC//gnd//nrfB//puuA//gnd//hemH//trpD//fabZ//rpiB//yiaK//
RutR_pos	tadA//
SdiA_neg	
SdiA_pos	
SgrR_neg	cysI//
SgrR_pos	ldtB//rhaA//
SlyA_pos	
SoxR_neg	
SoxR_pos	mngB//
SoxS_neg	
SoxS_pos	nagB//adiA//acnB//murD//bioA//fumB//deoC//fucO//allC//aroG//mpl//lysA//gnd//gabD//paaA//trpD//ychF//cysJ//citX//bioD//sucB//speB//nrdB//rsmH//cysC//paaY//
StpA_neg	malS//tpiA//glpK//
SutR_neg	rffC//pgaC//
SutR_pos	
TdcA_pos	dhaM//cysN//cysN//dgcZ//tpiA//
TdcR_pos	metE//puuC//folE//mhpB//murI//
TorR_neg	yibQ//
TorR_pos	ddlB//argF//mhpA//
TreR_neg	umpH//trpE//
TrpR_neg	lacA//accA//pgaC//nfsA//nrdF//caiD//epd//nemA//allE//
TyrR_neg	hycD//tnaA//nrfB//feaB//fes//talA//bioB//
TyrR_pos	moaA//astB//bglB//
UhpA_pos	citD//
UidR_neg	ogt//argG//
UlaR_neg	glxR//frdD//truB//mtlD//glxR//
UvrY_pos	gabT//ndh//
UxuR_neg	lsrG//pykF//dmsB//narH//paaI//
XapR_pos	sgbE//cynT//
XylR_neg	
XylR_pos	pgk//talA//truB//
YdeO_neg	
YdeO_pos	cysJ//gntK//atoD//
YedW_neg	moaD//fabD//
YedW_pos	aspC//
YefM-YoeB_neg	pdeL//
YefM_neg	mhpB//
YehT_pos	
YeiL_pos	
YiaJ_neg	sdhA//metB//phnM//yibQ//appA//yfdE//
YjjQ_neg	glcF//
YpdB_pos	
YqhC_pos	asnB//wrbA//
YqjI_neg	mhpC//
ZntR_pos	hemL//
ZraR_pos	
Zur_neg	metA//
