# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	rutA//ubiA//
Cra_neg	gpmA//rhaB//sufS//tdcB//dapD//ttdA//metC//uvrB//pgaC//tadA//argG//moeA//betB//sgbH//metH//pepD//hemL//rnpB//ulaE//phnP//phnP//napG//wzb//rdoA//purH//argD//napB//gudD//gntK//nirB//uxuA//rpiB//paaE//mnmG//lsrK//xylB//idnO//napA//glxR//betA//mhpF//sodA//entH//moaA//dhaM//xapA//
Cra_pos	argA//puuE//tpiA//gapA//aceE//uxaA//citG//dhaK//dhaL//lsrG//tnaA//gadA//fabI//xapA//metH//paaF//nrfB//
CreB_neg	moaA//
CreB_pos	yfbR//
CsgD_neg	ogt//dhaL//
CsgD_pos	galM//moeA//glxK//
CsiR_neg	thrS//guaB//eno//lsrG//
CspA_pos	rimK//
CueR_neg	dacC//cueO//
CueR_pos	trpE//mazG//
CusR_pos	deoD//nagA//gloA//
CynR_neg	
CynR_pos	alsE//metL//rhaA//
CysB_neg	carB//alaS//rutC//
CysB_pos	lldD//astC//fumB//ulaF//araB//garD//glpC//wecB//mhpA//lysA//bglB//pgaC//cadA//galK//yqhD//
CytR_neg	metC//glgX//deoC//galM//hycB//lpxA//malY//uidA//glgA//nadB//
Dan_pos	cysH//citC//
DcuR_pos	malQ//nadB//fumB//dkgA//
DeoR_neg	murE//glxK//yfbR//patA//glgX//alsE//
DhaR_neg	
DhaR_pos	entC//
DicA_neg	
DinJ-YafQ_neg	lpxD//
DnaA_neg	pheS//wzc//nanM//cysJ//rutB//
DnaA_pos	pgi//gpmA//leuA//
DpiA_neg	
DpiA_pos	katG//cysE//torC//purE//moeB//
DsdC_neg	
DsdC_pos	glpC//mltF//
EbgR_neg	
EnvR_neg	thrS//nfsB//
EnvY_pos	waaZ//metC//
EvgA_pos	napH//paaZ//murI//phnJ//allD//rutC//
ExuR_neg	cysG//accC//lsrF//ybaS//puuE//cysM//
FabR_neg	citD//nfsA//
FadR_neg	dkgA//recF//trpA//glpC//cysN//wzc//iscS//gutQ//purH//
FadR_pos	idnK//gcvP//amn//frdB//ulaG//phoA//hyaA//aceE//icd//
FeaR_pos	tnaA//pgm//
FhlA_pos	pgk//glgA//lacZ//astA//gudD//nanM//ynfF//
FlhDC_neg	umpH//paaG//
FlhDC_pos	gudD//puuA//fadM//ulaG//allD//ulaG//serA//yiaK//lhgO//
FliZ_neg	hcaC//putA//narG//speA//ulaE//
FucR_pos	hyaC//deoA//iscS//lpd//uxuA//purB//
Fur_neg	prpE//gcl//fruK//lacA//bioA//cysN//astC//argD//aroF//asnB//entH//ssuD//argI//katE//rutC//fucA//ssuD//lhgO//astE//napC//pheT//gpmA//gpmM//umuC//deoA//uvrC//dgkA//lsrK//lpd//tpiA//iscS//yeaG//gltB//cynS//xylA//malP//icd//nagB//uvrB//waaZ//fruK//sdhC//ttdB//betB//carA//metE//kbaY//srlD//ynfH//argB//nadB//rutA//fabI//yeaG//
Fur_pos	metE//cdd//patA//ybjG//phnG//gudD//cynS//ndh//glgP//gdhA//napG//argA//lacA//ruvA//rdoA//xylB//atoA//
GadE-RcsB_pos	xapA//bioC//tadA//atoD//
GadE_pos	tpiA//gcvT//udp//dmsA//allD//fbaA//glpC//metH//fumC//allE//
GadW_neg	rutC//uxaC//aroL//
GadW_pos	lsrF//polA//fadA//deoB//
GadX_neg	ascB//torC//
GadX_pos	wzc//torC//tam//xylA//nagA//entH//frdD//hemH//glgP//hemH//
GalR_neg	araD//rbsK//fadA//ychF//rffC//rnpB//
GalR_pos	murI//adhE//murG//pheT//
GalS_neg	cysJ//malQ//mtlD//caiD//bioC//ahpC//
GalS_pos	folE//nrfD//glgC//galE//
GatR_neg	amn//nrdF//fruK//
GcvA_neg	murG//ulaE//astE//
GcvA_pos	purN//gapA//nrfD//
GlcC_neg	
GlcC_pos	hypF//bioD//glmU//
GlpR_neg	fadM//hyi//guaB//fucU//torA//ppsA//sodB//
GlrR_pos	
GntR_neg	hycB//trpB//yfdE//mhpE//purE//ruvA//purB//gltB//cysD//
GutM_pos	sodA//glcF//glcD//
GutR_neg	entF//ubiX//leuB//
HU_neg	tnaA//glcD//nrdB//nrdB//idnD//bioC//sucA//
HU_pos	
HcaR_neg	
HcaR_pos	purM//mhpF//
HdfR_neg	
HdfR_pos	
HigA_neg	atoA//
HigB-HigA_neg	puuA//
HipAB_neg	pdeL//paaG//
HipB_neg	glmU//folA//sgbE//
HyfR_pos	pgk//
HypT_neg	ubiA//sufS//
HypT_pos	argC//rsmH//putA//bioC//rffG//
IclR_neg	astD//purB//glpA//
IdnR_neg	araD//acnA//
IdnR_pos	pdeR//aceB//dmsC//pgm//
IlvY_neg	
IlvY_pos	chbF//
IscR_neg	aroF//araB//gabT//rutB//
IscR_pos	napB//uvrC//
KdgR_neg	rfe//codA//
KdpE_pos	dhaM//
LacI_neg	nrdF//cysE//gatZ//
LeuO_neg	
LeuO_pos	asnB//fdhF//entD//malY//rffG//rhaA//
LexA_neg	gatY//nirD//nfsA//ssuE//nrfA//paaC//epd//aspA//sucB//yfbR//sucD//ldtB//rffG//hcaD//purE//mhpD//nrdE//aceB//purL//hyaB//lhgO//
LldR_neg	astB//gabT//
LldR_pos	gltD//gadA//
LrhA_neg	
LrhA_pos	
LsrR_neg	allD//folE//deoA//dsdA//nagB//
LysR_neg	
LysR_pos	gatZ//
MalI_neg	trpD//ubiA//
MalT_pos	gloA//chbG//sucB//phoA//leuD//mpaA//
MarA_neg	argC//
MarA_pos	zwf//frc//fabH//glcD//serA//aroL//garD//argE//caiD//dhaM//prpB//wecC//patD//udp//purF//dgkA//cysK//srlD//mraY//fucI//cysK//glgB//
MarR_neg	
MatA_neg	gatD//
MatA_pos	
MazE-MazF_neg	mpaA//
MazE_neg	ugpQ//
McbR_neg	
McbR_pos	
MelR_neg	sgbU//glcF//
MelR_pos	serA//glcF//
MetJ_neg	betA//umuC//gabD//yqjH//accA//fadE//waaZ//umuC//glmU//glmS//
MetR_neg	fadM//
MetR_pos	fadJ//accA//hycC//asnB//
MhpR_pos	aroG//deoB//rutE//rutE//deoC//paaI//
Mlc_neg	nrfD//psd//rbsD//hmp//
MlrA_pos	pnp//
MngR_neg	add//uvrA//
MntR_neg	tdcE//
MntR_pos	fadI//
ModE_neg	frdB//ssuE//nrfC//eda//yeaE//accA//nrdB//metH//
ModE_pos	rffT//cysH//bglB//nadA//murC//frdC//
MprA_neg	sgbU//ssuD//frdA//
MqsA_neg	mtlD//leuD//
MraZ_neg	fucI//accC//pepD//glxR//glgA//metE//pncB//pflB//folE//pgaD//cysD//
MtlR_neg	paaJ//glmU//fadM//
MurR_neg	hycC//mhpB//cysE//
MurR_pos	
Nac_neg	sdhB//galK//lpxC//
Nac_pos	gatD//prpB//fes//caiA//puuE//hcaC//waaH//
NadR_neg	hcaB//wzb//gpmM//nirD//
NagC_neg	fadE//ftnA//fabG//glxK//nadA//fadE//hycC//accC//phnO//arsC//rbsD//cysJ//sucA//dapD//allA//murF//malZ//melA//
NagC_pos	glcF//aceB//
NanR_neg	dkgB//arsC//aceF//glpX//eno//xylB//
NanR_pos	
NarL_neg	epd//pnp//lsrF//cysN//glxR//nanM//cysN//gatD//glpC//lysA//paaI//talA//fucU//nanA//wrbA//gnd//uxuA//entE//uidA//malQ//aroG//pgi//araD//allB//
NarL_pos	rffM//mhpF//nfsB//entF//phnI//hyaC//hyaA//gpmM//gcvT//murC//cysE//talA//glk//
NarP_neg	allA//pdeH//dmsB//
NarP_pos	lldD//gcvP//dgkA//hcaE//ldtB//fadB//yibQ//paaZ//mhpE//feaB//
NemR_neg	guaB//purH//
NhaR_pos	argF//uidA//prpE//trpB//argI//
NikR_neg	ddlB//
NimR_neg	entD//
NorR_neg	
NorR_pos	mhpD//
NrdR_neg	cadA//entH//ftnA//betA//
NsrR_neg	tehB//paaG//fau//ychF//gatD//tyrA//pgaB//xapA//argE//pagP//tpiA//uxaA//ssuE//gnd//paaF//glgB//paaB//aroH//ldtB//rutC//hyaB//argF//leuC//trpE//yibQ//accA//aroL//ampC//accC//sgbU//pheT//gltB//sodA//puuA//purE//speB//
NtrC_neg	acnA//udp//
NtrC_pos	puuA//psd//frc//gcvH//bacA//moeA//hypB//tynA//asnA//paaH//alaS//ddlB//mhpC//mhpF//nrfD//ahpF//argD//lacA//fabG//fucU//hyaB//
OmpR_neg	nfsA//argD//ubiA//tdcG//paaF//
OmpR_pos	ynfG//rdoA//paaB//glk//
OxyR_neg	gcvT//fabG//pgk//rutD//gor//
OxyR_pos	psd//prpE//gadB//glmU//ldtD//cysC//entD//paaK//mpl//
PaaX_neg	atoA//sgbH//edd//cysE//xylB//gltB//bioF//rdoA//cadA//
PdeL_pos	citX//
PdhR_neg	garL//betB//pdeL//argF//glpQ//ssuE//phnN//nrdB//entE//moaD//ynfF//puuE//fabD//murE//paaK//bglB//glpD//add//pgaB//uidA//gloA//yqjH//trpA//gltD//
PdhR_pos	mpl//purC//
PepA_neg	murE//sgbH//
PgrR_neg	pflB//aceB//
PhoB_neg	cysH//iscS//glgA//glpB//
PhoB_pos	patA//sgbU//bacA//folA//citC//katE//wrbA//phnM//entF//entC//lpd//lsrK//tktB//nanA//wzc//polA//
PhoP_neg	malP//recF//mhpA//
PhoP_pos	dmsA//alaC//napA//gadB//moaA//glpQ//rffH//fabH//dkgB//nanK//hypB//pgi//garL//astE//argF//atoA//glmU//sdhC//glpC//araB//prpE//purA//murD//glxR//ldtC//paaZ//ilvC//lsrG//tyrA//purF//entH//argA//
PrpR_neg	
PrpR_pos	treC//hcaB//rfe//frdC//
PspF_neg	
PspF_pos	dgcZ//
PurR_neg	glcB//deoD//uxuA//phnH//cysD//recF//fadM//alaC//nrfB//ugpQ//dmsC//rfe//cysD//tdcG//ychF//hyi//rffH//bioC//ahpC//phoA//torC//astB//glpD//mnmG//dhaM//nanE//
PutA_neg	malQ//trpD//
PuuR_neg	trpA//dapB//cysG//waaZ//glnA//allE//
QseB_pos	
RbsR_neg	ung//ldtB//fadE//prpD//lpxD//
RbsR_pos	nemA//
RcdA_neg	
RcdA_pos	paaY//
RclR_pos	
RcnR_neg	bglB//
RcsAB_neg	nagA//
RcsAB_pos	aceF//paaE//
RcsB-BglJ_pos	fbaA//astA//
RcsB_neg	nrfC//
RcsB_pos	fabG//nrdA//malY//
RelB-RelE_neg	ubiA//
RelB_neg	uxuB//
RhaR_pos	
RhaS_pos	phnH//paaG//pgaB//moaE//
Rob_neg	
Rob_pos	glmU//fbaB//rpiB//acnB//lpxD//fadJ//pheT//ogt//rffC//malY//lhgO//iscS//bioD//cysG//purA//tynA//hcaF//pnp//tadA//
RstA_neg	ruvA//ybaS//
RstA_pos	nrdE//
RtcR_pos	paaY//fucI//
RutR_neg	rutC//astD//mhpA//bioD//psd//gltB//murC//hyi//malQ//argA//
RutR_pos	purM//
SdiA_neg	
SdiA_pos	
SgrR_neg	rdoA//
SgrR_pos	rutD//cysE//
SlyA_pos	
SoxR_neg	
SoxR_pos	hycD//
SoxS_neg	
SoxS_pos	entD//glgC//ulaD//deoC//phnG//bioF//cyoE//tadA//chbF//mraY//argA//fadH//prpD//leuA//cadA//allE//fucO//phnH//gpmA//ppiA//gnd//nrdD//uvrA//cysE//alaS//yfdE//
StpA_neg	aspA//udp//pgaB//
SutR_neg	deoD//ftnA//
SutR_pos	
TdcA_pos	pfkA//galM//pck//rpiB//pfkA//
TdcR_pos	iscS//sgbH//sucA//wzc//phr//
TorR_neg	gadA//
TorR_pos	araA//srlD//nagA//
TreR_neg	fabG//hycC//
TrpR_neg	nrfB//pyrC//allE//malQ//pheT//phnL//cysJ//pgaB//adhE//
TyrR_neg	xylA//torA//hmp//accD//bioD//guaA//sodB//
TyrR_pos	rffH//sdhC//arsC//
UhpA_pos	hyaB//
UidR_neg	lysC//torA//
UlaR_neg	purM//ssuD//paaY//metF//araB//
UvrY_pos	srlD//mhpB//
UxuR_neg	puuE//atoD//rutE//dkgB//rffG//
XapR_pos	glyA//glyA//
XylR_neg	
XylR_pos	katE//glpC//glk//
YdeO_neg	
YdeO_pos	ubiA//metH//zwf//
YedW_neg	caiD//hemH//
YedW_pos	mngB//
YefM-YoeB_neg	moaD//
YefM_neg	tktB//
YehT_pos	
YeiL_pos	
YiaJ_neg	fbaA//xylA//fadB//prpC//gadB//codA//
YjjQ_neg	pspE//
YpdB_pos	
YqhC_pos	uxaB//gatZ//
YqjI_neg	nfsA//
ZntR_pos	glmU//
ZraR_pos	
Zur_neg	nfsB//
