# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	galK//gabT//
Cra_neg	argH//prs//glgX//mtlD//cueO//carB//xapA//gabT//metB//allC//trpE//dkgB//narH//argC//nadB//napA//putA//folA//fadD//chbF//mdh//deoB//hemL//murC//leuB//rhaB//cysD//citF//phnH//aceA//pgaB//pgaD//fadH//recF//rimK//glcD//ahpC//hypB//rffH//argG//chbF//glyA//fadM//hcaD//cysC//hypF//
Cra_pos	torC//fes//paaY//carA//moaA//zwf//guaA//yibQ//pgpC//frdB//phnG//nrfB//garL//fadH//ynfH//mhpC//pepD//
CreB_neg	cadA//
CreB_pos	phnL//
CsgD_neg	deoD//malP//
CsgD_pos	entE//ung//dacC//
CsiR_neg	cysG//hycG//bioB//lysC//
CspA_pos	paaB//
CueR_neg	napA//cysM//
CueR_pos	asnB//umpH//
CusR_pos	uxaA//glxR//glpD//
CynR_neg	
CynR_pos	fucU//eda//fabB//
CysB_neg	ung//argI//yiaK//
CysB_pos	lpxC//paaC//luxS//sdhC//ulaF//caiB//rbsD//ascB//glgP//murC//mazG//luxS//rnpB//rutD//tnaA//
CytR_neg	wecB//gdhA//tdcB//astD//dapD//aceF//fbaA//aroL//uvrB//yfbR//
Dan_pos	aceA//garL//
DcuR_pos	cysD//ulaF//ppc//nfsA//
DeoR_neg	pgk//uvrB//fumC//allE//amn//fadD//
DhaR_neg	
DhaR_pos	xylA//
DicA_neg	
DinJ-YafQ_neg	asnB//
DnaA_neg	tdcG//pdeR//pncB//nirD//sgbH//
DnaA_pos	rhaA//astC//puuC//
DpiA_neg	
DpiA_pos	leuA//kbaZ//gadB//sodA//alkB//
DsdC_neg	
DsdC_pos	cysM//pgi//
EbgR_neg	
EnvR_neg	fucI//dgcZ//
EnvY_pos	purK//hycG//
EvgA_pos	phnP//chbF//fadD//pykF//puuB//hyaA//
ExuR_neg	metF//aspC//hypF//gapA//yibQ//tadA//
FabR_neg	rnpB//puuA//
FadR_neg	purM//puuD//fabB//aroG//melA//aroF//aceA//ulaG//codA//
FadR_pos	murC//purE//narH//pgaD//rutB//katE//cysN//lysA//sodA//
FeaR_pos	napG//ampC//
FhlA_pos	aceB//waaY//atoB//lyxK//gutQ//caiC//dkgA//
FlhDC_neg	fabI//katE//
FlhDC_pos	nrdA//bioD//sodA//napG//cysC//glpD//pgaD//caiD//polA//
FliZ_neg	leuA//fadB//mdh//ldtC//glcD//
FucR_pos	speA//wzb//araD//yibQ//lsrK//astA//
Fur_neg	phnP//entH//betA//paaB//hyaA//fes//yfdE//mazG//ogt//patA//gapA//fucK//sucD//lpxA//psd//gor//nemA//phnL//gntK//gpmM//guaB//hcaC//pgaD//argD//moaE//alaS//caiA//narI//aroH//phnL//pgaD//xylA//uxuA//gnd//tynA//narG//dapD//mpaA//udp//paaI//glmS//pdeH//hyaA//ttdB//dkgA//gatD//nemA//ychF//ribA//metE//gpmA//astD//hycD//nrdE//
Fur_pos	pspE//pgaC//dkgA//argI//pnp//rutD//betA//nrdF//dacC//ulaD//nemA//ynfG//dmsA//mhpD//katG//rffM//ftsI//
GadE-RcsB_pos	purF//atoB//sodA//rutA//
GadE_pos	uxaC//aceE//aceB//phnL//iscS//uvrA//patA//purN//puuB//ppc//
GadW_neg	dgcZ//purA//uxaB//
GadW_pos	gadA//caiC//rimK//gabT//
GadX_neg	glpB//slt//
GadX_pos	gadA//polB//hcp//hcaB//purF//napA//pfkA//puuA//argF//nrfA//
GalR_neg	rhaB//pagP//glgB//eno//pyrC//nrdA//
GalR_pos	yibQ//leuB//hypB//hcaB//
GalS_neg	mhpB//frdA//nadA//pgk//gcvT//poxB//
GalS_pos	nfsA//gor//pgaC//aspC//
GatR_neg	phnH//fucA//allC//
GcvA_neg	glpK//glpB//aroH//
GcvA_pos	prpD//patD//umpH//
GlcC_neg	
GlcC_pos	aroG//nrdF//pdeH//
GlpR_neg	sucC//sgbE//murI//dhaM//sufS//putA//rffM//
GlrR_pos	
GntR_neg	pnp//mdh//dhaL//araA//alkB//hyaC//gor//pncB//sdhC//
GutM_pos	gcvP//cyoE//glmU//
GutR_neg	sodA//atoA//paaJ//
HU_neg	dapB//mhpA//uxuB//acnB//aspA//nfsA//aceF//
HU_pos	
HcaR_neg	
HcaR_pos	fumB//ttdB//
HdfR_neg	
HdfR_pos	
HigA_neg	deoC//
HigB-HigA_neg	garD//
HipAB_neg	pyrC//purA//
HipB_neg	nanA//pdeR//zwf//
HyfR_pos	paaA//
HypT_neg	sucC//hyaA//
HypT_pos	mhpE//wecB//sdhB//puuA//atoD//
IclR_neg	frdB//lsrF//carA//
IdnR_neg	gutQ//yqhD//
IdnR_pos	atoD//cysI//wzb//zwf//
IlvY_neg	
IlvY_pos	yqjH//
IscR_neg	yqhD//argG//puuE//appA//
IscR_pos	polB//lpd//
KdgR_neg	wecB//gnd//
KdpE_pos	appA//
LacI_neg	fabZ//gatY//aroH//
LeuO_neg	
LeuO_pos	atoD//glcD//pgaD//fabD//pdeR//lhgO//
LexA_neg	folE//ahpF//fucK//rutC//adhE//hcaC//garL//paaJ//fucA//cysK//ribA//rffM//dacC//melA//fumC//hyaC//rutA//hcaC//glpK//fbaB//cyoE//
LldR_neg	aroL//patA//
LldR_pos	nrdA//zwf//
LrhA_neg	
LrhA_pos	
LsrR_neg	glgX//purF//mhpC//udp//paaB//
LysR_neg	
LysR_pos	nemA//
MalI_neg	ppsA//mltF//
MalT_pos	purK//hmp//alaS//cadA//pgpC//gntK//
MarA_neg	phnI//
MarA_pos	puuC//purH//accD//fucI//murG//pgm//bioB//paaH//gutQ//waaH//waaY//icd//uxaB//uidA//phnM//idnK//fadE//garK//rhaA//phnG//nirB//caiA//
MarR_neg	
MatA_neg	metH//
MatA_pos	
MazE-MazF_neg	lysA//
MazE_neg	fabG//
McbR_neg	
McbR_pos	
MelR_neg	glmU//fadE//
MelR_pos	entD//gadA//
MetJ_neg	fucK//gpmM//trpE//lacA//trpD//hycG//hcaE//moaE//rffM//gcvT//
MetR_neg	sodA//
MetR_pos	paaY//idnD//glpQ//pgk//
MhpR_pos	galE//allA//murG//fadJ//hemH//dkgA//
Mlc_neg	folE//bioD//dhaM//uxaB//
MlrA_pos	hcaF//
MngR_neg	relA//gloA//
MntR_neg	gcvP//
MntR_pos	metK//
ModE_neg	leuC//citX//phnI//alsE//phnG//ldtB//lyxK//fabZ//
ModE_pos	cysG//dacC//patD//ulaE//bioD//phnI//
MprA_neg	rutE//aspC//pgm//
MqsA_neg	malZ//hemH//
MraZ_neg	rutD//sdhB//bioC//napH//allB//cysJ//pgi//glgC//araB//fadB//carA//
MtlR_neg	umuC//oxc//argG//
MurR_neg	deoA//dacC//aspA//
MurR_pos	
Nac_neg	ldtB//ppc//entC//
Nac_pos	lyxK//puuC//glpX//rdoA//fabG//asnB//bioB//
NadR_neg	glxK//cysK//galK//alkB//
NagC_neg	adiA//dkgB//fucK//murG//metL//dhaK//glcE//tktB//chbG//ahpC//arsC//caiC//acnA//yfdE//puuC//nrfC//citX//tpiA//
NagC_pos	mnmG//pnp//
NanR_neg	araD//ldtD//purH//ynfG//hypB//phr//
NanR_pos	
NarL_neg	cysE//argH//cysH//alsE//tauD//rbsK//codA//gapA//ppiA//xylA//aldA//bioA//hycE//ybjG//fbaB//arsC//caiD//mpaA//glcB//purM//ynfF//ulaD//mraY//citF//
NarL_pos	astC//atoB//phnJ//carA//hyi//mhpF//bglB//tauD//argG//waaZ//nrdD//hcaC//leuD//
NarP_neg	hycE//nadA//fadA//
NarP_pos	oxc//betA//thrS//rutE//prpD//trpB//uxuB//pgaD//dapB//hypB//
NemR_neg	amn//ulaG//
NhaR_pos	astD//astC//araB//pnp//cysH//
NikR_neg	napG//
NimR_neg	napB//
NorR_neg	
NorR_pos	sgbH//
NrdR_neg	luxS//gabD//rhaA//paaZ//
NsrR_neg	phnO//ulaG//nanA//glk//prpC//deoD//citD//accA//mraY//nadB//paaI//sdhB//xylB//sucC//pgk//yibQ//deoA//galT//pspE//torC//umuD//paaY//pheS//tauD//cynT//paaE//cdd//rfe//dmsC//purB//bioF//glcE//glyA//moeB//dhaM//accB//
NtrC_neg	citF//rsmH//
NtrC_pos	patD//nanM//citD//cyoE//katG//tktB//waaY//mhpC//galE//arsC//glgB//gpmA//dmsA//leuA//acnB//psd//yiaK//mhpE//rimK//rutB//fabA//
OmpR_neg	cysH//narI//sdhB//sdhC//udp//
OmpR_pos	alkB//carB//uvrB//prpD//
OxyR_neg	fabG//kbaY//nrfA//bioD//fadJ//
OxyR_pos	carA//sucB//accD//cynS//argD//paaJ//appA//folE//fucA//
PaaX_neg	katE//astE//pgaD//aldA//aspC//aroH//pflB//rffT//paaY//
PdeL_pos	dinB//
PdhR_neg	gcl//argE//yfbR//dinB//torC//accA//allC//malZ//edd//fucO//fabI//eda//rimK//ldtC//dhaL//murD//sucC//nadB//sdhB//tauD//allB//entD//mngB//cysG//
PdhR_pos	pgm//dgcZ//
PepA_neg	glgC//udp//
PgrR_neg	caiB//pgpC//
PhoB_neg	caiA//glgP//phoA//leuA//
PhoB_pos	rutD//pheT//cysN//prpD//ada//nrdA//amn//argI//nanK//sdhB//recF//truB//lpd//polA//purC//hcaE//
PhoP_neg	hycF//yqhD//accA//
PhoP_pos	idnK//torA//lsrG//katG//sodA//rdoA//fadJ//moaD//fucA//uvrC//purC//ssuE//fucU//hcaC//argG//uxaA//dgkA//dkgA//sufS//fau//treC//paaK//ada//cynT//rdoA//gcl//paaH//dgcZ//epd//fau//nanM//yqhD//
PrpR_neg	
PrpR_pos	ynfH//sodB//fucU//trpA//
PspF_neg	
PspF_pos	fucU//
PurR_neg	pgi//tadA//pykF//mltF//phnP//atoB//dmsC//uvrC//wecB//glgX//tdcB//yiaK//uvrB//nrfA//ddlB//yeaG//mnmG//lacA//purC//zwf//rutD//leuA//acnB//rbsK//aroL//garK//
PutA_neg	cdd//tdcE//
PuuR_neg	pgk//sgbU//glpX//sucC//ulaD//leuC//
QseB_pos	
RbsR_neg	melA//pspE//mpaA//speA//dsdA//
RbsR_pos	dacC//
RcdA_neg	
RcdA_pos	accD//
RclR_pos	
RcnR_neg	tpiA//
RcsAB_neg	murC//
RcsAB_pos	uvrC//fucK//
RcsB-BglJ_pos	gudD//hyaA//
RcsB_neg	dkgB//
RcsB_pos	nfsA//pgk//garK//
RelB-RelE_neg	allB//
RelB_neg	serA//
RhaR_pos	
RhaS_pos	yqhD//fucA//dmsB//atoB//
Rob_neg	
Rob_pos	murE//pheS//lsrF//ybaS//glgP//bioD//lyxK//uxaB//glpC//ruvA//hcp//codA//bacA//dmsB//fucA//glgX//argG//hyi//ftnA//
RstA_neg	torC//alaC//
RstA_pos	puuB//
RtcR_pos	fadJ//idnD//
RutR_neg	paaZ//iscS//rutA//sgbU//puuC//purF//nanK//ppc//uxuA//phnL//
RutR_pos	mltF//
SdiA_neg	
SdiA_pos	
SgrR_neg	ppiA//
SgrR_pos	frdB//napB//
SlyA_pos	
SoxR_neg	
SoxR_pos	gabD//
SoxS_neg	
SoxS_pos	purE//metF//ynfG//tktB//rhaA//allE//sufS//hcaB//argI//pgk//appA//galE//ndh//mtlD//mhpC//fumB//rutA//ascB//tktB//pepD//tynA//moeA//phnH//paaF//fadI//ssuE//
StpA_neg	pgaC//uxaA//gloA//
SutR_neg	citE//pykF//
SutR_pos	
TdcA_pos	entF//hycG//araD//sdhC//narI//
TdcR_pos	tdcG//moaA//malS//leuD//amn//
TorR_neg	ulaF//
TorR_pos	nagB//mpaA//sdhD//
TreR_neg	ada//mnmG//
TrpR_neg	rpiB//leuC//accD//hyaC//asnB//metK//ppiA//glcB//malY//
TyrR_neg	purK//trpE//tehB//tdcB//puuE//moaA//idnD//
TyrR_pos	ldtB//umuC//fabG//
UhpA_pos	trpC//
UidR_neg	leuC//glmS//
UlaR_neg	fadB//aceE//nagA//napG//hcaF//
UvrY_pos	yibQ//napC//
UxuR_neg	yeaG//ftsI//tauD//nadB//murF//
XapR_pos	tehB//gltD//
XylR_neg	
XylR_pos	katG//citD//puuE//
YdeO_neg	
YdeO_pos	gltB//metF//sdhA//
YedW_neg	pdeR//dapD//
YedW_pos	wecC//
YefM-YoeB_neg	patD//
YefM_neg	idnO//
YehT_pos	
YeiL_pos	
YiaJ_neg	araD//relA//atoA//gabT//fumC//rimK//
YjjQ_neg	garL//
YpdB_pos	
YqhC_pos	idnK//prpC//
YqjI_neg	mazG//
ZntR_pos	dkgB//
ZraR_pos	
Zur_neg	tdcB//
