# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	leuD//gabT//
GadE_pos	nagB//trpD//pncB//uxaC//cysE//metE//hyi//nrdF//hycB//garD//
GadW_neg	edd//paaJ//deoB//
GadW_pos	nirD//gatZ//gatY//gcvP//
GadX_neg	umuC//polB//
GadX_pos	cysM//dmsC//uxaA//glmS//purE//nirB//yeaG//uxuB//paaI//acnA//
GalR_neg	hycE//uxuB//lpd//yiaK//lldD//phnN//
GalR_pos	deoA//pgm//entC//hycC//
GalS_neg	srlD//glgB//galM//tdcD//napG//accC//
GalS_pos	rutD//uvrC//purN//pfkA//
GatR_neg	mhpA//gatZ//glpD//
GcvA_neg	napH//hycD//fucU//
GcvA_pos	puuE//fbaB//entC//
GlcC_neg	
GlcC_pos	cysE//atoB//trpB//
GlpR_neg	phr//alaC//rffG//pgaD//alkA//zwf//rhaA//
GlrR_pos	
GntR_neg	bacA//rhaB//dapB//ldtC//pheS//fumB//tyrA//purD//ychF//
GutM_pos	alkA//idnK//bioF//
GutR_neg	yqhD//katE//gcl//
HU_neg	lldD//ftnA//iscS//pspE//ubiA//caiA//hcaD//
HU_pos	
HcaR_neg	
HcaR_pos	paaE//puuA//
HdfR_neg	
HdfR_pos	
HigA_neg	mraY//
HigB-HigA_neg	eno//
HipAB_neg	metE//ugpQ//
HipB_neg	pyrC//prpC//allB//
HyfR_pos	amn//
HypT_neg	fucO//nrfB//
HypT_pos	entH//dgcZ//glgA//rhaB//fadA//
IclR_neg	fucK//fabG//cdd//
IdnR_neg	fabI//gudD//
IdnR_pos	xylA//sucB//tam//idnK//
IlvY_neg	
IlvY_pos	dgcZ//
IscR_neg	relA//nirB//uidA//rffM//
IscR_pos	idnK//rbsD//
KdgR_neg	yfbR//leuD//
KdpE_pos	amn//
LacI_neg	dacC//hypB//trpB//
LeuO_neg	
LeuO_pos	fbaB//aceB//accB//purE//mnmG//nadA//
LexA_neg	hycE//rdoA//torC//purN//idnK//rsmH//tdcB//alaS//aroH//gadA//sgbH//glpD//cysJ//mhpA//gnd//katE//fadE//deoB//araA//leuD//glcF//
LldR_neg	fucO//asnB//
LldR_pos	dinB//fucA//
LrhA_neg	
LrhA_pos	
LsrR_neg	ynfG//paaF//uxaB//idnD//mazG//
LysR_neg	
LysR_pos	hyaC//
MalI_neg	ilvC//dacC//
MalT_pos	pgm//galE//cysC//glyA//bioF//ubiA//
MarA_neg	hcp//
MarA_pos	lpxA//trpA//malP//luxS//speA//bioA//xylB//nrdA//hycB//yfbR//lsrF//purB//betB//ugpQ//trpA//ahpF//lsrF//gadA//caiC//lpxC//fucK//aceE//
MarR_neg	
MatA_neg	malP//
MatA_pos	
MazE-MazF_neg	araD//
MazE_neg	wzc//
McbR_neg	
McbR_pos	
MelR_neg	lsrF//nrdA//
MelR_pos	hyaC//allC//
MetJ_neg	appA//gcvH//purC//hycB//phnP//ilvC//nrdD//ung//epd//dgkA//
MetR_neg	patA//
MetR_pos	fucK//ruvB//hyaA//serA//
MhpR_pos	hyaC//iscS//ubiA//narG//glpX//uvrA//
Mlc_neg	nrdA//uvrA//tdcB//hyaA//
MlrA_pos	wrbA//
MngR_neg	gnd//tauD//
MntR_neg	lysC//
MntR_pos	puuD//
ModE_neg	paaE//asnA//fes//alaS//uvrA//sgbU//torC//fadE//
ModE_pos	recF//cysJ//hypF//rffG//galM//hypB//
MprA_neg	lsrK//ynfE//mhpA//
MqsA_neg	astE//hmp//
MraZ_neg	dgcC//idnD//lpxD//glgC//nrfB//sdhB//hycF//prpD//mtlD//phnI//uidA//
MtlR_neg	citX//puuA//relA//
MurR_neg	fabI//umuD//aceE//
MurR_pos	
Nac_neg	glxK//gatD//uxaA//
Nac_pos	cysI//pfkA//fabZ//recF//nrfA//lpxD//rnpB//
NadR_neg	recF//cysM//astC//deoD//
NagC_neg	fucO//nrfB//alaS//lacZ//nadA//gadB//murI//mhpE//glpD//moeB//patD//arsC//paaY//cysN//psd//aceA//ubiX//argA//
NagC_pos	lacA//sucD//
NanR_neg	lpxD//metA//rpiB//argH//nirD//hcaF//
NanR_pos	
NarL_neg	hcp//chbF//leuD//purC//pyrD//ssuE//caiC//glcF//recF//gnd//pgaC//astE//nanK//patA//moaE//fadA//phnI//umuC//hcaD//fucI//hcp//argB//ssuE//uxuB//
NarL_pos	udp//rffT//glpQ//aroG//pgaC//mraY//chbG//pfkA//gltB//puuE//rbsK//purA//ttdB//
NarP_neg	eno//napG//frdA//
NarP_pos	yibQ//paaH//codA//tktB//appA//patA//tyrA//xylB//metL//putA//
NemR_neg	ppiA//glgC//
NhaR_pos	fabA//fabB//glgC//narI//narG//
NikR_neg	katG//
NimR_neg	folA//
NorR_neg	
NorR_pos	bioF//
NrdR_neg	galM//ahpC//moaD//katG//
NsrR_neg	epd//hcaB//fau//glpX//nrdF//xapA//tdcB//gloA//cueO//purB//mngB//paaK//pgaD//cysG//atoB//pyrD//glmU//folE//phr//fucA//gdhA//tdcE//gor//frdB//edd//aroF//wecC//moeB//betB//puuA//pykF//idnO//poxB//wzb//acnB//pncB//
NtrC_neg	nrfA//wzb//
NtrC_pos	garL//zwf//araD//ndh//dinB//thrS//sdhD//aspC//glmU//puuA//lsrG//glpA//lsrK//nrdB//sgbE//gloA//tktB//cynS//deoA//pck//uvrA//
OmpR_neg	astB//pgpC//fucA//sodB//murI//
OmpR_pos	idnK//tdcB//prpE//nrfA//
OxyR_neg	ldtC//metA//mhpA//dmsA//rimK//
OxyR_pos	guaB//wecB//nanA//argD//fucO//nrdF//glgC//napA//purN//
PaaX_neg	asnB//cysK//adiA//hmp//gloA//purK//speB//fucK//astD//
PdeL_pos	gadB//
PdhR_neg	lsrK//prs//pgaD//hmp//frdD//mazG//ubiA//citC//pagP//frdC//alkB//pdeL//mhpC//metA//narG//murE//sdhC//entA//prpC//dhaK//guaB//nanK//prpB//mnmG//
PdhR_pos	fabG//hypB//
PepA_neg	bacA//gor//
PgrR_neg	ruvA//aceA//
PhoB_neg	lpxD//fabH//bioB//torA//
PhoB_pos	pgaD//uxaA//wzb//entE//edd//kbaZ//napC//fadI//moaD//tdcD//rbsK//thrS//nrfB//glpB//malZ//purF//
PhoP_neg	umpH//mhpA//hycC//
PhoP_pos	phr//prs//malS//torA//garK//ycjG//gloA//mpaA//polA//caiB//tadA//rutB//fadM//sucD//entH//citG//hcaB//glxR//gntK//mpaA//pflB//waaZ//allD//dkgA//idnD//glxR//yfdE//mpl//narI//tdcB//tehB//lsrK//
PrpR_neg	
PrpR_pos	gcvP//hycG//phr//fucA//
PspF_neg	
PspF_pos	fabH//
PurR_neg	metK//malZ//appA//oxc//tdcE//talA//fes//gadA//ugpQ//aceE//katG//aspA//alkB//fumC//fumB//glgA//ulaG//fabZ//yfdE//gloA//uvrC//uidA//lysA//dgkA//moaD//leuC//
PutA_neg	pflB//ada//
PuuR_neg	cysC//tnaA//cynS//uxaC//tdcB//hyaA//
QseB_pos	
RbsR_neg	tdcB//dapB//nrfB//puuC//argE//
RbsR_pos	hcp//
RcdA_neg	
RcdA_pos	metL//
RclR_pos	
RcnR_neg	napG//
RcsAB_neg	fbaB//
RcsAB_pos	waaZ//pgaD//
RcsB-BglJ_pos	ttdB//gloA//
RcsB_neg	fabB//
RcsB_pos	purD//metF//ldtC//
RelB-RelE_neg	torC//
RelB_neg	ttdB//
RhaR_pos	
RhaS_pos	frdD//gcvH//yfbR//xylA//
Rob_neg	
Rob_pos	asnA//trpC//gor//ftsI//atoB//gcvT//srlD//ugpQ//waaH//tktB//astD//allE//cysH//alkB//gpmA//poxB//caiD//idnK//lldD//
RstA_neg	truB//hcp//
RstA_pos	gatY//
RtcR_pos	lacZ//ada//
RutR_neg	leuC//acnB//tehB//fruK//adiA//pgi//betA//lpxA//deoC//rffH//
RutR_pos	paaY//
SdiA_neg	
SdiA_pos	
SgrR_neg	lacA//
SgrR_pos	ppiA//ppiA//
SlyA_pos	
SoxR_neg	
SoxR_pos	deoB//
SoxS_neg	
SoxS_pos	pspE//glpQ//wzc//malP//metB//yfdE//ulaE//pfkA//uvrB//ilvC//araB//ttdA//acnB//argA//hcaD//narH//gpmA//prs//ruvA//folE//entD//mdh//metF//yiaK//metH//yiaK//
StpA_neg	glgB//pdeH//udp//
SutR_neg	prpB//glcF//
SutR_pos	
TdcA_pos	wecB//puuB//sucD//mhpC//malY//
TdcR_pos	garD//rutD//allA//leuB//astA//
TorR_neg	waaZ//
TorR_pos	rbsK//nanA//argE//
TreR_neg	nanM//carA//
TrpR_neg	hemH//prpD//entH//arsC//fabI//eda//dkgB//dkgB//narI//
TyrR_neg	glgC//cysI//aldA//hyaB//ugpQ//lsrK//narI//
TyrR_pos	prpC//glgX//umuC//
UhpA_pos	asnB//
UidR_neg	gatY//patA//
UlaR_neg	ascB//hycE//sucA//oxc//gadB//
UvrY_pos	malY//mdh//
UxuR_neg	dkgA//sucA//wecB//tynA//astE//
XapR_pos	mhpC//dhaL//
XylR_neg	
XylR_pos	araB//betA//lsrG//
YdeO_neg	
YdeO_pos	fabG//paaZ//ppc//
YedW_neg	dmsB//nanA//
YedW_pos	umuD//
YefM-YoeB_neg	sdhB//
YefM_neg	cyoE//
YehT_pos	
YeiL_pos	
YiaJ_neg	hyaA//kbaZ//alaS//adhE//hycD//fadB//
YjjQ_neg	malZ//
YpdB_pos	
YqhC_pos	asnA//murG//
YqjI_neg	hycB//
ZntR_pos	cadA//
ZraR_pos	
Zur_neg	rbsD//
