# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	tdcG//relA//
ModE_pos	ruvA//ampC//astC//gadA//nemA//lysC//
MprA_neg	pck//rutB//ascB//
MqsA_neg	ldtC//mhpF//
MraZ_neg	aroG//wecB//prpD//mraY//uvrC//ldtD//fucI//mngB//fumB//mhpB//puuC//
MtlR_neg	kbaZ//pgaD//glyA//
MurR_neg	wzb//tktB//hycB//
MurR_pos	
Nac_neg	caiB//paaY//hypF//
Nac_pos	uxaB//atoB//lsrF//araA//ribA//sucC//nrfA//
NadR_neg	uxuB//tdcG//ftnA//wrbA//
NagC_neg	dkgB//napH//puuA//astA//fdhF//cysK//ada//ftsI//hyaB//yibQ//cyoE//hypB//rffC//metF//ssuE//pnp//hypF//tpiA//
NagC_pos	mtlD//pyrC//
NanR_neg	gltB//nanK//glpK//fabH//poxB//paaG//
NanR_pos	
NarL_neg	nanK//chbG//yfbR//dhaL//dacC//alkA//fabD//citG//codA//metF//putA//astD//katE//pncB//tehB//sdhD//galE//napA//ychF//purC//sodB//pdeH//sucD//fadE//
NarL_pos	purA//malZ//purM//nrfA//dacC//tktB//pyrD//phnH//accB//nrfC//lacA//atoD//dmsA//
NarP_neg	mhpC//fabZ//cysC//
NarP_pos	cdd//napH//nrfC//rutD//dgcZ//aspC//rutB//accD//frdC//moaD//
NemR_neg	acnA//paaK//
NhaR_pos	patD//dkgB//entB//ddlB//yibQ//
NikR_neg	fadI//
NimR_neg	nirB//
NorR_neg	
NorR_pos	pfkA//
NrdR_neg	ulaG//glgP//phnL//gntK//
NsrR_neg	uvrB//araA//yeaE//garL//gltB//argE//hcp//glcF//ynfF//glk//hyi//rutE//xylA//idnD//pdeL//rutB//puuE//gabD//talA//folA//dmsB//dmsC//pheS//galT//recF//rsmH//fabH//cysK//oxc//hycF//folE//allD//pheS//fumC//uvrA//hyaB//
NtrC_neg	nanK//hycE//
NtrC_pos	napC//glxK//cynT//gudD//idnO//gloA//trpC//gcvH//uxuB//rpiB//pck//pgi//dacC//rdoA//glgX//pdeH//paaB//malQ//rffG//patA//gutQ//
OmpR_neg	nrdB//nrdB//bioB//tdcG//pykF//
OmpR_pos	nanA//aceF//aroF//narI//
OxyR_neg	paaZ//torA//paaK//psd//gltB//
OxyR_pos	leuD//gcl//glcE//deoD//ribA//ldtB//dhaL//argI//glcE//
PaaX_neg	gntK//mnmG//fdhF//ychF//allA//tynA//glmS//mdh//uxaC//
PdeL_pos	leuC//
PdhR_neg	rutE//glxR//mtlD//lysA//phnO//mazG//gpmA//pgpC//ribA//rdoA//malP//cynS//codA//argH//pgpC//yfbR//dinB//fadA//fadM//caiB//glcB//paaA//argA//rhaB//
PdhR_pos	nfsA//ampC//
PepA_neg	lacA//glpX//
PgrR_neg	lpxC//pdeH//
PhoB_neg	fadD//carB//sgbH//caiC//
PhoB_pos	allB//sucD//glnA//rffT//hcaF//fadE//chbF//trpB//recF//astE//pnp//lacA//cysC//yqjH//paaF//edd//
PhoP_neg	puuA//patD//mhpC//
PhoP_pos	recF//eno//purB//dmsB//amn//fabH//malP//hcaE//hcaD//astB//nrdB//alaS//xapA//citX//fes//bioA//pgi//tdcE//citE//tehB//hcaF//lacA//pgi//tktB//caiD//relA//nagB//glgC//fabA//prs//metE//argB//
PrpR_neg	
PrpR_pos	tktB//lpxD//phr//ldtB//
PspF_neg	
PspF_pos	cyoE//
PurR_neg	phnJ//tdcB//phnN//entF//dmsB//gapA//allE//hycB//aspC//malZ//acnA//idnK//entH//moaE//gatY//uvrA//carA//paaA//purM//purL//adhE//fdhF//yfdE//sodB//glgX//argF//
PutA_neg	caiC//carB//
PuuR_neg	ribA//gltD//recF//fabH//glpX//gnd//
QseB_pos	
RbsR_neg	prpE//cynS//argF//ssuD//hcp//
RbsR_pos	phoA//
RcdA_neg	
RcdA_pos	garR//
RclR_pos	
RcnR_neg	rfe//
RcsAB_neg	murI//
RcsAB_pos	pheT//recF//
RcsB-BglJ_pos	tyrA//malP//
RcsB_neg	citX//
RcsB_pos	sodB//ycjG//fabH//
RelB-RelE_neg	argH//
RelB_neg	xylB//
RhaR_pos	
RhaS_pos	puuD//gatY//argB//purC//
Rob_neg	
Rob_pos	ynfE//gltD//nrdA//fabD//pncB//pyrC//argE//moaA//lsrG//pgaB//dhaK//napG//tdcE//mltF//fabH//aceF//ppiA//hypB//pgm//
RstA_neg	malS//ampC//
RstA_pos	entB//
RtcR_pos	nagB//ubiC//
RutR_neg	frdB//sufS//pgaB//mpaA//ascB//phoA//moeA//rutA//lldD//ugpQ//
RutR_pos	slt//
SdiA_neg	
SdiA_pos	
SgrR_neg	argC//
SgrR_pos	cysK//ssuE//
SlyA_pos	
SoxR_neg	
SoxR_pos	nrdE//
SoxS_neg	
SoxS_pos	rsmH//rhaB//paaJ//nagB//fabD//malP//purE//treC//rffT//phnI//pdeL//phnP//murI//polA//torC//dgcZ//araB//pspE//tehB//gnd//aceF//alaS//purB//araA//nanK//metH//
StpA_neg	ulaE//ribA//ppiA//
SutR_neg	rffT//dsdA//
SutR_pos	
TdcA_pos	argB//dkgA//phnN//hycF//dhaK//
TdcR_pos	tynA//bacA//deoB//ampC//dgcC//
TorR_neg	glcB//
TorR_pos	ldtD//alkB//hyi//
TreR_neg	appA//codA//
TrpR_neg	nrdB//glcB//garK//ldtC//nanA//hyaA//tynA//metH//pepD//
TyrR_neg	hcaF//nanM//ugpQ//waaH//waaH//sucC//metC//
TyrR_pos	glpK//dapD//phnI//
UhpA_pos	dgcZ//
UidR_neg	nagB//pck//
UlaR_neg	moeA//glgA//folE//mhpC//yqjH//
UvrY_pos	prpB//gapA//
UxuR_neg	caiC//purA//fabZ//pheT//ttdA//
XapR_pos	allA//tdcE//
XylR_neg	
XylR_pos	tdcG//waaZ//gadA//
YdeO_neg	
YdeO_pos	moeB//ulaD//sodA//
YedW_neg	tdcD//mhpC//
YedW_pos	nirD//
YefM-YoeB_neg	bglB//
YefM_neg	sucB//
YehT_pos	
YeiL_pos	
YiaJ_neg	fdhF//frdA//patD//phnI//murQ//leuD//
YjjQ_neg	puuA//
YpdB_pos	
YqhC_pos	trpC//fruK//
YqjI_neg	ogt//
ZntR_pos	lpxD//
ZraR_pos	
Zur_neg	purC//
