# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	poxB//polA//
Fur_neg	slt//aspA//citX//nanE//glpB//entE//rffH//ppsA//putA//pgaD//glcF//deoD//rbsD//fucI//yqhD//hypB//lsrG//moeB//treC//rnpB//rffM//xylA//tpiA//bioD//prs//entD//paaZ//ada//cdd//tdcE//poxB//tdcE//araB//argD//ybjG//cysJ//uidA//glcB//ulaD//glcB//garR//astA//aceF//fbaA//paaZ//lysA//uvrB//murI//tdcB//fabI//murF//cysD//garR//glpX//
Fur_pos	uvrA//sucC//pykF//malY//hycE//nanA//alkA//mltF//murE//citC//ubiX//galE//hcaC//cyoE//uvrC//alsE//prpB//
GadE-RcsB_pos	pykF//pyrC//ddlB//puuA//
GadE_pos	entA//glk//lpxD//waaH//sucB//mnmG//asnA//waaY//murE//mhpE//
GadW_neg	tauD//eno//deoA//
GadW_pos	hycG//purE//xapA//aceF//
GadX_neg	paaJ//idnK//
GadX_pos	thrS//murQ//psd//uxuA//glgB//yfbR//sucB//cysN//gatD//paaI//
GalR_neg	moaE//dgcZ//gor//mnmG//frdC//treC//
GalR_pos	cyoE//metF//fadI//nfsB//
GalS_neg	cysG//dmsA//allC//yfbR//garL//pdeR//
GalS_pos	rutB//lacA//alsE//cynT//
GatR_neg	dmsC//fumB//paaC//
GcvA_neg	uxaC//paaZ//pncB//
GcvA_pos	argB//entB//idnK//
GlcC_neg	
GlcC_pos	aceB//aspC//gatY//
GlpR_neg	ung//ddlB//allB//uvrC//ynfF//folE//paaZ//
GlrR_pos	
GntR_neg	ychF//cysK//gadA//dsdA//nrfB//astD//polA//sodB//caiD//
GutM_pos	add//cysD//trpE//
GutR_neg	glgA//dacC//frdD//
HU_neg	bioB//dapD//glyA//aroG//purB//gpmA//ubiC//
HU_pos	
HcaR_neg	
HcaR_pos	purB//ynfG//
HdfR_neg	
HdfR_pos	
HigA_neg	ugpQ//
HigB-HigA_neg	pgk//
HipAB_neg	glgP//narI//
HipB_neg	lldD//glgC//katG//
HyfR_pos	mtlD//
HypT_neg	nrfC//argA//
HypT_pos	nirB//lysC//slt//ulaD//amn//
IclR_neg	rffT//hcp//pgaD//
IdnR_neg	uxaA//accC//
IdnR_pos	murE//argD//acnA//fadA//
IlvY_neg	
IlvY_pos	recF//
IscR_neg	gcvH//astC//fumB//glcE//
IscR_pos	rpiB//talA//
KdgR_neg	rhaA//cyoE//
KdpE_pos	dmsB//
LacI_neg	folA//frdC//waaH//
LeuO_neg	
LeuO_pos	entE//ulaD//cyoE//mtlD//tehB//lysA//
LexA_neg	tdcG//prpB//gcvT//gltD//mnmG//accA//prpD//moeB//gabD//puuC//entC//murD//gatD//paaZ//lysA//fucA//alaC//ogt//hycB//ybjG//yeaG//
LldR_neg	uxaB//polA//
LldR_pos	ahpC//aceB//
LrhA_neg	
LrhA_pos	
LsrR_neg	mhpC//fumC//rutD//purF//polA//
LysR_neg	
LysR_pos	ada//
MalI_neg	galT//ddlB//
MalT_pos	tdcG//uxuA//murI//ung//paaG//aroG//
MarA_neg	ychF//
MarA_pos	lsrK//recF//gutQ//umuD//ribA//umpH//zwf//glcF//asnB//citF//deoA//pgk//galK//pncB//nanM//lysC//phnP//torA//dhaL//edd//sdhC//tynA//
MarR_neg	
MatA_neg	caiD//
MatA_pos	
MazE-MazF_neg	gor//
MazE_neg	aldA//
McbR_neg	
McbR_pos	
MelR_neg	accA//gcvP//
MelR_pos	ycjG//lacA//
MetJ_neg	paaF//puuB//recF//purN//hypF//aroG//ftsI//pgk//yiaK//araB//
MetR_neg	ldtD//
MetR_pos	rdoA//gnd//pdeL//citF//
MhpR_pos	uidA//malY//psd//argF//fadI//sufS//
Mlc_neg	frdB//deoC//hyaC//napH//
MlrA_pos	ynfE//
MngR_neg	ung//galK//
MntR_neg	purF//
MntR_pos	paaA//
ModE_neg	argC//glmS//bglB//araB//fadM//trpB//accD//ldtC//
ModE_pos	rutC//metL//lpd//cysC//epd//polA//
MprA_neg	tam//narG//fau//
MqsA_neg	ruvA//glgA//
MraZ_neg	sgbH//aceB//ung//narH//rnpB//glxK//alaC//cynS//paaZ//deoC//glpB//
MtlR_neg	paaA//purF//zwf//
MurR_neg	glpQ//glgB//gatD//
MurR_pos	
Nac_neg	pheS//lsrK//gcl//
Nac_pos	napC//wecB//metK//caiD//lacA//yqjH//pgpC//
NadR_neg	astA//phnN//glpB//sucC//
NagC_neg	dhaK//yiaK//sdhB//fadI//gcvP//uxuA//sgbU//nanM//rhaA//glxR//pfkA//moeA//rutC//citD//ybaS//pyrC//ppiA//uidA//
NagC_pos	tdcE//purL//
NanR_neg	bacA//murG//acnA//tdcB//waaY//tktB//
NanR_pos	
NarL_neg	ppiA//fumB//astB//glxR//allB//wecB//malY//fadA//fadI//fadM//citC//entC//napC//prs//astB//kbaZ//moeB//lacZ//lacA//mraY//hcaE//paaK//cysC//chbF//
NarL_pos	lldD//phnL//glpQ//purC//fabH//tyrB//frdB//folA//fadA//icd//fadJ//aroF//nanK//
NarP_neg	allA//torA//paaH//
NarP_pos	deoB//rnpB//fruK//uxuB//pyrD//ruvA//paaK//dsdA//gloA//sdhA//
NemR_neg	eda//truB//
NhaR_pos	paaI//rffT//yfbR//cysC//argB//
NikR_neg	thrS//
NimR_neg	ndh//
NorR_neg	
NorR_pos	argD//
NrdR_neg	gpmA//hcp//fumC//glgX//
NsrR_neg	atoB//idnD//ubiC//torA//allC//pspE//glgX//entC//katG//polB//gabT//mhpE//guaB//trpC//hcaE//waaH//lsrF//glpK//accA//cysD//alaS//galT//iscS//garL//nirD//ribA//astE//dhaL//dapB//melA//wecC//narG//folE//pagP//mdh//leuB//
NtrC_neg	purE//bioD//
NtrC_pos	sdhC//allE//ugpQ//fucO//deoD//nadB//purE//oxc//ynfE//metF//gutQ//glmU//narH//galM//metB//rimK//paaY//nirB//dacC//fbaB//hyaB//
OmpR_neg	moeA//purK//hcaE//yqjH//garD//
OmpR_pos	metF//adhE//dhaL//gltB//
OxyR_neg	luxS//fadM//fadE//gcvT//umpH//
OxyR_pos	sgbH//aceA//deoD//leuD//yfdE//lpxC//metC//ruvA//rsmH//
PaaX_neg	araB//phnG//atoB//entA//fabH//gudD//prpB//malZ//glmU//
PdeL_pos	galT//
PdhR_neg	ychF//folA//ulaG//arsC//relA//pykF//aceE//betB//rhaA//ynfH//nirD//citE//cysC//allA//ynfE//allE//pepD//nrdA//citC//ynfE//trpB//entE//wzc//thrS//
PdhR_pos	waaY//allE//
PepA_neg	deoA//lacZ//
PgrR_neg	hemL//lysA//
PhoB_neg	folA//gutQ//galM//gcl//
PhoB_pos	argG//purF//mltF//lsrK//leuA//mpaA//allA//alsE//pdeL//puuE//rsmH//cysD//lysA//wecB//fruK//wecC//
PhoP_neg	aroH//nanE//mraY//
PhoP_pos	gntK//fabG//lhgO//fadB//trpA//udp//appA//ogt//yfbR//yfdE//metB//entD//ogt//aceE//allA//argE//ulaE//glcB//hycE//ldtD//cueO//murF//argE//purB//argA//allC//galE//murD//frc//gcvT//kbaY//sdhC//
PrpR_neg	
PrpR_pos	ahpC//paaE//gdhA//hypF//
PspF_neg	
PspF_pos	aceE//
PurR_neg	rfe//glcD//folE//lacA//nrdD//cueO//guaA//treC//umuC//nanK//uvrA//add//bacA//pflB//phnL//caiD//recF//aspC//mdh//katG//glxR//waaZ//allB//frdD//fabI//hyaC//
PutA_neg	moaE//metH//
PuuR_neg	entE//nrdD//betB//sodB//betA//napC//
QseB_pos	
RbsR_neg	gatY//caiC//umuC//tauD//entE//
RbsR_pos	cysD//
RcdA_neg	
RcdA_pos	umuD//
RclR_pos	
RcnR_neg	glmS//
RcsAB_neg	carB//
RcsAB_pos	leuA//glcD//
RcsB-BglJ_pos	caiB//atoB//
RcsB_neg	hyaA//
RcsB_pos	ppc//patA//paaB//
RelB-RelE_neg	glk//
RelB_neg	fucU//
RhaR_pos	
RhaS_pos	fadM//ung//hycD//aroH//
Rob_neg	
Rob_pos	dkgB//rutD//uxaA//fdhF//pfkA//mhpF//metC//folA//fes//feaB//hypF//lpxD//frdA//nfsA//mhpE//ynfE//oxc//appA//recF//
RstA_neg	alaC//gatD//
RstA_pos	metC//
RtcR_pos	eno//purF//
RutR_neg	puuE//caiD//moaD//purK//napA//nrfA//deoB//edd//leuC//dkgA//
RutR_pos	psd//
SdiA_neg	
SdiA_pos	
SgrR_neg	ribA//
SgrR_pos	dsdA//pdeR//
SlyA_pos	
SoxR_neg	
SoxR_pos	aroH//
SoxS_neg	
SoxS_pos	yeaE//fucK//napH//idnD//fbaA//tdcB//phnJ//katE//sucD//ldtB//mngB//pgaC//fabB//sucC//dgkA//rhaA//argG//fadE//lyxK//hcp//yeaG//rffG//bioB//ppsA//fau//eno//
StpA_neg	fbaB//rutC//ulaF//
SutR_neg	hemH//phoA//
SutR_pos	
TdcA_pos	lsrK//citF//pflB//bioD//paaA//
TdcR_pos	acnA//fucO//malZ//nfsB//ribA//
TorR_neg	rutE//
TorR_pos	rutC//fucK//ppiA//
TreR_neg	speB//hyaB//
TrpR_neg	sgbH//aroL//allD//ychF//trpD//araD//trpA//waaZ//nanE//
TyrR_neg	garD//alsE//srlD//wecC//nagB//allE//frdB//
TyrR_pos	thrS//deoD//glyA//
UhpA_pos	tdcG//
UidR_neg	astE//rutD//
UlaR_neg	aceB//nrfD//nanA//fau//ndh//
UvrY_pos	ahpC//glyA//
UxuR_neg	murC//gatY//ynfH//ybjG//metF//
XapR_pos	alaS//argF//
XylR_neg	
XylR_pos	putA//tdcD//bioA//
YdeO_neg	
YdeO_pos	chbG//dkgA//fucO//
YedW_neg	glmU//mtlD//
YedW_pos	araA//
YefM-YoeB_neg	paaJ//
YefM_neg	glpD//
YehT_pos	
YeiL_pos	
YiaJ_neg	gpmM//fbaB//allA//galT//fadJ//deoD//
YjjQ_neg	lhgO//
YpdB_pos	
YqhC_pos	wecB//aroG//
YqjI_neg	umuD//
ZntR_pos	torC//
ZraR_pos	
Zur_neg	fau//
