# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	lysA//rhaD//
NsrR_neg	carB//rsmH//nanA//glcF//araA//chbG//cysM//ppsA//cysH//ppiA//idnD//gapA//dmsC//polB//nrdB//galE//yeaE//allA//gadA//glgP//ribA//dgcC//purA//allD//acnB//mpaA//mnmG//ycjG//fadE//deoD//uvrC//lsrF//aceA//ubiX//ulaF//gpmA//
NtrC_neg	ftsI//ulaE//
NtrC_pos	adiA//glpC//caiB//poxB//betA//hyaC//paaZ//ung//fdhF//udp//purK//uxuB//rffT//sucA//putA//dhaK//argE//fabB//glpC//tdcE//atoB//
OmpR_neg	rsmH//argG//pgm//galK//malQ//
OmpR_pos	guaB//rutD//uxaC//gltB//
OxyR_neg	rffM//argG//ulaF//dhaM//katG//
OxyR_pos	appA//icd//glpD//pdeH//trpA//fabB//atoB//gadB//cadA//
PaaX_neg	ppc//nrfB//lacZ//dacC//pdeH//idnO//dinB//pfkA//cysD//
PdeL_pos	phnO//
PdhR_neg	sgbU//sucB//glpC//galM//hycF//leuC//aceE//fadA//hcp//nrfD//uxaB//tynA//uxaA//ynfF//fdhF//patA//tpiA//rffG//fadA//ttdA//aroH//frdC//ychF//atoA//
PdhR_pos	purH//argG//
PepA_neg	psd//citD//
PgrR_neg	deoA//caiA//
PhoB_neg	dinB//lldD//nirB//fucA//
PhoB_pos	ldtD//galE//icd//moaD//glmU//guaB//purB//hycG//polA//metH//wrbA//carA//hmp//pgi//entD//nemA//
PhoP_neg	lpxA//speB//fabH//
PhoP_pos	sgbE//glyA//tadA//sdhD//dgcZ//gcl//glcB//luxS//pgaB//astE//waaH//leuD//wzc//hcaD//malZ//deoA//mngB//dsdA//cysI//gor//rutB//deoA//dhaL//sdhA//oxc//ascB//fumC//patA//murI//dhaL//allC//nanK//
PrpR_neg	
PrpR_pos	aroL//rdoA//nanK//treC//
PspF_neg	
PspF_pos	gor//
PurR_neg	rbsD//tehB//lldD//metE//aceF//pheT//purB//frc//aroG//uvrA//ldtD//guaA//citX//adhE//ybjG//lsrF//murC//talA//adiA//gutQ//fadJ//ppiA//glxR//gadB//kbaZ//ynfE//
PutA_neg	dinB//cysJ//
PuuR_neg	napB//nfsB//umuD//galM//kbaY//pheT//
QseB_pos	
RbsR_neg	napG//glpX//feaB//citC//hcaE//
RbsR_pos	dkgB//
RcdA_neg	
RcdA_pos	pgaC//
RclR_pos	
RcnR_neg	nrfA//
RcsAB_neg	puuA//
RcsAB_pos	pfkA//dmsA//
RcsB-BglJ_pos	torA//rbsK//
RcsB_neg	uvrA//
RcsB_pos	rsmH//hcaC//gloA//
RelB-RelE_neg	thrS//
RelB_neg	gabD//
RhaR_pos	
RhaS_pos	rpiB//hemH//rffT//ruvB//
Rob_neg	
Rob_pos	phnH//moeB//lpxD//srlD//talA//hemL//nrdE//polA//bioB//fucK//speB//cysM//fucI//betB//citD//codA//bioA//nagB//fau//
RstA_neg	dacC//purL//
RstA_pos	gltB//
RtcR_pos	ndh//guaB//
RutR_neg	hyaA//moaD//pgi//dhaM//glpC//rffG//mhpC//bioF//dmsC//mhpC//
RutR_pos	pagP//
SdiA_neg	
SdiA_pos	
SgrR_neg	cysJ//
SgrR_pos	moaD//mpl//
SlyA_pos	
SoxR_neg	
SoxR_pos	hyaA//
SoxS_neg	
SoxS_pos	kbaZ//dmsB//dhaL//gabT//murG//ddlB//rnpB//galT//pgaC//phnJ//hycD//sucB//mnmG//glmU//nanM//accB//entB//uxaC//argC//wrbA//tehB//cysG//fadD//sgbU//astC//sdhD//
StpA_neg	garR//glxK//glcE//
SutR_neg	aroH//pck//
SutR_pos	
TdcA_pos	rnpB//ppc//garD//gadB//nfsA//
TdcR_pos	sgbU//tdcE//hcaE//narG//prpC//
TorR_neg	rimK//
TorR_pos	arsC//bioC//lsrG//
TreR_neg	aroG//puuB//
TrpR_neg	frdD//ruvA//cysH//wecC//fabG//chbF//eda//araA//lhgO//
TyrR_neg	ruvA//phnH//ppc//glcF//bioD//glpC//caiC//
TyrR_pos	argI//tdcD//ttdA//
UhpA_pos	purH//
UidR_neg	nanA//mngB//
UlaR_neg	xylB//argC//glk//rhaD//ahpC//
UvrY_pos	sucA//edd//
UxuR_neg	uxuB//yeaE//ribA//prpC//polA//
XapR_pos	hypF//dhaL//
XylR_neg	
XylR_pos	trpE//waaY//dapD//
YdeO_neg	
YdeO_pos	narH//cysI//gor//
YedW_neg	carA//hycB//
YedW_pos	ftsI//
YefM-YoeB_neg	wzb//
YefM_neg	nrfA//
YehT_pos	
YeiL_pos	
YiaJ_neg	glgP//waaY//purM//astD//mhpA//astB//
YjjQ_neg	atoB//
YpdB_pos	
YqhC_pos	purB//ynfH//
YqjI_neg	pepD//
ZntR_pos	fucA//
ZraR_pos	
Zur_neg	citC//
