# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	cysJ//leuA//
PhoB_pos	fadJ//phnH//gltB//fucK//prpD//pgk//ssuD//cysG//glxR//tdcG//paaY//fadH//napC//mtlD//trpB//pyrD//
PhoP_neg	nrdD//trpC//pgk//
PhoP_pos	mhpA//rffH//murE//argG//aroL//guaA//lsrG//phnJ//fucK//puuE//argF//narH//ndh//rffM//mhpB//dmsC//yqjH//rsmH//hycF//dhaL//gltB//fes//garD//gabD//luxS//pgi//hcaC//trpC//hcaB//ilvC//hypB//astE//
PrpR_neg	
PrpR_pos	lysC//ahpF//tehB//sdhB//
PspF_neg	
PspF_pos	wzc//
PurR_neg	malS//ulaE//mtlD//katG//ldtD//leuB//puuB//ppsA//dmsC//citE//tnaA//entB//glmU//xylA//phnL//mhpE//araD//gadB//paaZ//rutB//gcvP//dhaK//hycC//rhaA//lyxK//nirD//
PutA_neg	hycG//alsE//
PuuR_neg	ulaD//zwf//sucD//fadB//speB//pdeL//
QseB_pos	
RbsR_neg	fadE//astD//accB//napA//umuD//
RbsR_pos	ahpC//
RcdA_neg	
RcdA_pos	pheS//
RclR_pos	
RcnR_neg	hcaE//
RcsAB_neg	rfe//
RcsAB_pos	fau//ppiA//
RcsB-BglJ_pos	fucU//katG//
RcsB_neg	entA//
RcsB_pos	fabA//metK//katG//
RelB-RelE_neg	pdeL//
RelB_neg	idnO//
RhaR_pos	
RhaS_pos	paaH//hmp//caiC//tnaA//
Rob_neg	
Rob_pos	katE//uxaC//wecC//gatY//sgbU//purM//hcaE//gor//ppiA//xapA//allB//yiaK//murG//guaB//tehB//aroL//murQ//cysN//guaB//
RstA_neg	ribA//phr//
RstA_pos	gadB//
RtcR_pos	cysI//pdeR//
RutR_neg	fadA//pspE//frdA//nanA//rhaD//entC//puuB//pyrD//entH//trpA//
RutR_pos	araD//
SdiA_neg	
SdiA_pos	
SgrR_neg	prpD//
SgrR_pos	wrbA//sgbU//
SlyA_pos	
SoxR_neg	
SoxR_pos	yqhD//
SoxS_neg	
SoxS_pos	patA//purA//fadB//thrS//yqhD//sodB//lsrK//pheS//cysE//glcF//ldtC//udp//alsE//tauD//purB//citD//asnB//nrfC//mdh//adhE//nanM//polB//polA//uxaA//atoB//hypF//
StpA_neg	cysC//prs//tyrA//
SutR_neg	hcp//pncB//
SutR_pos	
TdcA_pos	fucU//adiA//ulaF//phnP//truB//
TdcR_pos	folE//rffC//fabB//slt//puuA//
TorR_neg	ada//
TorR_pos	bioF//fucO//uxaB//
TreR_neg	ubiX//glgX//
TrpR_neg	gpmM//prpC//guaB//bioB//pgaC//paaZ//lsrK//rutB//hcaF//
TyrR_neg	hcaD//lsrF//deoB//ruvA//phnN//cynT//gpmM//
TyrR_pos	paaI//malQ//lsrF//
UhpA_pos	puuE//
UidR_neg	ulaD//cysH//
UlaR_neg	sdhD//uxaB//atoD//araD//sgbU//
UvrY_pos	nagB//aldA//
UxuR_neg	metA//argF//pncB//paaF//frc//
XapR_pos	nfsA//bioF//
XylR_neg	
XylR_pos	nanA//mngB//pgaC//
YdeO_neg	
YdeO_pos	uxaA//alkB//garR//
YedW_neg	ldtC//purC//
YedW_pos	metA//
YefM-YoeB_neg	citG//
YefM_neg	fucA//
YehT_pos	
YeiL_pos	
YiaJ_neg	wecB//purN//gudD//fruK//dapB//caiD//
YjjQ_neg	hcaE//
YpdB_pos	
YqhC_pos	cysM//patA//
YqjI_neg	sgbU//
ZntR_pos	gabT//
ZraR_pos	
Zur_neg	sdhB//
