# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	argG//malP//
NanR_pos	
NarL_neg	dmsB//napB//caiC//cysM//citF//patD//glgC//recF//katG//rdoA//caiB//dacC//sgbU//phnO//rffT//pgk//metH//katG//pdeR//pyrD//napH//putA//trpD//glmU//
NarL_pos	rsmH//fabB//ubiX//mdh//rdoA//wrbA//rutC//mraY//hmp//torC//rhaB//glgP//ascB//
NarP_neg	cysN//prs//ahpC//
NarP_pos	malS//deoA//glpA//cysC//gutQ//hcaF//malS//alsE//cyoE//prpB//
NemR_neg	yeaE//argB//
NhaR_pos	mdh//astB//pdeH//caiD//entC//
NikR_neg	mtlD//
NimR_neg	glmU//
NorR_neg	
NorR_pos	gdhA//
NrdR_neg	garL//idnD//ubiA//fadI//
NsrR_neg	entB//cadA//glcD//argG//dkgB//gdhA//rutD//gdhA//fadD//caiC//argF//paaK//caiA//aroF//yiaK//cadA//rhaD//hycC//cueO//adhE//folE//entD//katE//ruvA//glcE//glgX//gltD//mngB//argC//waaY//nirB//gabT//poxB//murC//gcvH//entA//
NtrC_neg	dmsC//ruvA//
NtrC_pos	citF//hcaB//garL//atoA//araB//yqhD//phnG//hcaF//wzc//rutB//sdhA//carB//fadE//ppc//dacC//ftnA//cyoE//glk//tadA//speA//araB//
OmpR_neg	yfdE//glcF//waaY//sucC//araB//
OmpR_pos	paaB//phnI//lpxC//aroG//
OxyR_neg	araB//gutQ//mhpB//tdcG//putA//
OxyR_pos	allD//uidA//mhpF//ybjG//feaB//entA//pfkA//lldD//murD//
PaaX_neg	astA//ynfF//adiA//rutD//tyrB//murE//ynfH//phnN//ugpQ//
PdeL_pos	hypB//
PdhR_neg	torA//uxaA//dapB//purA//moaD//patA//nirD//katG//psd//pgpC//argI//glpB//udp//lysA//napB//entA//dinB//entC//polA//entH//dmsC//dkgA//srlD//atoD//
PdhR_pos	acnA//sucB//
PepA_neg	dapB//nfsB//
PgrR_neg	yeaG//pdeR//
PhoB_neg	allC//adiA//paaI//pfkA//
PhoB_pos	entH//polB//napG//waaZ//lsrK//uxuB//carA//accA//dgcC//aceB//polB//hemL//phr//paaY//uvrA//glpC//
PhoP_neg	galK//alaC//mhpF//
PhoP_pos	nadA//polB//pck//deoC//sgbE//pgm//paaI//guaB//leuC//sdhB//fucA//citD//atoB//hyi//hycF//phnM//nanA//tnaA//tdcG//cadA//hyaA//ssuD//leuA//caiC//moeB//hycF//pncB//codA//cueO//melA//dgcC//moaD//
PrpR_neg	
PrpR_pos	moeB//garR//betB//metA//
PspF_neg	
PspF_pos	carB//
PurR_neg	dhaK//rutA//phnN//rffT//metK//allD//gcl//phnJ//hcaB//hycG//mhpF//hypF//idnK//lysC//lldD//cyoE//mazG//paaE//arsC//cysI//gcvP//glgX//allE//yfdE//fes//dmsC//
PutA_neg	araD//putA//
PuuR_neg	gatY//hemH//idnD//cysH//glgB//argB//
QseB_pos	
RbsR_neg	nfsB//pgpC//chbG//ulaG//gpmA//
RbsR_pos	glgP//
RcdA_neg	
RcdA_pos	patD//
RclR_pos	
RcnR_neg	gdhA//
RcsAB_neg	icd//
RcsAB_pos	fucA//carA//
RcsB-BglJ_pos	puuB//tehB//
RcsB_neg	garK//
RcsB_pos	argA//rffH//pgaD//
RelB-RelE_neg	aceA//
RelB_neg	citG//
RhaR_pos	
RhaS_pos	yfdE//allB//lysC//pheS//
Rob_neg	
Rob_pos	prpB//mhpD//napA//nfsA//fumC//mraY//glcB//fucO//speA//gatY//oxc//chbG//ada//gntK//paaC//sucA//napG//trpD//dapB//
RstA_neg	iscS//adhE//
RstA_pos	rhaD//
RtcR_pos	glpB//uxaC//
RutR_neg	fabD//ttdA//fbaA//phnJ//nemA//dmsB//cysG//paaI//xylA//metF//
RutR_pos	glpK//
SdiA_neg	
SdiA_pos	
SgrR_neg	pdeH//
SgrR_pos	dgkA//speA//
SlyA_pos	
SoxR_neg	
SoxR_pos	rpiB//
SoxS_neg	
SoxS_pos	metL//ldtD//oxc//putA//glyA//phnN//gltD//pyrD//gdhA//gltB//hycD//glgB//frc//fruK//galT//dkgB//nirD//caiB//ldtD//sodA//nadA//uxaC//garK//dmsC//gdhA//bioA//
StpA_neg	glgA//fucA//glxK//
SutR_neg	sufS//mnmG//
SutR_pos	
TdcA_pos	metB//citE//mhpE//hcaB//galK//
TdcR_pos	mdh//leuD//mpl//aroG//phnI//
TorR_neg	glpK//
TorR_pos	gatZ//lacZ//mngB//
TreR_neg	malY//gltD//
TrpR_neg	adhE//gltB//leuD//galT//tpiA//cadA//allD//alkB//gcvH//
TyrR_neg	chbF//moaE//waaY//ilvC//fdhF//ftnA//yeaG//
TyrR_pos	waaY//rffT//cysK//
UhpA_pos	glgC//
UidR_neg	rffC//pykF//
UlaR_neg	fucK//amn//nanA//folA//ampC//
UvrY_pos	sodB//rutD//
UxuR_neg	fes//nagA//talA//dgkA//codA//
XapR_pos	sgbU//murQ//
XylR_neg	
XylR_pos	citD//ppiA//puuD//
YdeO_neg	
YdeO_pos	bioB//dapB//purK//
YedW_neg	malP//argE//
YedW_pos	leuD//
YefM-YoeB_neg	poxB//
YefM_neg	nrfA//
YehT_pos	
YeiL_pos	
YiaJ_neg	hemH//prpE//hycC//cysH//purE//ddlB//
YjjQ_neg	paaH//
YpdB_pos	
YqhC_pos	hcp//lyxK//
YqjI_neg	fadJ//
ZntR_pos	caiC//
ZraR_pos	
Zur_neg	wecC//
