# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	dmsC//mltF//
Cra_neg	gltB//dapB//patD//fabZ//yfdE//fadI//ahpF//pgaB//paaI//trpD//cdd//sodA//katG//ychF//ddlB//phnI//glpQ//srlD//frdD//rhaD//cyoE//phoA//deoA//appA//yfdE//garR//phnH//mltF//kbaZ//argE//guaB//kbaY//yibQ//prpC//glmU//deoA//glmS//kbaY//fau//metB//citX//rnpB//dacC//pepD//citF//gatY//
Cra_pos	frdD//purB//nrdD//hycC//pagP//glpX//uvrA//narG//ynfF//sucC//murD//garK//citX//pgi//glyA//hcaB//ribA//
CreB_neg	rffT//
CreB_pos	rbsD//
CsgD_neg	thrS//ppc//
CsgD_pos	pheT//cueO//malZ//
CsiR_neg	pfkA//moaE//paaK//murF//
CspA_pos	carB//
CueR_neg	frc//icd//
CueR_pos	ppiA//galM//
CusR_pos	hycD//accB//ynfG//
CynR_neg	
CynR_pos	nrdE//narI//tauD//
CysB_neg	fadB//polA//phnL//
CysB_pos	moaD//ogt//caiA//tauD//rfe//phnN//gabT//lacZ//fdhF//citG//katE//lyxK//entD//paaK//frdD//
CytR_neg	ssuE//aroL//fadD//glxK//ppiA//ulaG//phnH//sgbE//glpB//entD//
Dan_pos	tnaA//fbaB//
DcuR_pos	cysM//hcp//mraY//cysI//
DeoR_neg	hcaF//hycB//leuC//phnL//hcp//caiB//
DhaR_neg	
DhaR_pos	hycG//
DicA_neg	
DinJ-YafQ_neg	nrfC//
DnaA_neg	fabI//srlD//leuB//fadH//phnN//
DnaA_pos	psd//rffT//frdC//
DpiA_neg	
DpiA_pos	metC//ynfF//fadM//icd//rsmH//
DsdC_neg	
DsdC_pos	prpB//puuB//
EbgR_neg	
EnvR_neg	pnp//alkB//
EnvY_pos	metH//leuB//
EvgA_pos	astD//citC//accD//xylB//guaB//betA//
ExuR_neg	pdeH//uxuA//atoD//aroG//yiaK//prpE//
FabR_neg	frdA//lpxC//
FadR_neg	alsE//pyrC//dkgB//argB//bioA//bioA//ung//polB//gcl//
FadR_pos	sgbE//eno//amn//fadB//malY//epd//garD//hycB//melA//
FeaR_pos	rutB//moaD//
FhlA_pos	frc//pgaB//dhaK//sufS//uvrC//fadI//gatD//
FlhDC_neg	ulaE//fucO//
FlhDC_pos	sufS//dhaL//gor//mazG//atoD//uvrB//betA//uidA//luxS//
FliZ_neg	malS//ruvA//paaF//pdeR//yqhD//
FucR_pos	yeaG//wecB//alkB//ynfE//pgk//dhaK//
Fur_neg	cyoE//purC//truB//lpd//nanK//gabT//guaB//ynfE//melA//xylA//lysC//fau//tynA//dmsC//glgB//mhpD//mtlD//rutC//speB//hcaB//murQ//rbsD//metF//metE//aspC//glnA//poxB//gntK//fau//betB//gltB//hypB//lysA//paaI//lpxD//purF//tyrB//fbaA//trpE//purC//ldtD//tam//hycC//metL//bioD//ilvC//moaE//gcvP//fau//ddlB//mhpB//paaH//glgP//astD//
Fur_pos	cysK//fadJ//pyrC//hycD//phnO//glyA//hycE//aroF//nemA//metF//sufS//glpX//sucB//cadA//ynfE//gutQ//cysD//
GadE-RcsB_pos	hcaB//narH//hycE//cysM//
GadE_pos	lhgO//cueO//torA//chbG//gudD//astC//gnd//gor//hypB//fbaA//
GadW_neg	mhpD//sufS//phnN//
GadW_pos	garR//fruK//phnH//phoA//
GadX_neg	appA//fucO//
GadX_pos	tyrA//gdhA//rdoA//nanM//fabI//wecB//ftnA//ldtB//lpxA//purK//
GalR_neg	glcB//dsdA//pdeH//glpX//citF//citG//
GalR_pos	leuD//metH//mraY//mraY//
GalS_neg	sucD//napA//idnK//mpl//caiA//tehB//
GalS_pos	aroG//fucK//wzc//nanM//
GatR_neg	mhpE//cysN//argA//
GcvA_neg	bioF//gpmA//astA//
GcvA_pos	sgbU//uxaB//iscS//
GlcC_neg	
GlcC_pos	fadA//napC//sdhA//
GlpR_neg	eno//puuE//purL//sdhB//gcl//paaG//gcvH//
GlrR_pos	
GntR_neg	napA//lsrF//prpD//phoA//nrfB//ybaS//paaE//pheS//eno//
GutM_pos	leuB//dgcZ//rhaB//
GutR_neg	argI//aroF//pdeH//
HU_neg	fabA//aroL//napC//edd//bioA//glpK//mhpD//
HU_pos	
HcaR_neg	
HcaR_pos	pdeR//trpE//
HdfR_neg	
HdfR_pos	
HigA_neg	dapD//
HigB-HigA_neg	purE//
HipAB_neg	tam//bioD//
HipB_neg	fabB//mraY//aceF//
HyfR_pos	murG//
HypT_neg	fabZ//astB//
HypT_pos	prpC//paaF//paaF//glk//entE//
IclR_neg	aroL//argG//ahpF//
IdnR_neg	murI//argC//
IdnR_pos	dmsC//pyrC//aceE//cysE//
IlvY_neg	
IlvY_pos	nrfC//
IscR_neg	glgC//murI//ruvA//psd//
IscR_pos	nrfB//aceF//
KdgR_neg	hypB//allB//
KdpE_pos	lysC//
LacI_neg	xylB//tauD//moaA//
LeuO_neg	
LeuO_pos	paaE//caiD//speB//ynfE//leuB//mngB//
LexA_neg	lldD//rffH//metL//paaK//bglB//rbsK//gcvH//paaC//trpE//garL//ycjG//glxR//tyrA//asnB//hypF//glcF//leuA//murI//accC//hcaF//gatZ//
LldR_neg	deoB//mraY//
LldR_pos	pncB//asnB//
LrhA_neg	
LrhA_pos	
LsrR_neg	idnO//fumC//cdd//paaB//leuA//
LysR_neg	
LysR_pos	edd//
MalI_neg	aroG//folE//
MalT_pos	malY//ynfF//glgA//tnaA//adiA//bglB//
MarA_neg	cynT//
MarA_pos	fadJ//chbF//gadB//epd//speA//glmU//ssuE//mltF//accD//chbG//leuB//hycG//pheS//dapB//purC//idnD//entE//lsrF//ttdB//alkB//purM//tauD//
MarR_neg	
MatA_neg	thrS//
MatA_pos	
MazE-MazF_neg	rnpB//
MazE_neg	alaC//
McbR_neg	
McbR_pos	
MelR_neg	purF//waaY//
MelR_pos	tehB//deoA//
MetJ_neg	metC//bioB//atoA//frc//mhpC//xylB//uvrC//xylB//caiB//ahpC//
MetR_neg	sodB//
MetR_pos	fabA//caiB//pepD//icd//
MhpR_pos	sodA//adhE//fau//asnB//gudD//ahpF//
Mlc_neg	fucO//astB//trpB//rdoA//
MlrA_pos	recF//
MngR_neg	fabD//xapA//
MntR_neg	gatZ//
MntR_pos	glgP//
ModE_neg	gatZ//wzb//pdeL//glpD//fadM//amn//ynfE//dapB//
ModE_pos	pdeR//rnpB//murF//sgbU//mazG//ycjG//
MprA_neg	allE//lsrK//hycB//
MqsA_neg	umuC//aceA//
MraZ_neg	rutE//accC//codA//murF//glnA//torA//lysA//tdcE//fadM//oxc//murC//
MtlR_neg	alkA//glpQ//rhaB//
MurR_neg	mpaA//mltF//paaF//
MurR_pos	
Nac_neg	trpC//add//dacC//
Nac_pos	frdC//astB//dmsC//ubiX//murD//pgi//tauD//
NadR_neg	dkgA//paaF//ychF//nanM//
NagC_neg	wzc//gltD//frc//murE//mngB//napB//astB//fbaB//rutC//dhaL//ybjG//nrfD//nemA//yfdE//entH//umuD//fabA//fadM//
NagC_pos	yeaG//glpB//
NanR_neg	rpiB//chbG//citG//dhaL//fadD//pdeR//
NanR_pos	
NarL_neg	chbF//sucA//citE//uidA//yiaK//waaZ//ynfH//napB//xylA//glpK//nemA//narH//nagB//fucO//recF//nrdE//pdeR//tdcB//rffH//tyrA//nanM//fabZ//tktB//arsC//
NarL_pos	adhE//sodB//pgk//umuC//eno//entB//talA//tnaA//murC//rsmH//chbG//lpxD//murC//
NarP_neg	nrfA//ilvC//pgi//
NarP_pos	rffT//lpd//astE//hycB//torC//paaH//dacC//alkB//caiC//glyA//
NemR_neg	idnO//uvrB//
NhaR_pos	dmsA//nemA//torA//pheS//sodA//
NikR_neg	malQ//
NimR_neg	ogt//
NorR_neg	
NorR_pos	adhE//
NrdR_neg	prs//argB//nirD//lpxD//
NsrR_neg	hyi//ndh//narG//lpxD//ynfE//idnO//pyrD//ynfE//nirD//yibQ//bioA//tdcB//ruvA//icd//metK//malZ//pgm//glpA//aceA//carA//xylA//acnA//cysC//dhaM//ybaS//ldtC//malS//hycC//ttdB//murC//lpxA//ynfF//allB//garD//cueO//oxc//
NtrC_neg	leuC//fabZ//
NtrC_pos	rffG//trpC//uxuA//pgaC//fabB//gnd//metC//metB//paaF//entB//gor//rbsD//hycF//alkA//glgB//dhaK//nrdE//sodB//metB//frdB//uxuB//
OmpR_neg	ftsI//entB//aroG//rimK//waaY//
OmpR_pos	uxuA//glgB//lpxD//waaY//
OxyR_neg	glgP//ung//araD//glgB//ubiX//
OxyR_pos	rutB//acnA//purM//sucA//gltD//allE//uxaB//trpB//ahpF//
PaaX_neg	ahpC//mnmG//nrdF//mhpC//cysE//hcaE//nrdA//lysC//nirD//
PdeL_pos	hypF//
PdhR_neg	icd//alaS//astC//eno//pflB//rpiB//moaE//sucC//nagB//galK//hmp//sgbU//metC//mhpB//ubiA//gabD//yfdE//serA//sucA//ugpQ//allE//ldtC//lyxK//accC//
PdhR_pos	entD//ascB//
PepA_neg	cyoE//mhpE//
PgrR_neg	nfsB//frdA//
PhoB_neg	entD//astA//deoB//ung//
PhoB_pos	lsrG//entB//paaI//fbaA//rffT//tyrA//murF//sdhC//paaK//ycjG//fabZ//fumB//mhpA//yfdE//astE//gdhA//
PhoP_neg	fabG//mhpE//tnaA//
PhoP_pos	cysD//aroL//murD//mngB//phnO//tdcD//dgcZ//carB//trpC//bacA//epd//mhpA//ynfG//paaZ//nrdD//mazG//moaA//citC//dapB//dkgB//glmS//idnD//srlD//fadD//glyA//nirB//yibQ//puuA//deoA//tam//murI//sdhA//
PrpR_neg	
PrpR_pos	sdhD//lsrK//cysD//tdcB//
PspF_neg	
PspF_pos	iscS//
PurR_neg	betB//rffT//nemA//allB//citD//gor//accC//glcF//murD//gor//bioD//phnO//gcvT//phnM//xylA//nirD//tdcB//iscS//mhpB//icd//xapA//astA//paaZ//alaC//lsrG//phnI//
PutA_neg	cysH//hycC//
PuuR_neg	hcaD//phnM//fucU//deoC//metA//pheS//
QseB_pos	
RbsR_neg	paaI//ftsI//phoA//betA//galT//
RbsR_pos	pdeH//
RcdA_neg	
RcdA_pos	adiA//
RclR_pos	
RcnR_neg	moaA//
RcsAB_neg	entE//
RcsAB_pos	gabD//cysK//
RcsB-BglJ_pos	phoA//atoD//
RcsB_neg	deoC//
RcsB_pos	phnJ//leuC//tehB//
RelB-RelE_neg	glpA//
RelB_neg	accA//
RhaR_pos	
RhaS_pos	aroL//gatY//glpQ//galT//
Rob_neg	
Rob_pos	mdh//ruvA//lysA//napH//cysJ//waaZ//frdD//fruK//pgk//waaZ//torC//glmS//lpxC//deoB//entC//leuA//betA//pncB//kbaY//
RstA_neg	leuD//dgcZ//
RstA_pos	gntK//
RtcR_pos	dmsC//tyrB//
RutR_neg	recF//murF//gntK//argI//purE//accC//tpiA//aceF//speB//fabH//
RutR_pos	glmS//
SdiA_neg	
SdiA_pos	
SgrR_neg	ogt//
SgrR_pos	araA//lyxK//
SlyA_pos	
SoxR_neg	
SoxR_pos	nfsB//
SoxS_neg	
SoxS_pos	fabH//ogt//moeA//nrfD//guaA//glxR//entB//edd//fabH//cynS//deoB//glmU//cysJ//tdcG//glmS//deoC//rffH//gadA//hypF//cysD//malP//cyoE//entA//tyrB//sdhA//yfbR//
StpA_neg	nrdB//ahpF//nanE//
SutR_neg	leuB//glpD//
SutR_pos	
TdcA_pos	sucA//murD//purK//uxuA//pck//
TdcR_pos	mhpA//serA//leuD//treC//trpC//
TorR_neg	entB//
TorR_pos	umpH//argC//yibQ//
TreR_neg	dhaK//hcaB//
TrpR_neg	hyaA//yiaK//udp//metH//hyaB//serA//cueO//pyrD//lysA//
TyrR_neg	hycF//rhaA//rffH//ldtC//glcF//pyrD//gdhA//
TyrR_pos	mpaA//gntK//uxaC//
UhpA_pos	cynS//
UidR_neg	lyxK//bglB//
UlaR_neg	cysG//sdhD//ribA//gltD//napG//
UvrY_pos	gntK//ulaF//
UxuR_neg	hycE//gatD//cysG//wzc//sgbU//
XapR_pos	carB//narH//
XylR_neg	
XylR_pos	mngB//yqjH//tdcE//
YdeO_neg	
YdeO_pos	folA//puuC//cueO//
YedW_neg	dmsB//deoB//
YedW_pos	ynfF//
YefM-YoeB_neg	nrdA//
YefM_neg	epd//
YehT_pos	
YeiL_pos	
YiaJ_neg	ybjG//fabB//ynfF//waaY//fadI//astB//
YjjQ_neg	hemH//
YpdB_pos	
YqhC_pos	citX//wecB//
YqjI_neg	purA//
ZntR_pos	cynS//
ZraR_pos	
Zur_neg	eda//
