# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	betB//iscS//
EnvY_pos	ynfE//gudD//
EvgA_pos	gltD//pykF//dhaK//phnO//aldA//gntK//
ExuR_neg	trpE//cynS//folE//zwf//narI//srlD//
FabR_neg	pdeH//eno//
FadR_neg	acnB//paaA//yeaG//speB//rutC//pck//nagB//metC//cadA//
FadR_pos	gnd//serA//fabB//pagP//gadA//folE//iscS//glnA//leuC//
FeaR_pos	idnD//fucI//
FhlA_pos	uvrA//edd//pncB//dgcZ//astC//ynfE//tdcE//
FlhDC_neg	fruK//purB//
FlhDC_pos	murC//citE//glcE//malS//nagA//atoD//pgaC//rfe//fes//
FliZ_neg	aspC//tynA//rfe//malP//pgaB//
FucR_pos	entA//rffM//phnM//rffM//udp//gadB//
Fur_neg	phnM//araB//xylA//uxuB//xylB//cynT//ribA//nadB//sdhB//moaE//dapD//bioC//narH//rhaD//fucU//hycE//slt//fadM//sucA//fabI//argH//folE//mhpA//moeA//fadI//kbaY//cynS//mpaA//pgaB//guaB//sodA//srlD//hcp//fucA//narI//bioF//nrdF//glpD//mazG//purC//fabA//glnA//folE//fadJ//epd//ulaF//galT//leuB//lpxA//ddlB//tnaA//glyA//wrbA//ybjG//
Fur_pos	hcaD//fucO//atoA//hycG//uxaA//speB//nfsA//atoA//gcl//metB//speA//melA//rsmH//pdeR//bioD//fabA//melA//
GadE-RcsB_pos	ybjG//accD//mhpA//adhE//
GadE_pos	trpB//ynfH//metE//fucK//nrdD//glgB//nagA//dhaM//leuC//aceA//
GadW_neg	alsE//ftsI//purA//
GadW_pos	lsrF//argE//astC//entC//
GadX_neg	nirB//ugpQ//
GadX_pos	xapA//puuB//folA//udp//entB//pepD//purF//ycjG//rimK//galK//
GalR_neg	idnO//pykF//sdhD//ppc//gatZ//ttdA//
GalR_pos	tdcG//rutD//recF//xylB//
GalS_neg	caiC//metB//uxaB//glpD//moaE//glpD//
GalS_pos	nfsB//puuD//moeA//gpmM//
GatR_neg	uxaB//mdh//glpD//
GcvA_neg	gpmA//epd//gltD//
GcvA_pos	nanK//rbsD//oxc//
GlcC_neg	
GlcC_pos	fucO//uxuB//hyaB//
GlpR_neg	yfdE//hycG//uxaB//fadM//phnG//bioF//pepD//
GlrR_pos	
GntR_neg	prs//dinB//rutB//ulaD//purB//gpmA//gpmM//gltD//glmS//
GutM_pos	aceA//pdeR//uxuA//
GutR_neg	citD//ppc//dhaK//
HU_neg	phnH//ulaD//chbF//puuE//truB//pdeR//zwf//
HU_pos	
HcaR_neg	
HcaR_pos	napB//murG//
HdfR_neg	
HdfR_pos	
HigA_neg	purN//
HigB-HigA_neg	argC//
HipAB_neg	gloA//feaB//
HipB_neg	hcaC//ruvA//katG//
HyfR_pos	nrfC//
HypT_neg	ppsA//speA//
HypT_pos	purB//cyoE//phnO//gltB//ruvB//
IclR_neg	cyoE//trpA//fabI//
IdnR_neg	nirB//citC//
IdnR_pos	wecC//fadA//hyaB//paaC//
IlvY_neg	
IlvY_pos	melA//
IscR_neg	glmS//glgB//allE//mpaA//
IscR_pos	puuD//nanA//
KdgR_neg	cynS//bioF//
KdpE_pos	wzc//
LacI_neg	nrfB//ychF//tdcB//
LeuO_neg	
LeuO_pos	napG//cadA//cysG//metB//atoA//fadJ//
LexA_neg	hypF//rnpB//guaA//allA//ynfF//tadA//phoA//glcD//frc//bioC//allC//phr//deoB//accC//hcp//argI//mpl//gltB//appA//gadB//lacZ//
LldR_neg	uxuB//mhpC//
LldR_pos	fumC//citD//
LrhA_neg	
LrhA_pos	
LsrR_neg	xylA//cysN//accC//fadE//allB//
LysR_neg	
LysR_pos	feaB//
MalI_neg	tam//fadM//
MalT_pos	galT//ahpF//phnG//tyrA//fabA//pheT//
MarA_neg	eda//
MarA_pos	talA//entF//pheT//araD//napC//gatY//leuC//polA//gatZ//patD//hyi//appA//sdhB//glmS//uxaA//gloA//folE//poxB//mhpA//tdcD//paaB//moaE//
MarR_neg	
MatA_neg	glcD//
MatA_pos	
MazE-MazF_neg	hycF//
MazE_neg	lpd//
McbR_neg	
McbR_pos	
MelR_neg	metA//hycD//
MelR_pos	fbaB//hyi//
MetJ_neg	sucA//gudD//phnP//carB//nadA//glyA//pdeH//poxB//rutA//serA//
MetR_neg	hypB//
MetR_pos	glpA//fadI//dhaL//murG//
MhpR_pos	accA//lpxA//paaY//nanE//cysD//astB//
Mlc_neg	hcaC//fruK//gabD//mpaA//
MlrA_pos	prpE//
MngR_neg	yqjH//moaE//
MntR_neg	aroG//
MntR_pos	aroH//
ModE_neg	lpxC//acnB//lsrF//tktB//allA//bioA//lpd//gatY//
ModE_pos	cysG//putA//glk//phr//moaA//ascB//
MprA_neg	fucI//fadE//pck//
MqsA_neg	ldtC//appA//
MraZ_neg	sdhA//pepD//uxaA//malZ//glpB//appA//argH//glcE//gdhA//sucD//aroF//
MtlR_neg	yfbR//phoA//frdA//
MurR_neg	mdh//nadA//metF//
MurR_pos	
Nac_neg	citE//cysM//fabD//
Nac_pos	aspA//rbsD//fau//epd//paaG//dgkA//tadA//
NadR_neg	allC//malZ//rsmH//ugpQ//
NagC_neg	slt//cysC//nrfD//katE//lpd//prpC//nrfC//rhaA//xylB//fadA//napG//galM//carB//arsC//atoD//yfbR//tktB//fadE//
NagC_pos	gadB//glpA//
NanR_neg	malQ//frc//gudD//accC//kbaZ//ada//
NanR_pos	
NarL_neg	hemL//malQ//srlD//garD//relA//kbaY//moeB//rdoA//yeaG//caiA//hypB//torC//tehB//ubiC//pdeR//fabH//acnA//rimK//astE//wecB//leuA//dapB//paaB//chbG//
NarL_pos	bacA//hcp//alkB//ugpQ//dhaK//trpE//nrdF//caiB//purF//pnp//dgkA//malS//glmS//
NarP_neg	araD//mraY//pgaC//
NarP_pos	bioF//adhE//malZ//gloA//argB//metF//gcvH//phnI//tktB//metA//
NemR_neg	icd//torA//
NhaR_pos	lsrG//murG//ascB//fucU//ulaG//
NikR_neg	gatY//
NimR_neg	recF//
NorR_neg	
NorR_pos	dmsC//
NrdR_neg	torC//narH//hyaB//phnO//
NsrR_neg	purB//nrdD//rffM//fadH//waaZ//malZ//nirB//paaG//dhaK//argC//glcB//talA//trpA//metC//frdD//ybjG//paaK//xylA//prs//phnI//mraY//codA//nemA//udp//bacA//pgk//citX//mraY//umuC//pdeR//fucO//fabA//paaI//prpC//allC//gapA//
NtrC_neg	mpaA//tdcB//
NtrC_pos	aroG//eda//moaD//adiA//pyrD//glcF//rutA//feaB//dmsA//pck//glxK//glpK//uidA//napG//prpC//nrfC//speB//nagB//mngB//purM//galT//
OmpR_neg	polB//srlD//fumB//ulaF//aspC//
OmpR_pos	gpmM//fucO//purD//yeaE//
OxyR_neg	ndh//umuD//fucU//mhpE//hypB//
OxyR_pos	pgk//hycD//sgbE//glgC//frdA//glgP//phr//katE//dkgB//
PaaX_neg	sdhA//sgbE//nanE//galK//paaG//fumB//fadB//yiaK//metC//
PdeL_pos	chbG//
PdhR_neg	pnp//srlD//cysM//uxaC//yfbR//fabZ//aroL//gloA//lysC//hypF//patD//ybjG//murE//hyaC//yeaE//fadM//ppc//codA//lacA//astD//fucA//fabH//asnB//oxc//
PdhR_pos	ftsI//fadD//
PepA_neg	speB//nadB//
PgrR_neg	entA//pdeR//
PhoB_neg	gadA//hycD//rnpB//cysC//
PhoB_pos	uvrB//deoB//dhaL//gatD//rfe//lacA//sdhD//ttdB//torC//speA//leuC//garD//dkgA//patA//uxaC//lsrK//
PhoP_neg	narG//mhpF//mdh//
PhoP_pos	katE//wrbA//rpiB//lsrG//nrdA//mraY//guaA//ldtD//rfe//accA//lpd//citF//tauD//tdcG//cysK//adiA//cueO//rsmH//dinB//murQ//murE//alkA//purK//fabZ//xylA//paaJ//patA//glxK//recF//fabG//ldtC//paaC//
PrpR_neg	
PrpR_pos	ynfH//frdC//adhE//glgA//
PspF_neg	
PspF_pos	mtlD//
PurR_neg	add//murG//fadA//ftsI//citE//tpiA//sgbE//cueO//cysK//gcvT//fabG//tktB//ada//gatD//hyaC//frdD//tdcG//tpiA//rffG//carB//adhE//aceE//cynS//allA//udp//ychF//
PutA_neg	mnmG//mhpF//
PuuR_neg	pnp//bioB//kbaY//argG//srlD//add//
QseB_pos	
RbsR_neg	deoB//patD//rffH//speA//cysN//
RbsR_pos	mnmG//
RcdA_neg	
RcdA_pos	uvrA//
RclR_pos	
RcnR_neg	katG//
RcsAB_neg	ldtB//
RcsAB_pos	thrS//truB//
RcsB-BglJ_pos	fadH//frdB//
RcsB_neg	deoA//
RcsB_pos	pyrD//sdhB//alsE//
RelB-RelE_neg	ubiC//
RelB_neg	ulaD//
RhaR_pos	
RhaS_pos	cysH//arsC//hmp//gloA//
Rob_neg	
Rob_pos	ynfG//pdeR//glgC//pyrC//purE//metA//ynfF//glgC//sdhB//fucO//prs//metF//nadA//ulaG//sdhA//dacC//pheT//betB//ycjG//
RstA_neg	trpE//argE//
RstA_pos	leuC//
RtcR_pos	caiC//phr//
RutR_neg	mltF//fucK//puuE//garL//waaZ//prpB//tnaA//dmsB//cysJ//ubiX//
RutR_pos	moaD//
SdiA_neg	
SdiA_pos	
SgrR_neg	oxc//
SgrR_pos	pgaC//rnpB//
SlyA_pos	
SoxR_neg	
SoxR_pos	guaB//
SoxS_neg	
SoxS_pos	leuC//ynfH//yeaE//idnO//rhaD//ung//frdB//hyaC//rffH//glcE//phoA//nirD//galE//hypF//bioC//ulaF//cysK//caiC//galT//ulaE//rutC//citG//malP//deoD//add//nemA//
StpA_neg	glcB//tdcD//kbaZ//
SutR_neg	glcF//feaB//
SutR_pos	
TdcA_pos	dgcZ//acnA//ubiA//phnM//aroH//
TdcR_pos	napA//nrdB//serA//ftsI//fucK//
TorR_neg	pdeL//
TorR_pos	kbaZ//rbsD//dapD//
TreR_neg	hycG//atoA//
TrpR_neg	hcaC//gapA//dkgB//glgC//pck//dhaM//rfe//ppc//argB//
TyrR_neg	sgbH//argG//tyrA//wrbA//sucC//ada//ynfF//
TyrR_pos	purK//lsrK//adiA//
UhpA_pos	nrdB//
UidR_neg	mhpB//sucB//
UlaR_neg	wecC//caiB//purE//purB//waaH//
UvrY_pos	allD//gatY//
UxuR_neg	aroL//gntK//nadB//purN//fumB//
XapR_pos	xapA//hcaC//
XylR_neg	
XylR_pos	cynT//recF//asnA//
YdeO_neg	
YdeO_pos	frdA//citE//astD//
YedW_neg	tauD//polA//
YedW_pos	fumB//
YefM-YoeB_neg	melA//
YefM_neg	astC//
YehT_pos	
YeiL_pos	
YiaJ_neg	thrS//rffC//gltD//tdcD//rffM//ppc//
YjjQ_neg	gntK//
YpdB_pos	
YqhC_pos	accB//hcaE//
YqjI_neg	pgaC//
ZntR_pos	waaZ//
ZraR_pos	
Zur_neg	hycC//
