# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	ppsA//katE//
KdpE_pos	gadA//
LacI_neg	pgaB//sucB//lacZ//
LeuO_neg	
LeuO_pos	murG//fruK//glpC//hemL//moaD//argF//
LexA_neg	fau//cynS//fucU//murG//nrdD//accB//ahpF//hyaC//deoA//atoB//torA//frdA//zwf//fucK//aroG//pgk//gltB//fumC//glcE//argG//yeaG//
LldR_neg	tdcG//gpmM//
LldR_pos	wecC//gcl//
LrhA_neg	
LrhA_pos	
LsrR_neg	galM//umpH//entF//argH//wzc//
LysR_neg	
LysR_pos	purE//
MalI_neg	gatZ//fbaA//
MalT_pos	tdcD//pspE//aldA//nrdF//purL//rdoA//
MarA_neg	fadI//
MarA_pos	tktB//adhE//udp//rutE//paaY//trpE//allA//purH//dsdA//waaY//sucB//fadA//uvrC//putA//paaY//relA//sodB//bioA//paaZ//gltD//nagB//ppc//
MarR_neg	
MatA_neg	puuB//
MatA_pos	
MazE-MazF_neg	rutC//
MazE_neg	umuD//
McbR_neg	
McbR_pos	
MelR_neg	trpA//purC//
MelR_pos	araD//ynfF//
MetJ_neg	uvrA//acnB//tnaA//paaC//glpC//ubiX//dapD//pgm//phnN//purN//
MetR_neg	rdoA//
MetR_pos	araA//caiB//paaF//aspC//
MhpR_pos	hyaB//xylA//paaB//fbaA//cadA//sgbU//
Mlc_neg	adhE//rffC//umuD//accA//
MlrA_pos	hemL//
MngR_neg	nrfA//pyrD//
MntR_neg	glmU//
MntR_pos	malY//
ModE_neg	dgcZ//rutB//dhaK//nanE//tyrA//speB//tadA//deoD//
ModE_pos	melA//gloA//ilvC//rutE//nirD//ttdA//
MprA_neg	umuC//aroL//glcB//
MqsA_neg	ulaE//glmU//
MraZ_neg	gpmA//hyaB//fbaB//paaA//glgC//bioB//glmS//dhaK//nagB//nrfC//entH//
MtlR_neg	tdcD//aroH//sucB//
MurR_neg	atoD//fumC//sodA//
MurR_pos	
Nac_neg	rffM//fucI//treC//
Nac_pos	purD//nfsA//tdcG//purB//leuC//citF//hycE//
NadR_neg	gcvP//leuB//sdhB//chbF//
NagC_neg	napG//xylB//gnd//pspE//fabD//fucK//allB//purK//glxR//allB//fadM//uvrA//mnmG//pagP//dacC//moaD//ung//narG//
NagC_pos	uxaA//araB//
NanR_neg	trpC//rdoA//purD//zwf//ampC//malQ//
NanR_pos	
NarL_neg	uxaA//nadA//glxR//adhE//gloA//argE//ldtB//treC//astC//srlD//purB//leuD//dgkA//mhpE//torA//umuD//araB//murD//wecB//puuC//glxR//mhpC//paaC//fbaA//
NarL_pos	fumB//cysI//gudD//glcD//nagB//garD//sucB//phnH//tpiA//glmU//aroL//gatD//gcvH//
NarP_neg	pgi//murD//fumC//
NarP_pos	purH//iscS//napC//speA//cysE//uxuA//moaA//allB//cysD//murQ//
NemR_neg	yiaK//napG//
NhaR_pos	ruvA//hyaC//aroL//gpmM//argB//
NikR_neg	glgX//
NimR_neg	dacC//
NorR_neg	
NorR_pos	rnpB//
NrdR_neg	sucA//uvrC//rbsK//cysC//
NsrR_neg	nfsA//uxuA//mhpE//trpA//pspE//rnpB//phnN//sdhB//pdeH//argF//nagA//fabG//napH//hycC//dacC//ldtD//folA//cysC//fumC//yiaK//glgP//zwf//sufS//nemA//alaS//argA//pdeL//gcvH//appA//fucO//tauD//speA//pdeR//dhaK//moaE//glpQ//
NtrC_neg	uxaC//acnB//
NtrC_pos	citC//astD//gatD//argE//leuD//rutB//mhpD//cysG//araD//mpaA//murG//hyaC//gpmA//glxK//gutQ//wzb//glpC//purA//purD//murD//dapD//
OmpR_neg	astB//carA//rnpB//argI//umuC//
OmpR_pos	sufS//chbG//guaA//glxK//
OxyR_neg	paaB//moeA//fucU//psd//gatD//
OxyR_pos	nrfC//metA//epd//bioA//mhpF//yqhD//speB//ssuD//argI//
PaaX_neg	phoA//chbG//hcaF//lhgO//ppsA//entF//paaC//fabG//deoC//
PdeL_pos	aspA//
PdhR_neg	ynfH//lsrF//rffG//sufS//mazG//tpiA//glgX//carB//mltF//wzb//argG//moaA//gutQ//accB//sgbE//lhgO//phnG//tpiA//pgm//fabI//napC//rhaA//glyA//idnK//
PdhR_pos	metH//paaA//
PepA_neg	mdh//fes//
PgrR_neg	ynfE//ndh//
PhoB_neg	rutA//ybaS//gabD//lsrF//
PhoB_pos	asnA//pfkA//dhaK//ychF//fabI//asnB//cynS//napC//puuE//hycE//caiA//bioA//paaF//carA//fau//yiaK//
PhoP_neg	cysI//pgaD//nrdB//
PhoP_pos	hyaC//sgbU//uvrB//fabB//alaS//nrdE//fes//galK//murF//uxuB//aspA//paaI//nirB//bacA//rutB//gdhA//glgC//nanE//pgaB//paaB//allA//murQ//paaB//nadA//dapD//moaE//galT//nrfD//gadA//murD//napA//mpaA//
PrpR_neg	
PrpR_pos	paaJ//accD//hycE//ychF//
PspF_neg	
PspF_pos	phnH//
PurR_neg	puuD//add//uxuB//glgB//entF//rhaA//allB//paaA//deoB//paaF//patD//glgC//accB//deoB//purE//rsmH//nadB//mpaA//nrdE//glpK//sdhC//sodB//fau//lpd//dacC//aceE//
PutA_neg	cueO//umpH//
PuuR_neg	glpC//sodA//caiB//idnK//phnH//accB//
QseB_pos	
RbsR_neg	katG//caiA//ulaE//metB//torA//
RbsR_pos	nrdB//
RcdA_neg	
RcdA_pos	betA//
RclR_pos	
RcnR_neg	gatZ//
RcsAB_neg	puuD//
RcsAB_pos	idnD//wrbA//
RcsB-BglJ_pos	ddlB//fabA//
RcsB_neg	alkA//
RcsB_pos	hypB//gltD//lpxD//
RelB-RelE_neg	paaF//
RelB_neg	ulaE//
RhaR_pos	
RhaS_pos	nfsB//polA//ubiA//thrS//
Rob_neg	
Rob_pos	purF//lpxD//dmsA//patD//iscS//srlD//sgbE//tam//araB//fabG//phnO//fucA//prpD//atoA//fabB//atoA//appA//moeB//metB//
RstA_neg	sdhD//umuD//
RstA_pos	paaG//
RtcR_pos	galM//cysJ//
RutR_neg	betA//fucO//ftnA//pagP//gcl//cynS//hypF//fucO//sucA//kbaZ//
RutR_pos	ubiX//
SdiA_neg	
SdiA_pos	
SgrR_neg	hycF//
SgrR_pos	purD//yeaE//
SlyA_pos	
SoxR_neg	
SoxR_pos	purB//
SoxS_neg	
SoxS_pos	deoD//tdcG//pck//cysI//hcaF//lsrF//glmS//uxaC//paaG//idnO//udp//fbaA//sgbH//carA//betA//tyrB//accD//fbaA//wzc//rnpB//sgbU//ascB//fau//speA//deoA//allD//
StpA_neg	tdcD//fabD//tdcG//
SutR_neg	cysG//glyA//
SutR_pos	
TdcA_pos	purF//puuB//argI//murF//hypF//
TdcR_pos	ulaG//frdB//uvrC//bioB//hycB//
TorR_neg	pdeH//
TorR_pos	feaB//bioF//trpB//
TreR_neg	patD//deoD//
TrpR_neg	pdeL//metK//wzb//relA//ruvA//araD//thrS//phnM//glpQ//
TyrR_neg	ulaD//entC//nfsB//malZ//nagB//napH//pdeR//
TyrR_pos	fucK//fabG//galK//
UhpA_pos	recF//
UidR_neg	pgaC//sdhD//
UlaR_neg	fes//caiD//fadM//ahpC//hypB//
UvrY_pos	uxaC//nrfB//
UxuR_neg	citC//napA//glmS//psd//gcvT//
XapR_pos	paaC//glcD//
XylR_neg	
XylR_pos	putA//bioD//deoB//
YdeO_neg	
YdeO_pos	yiaK//rffM//pck//
YedW_neg	trpB//glgX//
YedW_pos	pheS//
YefM-YoeB_neg	torC//
YefM_neg	katE//
YehT_pos	
YeiL_pos	
YiaJ_neg	appA//metE//ssuD//cyoE//bioD//mazG//
YjjQ_neg	fucA//
YpdB_pos	
YqhC_pos	lpxC//ulaF//
YqjI_neg	recF//
ZntR_pos	speA//
ZraR_pos	
Zur_neg	atoA//
