# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	garR//chbG//
GlrR_pos	
GntR_neg	metL//speA//prpE//phnG//fabA//umuD//lyxK//gatY//pyrC//
GutM_pos	glpQ//chbF//bioA//
GutR_neg	pflB//sucC//dmsC//
HU_neg	ung//rnpB//malQ//wecB//purK//allC//bioF//
HU_pos	
HcaR_neg	
HcaR_pos	bacA//frdA//
HdfR_neg	
HdfR_pos	
HigA_neg	bioC//
HigB-HigA_neg	aroF//
HipAB_neg	purK//prpC//
HipB_neg	deoC//glpD//murD//
HyfR_pos	glpK//
HypT_neg	murI//hcaD//
HypT_pos	rbsK//hcp//rutB//yqjH//nanK//
IclR_neg	hmp//gatD//waaH//
IdnR_neg	nadB//bioB//
IdnR_pos	phnJ//fucO//phnG//guaB//
IlvY_neg	
IlvY_pos	entH//
IscR_neg	tdcB//lysC//fadI//astC//
IscR_pos	fadI//leuB//
KdgR_neg	ldtD//hcaB//
KdpE_pos	purK//
LacI_neg	nrfC//ulaF//pgaB//
LeuO_neg	
LeuO_pos	waaZ//mpl//murG//rbsD//lsrG//ppiA//
LexA_neg	fabH//cdd//hcaF//pspE//pgi//ppsA//fbaB//lysC//glcD//fucO//mazG//ulaG//hycB//pheS//glpQ//garD//dhaM//edd//dacC//arsC//mhpF//
LldR_neg	caiA//rbsD//
LldR_pos	ftnA//alaS//
LrhA_neg	
LrhA_pos	
LsrR_neg	hyi//moeB//feaB//mhpC//napG//
LysR_neg	
LysR_pos	xapA//
MalI_neg	cysG//hemL//
MalT_pos	puuB//alsE//araA//citF//fadJ//argI//
MarA_neg	yeaE//
MarA_pos	fumC//dgkA//allA//bioD//pdeR//patD//pdeR//nfsA//lpxA//lyxK//fruK//ascB//aldA//dhaK//codA//araA//gabT//speA//argH//accD//purB//fadA//
MarR_neg	
MatA_neg	poxB//
MatA_pos	
MazE-MazF_neg	dmsB//
MazE_neg	malP//
McbR_neg	
McbR_pos	
MelR_neg	aceA//umuC//
MelR_pos	dgcZ//frdA//
MetJ_neg	araA//adiA//prpC//phnH//atoB//dsdA//waaH//leuC//icd//cyoE//
MetR_neg	katG//
MetR_pos	gnd//sufS//metC//cysH//
MhpR_pos	ftnA//pdeH//cynS//sgbE//gpmM//lhgO//
Mlc_neg	galE//thrS//aldA//eno//
MlrA_pos	dhaK//
MngR_neg	ugpQ//prpC//
MntR_neg	dhaK//
MntR_pos	nemA//
ModE_neg	purA//thrS//glpQ//aroF//glpK//fabI//entD//metB//
ModE_pos	lpd//nemA//dkgA//ppsA//murC//murE//
MprA_neg	nrdE//phoA//pgaC//
MqsA_neg	hyaC//yeaE//
MraZ_neg	ycjG//garD//sucC//fruK//ycjG//phnN//prs//malY//lyxK//ldtB//appA//
MtlR_neg	astC//ulaD//caiA//
MurR_neg	nemA//lsrG//murE//
MurR_pos	
Nac_neg	argD//allB//pncB//
Nac_pos	garL//sucA//deoB//gcvP//argH//accD//amn//
NadR_neg	ynfE//xapA//phnN//prpD//
NagC_neg	ynfH//yibQ//pyrD//hycG//nrfA//astB//nrfA//mpl//hyaC//astE//carB//polA//uidA//glpA//bioB//murF//rffG//chbG//
NagC_pos	nanA//nrfD//
NanR_neg	cysD//glpX//purL//paaZ//fadA//dgcZ//
NanR_pos	
NarL_neg	rbsD//fbaB//fabZ//entB//rbsK//ribA//amn//glxR//murE//folE//glpD//torA//sgbE//glpA//bglB//rimK//gntK//ndh//ascB//murC//nanM//caiC//entC//pepD//
NarL_pos	ldtD//gpmA//ynfF//psd//phnI//cysM//mazG//tadA//argE//hycB//hyi//dacC//fucU//
NarP_neg	nadB//gdhA//rdoA//
NarP_pos	aceB//dmsA//murG//rutB//aceF//moeB//aroL//pnp//ldtC//metA//
NemR_neg	prs//pgpC//
NhaR_pos	sucB//pepD//napG//allA//ttdB//
NikR_neg	hycC//
NimR_neg	nfsB//
NorR_neg	
NorR_pos	hyaB//
NrdR_neg	galM//patD//ddlB//glpX//
NsrR_neg	galT//cueO//pheS//asnB//pgi//bioA//sgbE//wecC//ahpC//cyoE//glmS//prs//caiC//citF//pyrD//ssuD//argB//ssuE//glpD//citG//gcvH//aceA//murC//ubiA//pagP//citF//fadI//sgbE//argI//aspA//mnmG//wrbA//phnN//glxK//murE//uxuB//
NtrC_neg	wzb//waaY//
NtrC_pos	ppc//glgP//purL//luxS//tam//bioF//lpxC//ttdB//gpmA//nagB//ftsI//fabH//ribA//lysC//rffG//mtlD//gudD//yeaG//fadH//malZ//rffH//
OmpR_neg	ulaG//purE//fabZ//lysC//epd//
OmpR_pos	amn//hycC//gcvP//luxS//
OxyR_neg	folA//dhaM//moaA//argH//yfdE//
OxyR_pos	rdoA//ynfG//dinB//entB//caiD//purM//prpC//glmU//tdcB//
PaaX_neg	uxuA//pnp//gadA//lacZ//trpE//truB//aceF//fabG//gadB//
PdeL_pos	pck//
PdhR_neg	prpC//murD//gntK//frdA//aspC//aceA//phnI//garR//fadB//paaZ//purL//fadM//uvrB//slt//ribA//araA//hcaB//cysK//mhpA//lpxA//argI//dmsA//fabZ//serA//
PdhR_pos	deoB//ada//
PepA_neg	metL//cysN//
PgrR_neg	argD//paaI//
PhoB_neg	paaI//cadA//carA//gadA//
PhoB_pos	tktB//rffT//patD//argE//cysI//purH//moaA//pfkA//epd//cysN//yeaE//appA//glpK//cadA//glpB//hypF//
PhoP_neg	phnI//wzb//pdeH//
PhoP_pos	fadH//glgB//astD//ynfF//alaC//murD//mhpD//mnmG//sgbU//atoB//purN//tyrB//napG//trpB//lhgO//napB//truB//puuB//ttdB//mltF//paaC//dmsA//nrfB//entE//talA//oxc//luxS//pyrC//lacZ//frdD//gcvH//glpC//
PrpR_neg	
PrpR_pos	entE//lhgO//hmp//fumC//
PspF_neg	
PspF_pos	ddlB//
PurR_neg	trpE//fadA//yqjH//dacC//eno//accD//purB//cdd//ldtB//katG//serA//prs//fumC//hcaD//torA//lyxK//glpX//aceB//rdoA//metB//aspA//purK//srlD//malY//murI//gapA//
PutA_neg	hyaA//fucA//
PuuR_neg	gcvP//moaD//mpaA//chbF//cynS//rutE//
QseB_pos	
RbsR_neg	narG//ppiA//deoC//fau//galE//
RbsR_pos	paaA//
RcdA_neg	
RcdA_pos	cysN//
RclR_pos	
RcnR_neg	frdA//
RcsAB_neg	caiB//
RcsAB_pos	pspE//nanK//
RcsB-BglJ_pos	argF//gntK//
RcsB_neg	nagB//
RcsB_pos	idnD//cysK//trpD//
RelB-RelE_neg	fabI//
RelB_neg	glpK//
RhaR_pos	
RhaS_pos	yqhD//ssuD//purD//mltF//
Rob_neg	
Rob_pos	araD//glpK//xylA//ppiA//paaE//araB//fadB//napA//murQ//torA//mazG//cueO//deoC//serA//betA//tadA//mpaA//ahpF//paaY//
RstA_neg	fabH//gcl//
RstA_pos	gatD//
RtcR_pos	nirB//hyi//
RutR_neg	phnM//yeaE//leuB//cysC//glgX//cadA//umpH//glpB//rnpB//eda//
RutR_pos	iscS//
SdiA_neg	
SdiA_pos	
SgrR_neg	fadM//
SgrR_pos	ulaE//glyA//
SlyA_pos	
SoxR_neg	
SoxR_pos	frc//
SoxS_neg	
SoxS_pos	relA//astB//fumB//mhpE//edd//phr//mhpC//pnp//lyxK//uxuA//trpD//galE//purL//guaB//wrbA//rhaA//phnN//fadB//ruvB//glcD//argI//gntK//accD//ldtB//fabZ//murC//
StpA_neg	murQ//udp//aldA//
SutR_neg	sdhC//rutD//
SutR_pos	
TdcA_pos	lpd//gcvH//paaC//hmp//dinB//
TdcR_pos	aceF//torA//waaY//hyi//ychF//
TorR_neg	purN//
TorR_pos	hcaF//gcvT//sucA//
TreR_neg	paaY//gpmA//
TrpR_neg	rnpB//argB//nrdE//nanM//gudD//ampC//allD//edd//glk//
TyrR_neg	murD//ynfH//entH//eno//yeaG//sucD//aldA//
TyrR_pos	lpd//rnpB//pykF//
UhpA_pos	pck//
UidR_neg	tnaA//mhpE//
UlaR_neg	mazG//purF//hyaB//rhaA//mhpB//
UvrY_pos	deoD//allC//
UxuR_neg	sucA//yeaG//murD//iscS//pyrC//
XapR_pos	purH//pdeL//
XylR_neg	
XylR_pos	gntK//umpH//tdcD//
YdeO_neg	
YdeO_pos	murC//nirB//tynA//
YedW_neg	gatY//citD//
YedW_pos	ilvC//
YefM-YoeB_neg	bioF//
YefM_neg	uidA//
YehT_pos	
YeiL_pos	
YiaJ_neg	chbG//pflB//hycC//pgm//xapA//nirB//
YjjQ_neg	astE//
YpdB_pos	
YqhC_pos	slt//garK//
YqjI_neg	glpQ//
ZntR_pos	fadH//
ZraR_pos	
Zur_neg	uxuA//
