# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	purL//gadB//
Cra_neg	paaH//ftnA//alaC//glpD//cysJ//nrfD//allC//fdhF//aroG//wecB//guaA//serA//glpB//cysE//lysA//allE//sufS//entC//hcp//nrdE//pyrC//gdhA//accD//galK//sucC//galK//yeaG//fucO//gudD//gcvP//gatY//nagB//phnN//mhpE//uxaA//nanM//pdeH//entH//purD//fucO//aceB//leuC//ldtD//malQ//pyrD//glpQ//
Cra_pos	paaA//guaB//citD//fabD//cysN//galK//slt//gutQ//zwf//narI//dmsA//rhaB//rpiB//aceE//acnA//codA//garR//
CreB_neg	guaA//
CreB_pos	slt//
CsgD_neg	napB//purB//
CsgD_pos	hcaE//xylA//fau//
CsiR_neg	rffM//mhpF//ampC//ubiC//
CspA_pos	ubiC//
CueR_neg	lpxD//guaB//
CueR_pos	argB//sucB//
CusR_pos	ahpC//purN//dhaL//
CynR_neg	
CynR_pos	frc//aspC//rpiB//
CysB_neg	aroH//murE//glk//
CysB_pos	argF//tdcG//frdD//aroH//galT//rffC//pspE//glmU//fucI//ttdA//mltF//gdhA//malZ//mhpB//glpC//
CytR_neg	glmS//yeaE//putA//mhpD//ssuD//fucO//nrdF//rbsD//pgk//alkB//
Dan_pos	gatY//entC//
DcuR_pos	entA//pagP//wrbA//paaF//
DeoR_neg	glgB//malZ//tehB//relA//phnL//rsmH//
DhaR_neg	
DhaR_pos	rnpB//
DicA_neg	
DinJ-YafQ_neg	metE//
DnaA_neg	caiA//nemA//cynT//paaJ//guaB//
DnaA_pos	napC//glpX//fadJ//
DpiA_neg	
DpiA_pos	napC//glcE//garL//cysM//rffM//
DsdC_neg	
DsdC_pos	mazG//gnd//
EbgR_neg	
EnvR_neg	mhpD//glxK//
EnvY_pos	cynS//mdh//
EvgA_pos	frdA//accD//ynfG//entB//murI//rutA//
ExuR_neg	gatD//pheS//malS//paaY//aldA//sucD//
FabR_neg	fabG//entH//
FadR_neg	dapD//ahpF//pflB//glpC//cysD//acnA//lpd//acnA//narG//
FadR_pos	ybjG//chbF//yiaK//glpK//hcaC//allB//lysC//waaH//dapB//
FeaR_pos	gltD//frdB//
FhlA_pos	rffC//bacA//dhaM//dacC//fumC//dsdA//codA//
FlhDC_neg	fabA//caiD//
FlhDC_pos	dapB//purK//pyrC//puuB//allD//fabI//nrdE//mhpD//glpK//
FliZ_neg	malS//ynfG//edd//accB//adiA//
FucR_pos	hypF//puuB//sucD//glnA//frdD//katG//
Fur_neg	fadB//pgi//rbsD//entE//nagA//uvrA//pfkA//dsdA//argD//dkgB//cysK//uvrC//ynfG//fadM//prpB//argH//hycD//gor//argD//ubiC//gcvT//metH//frdA//sucB//gpmA//bioD//polB//dgkA//dhaL//ybjG//add//fucK//ldtD//ttdB//nrfA//guaA//dhaL//gadA//nrfB//purL//wrbA//hycG//guaA//hcaD//yeaE//napB//phnP//idnK//pagP//argG//cysK//waaY//iscS//nemA//
Fur_pos	mhpE//glpB//cysE//hyi//moeA//cyoE//galE//yfdE//aroF//purF//adhE//mpaA//uxaC//gadA//xylB//xylA//ndh//
GadE-RcsB_pos	trpA//folE//lsrG//aroG//
GadE_pos	gadB//sucC//galT//pheT//kbaZ//paaH//metH//pepD//galT//hmp//
GadW_neg	serA//argI//astB//
GadW_pos	dhaL//fabG//purC//alsE//
GadX_neg	lacZ//astD//
GadX_pos	gatD//betB//glcD//lpxC//relA//edd//yfbR//cysN//lsrK//cynT//
GalR_neg	polB//sdhD//dhaL//rutA//garR//allA//
GalR_pos	fbaA//alaC//gcl//purM//
GalS_neg	xylB//patA//glpB//frdD//hcaC//carA//
GalS_pos	leuA//mhpF//hyi//phnH//
GatR_neg	yqhD//aceB//murG//
GcvA_neg	allD//garD//guaB//
GcvA_pos	purL//lsrF//glpD//
GlcC_neg	
GlcC_pos	hcaB//paaB//nfsA//
GlpR_neg	pyrC//ynfH//rffC//entC//paaH//napC//pyrD//
GlrR_pos	
GntR_neg	frdD//putA//ruvA//ubiC//hycB//carA//phoA//uxaB//cysM//
GutM_pos	tdcB//frdC//edd//
GutR_neg	hyi//nrdE//purK//
HU_neg	mdh//tdcD//rbsD//sgbE//sdhA//ulaD//gltD//
HU_pos	
HcaR_neg	
HcaR_pos	nfsA//ogt//
HdfR_neg	
HdfR_pos	
HigA_neg	metA//
HigB-HigA_neg	glxK//
HipAB_neg	fucI//dgkA//
HipB_neg	murF//hycE//gatY//
HyfR_pos	gcvH//
HypT_neg	ftnA//patD//
HypT_pos	napC//arsC//purA//nrdE//gntK//
IclR_neg	mdh//ssuD//sodA//
IdnR_neg	narH//yiaK//
IdnR_pos	cueO//frdA//wzc//aceE//
IlvY_neg	
IlvY_pos	katG//
IscR_neg	sodA//ynfF//speA//malP//
IscR_pos	murF//dsdA//
KdgR_neg	accB//dacC//
KdpE_pos	appA//
LacI_neg	glcE//lhgO//aceE//
LeuO_neg	
LeuO_pos	citD//astE//kbaZ//pgm//dapD//araB//
LexA_neg	pck//glpQ//fucO//melA//wecC//hypF//metC//phnG//pncB//pheS//wzc//gadA//uxaB//nrdF//feaB//alkB//nemA//fbaB//cysH//fabZ//ulaF//
LldR_neg	atoB//argF//
LldR_pos	nrdD//frdB//
LrhA_neg	
LrhA_pos	
LsrR_neg	purD//rffH//argE//purF//fadA//
LysR_neg	
LysR_pos	uvrC//
MalI_neg	paaF//entF//
MalT_pos	garD//alkA//psd//katG//dkgA//paaA//
MarA_neg	entH//
MarA_pos	garL//hycF//fbaA//fadA//garK//deoA//tyrB//sgbH//phr//aspA//astB//atoD//cysD//ldtB//sdhB//uvrA//paaE//entC//fadE//pgk//cdd//cysC//
MarR_neg	
MatA_neg	hcp//
MatA_pos	
MazE-MazF_neg	uvrB//
MazE_neg	glcE//
McbR_neg	
McbR_pos	
MelR_neg	hemL//entC//
MelR_pos	puuE//katE//
MetJ_neg	ftnA//ttdA//malQ//eda//tyrA//argF//accD//pgk//glpK//torC//
MetR_neg	pepD//
MetR_pos	nanK//moaE//mpl//gudD//
MhpR_pos	cysC//lhgO//amn//hcp//nrdF//fucA//
Mlc_neg	cysJ//rhaD//pncB//accC//
MlrA_pos	mhpF//
MngR_neg	ynfG//metH//
MntR_neg	pdeL//
MntR_pos	dkgB//
ModE_neg	paaB//codA//nirD//leuA//lacA//carA//puuD//amn//
ModE_pos	tynA//argD//hycE//purH//rbsK//ppsA//
MprA_neg	patA//glgB//accA//
MqsA_neg	gadB//ung//
MraZ_neg	poxB//puuC//phnN//bacA//adiA//mltF//sdhD//ddlB//dgcC//arsC//moeA//
MtlR_neg	uvrB//hyaC//paaA//
MurR_neg	alaS//napG//gadA//
MurR_pos	
Nac_neg	trpB//fabD//alaS//
Nac_pos	mhpC//katG//sufS//malQ//entE//frdB//speA//
NadR_neg	arsC//recF//mltF//napC//
NagC_neg	nrdB//purF//cynT//fbaB//gcvH//lsrF//katG//rhaB//lsrF//atoA//rhaB//aroF//paaI//astB//deoD//malP//epd//araD//
NagC_pos	fucA//trpC//
NanR_neg	ssuD//gatY//fucO//asnB//cysH//yfdE//
NanR_pos	
NarL_neg	murC//waaZ//nanA//paaA//glcB//fabA//purM//prpE//astA//cueO//deoC//caiD//metE//fes//rffM//luxS//nanM//psd//rfe//katE//umuC//wzb//paaI//fruK//
NarL_pos	lsrF//ulaE//mhpB//glcB//ychF//fadD//psd//rutC//murI//lpxC//leuC//fes//relA//
NarP_neg	fadJ//codA//tnaA//
NarP_pos	argC//uxuA//ndh//tnaA//metE//bioC//argF//mpl//pck//alsE//
NemR_neg	pncB//phnN//
NhaR_pos	moaA//metB//cynS//pgaC//nagB//
NikR_neg	tam//
NimR_neg	deoA//
NorR_neg	
NorR_pos	alsE//
NrdR_neg	purB//xylB//pgk//narH//
NsrR_neg	fucU//accC//ulaE//ugpQ//ung//rffC//dinB//sdhC//dapB//hycF//rffC//gcvP//yqhD//ssuE//epd//argI//astE//entH//fucK//puuA//nagA//cysD//carA//mpl//gcl//argD//moaE//ppc//citC//alaS//lpxC//deoC//fadH//sufS//pgm//sucA//
NtrC_neg	xapA//argD//
NtrC_pos	udp//umpH//ubiX//tyrA//citD//sucB//gadA//entC//fabA//fabZ//napA//tauD//ychF//hycB//pgaB//sgbH//fabI//ybjG//gutQ//serA//glgX//
OmpR_neg	gcvH//hypF//dhaL//pyrC//sgbH//
OmpR_pos	umuC//bioD//galE//allC//
OxyR_neg	asnA//tktB//udp//yfbR//garK//
OxyR_pos	aceA//glgC//fadA//metE//moeA//gabD//purM//rfe//ubiC//
PaaX_neg	dgkA//napC//murG//dkgA//fucK//folA//pykF//ada//glpX//
PdeL_pos	alaS//
PdhR_neg	prpE//lldD//allD//glgA//garK//hyaB//torC//purK//tdcG//ilvC//treC//argF//garK//moaE//astC//glcD//gabT//astB//argA//dgcC//deoD//mltF//malQ//pdeL//
PdhR_pos	gabD//tktB//
PepA_neg	kbaZ//purM//
PgrR_neg	pheT//napC//
PhoB_neg	fadE//polB//aceA//citD//
PhoB_pos	rnpB//metC//argF//alaS//malP//murQ//pdeL//chbF//glmU//pgk//gadA//aspA//lpxD//pgi//cynS//nrfB//
PhoP_neg	aceF//mhpA//ynfG//
PhoP_pos	uidA//ubiX//uxuA//fadH//hcaB//fbaB//purN//fadE//pagP//mazG//gnd//entF//rffG//treC//phnN//leuB//sdhB//fucI//rffT//deoA//fadI//caiC//hcaF//nrdD//dhaM//frc//nadB//ppsA//alaC//uvrA//fabI//phr//
PrpR_neg	
PrpR_pos	araB//lpxA//paaH//tdcE//
PspF_neg	
PspF_pos	fabB//
PurR_neg	uxuA//narH//nadA//uxaC//ssuD//dgkA//moaD//gltB//mhpB//pgk//psd//uxaB//pfkA//tadA//dhaM//narI//pgaB//gpmM//phnN//malZ//accB//bioA//frdC//ftsI//icd//sucA//
PutA_neg	mhpF//fucI//
PuuR_neg	sgbU//fadI//wecB//argC//dmsB//paaZ//
QseB_pos	
RbsR_neg	gpmM//pnp//paaI//cysM//feaB//
RbsR_pos	dkgB//
RcdA_neg	
RcdA_pos	accA//
RclR_pos	
RcnR_neg	ldtD//
RcsAB_neg	rnpB//
RcsAB_pos	hcp//phnP//
RcsB-BglJ_pos	feaB//narI//
RcsB_neg	phnM//
RcsB_pos	rimK//nirB//araA//
RelB-RelE_neg	fucK//
RelB_neg	glgA//
RhaR_pos	
RhaS_pos	ybjG//fucU//argC//fau//
Rob_neg	
Rob_pos	cysE//aceB//gpmA//mngB//murE//hyaA//glcF//folE//tam//fdhF//frc//glpX//ndh//phnN//galT//hyaB//rfe//ndh//cysC//
RstA_neg	entC//fabA//
RstA_pos	ulaG//
RtcR_pos	hcp//mltF//
RutR_neg	yiaK//icd//rutD//frdB//garR//rimK//glpB//ubiC//pfkA//fabA//
RutR_pos	nrdF//
SdiA_neg	
SdiA_pos	
SgrR_neg	fadA//
SgrR_pos	wecB//glpD//
SlyA_pos	
SoxR_neg	
SoxR_pos	glk//
SoxS_neg	
SoxS_pos	citG//argG//uvrC//fadB//fadD//cysH//pncB//paaC//trpB//trpD//fucK//yqhD//ldtC//glgB//purF//pgm//cadA//glpC//fabG//lpxD//caiA//allA//nagA//ahpC//yeaG//wecB//
StpA_neg	mhpF//aspA//alaS//
SutR_neg	wrbA//glpQ//
SutR_pos	
TdcA_pos	araD//argI//aspC//napA//hypF//
TdcR_pos	sufS//fes//gltB//asnA//torC//
TorR_neg	dkgA//
TorR_pos	udp//gatZ//fabD//
TreR_neg	ssuE//uxuA//
TrpR_neg	cyoE//gatY//phnP//purB//caiB//gcl//astC//hcp//purA//
TyrR_neg	glpC//dsdA//malQ//rutE//acnB//fadH//mhpD//
TyrR_pos	rhaD//betA//guaB//
UhpA_pos	dhaL//
UidR_neg	prpB//entA//
UlaR_neg	nrdB//glpQ//pyrC//rnpB//codA//
UvrY_pos	deoB//torA//
UxuR_neg	idnK//phnP//frc//leuC//lldD//
XapR_pos	ssuD//purL//
XylR_neg	
XylR_pos	rffM//fdhF//astB//
YdeO_neg	
YdeO_pos	lldD//frdA//zwf//
YedW_neg	eno//napC//
YedW_pos	hcaD//
YefM-YoeB_neg	bioB//
YefM_neg	murD//
YehT_pos	
YeiL_pos	
YiaJ_neg	glgX//polA//pgm//hcaE//pykF//tdcG//
YjjQ_neg	fadD//
YpdB_pos	
YqhC_pos	oxc//sdhB//
YqjI_neg	fadD//
ZntR_pos	oxc//
ZraR_pos	
Zur_neg	pgk//
