# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	lpxC//uxaA//
HypT_pos	phnH//nemA//carB//patA//nanM//
IclR_neg	yfbR//prpD//gatD//
IdnR_neg	pgm//murE//
IdnR_pos	gcvH//argG//trpD//folE//
IlvY_neg	
IlvY_pos	astA//
IscR_neg	astA//purH//accA//guaA//
IscR_pos	garD//dacC//
KdgR_neg	pheS//ahpF//
KdpE_pos	ruvA//
LacI_neg	glcE//murE//hmp//
LeuO_neg	
LeuO_pos	fabA//glxK//uxaC//umuC//citG//dgcC//
LexA_neg	murE//argI//paaH//yibQ//fucA//pepD//purC//hcaB//bioA//pncB//glpD//ulaD//argF//serA//ung//phnM//relA//tdcB//murE//adhE//trpD//
LldR_neg	nrdF//fbaB//
LldR_pos	paaZ//yqhD//
LrhA_neg	
LrhA_pos	
LsrR_neg	tdcB//lacZ//paaB//ftsI//cysC//
LysR_neg	
LysR_pos	entA//
MalI_neg	astB//add//
MalT_pos	torA//xylB//poxB//hemH//narI//edd//
MarA_neg	rffG//
MarA_pos	dmsB//narG//lpxA//caiD//glyA//glgA//pagP//rutB//cysM//argC//phnO//malS//sufS//moaE//leuA//umuD//yibQ//uxuA//entF//moaE//recF//nadB//
MarR_neg	
MatA_neg	cueO//
MatA_pos	
MazE-MazF_neg	atoA//
MazE_neg	relA//
McbR_neg	
McbR_pos	
MelR_neg	lyxK//wzb//
MelR_pos	trpD//kbaZ//
MetJ_neg	astE//hemH//gltD//fadA//gcl//putA//tadA//deoB//mhpA//aceB//
MetR_neg	accB//
MetR_pos	waaH//rffM//murF//rffH//
MhpR_pos	sodA//cysI//ybaS//hycG//gor//glxK//
Mlc_neg	tnaA//carB//gatZ//frdB//
MlrA_pos	fadD//
MngR_neg	purC//phnL//
MntR_neg	codA//
MntR_pos	accD//
ModE_neg	galK//gpmM//pagP//oxc//ndh//gcvT//astC//add//
ModE_pos	aroL//tktB//fes//sdhB//rhaA//prpE//
MprA_neg	caiA//adhE//lpxC//
MqsA_neg	phnJ//ruvB//
MraZ_neg	metA//prs//lacA//lysA//prpB//citE//pagP//dgkA//codA//dacC//glxR//
MtlR_neg	malP//tnaA//murQ//
MurR_neg	napC//napG//phnN//
MurR_pos	
Nac_neg	pyrD//atoA//arsC//
Nac_pos	mhpF//pfkA//paaC//ilvC//dsdA//rbsD//fucU//
NadR_neg	paaB//cueO//nrfD//wrbA//
NagC_neg	pspE//sucB//sufS//polA//ynfH//ogt//accB//hyi//gatD//ynfH//aroF//feaB//garR//citE//paaZ//glgC//nrdB//lsrG//
NagC_pos	accB//napA//
NanR_neg	carB//zwf//ssuD//sodA//ynfF//puuE//
NanR_pos	
NarL_neg	kbaZ//malY//alaS//nadA//bioC//malS//bglB//garK//gabD//nadB//thrS//nrfD//deoB//gntK//betA//nagA//astC//garD//phnJ//caiC//glpD//adhE//gcvH//ulaD//
NarL_pos	entF//sodA//nagB//nanM//allC//cysE//rffM//frc//yibQ//katG//katE//fumC//bioA//
NarP_neg	puuC//pyrC//accD//
NarP_pos	gcl//napH//dkgA//pnp//ftnA//metC//dgkA//caiC//fabG//alaC//
NemR_neg	wzb//gapA//
NhaR_pos	araA//waaH//puuC//mtlD//gadA//
NikR_neg	paaG//
NimR_neg	argI//
NorR_neg	
NorR_pos	cyoE//
NrdR_neg	pdeR//psd//glpB//fabI//
NsrR_neg	aceA//puuD//dhaL//deoB//dgcC//pdeH//fbaB//deoC//nrfA//mpl//narG//umuC//gltB//yfbR//mazG//psd//galT//luxS//glpQ//ppsA//ppiA//dgcZ//ldtD//phnH//sucD//pgi//lyxK//ychF//wzc//ruvA//ubiX//fabZ//napH//astB//paaZ//rutA//
NtrC_neg	codA//nrdE//
NtrC_pos	galM//pagP//mhpF//fadD//yfbR//leuC//cynS//fadB//udp//trpC//asnB//dapB//rffH//umuC//glgA//tpiA//nanA//tnaA//frdC//glcD//prs//
OmpR_neg	alkB//glnA//glnA//uvrA//hcp//
OmpR_pos	fadH//mnmG//lysC//sgbE//
OxyR_neg	lsrF//paaY//purN//puuB//metB//
OxyR_pos	metH//ycjG//moeA//mtlD//astB//rfe//purE//edd//cysJ//
PaaX_neg	cueO//treC//puuD//prpE//nrdD//dhaM//glk//fruK//aroL//
PdeL_pos	yeaG//
PdhR_neg	allE//hcaD//ampC//tyrA//sucB//astD//ogt//dhaM//katG//purK//moeA//metF//cynS//treC//ynfH//metL//tdcG//araB//deoA//rnpB//ahpF//malP//glxK//lacZ//
PdhR_pos	phnG//rffG//
PepA_neg	napB//luxS//
PgrR_neg	add//pncB//
PhoB_neg	nadA//hycG//metF//accB//
PhoB_pos	ulaD//fbaA//glpQ//fdhF//katE//yqhD//metA//phr//uvrB//galM//fabG//wrbA//metL//hycD//hmp//uxuA//
PhoP_neg	puuA//pgk//lsrK//
PhoP_pos	fabA//mhpB//cysI//sucB//yeaE//dapB//ruvA//tpiA//metE//prs//accD//rffG//uxuB//pgm//galK//ugpQ//rhaB//pdeH//entH//ppc//hcaF//aceF//gltB//luxS//galE//argA//pfkA//fbaA//garR//hemH//ldtB//leuD//
PrpR_neg	
PrpR_pos	nirD//dgcZ//yibQ//rutB//
PspF_neg	
PspF_pos	dapD//
PurR_neg	pfkA//trpE//araA//lsrG//ulaF//udp//pyrD//cynT//glgB//ychF//citG//argC//ychF//napB//malS//nrdA//gabT//narI//ttdA//hycG//nrdF//fumC//entB//sdhC//talA//pdeL//
PutA_neg	citE//allD//
PuuR_neg	glgX//pfkA//moaE//ftsI//ampC//purE//
QseB_pos	
RbsR_neg	uxuB//mdh//napB//hycB//allA//
RbsR_pos	gltD//
RcdA_neg	
RcdA_pos	atoB//
RclR_pos	
RcnR_neg	mhpC//
RcsAB_neg	purD//
RcsAB_pos	atoD//rhaB//
RcsB-BglJ_pos	cysJ//hyaC//
RcsB_neg	dinB//
RcsB_pos	aspA//pheT//entB//
RelB-RelE_neg	glpC//
RelB_neg	puuB//
RhaR_pos	
RhaS_pos	paaA//galE//malZ//patD//
Rob_neg	
Rob_pos	entH//prpB//entD//talA//napC//rbsD//uvrA//fumC//deoC//paaA//tdcE//codA//hcaF//allE//yiaK//astE//deoB//cysJ//citE//
RstA_neg	glpQ//fadA//
RstA_pos	fucK//
RtcR_pos	alsE//aceF//
RutR_neg	murG//napG//caiB//citG//recF//astE//gadB//ulaE//gpmM//rffM//
RutR_pos	glnA//
SdiA_neg	
SdiA_pos	
SgrR_neg	rbsD//
SgrR_pos	mtlD//lsrG//
SlyA_pos	
SoxR_neg	
SoxR_pos	eno//
SoxS_neg	
SoxS_pos	nrfC//deoB//entB//dapB//murG//gapA//asnB//treC//fadD//xylA//adiA//paaC//aceE//glyA//paaI//waaZ//fabH//ldtB//wecC//fumB//aroF//cynS//fucA//paaZ//bioC//fucI//
StpA_neg	allE//nrdB//argC//
SutR_neg	wrbA//pheS//
SutR_pos	
TdcA_pos	aceF//aroH//torC//yeaE//uvrA//
TdcR_pos	alaC//galE//poxB//fadE//sufS//
TorR_neg	glpC//
TorR_pos	waaH//garR//garK//
TreR_neg	kbaY//pheT//
TrpR_neg	idnD//accA//phnO//prpD//hypB//phnN//nagA//alaC//astA//
TyrR_neg	napH//sdhB//yqhD//deoA//ssuD//recF//ubiA//
TyrR_pos	torC//edd//eno//
UhpA_pos	aceA//
UidR_neg	mhpF//metF//
UlaR_neg	bioC//glpK//phnJ//paaE//paaK//
UvrY_pos	cdd//rfe//
UxuR_neg	gutQ//dgcC//treC//dgcZ//uxuB//
XapR_pos	ppc//mhpF//
XylR_neg	
XylR_pos	melA//katE//hyi//
YdeO_neg	
YdeO_pos	nrfD//puuA//cysD//
YedW_neg	aspC//phnP//
YedW_pos	acnB//
YefM-YoeB_neg	uvrC//
YefM_neg	rfe//
YehT_pos	
YeiL_pos	
YiaJ_neg	rffM//hypF//dmsA//accB//ybaS//napC//
YjjQ_neg	fabG//
YpdB_pos	
YqhC_pos	leuA//chbF//
YqjI_neg	tauD//
ZntR_pos	asnA//
ZraR_pos	
Zur_neg	glk//
