# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	fadD//gabT//
Cra_pos	murC//paaI//paaG//metB//uvrC//alkA//sucD//purE//yfbR//chbF//ldtC//frdB//pyrD//pgaB//ybaS//aceE//deoA//
CreB_neg	hycG//
CreB_pos	fadA//
CsgD_neg	paaI//lsrF//
CsgD_pos	glgC//aroF//rutC//
CsiR_neg	sucD//kbaZ//ampC//glcB//
CspA_pos	bioA//
CueR_neg	dgcC//polA//
CueR_pos	murF//pck//
CusR_pos	purE//gloA//argH//
CynR_neg	
CynR_pos	treC//talA//alaS//
CysB_neg	cdd//gcvT//phnL//
CysB_pos	ppsA//rutC//pgk//betB//hcaE//araA//astA//hcaE//paaA//polB//ubiC//ynfF//hcaE//gatY//ybaS//
CytR_neg	tam//dacC//eno//nanK//trpE//araA//fucA//dapD//rffT//mhpC//
Dan_pos	gadB//ascB//
DcuR_pos	ycjG//astE//aroF//lacA//
DeoR_neg	gpmA//garL//fdhF//rutC//aceF//purL//
DhaR_neg	
DhaR_pos	dinB//
DicA_neg	
DinJ-YafQ_neg	gor//
DnaA_neg	glcB//ampC//argI//narH//dgcZ//
DnaA_pos	argC//uxuB//glgX//
DpiA_neg	
DpiA_pos	garD//phnI//rutC//accB//yfdE//
DsdC_neg	
DsdC_pos	serA//sucA//
EbgR_neg	
EnvR_neg	glxR//dapB//
EnvY_pos	torA//glxK//
EvgA_pos	astA//leuA//murI//ulaF//hemH//tpiA//
ExuR_neg	nrfD//glcD//accD//umuC//rffG//lldD//
FabR_neg	citF//alaC//
FadR_neg	glcE//dapD//galT//astC//frdA//hcaD//malY//hmp//fucK//
FadR_pos	polA//zwf//purK//metH//cynS//malZ//ppc//ruvA//hyaA//
FeaR_pos	nrfA//accC//
FhlA_pos	lacZ//rutC//pgk//bglB//dhaK//ttdA//yiaK//
FlhDC_neg	wzb//idnD//
FlhDC_pos	cysN//sgbH//rpiB//katE//rffC//rnpB//dacC//galT//paaA//
FliZ_neg	dmsB//acnA//purE//xapA//nadA//
FucR_pos	eno//rutE//bioF//phnM//pfkA//nadB//
Fur_neg	cysN//acnB//murC//fadD//garR//hcaF//ascB//pyrC//folE//alaS//ada//ogt//tynA//murD//allB//tehB//hemL//sdhD//paaY//rffG//galK//glxR//moaD//speB//mhpD//moaA//sgbE//tadA//gudD//slt//bioA//glcB//trpE//argI//metK//ttdA//yeaE//napG//allC//paaI//cynT//adhE//carB//murF//cysD//putA//tdcE//murD//torA//amn//paaE//rutE//caiB//ada//
Fur_pos	kbaY//waaZ//polA//hycF//cadA//idnD//zwf//acnB//murQ//glmU//entF//cysC//fucU//fadA//gltB//nanM//polA//
GadE-RcsB_pos	umuD//umuD//treC//xylA//
GadE_pos	lhgO//lhgO//dhaK//alaC//carB//murI//pdeL//waaH//fabI//ttdB//
GadW_neg	moeB//phnP//cynS//
GadW_pos	fadE//mdh//bioC//chbG//
GadX_neg	rbsK//fadB//
GadX_pos	katG//entD//argD//cysE//asnA//alkB//argA//astE//gcl//atoD//
GalR_neg	rffH//glpK//aceB//malS//trpC//entA//
GalR_pos	sucD//nfsA//rutA//ung//
GalS_neg	waaH//rimK//tauD//ynfH//zwf//eda//
GalS_pos	frdD//aroG//rhaA//cdd//
GatR_neg	fabD//araB//sdhD//
GcvA_neg	garK//yiaK//purD//
GcvA_pos	uxaC//slt//rimK//
GlcC_neg	
GlcC_pos	wecC//iscS//ssuE//
GlpR_neg	lpd//iscS//udp//fadE//deoB//wecC//guaB//
GlrR_pos	
GntR_neg	nagB//dgcZ//napG//phnH//pgpC//oxc//add//treC//cysG//
GutM_pos	nrdE//deoD//idnD//
GutR_neg	glcF//astB//nanK//
HU_neg	gabT//citC//dgkA//metL//idnD//tyrA//nanE//
HU_pos	
HcaR_neg	
HcaR_pos	astC//fadA//
HdfR_neg	
HdfR_pos	
HigA_neg	tadA//
HigB-HigA_neg	hycC//
HipAB_neg	glpB//mazG//
HipB_neg	astC//murC//entF//
HyfR_pos	kbaY//
HypT_neg	pgk//nagB//
HypT_pos	ubiX//tehB//glgA//deoA//rfe//
IclR_neg	waaH//alaC//epd//
IdnR_neg	rnpB//purF//
IdnR_pos	luxS//slt//bioB//araA//
IlvY_neg	
IlvY_pos	umpH//
IscR_neg	udp//phoA//bioF//hcaB//
IscR_pos	metH//glgC//
KdgR_neg	trpD//waaY//
KdpE_pos	trpC//
LacI_neg	waaY//nadA//tadA//
LeuO_neg	
LeuO_pos	hycD//argG//metF//astC//torC//nemA//
LexA_neg	metH//aceA//lsrG//citC//fabD//asnB//slt//gdhA//allB//gpmM//galK//glgA//cysG//purE//murC//fbaB//malS//cysE//pdeL//betA//fabZ//
LldR_neg	aceB//citF//
LldR_pos	tdcB//sodB//
LrhA_neg	
LrhA_pos	
LsrR_neg	araD//gltB//bioA//malS//yeaG//
LysR_neg	
LysR_pos	phnJ//
MalI_neg	metL//aroF//
MalT_pos	phr//allD//gcl//accB//phnL//aroH//
MarA_neg	eda//
MarA_pos	pyrD//tyrB//rpiB//lsrF//sodA//galK//luxS//pgpC//phnO//pepD//phnJ//umuD//uxuB//tdcG//cysI//frdD//aceE//leuD//ynfG//nemA//uxaA//sucC//
MarR_neg	
MatA_neg	tdcD//
MatA_pos	
MazE-MazF_neg	nrdD//
MazE_neg	tktB//
McbR_neg	
McbR_pos	
MelR_neg	wzc//deoC//
MelR_pos	frdA//fucA//
MetJ_neg	bglB//uvrB//recF//glgB//fumC//caiB//ogt//chbG//glpD//mhpE//
MetR_neg	nemA//
MetR_pos	sgbH//paaA//entF//uvrC//
MhpR_pos	garD//chbF//aroL//fabG//cueO//ubiA//
Mlc_neg	leuC//rutA//feaB//tyrA//
MlrA_pos	fabD//
MngR_neg	gcl//rnpB//
MntR_neg	thrS//
MntR_pos	fucK//
ModE_neg	dinB//fabI//dinB//ahpF//ychF//uxaC//fbaA//tdcE//
ModE_pos	idnK//paaG//nrdB//feaB//hmp//wzb//
MprA_neg	aldA//citG//atoD//
MqsA_neg	tam//dapB//
MraZ_neg	glcE//frdC//eno//hypF//fdhF//dacC//epd//idnK//glpQ//narI//fadJ//
MtlR_neg	citG//glpC//patD//
MurR_neg	cysD//argD//glpK//
MurR_pos	
Nac_neg	umpH//astA//ahpC//
Nac_pos	lpxA//nrdF//sucD//rpiB//galK//iscS//cadA//
NadR_neg	mhpF//argF//wecB//gcvT//
NagC_neg	mpl//deoA//cysJ//uvrB//hemH//alaC//metF//murE//pnp//bacA//argE//glgA//paaB//gnd//ung//nagA//glpX//dinB//
NagC_pos	cysN//ahpC//
NanR_neg	umpH//hypB//mhpA//chbF//rffM//hemL//
NanR_pos	
NarL_neg	galM//aceE//uxaA//guaA//cysJ//glcD//glgB//phoA//glcE//pncB//nfsB//fucK//oxc//waaZ//sufS//astB//gatY//pdeR//sufS//astE//rbsK//gltD//tnaA//uvrC//
NarL_pos	fumC//hyi//glpB//rsmH//rffM//nrdE//epd//metF//pnp//xapA//torA//fabA//dinB//
NarP_neg	yqjH//garD//bioF//
NarP_pos	amn//nanM//mhpD//entE//moaE//mhpB//eda//lsrG//rbsK//iscS//
NemR_neg	nanE//uxaA//
NhaR_pos	leuC//deoA//garR//phr//phnL//
NikR_neg	waaY//
NimR_neg	bioF//
NorR_neg	
NorR_pos	nadA//
NrdR_neg	gabD//cynS//gltB//glpD//
NsrR_neg	astD//ubiC//argE//xylA//xylB//adiA//nemA//citE//chbF//phr//rimK//cdd//ubiX//mraY//xylA//alsE//pck//pspE//dhaK//alsE//pfkA//fadM//hcaC//purC//lacA//nirB//dacC//mazG//aroL//polA//gnd//ldtC//tauD//yeaE//aroL//dkgA//
NtrC_neg	allE//pflB//
NtrC_pos	rutD//garD//ung//sgbE//feaB//aldA//iscS//dgkA//citE//ugpQ//nirD//garR//yeaG//cysJ//citE//astB//gudD//sucD//malS//codA//wzc//
OmpR_neg	moaD//patD//citX//hcaE//lpd//
OmpR_pos	atoB//glgP//argG//tyrB//
OxyR_neg	poxB//pyrD//citF//metA//purA//
OxyR_pos	gntK//garK//puuE//betA//hcaE//nrfC//polA//garL//mpaA//
PaaX_neg	sdhA//mltF//yfbR//hycD//aroG//ldtC//trpB//fadA//ldtB//
PdeL_pos	fadI//
PdhR_neg	gor//garK//umpH//alkB//yiaK//leuD//trpD//tdcD//argI//deoA//glpB//uxaA//cysK//hypB//folE//entC//ldtB//atoB//iscS//galK//prs//rffM//cysE//ybaS//
PdhR_pos	nrfA//caiA//
PepA_neg	pgk//rbsD//
PgrR_neg	polB//talA//
PhoB_neg	fucI//paaH//poxB//rhaA//
PhoB_pos	acnA//cysK//purE//cysG//rhaA//torA//torA//ynfH//fbaA//glcD//torA//fabI//nrfA//lysA//accA//wzb//
PhoP_neg	gatZ//yfbR//dmsA//
PhoP_pos	aroL//nagA//hycB//nrfB//pheT//ssuE//puuB//metH//nrdD//deoA//paaB//hmp//nrdE//glxK//caiC//dhaM//torC//caiC//carA//dgcZ//rutD//mpaA//atoB//udp//alkB//pgaC//alaC//pgm//wecB//araD//ulaD//ung//
PrpR_neg	
PrpR_pos	fadE//argF//metF//nrdE//
PspF_neg	
PspF_pos	gcvH//
PurR_neg	bioC//uxaC//sucD//hemH//pyrD//hyaC//cyoE//tadA//mdh//chbG//icd//aroL//putA//dinB//codA//aceA//gpmA//aceA//fruK//deoC//ppiA//napG//paaH//carB//xapA//glnA//
PutA_neg	uxaC//codA//
PuuR_neg	ppc//pgpC//mhpF//psd//argI//galK//
QseB_pos	
RbsR_neg	nrdF//nirD//murG//kbaZ//hcaE//
RbsR_pos	gatZ//
RcdA_neg	
RcdA_pos	rfe//
RclR_pos	
RcnR_neg	tehB//
RcsAB_neg	adiA//
RcsAB_pos	fucI//gltB//
RcsB-BglJ_pos	serA//murE//
RcsB_neg	fabB//
RcsB_pos	acnB//gutQ//aroL//
RelB-RelE_neg	glcE//
RelB_neg	phnJ//
RhaR_pos	
RhaS_pos	araD//aroF//nrdD//purC//
Rob_neg	
Rob_pos	lsrG//gudD//fes//waaH//alaS//gabT//pykF//kbaZ//sdhD//rhaB//alsE//dgcZ//fes//fabG//napC//xylA//fabZ//prpB//hyaA//
RstA_neg	recF//ssuE//
RstA_pos	pgk//
RtcR_pos	phr//hemH//
RutR_neg	gadA//gabD//lsrF//purA//carB//dhaL//nirD//allC//yeaE//caiD//
RutR_pos	prpE//
SdiA_neg	
SdiA_pos	
SgrR_neg	paaI//
SgrR_pos	rbsK//eno//
SlyA_pos	
SoxR_neg	
SoxR_pos	accA//
SoxS_neg	
SoxS_pos	srlD//ampC//fadD//frdD//dkgA//mhpA//yiaK//ybaS//gabD//asnB//malZ//rutD//metH//leuB//ampC//uxuA//xylA//ppsA//glnA//mhpA//galK//accD//glgX//rutD//entH//accC//
StpA_neg	trpA//garK//tauD//
SutR_neg	yibQ//rhaD//
SutR_pos	
TdcA_pos	leuD//purK//dacC//citG//deoA//
TdcR_pos	leuD//hycE//feaB//treC//tam//
TorR_neg	metA//
TorR_pos	bioC//entC//guaA//
TreR_neg	nanM//sucD//
TrpR_neg	mtlD//dapB//atoB//betB//edd//rhaA//mhpC//gdhA//ssuD//
TyrR_neg	nfsA//uxaA//glgC//cynT//rfe//pgk//dsdA//
TyrR_pos	hyi//lpxA//sdhC//
UhpA_pos	gabT//
UidR_neg	puuD//moaA//
UlaR_neg	deoA//malY//accB//glk//glnA//
UvrY_pos	adiA//dgkA//
UxuR_neg	allD//trpE//gapA//ruvB//trpB//
XapR_pos	yfdE//hycF//
XylR_neg	
XylR_pos	hycD//argI//uvrB//
YdeO_neg	
YdeO_pos	leuB//prpB//tadA//
YedW_neg	dgkA//galT//
YedW_pos	purB//
YefM-YoeB_neg	srlD//
YefM_neg	cdd//
YehT_pos	
YeiL_pos	
YiaJ_neg	relA//wzb//phnH//fucK//allD//entH//
YjjQ_neg	ynfE//
YpdB_pos	
YqhC_pos	pheT//pgaC//
YqjI_neg	wrbA//
ZntR_pos	gcl//
ZraR_pos	
Zur_neg	hycF//
