# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	metA//mpl//
Dan_pos	gpmM//nadB//
DcuR_pos	dhaM//hyi//mhpD//fadJ//
DeoR_neg	nrfB//glmS//paaK//glpA//mraY//ndh//
DhaR_neg	
DhaR_pos	bglB//
DicA_neg	
DinJ-YafQ_neg	mhpA//
DnaA_neg	paaF//tyrB//glcF//bioB//rbsD//
DnaA_pos	metH//trpC//garK//
DpiA_neg	
DpiA_pos	ppsA//fabA//fdhF//cysI//glpA//
DsdC_neg	
DsdC_pos	fucO//fucK//
EbgR_neg	
EnvR_neg	hycD//hycG//
EnvY_pos	alaC//trpE//
EvgA_pos	fabZ//paaZ//puuC//tauD//ynfE//glmU//
ExuR_neg	umuD//cysD//paaZ//amn//tauD//hcaC//
FabR_neg	pgaD//rhaB//
FadR_neg	tam//gudD//hycC//fadI//ppiA//hcaC//pncB//astA//psd//
FadR_pos	carA//fruK//dkgA//ldtB//malS//glk//cysI//umuD//mhpD//
FeaR_pos	hypF//moeA//
FhlA_pos	garD//sdhA//napA//glcB//hyaA//dhaK//fabA//
FlhDC_neg	mhpA//bioB//
FlhDC_pos	cysJ//glxK//acnB//garR//glgP//aceA//gloA//mhpD//atoA//
FliZ_neg	cynT//relA//carB//argB//betA//
FucR_pos	nirD//luxS//fabA//idnK//metE//nfsA//
Fur_neg	argB//caiB//phnP//gcvT//glpA//glk//tdcD//sgbU//garL//hypB//aceB//mtlD//mhpC//fucO//tnaA//nanA//udp//murG//pflB//ycjG//treC//sucB//paaH//phoA//cysE//lpxD//tyrB//murE//fucK//frc//entC//puuD//alaS//aroF//frdD//hycE//lysA//deoC//phnJ//amn//dhaL//glnA//puuD//aceF//yeaE//paaC//rpiB//malY//ppsA//ybaS//wzb//gatY//fadM//garR//
Fur_pos	purD//allA//rdoA//pdeH//accB//leuB//fadE//pgpC//hmp//napA//cysK//galK//deoC//pnp//rpiB//atoB//sodA//
GadE-RcsB_pos	metE//nadB//mhpC//nrfA//
GadE_pos	nrdB//hyaB//ulaD//prpD//sodB//ruvB//torA//lysA//gloA//eda//
GadW_neg	aldA//metC//uvrC//
GadW_pos	hycC//paaG//katE//allD//
GadX_neg	allA//deoA//
GadX_pos	hemL//sucC//gdhA//malS//phnM//nadB//fucK//glmU//gcvH//fumC//
GalR_neg	cyoE//gatZ//glcD//sodA//galT//paaG//
GalR_pos	speA//argI//nanA//zwf//
GalS_neg	ynfH//citC//tdcE//pheT//gatY//carB//
GalS_pos	accB//rdoA//aroH//ybjG//
GatR_neg	gabT//lysC//torA//
GcvA_neg	alaS//phoA//wzc//
GcvA_pos	caiB//waaZ//paaY//
GlcC_neg	
GlcC_pos	lhgO//lsrF//wzc//
GlpR_neg	entC//trpD//allD//fau//glk//argE//pepD//
GlrR_pos	
GntR_neg	gnd//malS//umuD//accB//nadB//luxS//uvrA//lysA//ulaG//
GutM_pos	caiA//epd//fadJ//
GutR_neg	prpB//rhaD//aceB//
HU_neg	sucD//nrfB//deoD//accA//mhpF//cysI//atoB//
HU_pos	
HcaR_neg	
HcaR_pos	mazG//napA//
HdfR_neg	
HdfR_pos	
HigA_neg	eno//
HigB-HigA_neg	murC//
HipAB_neg	fruK//patD//
HipB_neg	carA//wzc//polB//
HyfR_pos	mhpB//
HypT_neg	fbaA//gadA//
HypT_pos	nanE//rimK//araB//wzc//rbsD//
IclR_neg	lpd//bglB//rsmH//
IdnR_neg	pdeL//glgC//
IdnR_pos	metB//phnL//paaJ//glxK//
IlvY_neg	
IlvY_pos	accB//
IscR_neg	gltB//ddlB//poxB//ldtB//
IscR_pos	patA//entC//
KdgR_neg	carB//hyaC//
KdpE_pos	purE//
LacI_neg	leuB//glpK//fdhF//
LeuO_neg	
LeuO_pos	adhE//lpd//ttdB//truB//galK//gadA//
LexA_neg	nfsB//zwf//galT//ahpC//pgm//allB//glcB//frdC//cysG//cysE//adhE//aroF//malP//ubiC//hcaE//gor//fucI//tadA//hyaB//cysK//rffC//
LldR_neg	torA//argI//
LldR_pos	moaA//phr//
LrhA_neg	
LrhA_pos	
LsrR_neg	gabD//gatZ//eda//entA//glcE//
LysR_neg	
LysR_pos	lsrK//
MalI_neg	gapA//entD//
MalT_pos	ychF//oxc//pncB//fadI//fau//rutC//
MarA_neg	bioC//
MarA_pos	lsrG//ynfG//epd//xylA//tynA//idnD//lpd//hycF//ascB//hypF//rbsK//chbG//nanA//rimK//phnH//prpC//atoB//gabD//napH//rhaB//patA//amn//
MarR_neg	
MatA_neg	paaC//
MatA_pos	
MazE-MazF_neg	katE//
MazE_neg	metB//
McbR_neg	
McbR_pos	
MelR_neg	argG//pgi//
MelR_pos	rhaB//cysJ//
MetJ_neg	sodB//glcB//sdhD//paaY//sodB//ssuD//murE//argC//murD//ubiA//
MetR_neg	acnA//
MetR_pos	nanE//puuA//yqhD//puuA//
MhpR_pos	dacC//idnD//argD//aroF//tam//glpB//
Mlc_neg	sucB//moaE//pncB//ilvC//
MlrA_pos	mpl//
MngR_neg	galM//carA//
MntR_neg	dapD//
MntR_pos	sodB//
ModE_neg	dgcZ//folE//phnG//treC//betB//thrS//murD//dinB//
ModE_pos	paaF//uvrC//iscS//pagP//recF//sgbU//
MprA_neg	cysN//pheT//adiA//
MqsA_neg	trpB//umuD//
MraZ_neg	hemH//prpE//galT//wecB//atoA//metH//iscS//uxuA//tyrA//dapB//aldA//
MtlR_neg	mhpD//tdcD//tpiA//
MurR_neg	pck//glgB//paaJ//
MurR_pos	
Nac_neg	pheS//galK//gudD//
Nac_pos	hycD//argA//pspE//sdhA//nfsB//gpmA//sdhB//
NadR_neg	sodB//adiA//rffH//glpB//
NagC_neg	lpxD//fadD//lsrG//wecC//glk//napG//iscS//murQ//aspC//nanK//gcvT//citX//cdd//paaF//pagP//ldtB//purK//puuC//
NagC_pos	alkB//dgkA//
NanR_neg	nrdD//lldD//hycG//ftsI//dkgA//malS//
NanR_pos	
NarL_neg	lacA//nanA//pncB//carA//glpD//ynfF//pgaC//glpK//yqjH//ldtD//napB//trpC//lysC//ybjG//uvrB//rdoA//pheS//nrfC//putA//malP//hcaC//entH//napC//glxK//
NarL_pos	aspC//fadM//hycD//acnB//pgaC//paaE//metH//ulaE//narG//cysM//deoC//rbsD//phnH//
NarP_neg	dhaK//uxaA//hemL//
NarP_pos	glcB//metA//dkgB//fabI//phnP//tdcB//dgcC//yibQ//leuC//argA//
NemR_neg	frdC//yfdE//
NhaR_pos	nadB//nrfC//appA//napG//ndh//
NikR_neg	eda//
NimR_neg	ddlB//
NorR_neg	
NorR_pos	truB//
NrdR_neg	purH//nrfA//gatZ//mnmG//
NsrR_neg	polA//fucO//paaA//dgkA//chbG//polB//chbG//carA//narG//uxaC//ubiA//citD//bioD//sucC//rffT//glgP//psd//nrfC//aceA//garK//cynS//moeA//luxS//atoB//fadB//galT//galT//purM//pagP//pgaC//idnD//cysE//fbaB//metA//glpD//hypF//
NtrC_neg	dgcZ//rfe//
NtrC_pos	rffC//sdhD//dgcZ//codA//fadA//slt//malP//argE//dgcZ//rhaA//polA//bioD//sgbH//ftnA//chbF//entE//paaE//metH//citF//mltF//accC//
OmpR_neg	fadJ//deoC//mpaA//galE//metK//
OmpR_pos	fabA//aceB//fabZ//bioD//
OxyR_neg	glmS//wecB//lsrG//fadD//bioB//
OxyR_pos	uvrA//lldD//puuA//rffT//allB//phnJ//ppc//astA//zwf//
PaaX_neg	tdcD//citE//mhpA//napG//fadI//wrbA//hycD//pdeR//dinB//
PdeL_pos	dkgA//
PdhR_neg	rhaA//ppiA//zwf//sufS//metE//citG//dmsB//sdhC//idnO//hcp//hcaC//paaY//argB//deoC//metE//fucK//prpC//citD//entB//glxR//pyrD//lacZ//ampC//murG//
PdhR_pos	guaA//mngB//
PepA_neg	allB//frdB//
PgrR_neg	pnp//aceF//
PhoB_neg	tehB//glpD//zwf//ttdB//
PhoB_pos	appA//mpaA//gcl//fdhF//dmsB//leuC//fadJ//idnD//bioA//glk//bioD//glgX//katG//purA//epd//pgi//
PhoP_neg	mhpC//trpC//ybaS//
PhoP_pos	pspE//gltD//dkgB//glgP//fucK//gntK//waaY//paaI//argC//gcvT//argE//phr//zwf//frdA//uvrA//rutC//paaB//gcvP//mhpC//tdcE//folE//yiaK//nanE//uxaA//wecC//moeB//purK//aldA//glcE//pflB//purD//pepD//
PrpR_neg	
PrpR_pos	dinB//purE//allC//argF//
PspF_neg	
PspF_pos	rhaD//
PurR_neg	hemL//galE//lsrF//phnP//araD//torC//tktB//glpD//lysA//udp//katE//hcaF//ugpQ//kbaY//atoD//yqhD//rfe//lysA//yiaK//phnI//uvrA//ada//paaK//puuC//gnd//metC//
PutA_neg	gudD//metE//
PuuR_neg	trpB//mpl//ldtC//gadA//argH//galM//
QseB_pos	
RbsR_neg	astE//sodB//gcvP//sucC//rhaA//
RbsR_pos	glgB//
RcdA_neg	
RcdA_pos	betB//
RclR_pos	
RcnR_neg	murQ//
RcsAB_neg	hemL//
RcsAB_pos	fabI//nrdD//
RcsB-BglJ_pos	nrdE//srlD//
RcsB_neg	guaA//
RcsB_pos	rimK//cadA//pdeH//
RelB-RelE_neg	tdcB//
RelB_neg	rffH//
RhaR_pos	
RhaS_pos	lyxK//tnaA//uvrC//purA//
Rob_neg	
Rob_pos	paaK//mraY//accA//mnmG//purC//napC//gcl//acnB//ppc//waaH//cysK//bacA//wzc//accD//purE//rffG//hypF//metB//yfdE//
RstA_neg	rpiB//dgcC//
RstA_pos	purB//
RtcR_pos	garR//hycF//
RutR_neg	bioF//epd//rhaD//cysD//gapA//argC//entH//rutB//luxS//tdcE//
RutR_pos	gcvP//
SdiA_neg	
SdiA_pos	
SgrR_neg	aroG//
SgrR_pos	hcp//fadH//
SlyA_pos	
SoxR_neg	
SoxR_pos	mltF//
SoxS_neg	
SoxS_pos	glpB//yeaE//sgbE//umuC//glgX//tdcB//dmsA//fadD//accA//uxaB//umpH//dapB//fes//pgaC//paaJ//paaB//aceF//recF//metB//garR//uxuA//gnd//purC//betA//aceA//paaK//
StpA_neg	fucK//idnD//uxaB//
SutR_neg	fabI//torA//
SutR_pos	
TdcA_pos	metC//sdhC//tpiA//mraY//psd//
TdcR_pos	lysC//garK//gpmA//pyrD//argA//
TorR_neg	galE//
TorR_pos	puuC//hcp//tehB//
TreR_neg	yeaG//citX//
TrpR_neg	cynS//yqjH//cysN//phnI//fabA//malQ//argF//ulaE//hyaA//
TyrR_neg	aceE//paaG//patA//pdeH//pgaD//ddlB//gatD//
TyrR_pos	astD//fadB//hycE//
UhpA_pos	moaA//
UidR_neg	umpH//glgC//
UlaR_neg	glmU//tnaA//polB//prpB//mdh//
UvrY_pos	idnO//atoA//
UxuR_neg	prpB//pspE//ybaS//purK//narH//
XapR_pos	melA//murF//
XylR_neg	
XylR_pos	sdhD//trpE//ldtB//
YdeO_neg	
YdeO_pos	cysC//glmU//yibQ//
YedW_neg	glpB//glpX//
YedW_pos	prpB//
YefM-YoeB_neg	lldD//
YefM_neg	dkgA//
YehT_pos	
YeiL_pos	
YiaJ_neg	xylB//fabG//ruvB//purB//mtlD//nrfC//
YjjQ_neg	hyaC//
YpdB_pos	
YqhC_pos	lsrK//glmU//
YqjI_neg	icd//
ZntR_pos	fadM//
ZraR_pos	
Zur_neg	glgX//
