# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	lsrG//dgcC//
Fur_neg	araD//rsmH//polA//ilvC//malZ//argD//lpxC//sufS//lysA//lpxD//caiB//oxc//dhaL//glpA//allB//glpB//hemH//hycD//thrS//mngB//pdeR//dgcZ//glpQ//ttdB//murD//fau//tpiA//mtlD//ynfH//galT//aceE//frc//add//acnA//hycG//nadB//fucA//hycG//srlD//ynfE//bacA//treC//mpaA//hemL//sdhD//rffM//fadI//dmsA//glgA//nfsA//ppc//guaA//pgaB//mnmG//
Fur_pos	srlD//lysA//glyA//trpB//tpiA//ada//garR//ybaS//pck//dkgB//sgbU//rfe//ftsI//metF//fumB//galT//gatD//
GadE-RcsB_pos	yqjH//dinB//murI//gcvP//
GadE_pos	gntK//lsrK//udp//pykF//deoA//gudD//phnM//pgk//hcaB//phr//
GadW_neg	pgaB//entC//ruvA//
GadW_pos	ycjG//citX//citF//astC//
GadX_neg	fabI//pgpC//
GadX_pos	argG//ssuE//lpxC//metE//ynfF//astD//moaD//fdhF//tdcE//entB//
GalR_neg	pgpC//dkgB//dhaM//mdh//allE//rfe//
GalR_pos	hyi//psd//sodB//pheS//
GalS_neg	argH//sufS//ssuE//hcaC//moaA//bioF//
GalS_pos	phnJ//glcB//idnD//dmsA//
GatR_neg	nrdA//hmp//napA//
GcvA_neg	dapD//glpB//nrdF//
GcvA_pos	argG//ybjG//pck//
GlcC_neg	
GlcC_pos	rimK//uvrB//nrfB//
GlpR_neg	sucA//dhaM//ldtD//gcvT//entA//relA//malY//
GlrR_pos	
GntR_neg	sucB//murE//metC//hemL//idnO//alkB//nirB//puuB//mhpA//
GutM_pos	garD//mhpA//glmS//
GutR_neg	fabA//tehB//nrdE//
HU_neg	pgaC//metK//mnmG//folE//murE//prpD//argI//
HU_pos	
HcaR_neg	
HcaR_pos	mhpA//allE//
HdfR_neg	
HdfR_pos	
HigA_neg	dkgA//
HigB-HigA_neg	speA//
HipAB_neg	aroF//sodA//
HipB_neg	caiD//puuA//prpD//
HyfR_pos	fau//
HypT_neg	fadD//phr//
HypT_pos	pheS//ynfF//galT//edd//fes//
IclR_neg	gdhA//yiaK//ssuE//
IdnR_neg	icd//mazG//
IdnR_pos	accC//umpH//lhgO//cysK//
IlvY_neg	
IlvY_pos	xylB//
IscR_neg	aceA//deoB//glxK//fadM//
IscR_pos	pfkA//fadD//
KdgR_neg	gabD//rnpB//
KdpE_pos	yfdE//
LacI_neg	idnD//ycjG//aspC//
LeuO_neg	
LeuO_pos	ilvC//gcl//bioF//pyrC//fucI//tnaA//
LexA_neg	sucC//citG//hmp//hyaA//adhE//tehB//rbsD//argF//nemA//paaF//carB//rbsD//deoC//hcaF//trpA//argH//serA//glnA//glpA//rbsD//fucU//
LldR_neg	hcaF//cysK//
LldR_pos	puuB//ugpQ//
LrhA_neg	
LrhA_pos	
LsrR_neg	rhaD//yibQ//dkgA//pspE//leuC//
LysR_neg	
LysR_pos	ruvA//
MalI_neg	cysC//malZ//
MalT_pos	gloA//mhpD//nagA//nagA//add//dapB//
MarA_neg	uxaC//
MarA_pos	paaH//metK//garR//umuC//hcaE//putA//chbG//hcaE//dgcZ//allE//katG//katE//ftsI//carB//tdcG//rnpB//glcE//patD//lyxK//hycF//prpB//metE//
MarR_neg	
MatA_neg	relA//
MatA_pos	
MazE-MazF_neg	ruvB//
MazE_neg	moaE//
McbR_neg	
McbR_pos	
MelR_neg	carA//malQ//
MelR_pos	nemA//malY//
MetJ_neg	malP//dinB//fabH//nrfC//serA//lsrK//ynfG//glgB//bioD//aceE//
MetR_neg	gatY//
MetR_pos	cynT//citX//hyaA//nrfA//
MhpR_pos	trpD//hcp//ssuD//gltB//glgB//asnB//
Mlc_neg	cysN//fau//prpB//galM//
MlrA_pos	wrbA//
MngR_neg	lpxA//rimK//
MntR_neg	malS//
MntR_pos	tdcB//
ModE_neg	waaZ//hypB//malY//tauD//dhaK//prpC//uxaC//rutA//
ModE_pos	appA//glmS//paaB//cysC//trpA//ampC//
MprA_neg	allA//dgcZ//lpxA//
MqsA_neg	narG//leuC//
MraZ_neg	glmS//moeA//uxuB//mhpB//eno//fruK//pgi//ogt//allE//phnH//glpC//
MtlR_neg	napA//relA//lyxK//
MurR_neg	gatZ//uxuA//sucA//
MurR_pos	
Nac_neg	chbG//umuC//nanA//
Nac_pos	gpmM//icd//accC//umuD//bioF//ychF//eno//
NadR_neg	sdhA//patD//narG//prpC//
NagC_neg	gutQ//metF//phoA//napC//dapD//murG//purM//gapA//yiaK//fadA//dhaL//tauD//metC//lysC//nanE//hypB//frdA//pdeL//
NagC_pos	hycB//ahpC//
NanR_neg	pgi//yeaG//nagB//phnI//zwf//fadH//
NanR_pos	
NarL_neg	pncB//mhpA//astD//mnmG//gatD//gor//xapA//nrfB//tynA//paaE//lacA//puuC//citF//glpA//argG//sgbH//asnB//bioC//hcaE//argH//astC//astC//nirD//katE//
NarL_pos	fadM//gcvH//phnI//hyaC//acnB//appA//mnmG//paaY//deoA//paaY//mngB//nanK//napC//
NarP_neg	tnaA//pdeH//nirB//
NarP_pos	ybjG//citX//ribA//caiC//allA//prpB//astD//cynS//eno//metK//
NemR_neg	purM//purD//
NhaR_pos	wecB//pyrC//puuA//nanM//ttdA//
NikR_neg	hcaF//
NimR_neg	fadH//
NorR_neg	
NorR_pos	dapD//
NrdR_neg	cysG//trpE//murC//citC//
NsrR_neg	phnH//tdcB//fumB//mhpD//rpiB//ynfE//rutC//waaY//aroL//aceF//ulaG//cysI//allD//rnpB//cysN//waaZ//glgX//cueO//cysM//allA//purE//allA//ttdB//ttdB//ppiA//mpl//zwf//caiD//hcaF//pgaC//yiaK//mazG//sgbE//cynT//yqjH//appA//
NtrC_neg	xylA//rfe//
NtrC_pos	ruvB//trpB//fabB//bglB//uxaA//adhE//phnL//tnaA//araB//nrdA//citF//melA//cueO//garK//lsrG//sucC//fucA//patD//atoB//argB//caiA//
OmpR_neg	fbaB//gcvT//rfe//adhE//allB//
OmpR_pos	cueO//argG//uxaA//yibQ//
OxyR_neg	aroF//dacC//ppc//talA//bioC//
OxyR_pos	murE//purC//cynT//napB//fucO//nfsB//ttdA//fadB//rnpB//
PaaX_neg	ppiA//garK//wrbA//fabA//glcE//garL//pspE//puuE//purM//
PdeL_pos	ulaG//
PdhR_neg	atoD//argF//cadA//tpiA//mhpC//uvrC//murF//fabA//cysI//rffC//pgpC//hcaD//fadI//bioF//alaC//deoB//gadA//dapD//melA//pyrD//ychF//murD//mhpA//purA//
PdhR_pos	alaS//ldtB//
PepA_neg	rutE//ycjG//
PgrR_neg	glxK//metF//
PhoB_neg	nagB//dgcC//tam//frdD//
PhoB_pos	aceA//fruK//sdhC//lacZ//katE//atoD//ychF//bioD//purC//ldtD//napC//ybaS//paaI//ruvA//rdoA//prpD//
PhoP_neg	accD//sgbE//rbsK//
PhoP_pos	wzb//katE//mazG//arsC//hcaC//add//cynS//gcvT//ldtD//pncB//appA//pspE//acnB//accA//rutA//gatY//dmsB//ybaS//ubiX//lldD//yeaE//xapA//atoD//murC//nrdD//mhpC//rhaD//dmsB//pdeH//pdeR//uxaA//gltB//
PrpR_neg	
PrpR_pos	patD//murD//fadI//nagA//
PspF_neg	
PspF_pos	atoB//
PurR_neg	allB//pdeL//metC//malP//rutB//sgbE//trpB//citG//mtlD//mhpE//moaE//ddlB//argC//glgB//fucO//pnp//phnN//mraY//ascB//wecB//add//cysE//ftnA//lpxC//mhpD//galE//
PutA_neg	frc//allA//
PuuR_neg	mhpC//glcD//glyA//paaI//acnB//tam//
QseB_pos	
RbsR_neg	hemL//ampC//aldA//mltF//dhaM//
RbsR_pos	oxc//
RcdA_neg	
RcdA_pos	rhaD//
RclR_pos	
RcnR_neg	sucC//
RcsAB_neg	gcvH//
RcsAB_pos	eno//sgbH//
RcsB-BglJ_pos	aroH//glcB//
RcsB_neg	deoD//
RcsB_pos	ybjG//ppiA//prpE//
RelB-RelE_neg	ycjG//
RelB_neg	deoB//
RhaR_pos	
RhaS_pos	entE//sucD//cysI//phnN//
Rob_neg	
Rob_pos	adiA//yfdE//fumC//malS//rutE//pgm//purH//tdcE//entE//cysC//tam//deoA//araD//ppsA//narI//trpB//deoC//relA//phnP//
RstA_neg	araD//acnA//
RstA_pos	paaF//
RtcR_pos	cdd//yeaG//
RutR_neg	gadA//pdeH//ulaD//tdcG//speA//glpA//bacA//nfsA//deoA//aroL//
RutR_pos	aldA//
SdiA_neg	
SdiA_pos	
SgrR_neg	puuA//
SgrR_pos	prpB//entC//
SlyA_pos	
SoxR_neg	
SoxR_pos	rfe//
SoxS_neg	
SoxS_pos	pncB//nanA//lysC//napG//bioD//yqhD//gatY//alaC//aroL//cueO//nagA//hcaB//hycF//gpmA//hcaC//cysM//sucA//lpxC//paaH//iscS//lyxK//gapA//galT//treC//ynfF//xapA//
StpA_neg	sucD//mazG//fadI//
SutR_neg	caiA//rimK//
SutR_pos	
TdcA_pos	trpD//phnM//alaS//aroG//napC//
TdcR_pos	lpxA//yibQ//entC//lyxK//puuC//
TorR_neg	narI//
TorR_pos	hyi//garK//uidA//
TreR_neg	rhaA//ynfG//
TrpR_neg	sucA//dacC//allC//dgcZ//luxS//glgB//lsrG//mltF//pgi//
TyrR_neg	fumB//katE//malY//caiA//garK//pfkA//rffH//
TyrR_pos	talA//gadA//dsdA//
UhpA_pos	fadH//
UidR_neg	entB//metL//
UlaR_neg	gadB//citD//mdh//citG//yeaE//
UvrY_pos	gcvH//hcaF//
UxuR_neg	cueO//betB//katG//pck//astA//
XapR_pos	gcvP//rdoA//
XylR_neg	
XylR_pos	fadE//fucA//ttdB//
YdeO_neg	
YdeO_pos	glcB//folA//glxR//
YedW_neg	iscS//garR//
YedW_pos	hyaC//
YefM-YoeB_neg	araB//
YefM_neg	araB//
YehT_pos	
YeiL_pos	
YiaJ_neg	wecB//glcB//aceE//purB//mtlD//hycD//
YjjQ_neg	sgbH//
YpdB_pos	
YqhC_pos	hcp//murQ//
YqjI_neg	ogt//
ZntR_pos	hcaD//
ZraR_pos	
Zur_neg	guaB//
