# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	pnp//cysI//
HU_neg	pdeL//mpaA//araA//cysN//bglB//aspC//fadB//
HU_pos	
HcaR_neg	
HcaR_pos	nadB//cadA//
HdfR_neg	
HdfR_pos	
HigA_neg	nrdF//
HigB-HigA_neg	sucA//
HipAB_neg	pyrD//pheS//
HipB_neg	tktB//ssuE//gapA//
HyfR_pos	pspE//
HypT_neg	aroF//rffM//
HypT_pos	rbsD//wecB//cysH//bacA//gor//
IclR_neg	kbaY//ribA//fdhF//
IdnR_neg	pgaC//melA//
IdnR_pos	cysE//hcaB//prpB//cysK//
IlvY_neg	
IlvY_pos	ogt//
IscR_neg	glpC//glxK//tynA//pfkA//
IscR_pos	betA//appA//
KdgR_neg	phnN//lysA//
KdpE_pos	ulaD//
LacI_neg	mhpA//speA//ampC//
LeuO_neg	
LeuO_pos	codA//fadA//aceF//puuB//psd//astC//
LexA_neg	puuB//hycB//ftnA//metE//slt//eda//deoC//cysM//alsE//dhaM//paaG//napH//alsE//fabA//puuA//pheT//caiD//gpmM//caiC//argC//pagP//
LldR_neg	paaK//gpmA//
LldR_pos	fadD//accD//
LrhA_neg	
LrhA_pos	
LsrR_neg	glxR//xylA//fadA//caiC//citG//
LysR_neg	
LysR_pos	dhaK//
MalI_neg	eda//gor//
MalT_pos	guaA//cynS//lacA//gpmM//atoA//wrbA//
MarA_neg	dmsB//
MarA_pos	yiaK//frc//nrdA//astC//phoA//rfe//tadA//argH//rffM//oxc//astC//phr//glpQ//phnH//glgP//paaZ//carB//fucU//sufS//treC//melA//pspE//
MarR_neg	
MatA_neg	ssuE//
MatA_pos	
MazE-MazF_neg	nadA//
MazE_neg	glcF//
McbR_neg	
McbR_pos	
MelR_neg	dgcC//lsrF//
MelR_pos	aspA//accC//
MetJ_neg	torC//amn//tdcG//ubiC//argE//glxR//rffG//galM//codA//hcaF//
MetR_neg	gcvP//
MetR_pos	tehB//purE//phnG//mhpE//
MhpR_pos	fabZ//feaB//glxR//folE//pykF//oxc//
Mlc_neg	phnM//glnA//uvrB//fadH//
MlrA_pos	hcaC//
MngR_neg	sgbU//purD//
MntR_neg	fdhF//
MntR_pos	mhpC//
ModE_neg	argH//metE//puuE//cysM//rffM//cueO//fabA//rutA//
ModE_pos	tyrA//ampC//truB//fadE//ugpQ//dmsA//
MprA_neg	gntK//ruvA//mraY//
MqsA_neg	ubiC//rffM//
MraZ_neg	aspC//fruK//allB//argC//gapA//phr//xylB//cysE//hcaF//speA//dhaK//
MtlR_neg	gdhA//glgC//mpaA//
MurR_neg	yibQ//garR//phnL//
MurR_pos	
Nac_neg	citF//ascB//citC//
Nac_pos	sodB//idnK//entD//patA//fruK//garL//lpd//
NadR_neg	recF//gatD//sgbU//accC//
NagC_neg	paaZ//idnD//fau//ychF//lpd//entD//gatY//tam//mtlD//trpD//bioD//nfsA//rdoA//atoA//mdh//ybjG//lysC//astD//
NagC_pos	hcaC//rutB//
NanR_neg	wzb//patA//nanE//hypF//hemL//astE//
NanR_pos	
NarL_neg	pdeR//ppc//ttdB//chbG//ycjG//eda//lpxA//ttdA//waaZ//nanK//prpD//nirD//accB//ldtB//dkgA//ulaD//fumC//arsC//purF//fucK//uidA//sgbE//ppc//glcF//
NarL_pos	hmp//murF//ybaS//cyoE//ppiA//sdhC//ascB//nrdB//nfsA//katG//dhaM//hcaF//argG//
NarP_neg	dgkA//cysH//galM//
NarP_pos	pgm//yqjH//bglB//gor//mnmG//dacC//fadB//rsmH//fau//tpiA//
NemR_neg	hycD//tktB//
NhaR_pos	ppc//allC//nirB//adhE//ubiC//
NikR_neg	atoA//
NimR_neg	bacA//
NorR_neg	
NorR_pos	nrfA//
NrdR_neg	argG//gpmA//fadM//phnL//
NsrR_neg	fabD//yiaK//pagP//dmsA//glcB//speB//atoD//glcD//tnaA//fabI//nirD//sodA//metL//pflB//mdh//aroH//betB//aceF//idnK//entC//poxB//ahpF//torC//hycF//gabD//folA//gnd//uxuA//psd//rutC//hycE//argF//pgaC//pgaD//fadH//carA//
NtrC_neg	ssuD//fadH//
NtrC_pos	rutD//tpiA//tpiA//mngB//pyrD//dacC//paaH//pnp//gor//citE//uxaB//murE//aceE//narH//ahpC//fabD//hcaE//rpiB//ttdB//nadB//uxaA//
OmpR_neg	atoB//pck//moeA//cynS//rutD//
OmpR_pos	nirB//narH//ahpC//chbG//
OxyR_neg	alaC//yibQ//prs//rutB//appA//
OxyR_pos	paaY//fabG//moaE//rpiB//dapB//paaJ//rbsK//nadB//argH//
PaaX_neg	alsE//gatZ//nfsB//bioB//mraY//rutA//waaH//bacA//tyrA//
PdeL_pos	umpH//
PdhR_neg	ftsI//mnmG//waaH//sgbH//aspC//nrdD//galE//alsE//puuD//pdeL//metB//rffH//nrfD//hmp//ilvC//ulaF//glcB//sdhC//purM//dsdA//trpD//purL//kbaZ//lpxD//
PdhR_pos	uvrB//hcaD//
PepA_neg	argA//folA//
PgrR_neg	dhaM//nrdA//
PhoB_neg	citC//trpB//ssuE//dmsB//
PhoB_pos	wzc//fucA//citF//aceA//pykF//carB//recF//tyrB//ynfF//uidA//ynfF//ugpQ//hyaC//ssuD//rutA//tyrA//
PhoP_neg	gutQ//pgi//puuC//
PhoP_pos	entE//adhE//pgaB//entH//atoB//phnN//ruvB//mhpF//ulaD//ychF//araB//allB//metE//ynfH//metE//accC//lysA//dhaK//wzb//ldtB//argF//fadM//pflB//nrdD//srlD//talA//hycE//paaJ//uvrC//argH//rhaA//gcvH//
PrpR_neg	
PrpR_pos	accB//murE//alkA//glnA//
PspF_neg	
PspF_pos	ppc//
PurR_neg	nemA//allE//rnpB//dgkA//puuB//glnA//garR//carA//gltD//malZ//uxaC//ulaG//dapB//ulaD//rbsD//garK//wecC//phnI//fucU//fdhF//chbG//fabA//ddlB//ftsI//dkgA//betB//
PutA_neg	rfe//psd//
PuuR_neg	ahpF//alaC//wzc//caiC//zwf//pflB//
QseB_pos	
RbsR_neg	hcaF//astD//hycD//pagP//trpD//
RbsR_pos	rffH//
RcdA_neg	
RcdA_pos	ynfF//
RclR_pos	
RcnR_neg	fes//
RcsAB_neg	nrdB//
RcsAB_pos	guaA//rfe//
RcsB-BglJ_pos	cynT//mltF//
RcsB_neg	prpD//
RcsB_pos	frdB//sodB//ttdA//
RelB-RelE_neg	fumC//
RelB_neg	nrdE//
RhaR_pos	
RhaS_pos	phnP//nanM//pheT//dhaK//
Rob_neg	
Rob_pos	citG//murF//pck//aceF//waaZ//rbsK//nanE//glxR//ubiX//lsrG//ulaE//argB//murF//fabH//glgA//fabI//dhaK//argE//ldtD//
RstA_neg	uvrB//gudD//
RstA_pos	glcD//
RtcR_pos	uxaC//sdhC//
RutR_neg	moeB//trpE//gnd//ynfF//fabD//purC//ulaD//cueO//aceB//pgaC//
RutR_pos	nrdF//
SdiA_neg	
SdiA_pos	
SgrR_neg	puuD//
SgrR_pos	puuD//cysK//
SlyA_pos	
SoxR_neg	
SoxR_pos	malZ//
SoxS_neg	
SoxS_pos	mltF//nadA//araA//alaC//gadB//metA//mpl//rimK//nemA//gdhA//fruK//nrdA//puuD//alkA//nanK//caiC//fucI//malS//wecC//purM//hypF//fruK//citD//paaY//mazG//frdA//
StpA_neg	pgaD//iscS//phr//
SutR_neg	bioA//aceA//
SutR_pos	
TdcA_pos	waaY//fadB//ahpF//fdhF//sucB//
TdcR_pos	pgaB//uidA//treC//aceE//nrfD//
TorR_neg	cyoE//
TorR_pos	murE//pdeL//metF//
TreR_neg	cysM//fadD//
TrpR_neg	sucC//adiA//purF//deoA//dkgA//glcB//napG//mhpE//dhaL//
TyrR_neg	galT//aceF//glcE//putA//puuC//treC//nrdB//
TyrR_pos	gloA//galM//mhpE//
UhpA_pos	gabT//
UidR_neg	katG//lpxD//
UlaR_neg	wecB//ruvA//pyrC//glcF//nrdF//
UvrY_pos	umuD//nrfA//
UxuR_neg	yeaE//moeB//poxB//fabZ//thrS//
XapR_pos	cysC//pck//
XylR_neg	
XylR_pos	malY//bioD//chbF//
YdeO_neg	
YdeO_pos	cysN//nagA//sufS//
YedW_neg	nadA//rutA//
YedW_pos	hcaB//
YefM-YoeB_neg	moeA//
YefM_neg	gloA//
YehT_pos	
YeiL_pos	
YiaJ_neg	nrdD//fumC//ubiA//mnmG//ahpF//purL//
YjjQ_neg	puuC//
YpdB_pos	
YqhC_pos	adiA//dgkA//
YqjI_neg	citF//
ZntR_pos	nemA//
ZraR_pos	
Zur_neg	prpD//
