# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	argG//garK//
NtrC_pos	idnO//napA//phr//garR//ynfF//umuD//idnK//glgP//nirD//leuD//fucK//rhaB//fumC//glcD//pnp//hcaE//dgcZ//glnA//glcF//ruvB//yeaE//
OmpR_neg	tehB//lpxC//astD//bioC//argI//
OmpR_pos	nadB//mnmG//glpC//glcE//
OxyR_neg	lyxK//phnP//argH//amn//metF//
OxyR_pos	nanK//aroF//citF//fadH//uvrB//carB//idnO//fabZ//argE//
PaaX_neg	mraY//polA//wecB//fumB//garD//umuC//melA//xylB//deoD//
PdeL_pos	glcF//
PdhR_neg	glcF//cysC//sgbU//metK//tyrB//srlD//araA//paaZ//rhaB//alkA//ynfF//bglB//mhpA//sucB//dinB//acnA//katE//ynfF//paaH//ssuD//hcp//cysD//rbsD//treC//
PdhR_pos	fau//aceE//
PepA_neg	fabB//accB//
PgrR_neg	hcaE//appA//
PhoB_neg	ascB//phnL//ychF//trpE//
PhoB_pos	fdhF//relA//idnO//srlD//narH//sucD//rdoA//trpB//sdhA//trpC//purC//pck//aceE//argC//mhpD//mhpB//
PhoP_neg	fucA//purB//hyaA//
PhoP_pos	dgkA//purN//cadA//dkgB//cysH//hcp//ldtD//uxuB//fau//pgi//moaA//hmp//wrbA//hyaA//entE//dapB//fucO//citF//alkA//katG//alaS//glpX//patA//glpD//prpC//trpE//glcF//ldtB//napG//yqjH//fabZ//alaC//
PrpR_neg	
PrpR_pos	lacZ//narI//fucO//fes//
PspF_neg	
PspF_pos	uidA//
PurR_neg	ada//malS//udp//napH//xapA//hycD//serA//uxaA//tdcD//aroF//tehB//hmp//dhaL//acnB//metC//fumB//sgbU//gadB//deoD//sdhA//metL//feaB//hcaF//tam//metF//allA//
PutA_neg	argA//entF//
PuuR_neg	nadB//citG//sgbU//napC//fumC//puuB//
QseB_pos	
RbsR_neg	nanA//moeB//wrbA//ttdB//paaF//
RbsR_pos	patA//
RcdA_neg	
RcdA_pos	glgC//
RclR_pos	
RcnR_neg	hyaA//
RcsAB_neg	fabZ//
RcsAB_pos	dmsA//lhgO//
RcsB-BglJ_pos	glmS//allE//
RcsB_neg	argC//
RcsB_pos	napC//dmsB//folE//
RelB-RelE_neg	rdoA//
RelB_neg	uxuA//
RhaR_pos	
RhaS_pos	ynfE//hemH//cysC//narG//
Rob_neg	
Rob_pos	entF//speB//sufS//frdB//alkA//dinB//guaB//glpB//nrfC//murE//wecC//murI//citX//dsdA//cysE//nanK//waaH//speB//napA//
RstA_neg	puuC//pck//
RstA_pos	waaY//
RtcR_pos	astD//mhpF//
RutR_neg	nrfA//argG//atoA//hcp//sucC//pheS//patA//accC//hycD//aspA//
RutR_pos	yeaE//
SdiA_neg	
SdiA_pos	
SgrR_neg	fdhF//
SgrR_pos	rffC//astD//
SlyA_pos	
SoxR_neg	
SoxR_pos	fucA//
SoxS_neg	
SoxS_pos	talA//fadI//ung//mhpB//torA//rhaD//mhpD//pyrD//frc//aldA//ubiA//murI//tpiA//ynfF//dhaL//oxc//accB//argB//hcaB//aceB//fabI//paaF//allA//lacA//sdhC//hyaC//
StpA_neg	moaA//ppsA//glnA//
SutR_neg	mhpF//gatZ//
SutR_pos	
TdcA_pos	ilvC//napH//phnJ//metK//amn//
TdcR_pos	glgA//ppc//ahpC//alsE//argI//
TorR_neg	ttdA//
TorR_pos	glgB//tam//cysE//
TreR_neg	pspE//betA//
TrpR_neg	ascB//lsrG//ada//ssuE//glcD//puuD//dhaK//malS//paaY//
TyrR_neg	rutA//mazG//narI//asnA//folE//dhaK//nagA//
TyrR_pos	rdoA//araA//polB//
UhpA_pos	rnpB//
UidR_neg	hyaA//aceB//
UlaR_neg	purK//mhpD//bioC//tadA//purN//
UvrY_pos	fadB//glmS//
UxuR_neg	phnP//ruvA//glcF//gltD//metA//
XapR_pos	astC//accC//
XylR_neg	
XylR_pos	nrfC//caiA//metE//
YdeO_neg	
YdeO_pos	betB//sdhD//hcp//
YedW_neg	nrdB//ada//
YedW_pos	purB//
YefM-YoeB_neg	fes//
YefM_neg	poxB//
YehT_pos	
YeiL_pos	
YiaJ_neg	metC//lpxA//fdhF//pyrD//hcaF//dapB//
YjjQ_neg	mhpD//
YpdB_pos	
YqhC_pos	ybjG//argD//
YqjI_neg	gpmA//
ZntR_pos	ychF//
ZraR_pos	
Zur_neg	rnpB//
