#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	ybdM//ptsG//mdtA//nanE//
GO_0000160_5	kch//ycjW//gsiC//sufC//viaA//yieE//gutQ//dnaB//cobB//yfhM//lolC//wcaC//solA//dkgB//allD//purU//bglH//btuD//yhiM//hscB//ulaA//ycjQ//hemA//yfcU//msrP//yigL//pyrF//wcaC//yjgX//murC//mlaE//trkH//yqaB//iclR//mutM//rpsK//evgA//dcp//ycbU//exbB//ytfP//dsbC//tusD//
GO_0000162_7	infB//metC//ssb//phoA//emrK//nanC//nrdD//ftnA//nagC//
GO_0000255_5	yqjH//opgH//kdgR//mngR//blr//
GO_0000256_6	yiaN//bcr//pncB//adiY//higB//
GO_0000270_7	mrcB//bcr//feaB//trpS//pbpC//metK//gltX//wecB//nrfC//yieH//ddlA//gpr//ssuC//lptC//cas2//pdeF//ulaE//fecB//apaH//ydbK//mtn//csgA//gstA//trmO//insI1//dgcJ//tauA//tnaC//sgrR//dgcF//nrdD//cysB//rluC//yehU//xylA//ldrD//coaD//hisD//dctR//ymgF//elbB//alsC//rlmB//ttdT//dedD//ycfJ//xylB//nlpD//menB//yadI//hemG//cpdA//ybgQ//yfiF//ybgI//rusA//alkA//eptA//tcyL//tgt//glpF//ibaG//recF//
GO_0000271_6	gluQ//rsmF//flgB//intE//yedA//hisQ//yhaV//xylE//dgcE//xerD//cfa//yjcS//blc//ttdB//adiA//cyoC//tsf//ynbB//actP//abgT//yhbO//cof//chbC//pdeD//yfjR//yhaC//nlpI//pdeL//dmlR//yfdK//yhdJ//speB//cas1//malS//rsmF//bioF//ilvM//yedL//murG//dnaE//ompN//sufC//rpiB//yjhG//bcp//yfbS//yhaC//ulaA//ytfQ//rfbB//
GO_0000272_6	fimI//pflB//ruvC//fabA//gsiC//glpA//
GO_0000302_5	hofP//yphF//malP//sspA//glgC//rpsK//moeB//glpC//speA//ydfG//pckA//metF//ahpC//yqaA//glpF//menF//ribE//yhhT//yhdW//uacT//rapA//lolC//kdsA//lrhA//agp//pntA//glpF//thrS//sufA//nadK//fimB//
GO_0000303_6	yedF//narI//
GO_0000305_5	menA//dgcM//arnE//
GO_0000372_11	cobB//
GO_0000375_9	rpoS//
GO_0000376_10	elfG//
GO_0000413_9	hicB//frdC//truA//potE//cbtA//dapD//hisQ//dctR//
GO_0000451_7	hicA//ybjG//yjjW//phr//ttdA//
GO_0000453_8	yehX//ribD//aceF//glgX//ribC//
GO_0000455_9	tolC//ydjJ//purN//tusE//hyaD//sucA//glsA1//
GO_0000462_11	hlyE//rcsC//
GO_0000469_8	yhaV//
GO_0000470_10	yfdS//
GO_0000478_9	yagJ//
GO_0000715_6	idnD//
GO_0000716_7	dcuA//
GO_0000724_8	dusB//
GO_0000725_7	melB//nmpC//crp//rmuC//alkA//trmA//
GO_0000726_7	ftsI//
GO_0000731_7	tcyP//lptG//nupX//ybiJ//arnE//kup//lpxP//
GO_0000737_7	hldE//
GO_0000738_7	rayT//pgaA//rhaR//
GO_0000746_4	yahF//
GO_0000820_7	narJ//
GO_0000902_5	yihS//
GO_0000910_4	yfdO//wcaB//rhlB//pstB//pdeL//rmuC//murP//nlpA//adk//paaG//rpsH//rbsR//dkgB//fadM//fadE//hprR//nrdB//caiD//
GO_0000917_6	kefB//ybiS//kefG//arnA//bcsA//
GO_0000918_6	sohB//ybiA//rhmR//frdB//
GO_0000920_3	yegS//argH//pfkA//speG//thiE//
GO_0000921_6	fnr//
GO_0000966_8	dnaG//ugpC//rpmJ//lapA//
GO_0000967_10	chaC//uvrC//galP//
GO_0001101_4	pepA//sspB//rppH//nuoH//cysA//paaD//ampH//pgaC//ygcR//glnK//rplN//def//uspG//intA//iraD//mutY//metR//luxS//gadA//ydjK//gapA//entS//yieF//pspG//ggt//nlpI//
GO_0001121_7	panC//frwC//
GO_0001123_8	mukB//
GO_0001124_8	rimL//
GO_0001407_7	yehW//ascG//rutE//polB//
GO_0001505_4	amiB//pmbA//ymdB//opgC//arnE//ftsW//insE-1//aaeB//clcA//rfaH//kilR//cvrA//galF//ptsG//yccA//arfA//
GO_0001510_5	recC//hycI//ypjD//ycjP//trmH//sdaB//murJ//mltF//cysP//feaB//deoB//yehX//minC//luxS//nuoG//fhuF//yfbR//hemH//ybaT//fetA//ligA//galK//ybaQ//hemF//oppB//mdtK//htpX//map//yohC//deoC//puuB//rlmD//ydiR//fhuF//yehZ//dsbA//ldtE//rph//sfmD//vsr//
GO_0001514_8	cysZ//
GO_0001522_7	ampG//yqeA//ygbI//yidA//purL//tsaE//treB//yiaO//thrL//dinQ//argP//sdhE//mntH//
GO_0001539_4	rbfA//dauA//otsA//waaS//ydiK//rpoD//pgaC//sucD//hemL//gudP//cynX//trpGD//proQ//cobB//chaA//glxK//ptrA//narX//hupB//napD//umuC//yoeE//yjhI//lysR//hcp//csiD//torY//mdtJ//mepM//speF//yraR//
GO_0001558_5	iscR//fadD//arfB//hofM//rutF//xisE//nrfD//fsr//
GO_0001561_6	suhB//
GO_0001666_4	ampH//
GO_0001676_6	pgaA//ruvA//prmB//
GO_0001680_11	ybaT//
GO_0001682_11	ldtA//
GO_0001731_7	menE//
GO_0001762_6	sutR//
GO_0001887_4	yijO//ydiB//yehZ//
GO_0001896_5	lptG//yqcG//fadE//ycdY//
GO_0001907_5	hicB//galK//tsaB//nirD//
GO_0001932_8	ecpR//iscS//
GO_0001934_9	kefB//
GO_0002047_6	insI4//sdaA//
GO_0002097_8	nadD//lipB//glrK//rsfS//efeO//alsA//insK//argG//hybD//hisF//dgoA//ftsK//sfmA//ybdO//cof//sapF//tdcE//cusR//astC//
GO_0002098_9	insI3//yccX//yggW//yihO//mlaD//coaA//sdhC//uvrY//thrL//ugpE//gatY//ssuA//fhuC//
GO_0002099_9	cecR//uup//
GO_0002100_9	rutC//
GO_0002101_9	ivbL//ydhQ//
GO_0002128_7	kefG//adhP//patA//ychO//
GO_0002130_8	aroK//
GO_0002131_9	cysC//
GO_0002132_9	insH-6//
GO_0002136_10	treR//
GO_0002143_9	rbsD//rimK//gmd//hsrA//lnt//rhtA//
GO_0002181_7	frmR//argI//
GO_0002183_5	fimG//
GO_0002184_8	queF//
GO_0002188_6	glpA//
GO_0002190_6	yihP//
GO_0002192_8	ycjR//
GO_0002252_3	prmA//rbn//hslJ//araD//lrp//phnN//entD//pntB//rhaM//serB//
GO_0002790_6	rlmF//menB//hrsA//rplK//cspI//sfmC//mobA//
GO_0002937_9	kbaZ//
GO_0002938_8	ypdC//
GO_0002939_7	insA-2//
GO_0002943_8	narG//
GO_0002949_8	leuA//mnmA//ldtA//ompA//
GO_0003333_7	mnmC//ubiA//lnt//tdk//flhA//cusC//gatY//kdpD//era//cobS//rhmR//elfC//hdfR//nanE//oppF//yiaM//hsrA//rimJ//zwf//trg//erfK//ygdG//aidB//mtlR//fimI//yccS//fimI//mreC//decR//lapB//iscA//recC//cspE//recT//ribD//cdgI//fdoI//serC//sbmC//uxaB//lpxB//hisG//ftsK//yraH//rof//yjbB//agaW//ssuE//nlpE//
GO_0005975_4	yieK//flhC//fhlA//rdgC//yjfP//psuT//ydfH//ybhR//agaR//ygeV//ybjL//clpS//insF-1//torS//pyrH//gsiA//yibA//adiA//yafC//pykF//htpG//hcaR//mcbR//yihX//paaB//oppD//pdxK//yedX//opgD//fic//phnG//hcaC//waaO//blr//mgsA//degS//clsA//hycB//mfd//mcrA//lldR//zraR//livF//sufB//fadR//fimB//flgI//yaaJ//nadC//rfaH//shoB//yeeL//sspA//ahpC//ydiP//trkG//pstA//atoS//trpD//wzc//yicJ//nuoL//lit//pykF//nagC//folP//btuD//fhuD//poxB//murR//grcA//mppA//ybcQ//yahD//mscS//hofO//hdhA//narQ//fumB//hinT//ybjL//sugE//casC//qseB//mrcA//cra//slt//hrsA//ydhK//ibpB//rsmB//sgbE//hybA//dinQ//gpmA//yhjX//pyrB//mtr//tdh//frwD//thrC//cmoM//ibpA//yfaL//uxaA//csgA//pdeL//fadJ//plsB//clpS//yfbR//corA//lipA//rplA//tsf//frr//dps//glnB//fumA//csgG//hflK//rhlE//yagG//nimR//lacZ//yrbG//iraP//ycjY//tdcD//rho//ynfK//lysP//galM//lptG//pspA//grcA//hemC//aas//carA//ybiJ//pta//yfcG//feoB//uspF//ydaC//gpr//aroG//dmsB//ibpA//kch//sapF//wrbA//aroF//mdtD//rmf//lspA//rhmD//ydjM//yfjR//rimP//yjjB//hflK//livF//yggD//ivy//arsR//rplW//fadA//mhpA//mdtF//galK//yajQ//spy//yciG//clsA//cheY//aroL//fepB//ssuC//yejE//mltA//thrB//cmoB//nanE//relA//yahF//murP//crr//yegT//yqaB//mglB//kdsB//guaD//narI//sfmF//kefB//mug//lyxK//frmA//murP//ttdR//galM//yoaA//dmsC//aroC//gadC//astC//ybhJ//rplO//rlmG//rtcB//dctR//thiL//fhuC//hybE//caiF//yfcQ//asnA//pstB//ybgQ//dppF//ptrA//murR//gpsA//cusR//mazG//def//zur//rpsO//fdhE//yjjQ//yjbH//tcdA//glcA//kbp//lysO//cyoB//spy//ycaN//rpsK//agaV//cysZ//nuoN//iscU//yhhZ//ilvN//yqhD//dld//groS//ldtA//yihV//murG//yccA//lysU//
GO_0005976_5	yjhC//fimZ//mdaB//narZ//hypD//xylE//ibsC//moaE//ycgR//lapA//ydeO//queC//queC//dnaJ//ulaG//alkB//kefF//rplC//agaD//queC//cmk//ybiV//rsmD//uidC//purB//yggP//ykfI//hybB//ugpA//recR//ade//ybjI//chaC//recC//hcaT//entB//hsdM//yedA//yraN//bioA//tadA//rplI//ribA//yjjX//dgcJ//yabI//kdgR//sufA//sodC//rhtC//dedD//glpX//hlyE//frlA//bacA//der//ybiY//sspB//mioC//
GO_0005977_6	paaE//nanC//wza//cysU//cusA//panF//fepD//ygdG//
GO_0005978_7	mtfA//dmsA//rmuC//barA//
GO_0005979_8	lpxC//
GO_0005980_7	yqjA//ydcS//ybiH//
GO_0005981_7	yegS//
GO_0005984_5	frvR//ybiV//focA//purL//sthA//modB//acrA//ldcC//rbsB//secG//yfaX//
GO_0005985_6	pphA//
GO_0005986_7	decR//
GO_0005988_6	mlaC//caiB//
GO_0005990_7	fepB//metG//
GO_0005991_6	panZ//pgrR//gatB//msrA//yjtD//
GO_0005992_7	hlyE//fdoH//
GO_0005993_7	scpB//pgaD//gnd//
GO_0005994_6	araA//
GO_0005995_7	comR//
GO_0005996_4	pdxJ//dhaM//proX//valS//xylB//glnK//yddA//ybeF//mutM//yihO//yebS//rimI//glnB//gcvT//potH//sgbE//hemB//yiaN//deoR//ybaO//cca//yhcD//btuC//ftsP//argD//yfgI//setA//bssR//agaR//kefC//fabI//gadW//moaD//rraB//metF//ptsG//djlC//nrfC//ftnB//yeaE//yfiC//yfcS//trpB//mngA//oppF//slyD//nrdB//glrR//secG//uidA//yfaU//fhuB//endA//hchA//ydjJ//msrA//bglH//glpK//rbsB//puuA//ribC//manA//astC//ibaG//umuD//mmuM//argK//pgsA//yqeG//rcnR//gyrA//yghO//torS//ydiB//gntK//csdA//aaeA//cyaA//tcyN//rnt//phr//serA//
GO_0005997_6	ruvC//
GO_0005998_7	radA//
GO_0006000_6	ebgA//iclR//thrL//
GO_0006001_7	ynhG//ulaR//
GO_0006002_5	nupG//nikC//lldD//
GO_0006004_6	sfmF//ygfI//nlpI//hcaB//pmbA//yajQ//
GO_0006006_6	tusA//yehU//malS//prmC//sdhB//yqaE//cmk//yidL//glyA//glrK//yhcH//amiC//pabB//baeS//tomB//lipA//yidZ//nikB//cstA//nrfC//yraR//yjhI//uspG//
GO_0006007_7	yhjD//lexA//aroF//
GO_0006011_5	kefB//
GO_0006012_6	potH//dgoK//alaE//yhjD//folX//rpsM//rstB//yfgJ//csgG//
GO_0006013_6	mtfA//otsA//
GO_0006014_6	artQ//rseC//glsA2//
GO_0006015_7	betA//yghG//
GO_0006020_5	ssuD//
GO_0006022_5	eco//ahpC//ybhA//mdtQ//gatD//prlC//allR//eamA//zapB//nadK//alaE//napC//lptA//ftsA//rhaS//ftsL//gutQ//pgaC//hscB//rssB//manX//ghxQ//kdsC//skp//yhfK//malI//yhcH//dacB//xseB//ssb//ftsL//ydcI//glgP//iap//yijO//pyrL//agaI//yfdS//ycbX//phnK//yafN//ihfA//ybjN//pepT//yjjG//dhaM//dacA//maoP//glmU//mcbA//topB//puuP//ynbC//yahD//treF//moaB//htpX//suhB//btuR//rdgC//yjiA//yajO//ymfK//
GO_0006023_6	xylG//ydiB//chbF//djlC//sugE//gor//nimT//gntT//hofO//nrdE//phoB//rcsA//aldB//menD//cmoA//betA//proX//ybbN//csrD//fhuD//dicA//yrbG//rho//cycA//yfbU//rsmG//kdpC//yfbS//trpE//ttcA//rcnB//talB//mdtN//csgG//pncB//ugpE//mntH//metF//dhaR//
GO_0006024_7	yceK//ssuE//yfcF//zur//amiC//metN//proA//yehY//ydiZ//ppiA//yjjG//ompR//seqA//gatC//cysB//ybhG//ygjR//bdcR//dacA//yraJ//fabR//ompG//acpT//marR//citT//rpsT//zitB//ftsX//purU//ulaC//yciA//clsC//pmbA//pagP//mdtD//ybjI//btuR//flgK//murF//
GO_0006026_6	mdtJ//nikE//dppC//osmE//tusA//nudC//galR//yfeO//waaY//ribD//
GO_0006027_7	ygeV//yabI//rplD//hmp//yhhT//ycgB//maoP//phoR//thiG//sgbH//
GO_0006040_5	ygfI//ychH//yhcD//trkA//cutC//ccmA//ldcA//mdtE//ttdR//fhuD//gcvR//nhaB//ydiV//ptsH//hflD//ldtE//yeeY//
GO_0006044_7	hexR//csgE//hdeD//abgR//yfeD//
GO_0006046_8	dicC//mrdB//yqiG//gltK//
GO_0006047_5	pepB//phnJ//add//fdnH//cyoA//lldP//fepD//
GO_0006048_6	motA//opgC//glpF//ybhA//arfA//tpx//
GO_0006050_6	sufA//
GO_0006051_7	yihT//
GO_0006053_8	agaD//
GO_0006054_6	argH//bolA//pepB//umuD//pheS//waaP//nadK//
GO_0006056_6	paaD//
GO_0006057_7	paaH//
GO_0006059_6	gstA//ilvE//ccmF//rlmF//
GO_0006060_7	ybgI//
GO_0006062_8	yaaU//
GO_0006063_5	ubiI//otsB//hdeA//sodA//yoeE//asnB//rseB//rfbX//recB//
GO_0006064_6	dtpC//avtA//wzzE//agaC//oppD//fadL//
GO_0006066_4	marA//tsaE//acrA//zwf//nrfF//glcD//idnK//hokE//glgP//potA//ppiD//zapC//arnE//casA//csgA//bamE//frdA//sfsB//udp//fepD//yjiR//nadA//sulA//aroB//allR//oppF//hisM//yggE//ettA//yejB//rsfS//hisD//
GO_0006067_6	aroG//kefC//rzoD//
GO_0006071_6	ybdM//fliK//tolA//cirA//mgtL//nadB//mog//
GO_0006072_6	trpB//yejB//frvA//sucB//crl//
GO_0006073_6	ligA//gntT//rpe//glpR//yhcH//appA//truC//gltK//ruvB//ldhA//recR//argP//recJ//pck//ftp//dhaM//nudB//ygcR//lysA//cvrA//
GO_0006081_4	nikC//hemE//sapB//panE//yebZ//yiaF//narW//cheY//dacC//pepQ//focB//yhjC//ccmD//hflX//hslJ//pyrG//yggD//phoB//entB//ydcI//treB//glgC//mngA//ybdH//panF//pinR//hofN//baeS//gadE//comR//yihQ//yjhI//ybaQ//tatE//dxs//ccmF//rfbC//rcsA//acrB//degQ//yidQ//yciE//rpmH//yrdA//rnhA//ybdR//efeO//yaaY//pgm//ytfP//paaH//dppD//trmB//kdpD//nrfA//dctR//alsC//frwB//mdtF//ddpA//lacY//spoT//ispU//bioD1//purU//yihR//cysI//
GO_0006082_4	dnaC//envY//bdm//pheS//fruA//tolQ//fruA//dsdX//gatZ//yoaA//eptA//ddpA//lpxT//insF-1//dinJ//sdhB//ybjL//aceA//ydcI//ampD//phnG//pta//spoT//hha//minE//umuD//garK//crcB//caiT//ycgV//hdeD//gapC//sdaB//iscA//ybhD//prfC//rluD//flgJ//wzzB//surA//zapA//fetA//yhdW//artQ//cdaR//wzc//ftsI//mzrA//clpS//alaE//rpsE//dinB//flgK//mtlR//nuoL//ldcA//aceA//yihU//napF//mglC//hupA//ulaF//kbaZ//tcyN//hisB//folX//fabD//relA//artQ//yfcU//cbrC//yehB//tisB//fdhD//glcA//yhaJ//dcuR//panB//yoeE//exbB//dnaK//yihQ//alkA//deoB//xapB//hokB//rng//entE//mrcA//purU//glnE//thrC//cyaY//paaH//hxpB//cspA//mdfA//rpmJ//ybdN//trkG//purN//satP//rfaQ//nemA//xisE//rusA//mutL//glpB//hflK//adiY//ydjH//ybaK//yhhZ//dnaC//pdeK//fkpA//ftsP//opgE//hdeB//yeiL//lplT//narX//cynS//dgt//ldrA//amiB//spy//paaF//thiP//pdxA//yfdO//ffh//cusA//cbeA//tdcB//glpA//asr//ldtD//appY//aspA//hxpA//mglA//aroD//yfcP//pstS//polB//ychF//cedA//sufC//rclR//flgM//creB//tsx//srkA//cynT//holD//glk//ybcM//pepQ//patA//ddlA//psuG//rplJ//potI//glyS//amiB//hscA//puuE//ybgI//pgpB//rhaB//dps//lgoD//ratA//cueO//hyfF//iap//yieE//xisR//plaP//atoC//ftsH//rlmN//btuR//tauB//lplA//yraI//bamC//recR//gntP//ompL//yqhD//casE//tamA//nimT//yjgX//mnmG//higA//treR//surA//ttdA//ldrB//dcyD//arcC//yagE//umpG//dpiB//hycA//artJ//mutY//lgoR//hdeA//ftnA//lasT//efp//acrE//ligB//ttdT//tolC//corA//yphC//srlA//relE//atpF//glpD//mngR//plsX//dcp//yhdH//hpf//mug//yihI//cbl//cvrA//modB//dpiA//allR//yhcN//cspD//oppC//rmuC//rihA//torC//ydcM//ssuB//fhuC//bdcA//mmuP//flgC//tatA//ffh//ortT//uspF//yecS//ygbN//mpaA//rlmJ//purC//srkA//ygeW//nimR//tolR//recD//coaE//amiA//uxaA//yebQ//lgoD//frmA//alsC//dadA//menH//ftsW//comR//aes//xapR//zitB//norV//menD//mntP//tolB//serC//ldrA//nudB//yddL//soxR//rppH//rhsD//prlF//ccmA//rnhA//narL//hexR//yhdW//garP//gltI//rcsC//dnaE//ydhJ//mnmG//argH//mgtL//wrbA//rseC//gadE//fdnH//aroB//mrr//ydcZ//yqjI//prkB//fes//recO//yadC//rluB//ilvE//yeeO//prpB//ymfK//yjiQ//ulaD//yidE//ydiO//truA//dhaL//moaE//insA-1//yggW//diaA//sohB//ibsB//ygaH//ybdM//waaA//malZ//ada//guaC//casE//pgaD//yidQ//idi//tsr//ptsN//cysH//nadB//dapD//yjbG//pyrG//ydeT//sbcD//ibpB//malS//rlmI//mglB//rarA//dut//puuC//cpxR//yraH//ychO//ftsY//baeR//fumB//speB//ybjL//nikA//rimJ//rne//ycbV//yeeA//yhbQ//ybaK//dxr//ydeE//rfaE//yqjH//purU//yihS//narP//yieK//yadM//phnJ//ycjP//cyaA//msrC//yciK//degQ//hrpA//btuB//gstA//ftsK//murG//ubiE//rbsA//mazG//pdhR//bglF//gspI//priA//gatA//hexR//thrC//argA//yfeW//tap//trpB//frvA//leuE//apt//hxpA//yhiM//fimE//ybgQ//ydjM//rep//lon//yeeY//pdeF//tdcC//mtr//yfcG//bisC//marR//sgbH//ygaZ//rbsD//asmA//sgcR//lpp//ybbN//yaaU//yihT//ycfJ//yagG//serC//ybeQ//sgcE//ghoT//frvR//uvrC//atpD//ebgA//yhaO//bepA//murR//degS//hdhA//gpt//yaaY//araC//acrD//gntR//bamE//sufA//btuD//queA//menC//prlF//lapA//pspD//
GO_0006083_6	paaK//ulaF//phnO//relE//atpB//ptrA//
GO_0006084_6	recA//ytfR//
GO_0006085_7	mdoD//ubiE//
GO_0006086_8	fhuD//
GO_0006089_5	lrp//tcyJ//manY//glyS//ygfX//ppx//entB//mtn//ynbB//wecE//pepQ//gnd//insH-5//hrpA//glmS//ileS//mngR//hsdR//tcyP//cynS//xanP//mlaE//guaA//torZ//narH//elfC//birA//ybiA//pal//
GO_0006090_8	motA//hldE//sodA//yfjR//ybbN//sdiA//hypB//rfaH//yojI//rpsH//mrdB//glnH//cheY//ibsD//dcuC//hxpA//secA//pbpC//gcd//atoC//glcB//ybeF//gadC//rspB//umpG//cobB//ackA//rffC//fhuF//paaE//rimJ//
GO_0006091_4	ydeE//sdiA//add//norW//ddlB//ycjU//iraM//htpX//corA//mcrB//ilvA//tqsA//citC//hycB//setC//yhaO//yqcC//srlR//yhgH//ais//cysM//ghrB//sbcB//deaD//ycaO//ybiA//yihQ//ygeA//groL//araE//ftsK//wcaJ//rlmN//fadA//sfmF//lexA//oppA//secD//nrdI//yfdK//casD//iclR//deoR//adk//marA//ybeY//tdk//yjiM//purN//ygbM//yhjX//ybhA//norR//ycbV//seqA//proW//elbB//sufE//oppF//glpR//glnD//bglB//hycI//fimH//yafQ//purB//glnA//umuD//pheT//yagI//phnN//amiB//elfA//ydcM//yeaG//ahpC//araD//nrdE//iap//ycjY//nrfD//ilvM//alaC//rclC//yqeG//speF//hypC//nusA//nrfC//crl//bioD//preA//yrdA//ynfL//yadG//hisH//sufC//bfr//cheB//nac//hmp//alsE//speF//mnaT//paaE//aaeB//hofM//ampH//acrR//syd//ilvL//fixA//
GO_0006094_7	leuA//hisS//yafS//sgrT//mazG//yfcP//clpA//glgB//glcE//pstB//
GO_0006096_6	eutK//fetA//psuT//eno//cdd//cysK//cca//ccmA//ubiE//mutH//yegD//hybO//nirB//mdtF//ghoT//parC//recB//sgcA//
GO_0006097_5	cydA//mgtA//accC//insI-2//csgF//
GO_0006098_6	guaC//hisG//gltI//yjhC//era//
GO_0006099_4	hypA//oppD//crcB//dinB//mepS//ybbY//araA//azoR//dfp//yiaL//rfaF//dhaK//ansB//hofO//hxpB//plsB//cmtA//
GO_0006101_6	ygfI//pykF//ubiH//sapB//ldtA//gabP//basR//ubiE//araE//entB//rbfA//tldD//cydC//aas//folM//rsmA//orn//
GO_0006103_5	ygiB//ttdT//hybG//
GO_0006104_6	scpB//pphB//uspB//
GO_0006105_5	ydcT//rpnB//yphD//tpiA//alaC//cheR//ade//hldE//
GO_0006106_8	der//
GO_0006107_8	rclA//
GO_0006108_8	fdoI//mutT//ydiF//pinQ//galE//
GO_0006109_6	hemC//mreC//yciF//cbeA//dpiB//clcB//dfp//yfeW//dcuB//
GO_0006112_5	pheS//eutB//yggT//trpS//gadC//dnaQ//acs//nlpA//
GO_0006113_5	rlmI//narX//tpx//asnC//nrdE//elbB//yedL//allB//yjjW//fumB//lgoR//amiD//queG//
GO_0006115_6	ftnA//
GO_0006117_5	pphB//
GO_0006124_6	proQ//
