#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	ndk//hipB//ybcJ//aaeR//
GO_0006015_7	mdaB//ackA//
GO_0006020_5	rsmD//
GO_0006022_5	metH//gudX//glrR//tolB//carB//nrdA//parE//ydhQ//comR//paaD//cynT//argA//rsgA//cspE//glnH//tatD//tnaA//aqpZ//gutQ//ppx//mfd//arnB//tsr//opgD//hsdM//ilvH//araF//pgpA//patA//hcaT//yahI//mipA//galK//ftsB//envR//guaD//yjtD//yciH//metG//hcaD//napF//dgoR//sdhD//kdgK//rhlB//fimI//nimT//mdh//narY//rdgB//elbB//dctA//yjbH//purD//yhhT//phr//lpoA//rpiR//pldB//dsbD//ybiA//flgK//ynbC//
GO_0006023_6	oppF//tus//tolB//ada//dmsB//rfaB//nrdE//sufS//ptsI//ynbD//uhpA//lacY//purA//pnuC//ampG//ygiW//yoeB//rpsE//ybiX//agaB//norW//paaE//ispH//cof//yhdZ//sdiA//ynbC//ygeV//fpr//thiL//tadA//recR//glgC//polB//serS//treF//dnaQ//potG//mepA//
GO_0006024_7	nudB//gltB//ytfR//cyoC//rapA//topB//cysK//ndh//yqiG//rplI//puuR//ydeM//fumC//arfB//yqgF//ybcQ//htpX//entF//chpS//dacC//fimZ//mprA//zipA//uvrC//cysI//fdhF//baeR//chiP//yciA//pphA//bioP//fimB//rzpD//tabA//fadA//intA//ynfL//nlpA//mltD//
GO_0006026_6	dinG//ydiK//ygiW//yneE//minE//ilvC//yehT//narQ//gltP//mntP//
GO_0006027_7	cobC//nlpA//xisE//zur//ariR//birA//hyfF//mdtJ//ydiQ//sgrT//
GO_0006040_5	mpaA//hemH//rplC//cysC//gyrA//ymgF//yiiD//baeR//cho//chaA//srkA//rplW//rpoH//djlC//cdgI//rplE//dgcT//
GO_0006044_7	caiT//intZ//ugpA//rsmI//rlmA//
GO_0006046_8	ulaF//bioF//csrD//envR//
GO_0006047_5	gutQ//cusS//dnaJ//alsE//leuD//ygdG//solA//
GO_0006048_6	nepI//ghxP//ybaM//rclC//qorA//speG//
GO_0006050_6	dgoR//
GO_0006051_7	mcrB//
GO_0006053_8	cof//
GO_0006054_6	kup//rna//ydfG//dmlR//carB//yjiQ//yjiX//
GO_0006056_6	insE-1//
GO_0006057_7	sgcE//
GO_0006059_6	ybjG//miaB//hybD//yfeW//
GO_0006060_7	ileS//
GO_0006062_8	adhP//
GO_0006063_5	ugd//cysM//menB//mqsA//ybhR//uspB//uvrD//rng//fur//
GO_0006064_6	ycfH//pabB//allD//pflB//fimG//glyA//
GO_0006066_4	ygjR//epmB//yciV//rplF//fadB//yjbF//yafE//yfcF//ldtB//ybhP//trmD//ygfI//yiaN//nadK//pncB//garR//mqsA//abpA//yihV//bioA//narK//torY//glvC//tmcA//ppiA//relA//cheZ//gspF//mdtI//panD//rne//rpnA//
GO_0006067_6	opgC//ompN//rpsM//
GO_0006071_6	ygfZ//uvrY//umpG//moaD//fur//fdoG//dacC//
GO_0006072_6	mhpD//rluF//ykfI//rsmB//ftsH//
GO_0006073_6	kdgT//rsmF//potF//sgcB//dkgA//fliK//glpR//murF//cca//hipA//aroP//ygfA//opgH//pal//deoA//yafS//ypdF//cysD//hemL//ybdG//
GO_0006081_4	lapA//yfdR//rfaQ//yfdK//fdoI//ydeT//ybhA//bolA//lpoB//insK//serS//tusB//apt//gpr//garR//ldtB//ung//lrhA//guaD//yrbG//pinR//eutR//hcaD//nimT//tsaE//murR//rutC//potG//mreB//fklB//dgcE//rfbD//ybaL//fabB//alkA//lolA//ampD//ais//ibsE//malE//hmp//pitB//gadB//thiL//gatZ//moaC//yieE//allD//serB//ydjJ//adiC//pflC//fdhD//pflC//dnaC//proC//crr//waaB//copA//folD//gatD//ydhQ//yhdX//yeaE//xylH//radA//prlF//
GO_0006082_4	dcuC//yeaE//frc//fabZ//msrQ//yqhC//yehB//ulaC//eutA//yjfF//yraH//metB//uspF//yhjD//secB//bioD1//rcsF//rsmG//mtfA//mqsA//yhaO//fecA//pdxJ//entF//ybdH//gyrB//nikA//mzrA//tolC//folE//yccS//patD//ydcI//wecC//curA//caiD//tauB//cheZ//prfC//dgcE//rlmM//yegS//arfB//glpG//zipA//tadA//bioF//rodZ//satP//arnA//ypdB//ycjW//uup//rplN//lnt//hemC//lipA//yhiM//rng//cysC//yahK//mlaE//mgsA//lipB//yjjX//nupG//rhtC//deoD//caiD//sapD//ydiR//cydA//cpxA//ykgF//ydfG//ompW//ybeY//fryC//rplM//ygeR//sugE//lgoD//mliC//pstB//selA//bamE//arcA//hemG//lpcA//prkB//lasT//nagZ//uspF//napA//yibT//gutM//gatA//dppA//btuC//yadG//speA//ilvB//gstB//pepB//yfcP//rbsC//yfhM//nrfA//chbG//gatB//dinJ//ushA//argI//yoeB//cadB//lexA//kdpB//rhaT//fimC//osmF//rplJ//yeeL//sxy//cheZ//ribB//tdcB//nanE//aaeB//eamB//dppF//glpF//yiaO//mreC//dsbG//araG//srlR//argH//solA//viaA//ghxP//ivbL//phoQ//ihfA//yjjB//torC//rusA//lldD//hofM//nlpI//rna//sgcB//glpR//secG//polA//accD//mliC//bioA//tdk//gloA//ydcO//ygfX//yrfG//smpB//acrZ//gntP//tbpA//ptsG//fadI//tdk//mhpD//hisI//allD//dnaT//clsB//evgA//uidC//yhiM//aer//yafC//yehW//gpp//recG//bioD//guaC//ypdA//uvrC//atoB//yoeE//yejE//mntP//cysI//phnJ//yidZ//nupC//pntA//barA//asr//rutB//dcyD//fadD//yihX//gcvP//mlaC//napC//adk//aroA//lipB//speE//metH//ybaL//fryA//yjbF//exuR//diaA//fbp//radD//argH//elaA//rhaT//mepH//hokB//hupA//gpmM//ygbL//sufB//miaB//gmk//grpE//poxB//pyrE//ybfA//rhtC//hflC//gppA//leuC//pphA//pdxJ//yfbS//tdcD//alsK//bamB//rlmD//grpE//umpG//yiaT//argS//melB//rutC//rplL//aspS//cydD//fmt//slmA//hypA//kefC//ygaH//ykfI//yajD//add//bisC//xerC//htpG//mukB//nikA//yfcR//mdtF//yigB//syd//kefB//wza//ykfM//puuP//pepN//pheT//eco//lipA//intA//ansB//guaA//qorA//yeeA//gntR//cmtB//phoA//ompL//yafC//dmsC//ibsE//sbmC//yghB//gshA//frc//hflK//lysP//glrK//yfiC//fliT//yidP//murC//hicA//fur//puuB//ypdA//cyaA//kefC//dnaT//yjjB//pspF//eutA//hypD//mmuP//baeR//sufC//gsiC//fcl//yraR//msrP//moaD//cyoC//ypdI//treA//yjeI//map//sucD//aspA//glnH//alsB//cusS//ybcM//actP//hyfA//glmU//curA//serS//exoX//fes//hha//yfgI//lysA//mdtO//xisE//fieF//purA//hscA//yifB//gfcE//dcuS//ilvA//cmoB//rna//murQ//yeaD//livK//srlE//frlC//yfhM//hpt//yqaA//zraS//ygcW//yihI//gadX//rcsD//dhaL//dmsA//mog//mtlR//uvrA//rzoR//oppA//amtB//cysC//ftsQ//frvB//orn//tcyN//zraR//mlaF//narK//pgaC//rpoS//dmsC//iscR//rlmA//fabD//sad//ndk//glpA//ybjX//nusA//dinI//yibA//wza//crl//ansA//nagD//moeA//trpE//yiaU//aes//appC//fabD//tqsA//def//aspS//yqcG//btuF//hexR//epmC//moaD//nemA//fdoI//ykfM//sfmC//ddpX//cysG//codA//hlyE//cpdB//yhaJ//dsdX//ligA//secY//nikB//fruA//cysK//kilR//patA//cysB//mprA//cobT//arnT//ndh//fic//yeaK//yqeA//rplJ//ligB//metQ//cysM//ogt//hsrA//ygcW//dnaA//hemN//dsbD//nlpA//rluA//ftsK//hiuH//rsmH//rlmC//frlC//yiaN//nagB//dpiA//ymfK//holB//yfiC//ydjM//
GO_0006083_6	fpr//sgbE//ulaF//mreC//cysI//rutG//
GO_0006084_6	hexR//mzrA//
GO_0006085_7	zapB//ftsZ//
GO_0006086_8	metL//
GO_0006089_5	artP//acnA//yraN//wecC//sgcX//mdtD//glyA//basS//mutY//hipA//ydbK//obgE//leuS//tesB//gloB//speD//puuE//emrE//gsiB//yehX//tusE//ynfF//alsA//trmI//araG//yqeG//dcuD//nagE//mreC//
GO_0006090_8	yieE//lapA//atpD//cobS//ihfA//ubiG//cobB//cdsA//trmB//mrdB//bglF//purA//slmA//adiC//mdtM//lysC//fadH//yhdW//ydaV//lptC//frlR//yfaL//lpxM//metB//lpd//trmD//xisR//glvB//yebS//oppF//rnc//
GO_0006091_4	rsmC//yciF//amiB//yiaN//pyrH//recG//mngR//ispH//rutE//bamB//npr//dsbD//yddL//lamB//dppF//flgG//phoR//proX//thyA//narG//ldrD//gspI//pabB//cueR//lpoA//waaA//bdcR//nlpI//rcnA//moaE//ppk//intF//sanA//yedF//gshB//cho//moeB//pdeF//napF//ybhR//lpcA//yciA//purC//abgB//appA//fnr//fiu//gfcE//ycdX//ygcO//umuD//frdA//ybeY//vsr//tgt//leuO//mdtN//hybO//rhmD//yihR//ybhG//bcp//lysA//sgcR//ydcS//exbD//rcnR//lysA//frdB//nikE//cysQ//hiuH//torS//zapE//atoS//basS//dinD//lptE//nemA//galT//argG//araA//alkB//btuF//mpaA//thiE//rffM//pcnB//gnsB//trmI//rlmH//cspA//insK//hslR//nadE//acrD//ilvL//pgaC//uxaC//sdhB//acrE//insH-6//gpmA//napC//ygeV//bluR//mrdA//fliZ//nanS//topB//yjcO//ygbN//
GO_0006094_7	ettA//potE//mcrB//mscM//yjiA//ptsN//rutA//rsmI//holB//higB//
GO_0006096_6	sgrR//bolA//ligB//rbbA//waaP//trkA//pitB//rplW//glmU//epmC//artM//rplC//bluR//greA//malK//bcp//chbF//mlaF//
GO_0006097_5	flhA//wzc//pphA//yhbX//tabA//
GO_0006098_6	hinT//atoB//hscB//uraA//recD//
GO_0006099_4	yddG//phr//ydeI//mdtL//cynS//yajD//insA-1//glnE//yjgX//nimT//sppA//murQ//yihV//yneL//yjhC//intE//ddpX//
GO_0006101_6	lldP//yggE//grcA//csrD//rfaC//yobF//tauA//yihP//narW//degS//cytR//rluA//afuB//xylA//dicC//fabB//rfbX//
GO_0006103_5	ispB//tusE//dacA//
GO_0006104_6	bglF//torD//maa//
GO_0006105_5	hxpB//ydiR//speC//kup//clcA//tadA//ascF//hxpB//
GO_0006106_8	agaD//
GO_0006107_8	ydgA//
GO_0006108_8	yjeI//cmoM//ffh//tpx//yggX//
GO_0006109_6	ydcZ//pmbA//rclC//gmhB//eutK//cydA//rdgC//yeeY//gloC//
GO_0006112_5	cof//ygjR//paaZ//mepH//mdtD//ybiA//gadX//acrF//
GO_0006113_5	metF//aaeA//ybhF//rlmH//hscC//tyrR//ftp//thrA//hyfC//aqpZ//glvC//nrdF//hprS//
GO_0006115_6	glgB//
GO_0006117_5	citE//
GO_0006124_6	cynX//
