#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	deoR//lgt//sgbE//nikR//
GO_0000270_7	ycgV//ebgA//fepB//yeeL//waaL//yqaE//rdgC//yccX//bamA//cptB//cpxA//cycA//cynS//thiE//glcF//gnsB//frdC//rsmC//metI//wzb//rlmB//rbsD//fadA//yahI//gstA//patA//ugd//dacB//ydcO//csgF//aroB//xseA//hypE//ulaD//yqeF//mepS//hisF//uvrD//dppA//pyrB//gloB//cysI//lysR//livH//yfhH//ybbY//rpsR//codA//uvrB//purN//acrR//sugE//bglB//narW//gspF//ssuD//ldtD//sxy//cobS//yhdW//zapC//ldtC//kdgR//
GO_0000271_6	codB//fadL//ptsH//potF//yqaB//metH//nfi//hycB//ydbD//phnM//mscL//cpxA//hupA//pppA//coaA//waaQ//holC//dsdC//hypT//yddM//clpP//yqaA//waaS//yhdH//mutS//fepG//yggD//yjbE//gcvR//hisF//ybgI//yiiM//setC//aroK//cdh//acpH//sfmH//yphD//aaeB//mdlA//mnaT//arcB//uvrB//rcsD//aaeB//gabP//galR//serA//nikC//rfaC//
GO_0000272_6	zraR//sgcA//ascG//dppC//yfcG//hha//
GO_0000302_5	uhpB//cstA//betT//clsB//sppA//rzoR//aceK//rihB//wzzE//dmsB//chbF//treR//ldhA//yidK//yiaO//glpA//ycjW//iscR//pdxB//mnmC//mltD//tktA//phnP//aidB//rstB//map//sgrT//hslJ//hofM//holA//ttdB//
GO_0000303_6	rfaH//yieE//
GO_0000305_5	kdpD//tsaD//yehA//
GO_0000372_11	ibsE//
GO_0000375_9	greB//
GO_0000376_10	pflB//
GO_0000413_9	yfcU//gltP//tsr//idi//rof//mdtF//metI//suhB//
GO_0000451_7	exbD//eco//cusS//aroB//tusA//
GO_0000453_8	yfgO//emrK//cysS//tadA//ymgF//
GO_0000455_9	yfcR//surE//pyrB//dacC//iraP//mdaB//pbpG//
GO_0000462_11	purF//yhbS//
GO_0000469_8	gsiA//
GO_0000470_10	ccmD//
GO_0000478_9	ybdR//
GO_0000715_6	mocA//
GO_0000716_7	sbcB//
GO_0000724_8	alsC//
GO_0000725_7	tldD//ghxP//fryC//hemB//yhjD//uidC//
GO_0000726_7	lsrA//
GO_0000731_7	lpxK//yggX//yfcV//topAI//rffM//rpmB//secA//
GO_0000737_7	yeeL//
GO_0000738_7	glnS//yiaN//elyC//
GO_0000746_4	hybC//
GO_0000820_7	ycaO//
GO_0000902_5	rnhB//
GO_0000910_4	clcA//rpsQ//cpsB//ligA//mlaE//rpmG//mdaB//malF//sspA//elaD//ychO//yehY//cas1//yfcF//yjcE//tnaA//nikR//cbl//
GO_0000917_6	ppsR//hypC//feoB//thrL//menA//
GO_0000918_6	aceF//rzpR//gpmM//ruvB//
GO_0000920_3	rutC//cecR//cadA//yagJ//fsr//
GO_0000921_6	ydaN//
GO_0000966_8	rfbC//chiP//mlc//tdcB//
GO_0000967_10	ycbV//ccmA//preT//
GO_0001101_4	pstB//recN//nikA//patD//sdaC//proC//yfiC//mtnN//dgcZ//yidZ//dnaN//nagZ//rnt//hyfC//yceK//ubiD//betB//cysG//ubiC//mngR//codA//hdfR//pitA//rimJ//ybhR//basR//
GO_0001121_7	cpdB//fabR//
GO_0001123_8	arnF//
GO_0001124_8	bdcR//
GO_0001407_7	fimF//allD//rplT//ycjQ//
GO_0001505_4	agaS//tyrA//ibsD//yehP//mscM//ypjD//ydeI//uxuA//zipA//ulaR//mutT//basR//cydD//yfeO//mreB//glpT//
GO_0001510_5	secF//topB//rplA//nagB//degS//etp//ddlB//dppD//kdsA//rhaB//treC//dfp//hemF//atpH//rfbD//araG//folE//murB//yfcQ//oxc//hypD//bioH//fepE//rcnR//ynjA//yddA//kduD//ygjH//tsx//fumC//atpB//fnr//mutL//dcyD//xanP//aspS//minD//hycI//atpC//dmlR//
GO_0001514_8	alsK//
GO_0001522_7	yjcE//yjiA//gntK//ydcP//opgB//potB//matP//yhaV//ftsI//roxA//pgi//yddA//yagI//
GO_0001539_4	tolC//ttcA//ispU//cadC//dacB//hrpA//ymgA//mdtO//fbaA//murI//dgkA//agaS//rutB//pinQ//tnaC//ftnB//ampD//cusB//fabZ//cpdA//malQ//gudP//infC//matP//gapC//leuA//mscL//fmt//glgB//fes//ydjH//
GO_0001558_5	gatB//cspE//rssB//ilvM//rtcB//gapA//syd//glpT//
GO_0001561_6	ftsZ//
GO_0001666_4	nupG//
GO_0001676_6	ralR//rluE//rsmF//
GO_0001680_11	purA//
GO_0001682_11	ygaH//
GO_0001731_7	rbfA//
GO_0001762_6	yiaF//
GO_0001887_4	yjiY//ravA//napF//
GO_0001896_5	ulaR//ypdI//tauD//yggX//
GO_0001907_5	tcyJ//cobU//yfjR//yfjV//
GO_0001932_8	uraA//yehB//
GO_0001934_9	epmB//
GO_0002047_6	argK//mdtN//
GO_0002097_8	hcaD//yfiC//ftsI//groS//ybiY//ccmF//insI-2//yggN//cspG//dsbG//sgrR//envR//yohC//yjcE//yahI//add//puuP//pabC//yaiV//
GO_0002098_9	aceB//frsA//ampD//hcaD//ccmF//yfeX//rpsN//yiiD//sstT//yfaV//abpA//mhpD//csiD//
GO_0002099_9	rplX//ygjK//
GO_0002100_9	groL//
GO_0002101_9	recF//rbsB//
GO_0002128_7	yidC//ssuD//argD//creB//
GO_0002130_8	yfiC//
GO_0002131_9	ompA//
GO_0002132_9	sgcA//
GO_0002136_10	hemL//
GO_0002143_9	tdcG//gstA//yidP//fdoH//erfK//pstA//
GO_0002181_7	lapB//yhdX//
GO_0002183_5	fecB//
GO_0002184_8	wecE//
GO_0002188_6	crr//
GO_0002190_6	ftsY//
GO_0002192_8	dapD//
GO_0002252_3	fdrA//azoR//wbbK//rpsD//rusA//yciA//pth//ynfK//fis//uraA//
GO_0002790_6	rlmL//lldD//pdeD//hldE//mtlD//araA//scpB//
GO_0002937_9	ynhG//
GO_0002938_8	bsmA//
GO_0002939_7	ompR//
GO_0002943_8	csgE//
GO_0002949_8	xylG//yadV//menC//astC//
GO_0003333_7	yfaE//phoE//ravA//ibpB//bfr//ybdO//ccmF//ybhI//alkA//pta//frdA//tatA//frsA//tusA//pldB//rhaT//yciK//appA//rnlB//mnmA//gcl//yhfS//ydeE//lpxK//yadM//mntR//nuoG//ybiT//acrZ//lolB//phoQ//stpA//yjfF//idnT//purC//srlR//accC//mdtM//tsaD//ychH//insI3//glvC//cysM//glpA//serS//dppD//abgR//yjtD//moaD//
GO_0005975_4	paaC//prc//valS//leuB//yjbF//nrdR//yadI//fliS//csgA//yhjG//fucO//hprS//fmt//elfD//rssB//ychF//zupT//tdcF//ygaZ//ppsR//yiaM//dhaL//rfbB//cspI//yjjQ//frlA//frwC//yfgI//ilvD//rfbX//ygjR//hisS//folM//creC//sthA//yadN//rhlB//umpG//ftsK//orn//yqgB//greB//ugpA//rlmN//lptC//hisH//dcuS//betI//yqgB//fabA//menD//dnaA//mltD//relA//mhpA//argI//fiu//gcvT//def//fkpB//eptA//ycfJ//aaeA//cysH//nirC//glvC//kdsA//cutA//obgE//rpsQ//glrK//sfsB//sodC//rplP//slyD//gudX//lptG//atpG//evgA//ydiO//carA//pheA//pspC//nirD//yajR//frvR//rplO//purR//ygbI//priB//gloB//caiT//zapD//deoB//dnaK//iraM//aceF//metE//yihQ//ettA//yhiM//mnmC//ribE//rluB//hisC//elfA//tcyP//sspB//hcaD//rmf//cysN//sdhA//osmE//ybdO//gadC//sdhA//epmB//wrbA//murC//glpB//yjhG//adhE//mog//entC//yobF//rsmE//secG//argR//rarA//ycjQ//cpsG//proB//cdsA//pgk//aroD//iaaA//tusE//frlB//yhbS//uhpB//ydjE//kduD//ybiH//yagE//chiP//rluB//rcnA//rluA//lpcA//epmB//ybgP//lrp//hemG//argA//ybhP//moeB//nmpC//agaC//mdtF//mhpA//upp//dgoR//hicB//gapA//metE//atpH//yihS//ykgO//ybjD//csgG//slyD//lsrC//pyrH//gcvA//arnE//yigL//potE//yhjA//nupG//xdhB//pliG//ligA//ypdB//gshA//ldrA//flgA//proB//agaW//qorA//panB//lpxD//appA//rpsQ//nmpC//yqhC//ybaO//nrfC//cpsB//higB//opgE//lpoA//galM//xerC//amiA//ynfK//znuA//uacT//cysS//yfbR//tyrB//gntT//ubiX//proA//lpcA//rfaQ//recN//pphB//sufC//ybdZ//yeiL//holA//curA//bcr//ulaA//glgB//yfcA//livH//ghoT//proS//rph//kilR//malK//gadX//rusA//gmd//amyA//fimF//sucB//btuR//hemC//yejB//rimO//trpA//dmlR//entF//abgT//relE//acpH//hybB//abgR//flgD//udk//ahr//def//
GO_0005976_5	tcyL//fadB//yneL//yidA//ccmD//ychO//dppF//ydjE//hcaC//torA//dusC//clpX//tus//rpoA//ihfA//pstA//kduD//srmB//fryC//rnr//xanP//ydeT//frdA//trpR//recC//gspI//aroP//wzzE//tauC//murC//rpoD//nadD//cysP//ytfT//bioF//uhpT//gatZ//fimH//bdcR//yidH//dcd//rplM//rbbA//yraN//livG//rplF//agaI//ghxP//yiaN//hslV//eno//yqiG//yebG//kbaZ//yhcN//malI//ydcM//uxuB//rpmJ//
GO_0005977_6	ptsH//prc//ynhG//gspJ//eptC//dppD//yahI//fliD//
GO_0005978_7	sufS//yhjG//clcB//frwD//
GO_0005979_8	acpT//
GO_0005980_7	flhE//ybcM//fkpA//
GO_0005981_7	eutB//
GO_0005984_5	fdrA//nrfC//garK//dhaR//yggT//nhaB//agaD//glnE//hsdR//rcsC//fadJ//
GO_0005985_6	phr//
GO_0005986_7	fimG//
GO_0005988_6	gltL//ydcI//
GO_0005990_7	narU//gdhA//
GO_0005991_6	tcyJ//nudF//aphA//tolQ//topA//
GO_0005992_7	nrdA//cysB//
GO_0005993_7	mdoG//aqpZ//yraJ//
GO_0005994_6	rpsL//
GO_0005995_7	sgbH//
GO_0005996_4	thiC//yedA//iscS//lpxP//ileS//dacD//ldtA//ulaF//aer//nuoL//yfaE//sucD//ybaT//mazG//frwC//rplQ//dgcJ//fixC//ybaT//rrrD//ydiO//astC//gadB//yiiD//dnaK//hisA//priC//mrdB//fbp//ccmF//sfmD//queA//lhr//yqhC//secB//lplT//der//yfhH//frmB//iap//ycdY//rpsL//alsE//lysU//yraH//thiI//narY//yfjR//relA//clsA//ratA//yfdK//mdlA//gshA//otsB//pta//rpmE//queF//nudB//evgA//cpxP//ssb//rpsE//ispU//ygiW//mhpA//pyrC//hdfR//wrbA//napF//tpiA//tusA//yjjQ//opgE//frr//uvrY//bioD2//serC//dgcM//dauA//mnaT//bglJ//
GO_0005997_6	insA-2//
GO_0005998_7	msrP//
GO_0006000_6	yhgF//nadD//bcsQ//
GO_0006001_7	yojI//cusF//
GO_0006002_5	rnhB//ygfZ//entS//
GO_0006004_6	rpnA//suhB//ibpA//perR//nrfC//yjiA//
GO_0006006_6	yedP//slyA//yraH//ydeP//yfhM//pnuC//dtpC//rlmJ//fliZ//cecR//puuR//nrdB//livJ//mdtP//yciE//yeeY//ampH//trmL//rfaD//sseA//prpD//groS//tisB//
GO_0006007_7	yihI//murB//ydiV//
GO_0006011_5	sstT//
GO_0006012_6	stpA//rsgA//mdtL//mak//glgP//baeS//dgcJ//ygeR//rcsF//
GO_0006013_6	ndh//gntT//
GO_0006014_6	kdsB//yjcE//aroF//
GO_0006015_7	recR//dgcM//
GO_0006020_5	ascB//
GO_0006022_5	sstT//prpB//gcl//nadK//holD//cadC//fimA//lpxT//hpt//recX//yebZ//dxs//glk//casE//bamA//ytfP//dmlR//adk//yfhH//ydcZ//rhsD//rsmH//mutL//yggP//arfA//dacD//hemN//trpD//pyrE//entF//ydjM//lapB//fhuD//ppsA//waaJ//modB//gcd//yabI//frr//yhhZ//ydhQ//sbmC//betB//yiaL//bglB//paaK//exuT//rplL//uidA//yahI//cmoA//gpt//fdnG//nrdH//prfA//ydaC//gabD//xdhB//polA//insA-1//endA//cynT//dcuB//
GO_0006023_6	sppA//skp//osmE//dgcJ//tilS//yfaX//hslR//recC//gltD//paoC//uhpC//ydeP//putA//glpT//rlmN//essD//aspC//yhbY//mglC//nrdE//fadL//rnr//trxA//trpE//marA//ynhF//blc//ttdT//hprS//setC//atpB//nirC//manX//hemB//slyD//cbtA//yraK//rpmA//mgtA//
GO_0006024_7	ulaD//gudX//ebgR//yjjX//thiC//nanS//aaeR//rsmI//bioA//phnC//fkpA//paaG//sapF//mog//rutD//yfaV//yhbO//yjhP//udp//yohC//rplC//mgtL//waaP//malK//ghxQ//melB//ycbV//aas//pyrG//yaaY//btuC//araH//yhbO//ybjX//dacA//ynfK//fhuD//yjjG//sgrT//
GO_0006026_6	rfaG//pepQ//emrD//prmC//rph//yjbF//yhdZ//cdd//nlpD//ftp//
GO_0006027_7	ackA//fliK//glvC//pykA//tyrA//acpS//ygaZ//atoC//ndk//exuR//
GO_0006040_5	lysS//pnp//lldD//corA//fimG//ppx//tusD//tcyJ//aceB//casB//gshA//moeA//agaW//yciE//napB//ssuA//yehD//
GO_0006044_7	kdsD//kdpE//ynjD//nrfF//hdeD//
GO_0006046_8	mhpT//ydcP//djlC//ldtE//
GO_0006047_5	fliZ//ybcC//ydaC//srmB//intS//ampD//sgcA//
GO_0006048_6	proV//ynfK//oppB//uxuR//phoB//sucC//
GO_0006050_6	pyrL//
GO_0006051_7	bglF//
GO_0006053_8	nth//
GO_0006054_6	artM//ydaC//ghxP//glnL//gspI//ydeI//msrC//
GO_0006056_6	nuoI//
GO_0006057_7	rpsL//
GO_0006059_6	hupB//topAI//paaC//ihfA//
GO_0006060_7	erpA//
GO_0006062_8	yifB//
GO_0006063_5	torC//yfdR//sfmD//yhfS//yjbH//aceB//yfdO//uvrY//yjhP//
GO_0006064_6	moaC//tsgA//ybjI//lysR//nrfB//hypF//
GO_0006066_4	kefG//asnB//lsrA//ynbD//tusB//araH//lptE//gpp//opgC//tpx//nuoF//csiR//yddG//hiuH//fimG//yceD//sfsB//aceF//lpxM//yadN//lspA//yjbG//maeA//ybcF//wzzE//murI//lasT//atoS//slt//ygbN//murE//yhhZ//
GO_0006067_6	yhaM//wecC//idnK//
GO_0006071_6	asd//fucK//bioA//nrdH//cycA//viaA//tsaC//
GO_0006072_6	eamB//cysA//gutQ//pabA//iclR//
GO_0006073_6	nikR//sfmF//cyoB//tdcF//fixC//ygjR//uacT//aphA//uidC//gcvH//manX//blc//artP//mtlA//pepB//fimE//accB//envC//fumA//ompT//
GO_0006081_4	yehZ//mnmE//bamC//yhjV//ygiV//dppB//lpxD//eamB//rcsF//ebgR//alaA//rbsK//mdtO//glrK//ssuA//pflB//hlyE//hybD//lplT//hypB//glcC//gltD//rpmE//ftsI//vsr//ybjI//brnQ//rsmH//nrdD//acnA//rhsD//yccS//ydeM//ydcM//leuD//kefB//hisG//cdd//yadV//iscR//gntP//lsrB//rutB//purR//ymgA//sgbU//wbbK//tauA//yccA//ampG//tehA//tsaE//mepA//clcA//hypE//acpH//ybbW//tufA//ygcO//hcaB//metK//yiaO//yihX//rffG//mazF//ulaA//aqpZ//
GO_0006082_4	ybcL//alaS//parE//nuoL//ppk//sbcD//ybaO//mngA//lldP//paaX//rlmM//ygcR//murB//fbp//tauD//yiaB//preT//yraI//fetB//bluR//fiu//rhmR//purB//ghrB//lit//mhpB//nuoH//zntR//fixC//rhaT//ygfZ//ydeI//intS//rfaD//yidP//fixB//glcA//ttdR//grxD//gspF//hemC//chpB//codB//yhhY//argB//dacB//aspS//lsrG//narL//argA//proA//cydA//yibT//galM//ldhA//hemA//yjhB//cca//carA//yihW//mhpT//hisM//mobA//uhpT//rnpA//glgS//rimM//panF//yjjI//waaZ//nrfE//citG//insI-1//yphD//nikE//cbeA//hisC//rfbX//bamD//rpnC//sgcX//ydgA//yhcH//ybhD//pheP//adeP//rfaB//bioD//torS//yqaE//iraM//holA//dsbG//fliL//thrB//rna//preT//zitB//btuC//ynbC//elaA//lacZ//marR//iscR//serB//glnP//yjtD//iraP//murR//lnt//yobA//hisB//yihI//melR//ugpC//kdpD//rstB//trmJ//aaeR//rhmD//leuC//zapE//hokB//yajQ//phr//adeD//tdk//yrbG//yggD//mreC//prmA//sodB//ydcT//ygiW//rbsR//ftsB//ybaT//yeeA//scpB//dgoR//sulA//dctR//cdd//sucD//arcA//yhcD//napB//spy//ynjD//puuD//frsA//fliZ//fmt//fabH//fabZ//cca//modB//argH//ykgA//prfB//arsR//etp//cysD//rffT//uxuR//hflK//acpS//cusC//yidP//hcaT//mscK//csgD//yihQ//arcA//yehT//phnH//pstS//pgaD//ychF//dgoK//ytfQ//fryB//dsbA//murB//gltK//waaB//rcsF//murC//azoR//rutR//yghG//zapC//tqsA//yraK//rluE//phoA//yihI//yajQ//mog//afuC//fre//tnaB//etp//nikC//yahK//rcnB//yagI//wzyE//yihS//uxaB//trkA//btuR//ydjH//fadE//wecB//smrA//mltF//flhE//yggF//sdhD//puuR//ydeO//gcl//clsC//argG//tsgA//uvrD//sfmF//lsrC//chbC//zraS//aceA//nlpE//panC//lsrA//cytR//erfK//uhpA//rseP//fdhE//yghW//pflC//hybD//pgpC//insK//cpxP//mutL//lptG//uxaB//nikB//zapE//rppH//gatZ//cvrA//dnaN//hyfR//entF//lsrG//artM//mnaT//mdtA//polB//nhaB//coaD//aroF//yahN//yhbS//rplC//argB//csrD//nanR//znuB//slmA//ihfB//dcuR//mtnN//rlmG//casA//uhpB//glsA2//yeaK//narI//yehY//asnB//gyrB//iscA//ushA//rsmE//edd//metC//pepT//yfaX//ampG//napA//eptB//ynbC//tamB//dsdA//ibsA//rcnB//tauB//yifB//higA//waaF//glsA2//creC//helD//rutE//mdtK//amiB//soxS//lgoT//ampG//dnaC//sapD//ydcP//exuT//rpsB//rfaB//insH-6//accC//narQ//dppB//rmf//yhdJ//rcnA//cheA//rnr//glpD//yojI//flgJ//yjfF//ybjL//yraR//tmcA//appY//nuoH//tolB//dgcZ//hslR//uspB//folA//sucA//kbaY//rof//pgaC//glgB//vsr//yfgI//yjiX//eutK//flgB//phnG//rimM//matP//ldtC//aroC//lplT//yraN//rmuC//ydfD//agaR//frlA//selB//aceF//uxuB//paaC//yacG//rfaD//sodA//gudD//aspA//elfD//insA-1//tsx//lamB//ubiJ//xisR//fadJ//yfcQ//lacZ//mhpD//hybD//wcaB//mtfA//frdC//rplL//dppB//agaW//appC//minC//yrdA//dacD//mglB//narU//iscX//pspF//narH//torD//aldA//dgoR//alsA//rbsK//ttdT//malE//yqjA//patA//rhaB//yaaY//pflC//yejA//osmC//trmI//rplN//hslO//napC//ffh//fimZ//garD//argE//sdiA//cusC//xapB//abpA//ycjD//hybF//idi//gadB//cpxP//dedD//uspE//yqaA//ytfT//rpmG//dhaR//ribF//rimL//nth//creC//waaU//accD//fixB//xerC//glgS//trpGD//minE//blc//thiG//cobB//ddpA//aroK//csrD//hflX//ybjI//astC//menB//trpE//mglA//mdtQ//yceK//
GO_0006083_6	pmbA//tatB//lacI//yjaA//rplR//uidA//
GO_0006084_6	bioD2//ndh//
GO_0006085_7	narP//mcrA//
GO_0006086_8	bluF//
GO_0006089_5	rpsS//leuA//hybO//ybaM//ssuB//yihQ//pmbA//pdxJ//rpsJ//dmsC//uxuR//rfbX//acrD//ravA//opgB//fdhE//cheR//yafN//tolB//glpF//cedA//orn//ldrA//rhlB//appY//miaA//frsA//ynaE//yafC//
GO_0006090_8	eptC//menH//kefF//glmS//rihC//lrp//ccmF//nagC//ybjD//fepE//ynhG//yjjW//ispF//macA//xseB//nhaR//feoA//ccmD//nrfE//uhpA//ldhA//chpB//phoQ//ydiO//ftsE//lldD//ybiW//pphB//yejB//tolB//frlR//
GO_0006091_4	yjbG//ibpA//clpX//katG//pyrL//sxy//arnD//endA//yfiR//pepQ//uxaC//rcsC//betT//yhaJ//fabA//djlC//acrD//rhaT//torZ//trmJ//iscR//copA//chpB//fadA//rseP//zur//aas//ynfK//yafC//scpC//mdtA//nagE//tyrR//abgR//yagF//rfaQ//copA//dnaA//ffh//yraJ//cpoB//nupC//rbn//fadK//dgcT//prpC//pgpB//dgoT//fdnH//hypC//tauA//uspE//fimF//epd//sohB//rna//yjjX//yhfS//yihI//pepT//yfcF//ddlA//fadK//lpcA//rluF//napB//nfo//emrD//tdk//hflC//yegS//clcA//ykfM//rcsC//sgbE//cueR//frwD//hscC//paaF//thrC//frvA//nupX//coaD//rimP//ubiI//ybhI//yodD//trpE//phoA//yagJ//ybgP//copA//ilvM//mutS//yidL//appA//cspD//cysU//dosP//nikB//kdgT//dtpA//actP//hda//glnA//yjbH//sucA//yijE//ydiZ//adeQ//atoC//fixC//
GO_0006094_7	uspG//betI//acrA//bamD//pyrB//ansB//shoB//ccmF//manZ//pdxK//
GO_0006096_6	yccS//msrC//casD//hemH//dhaR//alsK//eptA//yfdK//ldhA//yidK//rbfA//lolE//wbbK//ygaV//hns//ilvD//ynfF//gatC//
GO_0006097_5	gltI//glgC//pstA//ydcR//pdeL//
GO_0006098_6	pepD//galF//rpnC//cpdA//ptsI//
GO_0006099_4	kduD//kefB//recC//yeiE//lacY//plsC//yihW//xapR//erpA//recT//wrbA//yhaJ//map//rlmG//rmuC//acs//nfuA//
GO_0006101_6	yfaE//dtpA//dinB//tsgA//pitA//nuoI//hprR//frwB//araE//rfaC//ygjH//yjcE//ghxQ//mutL//lpxH//fau//patA//
GO_0006103_5	cysC//etp//mcbR//
GO_0006104_6	thiG//phoP//lolC//
GO_0006105_5	murP//mlc//aceB//yjhP//ydiP//prlF//malZ//torR//
GO_0006106_8	tmk//
GO_0006107_8	ibpB//
GO_0006108_8	gmhB//astB//ascF//mdtJ//pgaA//
GO_0006109_6	gabT//elaB//yciK//ldhA//purU//recD//betT//oxc//chiP//
GO_0006112_5	ftsK//yiaF//rhaS//mtlR//ghoS//treC//mdtN//rcsC//
GO_0006113_5	ydcI//ttdR//mqsA//yjhI//xapA//prc//metC//ybdN//yohD//fabZ//tsaC//mukB//tcyP//
GO_0006115_6	dcuB//
GO_0006117_5	lpd//
GO_0006124_6	rsmA//
