#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	folD//adiA//phnC//modA//
GO_0001101_4	yidK//afuC//trg//rffT//hyi//ugpE//tyrB//ubiB//potG//hicA//yihO//dld//ddlA//yhbY//cysH//ynaE//srlE//rlmN//eno//rfbD//hycH//rplP//hofN//ycdX//gadA//cusC//
GO_0001121_7	frwB//yadG//
GO_0001123_8	hemH//
GO_0001124_8	proV//
GO_0001407_7	ydiB//rhlE//sodB//pinR//
GO_0001505_4	ybcJ//rimI//speD//yjjW//nlpD//prmC//ynfE//yigB//yfcU//cecR//mhpC//frvB//tnaC//yahN//yfdC//yiiD//
GO_0001510_5	hypB//galT//gnsB//pmbA//dnaJ//ligB//atoB//gpt//sufS//thrA//rpsH//dgcE//paaE//ybjN//ribC//ybiJ//malQ//hsdM//parC//hslV//frvR//pspG//dapA//ypdC//narW//glxK//ligA//ygbM//mdtI//spy//hybC//infB//mfd//dgcT//yrbG//rpsO//ilvL//sppA//ampE//dinI//
GO_0001514_8	frwC//
GO_0001522_7	ygiW//yeiL//malQ//yihR//lptA//phoR//allB//fryA//tauD//rtcR//paaA//cheW//mtnN//
GO_0001539_4	acrE//fepB//oxc//phnO//hypT//oppB//intF//frvR//gudD//gadX//afuC//cmtA//dacD//ilvN//ldtA//yeeA//focB//rhtB//ccmD//pspF//fadI//yahN//prmA//ybeQ//truC//ycbV//sufB//clpX//mntH//rcnR//sdiA//
GO_0001558_5	tyrA//trpGD//zapB//malZ//ung//araC//glrR//lipA//
GO_0001561_6	mdtF//
GO_0001666_4	tatE//
GO_0001676_6	cusC//pyrE//glgS//
GO_0001680_11	yibA//
GO_0001682_11	rutF//
GO_0001731_7	ydcM//
GO_0001762_6	tdh//
GO_0001887_4	prmC//lpd//rpnB//
GO_0001896_5	cobS//fhuF//frc//ratA//
GO_0001907_5	metF//ais//hflK//nrdB//
GO_0001932_8	ybdO//tatC//
GO_0001934_9	lit//
GO_0002047_6	bssR//ftsW//
GO_0002097_8	ykgF//ompT//srkA//prpB//metK//menE//surA//accC//relB//amiD//sdhA//gloA//lpxM//leuB//aroA//dusC//tatB//ypdC//maeA//
GO_0002098_9	proW//pdeH//recQ//dapD//wrbA//yidZ//yccA//carB//garL//frvA//yibH//rnpA//secF//
GO_0002099_9	idnT//grcA//
GO_0002100_9	tufA//
GO_0002101_9	clcB//sbmC//
GO_0002128_7	napF//envR//cyoC//cho//
GO_0002130_8	qseC//
GO_0002131_9	mnaT//
GO_0002132_9	gltS//
GO_0002136_10	pgaB//
GO_0002143_9	rpsI//pinE//yqeA//pgaD//uacT//ydeM//
GO_0002181_7	afuB//otsB//
GO_0002183_5	yojI//
GO_0002184_8	yhdH//
GO_0002188_6	glpG//
GO_0002190_6	nrfB//
GO_0002192_8	pyrE//
GO_0002252_3	rsuA//amiC//ahpC//def//kduI//hipB//paoC//rimI//rpsO//ydjM//
GO_0002790_6	ptsG//ybhJ//rhoL//flgF//mrcB//hcaT//sufS//
GO_0002937_9	proB//
GO_0002938_8	cydC//
GO_0002939_7	glcD//
GO_0002943_8	chbG//
GO_0002949_8	fimB//paoC//deoD//frr//
GO_0003333_7	yddG//potH//thiE//ycbU//cho//crr//rsmI//tar//rlmJ//ydiQ//rarD//dhaR//fdoH//hyfF//cobT//cadC//yciG//nth//ynbC//yhjV//yphF//fhlA//adhP//malG//fliM//nrfE//yidD//csrD//metH//menE//napD//clpS//moaC//araA//menI//yebC//uspE//yfhM//frdC//rhlE//yphF//lysA//galP//nagD//blr//plsX//prmA//gudD//ybhA//
GO_0005975_4	agaS//hslO//infC//decR//bamE//cysE//atpG//mrcB//yjfP//cbrC//symE//sgrR//blc//ybeY//ypdC//yjiM//rclR//ybcC//ymgC//ygiN//dpiB//moaB//plsC//yiaB//trpA//ompG//pstA//ycfJ//yphF//puuD//glgP//purT//focB//ribE//clcB//rpmH//rluD//mazG//gntK//nadK//yehT//ygbL//sbmA//sdhC//epd//topAI//marA//mscS//bdm//flgJ//mdfA//rspB//rutB//rraB//accC//envY//edd//secD//metI//nuoG//ftsN//dpiB//lnt//murI//fimG//recQ//ybaM//cysA//ccmC//mltA//rraB//fryA//yjhB//moeA//fdrA//secD//rluE//nac//lhr//tap//metI//gpsA//pyrD//glpT//allR//actP//ycdY//mdtK//yqjH//ompN//xisR//pepB//pgaB//fepA//fkpB//yehT//glnD//nanC//ygfX//rpsM//recB//waaP//yhaM//fruK//narG//envR//zupT//ompF//hslU//pyrE//hycA//galK//yajQ//rnd//paaK//cysK//abgB//rpmH//ynfK//lgoD//plsC//rpsR//azoR//nmpC//zur//dgoA//malG//fepA//ydfD//entC//arnF//yphB//nlpD//dgoR//fhuD//yjbH//frmA//gabP//pheT//rhsD//yebS//dppB//hybC//alkB//dnaE//fliS//flgH//mntP//ynhF//rcnR//cstA//thiI//cysK//ybgP//cobB//cirA//mazF//tusA//nemA//yidR//ulaE//arcC//mlaE//sfmC//ptsN//priB//cptB//torR//lpd//ybhD//eutD//torA//rstB//eamA//cas3//yjeH//carA//yqgB//ygeW//ydjE//yhdJ//slt//phoP//pgaD//allS//acrR//flhD//purC//htpG//uvrC//glpF//hrpA//yhcD//arnT//napC//pdeK//hcaR//fepD//glpF//insB-4//yohD//yqaE//ydcI//rimO//zntR//gcvT//ybjD//dicA//fruK//aroP//sbcC//qseB//fepD//envY//dgoA//yeeY//yfeR//yehB//ubiF//cecR//cusA//ybaK//yjjI//mdtN//yfdR//adeP//cutA//yneJ//asmA//napB//ybfE//idnT//nrfG//araB//gltB//hybG//pyrG//vsr//flgM//etk//yciT//yfcV//ilvB//sbmC//hpt//dcp//acnB//aspA//glnD//nrdI//ybcQ//secB//ydgA//ygaH//
GO_0005976_5	lysA//cysB//dsbB//mdtG//pstA//glpX//napF//hypC//tatA//uhpC//cyaA//yhjR//yhgH//lolC//ispU//uxaB//ydhC//fecA//glpK//hypA//yedL//ygcR//cpxA//ggt//gntU//ydcR//nadA//tolQ//hybC//yhcN//hdhA//ung//mutY//prmB//sgcX//yraJ//rpmE//tolB//ycjU//norR//modB//galT//fadE//plsC//ilvB//rho//lapB//yghB//gnd//cpdB//mdtA//frsA//ileS//rutG//glrR//nuoM//hicA//patD//aaeA//
GO_0005977_6	rpsL//rhtB//rbsK//gloA//agaW//hpf//entH//cusR//
GO_0005978_7	artJ//ybcQ//ygcR//ybiI//
GO_0005979_8	apt//
GO_0005980_7	lacY//uhpT//frc//
GO_0005981_7	pntA//
GO_0005984_5	mlc//thrL//flgJ//fabB//yddL//ribB//galM//qorA//tatB//ybiY//pdhR//
GO_0005985_6	creC//
GO_0005986_7	rplN//
GO_0005988_6	rlmH//nlpA//
GO_0005990_7	hycH//napA//
GO_0005991_6	yegT//bglA//ugpB//tdcE//ilvE//
GO_0005992_7	opgC//yecS//
GO_0005993_7	malQ//pepQ//sfmF//
GO_0005994_6	xapA//
GO_0005995_7	clpA//
GO_0005996_4	dtpB//rbfA//glnK//ftp//dxs//fryA//adeD//rcsA//glcD//hemD//sspA//btuR//shiA//cysZ//ahpC//casC//sucB//malS//adeQ//zur//rseP//lnt//rbsK//phnO//pta//serC//ridA//yggP//trxC//yejF//bioB//degS//cstA//sufB//rph//fepG//purN//cfa//sspB//pepD//pheA//exbB//adeP//yagF//ybbN//glmU//bolA//yiaT//ilvI//cas2//puuD//dppB//luxS//ghoT//yafN//aaeA//tatD//trkH//gudP//uspF//dcd//ydiR//xapR//ycbB//bglA//mscK//ebgA//puuE//acpT//ttdT//casA//queD//rimO//recG//phoR//focB//casE//ytfR//yacG//yohD//mglB//treB//
GO_0005997_6	eamA//
GO_0005998_7	rpnC//
GO_0006000_6	pstS//yohD//rpsS//
GO_0006001_7	yegT//metE//
GO_0006002_5	livK//yfcG//chbC//
GO_0006004_6	aceA//pheA//znuB//yfaX//yihS//leuA//
GO_0006006_6	ypdF//metF//betB//proA//rfbB//galF//leuD//yihU//rlmE//ilvB//cecR//bamE//gntT//fimB//ybhJ//alaS//lepB//wzc//nanS//uxuB//cueR//grcA//ampD//
GO_0006007_7	ascG//dnaE//moaE//
GO_0006011_5	gcl//
GO_0006012_6	aspS//pdxK//frlB//hdeD//trpE//manX//dnaG//opgG//setB//
GO_0006013_6	plsB//ydcT//
GO_0006014_6	moaB//rclC//arnE//
GO_0006015_7	aceB//ettA//
GO_0006020_5	pepT//
GO_0006022_5	araD//epmA//rpmE//yjiA//mglA//lgoT//def//yciH//ygjK//rcsB//parC//ghxP//yohC//cusB//hcaB//ispH//rpoS//emrB//nanA//flgB//ynfE//crr//mazG//hypA//ypdA//lsrB//rarA//cueO//cca//mrdB//yqjI//ygiV//frdA//rpsD//araB//hypF//ymfA//ygfX//msbA//yjfF//uxuR//dtpB//recQ//serB//mdfA//insE-1//yihR//ygbL//ihfA//tauD//murD//rplN//helD//cysP//torS//sfsB//mtgA//ynbB//yjiY//pyrC//nemA//agaD//lacY//
GO_0006023_6	rclB//dnaQ//uacT//dusC//hsdM//potH//ydgA//cheA//greB//dauA//degQ//pabB//slt//fhuC//nudG//caiF//glmU//yfeD//cpxR//bioF//frvB//hxpA//djlC//araE//bacA//tatA//tesB//lpxM//yegS//tmcA//citX//efeO//rbsK//ldcA//yihU//rplO//avtA//bsmA//chbR//
GO_0006024_7	dsdC//ygbI//lgoT//hypE//curA//fbp//glnH//ampG//yieL//ybhF//yajR//lldP//proS//secF//ompW//alaS//cdaR//fliG//wcaB//radA//sxy//yghB//zapC//mdtD//etk//mdh//mraZ//yjiA//yojI//rutR//mlaD//tamA//yiaT//rimJ//frdC//lptB//eutN//rpnD//gmhB//
GO_0006026_6	ycaN//yagG//dsdA//nlpA//nikE//tap//fliZ//rfaC//yhaC//metH//
GO_0006027_7	ogt//nusG//ubiA//ybjN//alaE//hybE//prpD//ynfE//ybdO//ddpX//
GO_0006040_5	ybiH//pspF//ydcI//secG//dkgB//rffC//fadD//cspD//frsA//rhmR//lplA//lgoT//clsA//ffh//recX//sdhB//glpA//
GO_0006044_7	chpS//wzyE//bepA//entH//proQ//
GO_0006046_8	araC//bcsA//agaI//fimZ//
GO_0006047_5	ssuD//yobF//frvA//yiaT//ackA//ydcM//pgi//
GO_0006048_6	zitB//yhbX//oxc//secF//hisI//holD//
GO_0006050_6	gatA//
GO_0006051_7	aceA//
GO_0006053_8	rpmC//
GO_0006054_6	deoA//sad//trmA//hofN//yjcO//ydjJ//ydiR//
GO_0006056_6	gloC//
GO_0006057_7	evgA//
GO_0006059_6	gntU//yggT//hsrA//rutA//
GO_0006060_7	creC//
GO_0006062_8	trkG//
GO_0006063_5	cas1//ychF//pinQ//lsrG//hipA//topA//sufC//putA//aaeR//
GO_0006064_6	asmA//erfK//yfcG//cheA//wbbK//acpP//
GO_0006066_4	sfmD//trpB//yfcR//cobS//yihL//recN//opgH//livK//ygbM//melA//sstT//ybhI//yraH//pdeH//glxR//mppA//ubiD//patZ//glpX//pyrE//ybbY//rhaS//ynbC//yciT//ydcO//tonB//hsdR//rmf//sgbH//def//proW//chbR//
GO_0006067_6	cadC//gpmA//yegS//
GO_0006071_6	intZ//yhdZ//nupC//feaB//aroF//mntS//hscA//
GO_0006072_6	pgpA//bhsA//cmoA//aroP//frmR//
GO_0006073_6	dgcJ//ybgI//rlmA//ghxP//yahK//ygcW//gpsA//malE//potH//ihfA//rlmF//ssuB//sfmA//yfiF//bamC//aes//prfA//psuG//setA//lacI//
GO_0006081_4	queA//bcr//topA//rapA//exbD//envC//ybaK//ubiH//iaaA//nupX//perR//hemD//cpdB//uspF//ubiC//phnP//yoaB//gyrB//ugpC//gapC//fumC//crp//mdtB//ruvA//ppiA//mgsA//rho//kdpA//gadB//udk//yqiJ//hybC//yqiH//lacY//infC//leuE//yghU//thiL//ebgR//queE//ynhG//allS//rlmH//lysR//parE//yejB//evgS//csgA//aceB//yhaV//lptF//phnN//pheS//yfeO//yieE//sixA//yehP//asmA//epmA//yigB//hisA//yjcO//dnaT//tktB//katE//ybjC//yciT//
GO_0006082_4	yjfF//srlE//gltK//rplN//yahF//ydjK//udk//pyrC//pepN//prc//mutL//obgE//hflD//thiC//rng//prmA//rplQ//uxaB//phnJ//proB//otsA//ilvE//mrcB//gcd//ispF//phoQ//ydgA//shiA//mdtG//ssuC//glpC//hemL//luxS//yneL//iraD//yjcO//ccmC//cheR//leuD//yadV//nusG//yjfP//yjiX//ariR//yjiX//motA//thrC//recE//hybC//psuT//uhpA//gspF//fliA//hybG//aqpZ//bdcR//rimI//insH-5//yfaU//rplN//relE//bamC//mgrB//acrR//umpG//gatD//ycgR//bcsQ//potF//mscK//yfgJ//caiD//hypF//frwD//topB//gntP//nhaA//ycfS//agaR//alaC//tatB//ubiJ//cdd//abgR//ada//proB//rcnB//cdgI//ompL//mak//fdhF//cysS//alpA//pflB//fruA//rpmH//pfkB//slyD//ftsW//topB//scpB//yidL//pncB//ortT//fecD//yfhH//phoB//ybiH//accD//zraS//fimC//ynfL//rhaM//rluD//ampH//oppC//cdsA//ycfS//ptsP//rluA//dnaB//mqsR//lpoA//uspG//npr//truA//sbcC//kdpF//insI-1//nrdR//rsuA//cspE//allC//sucC//yhbO//yfeR//gatC//ilvA//nrfA//umpG//yciE//casA//yahK//uvrD//rlmJ//hupA//yceK//dtpB//yhbS//wza//exuT//ssuB//cheR//malI//kefB//sdhA//copA//yihR//rplD//perR//abgA//adhE//rcsC//hybD//dkgA//rplW//nadB//sfmF//bglJ//ugpC//yiiE//fadB//ybhF//prpR//ptsH//arnE//ykgO//opgC//lsrG//ibsE//yhjV//era//frwD//umuC//rhaB//yoeB//tsgA//chbG//rsmE//uxuB//ypdC//chbB//rutG//sbcB//mreC//hofC//mdtA//yggX//kduI//uxuR//agaI//oxc//puuP//yjaA//cpxR//qorA//cspE//nlpA//yedP//zwf//atoC//ynjD//lapA//elfC//rnb//tar//ugd//yhcH//hisS//nac//rph//tusE//yajD//acrF//fliT//bglX//kup//dauA//hpf//ascF//rhaT//ribE//yaaU//bglA//ycjU//pdeH//fixA//ybhP//manX//araD//yghO//rpmE//polB//lysO//setB//rsmD//ptsN//trmB//yggX//yahN//aroG//icd//glmU//rutE//dusC//htrE//scpC//ykgF//narI//argC//gpmM//glnD//uup//gcl//yhbO//rhaA//abpA//pliG//elfG//hpf//infC//ubiA//yjbE//frdD//motA//pgk//degP//prlF//mlaE//hemD//cspE//yfjR//gluQ//mntS//yihV//osmE//ycjU//yiaO//rplF//lgoT//narU//artJ//prmA//yihI//ftsP//tqsA//tpiA//recX//gadE//fliM//insK//pinQ//ibpA//atpE//lldD//rfaC//prfA//yiaU//yddL//paaB//nuoM//folE//cas2//kilR//dcyD//flgM//cysD//ribD//folC//gutQ//napA//narV//hofQ//basR//kdsA//yghW//nupG//uspE//pnuC//yibA//opgG//aroC//deoR//smrA//mrp//ompN//tehB//eptC//hcaF//ahpC//hemB//yjhG//frlB//paaZ//metF//fucO//prc//nanE//yddG//fau//fes//pflC//nmpC//dicC//yjjB//ydiV//pfkB//ygeW//hscC//hybE//trxC//trkG//yfdS//uspC//frsA//cysK//fadB//mcrB//yciG//cdsA//hslR//glpA//cysA//ydhQ//hxpA//yfiC//trpC//cdh//thiG//atpF//chaC//pflA//rhoL//purB//yghO//rpmJ//clpA//yddL//frlR//treC//mraY//hicA//lit//yfiR//yccS//yjiQ//clpP//cysK//tas//mlaD//tsaB//rusA//ygiS//trxC//nlpD//ynfE//hycI//glnB//narY//erpA//cysP//hisQ//yhcH//pagP//oppB//rsmD//hcaF//gshB//pgi//ybiY//ettA//glgA//cysD//murB//yggN//dtpC//gcvA//ihfA//holB//tehB//argD//yafQ//ycfS//fes//ahpC//ybjG//mdtL//rplN//thiP//flgD//ydfG//flgA//hybC//sufD//hisF//yeiE//nhaA//fklB//cysC//yqiH//insK//feoB//tnaC//yfjV//yjeH//fadD//ymfA//hcaC//carA//rlmA//
GO_0006083_6	tas//mdtF//mzrA//ulaD//eptA//yjaA//
GO_0006084_6	nadE//tsr//
GO_0006085_7	trxA//cbrC//
GO_0006086_8	rzpR//
GO_0006089_5	hemD//metQ//xseA//malZ//sapD//phoE//atpF//lptF//mutT//rof//pheA//ypdA//yihP//galR//aroP//intQ//fadJ//eptA//murJ//proA//yqjH//thiQ//pheA//xanP//ivy//pbpG//hdeB//asnC//yafQ//
GO_0006090_8	uspE//lpxK//ubiI//aroA//ade//aroF//ackA//ygbN//ybdR//ygcW//wecA//ybdN//yihP//ubiF//dctR//mutH//pinQ//pflC//ymfA//purB//hisP//sgbH//aceA//ridA//pabB//yieL//barA//ydbK//rihB//mraY//zwf//
GO_0006091_4	dosP//azoR//garD//gadA//ibaG//ydiP//frlC//csgE//bglB//yghW//fliT//ygiV//cstA//hns//lplA//pspG//ascF//argK//elfD//rplY//ulaF//yehX//hdeD//nhaR//gsiB//ppx//feoA//ttdB//dkgB//ynfH//yebQ//rhtC//sgcE//rplN//ykgM//yhjA//rplC//parC//fruA//pyrL//ydbK//tilS//ygaV//gppA//rrrD//cobT//nagE//deaD//dedD//sbcB//rppH//adeQ//ubiI//sbcC//ygfI//mhpD//treA//deoA//phnG//tqsA//gcd//yahF//insE-1//ygeV//sgcE//coaE//zwf//fepD//zapD//narH//cnu//prmB//yafC//narP//nth//rplL//rapZ//csgE//malY//wcaC//ybcC//ydjE//phoB//flhD//secM//rnhA//thiH//insI-2//umpG//yihW//yajL//mreC//csgF//chbC//ybeY//rrrD//yjgX//smrA//rfaB//yqjA//comR//rlmB//ymdB//rpmA//eutR//gshB//csdE//rffC//fklB//wecC//csgF//glsA2//
GO_0006094_7	ribF//cysK//modC//murR//rcsB//rluD//mdtB//menE//phnC//casE//
GO_0006096_6	yibH//ypdC//yjaA//cysZ//lysS//serC//dmlA//nlpA//leuA//yiaM//feoC//wza//lgoR//elaA//yfdR//sufE//mdtG//ygdG//
GO_0006097_5	yfaU//narP//fsr//deoC//gsiC//
GO_0006098_6	opgC//yiaU//greA//ygfZ//cspD//
GO_0006099_4	setB//dnaQ//yagJ//wcaC//aspA//narV//dxs//sdaB//yjbE//gapC//fklB//yigL//adhP//mdtN//flhD//dnaQ//hybB//
GO_0006101_6	ybjL//tusB//fruK//ygfA//spy//malS//yejE//fadB//cpsB//rpsI//dcp//dsbB//pyrC//rhaA//ais//purF//xapA//
GO_0006103_5	dtpC//alaE//ugpB//
GO_0006104_6	waaZ//glxR//ftnB//
GO_0006105_5	agaD//gltS//rplJ//cdaR//groS//dgcT//lysU//tmcA//
GO_0006106_8	msrP//
GO_0006107_8	malG//
GO_0006108_8	yihT//phnH//dauA//intA//yqjA//
GO_0006109_6	glpG//znuB//rrrQ//dinG//fepD//tatA//glgP//tusA//cdsA//
GO_0006112_5	ilvN//mppA//ilvL//waaA//rluA//btuD//araC//yhdW//
GO_0006113_5	ydiK//pflB//alaC//ychO//dinQ//glpA//yigB//mrr//glgB//ugpC//fadK//metN//eutA//
GO_0006115_6	ilvE//
GO_0006117_5	yibF//
GO_0006124_6	cirA//
