#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	sgbU//recF//nrdH//cvpA//
GO_0000270_7	sdaC//tyrA//gshB//frmA//ykgF//nrfG//envC//mdtN//folD//yfaU//yehU//thiM//tehA//rlmM//narW//hyfR//hscB//cysZ//ghoS//adiC//gmk//yjjV//rffH//lit//uvrA//rplF//clsC//ydgA//sufS//flhA//hycI//kduI//tqsA//cynX//eutA//dauA//fis//dtpB//yddL//ilvL//oppD//kdpE//degP//pyrL//ghrB//yagF//trg//dinI//sseA//nudB//uidR//ybiV//ybiT//yobF//lysC//yggT//ydeO//hdfR//pitA//yejF//putP//cptB//rcsC//
GO_0000271_6	hyaB//metE//hybD//ycdY//yefM//pdeK//waaC//treR//fruA//fliK//tnaC//afuB//ybiV//yfeW//hycA//rplN//nirB//ybhP//ydfH//motA//cheA//smrA//leuD//yehU//mocA//hisI//bamE//ilvM//nrfG//moeA//rpsN//rplK//dnaK//recB//xylR//mdh//yegT//paaA//pgaC//yihO//dcuS//csgF//yhhT//trpA//dxr//pnp//mepA//csgB//aroD//cra//
GO_0000272_6	waaZ//pyrG//ulaB//nikA//mipA//flgD//
GO_0000302_5	deoA//tolQ//tcyJ//dmlR//atpE//fepE//yciG//recF//hcaB//aes//xylF//pinE//nfo//idi//fucP//dhaM//ycjR//garR//mnmE//fetA//mzrA//cheB//tas//cpxP//fadD//ulaG//mraY//ycgB//pgaB//nsrR//hybG//
GO_0000303_6	gntU//pheP//
GO_0000305_5	nfuA//tufA//yjhB//
GO_0000372_11	exbB//
GO_0000375_9	ratA//
GO_0000376_10	ilvM//
GO_0000413_9	caiE//deoB//sapF//nuoN//frsA//rluA//cmoB//sdaC//
GO_0000451_7	dtpB//yiiM//dnaX//yehB//argK//
GO_0000453_8	entB//maoP//ulaF//yhjB//yieL//
GO_0000455_9	dinQ//hcaE//yabI//speE//gpr//iraP//hemL//
GO_0000462_11	galK//sgcB//
GO_0000469_8	nanS//
GO_0000470_10	dnaQ//
GO_0000478_9	uidA//
GO_0000715_6	parE//
GO_0000716_7	pdeF//
GO_0000724_8	nuoE//
GO_0000725_7	cspG//chbF//mngR//zapD//manA//yidA//
GO_0000726_7	waaO//
GO_0000731_7	abgB//fixA//pta//ykfI//artP//yaaY//prmC//
GO_0000737_7	lrhA//
GO_0000738_7	nuoL//hchA//msbA//
GO_0000746_4	paaA//
GO_0000820_7	potI//
GO_0000902_5	gcvT//
GO_0000910_4	cysC//kdpF//ybhJ//pdeK//marR//rcdA//dauA//malE//bamE//yjiA//fepB//hyaC//rsmF//sixA//mglC//mdtF//cpdA//yadM//
GO_0000917_6	msrQ//livF//hyfA//cbrA//ribE//
GO_0000918_6	yahO//ansB//lrhA//fcl//
GO_0000920_3	sucB//ssuE//murD//rayT//ybdR//
GO_0000921_6	cecR//
GO_0000966_8	nupC//yoeE//dsbG//kdpC//
GO_0000967_10	sucB//mgrB//rutE//
GO_0001101_4	ulaF//symE//ribE//rplJ//nagD//gcvP//yghB//ldtD//citT//yhaV//atpB//clcA//ileS//uup//sdaC//lpxM//astC//zraS//cspD//ydjE//yehD//osmF//rlmG//queE//fetA//lepB//
GO_0001121_7	rpsT//glnE//
GO_0001123_8	yccA//
GO_0001124_8	malK//
GO_0001407_7	yeaD//dtd//ldtA//dapA//
GO_0001505_4	yadI//hflX//rsfS//cysN//glnL//modB//rffH//ydfD//rna//hofQ//yaaA//cysC//yehB//diaA//narP//allR//
GO_0001510_5	ldrB//yieE//yqaA//nanA//scpB//nagA//msrQ//cytR//nadC//tufB//secM//hdhA//ulaR//hpt//ppiD//aaeR//thiQ//pflB//yciE//rpsA//yjaZ//opgC//opgH//dmsB//mpaA//lpxL//narV//prpC//aceF//dgcF//recT//xylB//mnaT//fliG//gloB//dnaA//yadM//tsf//creB//prpD//
GO_0001514_8	ydcO//
GO_0001522_7	yiaT//prpR//gnsB//fimB//apt//rpsK//eptC//tesB//rplC//hisA//yhgF//yiaB//kefB//
GO_0001539_4	uhpT//intA//purR//ispU//gltL//actP//mscK//hcaR//lacY//melA//hexR//amiA//zapE//znuB//yhcF//tolA//cbtA//torD//fecB//amiD//pyrE//cysP//bfr//gshB//lpcA//fimI//cheB//araG//bhsA//yfdC//yhjR//
GO_0001558_5	ycfS//artI//mutH//nudB//rluB//deaD//uraA//nrfC//
GO_0001561_6	fecB//
GO_0001666_4	poxB//
GO_0001676_6	trmD//panC//lsrR//
GO_0001680_11	rpsN//
GO_0001682_11	idnK//
GO_0001731_7	yehX//
GO_0001762_6	betA//
GO_0001887_4	rffH//potE//rplF//
GO_0001896_5	yjhC//rpsA//ydiO//rimO//
GO_0001907_5	tdk//potC//torD//rhaT//
GO_0001932_8	ybjD//dppA//
GO_0001934_9	rclB//
GO_0002047_6	uvrY//cydC//
GO_0002097_8	hisD//pgpA//ada//nlpA//exoX//holB//envY//napD//flgG//ypjD//exbD//elfD//aroA//trxA//rpsO//betA//sufD//nadA//proP//
GO_0002098_9	wzb//pspA//amiD//dapF//sufB//ydfK//emrB//entD//hinT//araB//cutC//chbC//fliD//
GO_0002099_9	ypdA//yidK//
GO_0002100_9	thrS//
GO_0002101_9	gshB//recD//
GO_0002128_7	xapA//pdeF//aas//uspB//
GO_0002130_8	coaA//
GO_0002131_9	ptsG//
GO_0002132_9	patZ//
GO_0002136_10	cecR//
GO_0002143_9	ydcZ//tatA//recR//allS//rihA//pinE//
GO_0002181_7	ttdB//ulaF//
GO_0002183_5	nrdF//
GO_0002184_8	narW//
GO_0002188_6	dsdX//
GO_0002190_6	yadI//
GO_0002192_8	lpxD//
GO_0002252_3	yeeA//fadM//ydjK//tauD//ycfS//nemA//csgD//sucC//queD//frwD//
GO_0002790_6	dgt//lasT//ulaG//lptB//hupA//hslR//thrB//
GO_0002937_9	entA//
GO_0002938_8	recR//
GO_0002939_7	cmk//
GO_0002943_8	insF-1//
GO_0002949_8	potB//yafS//ldtD//csgE//
GO_0003333_7	nepI//prmA//potA//pheT//ybhJ//clpS//tap//rnlA//yjjQ//priB//yajR//yhjB//lpoB//folA//hcp//waaA//tcyN//malG//torD//hypF//degS//mdtK//mcrA//gltD//kdpB//fadE//thrA//dcyD//treB//pfkA//glpD//ybdG//zntR//mtfA//ggt//adiY//slyA//speC//folX//rseP//gatC//sucC//yjjV//uvrB//mdtK//coaE//yfcV//flhD//rfaQ//
GO_0005975_4	nanA//ibpB//ynbB//secD//rlmI//pspG//ibsA//fau//ydeM//flgG//kdsB//ribA//degQ//tilS//fre//rclA//dgoT//hcaF//yjtD//lgoR//mepA//caiB//yihS//tcyL//waaF//rimL//argS//glcD//ybgQ//ugd//paaB//prfC//wecA//secA//gadX//ugpA//bfr//nimR//yicJ//dcuB//dgcQ//fdoI//srlA//chbF//ndh//flgH//tynA//cspB//rna//pgl//nikR//ynfF//ydcS//metR//frwB//xylE//yfcP//gpt//tsaC//yidP//actP//umpH//srlD//fadR//ltaE//ycjW//atpH//priB//tsx//lgoT//fimA//mdlB//ruvA//tusE//glpC//menI//narW//yiaL//mdtC//glpX//metF//pgl//rhmD//nupG//cbl//uxuA//hemN//pgm//glmS//mngA//sucC//mntR//mltB//leuS//rpsA//hycA//acrA//panC//evgS//cpxP//hslO//cysI//yhaM//yneE//sucB//yhiM//topAI//adiY//osmE//ldtA//gldA//envY//yjfP//insA-1//fnr//rlmB//pyrL//obgE//ybiH//bioD2//fliZ//lldD//sgcE//fimC//kch//mepA//tktB//ompL//deaD//rluB//pheA//trmA//yddL//ribE//fpr//phoP//phnG//yhgF//cobT//xanQ//ybhI//chbR//tldD//yagI//tisB//narK//eno//yhbO//ibaG//araB//potD//tgt//fetA//bcsA//ynbB//creB//paaF//nhaA//ftsY//yfhH//lsrR//atpD//ynbD//yhbX//pyrG//holC//exbD//ldtA//uidA//ilvC//ilvI//mak//rplN//btuD//azoR//fadR//gsiD//wzzE//ybbW//kch//fadJ//glgB//groS//mcrB//pdxB//holC//puuC//malF//yhaM//fucP//yahF//dsbA//narX//yhfK//paaC//copA//tar//gsiD//yqeG//dnaC//dtd//cdsA//recE//rng//ispU//dppB//creC//ghoS//ykgM//glrR//phnK//mglB//dxr//arcB//ycjR//hybE//ygcO//ppiC//lpxD//yfhM//sfmC//abpB//cbrA//thiH//ulaR//deaD//hisA//manZ//ybbY//cusF//tolA//rng//galF//slyA//phr//mdlA//cysE//secB//dicB//bioA//glcF//paaZ//osmF//elfC//cdsA//dkgA//casC//araF//abgT//iscA//cra//yafE//prlC//hflK//
GO_0005976_5	napF//bioF//ugpE//metR//rutR//manY//ybhA//appA//exbB//dpiA//hflD//yiaA//mtn//proW//phnI//yeaV//mdlA//cysD//potB//wcaB//yhdZ//insF-1//rarD//cas1//mntS//yedX//kbp//fryC//tsgA//hslU//gmk//dmsB//tatD//idnD//rffH//yhgF//yhhZ//rpsR//yfcF//purC//artI//rcnB//mlaC//glnK//helD//yqaE//sodA//ygfA//bamC//bioP//ulaC//glmS//clcB//yjhG//aes//glgA//glyS//srlR//nanK//
GO_0005977_6	tyrR//prs//cmoA//rhaS//glxK//btuC//glmS//dacA//
GO_0005978_7	glxR//fadJ//hdeD//rpiR//
GO_0005979_8	waaJ//
GO_0005980_7	srlR//abgB//ssuD//
GO_0005981_7	iaaA//
GO_0005984_5	pcnB//alsK//lptC//tolR//aspC//dgcZ//leuS//msrC//dedD//phoR//mlaB//
GO_0005985_6	metG//
GO_0005986_7	ahpC//
GO_0005988_6	yjgX//rhaB//
GO_0005990_7	cfa//ygiN//
GO_0005991_6	livG//sfmH//ydaC//yjhB//pgpA//
GO_0005992_7	groL//fimC//
GO_0005993_7	garL//lipA//eco//
GO_0005994_6	queD//
GO_0005995_7	deaD//
GO_0005996_4	ahr//aldB//bamE//yfaU//cspB//nikE//phr//proW//zraS//mgtL//glpX//ydbK//npr//gltX//tas//ibsA//fucO//sbcC//tbpA//waaO//hycI//basR//dsdA//recT//hypT//pspF//frdC//yhgH//ahpC//yiaJ//gutM//kduD//zapB//yfdR//ldrB//lepA//cysN//frdC//yiaF//ampH//motA//ftsA//lsrC//pbpG//folP//mepM//insI-1//rsmI//hybB//aceB//allR//aroF//accA//fdnI//asnS//yadM//putA//glcC//hrsA//fliL//pstB//ytfP//prmA//yijE//ygiW//aaeR//bacA//moeA//waaG//msrC//ppc//sapD//ftsP//bioC//ldtA//fruB//pyrF//ariR//nusA//thiG//dcuA//motA//
GO_0005997_6	folC//
GO_0005998_7	ycjD//
GO_0006000_6	seqA//thiG//cyoD//
GO_0006001_7	shoB//pdxB//
GO_0006002_5	ytfP//yhcF//yieL//
GO_0006004_6	yfbU//uspG//yfaU//uxaA//dmsA//ulaG//
GO_0006006_6	yjbB//mntR//ubiE//treB//sdhB//ydjK//pdeH//galR//casD//lysP//skp//zapD//kbaY//yagI//menA//rlmG//nagK//mdaB//fliG//hdeD//ispF//prpR//dnaE//
GO_0006007_7	fadE//uidC//fabZ//
GO_0006011_5	tdcA//
GO_0006012_6	ulaC//gltI//truC//ydiB//yeaG//pcnB//btuE//yjbF//ykgF//
GO_0006013_6	ybjL//proW//
GO_0006014_6	rfaH//bioD1//aspC//
GO_0006015_7	pdeL//purR//
GO_0006020_5	ldtB//
GO_0006022_5	yodD//yqiH//ccmG//yphC//talB//ugd//galF//elyC//hslO//araG//ycbB//ynaI//truD//rihC//ispH//yedL//tdcR//speD//mdtB//fabI//blr//fpr//cdgI//tauA//hofM//rplM//pntA//kefF//uup//wecC//yahD//hicB//appY//ynfL//ibsE//emrB//skp//rpsI//dgcF//talB//era//recX//pepQ//ispF//atpD//potF//osmC//hybD//crl//acrE//cobB//wecB//lhr//betA//ykfM//ydjH//kup//ridA//emrE//fruK//pspG//yiiD//rdgC//
GO_0006023_6	nhaR//qseB//yjiY//mug//sgbE//queG//cspI//yfjV//rspB//yddA//rpsL//fecC//tcdA//gutQ//frdB//dhaK//tsaD//iscA//aroF//kefC//tehB//gatZ//lyxK//bolA//zntR//fucO//recC//chbG//sdaC//yjgX//hokE//btuC//rzoD//syd//dcm//mdtA//caiE//mreB//rcnA//
GO_0006024_7	ydfG//rplC//yidE//sdhD//ulaC//wcaJ//rzoR//pheM//fabG//selA//ndh//murE//xylA//serC//setC//mcbA//decR//yciK//gspE//uspC//fepD//exbB//fecA//fdnI//nikB//fabG//zinT//rdgC//trpD//norW//aceK//astB//argS//cysD//ihfB//yqhC//bglF//glmS//ulaC//
GO_0006026_6	yibH//rpoE//dgcT//nagA//xylB//yhaO//bssR//rna//ybhP//yphD//
GO_0006027_7	gstA//bioD//upp//mdfA//ydbD//yajQ//yhcD//napD//glnQ//yebC//
GO_0006040_5	truA//thrL//wzb//yhhZ//nikD//melA//gloC//artI//araA//yeeA//thiC//lldD//gyrB//fliM//treR//yfcP//mdtM//
GO_0006044_7	iscU//gcvH//gadA//fimB//sgcR//
GO_0006046_8	bepA//oppF//mtlA//ftsQ//
GO_0006047_5	yhcD//yoaA//ilvC//dgcE//guaB//rplP//cheA//
GO_0006048_6	rzpR//insK//cheR//glsA1//ydiR//qorA//
GO_0006050_6	ybeF//
GO_0006051_7	tusC//
GO_0006053_8	lacI//
GO_0006054_6	ydcI//ettA//fucP//upp//pppA//ydaN//yfeW//
GO_0006056_6	arnA//
GO_0006057_7	nusG//
GO_0006059_6	higB//ampG//crp//oppC//
GO_0006060_7	rhaT//
GO_0006062_8	amtB//
GO_0006063_5	trpB//yqaB//leuA//trkA//alsE//mraY//oppB//pdeK//cspE//
GO_0006064_6	fdhF//yqgF//yfaE//lolC//paaC//yidP//
GO_0006066_4	katG//yejF//gatD//yiaJ//gor//citC//yqaB//arnB//rtcB//yfdC//yccA//ttdB//curA//tig//yeeO//mobA//gdhA//rutF//mqsA//torI//pfkA//zupT//hinT//cpxP//suhB//cof//potH//zraR//fruB//yfcQ//mprA//asnC//
GO_0006067_6	yciV//higB//pdeD//
GO_0006071_6	fryB//mltG//fliS//ykfM//uspF//obgE//epd//
GO_0006072_6	alpA//lit//ybhP//cobU//pheT//
GO_0006073_6	casB//srlA//yaaU//yaiV//rraB//cas1//yfcQ//cusC//allR//yaaJ//ydcZ//artP//fabH//lamB//yibA//ydiO//atoC//ilvN//rlmB//hemA//
GO_0006081_4	dkgB//ybjC//tauC//yiaM//puuA//otsB//prs//yehY//rbsK//ftsA//trxC//sfsA//truC//narX//hha//yjiR//ydfG//nfuA//rbsD//ftnB//gatY//sbcD//bolA//ubiE//insH-5//zupT//gapA//higB//nlpD//hupA//rihA//gcvR//pspA//adhE//xylG//allR//chpB//rplK//purU//mprA//mnmA//fabB//ppk//ihfA//helD//fucK//yhbX//fdx//mdtM//appY//icd//ytfQ//nrfD//allR//rihB//yedF//yfaU//rsmE//ybdM//znuB//glnS//mocA//ybiJ//kbaZ//rpe//ydcM//hdeB//
GO_0006082_4	yfhH//lpoB//phnJ//agaC//rplS//rpsK//dxs//yebC//chbA//ydcR//csgE//betB//hyfC//helD//tolC//uvrB//malE//hcaE//ldrB//yiaB//afuB//lgoT//folE//yjbH//purU//atpG//yiaN//lhr//ldrD//ribF//erfK//yraN//pgsA//ldtB//clsA//rseC//mtn//dps//agaD//rcnA//ftp//opgC//ppiD//sstT//emrD//dpiB//galS//btuD//rpsI//aer//tolC//pitB//degS//dsbB//treB//etp//sfmA//yagE//ubiH//yidH//aceA//agaC//mmuM//fabI//envY//hsdM//ygfA//guaD//cmoA//prfB//ydhC//cysM//yagG//fixB//nrdA//yjfP//hdfR//pbpG//hha//entF//livG//yfaE//wzb//glyA//yraN//yfdC//pdhR//ccmE//yciA//panE//yfcG//lptF//kdpD//sufB//ppc//cstA//entS//nlpA//mlaD//hcaF//ydeE//yjiM//ppiD//sfmF//rpmB//mdtO//bglF//modC//hprS//xapR//ykfM//lsrK//hemG//mscM//rhmR//efeO//kdgR//pstC//gatZ//fimG//sfsB//pheS//gadW//cysD//yiiD//miaB//lpcA//lpoB//dtd//rluE//lpp//ruvA//rbsA//tatA//nlpI//yqjA//atpA//rbbA//mukB//pal//yeaV//rplO//marA//mdh//yiaB//pdeL//yohD//sodB//alsC//rfaH//yfgO//yidE//motA//hisP//cysH//dhaK//hofQ//bglH//yebZ//glrK//cynT//casD//clcB//rsmI//rpsN//napB//yidH//ssuE//pdeR//sucD//rraA//yhjR//cadA//holE//eutK//tar//ubiE//queC//arcB//eptA//rlmD//uhpC//eutN//kdpA//prlC//tusD//gyrA//ulaC//gloB//msrA//ssuD//bisC//alkB//mlaD//dppC//pstA//cas2//rfaC//yahK//cysK//nrdB//ybfE//moaB//rsmE//mtgA//ccmC//yfiF//yehP//yjjW//hokB//cbtA//fruK//agaW//allD//yghO//xseA//ptsP//nrdA//baeS//mnmA//ygiW//trkG//cytR//rluC//lacI//iscA//cmoB//chbC//nadA//nuoM//selA//bamE//nikB//tdh//relE//hicB//fdnG//mazF//lpxM//ppsA//allC//rpnA//fimE//mepS//thiE//ghoS//deoB//paaX//mgtA//mlc//patZ//xanP//gatY//ftnA//yahI//fucP//nagA//speG//pagP//fixA//degS//metN//leuA//yjbH//yaaJ//rzpR//yidR//ispB//gshB//gspJ//flgH//hcaC//metK//leuD//speA//nrdG//arsB//mtlR//yehD//ydiV//frr//paaX//tauB//nadA//recD//kdgT//ftsQ//betT//yggT//pldB//yafO//fis//eutB//glnB//nrdI//hycI//manX//yjbB//glgC//ygeA//fic//atpB//lsrR//cpsG//rbfA//yidH//pepA//torZ//rpsG//galK//ygcR//hyaD//uhpC//tdk//mnmG//rph//pdhR//lamB//focB//mrr//ygcO//rcnR//soxS//dinJ//ygeV//murE//ugpA//cas3//ydeM//ydcI//fliT//hdeD//hprS//ynaE//entA//paaJ//waaB//nuoM//hiuH//kefF//kgtP//nfo//citT//rutG//yihL//cyoC//trmH//gapA//fes//entA//pepD//agp//intE//fetB//mdlA//mhpB//csgF//argB//murR//ycjU//ypdC//bluF//nuoG//moeA//yiiD//gapA//cirA//fadE//sufC//hypB//glnA//bluF//sodC//ldcC//bioA//tbpA//potH//amyA//ptsP//tdcF//yqaE//tsaE//tatB//bglX//torS//mhpR//yihQ//yqcG//pepT//frlR//gatC//ttdB//gltL//intZ//insH-5//ycbX//nikB//glpC//dkgA//betI//uidC//nuoG//cadA//yiaN//rbn//mdtQ//yagI//envY//cheY//gabT//glsA2//alkB//lpd//sseA//hemC//tdcA//serA//ybcC//kdgT//sdaA//yhjR//tktA//efp//yhjR//hyfC//lpxM//nlpI//rpmE//feoB//ghrB//rnb//yajR//rpiA//panC//tamB//thiP//yadN//rpmG//rplK//yieF//amiB//dnaA//ldcA//adiY//djlC//ralR//mgtA//ybiV//oxc//hiuH//gnsB//argC//amtB//cysK//aidB//mscL//ssuB//flgG//hybA//ybhI//
GO_0006083_6	tas//glgX//ynfK//selA//malQ//bdcR//
GO_0006084_6	aroP//bglX//
GO_0006085_7	frmA//fcl//
GO_0006086_8	ldtC//
GO_0006089_5	eptC//waaO//hldE//phnN//pliG//mdtI//intZ//nirC//actP//kduD//paaZ//fau//tgt//pfkB//cdaR//ispG//zntR//gmhB//leuE//sbcB//rna//yfcV//crr//tolR//mlc//allS//yccX//paaF//fabR//
GO_0006090_8	sfsA//pdeK//ydiZ//pyrF//hinT//glxK//xapR//elyC//rplC//cyoE//rmuC//mreD//hflC//ilvN//kbp//yneE//tdcC//recB//mhpA//yhjG//lipB//recF//prlC//mlaF//groS//yedF//rcsB//ibsC//minD//pspD//mtnN//
GO_0006091_4	narP//hflX//glpR//relA//rstB//hycA//wzzB//epmA//tomB//ybcL//yihR//ygcO//rimO//sfsA//phoA//allB//ompT//yhbO//xylE//tsaB//fadR//yfaX//yeiL//yjhP//sgcC//ycdY//recR//rpsI//ybhR//caiB//fadL//ybaM//ygbM//cheY//ybcM//sspA//etk//lptB//yhdH//ybhS//lapA//mntS//holC//yaaU//mlaD//mdtD//malI//ydiO//ftsX//pinE//kdpC//ibpA//rihB//nrfF//kdgR//yraJ//patD//emrK//hemN//rmuC//appB//fliS//degS//cadC//mutS//mhpB//mdfA//iap//yfbS//araC//rpmF//galM//rbn//fepG//abgA//waaU//menI//yceK//era//sohB//hybD//queC//glvC//dut//dppF//ispU//uidR//nemR//rodZ//lolB//feoB//rtcR//murA//yphD//mdtD//umuD//tehB//ygfI//thiD//cyaA//phoA//cusR//narW//yjbG//prc//rimJ//lgoD//rhaS//bamE//yefM//mdtG//mltC//
GO_0006094_7	gpmM//malQ//yrbG//yqhD//tsaB//dhaM//sdaC//seqA//rluE//leuS//
GO_0006096_6	acrZ//crr//creB//pmbA//focA//hscC//uacT//ycjP//mdfA//adhP//alaE//thiD//iraP//hdhA//topA//bolA//hupB//ppiC//
GO_0006097_5	cysU//prpD//mntP//ihfB//ygfI//
GO_0006098_6	yqaB//narV//rppH//amiA//metB//
GO_0006099_4	ihfB//rnlB//speA//gabD//yidQ//ybaO//yceK//yeiG//pabC//bamA//rsmJ//malQ//rplF//rpiR//ppiD//btuC//mhpR//
GO_0006101_6	waaP//fucI//hisQ//mnmA//glcE//fdhD//thiP//trmJ//fdhD//yaiW//thiE//mlaE//nrfF//yciG//rraA//fetB//yfeW//
GO_0006103_5	entC//recF//yehB//
GO_0006104_6	ccmH//pspA//gcd//
GO_0006105_5	grpE//glnB//queA//hscC//diaA//waaY//ydiZ//ynaI//
GO_0006106_8	mdoG//
GO_0006107_8	ettA//
GO_0006108_8	nmpC//pdeR//adeD//ubiX//trmD//
GO_0006109_6	frlC//hflD//mltB//rimI//tmk//yacG//secE//zapE//yagI//
GO_0006112_5	rppH//ytfR//rluC//dam//rcnR//chiP//uof//moeB//
GO_0006113_5	glvC//csrA//yadM//dgcT//hflK//msrC//sdhC//ecpR//murG//dapD//fiu//ybcM//rayT//
GO_0006115_6	pgpC//
GO_0006117_5	envZ//
GO_0006124_6	ogt//
