#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	rnt//cysZ//ariR//nrdG//
GO_0000270_7	csiR//bhsA//ygbN//kgtP//ispA//pheT//yieE//metC//umpH//satP//rusA//rpsP//evgA//essD//pphA//tyrR//envZ//yqeA//galP//betA//frdA//fau//dacB//yagJ//mscK//rseC//oppF//ycgB//znuC//gspE//pgpB//torY//yadM//ycfL//def//potE//thrC//aroK//yhhY//eutB//purA//hfq//dinD//hisF//evgS//dsdA//mreD//hfq//mrcB//holE//yfeW//cbl//lamB//yhdH//rcdA//ypjD//grxD//fre//xylF//ydfK//cirA//ariR//ygfX//
GO_0000271_6	ygiW//yiaL//comR//yfaV//ompC//hybE//ptsI//ubiC//gatZ//maoP//moaA//metI//aceA//fdoH//prkB//plsC//yaiV//insA-1//lysC//ynbC//treC//hybD//cheY//rplA//pabC//gltK//rbn//otsA//bglH//comR//ydbD//fbaA//mdtC//bsmA//flgF//tap//nsrR//rpsJ//ldrB//rcnB//citE//lptD//allC//csgG//fimI//paoC//rhtC//purF//umpH//holA//
GO_0000272_6	hcaF//tbpA//yfbU//frlA//yjaA//rffT//
GO_0000302_5	mzrA//nuoN//pfkA//nupG//ydeI//trpL//abgB//tehA//icd//envR//lpxK//yhiM//potF//dauA//gyrB//ccmD//aer//tolQ//thiG//cbl//yjeI//dmlR//ispF//asd//ybhF//rpiA//gutQ//dppB//nanC//fes//zntA//
GO_0000303_6	rcsF//murE//
GO_0000305_5	rsmE//ascG//agaI//
GO_0000372_11	phnH//
GO_0000375_9	frwC//
GO_0000376_10	oxc//
GO_0000413_9	ttdR//ychO//ansB//yghG//ybdZ//torS//soxR//ibsB//
GO_0000451_7	gdhA//phnI//dnaT//clpX//pinE//
GO_0000453_8	zraR//wzzE//bcp//ygiS//argP//
GO_0000455_9	nikA//msrA//yhgF//metH//crr//yihQ//glsA2//
GO_0000462_11	hns//raiA//
GO_0000469_8	rfaE//
GO_0000470_10	rlmM//
GO_0000478_9	gcvH//
GO_0000715_6	argK//
GO_0000716_7	ldtE//
GO_0000724_8	carA//
GO_0000725_7	hupA//ompF//yciH//deoR//carA//sanA//
GO_0000726_7	ybeQ//
GO_0000731_7	sfmH//ftsN//clsC//hisA//pdeD//manA//rhlB//
GO_0000737_7	ompL//
GO_0000738_7	mhpB//rhaD//eutR//
GO_0000746_4	agp//
GO_0000820_7	evgS//
GO_0000902_5	fhlA//
GO_0000910_4	dcm//trpL//hisQ//araF//yehC//plsB//hybG//lsrC//yjiY//elbB//gshB//cysI//rho//gltS//gudD//yqiJ//yhdX//smpB//
GO_0000917_6	yagE//ribB//speF//yphD//nanR//
GO_0000918_6	yeaD//mutH//minE//phnL//
GO_0000920_3	cusS//cbl//phnG//pgrR//queC//
GO_0000921_6	serB//
GO_0000966_8	dkgB//ssuB//rnd//ftnB//
GO_0000967_10	adeD//gloC//hybF//
GO_0001101_4	yjgX//ispU//dacC//gcd//adeD//ftsN//treF//ydiP//hisI//helD//dsbA//torC//murR//ybhJ//idnD//symE//icd//murE//cynX//ydfD//ybiO//wcaB//mhpA//ftsP//fruA//prmB//
GO_0001121_7	ybaO//gabT//
GO_0001123_8	yaiW//
GO_0001124_8	murE//
GO_0001407_7	sspA//chpB//iscU//sgcC//
GO_0001505_4	fetA//bisC//sfsA//opgD//nikC//fau//paaD//yiiM//paaJ//mdtC//sgrR//gmk//recE//lldR//dam//murJ//
GO_0001510_5	betI//mlaE//fliG//murE//yedA//yddA//pdeD//cbrC//ibsE//hsrA//arnT//ldcC//ygbI//yiaJ//kdgR//yjgX//lptF//plsC//ascB//pspA//cpsB//yhcF//ispG//yehP//rpoH//elaB//rihB//cfa//yjbG//srmB//envY//casB//cvrA//trkH//nudG//kbaY//mdtO//ybiA//pdxK//sdhE//
GO_0001514_8	apt//
GO_0001522_7	rbfA//pgsA//recD//focB//holE//yddA//recD//ptsP//acrZ//asd//ftsK//dgcF//ygfI//
GO_0001539_4	cbpM//rplS//prc//yneE//insI3//pgsA//nrdE//rsmD//gldA//eutD//ydiZ//argH//ogt//rbsK//aidB//yqhC//ldrD//mdtF//rplB//hxpA//thiD//yehU//flgB//hofP//hprR//ibpA//yhhT//smrA//potF//bioP//pphA//
GO_0001558_5	sspA//acs//rayT//yjhB//yebK//tnaC//pdxB//hipA//
GO_0001561_6	lldR//
GO_0001666_4	uspB//
GO_0001676_6	yejF//efeO//rplN//
GO_0001680_11	pyrL//
GO_0001682_11	cdgI//
GO_0001731_7	ubiD//
GO_0001762_6	holB//
GO_0001887_4	creC//yfbR//rluA//
GO_0001896_5	nupC//guaB//proV//fkpB//
GO_0001907_5	uup//ugd//nikE//cynT//
GO_0001932_8	ycgR//nanA//
GO_0001934_9	yccX//
GO_0002047_6	manZ//ilvI//
GO_0002097_8	vsr//ppk//metE//umuD//galU//fimE//dnaQ//zupT//fkpB//bluR//setC//glpA//yehC//cyoA//arfA//fumC//fimG//hofQ//dgoR//
GO_0002098_9	tsgA//ibaG//gadW//yfdK//cusS//xylR//hxpA//eutK//rpsG//tehA//dppF//qseC//cydD//
GO_0002099_9	rlmA//appY//
GO_0002100_9	hybA//
GO_0002101_9	polA//nrdI//
GO_0002128_7	ppsR//nanC//yjjQ//tnaA//
GO_0002130_8	norV//
GO_0002131_9	rutE//
GO_0002132_9	rhaS//
GO_0002136_10	lysC//
GO_0002143_9	sfmA//secA//rpsH//rplA//elfG//intQ//
GO_0002181_7	msrP//mdtD//
GO_0002183_5	tyrS//
GO_0002184_8	mdtF//
GO_0002188_6	ycgR//
GO_0002190_6	nrdH//
GO_0002192_8	hicA//
GO_0002252_3	waaQ//yeaD//zinT//rffM//narV//nrdF//gatD//agaV//ybiI//dinQ//
GO_0002790_6	phnP//flhA//mnmE//hycB//trmD//arsR//atpE//
GO_0002937_9	ldrA//
GO_0002938_8	dapA//
GO_0002939_7	paaE//
GO_0002943_8	tyrA//
GO_0002949_8	secG//ycjU//hflX//yceO//
GO_0003333_7	fecB//yihO//ampG//acrA//tolR//dpiA//holD//fimG//torA//glnL//asnS//rpoE//waaJ//hisG//sseA//insI3//xisE//allS//ssuC//dacC//hypF//mrcA//gdhA//hisB//gltK//insI3//ssuA//otsA//yciK//tas//mdtF//murP//fdhD//speG//uspB//cedA//frlC//nuoN//ygiB//paaH//tatB//yaiW//mdlB//rlmN//mtr//yciE//ydhC//seqA//sufC//
GO_0005975_4	yfaL//clpP//mtlA//fadK//purB//hldE//surE//pdxJ//pinE//dsdX//yoeB//rpiA//trpE//iap//yfcU//katE//tdcG//bdm//aqpZ//ftsP//dcp//mcrB//dinD//thrA//gadA//elfG//yrfG//recD//yghO//acrD//smpB//yqiG//argC//sugE//torI//rlmJ//ynbB//kdpD//rsmI//ariR//tnaB//malZ//fliD//melB//ecpR//ldrB//galU//tcyL//motA//tolQ//fadB//trpGD//mnmC//tpx//sdaB//allD//yijE//ffh//aroH//uspF//decR//ulaD//ypdC//glnP//sbmC//cpxA//lrp//yhbQ//yfdO//htpX//yihR//garD//rlmL//avtA//cmtB//zapE//rluF//ahpC//ulaE//nirD//rutE//psd//fdoH//purA//bioH//cmoA//yedL//hprS//thiG//yfdC//ycjQ//acpP//rrrD//opgC//caiE//yjjQ//ybiW//ybhG//pabB//ytfP//leuO//pgrR//holA//flgB//ansB//yahD//panD//fpr//rnlA//citC//metG//alaE//rutA//pstC//orn//citX//mraY//fadB//argB//codB//lasT//yihV//eptC//betT//thrS//crl//moeB//ypdC//obgE//priB//yhaC//hypC//gntP//pyrF//betA//fepG//elaD//xapR//yidR//uspB//csgB//rlmB//envZ//proQ//accA//napC//lptC//tyrA//gatC//potD//bioD2//manX//bhsA//ndh//dmsC//yhbY//macA//osmF//hofC//malS//ybdH//tamB//exoX//yidH//sbmC//potD//cheW//add//hyfA//fliM//ycfH//yjhB//rseB//menI//argR//narK//ybjC//ugd//atpE//yhdH//yghB//yodD//viaA//metN//lsrC//tar//asr//mtfA//garL//tusE//priA//avtA//rnhB//rffM//treB//yghG//torC//leuS//ybaM//ispA//mioC//ppsR//dctA//adk//phnM//rpmE//yfiR//yfbU//rapA//pyrB//paaE//chbR//ybhP//gyrA//pgaD//tsf//fimZ//tusA//plsB//fliT//manX//mngA//envZ//fadM//basR//cyoE//hyaD//ygaH//uspF//symE//nemA//dacA//alaS//kdpB//crr//ssuA//ygfA//dnaJ//ytfQ//rclA//potH//dtd//fhuD//ulaF//hemA//fimE//yqiG//ttcA//srlE//mntH//insI4//hda//rbsR//queG//
GO_0005976_5	insH-6//glpT//rfaG//bioH//fliA//aroC//frmA//ycjY//fabA//mtnN//rutG//gshA//narK//astC//sxy//gatC//gabT//rhsD//ompL//dmsC//betB//potH//rtcR//ugpB//ytfT//eamB//insI3//asmA//gabD//dacB//bamA//fhuF//trmI//relA//yddA//rfaB//kdpF//ymgC//yphF//fdhE//ynjA//ompW//phnP//ychH//rplA//gabD//ugpB//gluQ//plsC//ykfI//xseB//yccX//opgB//yfaU//ynjD//glgC//mioC//mltC//chaC//
GO_0005977_6	ascG//yhaM//yddL//murP//ydjM//yciG//plsB//recO//
GO_0005978_7	yjiR//lolB//minC//evgA//
GO_0005979_8	waaA//
GO_0005980_7	ccmG//coaE//araG//
GO_0005981_7	queA//
GO_0005984_5	yoaA//arsR//ybiX//ttdB//yqeG//opgB//insH-5//ycbB//phoQ//ansB//yagU//
GO_0005985_6	murA//
GO_0005986_7	cheR//
GO_0005988_6	adiA//artQ//
GO_0005990_7	ybdH//moaE//
GO_0005991_6	rcnR//proA//cynS//yfgO//mpaA//
GO_0005992_7	ydcR//pnuC//
GO_0005993_7	amiD//cbrC//lptE//
GO_0005994_6	frvR//
GO_0005995_7	yfaL//
GO_0005996_4	mog//mqsR//queG//trpL//relB//purF//fdoH//rsmG//bfr//amiD//gcl//rzpD//mepA//yibF//mnmE//cpxR//yegD//frc//zapD//yehP//phnM//mdtK//ybcF//sthA//lpxD//glpG//dnaK//lplA//ybhD//ybhI//pcnB//intS//ydcT//gudP//sbcD//ptsP//yjbE//serA//fimH//lacZ//waaQ//csgG//azoR//aer//murA//cof//csiD//yghU//insF-1//ygjK//cadC//yfeX//creC//ybjG//valS//yicJ//ybcQ//citX//thiH//ynbD//entC//malZ//glvB//mioC//dcuR//modC//yfdK//lpoA//mpaA//ibsD//ymdB//zipA//ftsL//leuO//hyaC//gloA//sucB//ddpA//sapB//oxyR//puuB//prfB//
GO_0005997_6	dcm//
GO_0005998_7	pbpC//
GO_0006000_6	gpmA//gcvH//frmA//
GO_0006001_7	purU//trxC//
GO_0006002_5	cutA//hisG//lit//
GO_0006004_6	eptA//puuB//fiu//alkB//pgk//murB//
GO_0006006_6	hda//ffh//ybaE//speB//yedA//pepT//yebK//nlpI//fimB//purA//ydaV//fecA//pepQ//yfaL//pcnB//cnu//dmsB//paaH//cueO//hisP//eutK//selD//srlB//
GO_0006007_7	nsrR//mgtL//yifB//
GO_0006011_5	xapA//
GO_0006012_6	sohB//entS//ariR//yahD//rfaH//yhjV//iscA//ygiV//rpiA//
GO_0006013_6	ispF//yhfS//
GO_0006014_6	pheP//yidH//map//
GO_0006015_7	adhE//puuD//
GO_0006020_5	hyfR//
GO_0006022_5	cdsA//dpiA//bfr//fimI//uidR//gsiD//allR//yehA//rrrD//rihC//ogt//fixC//ackA//glnH//accA//mtlR//hdeB//yccA//iaaA//ydjJ//ompF//sufC//mepH//dgcT//rnhA//rspB//dacD//hycB//argE//yhhY//hrsA//appC//lexA//yccA//ubiG//glvC//waaU//fur//argO//yidD//tauA//araH//rutB//yhgF//galM//yhbS//guaC//pgpA//yagG//rpsA//folA//hprS//pspG//thiI//tamA//wcaJ//fau//yhbX//rutF//mtr//yegD//lsrG//yfeO//
GO_0006023_6	mdtJ//ccmF//yiaU//exbD//ilvA//phoP//dnaA//nlpD//rbsD//rutB//nsrR//hycA//insA-2//lpxB//zraR//proW//rspB//zur//ypdB//mltB//yihS//nikC//mhpR//ykgM//mtr//yghB//hisM//rsmC//queE//bamA//rspB//cdd//mdtD//yjiA//zinT//pphA//azoR//mcbR//yoaB//
GO_0006024_7	fbaA//fimH//purA//clsC//tamA//alsB//csgG//ppiC//mzrA//mutY//lsrC//elfD//xisE//garD//hisM//mltF//gcd//thiI//scpB//frmA//amiB//bioD1//prpD//zraR//frwB//argB//hypC//nrdH//ybjD//lasT//lgoD//malY//ynjD//shoB//ydeT//ttdA//bhsA//cas1//fliG//
GO_0006026_6	rcsD//dtpC//potB//mlaB//csgD//hxpA//sodC//trpR//prpD//lipA//
GO_0006027_7	prkB//amiD//ynaE//yoeB//crp//kch//tolB//dgcZ//nuoN//gshB//
GO_0006040_5	hipB//rdgC//hdeA//flgE//kgtP//zwf//rcnB//dhaM//ubiD//lpp//yhbS//insK//hisP//uhpC//yehC//rnc//npr//
GO_0006044_7	hypD//ycjR//ybhI//uvrB//cobB//
GO_0006046_8	fdrA//mdtK//epd//gltI//
GO_0006047_5	ydjJ//ycbB//rffH//sdaA//metQ//ebgA//yadN//
GO_0006048_6	ccmF//preT//oppA//elbB//sdaC//lptA//
GO_0006050_6	ais//
GO_0006051_7	pstC//
GO_0006053_8	mreB//
GO_0006054_6	dosP//agaD//fimB//thiC//atoC//gsiB//dinJ//
GO_0006056_6	dhaL//
GO_0006057_7	amiC//
GO_0006059_6	glgB//chaC//rlmH//rimL//
GO_0006060_7	lit//
GO_0006062_8	gloA//
GO_0006063_5	tnaA//fadI//paaA//manA//chpB//yhbO//katG//rhmD//sfmH//
GO_0006064_6	serC//ptsH//cdh//entS//ydfD//yiaJ//
GO_0006066_4	maoP//glmU//relE//pdeR//dld//gnd//dgoT//hyaD//slyA//galR//hupB//yhaJ//ilvD//tsaE//ydhC//yijO//arnF//crr//hslO//cspD//rhaT//rapZ//nikE//potA//alaE//prmA//leuC//ybjD//yebC//tatB//yhjV//rsmJ//
GO_0006067_6	thrA//yojI//yeeO//
GO_0006071_6	nrdF//dpiA//rplF//leuA//surA//argF//yheT//
GO_0006072_6	ugpE//yeaV//hyfF//holC//rpsS//
GO_0006073_6	ymgF//rsmC//rluF//ampD//nirC//rodZ//ftsN//rlpA//tdk//rbsA//edd//mdaB//rssA//rpsN//fetB//yibA//yfgJ//frmR//thiD//amiB//
GO_0006081_4	yedF//glnD//araD//eamA//deoA//setB//etk//ycfH//yjjV//mmuM//mltA//ndh//tdcC//kdsA//mgtA//purR//pgpC//ubiG//chbB//ygeR//ybeY//rluB//sfmA//ycjW//deoR//rhaM//metC//asnS//tesB//artP//focB//citE//minE//lpxP//yfbV//yiaF//rtcR//gdhA//gcvP//wzc//rhaD//rnd//yhdX//dacC//sspA//alsC//garP//aaeR//gcd//murQ//rsmG//kefB//metG//yghO//cadA//yfjV//idnT//yeaV//ampE//nrfF//uxuA//crl//ldtA//trpB//rseC//ubiF//gpp//
GO_0006082_4	manA//rutR//ulaR//queE//srlA//betI//purL//blr//argA//mhpT//livK//elfD//yfdG//cspG//dacA//tolA//phnJ//deoA//gadC//arnB//ycjQ//acrE//asnC//proB//yjjB//gpmA//ubiE//btuR//pgaD//pdxK//opgB//pgaB//casB//atoB//ygbN//zapC//tmcA//ampE//dppC//adiA//ulaF//yceK//yebK//rutC//yagF//hupA//yaiW//xylR//prpC//menC//cadB//mppA//fimA//leuB//rpsR//mdaB//recJ//yfdR//glpX//cdd//argE//rbsR//eco//ribC//mgsA//glgP//astB//yihW//yebC//thiL//gyrB//panC//ydiF//atpA//yiiE//asnC//wrbA//metK//surE//ybbN//endA//allR//hprS//folD//corA//rdgC//feaB//ybjC//mazG//tsaC//envR//fklB//hiuH//yojI//prfB//adiC//cspB//garR//gnsB//rng//dinJ//rpsL//waaL//proA//essD//kefG//paaA//yceK//tynA//aceB//nepI//yebK//murB//yidC//mcbA//rpsM//yfcG//slyA//yhaO//livH//tsaB//cysN//queC//yfaX//galU//motA//rtcB//araD//rph//znuA//cecR//rph//yegV//dsbG//cedA//yhjX//aslB//argS//baeS//pstA//blr//sdaB//dkgB//ydjE//fixA//uspE//glnH//rihA//sufE//cynS//fryB//yjfF//cueO//argR//tig//yggT//nagC//elfC//fdrA//queF//lsrR//sfmD//glxK//ymjB//ydfH//gor//dfp//fieF//cysE//yiaT//uvrB//malS//cynS//yhdW//yedA//glcC//tcyL//ulaD//ydbK//pck//yghW//yfeX//mhpD//treR//ydjJ//nupG//yqgF//nupG//fucO//orn//rffM//rfaG//fliD//ydhC//ytfR//degQ//mltF//aas//nanK//rpsJ//rcnR//kdpF//narZ//yobA//phoU//csgG//ydiK//dkgB//rpiB//bssS//msrQ//ppx//def//panB//emrB//sdhB//yciH//nadE//rbsR//xdhB//rplR//dadA//phnM//uxaA//cdd//yfdK//ilvB//glpT//cydA//nrdH//aer//iscA//yieH//hexR//gstA//rplN//yagE//essD//yajR//rnd//yhaV//mraY//acpH//fimA//guaD//tatA//yidH//accD//alaA//ygfZ//mlaC//paaH//rlmJ//nuoI//fecA//appB//ruvA//lapA//zapB//higA//yohC//yraN//dnaQ//dicC//dmsA//recR//ldtD//trpE//dinD//rcnA//gmd//ftnA//yjbB//yggN//yihX//cecR//srlD//panZ//ybdO//iscS//malY//cyoC//scpC//yfcQ//yjgX//dtpB//ygjK//yhaJ//yceK//dctR//dld//waaU//kdsC//rlmI//insE-1//flgM//degQ//pntB//ispG//holB//atpD//tktA//sdhD//cvpA//yhcN//leuA//ttdT//cmoA//lysU//pyrD//xylF//gspI//dcuR//cadA//hisG//tas//cvpA//glpD//bfr//yajR//rffC//rpmE//aroP//argS//pal//trpB//ydjH//ptsH//ldtA//feaR//ompC//murD//avtA//rhsD//melA//manZ//ygeR//gspE//gadX//tus//citE//rppH//fliG//tdcF//ibaG//mltA//kdsA//ybhD//cysN//ygjR//ilvA//phr//hslR//atpD//ompA//uvrY//galF//rluF//gadB//ycgV//ltaE//hyfA//yciA//cmoB//flgA//aes//nikR//ycdX//mntR//hisM//dgcJ//pyrL//pmbA//ldtD//yqiI//lexA//dusC//rlpA//psuT//nfuA//kdsC//rfbX//ybjN//tehA//ccmA//alsK//cyaY//yhcN//paaK//insF-1//bisC//yddG//tbpA//elaA//sapC//rluA//dgcJ//yefM//ispF//seqA//sufB//sbcD//rtcR//arsR//opgH//cysG//glpG//ispG//rpmJ//flhC//ybiS//oppA//thiC//norR//narJ//mdtN//gatB//apaH//emrK//ybdG//glpX//msrB//ligB//bglB//kgtP//menH//nusG//recO//yjjI//acpH//upp//yqiI//ogrK//adeD//ribE//thiM//rimL//roxA//frlB//hcaB//yhjX//entH//rodZ//srkA//murI//rhlB//rpsE//ais//yegD//fepB//lpxP//zntA//glnK//rmuC//ghrB//cysG//rpsO//lpd//glyS//dsbA//
GO_0006083_6	emrE//frsA//secY//xisR//nrdE//ccmA//
GO_0006084_6	accB//infC//
GO_0006085_7	pdeF//ccmF//
GO_0006086_8	hicA//
GO_0006089_5	rhaA//ycgR//cadB//araE//yjiX//wrbA//mtlD//relB//modC//valS//pgl//hyi//opgG//ynhF//yggW//btuB//ydbD//yjeH//yoaA//yidQ//rclR//yjjQ//rimP//hypA//sulA//pabA//serA//galF//waaZ//
GO_0006090_8	chbB//ligB//waaQ//serS//nanK//ybhD//paaA//amtB//rplW//dcuB//dpiA//yjiM//fdoI//solA//amyA//phr//rbn//ftp//degQ//secG//mtlR//lplA//hypF//nagD//yidL//trmH//rfaG//hprS//xylG//cyoD//araB//
GO_0006091_4	aroP//chbR//rihB//purR//dhaK//glxR//flhE//gppA//speF//qorA//dsdA//pepB//phnL//phnK//yjtD//rutA//fruK//rplM//rplF//ynfF//ompA//ydfH//ydiV//sgcA//secB//der//yfgO//valS//yagU//ackA//ssuA//yahB//gnd//dgoA//amiB//cbeA//dgcN//yhfS//lapB//phoQ//ygjK//deoC//citG//symE//yebQ//nanE//cvpA//ymgA//yhhZ//rpsJ//garP//purB//entS//hisC//rpe//zapC//ccmA//yahK//yehD//yagG//uhpA//gsiB//ftsA//ybcM//paaD//nuoM//livF//qseB//aroL//pppA//ung//yacG//fadD//corA//ydfD//frwB//qseB//waaU//ygjR//ldtD//ppiD//arcC//ppsA//ybaK//yaaA//hyfC//ampG//yjiM//fimZ//exbB//trkG//rpsP//yphC//gshB//gcl//mdtE//csdA//tyrR//sgcE//frlB//menD//hybB//alkA//proQ//sgbE//cpxA//yfiC//rnhB//ftsE//pstC//sfsA//ubiG//
GO_0006094_7	uhpC//atoS//ubiI//gcvP//pmbA//sufD//flhA//gntP//insI-2//rplJ//
GO_0006096_6	hslJ//higB//mngA//uup//glsA1//guaB//atpG//yjjI//ribA//idnT//flhE//pdxB//pheA//tsaC//agaI//argE//glcE//trg//
GO_0006097_5	yjeI//astB//caiD//rpsI//yihU//
GO_0006098_6	miaA//uspC//mlaF//intQ//lolE//
GO_0006099_4	hxpA//aaeA//fabB//betT//cueO//trmL//hldE//agaW//alsB//guaD//parE//uhpT//baeR//epmA//phnI//gluQ//menH//
GO_0006101_6	umuC//mdlA//ldhA//rpmC//rplY//essD//nanT//marR//tktA//xapB//trmD//bdcA//murR//glpG//ygeA//mepS//nrfC//
GO_0006103_5	bioF//yfjR//iscS//
GO_0006104_6	yigB//yedP//yhjR//
GO_0006105_5	afuB//gltD//nfo//mdlB//gpmA//secF//waaO//cueR//
GO_0006106_8	pdxA//
GO_0006107_8	fadR//
GO_0006108_8	ortT//fabR//cyoB//ispA//hofC//
GO_0006109_6	ytfT//eamA//argB//yfdK//hcaF//ribA//paaF//fimH//endA//
GO_0006112_5	helD//proW//ydbK//ybcL//rbsB//ybjD//relB//narI//
GO_0006113_5	ybhG//mscK//trpB//ulaR//recR//yrbG//cyaA//sbcB//scpB//araC//galK//proX//nirB//
GO_0006115_6	uspF//
GO_0006117_5	bdm//
GO_0006124_6	rffG//
