#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	symE//yaiV//mlaB//potI//
GO_0005976_5	zntA//ygjR//yajQ//moaE//ada//yihI//ydcO//sdaB//tyrA//ybiA//eco//mdtQ//yodD//msrP//mcbR//nrdA//ompN//lysA//nlpE//deoR//glsA2//cirA//yhhY//yphB//yfcA//mdtI//tag//lpxM//hemD//rlmN//gloC//uxuB//hokB//ppc//flgC//fimF//recN//brnQ//mdtL//rutC//rutG//fadJ//ybeF//tas//dapA//ttdB//hycA//mltG//artI//potH//hyaA//ispF//rbfA//rihC//ycgV//pnuC//bfr//rbsA//upp//
GO_0005977_6	ygfI//perR//yagI//seqA//dtpB//tnaA//dfp//ompT//
GO_0005978_7	rpsD//yqaB//opgD//hisQ//
GO_0005979_8	aaeA//
GO_0005980_7	nudF//eptB//znuC//
GO_0005981_7	lpd//
GO_0005984_5	rcsB//yghB//yihL//viaA//appC//ulaR//panF//yebS//yehY//malY//ybgQ//
GO_0005985_6	cadA//
GO_0005986_7	ompF//
GO_0005988_6	mraY//ypdC//
GO_0005990_7	nmpC//fhuB//
GO_0005991_6	aroH//rpe//rzpD//oxyR//tabA//
GO_0005992_7	sppA//nhaA//
GO_0005993_7	abgA//cysM//sxy//
GO_0005994_6	pphA//
GO_0005995_7	yhaO//
GO_0005996_4	hisG//ribD//flgM//zitB//hldE//paaA//allB//hflD//smrA//hipA//yphC//ydiP//prfB//sgbU//rihC//symE//hycA//ykfM//nuoB//gspF//rcsA//ligA//pdxB//gpmM//secB//proS//recF//puuE//mdfA//setA//waaF//nanK//yhaO//waaL//yhcF//rclR//gspF//xanP//borD//rsmH//mlaE//livF//fimH//sgcA//psuT//creC//uxuR//yihR//pphB//yjtD//yfhH//yhjD//ynbB//yahF//yfeO//relA//aroP//asnS//sfmA//trpL//glnL//yidL//sdiA//chiP//rhoL//truC//mhpR//mltA//bepA//chbC//sutR//thiD//rpoS//nadC//entD//rpsS//uxaA//rhtB//rclA//ydeT//tomB//garR//
GO_0005997_6	valS//
GO_0005998_7	yahN//
GO_0006000_6	frdB//elfG//zntR//
GO_0006001_7	fadL//relA//
GO_0006002_5	cusR//ycbX//pppA//
GO_0006004_6	priC//allS//dgcE//rcsA//nrdH//sapF//
GO_0006006_6	ptsH//tusC//recD//tamA//mlaD//mdoD//alsB//ycfL//yajD//amyA//ldrD//bipA//rnd//kdgT//proA//rfbX//flgI//leuC//pfkA//pfkA//iscA//frwB//glyA//
GO_0006007_7	lhr//mscL//yfdG//
GO_0006011_5	rpmG//
GO_0006012_6	yceO//fabZ//sspB//seqA//rspB//nupG//rpmC//mdlB//malS//
GO_0006013_6	ampH//ilvN//
GO_0006014_6	nrdH//ybiO//fepA//
GO_0006015_7	marR//htrE//
GO_0006020_5	arnF//
GO_0006022_5	fimD//edd//pepA//folC//rluD//bglB//prkB//tolA//fabB//smrA//ydhQ//narK//aes//stpA//glpX//azoR//cbpM//icd//rmuC//rpsT//dauA//panD//ffh//rnhA//zraS//yejB//yfiC//glcE//ansB//recO//cbl//rlmE//lgoT//yidK//glpX//ydcT//pdeR//pabA//kdsA//gppA//yggP//fimG//tatC//mrp//rffM//torY//ygfA//fsr//ycdX//selB//yihP//bssS//manA//hypE//proQ//cyoD//topAI//rclB//serC//tcyP//ptsG//yfaX//ydiV//
GO_0006023_6	yghO//rtcR//gmhB//lexA//ymgC//uspG//ybhS//cedA//yiaT//cynX//yhjG//pepA//hemN//cheA//ftsX//dmsC//ilvI//pgpB//cynT//ycdY//yidZ//yegD//yegV//rplR//talB//glcF//ydiR//kdgT//ynfF//yehU//kdpF//scpB//clcB//yphD//mdtG//ynjD//sohB//leuB//aspA//
GO_0006024_7	yjhG//apt//motA//dusB//gsiB//ugd//rpsE//prs//chbC//mscM//phnK//zapB//gltS//ftsQ//hxpA//ftsE//pstC//cpdB//glnH//fliD//secM//narU//clpB//iap//xylF//clsA//rnt//yfaL//lsrB//glpA//pcm//cynT//amiB//artM//setB//cydB//trmB//mlaE//ybbY//
GO_0006026_6	def//argK//lepA//thiH//pyrE//ydbK//nlpI//yjeI//xylF//otsA//
GO_0006027_7	ibaG//yigL//npr//dacB//cusB//yghO//mukB//prpC//hisB//aroL//
GO_0006040_5	emrE//ycfJ//avtA//rhlB//fhlA//mngA//sapB//endA//leuC//ybaL//secD//sapA//smrA//glsA2//lpxC//yrbG//grcA//
GO_0006044_7	ykgM//hchA//flhD//yraR//cnu//
GO_0006046_8	sufB//dnaX//proA//rpsJ//
GO_0006047_5	ibsD//cysZ//phnC//gadE//ynfE//gcd//yahK//
GO_0006048_6	ivbL//potC//rplT//mngA//paaD//rodZ//
GO_0006050_6	aroA//
GO_0006051_7	napC//
GO_0006053_8	csgD//
GO_0006054_6	alaC//frc//cmk//panD//dbpA//paaF//yiiE//
GO_0006056_6	cmtA//
GO_0006057_7	ybcC//
GO_0006059_6	tauD//allC//tqsA//cyoD//
GO_0006060_7	degS//
GO_0006062_8	ahr//
GO_0006063_5	lpxT//dps//nemA//atoB//zapB//ushA//thiC//oppA//rplE//
GO_0006064_6	rluB//gpr//pnp//ybjX//thiG//secA//
GO_0006066_4	gntR//ebgR//gutQ//pstB//yadC//trpR//hisP//lptC//yiaO//yfgO//cadA//dtpD//rnlB//gutM//dppD//clsB//ftsB//ynfH//phoB//cysN//cueO//dgoA//agaV//cpxA//livH//ampG//tktB//sdaC//rhoL//lsrC//agaS//yahK//
GO_0006067_6	ggt//elaB//flgG//
GO_0006071_6	ydiK//csgB//hisF//acrA//flgA//glpA//fliM//
GO_0006072_6	hsdM//cspI//sutR//fdx//fdnH//
GO_0006073_6	cutA//dpiB//ldtC//yhaC//yedF//sucA//wzb//nanT//rimP//pdeD//nikA//fimB//rfaD//yghG//rnlA//ftsK//frdC//rzoD//rpsK//efp//
GO_0006081_4	psuG//rpsS//crp//glnH//plsB//narK//cobC//yggD//ydeP//elaB//dacA//ffh//aceA//pitB//edd//lspA//glpB//yjfP//yajQ//yohC//pal//uhpA//ftsI//prpC//lacZ//ubiH//deoB//kup//agaD//ppc//rsmD//gatA//malF//yghB//ydeP//bglB//mglA//atoB//yebZ//borD//galM//ybiA//glcA//mntR//adk//ade//wcaJ//narX//rhaR//malF//murQ//ybcF//cdd//guaD//coaE//dgcZ//msrC//aroK//dnaE//pgaD//recD//proP//melA//ulaG//ydjM//ybdO//ilvA//
GO_0006082_4	tas//lysA//iraP//yjhP//yhjX//iscR//hcaR//accA//opgH//rsgA//glsA2//hypA//exuR//ubiX//hofM//ycgV//tauA//gudP//ynhG//hisD//yhjC//yhhT//tcdA//phoB//menC//fryA//gadW//ndk//groL//insI1//fhlA//xisE//fixB//sbcB//adhP//cof//greA//thiI//kefG//sohB//yqiH//yhjX//nadE//yojI//frc//fetB//osmY//dsdX//yjbG//ugpA//yibT//ydhK//truD//ihfA//gatA//djlC//gloC//pdxJ//wza//ibsE//cysW//yjaA//ypdC//paaX//moaB//xylA//ybdM//glpX//fbaA//argF//accD//cyoC//arnB//astB//fetA//glnQ//osmY//zur//ileS//rsmJ//mdtF//ydiF//rplN//pheM//yjcS//edd//phnO//fdoG//amiA//ydiF//gatD//ppiC//ynfH//fadA//ygiN//ygiS//lysA//lapB//pgpC//alsC//nth//insI1//nfuA//livH//asd//curA//emrY//pgi//ulaR//prfB//sufB//allS//seqA//puuC//frwD//dgt//ynfE//otsB//arnF//uxaC//btuF//glnK//allR//malS//dhaK//ymdB//rffM//ratA//mhpC//citG//napC//bdm//yddA//sdhB//bisC//lamB//eutK//gshA//rplJ//rffM//rcdA//dam//mfd//rclC//ahr//agaI//ygeA//srlB//norR//napB//zraR//intQ//cyaA//hscC//yeiE//uvrY//ybjN//folP//artJ//aceK//rpoA//metL//rsfS//lptA//ldrB//yahB//nrdD//zitB//glxK//relA//secA//cdd//livG//yqeA//osmE//ansB//agaV//add//narH//lpp//yhiM//xisE//thrL//yehU//proB//ybaT//apt//spy//hisD//pyrD//menF//maeA//poxB//cdd//rffC//leuE//ortT//glpG//kdpB//cbtA//ykgO//nanT//tatB//dgcZ//ghoT//trpS//deoA//thiD//yggW//rpsM//rlmL//dps//folX//yjiQ//ychF//glmU//nikR//yahI//afuC//ykfM//rpsR//cfa//ybjI//yceD//gadX//prpC//sapB//pphA//lgoR//sdhE//yeiG//trxC//fis//ptsI//marA//glgA//galU//pyrG//pspA//lptB//qseB//fecA//ldrA//mhpR//rzpR//allC//hsdM//rpsN//hisC//glpG//yieK//tyrB//insH-5//pyrB//ygeW//rffC//ycbX//rpoA//entE//fucA//yefM//ampG//araH//argG//ygjR//gsiD//dgkA//trmJ//bioD//glcE//iap//dfp//yihQ//mltD//murC//yedL//abgB//frlC//trmB//agaS//waaB//yggW//yghB//murD//ibaG//rpsG//ppiC//polB//ydcZ//deoD//maoP//ftnA//rstB//moaB//rraA//recO//cspG//waaB//recC//arnB//rhtC//lpxC//fixC//sulA//aaeR//tdcA//mioC//yihQ//cadB//znuC//ung//lacI//frdB//intS//mdtP//glcC//tabA//ligB//tauA//recQ//gshB//qseB//glnE//pbpC//hns//rpmB//umpG//cysQ//hcp//cueR//csdE//xthA//yfiE//glrR//higB//abpA//gadW//nagK//fbaA//yjiQ//hicA//rhtA//rlmC//lsrK//yehD//dacA//trpR//yaiP//mqsR//comR//serB//btuD//cbrA//pdhR//phoP//cbrA//fepB//rhmR//recG//yaaJ//ybcQ//ycfJ//purB//polA//gltD//yfdG//ydeE//ebgA//araE//rseB//nrfC//yghG//fis//fadM//chaA//trmL//rplE//yphC//entF//nagC//rlmI//ruvA//asnB//ycjR//dtpB//hokE//xanQ//tqsA//waaF//fic//yadV//moaE//ulaG//hcaB//tcyN//yjjB//rpoE//proB//prpD//ydiZ//htrE//aldB//metR//ycbX//accC//ymgC//modB//srlE//ygfX//yjjX//cheR//chpS//gpr//rutE//hofN//ugpE//araB//dinD//yacG//yfgI//tyrR//phnM//pdxA//lexA//narV//potI//yodD//uvrA//dgcF//truC//fau//waaY//trkH//tsaE//rhaB//dppA//cynT//pth//lipB//truA//nhaB//frlC//rplW//trpGD//eamA//lldD//caiE//opgH//dnaJ//fliK//lpxH//frlA//fimB//tdcG//ynfK//yhaO//purN//mhpD//galE//mraZ//
GO_0006083_6	aldA//tusB//rbfA//ssuB//purC//tolA//
GO_0006084_6	glpG//rimK//
GO_0006085_7	mipA//evgS//
GO_0006086_8	fliL//
GO_0006089_5	add//yadG//folD//arnE//mtr//ndk//mngR//yigB//hprR//rimI//topAI//cspE//cysC//yeeO//dnaT//panD//ccmE//yejB//rpmC//eutB//hrsA//nanC//pheM//narX//folX//ybdH//ansA//yahF//sufS//
GO_0006090_8	ldtC//xerC//uxuB//tusC//hxpA//fhuF//bglH//rplK//dtpD//yghW//metR//moeB//lptG//yebK//fabA//folC//rlmG//fhuC//yhjX//bisC//cas1//ridA//trpE//ybaE//rapZ//rpoD//ydeO//pykF//osmY//pyrB//prfB//
GO_0006091_4	cdsA//insI-1//mdlB//putP//umuD//rmuC//yhjD//ybcF//murR//era//yhfK//pyrL//yigL//ubiH//ybjL//ebgR//entA//aroD//mhpC//lptB//hcaE//katE//yehD//yaiP//cmoB//cynX//yejF//fimZ//rclR//pyrB//priB//uhpT//lsrR//yqaB//mcbR//yhdW//pstC//xylR//yejA//rayT//fimA//tsx//topB//proX//gntK//menD//dacC//rusA//ypdA//nhaA//flhE//csgB//oppA//ahr//ribD//menE//yggF//nhaA//ydfD//yahI//yhgH//fdrA//rutB//waaQ//emrY//nagC//rpsO//ydeM//znuC//parE//pyrE//tauD//folP//rnb//pgm//truC//paaD//fdnG//ariR//glcE//ompA//pstC//ligB//narI//edd//ghoT//fcl//bioA//entF//nusG//ydfK//gcvR//ompL//dam//atpB//fdrA//puuC//ygiN//gabT//alaE//hybA//phr//asnB//ydjJ//ybaO//fabD//sapB//sgbU//murA//umuC//yebG//yadC//
GO_0006094_7	nrdR//ybbY//rcsC//rutC//nrdG//yfiE//gspJ//nanC//hofM//ydeO//
GO_0006096_6	hcaR//panE//sgbE//uidA//yggN//lsrB//rfbD//lhr//ydbD//codA//coaE//rimP//ispU//allS//mmuP//rhaA//nadD//cysW//
GO_0006097_5	dtpA//ubiB//satP//dnaX//eutR//
GO_0006098_6	amiB//prpR//moaA//hdeB//nlpD//
GO_0006099_4	acnA//recE//yjjI//yggT//serB//dgoR//manX//yidH//ddlA//aer//thiP//dinG//ghoS//rapZ//bdcR//ygeR//yieH//
GO_0006101_6	ssuB//lepB//proS//bcp//pepB//nadD//mreB//yejE//nanS//yraH//phnG//seqA//astC//hycB//srlB//mscL//lpxT//
GO_0006103_5	dapB//menB//ybaQ//
GO_0006104_6	hipA//yegT//ilvL//
GO_0006105_5	epd//ycfH//rpmE//adhP//lipA//dkgA//pyrC//ybcQ//
GO_0006106_8	atpE//
GO_0006107_8	cydC//
GO_0006108_8	ubiD//fliD//caiT//insA-1//hscA//
GO_0006109_6	yggX//rclA//alsE//ascG//tamB//yehU//bdcR//yiaJ//tolC//
GO_0006112_5	comR//glnE//frdC//ligB//mrr//mhpA//wcaC//atpF//
GO_0006113_5	fepD//rfaG//adiA//yggX//ydfH//trpS//yhcN//ushA//zipA//sanA//pck//rpmG//oppC//
GO_0006115_6	mdtD//
GO_0006117_5	artQ//
GO_0006124_6	guaD//
