#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	ldrA//dgoK//thiD//yjjX//
GO_0005975_4	paaC//gshB//tsaB//rpmJ//nuoB//hdeA//araH//galS//entB//ybiT//rutF//torY//aceA//uxaC//yhcN//ymdB//ycbV//recF//rapZ//modA//surE//fliA//nhaB//rimK//cysW//bioP//yhjV//rbsB//norV//rpsA//lysS//rihA//glnL//yiaN//hslU//cfa//nuoF//rodZ//chpB//fis//cpxR//kdsA//cyaA//bamB//skp//rfbX//ibsD//ftsP//menD//mepA//secA//cspE//yibT//dsbD//proW//slmA//tauB//allC//folX//gadC//yebQ//pflA//mtlR//rluE//yjbH//argB//elfD//fliT//mak//glnE//holC//yehB//yobA//ccmE//ygfX//sdaB//hypC//entB//uspG//ruvA//ccmA//fabG//appB//hycH//yhbS//acnB//araF//thiI//afuC//gadB//ycgB//oppA//sfmF//hslV//agp//ppiD//yeeL//ydeM//yieL//ydcT//pepA//ftsH//arnB//gsiB//uidC//yigL//ascB//vsr//acs//yjjW//srlB//yraJ//hyfC//yhaJ//dnaX//icd//sbcC//endA//priC//yihS//setB//fadR//atpB//sapF//yibA//shoB//gsiD//torA//pspA//yajQ//pabA//lsrK//zapC//baeS//fic//thrC//aidB//trkH//yceD//tsaD//yjhI//thiC//btuB//lasT//mtlD//prc//setA//bhsA//aroK//rcsD//tdcA//hflC//ftsA//pepB//yiaU//yafS//ppiA//tag//ydhQ//atpA//mlaD//yhjX//lacI//hsrA//dgcQ//thiH//arnA//hcaF//hflD//emrY//lamB//cmtB//rpsM//ybjG//mocA//ychH//glnA//recA//flhD//mrr//abgA//rnt//waaH//uhpB//ldrD//waaL//ldtA//arsB//maeA//ynfL//ubiG//yiiE//tdcD//sgcE//abpB//yhdW//yccA//srlB//dkgB//dsbG//eutN//lacI//purB//yieH//araH//pntA//tehB//appY//folP//yfeX//ychF//melA//era//rlmE//rplX//aaeA//dgcZ//xapB//rbsK//rpsB//hybE//frvR//ybcL//fhlA//yhdJ//mglA//ravA//yhbO//sgrT//kgtP//paaA//pphA//cpxR//nth//lhr//rsmA//ftsQ//cutA//sufS//dcuB//insI-2//ygfX//corA//hyaB//aldA//rsmB//yciV//ygiN//yggF//gdhA//csgF//fimF//eptB//adk//
GO_0005976_5	ftsX//fdhD//lpoA//tcyN//nagB//hns//appB//hslU//phoE//mltD//ygbL//scpB//wbbK//ampH//dicA//hpf//yidH//hisI//yghU//tdcC//kilR//ssuE//fepC//ypdF//xseA//cysH//kdgK//yfbU//pphB//ibsA//yfeW//cutA//ddlB//mutT//arnF//yfgJ//uidR//ubiG//elaD//ulaF//ldtB//zapB//flhC//yneE//galM//nudF//prpB//cydB//sgrT//pyrL//cca//yfdC//gapC//wcaC//phoB//rplI//hisS//nadD//iscU//
GO_0005977_6	dkgA//treC//nuoN//entF//mepS//fadA//bluF//yhcN//
GO_0005978_7	ttdT//lepA//argO//mreB//
GO_0005979_8	dgkA//
GO_0005980_7	dnaJ//ydjL//pncB//
GO_0005981_7	yiaJ//
GO_0005984_5	flgB//fucO//yieH//bamC//yehZ//ycaN//sfmD//ydaN//rplC//fecA//malF//
GO_0005985_6	rpe//
GO_0005986_7	dgt//
GO_0005988_6	yabI//yggW//
GO_0005990_7	ymgA//livJ//
GO_0005991_6	gadX//bepA//priC//ygiW//afuC//
GO_0005992_7	nhaA//hpt//
GO_0005993_7	elfD//melR//map//
GO_0005994_6	yehB//
GO_0005995_7	flgD//
GO_0005996_4	lysO//gstA//rarD//yidP//mltA//deoC//hisM//mgsA//rcsB//sucB//ydjL//mtfA//gstB//ileS//agaS//yjjB//hokB//casA//aaeA//tcyN//dbpA//yihS//lsrD//folE//rhaA//yjcO//nikB//nrdA//gcvH//mtn//mltF//cobB//yegV//cheA//rof//mutT//ispA//nagC//adhP//lysO//cyoC//bssS//tas//ybfA//dapA//nagD//mdtA//clcA//btuC//motA//abpA//acpH//ymgC//yjbF//leuC//xylH//yhbX//frdC//prmA//znuC//kch//yadK//aspC//rhoL//tsx//amtB//cpxP//nanT//rpmE//fadI//fetA//dtd//pdxY//arnB//mlaE//torC//cpoB//proA//eptB//ytfQ//rlmA//thiC//
GO_0005997_6	dgoK//
GO_0005998_7	maoP//
GO_0006000_6	recA//insA-1//leuC//
GO_0006001_7	sdaA//glpB//
GO_0006002_5	nadA//dtpA//ilvD//
GO_0006004_6	dacC//yfeR//psuG//ybiA//kdsA//frdA//
GO_0006006_6	torY//narV//ygaH//flgC//insI-2//rbsD//hofM//nrdG//glmS//eptA//bhsA//efp//rnc//cycA//yfgI//ydcZ//caiF//dpiB//yedA//rutA//rcsA//araG//ybiY//
GO_0006007_7	murE//feoB//menI//
GO_0006011_5	radA//
GO_0006012_6	mutT//ldtA//phnL//cysN//uraA//yihT//gpr//yihI//rcnR//
GO_0006013_6	fetB//ydiF//
GO_0006014_6	lon//torZ//glnP//
GO_0006015_7	paaX//brnQ//
GO_0006020_5	ispB//
GO_0006022_5	lpxT//glnE//selD//pabB//elyC//ghxQ//yajL//opgC//sodC//bssS//lsrG//yebQ//putA//xanQ//rpnB//mazF//selB//ettA//ung//prfB//rluF//ggt//nagZ//accA//gltL//feoC//yfdS//yciF//hicA//glyA//yjiX//blc//dacC//phoU//xylH//malQ//essD//yhjB//fruB//sgbE//ilvA//fliK//ybeQ//manY//cynX//fimF//ygfZ//glk//iscR//cof//rbsK//groS//emrY//higB//xapR//paaB//recN//lpxT//yiaN//rimK//oxyR//murQ//ruvA//
GO_0006023_6	yhdH//folX//recX//barA//nikB//hemH//yphC//glnA//galR//zwf//pal//lpxD//rpsD//rmuC//yebC//hisP//ydfK//hycA//rfaE//garP//narZ//tomB//rlmJ//crcB//slyA//tktB//ydcI//nrdR//modA//malS//nupG//dsbB//ybjG//ccmC//ynaE//ssuB//mreB//nadE//surA//
GO_0006024_7	mutS//glsA2//lgoD//ascB//ybbW//flhD//truC//ybcJ//mqsA//trmI//cysM//metI//evgS//wecA//uidA//iraM//tadA//nanA//dinG//tesB//mgtL//asd//ttdT//aspS//yiaO//dcuS//arfA//hemG//ortT//nuoF//mhpC//alr//frdD//ybiO//torC//rapZ//yjaZ//pbpG//cobC//
GO_0006026_6	citC//dnaX//sfsB//cpdA//rppH//rhaB//lysA//hisP//flhC//waaB//
GO_0006027_7	rtcR//rluF//coaE//yehW//rraA//yejE//cysH//rluA//pfkB//yadN//
GO_0006040_5	glgA//efeO//argF//lon//rnc//ubiC//nfo//lhr//argF//yfeD//rutB//ycfJ//fkpA//ydhQ//rbsD//frwB//ligA//
GO_0006044_7	ygcO//gltI//cpsB//prc//mhpD//
GO_0006046_8	pgaD//gntK//putP//patA//
GO_0006047_5	uidR//araD//dedD//nadA//ettA//kdpF//ygaV//
GO_0006048_6	mdaB//holB//hypB//actP//metI//pabA//
GO_0006050_6	cyoB//
GO_0006051_7	grpE//
GO_0006053_8	hycA//
GO_0006054_6	fhuB//mscM//nsrR//ydfG//prmB//sucA//malX//
GO_0006056_6	panD//
GO_0006057_7	pgaD//
GO_0006059_6	polB//frvB//nrfC//nuoF//
GO_0006060_7	malX//
GO_0006062_8	opgB//
GO_0006063_5	agaR//barA//ldtA//pheT//speG//insI4//dapB//cpxP//mepS//
GO_0006064_6	livH//rimI//guaC//murE//lldD//ileS//
GO_0006066_4	artM//rplP//yjbG//deoC//mltF//clcB//tsf//dicC//ltaE//hycH//mqsA//symE//hslO//yiaT//yjhI//surE//ebgA//xylG//hchA//appC//holA//ulaD//greB//gadC//paoC//fkpA//lsrC//suhB//puuR//leuA//frwB//rffH//
GO_0006067_6	potE//ydhK//ssuA//
GO_0006071_6	yafQ//atpF//bipA//trpD//ycjQ//ulaR//ddlA//
GO_0006072_6	mdfA//pyrF//rpnB//sgcE//cas3//
GO_0006073_6	phnL//yhbS//purF//ynfK//brnQ//feaR//pspD//uvrC//rlmE//cyaA//nhaR//yegT//malY//lepB//ydfH//waaH//nrfD//mtgA//maoP//yibH//
GO_0006081_4	lptG//rluA//ugd//sufC//yahK//rlmE//mgrB//rpoE//cof//dusB//rfaF//gapC//ydaC//ispG//lhr//thiQ//proS//fimG//yadN//cyoC//gadW//soxR//ybjX//fadR//araG//dgcZ//yohD//hsdM//pstB//ampG//fabH//aroP//dps//yadI//lpxP//rhaM//yfiC//cysK//yehT//gmhB//garD//acrB//yedA//yhbX//emrB//appB//pstS//cmk//fucK//nupG//rsfS//ytfR//tatD//mscM//ydfH//sapF//csdE//rnpA//fklB//tolC//aceF//gluQ//glpR//dgoK//treF//gltS//rhtA//
GO_0006082_4	pgl//queA//zapB//lysO//yceK//waaA//hyaD//flgG//nlpI//dauA//gmk//yjjU//hslJ//gltI//ettA//ybdM//ygfA//gshA//idnT//waaF//hxpB//yhjB//ampE//psuG//ccmC//vsr//hycI//yceO//fpr//fdhF//fbp//malX//holC//recE//lpxD//yjbE//secY//frmR//metH//insI-2//fdhD//insE-1//hcaB//uacT//murQ//yggD//lldR//thiC//moeA//yihO//fcl//nupC//rutE//pbpC//cpdB//rimP//waaZ//greA//pbpC//rpsA//dgt//gph//sapF//trpR//dmlA//paaB//nfsB//gshA//dcm//frmR//leuD//yhaC//gyrB//slyD//metI//cbeA//allC//yghG//yraN//yoeE//wrbA//dnaC//adiC//dgoT//coaD//polA//narH//rplA//cheY//yadG//xseA//fabH//ydhQ//panZ//lpxH//ydiF//dacA//tdcC//pyrD//mltG//dusC//hchA//recC//csgG//greB//rhaM//ydaN//aroD//yabI//yphC//potB//ortT//cysP//yedX//osmE//fepA//cysB//purC//hokE//feoB//ugpA//yjhP//menH//cdgI//yahN//yhbS//fabR//tehA//alsE//fdoH//purR//sxy//ddlA//pck//trkA//htpG//modA//ldcC//selU//frvR//speA//phnJ//pntB//fliS//nrfG//coaE//fimZ//dhaL//bipA//livG//wzzE//sufC//recN//phr//zapD//alsC//dnaT//ybbN//rplB//yajD//mutH//prfA//gshB//envC//pgpA//mnmE//allS//frvB//rtcR//proB//ynbC//yfeW//hscB//rbsB//ybhI//dusB//iscU//glvC//leuA//kefC//leuB//flgA//hfq//sbp//dacB//emrD//ytfR//ydjH//tolA//exbB//ompF//aroF//mngB//idi//mukB//tolQ//lsrB//cmoB//hscC//frmA//adeP//envZ//thrS//fucI//hofC//yehC//yghG//ygiB//rpsI//rfe//folX//pepN//cpoB//rfaF//cysH//fabI//yqjA//rhaR//mntH//pyrD//kefC//gntT//sutR//uraA//ivy//abpB//uhpA//pphB//dsbA//purD//ackA//cycA//pspA//evgS//mdtK//rfbD//intA//map//ilvM//nfsB//nagD//pdeR//fimG//sutR//gloC//yebQ//pitA//msrQ//rrrD//putA//ygiV//ycdX//pgaD//yphD//lacI//rpsM//setA//pheT//mreD//yahN//ycjD//ihfA//rhaD//hyaD//glyA//efp//folA//lolA//cpxR//polA//pheT//ralR//cueR//carA//pyrE//hupA//ydfG//gloB//hemB//rcsF//cydD//insI1//lsrG//nrdG//ppsA//yfaL//asnC//hslV//mdfA//rpsQ//ybdZ//lgoR//hemE//hipA//erpA//panE//guaA//glnB//folE//allS//sbmC//tsr//secG//rzpD//tehB//ascF//fucK//nfuA//tdcR//ygfI//fetA//ydbK//era//hybF//yfgO//ttdT//dsbG//casB//hemL//bcp//ygaH//dfp//gntK//torD//sufA//yjiA//ddlA//dmlR//rho//atoB//secA//sdhA//rlmN//gcvR//lsrK//rho//fimF//tktA//rpsK//rluB//glgX//yiaB//pyrD//avtA//argG//potG//ycdX//symE//atpH//rplK//fbaA//ybfE//lasT//fdhD//ihfB//ddpX//yhiM//afuB//paaC//hybF//frr//csgB//marR//nrfD//galU//gpsA//yqaB//ispH//ybhI//pspA//yahF//dnaK//patA//envC//uxuR//gudP//clpP//flgE//ybcM//rpnC//fumB//ompN//fepG//cysB//ttdA//waaP//srkA//fimF//menB//yoaA//spy//gadB//rpsD//lgt//ybiS//eptC//pgrR//yegD//ssb//polB//wzyE//ppiD//ybjI//lgoR//secG//mlaB//ygfI//iap//yciA//cspI//opgC//frlA//iscU//cca//relA//betA//yggD//amiB//dgcJ//ftnB//purC//lon//ycgV//argG//radD//uup//caiF//tqsA//ybhF//ychO//cpsG//gpp//cysK//narP//tktB//sthA//hmp//gspF//rpsM//yhhT//cobT//hybD//yfcS//ydbK//radD//adiA//ybjG//bamC//deaD//glnE//hycH//yqgF//hemE//gatB//iscX//yegV//rpsB//rpsA//bamE//torY//
GO_0006083_6	mnmC//moaE//hflK//pyrB//amyA//pta//
GO_0006084_6	argG//hycI//
GO_0006085_7	surA//lnt//
GO_0006086_8	cvrA//
GO_0006089_5	yjiX//uspC//bglF//hinT//ravA//emrD//kdsB//ghoS//gatZ//ulaC//intA//ydhC//nudB//rsuA//ghxQ//pflC//zapC//ydiK//thiH//iscU//rpnC//atoB//ubiB//tgt//tar//waaU//lolE//sugE//cadB//
GO_0006090_8	frmB//ydcI//nupC//rhmD//rfaG//arcB//lpxT//maoP//rsmG//yahD//fumA//cspG//gltX//hcaF//nuoI//fiu//tomB//lpd//folA//nrdG//acrR//rplT//allS//dsbD//sanA//slyD//nrfC//rzoD//sixA//bioA//puuP//
GO_0006091_4	dcp//gltX//otsB//gppA//wzzE//ddlA//fabB//dgoD//kefB//adeQ//nagC//ybaM//skp//gldA//ftsQ//rbsA//glmM//pflA//pta//gapC//ygbN//prmA//tolC//clsC//mhpC//dsbD//borD//tomB//puuB//yfaE//pdxY//intF//idnT//ibaG//rplP//bcsA//eutK//araD//ubiF//prmB//preA//dinI//murG//rutG//yqiJ//rep//metF//prmB//msbA//yadM//nanC//prpC//soxS//ydeO//clcA//folX//baeS//mlc//glpF//hisA//paaA//metE//pfkA//chbR//nth//glgA//sbcB//yrdA//kefF//mdh//fpr//ssuC//ybaE//frdD//menH//dmsA//nagD//potG//yceK//dcp//lexA//yciK//aroG//oppA//crr//trmA//thrC//yraI//hyfA//acrR//rsfS//menB//argK//yoeB//insI4//yfjV//bamE//ubiD//pldB//yiaB//torI//torR//trpB//ugpC//yihW//relE//rihC//pheA//fhuF//tar//yhbO//apaH//
GO_0006094_7	nrfA//ymgF//feoC//hldE//rseC//dcuD//ackA//yeeJ//dmsC//hpf//
GO_0006096_6	yagG//hslO//leuO//maa//glpR//rmuC//oppA//ynfK//frwC//flgC//yehT//fixB//citG//ynhF//trpE//mrr//yehC//plsX//
GO_0006097_5	galT//symE//pyrB//lolA//borD//
GO_0006098_6	lepB//mgrB//slyA//ygaH//yjjU//
GO_0006099_4	aqpZ//hycH//cdaR//citG//ubiA//hcaF//yieE//dnaC//ghoT//rffG//rpsH//hslJ//csdA//yghU//ycjQ//dicC//plsB//
GO_0006101_6	kch//paaX//rnlA//lldP//manX//rlmA//ubiA//fhlA//cdh//acnA//ygcW//fdnI//leuB//iscS//yihS//yehD//rnpA//
GO_0006103_5	mioC//sgcC//speA//
GO_0006104_6	higA//yheT//yfbV//
GO_0006105_5	moaB//uidA//rffT//chaC//yhcD//hybD//dgoR//norV//
GO_0006106_8	rimM//
GO_0006107_8	truD//
GO_0006108_8	ynfE//aaeB//ldtB//gnd//fumC//
GO_0006109_6	ribB//dinQ//cdgI//yfcU//ssb//ygcW//abgB//gcvH//ydaN//
GO_0006112_5	yebS//uvrC//pheP//ykgF//yjiX//rsgA//ydcM//ispU//
GO_0006113_5	flgM//selD//queE//rpsT//ibsA//uspE//ygbN//eutR//malP//gadX//clpA//nuoN//prlF//
GO_0006115_6	yceD//
GO_0006117_5	mraZ//
GO_0006124_6	cyoB//
