#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	pgpB//atoC//mntP//yieK//
GO_0001101_4	yjiM//yihP//ivbL//cusC//rclB//trg//fdnG//ykfM//rffC//secF//yjhB//rplK//dppF//pnp//aldB//mdlA//rplW//frdA//torZ//ptsG//recO//tonB//bolA//rseC//kdgT//nrfB//
GO_0001121_7	ilvL//zapB//
GO_0001123_8	fimE//
GO_0001124_8	pyrC//
GO_0001407_7	cas1//ycbB//pnuC//galF//
GO_0001505_4	fliD//pspF//dsdC//yfcV//nrfD//rffC//mlaF//solA//codB//bsmA//cusR//raiA//yehY//ycjP//setC//puuD//
GO_0001510_5	mscM//tyrS//cmtA//ccmC//yadK//proB//aroD//ilvH//ycgB//lptC//alsB//hycI//fdhD//rffT//edd//poxB//sufA//glk//ydbK//pntA//rnb//flgJ//pdeF//flgA//acpT//yafN//yjcS//rcsA//yhcN//hupA//yacG//yjjV//yeeO//phoB//gapC//speE//menF//nikC//pbpC//yhjV//
GO_0001514_8	ycjW//
GO_0001522_7	yjhP//fadJ//sspB//psuG//sdhA//dgcJ//tatE//nirB//rpoA//lsrD//yaiV//mukB//hofN//
GO_0001539_4	glgB//yhbO//asnS//yfcV//hypD//infC//ybdR//yhaO//murC//metR//insF-1//atpC//yeeJ//rsuA//queC//rpnB//fecB//pgk//argD//recD//allB//perR//rsmH//ompW//rimJ//glrK//aes//cyoE//mnaT//cbl//yahD//
GO_0001558_5	dacC//greB//uxuA//coaE//rpsS//tomB//hycA//rffT//
GO_0001561_6	atoC//
GO_0001666_4	dgoR//
GO_0001676_6	thiE//hypA//sfmC//
GO_0001680_11	ubiH//
GO_0001682_11	prpD//
GO_0001731_7	livH//
GO_0001762_6	gyrA//
GO_0001887_4	yfgJ//efeO//tmk//
GO_0001896_5	tolR//pykF//rsfS//artQ//
GO_0001907_5	nusG//yciT//galS//apt//
GO_0001932_8	agaS//mdtC//
GO_0001934_9	hexR//
GO_0002047_6	seqA//yieE//
GO_0002097_8	sucD//csgA//sgcC//prmB//ivbL//yebK//sapA//insH-6//yraN//yajD//frvB//blr//ldrA//hrsA//patD//yciG//ldcA//nudF//plaP//
GO_0002098_9	gyrA//yjiX//paaG//pspF//kbaZ//nfsB//proP//asmA//minC//ade//pspA//cptB//yjjG//
GO_0002099_9	bioP//fadH//
GO_0002100_9	yebZ//
GO_0002101_9	pabA//kefF//
GO_0002128_7	uidC//ybiT//kdpC//tusC//
GO_0002130_8	ychF//
GO_0002131_9	degQ//
GO_0002132_9	ymfK//
GO_0002136_10	opgB//
GO_0002143_9	lapB//recJ//queD//ychF//hprS//fliT//
GO_0002181_7	mgtL//pinR//
GO_0002183_5	rutB//
GO_0002184_8	sgbU//
GO_0002188_6	yohC//
GO_0002190_6	ecpR//
GO_0002192_8	yccS//
GO_0002252_3	gcd//uhpC//bdcA//melB//bamE//tomB//tdcE//prmA//rfaG//folP//
GO_0002790_6	shiA//ppk//purA//sbcB//yeiE//ydjE//waaC//
GO_0002937_9	focB//
GO_0002938_8	rppH//
GO_0002939_7	appC//
GO_0002943_8	tdcB//
GO_0002949_8	tamA//ydhC//tatD//speB//
GO_0003333_7	upp//yihV//eutA//eutD//gph//msrQ//uvrD//tdcG//pdxY//pdhR//yqeA//queC//baeS//rcnR//rsmJ//ppk//yeaK//malP//uspE//ybcF//thyA//kdsB//fimC//pyrE//insK//macA//dfp//thiE//hsdM//hrpA//csgG//ldrA//gloB//ccmE//cspE//ispA//oppA//dps//hyfA//yeaK//pflB//erpA//shoB//yebG//yceK//yihX//mutH//holD//lgt//
GO_0005975_4	iscU//arcA//borD//rcnA//fryB//cysI//yadM//fucK//opgH//rfaD//truC//dtpD//yjiM//dosP//ygjR//fabB//fdhE//tynA//lptF//essD//hxpA//fre//phoB//gpmA//uof//rpsT//ttcA//nikR//glpF//tas//arnB//arsR//ppc//mhpT//eutA//yeaK//fkpA//modB//rlmM//bglA//mnmG//sbmA//ydcZ//nuoH//yrfG//allD//gyrA//galK//cpsB//endA//flhA//ybhS//puuP//chpB//dusC//aldA//galU//phoU//vsr//gsiA//lpcA//yagG//ybjI//gcvR//fecA//mutL//yejB//narL//yidA//cyoB//recT//queA//cysD//alsC//iraD//mdtQ//fadA//gpmM//glgX//srmB//tyrB//upp//lldR//fdnG//yieH//rbsC//bioB//rutE//acrR//ariR//ldrA//yhcN//waaO//dkgB//lacZ//xerD//allD//ppsR//csiR//potG//yejE//yphC//gudX//rtcB//lpp//dauA//truA//rfaF//rhaA//srkA//hybA//rzpR//metI//rutE//wcaB//rapA//poxB//hisQ//trpR//aroB//tmcA//hrpA//ykgM//prpC//nudB//ftsP//aqpZ//frwD//zapA//ydeI//aas//actP//yiaL//dinB//prpD//waaO//rhtB//secA//bamA//hicB//yjcO//malE//rseB//ycjW//fmt//ftsW//tatD//gcvP//fau//dsdX//rrrD//ybhR//ispU//tpiA//puuB//recC//idi//tktB//glsA1//alsE//gspJ//plsB//yfaE//alaA//rclA//nrdF//gudX//yiiM//fdoI//yraK//grcA//map//ybjC//basS//rnhB//yhdX//yebG//tqsA//mug//sapA//allC//paaA//yraI//eco//livG//ycgB//ibaG//flgH//deoR//dmsB//mraZ//frr//recB//pphA//carB//soxR//btuR//lit//yqaE//frmA//purC//rfaE//cheR//pspG//hypE//nuoL//dpiA//mlaF//panC//pyrH//rlmI//bipA//waaY//ychF//intS//ttdB//hemN//yggX//fryB//cbeA//eutD//sgrR//lspA//chpB//yahI//potA//degQ//yejE//ygaZ//proV//yehX//argS//mocA//cheB//cheZ//yieL//glgS//insH-5//murC//fadJ//murG//groL//rpmH//qseB//tpiA//entS//nadB//alsB//rpsS//tcdA//adhP//cynT//rraB//deoR//
GO_0005976_5	scpC//asnB//garL//cpxP//katE//apt//ccmG//ygfI//rplQ//lpxK//dppD//queD//opgE//yoaA//mqsA//artP//yahO//ldrA//rimL//argF//citC//ydeO//yfcU//ymfA//ribA//yggF//otsA//raiA//bglX//aaeR//dps//torC//otsA//maoP//pinQ//tig//clsA//cmoA//yqhD//ibpB//epmB//rfaQ//arcA//hupA//kdpA//adiY//codB//appA//msrC//alkB//metN//menE//rutC//folA//prpC//hisG//glpR//blr//gudD//
GO_0005977_6	guaA//dacC//yecS//rihB//nudF//cvpA//yhbX//yhfS//
GO_0005978_7	rluD//truD//recT//guaA//
GO_0005979_8	caiF//
GO_0005980_7	sgcA//panF//glgC//
GO_0005981_7	rhlE//
GO_0005984_5	bisC//astC//metB//yggF//hisG//fdoG//ravA//djlC//rsmA//dmsC//rplR//
GO_0005985_6	potD//
GO_0005986_7	prkB//
GO_0005988_6	speE//hha//
GO_0005990_7	ybiH//pepT//
GO_0005991_6	hsrA//ycjQ//yhbQ//rsmJ//yiaO//
GO_0005992_7	bssS//ydjM//
GO_0005993_7	rnr//nagB//lplA//
GO_0005994_6	atoS//
GO_0005995_7	bepA//
GO_0005996_4	elfA//cycA//chbA//alkB//ibsC//yiaO//ybhA//gatD//ynhF//amiA//yfiR//miaA//iraD//mraY//glcA//insF-1//accA//glyS//yihI//allR//fliK//ribD//alsK//mtlA//frlR//yejB//rcsF//waaJ//ygeW//rpmE//insF-1//sulA//kdpE//lldP//ftnB//glnL//lit//ynfE//ygaH//glgS//sad//cysU//ihfA//flgH//ydfK//fabG//btuF//rpnB//pbpC//mdoD//argE//aqpZ//btuB//argG//torC//cutA//dtpD//dnaQ//bisC//zupT//argI//rplQ//rhoL//dmlR//sbmC//pflB//fepB//recD//yfaV//serA//dicA//tsx//flgD//lsrK//yehC//ftsI//hldE//cydA//pppA//sanA//osmF//yqiH//
GO_0005997_6	ygiB//
GO_0005998_7	fcl//
GO_0006000_6	kefB//ddlA//dcp//
GO_0006001_7	rimP//ilvC//
GO_0006002_5	lasT//sucB//yraH//
GO_0006004_6	flhD//yibT//fbaA//accD//acnA//yafN//
GO_0006006_6	sapF//mtn//rfbC//rffT//yigB//ascF//gluQ//nlpI//lgoD//yeiE//yddL//ydeT//proB//dnaE//pnp//ptsP//aaeR//cyaA//rpsB//higB//gltB//yfdR//dapA//
GO_0006007_7	trkG//mlaB//fliZ//
GO_0006011_5	nrdG//
GO_0006012_6	mprA//fhuD//mhpR//rpmC//nikR//nikR//tusC//ynhF//rlmB//
GO_0006013_6	skp//amiD//
GO_0006014_6	pal//yfiF//sfsA//
GO_0006015_7	hisS//atpE//
GO_0006020_5	abgR//
GO_0006022_5	rrrD//bcp//lpxB//sgcA//yfbS//groS//msrQ//yqcG//pyrH//yjhG//aceB//tatB//yqaA//fepA//feoC//nuoH//amiD//arnB//ybgP//ycjW//clpX//yafC//kgtP//sfsA//gcvA//fimI//yjiA//rutR//guaB//fnr//lrp//nrfA//folP//baeS//ybhG//yehZ//araH//hemC//kefF//rhlE//hisG//bcr//pncB//fic//uvrB//yodD//cspA//fliL//kduD//ygiV//putP//mngR//yjiX//mngA//ibsD//allS//tynA//ygbL//putA//yodD//rplB//rplX//upp//
GO_0006023_6	cheY//higB//yraN//glnK//pspA//mepA//garK//cydC//yphC//basR//srkA//otsA//yefM//tmk//emrB//ygbM//holE//rppH//phnG//yjgX//mrp//wzyE//cheB//yghW//bioD1//mutM//setA//rph//menD//tatD//rlmJ//tatB//opgC//nrfE//flgC//dusC//surA//feaB//sbcB//
GO_0006024_7	proV//waaZ//dnaK//yddG//nrdB//yjiQ//hofP//cobS//xisR//clcB//potB//hybG//yfaU//dld//clcB//degS//ulaC//tyrB//cysN//katG//proS//gudP//fsr//xseA//rutR//tusB//sgrT//atoS//arnE//yebQ//ygjK//hypT//tsx//garR//asnA//pphB//hybG//yjcS//xerD//
GO_0006026_6	hisM//hlyE//mhpT//mazG//cdaR//emrD//mreD//ffh//yggD//dtpB//
GO_0006027_7	idnT//iscX//yhcH//yeaE//recX//rsmB//arnD//mutY//malI//entB//
GO_0006040_5	yciA//ade//atpE//nadA//yibF//truC//chpS//ydiV//recE//ygcW//gsiC//atoC//tabA//ilvH//torR//tsgA//tmk//
GO_0006044_7	tdcF//glcB//gapA//rutA//ais//
GO_0006046_8	hisG//yihO//rsmG//yaiV//
GO_0006047_5	sodA//mtlD//mog//ispA//csgF//kdsA//ppk//
GO_0006048_6	ybhP//phr//phnI//soxR//yfhH//dgcF//
GO_0006050_6	lysS//
GO_0006051_7	mreB//
GO_0006053_8	kdsB//
GO_0006054_6	treF//yiaM//ynhF//hisQ//nudG//tsf//dacD//
GO_0006056_6	fryC//
GO_0006057_7	recT//
GO_0006059_6	ydcS//ybdZ//bioH//fcl//
GO_0006060_7	trpL//
GO_0006062_8	lexA//
GO_0006063_5	hscB//dinJ//frvR//treB//dacD//ygfZ//eutR//fliZ//atpF//
GO_0006064_6	lldD//tdcA//arnT//bglJ//ycgB//insF-1//
GO_0006066_4	ycjW//exuR//rfe//bioA//scpC//metI//rhmD//ispF//rpmJ//yaaU//ppk//araB//dinQ//thiG//cysI//rutC//dgcM//ispG//crfC//rihA//garP//mglC//gadE//rnc//ulaE//holC//cheR//frmA//dinD//alsK//uxuB//norR//
GO_0006067_6	pta//waaA//pinQ//
GO_0006071_6	orn//elfD//kch//glgA//envR//mltA//yagF//
GO_0006072_6	pta//sppA//sucD//ybaM//puuE//
GO_0006073_6	rclR//amiA//leuB//frlC//ttdT//ldtB//ttdB//miaB//dpiA//asr//tdcA//acrD//yidH//purR//dacB//glmU//fucA//dcm//mqsR//sdhA//
GO_0006081_4	fliM//adeP//ibsA//rstB//avtA//rpsM//ftnA//paaF//psuG//uup//elyC//waaU//ligB//yebZ//ybgI//nmpC//mobA//norW//nadA//sdiA//alaA//yedF//yfdS//yfjR//mdoG//ypjD//holC//yfgO//potD//ldtD//thrS//relA//fnr//ydeI//yqhD//fucI//fabR//rfaB//waaA//livH//yhjA//phnL//uxuB//chbG//ydeM//baeS//fdhD//mdtC//cbeA//dps//lsrD//cspI//hslJ//pheS//fumB//scpC//gdhA//hyi//perR//rpiA//fliT//opgD//pdxH//ycgV//brnQ//rlmB//rnd//
GO_0006082_4	atpG//pdxK//nemR//allB//oppB//prpD//gltB//pckA//sfmD//tolA//ygjH//yfcS//zntR//guaC//insF-1//hokB//yhdH//gntK//hslV//nudF//rplW//bhsA//dfp//hypT//groS//gadE//xseB//iscA//pstA//hupB//malX//betA//yhaC//gntP//dnaX//yccS//rclR//suhB//uspC//uhpT//rcsC//ydaV//tyrB//ilvH//fiu//mrcB//queE//barA//relB//rpiA//tgt//dcuD//melA//pdeH//dgcF//yjbB//lolD//mazG//dld//gntR//ftsW//opgE//yqjI//queG//feoB//metB//sgcR//yieF//cyoC//tufA//ndk//yqcG//narX//dgt//ydiP//csrA//astB//ilvM//cdaR//pinR//sstT//yhcF//paaA//yajO//ogt//murC//yifB//cheB//glrR//recT//ftsN//ompT//hisC//envZ//yraH//sfsB//dnaK//wzb//mltF//uvrD//gadA//nlpE//nagK//lptB//sbcB//tsaD//hybF//tolA//pdxB//def//fimD//elfG//rpoE//epd//yfdR//yggT//rlpA//yhcN//zapA//melB//nth//potB//rimM//yggE//flgA//gmhB//udk//eamA//murB//yabI//idnO//bamC//opgH//fabZ//rep//frdD//chbR//gapA//nuoI//dgcE//sufS//ispF//fepB//yqiI//purD//rapZ//smrA//thrA//nagC//gatC//mlaC//yfjR//oppC//atoC//sodC//argA//phnP//tusB//yfaV//rutE//gntK//npr//tpiA//yoaB//uxuR//rpmF//mutS//rutE//ydcS//entF//nagC//sapB//fes//ubiF//mltB//rpiR//ugd//fepE//baeS//rplE//nrdR//prkB//ydcP//tar//cysU//mppA//gpr//csgG//fepA//mdtN//amiD//mltA//cysI//elfC//nagK//thrL//avtA//ftsQ//rlmE//sapD//ydhJ//menB//rpsG//nanS//yjbG//cyoA//arcB//rayT//cpxA//yagJ//clcB//mglC//ssuB//elfC//fcl//acrB//allD//xapB//upp//rplD//cysU//tesB//elfD//hemB//pepT//nirD//iap//zapA//ycgV//flgB//fadR//dgcQ//yjbG//nuoG//stpA//elaB//fryB//araC//fryC//dppA//yjcS//hyaA//yieL//trmJ//qseC//cheA//relA//pncB//rnd//ppiC//rpoH//tilS//skp//dsbB//yghG//suhB//pspC//era//yijO//hexR//ushA//yoeE//hybC//zinT//azoR//rluF//mltC//fdoI//ung//tcdA//dmsC//xylF//trpB//ybaQ//yqjA//yiaB//metH//mgsA//trpD//tdcD//fruB//dppF//rpsR//rhaR//ytfT//uspE//cysZ//fabI//gppA//degP//ibsA//hfq//kdgK//norW//malP//allC//uof//dinB//mnmG//rfaF//pdeK//mrcA//fimB//nsrR//sucC//speE//glsA//prpB//ycaN//ybiH//livK//fecC//lptF//mdlB//queE//parC//recD//dppA//efp//ubiB//carB//caiD//yqjI//tsaD//cpxA//pinE//yiaT//waaG//katG//yehY//adeD//ssb//rbfA//glmM//ychF//eamA//ulaC//cdd//kgtP//gstB//bisC//pncB//fsr//pyrL//chaA//entE//xseA//fabR//kbaY//ycgB//fetB//murI//dppA//yrfG//citC//feoB//murD//yihV//rcsB//dgoA//msrP//ynfH//glpD//yhjC//kduI//selA//rfbC//ralR//yghG//bdcR//metH//intQ//codA//ulaD//eutB//yaiP//glpA//moaE//rdgC//galM//fhlA//ygaH//eamB//yegT//frdC//wzc//zapD//phnM//sixA//kdsB//yhcD//ubiX//leuO//hxpB//dpiA//nanA//hslO//hflC//cecR//hyfA//yhdH//ybiJ//sodC//yhdW//ispA//rffT//ycjW//xylA//rpsQ//ydjE//radA//narY//yjiR//manZ//araC//dctR//tdcC//narP//rluF//dgoA//uof//mdtL//ubiF//yfeW//lysR//allD//rluD//cas1//rplK//zntA//bluR//recD//sfmF//gstA//nrdG//obgE//ftsP//mgrB//puuA//mlaE//flgI//nupX//sbcB//mreD//narZ//srlB//rihB//waaJ//tsaE//uof//rluA//yfaL//marA//cdsA//exoX//fimC//ppx//ybgI//kbaZ//acrA//
GO_0006083_6	ynjD//bglF//tauD//metG//xylF//ldrB//
GO_0006084_6	yhaC//aroA//
GO_0006085_7	fimB//gor//
GO_0006086_8	yidR//
GO_0006089_5	tufA//glvB//yihQ//barA//dfp//ydgA//malI//ldrD//epmC//pdeD//phoR//edd//dgcJ//lsrB//ycfJ//recT//yfcQ//idnT//yjjB//sdiA//uidR//mdtQ//nadK//uspF//yciV//bcsQ//aas//tcyL//ydjK//
GO_0006090_8	pstA//mqsA//acrZ//mhpB//xanP//thiI//uxaA//rpsG//rpsM//caiE//rpnA//yjhH//hemH//yebC//prpR//ycbU//cmoB//yigL//narV//dgcJ//gyrB//fimB//thrS//ompN//adk//gpt//hypB//yggE//ybhG//ypdB//bioC//
GO_0006091_4	ftsA//cecR//ydbK//dfp//frlB//dpiB//nuoG//bioD2//yciA//cra//rpsI//nrfA//lpxK//lipA//dgoA//trg//exbD//yccX//pstA//yagE//frwB//ygaH//paaX//fabA//dinJ//yhjR//manY//eutD//ypdI//sthA//yfiR//tyrA//arfB//galT//araH//pyrE//rplR//glpC//moaA//pgrR//kbaY//ttdA//maeA//sthA//rseP//aaeA//cbrA//iscU//mgtA//agaV//bcr//casA//kch//ompG//nanS//tusB//rraB//dgcE//mocA//pyrB//rhtA//paaE//yagJ//intF//htrE//ccmD//flgF//rnc//holD//yqjH//rffG//flgH//lptD//frwD//btuD//yahO//bamA//bcr//yedA//sbcC//yiiE//dkgA//ydjH//yqaA//yfaU//nfo//truD//carA//lysS//rhaR//rpsB//yfaV//guaC//ydbD//pgpC//bluF//zraR//dppC//glcC//oxyR//tus//rhtC//napC//uup//frmR//mepS//pyrE//ybhR//lplT//bamD//mltF//ubiE//
GO_0006094_7	pyrH//hdfR//wzb//yfcP//speF//srlE//bioD1//yigL//bfr//ydjE//
GO_0006096_6	yajD//ydeP//ascG//pdeH//nanT//iscS//narX//gltS//ivy//ydgA//ridA//torR//roxA//yieE//cdh//cbrC//yjhH//rlmM//
GO_0006097_5	hprS//bglA//lysA//insI-2//thiI//
GO_0006098_6	alaE//yciT//fadJ//ycgR//rluA//
GO_0006099_4	glsA1//fepB//folE//hisC//potA//pabB//gcvA//greA//yaaU//sdaC//torS//cho//metE//lsrG//mdlA//rlmJ//plsB//
GO_0006101_6	malP//ampE//nrdD//yhaC//ybaK//yddL//torD//cysE//fhlA//recG//pinE//atpD//rbsK//cydD//nsrR//ispB//ypjD//
GO_0006103_5	entE//epmB//glnP//
GO_0006104_6	fadL//murR//yejB//
GO_0006105_5	rbn//hisP//zupT//dmlR//crcB//yebZ//cysU//yafS//
GO_0006106_8	acpS//
GO_0006107_8	yggN//
GO_0006108_8	yfaE//rplS//mliC//aroL//sapD//
GO_0006109_6	aaeR//wecB//prpD//cheR//carB//mngR//znuA//cysI//fucA//
GO_0006112_5	pck//ynhF//argC//kbaZ//ubiH//nemR//ldhA//treA//
GO_0006113_5	rimK//dcuR//ratA//cyaA//tolA//yqiJ//rpnA//gadA//mltB//gltK//alaE//rffC//seqA//
GO_0006115_6	dnaK//
GO_0006117_5	yfcU//
GO_0006124_6	prmB//
