#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	moaA//glgC//uhpC//rmuC//
GO_0005985_6	dinQ//
GO_0005986_7	hdhA//
GO_0005988_6	frmB//mtr//
GO_0005990_7	pgl//hemE//
GO_0005991_6	hemE//gshB//bcp//treF//setA//
GO_0005992_7	hybB//tolC//
GO_0005993_7	nagD//fumB//yhdH//
GO_0005994_6	aspC//
GO_0005995_7	rhaA//
GO_0005996_4	rutA//adhE//yhjV//lgt//mdtJ//dcuB//ybbY//torS//hyaC//hslR//xerC//aroA//zntR//appA//abpA//cysK//pyrE//dtpC//ybiS//nepI//kbaZ//bcsQ//coaA//hybA//plsX//pspD//ybdM//ssuC//yhdH//speB//artP//mscK//artI//pbpC//yihI//srmB//yidE//caiF//yhdJ//evgS//rsfS//mepM//entS//ghoS//gmk//yejA//lolE//insB-4//sucC//phnJ//ais//nhaB//pinQ//ompT//asnA//lldD//gatA//skp//yfdG//ilvM//atpD//ubiA//hypE//pgl//yjfF//tehB//yehT//galK//tdcC//hyaB//rhmD//entF//ompC//sbp//sgcA//thiE//pinR//viaA//malQ//ycgB//rlmD//arsB//
GO_0005997_6	msrB//
GO_0005998_7	dhaK//
GO_0006000_6	allC//mscK//mtfA//
GO_0006001_7	rpiR//speA//
GO_0006002_5	glnH//ampG//cyoB//
GO_0006004_6	setC//rbn//rpe//ycdY//macA//yihQ//
GO_0006006_6	glcE//tsaB//nadE//argB//basS//flgF//asd//folE//tolB//ybhG//yfdK//nadK//dgcQ//yddM//sdaA//yfjR//sgcB//yeaV//cheB//alaE//rmuC//tsaE//artM//
GO_0006007_7	treB//ybcF//tus//
GO_0006011_5	rsgA//
GO_0006012_6	pflA//lrhA//bluF//lysP//tktB//nrdH//yejB//iscA//yccA//
GO_0006013_6	sapB//kbaY//
GO_0006014_6	yjtD//yoeB//frvR//
GO_0006015_7	argO//ettA//
GO_0006020_5	sdhC//
GO_0006022_5	greB//purN//uhpA//melB//umuD//rnd//flgC//cynX//mutT//gadE//sfmF//bamA//gcvA//yggN//ydjL//dgcZ//hslO//mdtF//lpxK//agaB//ghxQ//yqhD//aceK//malQ//add//kup//recC//yqiI//eutN//ampD//xisE//tatD//speF//pgrR//rhaM//srlD//bglF//emrD//kdgK//trxC//waaH//pdeK//hscC//trg//rsmJ//ptsP//rpnA//cspC//yraR//degP//ypdA//dsdA//entA//yiaT//nfsB//yajD//cheR//mlaB//ygaH//ybjI//ulaB//agp//moeA//
GO_0006023_6	ubiD//yajL//tdcD//tauA//yabI//ahr//helD//metH//lptC//yfdC//bolA//fruB//thiC//queA//pgsA//folX//cpsG//ptsN//cheR//glnH//elaA//ybjC//caiD//tktB//flhC//caiT//nuoB//yahI//moaA//galF//eco//yghB//rplA//bioB//lpd//tyrA//yagJ//purC//dnaE//
GO_0006024_7	dps//fdx//acrF//opgH//purC//yggF//cynT//nuoL//eutD//speB//dsdA//bglF//hycH//asd//rbsK//kdgR//ynfL//ddpX//hisB//ybcJ//pabC//scpB//ascG//smpB//csiR//leuA//murJ//marR//yijE//tmcA//ydiZ//mtlR//rpmF//thiP//asd//chbA//tusB//gabT//caiB//
GO_0006026_6	hprS//glpF//glxK//atpG//mcbR//rpsN//ybiY//fepG//rsmF//sutR//
GO_0006027_7	lepB//nmpC//yidD//asnB//ydfD//lepB//yfjV//frwD//asnB//opgB//
GO_0006040_5	lpxL//mutT//fadE//rpnC//gatY//flgC//ydiK//cycA//truD//csiD//yfeO//hlyE//yfdC//hisA//ykgF//purR//dtd//
GO_0006044_7	yihQ//xylE//bioD1//agp//bhsA//
GO_0006046_8	hybD//tauD//treC//ruvA//
GO_0006047_5	flgK//leuO//yhfK//yeeJ//ydgA//dps//sufS//
GO_0006048_6	yahB//mltA//xseB//bsmA//zipA//gshB//
GO_0006050_6	yibT//
GO_0006051_7	sodB//
GO_0006053_8	xanQ//
GO_0006054_6	mreB//proS//purN//hemB//ybaO//nrdH//yeiE//
GO_0006056_6	mlaF//
GO_0006057_7	yeaD//
GO_0006059_6	phnG//paaJ//yaaA//ydaN//
GO_0006060_7	flhE//
GO_0006062_8	btuE//
GO_0006063_5	yceK//leuA//bglF//dicA//potD//tdh//envY//yfjV//lon//
GO_0006064_6	narU//coaD//tufB//nirB//tbpA//rzoR//
GO_0006066_4	oppF//rpsO//pdeK//panZ//fadB//glmM//fdx//ispA//ribA//motA//dapD//surA//ycjD//pgaD//panF//rbsA//nfo//nhaR//ygiS//leuA//surE//hipA//argC//yraI//rzpD//bssS//apaH//ybeY//ybhI//guaA//moaD//ebgA//
GO_0006067_6	kdgR//entC//glpG//
GO_0006071_6	modC//atoS//yabI//yahB//sfmF//rhsD//dam//
GO_0006072_6	yjcO//yjiY//tdh//abpB//yfdG//
GO_0006073_6	gntR//oppD//ybhR//evgS//mltB//rplY//rutA//mrr//rhaB//spoT//dnaB//nlpA//rpoE//waaP//kdgK//hybE//ldrA//serA//pstA//phoU//
GO_0006081_4	prmB//umuC//ybaT//grxD//mppA//puuP//ebgR//ybjN//fetB//nfuA//sufE//dsbB//rfaB//tilS//scpC//yihP//pspG//xylE//hrpA//gadX//prc//tcyJ//lldR//fklB//sapD//ldtE//ydcZ//lepA//gspF//uspB//gntU//yjgX//dhaL//mraZ//yjtD//moaE//fruK//flgD//feoA//gudX//xanQ//nrfC//rlmC//lsrA//hybE//mutY//gcvP//cirA//argH//yahB//yabI//iap//aldB//yneJ//dacC//seqA//rplA//yjcE//mreD//murG//lysS//dppB//yfbU//fabA//fnr//frvA//lysR//
GO_0006082_4	accA//ulaC//dxr//macA//zipA//nfo//mcbR//eutB//arnE//paaC//ynaI//rutF//elbB//dgoR//folE//ugpC//pyrE//yciF//recX//yeiG//atpB//carA//rutG//sdhB//ypdF//amiB//lyxK//lpxK//preA//emrD//hdeA//rnb//xylG//ibsC//thiH//xseB//rhoL//uidA//dgoA//appB//ydfG//ghrB//uidA//mcbA//gstA//yjhH//dctR//leuE//rplF//pdeL//bluF//dsbB//nlpA//holB//ybhI//ybdG//yjhB//fimG//nimT//dppA//thrC//basR//yaiV//sseA//osmC//arfA//sodA//sufC//xylF//yneL//ygbM//ubiX//mrr//lepA//asnB//ompL//katG//minC//nrdI//adhE//yraR//yihQ//selA//codA//valS//yefM//sapA//slyD//livF//agp//hybE//ulaB//yggT//recT//ibaG//dcuS//nuoB//patZ//pspF//rpsJ//melB//hisG//hybF//paaG//secM//ulaA//ybbY//manA//rbn//yehB//ygeW//uspB//acpT//hisH//hflC//nudB//ugpC//dacA//nlpI//ydiK//yajQ//elfC//ymgF//lysU//ydcI//birA//lplT//mhpC//tatE//ygiV//entF//hdfR//glrK//waaY//trmD//ynhG//gabT//rsmD//ribD//yfbV//ygeX//mglA//ispF//fryC//zur//rffC//prc//glcE//wzyE//lgoD//frmA//rhmR//araF//agaB//lpp//wcaJ//selD//fdnI//cnu//ydjH//htrE//fucK//hscC//yidE//sapC//yhfS//fecD//gdhA//pphB//cho//gntT//mcrB//ycjU//mltB//gspI//hybO//ugpB//bamB//rluA//rluD//nuoL//thiQ//cyoA//appB//hlyE//mlaB//rffG//yajL//ulaF//yfiR//fkpB//mlaB//rpsI//lpcA//cof//nuoG//ghxP//putP//kilR//ligB//rlmB//malY//uacT//ydgA//lysA//yqjI//yajR//murG//yhfK//uxuA//chbG//yciV//ppsA//sfmD//fliM//fabG//galT//ribD//yebQ//gppA//yfhM//cobU//mlaC//ghrB//rpoA//flgK//yhcD//ybhD//bioP//tyrS//yfdC//entH//rsmD//queA//cusB//bcsQ//acrE//yebS//fimC//phoE//ulaB//elfC//radD//hdeD//rlmB//araE//ulaE//srkA//hslV//pphB//add//yciE//ybhA//rcnB//gltL//ycfJ//tdcC//glcE//sdhA//thiL//yqcG//yfgO//thiH//frwD//rplB//glcD//recQ//cyaA//nupX//mdtE//creC//ssb//ybaT//osmF//yiaO//tktA//leuS//msrP//cydC//ybgP//clpS//rpsQ//rnd//murC//srlE//hemE//yrfG//rarA//yfeD//dsdX//metE//chbG//eutB//ghoS//rseB//ruvA//trkH//purL//mdtI//uxuB//ybcC//mrcB//ycaO//wcaB//leuO//yehY//glgC//ccmD//mlc//tdcA//yjhH//glvC//yehA//glcD//panC//yajD//ravA//yhjG//stpA//yadK//ahr//ycjQ//sbmC//dbpA//iscR//xerD//gspI//fumC//fepC//yejF//corA//pppA//tamB//rpsQ//nfuA//potB//bioA//sdhD//yciV//lysA//yehY//sspB//cydA//opgE//ariR//mlaF//mltC//tktA//cheB//yaiP//rzpR//gutQ//tsf//amtB//hofQ//pflA//idnK//hcaD//bfr//purD//kdsA//csdA//gadC//ycdY//ybhA//nlpA//nemR//ygaZ//pntA//ruvC//srlA//dicC//oppC//lsrR//borD//ftsN//fixA//glmM//csrD//cydA//nikD//gpt//modB//dedD//ghrB//yggF//mtlR//rffM//casE//fepB//topA//ydeP//yieF//dauA//ydcZ//ygiS//xylG//slmA//glxR//hdeA//modA//tyrS//alr//ybfA//ppsA//mrdA//mraZ//mhpT//glcE//sulA//yqeG//paaE//pabC//mntP//rtcR//rnr//yoeE//dosP//yjbH//nrfG//allB//hypF//rpmJ//fetB//frlB//scpC//caiD//ssb//marR//setC//diaA//ghrB//ogt//rbfA//yadK//preA//tdh//pth//dsdX//basR//lptB//fdoH//opgE//kilR//nadD//yebC//yedL//der//djlC//rpsI//pliG//evgS//rplX//yegT//treA//rplQ//nrdF//dnaC//gpr//potB//
GO_0006083_6	iscU//dmsC//ibsD//malK//dinJ//gmhB//
GO_0006084_6	gadB//pgl//
GO_0006085_7	ybiO//yfiR//
GO_0006086_8	casE//
GO_0006089_5	eptC//manA//fruA//glvC//nikC//fklB//cas3//ydjE//ispA//mipA//era//cpoB//phoQ//yqeG//yecS//nuoG//tpiA//yhbY//uspE//fliK//dcm//aroL//tcdA//rpoE//copA//nupC//clpA//ybfE//bacA//
GO_0006090_8	pyrF//ydjJ//miaA//yohC//parE//parC//iscU//nrdG//garR//dinG//amiA//ydeI//coaE//hemG//lysP//trmL//pinQ//cheY//kduI//mcrB//alr//paaB//tcyL//accC//yiaB//cysN//ydjM//modB//murQ//lptD//glgA//
GO_0006091_4	yhiM//rfaH//lptA//eutK//ycjP//yiiM//flhC//lyxK//tmk//msrC//ypdC//ybdM//copA//ygfA//argE//rph//yjjI//rutC//tcyL//evgA//nanR//grxD//feaB//trmA//moeA//dgoK//hcaB//satP//glpB//dgcJ//yfcF//tisB//rpsS//malF//ldtD//csrD//ydhC//uspE//yraN//rpoH//cobC//fabZ//yaaU//tmcA//yjeI//lamB//artJ//ampD//treR//ldhA//lsrC//ubiX//putA//hyaC//rcnR//leuC//tig//ftsL//intZ//waaG//glmU//aroC//dinJ//thiL//ychO//recG//citT//lysO//surA//mglC//rihB//mlaB//sapC//yecS//rfe//fimA//ydcP//yehU//fbaA//yehP//flgF//ispU//dmlR//fepB//ldtB//argK//modC//atpA//araG//hrsA//pnuC//sucC//ydbK//oppB//yehY//ybdN//nepI//yojI//symE//setA//ispA//yihL//xylH//secA//ycdX//paaE//mltC//argA//uacT//gabT//agaV//ybiT//
GO_0006094_7	glcD//rsmI//bssS//citX//serB//secY//gph//gadB//hisP//recE//
GO_0006096_6	gatD//ispH//fsr//ydhQ//rlpA//rusA//wecB//malK//ydhQ//flgG//dhaR//mngB//hscC//yqaB//iclR//dusB//yggE//yqcC//
GO_0006097_5	asnA//yciA//aidB//pflB//agaI//
GO_0006098_6	dinD//cusS//tmcA//ecpR//dnaE//
GO_0006099_4	nuoL//yhhY//patZ//lrp//dicA//adk//ydgA//rfaE//glsA//rodZ//mocA//arsB//yeeY//waaQ//ycjU//mazF//ampH//
GO_0006101_6	glpF//lptC//gspF//lpxP//mdtG//rpnC//nadD//gntK//puuB//efeO//tadA//tyrA//kdpC//murC//caiD//potE//cbeA//
GO_0006103_5	potB//mdtC//aroB//
GO_0006104_6	queE//purN//acpT//
GO_0006105_5	yfcU//topB//alkB//fecA//rpsA//rbsR//lipA//sdaC//
GO_0006106_8	minC//
GO_0006107_8	aceA//
GO_0006108_8	ffh//motA//lldR//fecA//rhoL//
GO_0006109_6	lptB//hycA//yeaG//ruvC//wcaC//bamB//uspF//fimD//ffh//
GO_0006112_5	cusA//cadC//pdxB//ivbL//ynhG//eutD//adeP//queG//
GO_0006113_5	zntR//fhuF//iscX//paaJ//zapD//yeeO//deoC//ygaV//ascF//hcaT//emrE//yhaJ//folE//
GO_0006115_6	fixC//
GO_0006117_5	lepA//
GO_0006124_6	ygbN//
