#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	mdtF//fkpA//hyaB//sufC//
GO_0000478_9	caiB//
GO_0000715_6	rna//
GO_0000716_7	opgC//
GO_0000724_8	yebZ//
GO_0000725_7	kdpB//pcm//ubiE//yadC//truC//ydaN//
GO_0000726_7	preT//
GO_0000731_7	ompN//hypD//pepN//slmA//cptB//ndk//yghW//
GO_0000737_7	folX//
GO_0000738_7	infC//queE//epd//
GO_0000746_4	emrK//
GO_0000820_7	topA//
GO_0000902_5	nirB//
GO_0000910_4	ssuA//leuE//menA//dapB//djlC//nudG//hscC//tas//maa//yjbG//gloA//proB//rnd//potE//lipB//mntP//frmR//rfaF//
GO_0000917_6	phnN//murD//mliC//lnt//rutC//
GO_0000918_6	nuoM//bioD//nlpI//gatY//
GO_0000920_3	mraZ//flgE//rhaB//adiA//alpA//
GO_0000921_6	ydgA//
GO_0000966_8	plsC//btuR//ecpR//osmF//
GO_0000967_10	gnd//ypdF//skp//
GO_0001101_4	yciV//rep//pdeK//yciF//arnT//ydiO//metL//cysK//sspA//yhjD//ralR//ubiI//rfbX//purF//yihI//rutA//mlaE//murP//ade//wecC//ubiE//gltK//waaZ//otsA//secY//arsR//
GO_0001121_7	aroL//purR//
GO_0001123_8	tdcA//
GO_0001124_8	moaD//
GO_0001407_7	narX//phnJ//rstB//ygbL//
GO_0001505_4	ansB//eutR//mdoD//potE//rluE//yebC//tktA//cspE//rne//nuoG//oxyR//hcaE//degS//rluE//clsB//nrfB//
GO_0001510_5	cobC//tktA//tsaE//yiaM//lptE//sgcX//sufE//tonB//intS//ybbN//rhlE//lpxD//ogrK//nlpI//yphB//purB//parC//clpB//nupG//chbF//murE//dtd//waaB//xseB//livK//yaiP//nagD//nrfD//fadL//hisM//arfB//hisG//rhaR//yqcG//yaaJ//lysP//ydcI//moaD//rpiR//tus//
GO_0001514_8	yjhC//
GO_0001522_7	yhdW//yihL//qseB//ykgO//yfeW//bcsQ//rfaF//ddlA//yiaN//glsB//solA//tabA//yihV//
GO_0001539_4	mtr//fieF//pykF//sfsA//argS//topB//ascG//kdgT//artM//pepQ//leuO//phnM//cydC//appC//dtpA//mlaB//trpB//priC//cysS//clpA//rusA//nth//frmB//rfe//cheB//adk//malE//fixC//envC//gmk//artM//
GO_0001558_5	pstB//yraI//prpR//cas1//uup//dgoK//grpE//nagE//
GO_0001561_6	yjeH//
GO_0001666_4	cadB//
GO_0001676_6	tsaE//htrE//opgB//
GO_0001680_11	ygeA//
GO_0001682_11	otsA//
GO_0001731_7	purN//
GO_0001762_6	elfC//
GO_0001887_4	puuP//yidR//ybcQ//
GO_0001896_5	cpdA//fadL//glcA//ccmC//
GO_0001907_5	lsrK//flhA//radD//mrdA//
GO_0001932_8	dhaK//yhbX//
GO_0001934_9	nrdG//
GO_0002047_6	yebS//dgoD//
GO_0002097_8	speA//uacT//macB//ybhS//exoX//mutL//yphD//trpS//metQ//atpC//aqpZ//zipA//sfmD//glpB//trmD//napF//rcnB//maoP//fucA//
GO_0002098_9	napC//yjbB//dinB//glxR//dusC//fieF//rpsL//paaC//iraM//gabT//hemN//yihQ//fruB//
GO_0002099_9	oppB//lysA//
GO_0002100_9	yccS//
GO_0002101_9	metR//ybhG//
GO_0002128_7	rplS//radA//narU//adiA//
GO_0002130_8	frwD//
GO_0002131_9	ddpX//
GO_0002132_9	sdaB//
GO_0002136_10	ytfE//
GO_0002143_9	sucD//ispA//ytfT//melA//yjeH//seqA//
GO_0002181_7	essD//yfcG//
GO_0002183_5	cyoA//
GO_0002184_8	ybfA//
GO_0002188_6	ybfE//
GO_0002190_6	rcnA//
GO_0002192_8	pphB//
GO_0002252_3	cysS//sbmA//fcl//fadA//rffM//melB//phoB//cysH//rsmF//yijE//
GO_0002790_6	rodZ//rsgA//cspI//ynjA//mntS//yebS//pldB//
GO_0002937_9	acs//
GO_0002938_8	lrp//
GO_0002939_7	elyC//
GO_0002943_8	rpiR//
GO_0002949_8	ompN//opgB//nuoE//narG//
GO_0003333_7	mglA//cpsB//folD//idnT//mmuP//frlC//mtr//caiT//cysC//ibsA//ligA//ygiV//serA//ldtC//garL//dnaG//rfaE//dsdA//rplI//truD//pckA//yieL//ygiN//putP//elaB//rbsK//gudD//pgrR//dgcJ//gabT//pstA//yhdW//yhdH//skp//dcuD//hchA//rbsD//frvR//cydA//yhfK//oppD//fieF//uhpC//hypB//yiaM//ghoS//insI1//kduI//uspE//
GO_0005975_4	focA//trmO//pykF//flgF//rihB//fecC//garK//prfA//atpA//nudC//scpC//allB//ybdN//glgX//frwB//dhaK//glcC//pldB//ybhR//lgoT//hyaC//recA//uidR//tbpA//waaC//actP//curA//holB//oppB//rfaD//hisF//araE//otsB//kdpE//yeiL//dsbA//flgF//yaiV//ycbV//dnaT//fliT//nrfD//dppB//nagD//mnmA//puuD//lpxM//arnT//npr//sanA//btuB//aroF//bdcR//yobA//holD//ykfM//rmuC//pgpB//hcaF//dbpA//ydgA//ldtB//tesB//queF//glvB//pnp//cspA//hemD//dapA//flhD//yejF//glpK//cpsB//lpxL//lapB//xylR//cadB//yoeB//def//cobC//srlE//manZ//soxR//glpD//cusF//xthA//selA//rpmH//nagB//puuB//casB//mcbR//ydeE//ffh//yihW//yhhZ//barA//glrK//nadA//hofQ//gatD//srlA//nanE//kdpA//leuA//yagJ//yifB//carB//pstC//ilvI//ycjP//ybbW//dcm//emrD//perR//uvrC//hdeD//yahD//ynfH//aceB//rplF//xapR//nuoG//pabC//rhtB//ykfI//tcyJ//ssuC//gspF//nemR//modA//gutQ//ptsN//rfbB//rhaS//pspA//iraD//map//ypdI//rpoD//yjbB//ddlB//mrr//rffM//nadB//mazG//fumA//mdaB//argC//msbA//rutE//yieK//pbpG//yqaB//torC//ihfA//mzrA//frwC//dapD//hisD//dam//rcnA//puuP//waaL//ygbM//uhpB//ycbX//rlmJ//oppB//clcA//sapC//nrdD//srkA//dgoK//grpE//ubiG//nfuA//agaD//evgA//yihQ//minC//orn//fdoI//envZ//tusC//mliC//rna//basR//ompC//yfcR//rnlB//ybhG//tdcG//glpF//nadE//cydA//mlaF//ung//yadK//cobC//fdnI//rluC//ydjL//yejE//proS//ygiW//mdh//panF//phnM//hinT//yigB//livG//yfdO//zapC//waaJ//ribF//mtnN//dcp//plsC//metN//stpA//etp//ssuB//gntT//smrA//glpC//kup//allC//insH-5//rpsB//envR//menI//zapC//yheT//otsB//gntU//fepE//panE//hscA//dcuB//casE//ybhP//ybaL//dosP//ybfA//ppsA//prmA//tcyL//yraN//ftsL//lysA//murD//eptC//dgcT//
GO_0005976_5	phnM//appC//adk//mprA//galE//nth//azoR//panE//yidE//ybhF//malX//cho//purD//tolQ//sppA//metR//yiaM//narY//ybhA//mutT//pepT//sxy//rsuA//rplL//epmC//dnaG//sodB//ycbB//mhpT//hemE//kdsC//trpD//elaD//ydiO//clpX//suhB//insF-1//yidE//ruvA//metG//tsgA//ycbB//fadA//ldcA//mngR//hycB//preT//aroE//cysN//glmU//uup//ubiA//asnA//mdtA//yoaB//hisS//dnaN//yafQ//mdoG//
GO_0005977_6	hyaB//ltaE//cstA//ldtB//dinQ//paaK//ytfR//ppsA//
GO_0005978_7	yadM//yqcG//yhhZ//mcrB//
GO_0005979_8	menD//
GO_0005980_7	gloC//glcE//fimG//
GO_0005981_7	rpmJ//
GO_0005984_5	yfgO//pepA//hupA//psuT//ugpB//birA//artJ//yhaV//rpsJ//rfaF//setB//
GO_0005985_6	iap//
GO_0005986_7	yqiJ//
GO_0005988_6	rraA//opgH//
GO_0005990_7	cueR//lysC//
GO_0005991_6	dcuA//pppA//csiR//ynfL//gadE//
GO_0005992_7	ligA//yggW//
GO_0005993_7	menB//cysH//lptD//
GO_0005994_6	tsf//
GO_0005995_7	elaA//
GO_0005996_4	lgoT//dnaQ//rplS//fiu//ahr//der//ybbY//ccmC//yhjA//ibpB//fis//truC//gnsB//gpp//hdeD//waaL//ftsH//leuD//priA//add//hycH//ptsI//fucK//fdoI//dam//flhC//ttdT//bioD1//corA//etk//infC//selB//yecS//arcA//idnT//gldA//paaK//ogrK//mmuM//tsaC//hipB//cfa//kdsD//yihI//wcaC//purT//mdfA//nadC//phnK//frr//yjaZ//fadE//sgbE//argD//lpxP//pstA//bglJ//murC//gutQ//fmt//ttdA//soxS//lysU//mltA//rapA//phoA//yhdJ//yahO//rhlE//hemE//tdk//ybgQ//uidC//rfbX//ptsP//aceF//rsmB//wzzE//putA//waaB//mdtO//hemH//
GO_0005997_6	aroE//
GO_0005998_7	purR//
GO_0006000_6	ynfK//uraA//norW//
GO_0006001_7	nmpC//metL//
GO_0006002_5	hslV//fumA//nikE//
GO_0006004_6	yeaD//fadE//pyrL//cpdA//napA//bluF//
GO_0006006_6	glcB//mutS//nirD//cpoB//crcB//crp//marR//cbl//yjaZ//amiA//hybF//yddA//yhjD//bisC//orn//yajQ//feoA//barA//ynhF//cof//prpC//yoeE//plaP//
GO_0006007_7	ybiT//yraN//rpsA//
GO_0006011_5	sodA//
GO_0006012_6	nuoG//znuB//yggW//yieH//psd//mdoD//btuB//ybcQ//secA//
GO_0006013_6	mltB//prmC//
GO_0006014_6	ybdN//glnP//ybeQ//
GO_0006015_7	tolB//ycjY//
GO_0006020_5	nei//
GO_0006022_5	insH-6//yahI//dsbG//dppB//yphC//ybcJ//rseB//mepA//relA//gltS//ynjD//uxaB//cheA//nadB//ybdH//rna//creB//thiC//dapB//paaZ//fadI//ydjM//rbn//malZ//holB//cynS//ydhJ//ybbY//cirA//ddpA//rplI//hpf//tyrA//iraD//lptD//fecB//truD//ybcQ//rep//clcA//motA//cusC//yibA//glsA2//murB//holE//fimE//yqcG//rpsB//artI//thiL//ugpA//napC//nuoI//narP//fryC//rfaE//paaD//paaJ//ruvB//sapA//tdcB//glxR//
GO_0006023_6	sxy//tisB//yccX//queD//arnB//ubiJ//speA//ycbB//fadR//hybD//ulaR//kdsC//pck//galT//dinG//moaD//yhaM//hisM//rsuA//btuC//ihfA//oppD//gutQ//ttdR//glnH//yjcS//ldcA//speC//nrdI//osmF//fliD//ydeT//arnE//rplN//epd//kdgR//ubiH//yphF//hybA//
GO_0006024_7	ghxP//uvrC//rsfS//uvrA//yqeA//ttdB//idi//raiA//yeaE//purF//nfi//ygeV//katE//ebgR//menH//yoaA//skp//emrK//narZ//cobC//yagF//rseB//epmA//glpT//astB//pflC//yfcA//menC//yahB//sgbE//umpG//proP//yeaE//zraR//atoB//mdtI//acrZ//clpA//rhoL//
GO_0006026_6	fadI//udk//kdsB//mrcA//baeR//yjeH//mlaC//pheS//yacG//hcaR//
GO_0006027_7	yegV//mtlD//sdhA//yehB//lsrB//ampD//dapA//curA//corA//ompF//
GO_0006040_5	iraM//opgG//ibpB//cobB//yeaG//agaV//tar//fucA//proV//entF//msrC//deoB//rplR//arnT//wecC//iscR//rplK//
GO_0006044_7	dauA//ydeP//fliG//yfdO//queF//
GO_0006046_8	rlmC//tpiA//nudC//mraY//
GO_0006047_5	yohD//clsA//radD//clpS//casA//yqjI//hofP//
GO_0006048_6	raiA//ftsZ//rfbC//yijO//yiaB//waaG//
GO_0006050_6	murE//
GO_0006051_7	dsbC//
GO_0006053_8	ybdO//
GO_0006054_6	atpE//rhaB//sapA//ugpC//yaiV//zraS//hdeB//
GO_0006056_6	thrB//
GO_0006057_7	wzzE//
GO_0006059_6	pntB//uup//ytfR//hyaB//
GO_0006060_7	fetA//
GO_0006062_8	tynA//
GO_0006063_5	rsmA//yhjX//mdtA//slmA//fecC//setA//prkB//ushA//yphB//
GO_0006064_6	yidR//pflC//lsrB//pgsA//ybdZ//ttdT//
GO_0006066_4	agaV//pal//bioD//yqiG//fmt//puuR//djlC//ygfZ//pinR//waaP//patZ//queF//bcp//cynX//cadA//sucC//ynfL//ypdA//prpD//umuC//hflD//pflC//hcaR//hemF//fadR//gstB//bsmA//frlC//dcuS//cbtA//insI-1//rluF//
GO_0006067_6	bepA//dbpA//ybhP//
GO_0006071_6	hcaF//yraJ//ldtC//rutA//menD//uidA//evgS//
GO_0006072_6	wcaJ//fdnH//zapC//napA//dsdX//
GO_0006073_6	ribC//mtr//fhuC//ecpR//sufE//mgrB//idnO//rfaQ//pspG//rpsL//mobA//ogrK//yjcO//yhhZ//rutR//panE//hxpA//priC//glnE//yghW//
GO_0006081_4	radA//pckA//topAI//rpnA//caiE//uacT//pal//yhjX//gpmM//ybcC//cmoA//yjcO//secA//greA//pta//gloB//degQ//bluR//qseC//gcvP//ibsE//ykgM//waaG//mntH//dhaK//lplA//rplQ//yiaU//aceK//yhdW//entA//aaeB//dsdA//lgt//glyS//nupC//entB//rpsG//leuS//yhdX//glgS//pntA//surE//yqhC//uspF//rplL//valS//coaD//cvpA//yceK//tsaD//dinI//cspB//galU//opgG//trpR//ghoT//trpD//rng//hcp//pgk//iaaA//sufD//ybiT//rfaG//rbsD//pdxY//
GO_0006082_4	yafO//mscL//yahD//gadE//fumB//clcA//yehW//wzc//ycjQ//secA//lrhA//cadB//nikR//rspB//diaA//oppB//creC//ribA//yqaA//elfD//rnc//setB//afuB//pspG//spoT//bolA//cysW//atpD//poxB//opgG//ybeQ//nusA//malI//gldA//betA//rcsA//nikC//phnG//gpmA//topAI//cas2//cdaR//lptF//lsrC//intE//oppB//nanA//sgbH//radA//argG//dgoK//gmd//ihfB//zraR//accA//ydcS//tdcD//patA//crr//aspS//rlpA//yieF//phoB//hxpA//dppD//creB//gloA//ompL//ymfK//ybfE//potD//cobC//mcrB//secA//wcaJ//sdhE//rpnC//ydhJ//yfcF//hinT//btuB//glsB//mntP//apt//mhpD//aaeR//tig//uxaB//ddpA//allC//ompT//yieL//yeaE//ghoT//rplP//yccA//yeeO//nupC//chaC//yjjW//flgH//fadH//bamB//ftsL//livK//aaeB//yciE//proW//nagZ//nuoH//ftsW//narQ//yabI//fadB//gabT//tusD//yagG//ybjC//ypdF//hxpB//paaA//viaA//yjhH//ccmE//rarA//sbcB//fabA//yiaU//allD//lipA//sufB//elfD//glpB//slyD//rbfA//araD//talB//garP//rcsB//dbpA//menA//mzrA//ulaA//yiaU//qorA//cydC//dam//polA//ratA//xthA//chbG//yjhP//mtlA//nhaB//mhpT//rutB//sgbU//yihS//ydiQ//rrrD//cysD//cheY//yiaN//bamA//pyrB//ybdZ//zapD//rseB//araF//codB//fklB//tatB//ygbL//hipB//lptC//yhiM//gatC//sugE//cueO//yfeX//opgH//ulaA//surE//ytfR//mepS//rpsE//nagK//ssuE//afuB//gadB//uvrC//purN//paaH//ldtE//cyoD//sfmF//fixB//ecpR//yidH//uspF//hypC//glnH//sdiA//ulaE//rodZ//chbG//mtlR//leuS//rihB//clsC//agaC//metI//rluB//rutA//fecA//chpS//emrY//ybaL//yobA//rpsR//tdcA//ykgF//avtA//ypdA//cyoD//argH//sdaA//waaL//fdoH//tolB//sfmC//napC//elfG//dppA//garR//ykgO//yjcE//wecA//cueO//yfjV//rpsD//ilvD//ompG//ycjQ//hybB//narX//xseB//asnB//sppA//ykgO//cysI//clsB//yceK//insI1//rihC//fdoH//fucI//gpsA//otsB//znuA//flgF//cysD//ygiN//accA//napB//rpmG//rlmL//ugpB//ascF//wbbK//ddlA//nuoH//hda//fixA//trmD//yceO//elyC//phnM//umuC//insH-6//yhdZ//rpsM//yedL//ymgC//cysD//atpA//yjjB//pabA//dicB//rimO//ugd//valS//ybiS//ydiP//ulaC//iscX//cmtA//rplI//tusD//allR//lolE//deoA//yneL//entS//hha//mazG//yafO//rclA//xdhB//amiA//glnS//pgaA//rfaH//cspI//add//yjeH//adeQ//nuoG//cysE//nrfD//ykgA//yabI//mobA//rihC//dnaG//yhhZ//ascB//ygaV//menH//der//ruvB//pgpC//uacT//leuC//acrZ//hcaD//rfaQ//potB//galT//ygbI//rcsA//nlpI//adiC//ydhJ//leuO//narG//nrdE//minC//gnsB//nanK//uvrY//macB//ybiO//ruvA//blr//rplY//tsaC//priC//mmuM//nfuA//fadE//rbfA//malG//dhaK//guaD//fryC//yfeR//ttdT//ampE//yfcS//rplY//prkB//nudG//cyaY//yaaU//adeQ//suhB//yiaN//mdtF//entA//mazF//cysZ//mog//rzpD//rnc//ispB//hofO//dtpC//glsA2//sfsA//gadA//priC//pepT//tdcB//rusA//uspG//rstB//argD//gudX//nlpD//prpR//ybhR//hsdM//plsC//pepT//iap//clpB//yhdZ//ebgR//trmD//yhhY//ppiC//dgcN//menC//uxuB//lsrG//yhjC//yihI//artM//dgcF//rhaS//glyA//cheA//sucC//ynfL//serB//sspA//glpC//oppB//hyaD//insB-4//hcaC//pflC//recD//ygaZ//srlR//csiD//entH//caiB//pliG//nuoE//ndk//yeaE//yebQ//creC//ynjA//pcm//glnP//ynhG//glnP//rhaD//alaS//glyS//mltG//orn//ulaA//radA//casD//grpE//accD//
GO_0006083_6	pstA//yiaU//cof//emrB//evgA//cysE//
GO_0006084_6	ptsP//mnaT//
GO_0006085_7	tcyJ//ydcZ//
GO_0006086_8	yfbS//
GO_0006089_5	atpA//yfcS//pncB//tsaB//hyfR//lhr//yfdK//nuoM//rlmM//kilR//cysQ//dadA//elaD//ypdC//tsaD//melR//nikB//arnF//aldB//ompL//ptrA//ssuC//ydgA//rsmG//exoX//ydjH//elaA//kdgR//tabA//
GO_0006090_8	potA//chaA//metN//insE-1//serB//menE//ptsN//tdh//zapB//crp//kch//ptrA//rplJ//nupC//dtpC//exuT//allR//yegS//fruK//pyrL//rfaH//ybaM//yeaE//bamD//ribF//glrR//yciG//nlpA//yhaJ//puuP//nrfA//
GO_0006091_4	eutK//serS//yijO//yedA//rcdA//alsB//rluD//minE//ybaE//torR//entA//nrfB//sbcC//yaiW//fdhD//proB//clcA//idnO//mutL//yebS//yieE//ybaQ//elaA//hdeA//mutY//uhpC//menH//mlaE//accC//yfbR//thiE//ileS//ycjD//ackA//nuoM//fcl//icd//actP//argS//pdxH//hisC//fliG//rnlA//aroK//sfmF//ydeM//ycjP//ygbN//hypC//bglJ//fryA//allR//eptB//lgoD//rhmD//gltI//manA//yidD//trkG//gppA//msrA//ribC//emrY//queA//endA//hypD//opgH//ftp//fdx//aroD//argS//rusA//bamD//cspA//yqiH//cysB//hsdM//sbmA//phoQ//yfbU//ribF//gcd//thiP//sulA//fecC//paaB//alaS//trpL//fdoH//amtB//sufC//potH//gltX//uspG//lldR//agaD//thiL//sdhE//tsf//ykgM//mgtA//flgE//zapD//hybE//accD//atpD//rstB//queC//hyaC//afuC//ydeI//hrpA//
GO_0006094_7	yidR//rpsH//proC//cmoB//ykgM//ubiJ//hupA//ynfK//ulaF//yjiX//
GO_0006096_6	plsB//metF//murG//ypdI//aroD//fimC//yccS//hemB//gshA//nanK//pmbA//thrL//pta//rpiB//yahK//yfgJ//livM//sgcA//
GO_0006097_5	sppA//cspD//fau//skp//emrK//
GO_0006098_6	rraA//cas1//ccmG//yjhI//tabA//
GO_0006099_4	fecB//mepA//araC//lolB//appY//sufA//bioC//rseB//ypdF//ybcQ//ydjM//hmp//yieH//yfiE//thrA//malX//arcA//
GO_0006101_6	ybdG//rhaM//rpsM//fruK//ybaT//yafE//rfaD//lsrR//tcdA//gatC//hemA//rpe//otsB//rfaD//sfmA//dsbB//insE-1//
GO_0006103_5	kdpA//yccX//dpiB//
GO_0006104_6	mlc//alr//znuC//
GO_0006105_5	speC//mhpD//flhE//hcaB//ompA//zntA//yedX//ydjL//
GO_0006106_8	zraS//
GO_0006107_8	ulaB//
GO_0006108_8	malI//paaX//ycfJ//hypC//rfaQ//
GO_0006109_6	ompF//glxR//eutN//yihS//nanE//trpS//araD//aas//uhpT//
GO_0006112_5	ydiO//nuoF//ubiC//kduI//yraK//yqgF//caiD//kdgT//
GO_0006113_5	ahr//bipA//rcsF//ptsH//uxuA//ghxQ//hisG//ydeI//soxS//recA//ldcC//aceB//pepT//
GO_0006115_6	yihS//
GO_0006117_5	yqjH//
GO_0006124_6	rpsD//
