#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	gapA//ldcA//ynfK//mnmE//
GO_0000966_8	selB//rffM//selA//fsr//
GO_0000967_10	smrA//dinB//mdlA//
GO_0001101_4	ybaL//nrfA//comR//rpsN//murF//hslR//ybcL//dapD//csgE//bssS//cobS//nlpI//cmoA//ybeQ//ascB//agaW//purL//adeQ//accA//insK//ompF//gdhA//thrL//queF//tadA//mfd//
GO_0001121_7	ynaE//rihA//
GO_0001123_8	rplW//
GO_0001124_8	glnA//
GO_0001407_7	ybiW//metC//trkA//cysC//
GO_0001505_4	ybiV//gshB//proV//dtd//ldtB//yejE//deoC//cynS//dmlR//djlC//yqeF//ftsI//flgC//yaaJ//yfaU//lgoT//
GO_0001510_5	cynS//ybjI//rluB//nmpC//uidR//uspE//npr//nrdA//ynfL//cpdA//ycjP//potA//moaD//hemG//ccmE//mhpD//yihV//pheM//fetB//sgcR//galT//yajD//amiB//ygcR//pyrG//basR//yfhH//nlpD//cpxP//fruB//rsmF//tas//ycdY//bluF//pntB//argF//dtpC//mtnN//endA//dnaG//
GO_0001514_8	ulaF//
GO_0001522_7	dnaK//bamD//yidZ//rplR//pspF//sgbH//gcvH//murB//narG//prfA//aroE//waaU//kdgT//
GO_0001539_4	osmC//kbaZ//cutA//yfgO//trpD//paaD//selB//opgB//apt//ghrB//rffH//cueR//csiR//fimD//menB//ybjL//ompW//yafS//lolE//yddA//hisF//ulaE//cspI//focB//ortT//rpnB//entA//betI//asr//rmuC//pepT//
GO_0001558_5	manX//mraY//rplR//hycA//tusB//ybiT//sucA//mhpA//
GO_0001561_6	rluE//
GO_0001666_4	lipB//
GO_0001676_6	hypC//ilvH//pdeF//
GO_0001680_11	frwC//
GO_0001682_11	mngA//
GO_0001731_7	ytfP//
GO_0001762_6	pmbA//
GO_0001887_4	waaU//phnG//yjjW//
GO_0001896_5	rspB//murR//glmU//pbpG//
GO_0001907_5	yfhM//pdeH//adhE//lpxK//
GO_0001932_8	cpxA//thrS//
GO_0001934_9	atoC//
GO_0002047_6	gutM//ybaE//
GO_0002097_8	mdtP//fetB//pppA//suhB//pspG//yhdX//tatE//fau//flgD//nrdB//bfr//argI//dgcT//slyA//vsr//yqaB//galU//appY//fucA//
GO_0002098_9	yoeB//potB//sucB//dsbB//pgaC//sodA//rrrD//sapA//accB//rplX//insI3//glnL//treC//
GO_0002099_9	metL//cmk//
GO_0002100_9	btuB//
GO_0002101_9	ybaM//rplP//
GO_0002128_7	tilS//acrE//ybgP//nupX//
GO_0002130_8	mpaA//
GO_0002131_9	livG//
GO_0002132_9	maa//
GO_0002136_10	dppF//
GO_0002143_9	sdhB//cydB//ydcM//cobC//lysC//yfcG//
GO_0002181_7	dacA//zipA//
GO_0002183_5	cvrA//
GO_0002184_8	ybiW//
GO_0002188_6	wecB//
GO_0002190_6	hisB//
GO_0002192_8	dicB//
GO_0002252_3	prfB//sufA//btuD//cysU//ivy//alaC//ymjB//yqhD//yiaB//uxaC//
GO_0002790_6	ydiR//mpaA//tamB//phnH//rpsP//hyaC//ibaG//
GO_0002937_9	fepC//
GO_0002938_8	obgE//
GO_0002939_7	uhpA//
GO_0002943_8	grcA//
GO_0002949_8	cas2//glpC//rhaB//rihA//
GO_0003333_7	fadD//tatB//phnO//yhbO//hflK//galM//ndk//sulA//gltP//norR//argS//glmU//chbF//gshA//ymfK//yciA//panD//waaQ//ykfM//sgcX//mdtO//amiA//narX//argO//purT//yehX//melR//matP//pth//gatA//recF//yfdG//fetB//ygaH//yhdZ//lpxC//phnH//rpsI//paaG//dinB//tcdA//hypF//hyfC//ymfA//gatD//mgtL//endA//rplO//purF//
GO_0005975_4	yacG//lsrG//folA//gor//atoS//yajO//elfG//wecA//fbaA//dcp//rutR//thrS//yggX//yqgF//rplO//maa//yegT//phnI//htpX//galU//glmS//gltB//folD//hypD//yfiF//gapA//gabT//ldrB//glsA//gcvH//proV//ppc//rtcB//cbrC//ttdT//paaK//yidZ//mglA//tdcF//envY//osmE//glyS//ybgQ//adiY//ybjD//zapE//citT//rpsM//yhbQ//csiD//ybhP//hycH//fucK//yiaF//cysK//kilR//bsmA//secA//rpnA//waaO//atoB//ftsN//dcuS//cspD//caiE//ettA//eptC//ycjP//yafS//fdoI//perR//aphA//kdpC//cysA//rpmC//groS//ybgI//hybC//rutC//eamB//btuC//zwf//prlC//oxc//ybeQ//cmtA//ygiB//pfkB//betT//mtr//lpd//ftsQ//dauA//cysQ//ydjE//cusR//evgA//dcm//yddM//surA//mlaD//holD//appB//rlmJ//pldB//fimC//hycI//menD//csgE//nth//dppB//yqgF//dusC//rna//fimC//gsiD//hha//entC//lsrA//yggF//frlC//cpxP//allC//ribF//asmA//dcd//rstB//rimL//rseB//opgC//aroB//der//ychF//queF//ydjM//cspA//yjiR//rnr//mdtP//yjbE//fimA//waaL//hcaD//yggT//ghxP//ptsH//nupG//fcl//der//hypE//yfgI//recR//yaiP//pspA//torS//adeQ//yggT//lsrA//lldR//ettA//rho//ybjD//gldA//cyoB//rlmD//ppc//ttdR//ttdA//yfcV//cirA//potC//gcvP//yraK//sfmD//yihL//yjbG//cmoB//yfdK//entH//ybhJ//speB//yjjX//pdeF//deaD//hemC//ahpC//mtlD//scpB//lpxD//trpGD//fadK//rsmF//nikR//metR//mqsA//rpsT//ulaG//mqsA//narL//clpS//ftsW//glvC//ubiE//idnK//sufE//ygiW//iraM//lldD//nhaR//yhbY//aroA//ccmC//yfeD//cca//ispF//mmuM//motA//nagD//hicB//yeeY//modC//gmhB//dusB//uup//araB//ycbB//ycgB//yjjV//leuE//rsmH//rraA//dacA//rcnR//yafE//yehZ//allB//rbn//ybaT//yfjR//amiD//ygbL//ymgC//rimJ//yhjA//mreC//yhjX//qseC//sgrR//secE//mreB//yagJ//tamB//dicB//setA//
GO_0005976_5	ampE//ynfL//trpS//der//cusA//yiiE//epmC//macA//guaC//potE//flgH//flgD//folE//sdhA//fbaA//yidK//yaaJ//opgG//pdeL//brnQ//lolD//rcnR//tdcE//msrA//hda//gfcE//srkA//rarA//elfD//yciT//lipA//treR//cas2//yfaU//araC//rutC//tsaB//lacI//ascG//uxaB//dacD//cpoB//yieE//glnH//ligA//maoP//rpoA//yhjD//rcsF//clsA//tsgA//aslB//yfcU//glvB//ftsI//upp//gnsB//speB//tufB//
GO_0005977_6	etk//fucA//btuF//yiaL//cdsA//ybcQ//rfaC//abpB//
GO_0005978_7	yedP//ruvB//sapA//rluB//
GO_0005979_8	rna//
GO_0005980_7	cusS//rssB//thrL//
GO_0005981_7	sseA//
GO_0005984_5	cspI//fadK//ulaR//agaV//mdlB//secF//agaI//hokB//gatY//bamD//frdD//
GO_0005985_6	yphD//
GO_0005986_7	zipA//
GO_0005988_6	matP//yfhH//
GO_0005990_7	rcsC//fepA//
GO_0005991_6	yraJ//glgB//araD//srlR//rnt//
GO_0005992_7	yfbR//galU//
GO_0005993_7	yegD//envR//yafS//
GO_0005994_6	lolD//
GO_0005995_7	tisB//
GO_0005996_4	rnhB//uspC//gltD//pdxJ//rimO//yhaC//chbG//sdhC//ttdB//kbaZ//seqA//yaaY//ratA//tolR//tufB//shoB//exuR//rcsF//glpG//sgcC//secD//gmk//argI//yeeO//fryB//rbsD//tus//rffH//lysS//selA//nagE//dnaA//hmp//lapB//ribD//secE//gapA//yqiH//sdaA//yebS//yidL//alsB//lysP//allR//rlmH//cdgI//yabI//araE//mukB//elyC//nfi//bioA//miaB//yaiW//sufS//glcE//panB//yjbG//plaP//rplS//dacB//sstT//ldrD//sxy//mnmG//rsgA//ypdB//yfaX//manY//csgG//selA//ydjE//ydcT//tcyL//fumA//gloC//cobT//citX//proC//aroB//cydD//yfdG//
GO_0005997_6	recQ//
GO_0005998_7	mepS//
GO_0006000_6	yhcF//iscX//phoQ//
GO_0006001_7	cheB//hyaB//
GO_0006002_5	hycB//slt//prfC//
GO_0006004_6	ybhR//clcA//ddpA//modA//cycA//yfcS//
GO_0006006_6	fes//pyrF//pinQ//yheT//sbcD//stpA//mepM//nikE//sucA//rpsR//aroA//sgbH//mgsA//ybeY//rdgB//ssuA//hipA//ybdR//rpsM//dmlR//fruA//ydhK//yidZ//
GO_0006007_7	ttdR//ybiJ//recE//
GO_0006011_5	bioA//
GO_0006012_6	hflK//yidA//hypC//manZ//fimA//flhC//ggt//ybfE//ppsA//
GO_0006013_6	rpmE//ycfL//
GO_0006014_6	csiD//kbaY//rhaB//
GO_0006015_7	narY//tauD//
GO_0006020_5	rzpR//
GO_0006022_5	ilvD//srlR//cbrC//torA//cueO//bioP//wzzE//essD//phnM//lptC//rluD//serA//eptA//kdpD//atpA//bamE//frdD//fadB//mgtA//tktA//dsdA//rfbX//lacZ//rplS//yihQ//rhaB//manX//dtpA//torR//dmsB//cyoD//phnI//araA//macB//envR//nikB//trkA//mtn//gadB//oppD//poxB//rpsO//gatD//epmA//ilvI//entH//wzc//alaA//mrdB//emrE//flhD//citE//waaF//flgJ//corA//rep//glgS//yqgF//alsC//opgH//focA//fetB//talB//
GO_0006023_6	atpH//nagD//cpxA//rclC//bsmA//purD//rhaB//envY//yejE//psuG//ymfK//elfA//pykA//pgsA//agaR//torI//pdxY//srkA//agp//gyrA//btuC//yfcA//ppk//gapC//rseP//flgK//lapA//rhaB//aroG//idnK//yqgF//waaL//rhtA//tusE//atoC//yfdK//ygaV//htpG//prmB//
GO_0006024_7	tktA//evgA//gutQ//glcC//umpH//obgE//pfkA//dxs//amiB//pepA//alsK//tyrS//yehP//ftnB//speB//argK//garR//rplW//lldP//tatE//dnaT//ppc//oppF//cobU//gadA//nanC//decR//nirB//cutC//rlmC//mug//ychO//hiuH//edd//mltG//ybjI//kdpD//ybdG//hisI//
GO_0006026_6	moaE//lnt//cheA//ynaE//ampG//rhtB//kdgK//bamA//ldrA//rcsA//
GO_0006027_7	wzyE//zipA//hisH//tcyP//pdhR//chaC//phoB//citE//dgcF//speC//
GO_0006040_5	tatC//sgrR//ybjG//rutB//yagI//rseB//ispH//gluQ//ftsZ//mntP//entE//dsdC//fruB//tdcR//cusF//gsiD//prfA//
GO_0006044_7	lsrA//cstA//ulaR//trpB//fpr//
GO_0006046_8	hemF//fadR//lpxC//gltS//
GO_0006047_5	tabA//glpB//lysO//hokE//rpiB//fadI//amiD//
GO_0006048_6	msbA//rfbB//prfC//sseA//mrdB//ftsN//
GO_0006050_6	ykfM//
GO_0006051_7	holB//
GO_0006053_8	yiaF//
GO_0006054_6	fetB//aroC//paaC//yhaV//cdh//rarA//speF//
GO_0006056_6	pnuC//
GO_0006057_7	rffC//
GO_0006059_6	bioC//yjgX//rpoS//bioA//
GO_0006060_7	insH-6//
GO_0006062_8	nadC//
GO_0006063_5	uhpC//asnC//pheS//napF//fdx//yghG//nagD//fabD//tas//
GO_0006064_6	rfe//ybgQ//lysA//folM//recJ//alr//
GO_0006066_4	hemE//ubiD//cobC//rcsD//rne//artI//aroH//yiiM//csiR//rhsD//folE//cueO//hslO//artM//zipA//apaH//glcC//hinT//rplM//lptG//ygeR//pphA//msrB//ybcQ//lysS//gsiC//gltB//yfcG//efeO//blc//recT//tonB//
GO_0006067_6	ampH//narK//zinT//
GO_0006071_6	blr//fur//dgcE//nikB//cpdB//fimD//dgcM//
GO_0006072_6	mmuM//waaH//setB//hyaC//glcA//
GO_0006073_6	hipA//mltF//yehW//rbsK//ptsG//frvB//prfA//lpxL//ybfE//pphA//dicC//ygeV//fimA//ybjD//deoR//slmA//uspE//opgG//fimH//fliL//
GO_0006081_4	yhaJ//ettA//pinR//yhcH//deoA//yhdX//fixA//yciH//qorA//speA//torR//tdk//pitB//rimJ//prpC//xapA//yggE//yidL//ugpE//ynaE//frlB//nfo//proP//tusC//gshB//lpxH//ftsP//xerD//nrdG//ubiA//uvrD//mngA//yciE//tpx//dcp//narX//ubiE//acnA//emrY//kdsA//astB//sdhD//yiaF//yfcQ//helD//adhP//yehP//mdtA//insH-5//yjbG//mutM//hyi//artJ//eamB//cheW//ybjC//dcuA//dut//ycgB//ynfL//sufC//yphB//gabP//bluF//ybjD//tag//trmO//
GO_0006082_4	trkA//yehU//ispU//wzc//leuO//sgbU//zupT//gatY//yidA//atoC//bglB//ygiS//ykgM//bglJ//ccmD//msrP//uspC//dsbA//panB//lsrA//cutC//yieE//polA//argA//arsR//degS//galS//fadI//cas1//pitA//guaA//tyrS//emrK//pgpC//ygeX//lpd//nudC//ynbC//cpsG//tilS//yqcG//mtlA//pdxA//entD//yggT//entS//yehC//nadE//ydjJ//metF//frlB//dgoK//arfB//lipB//phoQ//lhr//clpB//modB//rpnA//mntS//aceB//iraM//atpG//yqaE//yiaU//nirD//sdhE//cirA//ubiF//prmA//ycaN//dsbB//mcrA//yjfF//agaD//galK//mtlA//tig//cysK//degP//ispF//nanA//sapF//cynT//wzb//bcsQ//sdhB//ydiO//oxyR//pdeR//citG//yhhZ//atpF//tpx//prpC//kdpA//yadM//ydaC//insI-2//uxuA//ycjR//sohB//rbsA//nudB//oxyR//kduI//ygiB//cynX//yceK//rfaB//dcuS//yfhM//wecB//yghW//abgT//rbn//cspB//pabC//kdpE//acnA//tsaB//fhuF//agaI//ydjE//bioP//glgS//mhpB//potH//mrp//cpdB//guaD//fis//thiL//yjiY//mtnN//cdsA//yjhG//perR//hda//mcrB//waaF//mqsR//gsiA//hicA//malP//htpX//mcrA//agaA//tusB//dgcQ//ubiF//dacA//nfo//lpxH//fhuC//rplM//eptA//trpD//prmB//frmB//waaB//ldtC//yraR//mgtL//wrbA//pinQ//glpT//pepQ//solA//arcB//marR//menH//sdhD//ydcT//accC//amyA//dhaK//bioH//orn//pinQ//ybaE//ybjX//aldA//cbrA//trpR//sdhB//zur//yjaZ//lpoB//mog//pdeR//mltC//dmlR//yrdA//cysG//yfcS//mdtF//ydcI//tdcA//ibpB//flgB//rsgA//hprR//ygcW//yqiG//argE//cobB//yihO//rplS//uvrD//sdhB//mdtJ//xanQ//ydiK//yebC//yihW//tdcG//mhpC//pheP//pntA//ygeR//yjgX//cmk//add//cyoC//tmk//yhaC//purC//idnK//hupB//aldA//proV//mtr//chaC//yehT//yccS//ssuA//moeB//araH//yfdC//bsmA//ldcC//frr//fdoI//ftsP//gpmA//leuS//basS//wecA//dinG//pgaB//mngB//hcaR//bisC//valS//pyrF//rcnA//lldD//yhhY//greB//ilvC//pdxA//ulaG//yefM//ahpC//lacI//nrfD//cmoM//phoP//pstA//comR//evgS//fhuD//relA//proX//ispA//hycH//fhuC//gudP//tatB//eutA//bglH//cpsG//rplB//yjjW//pstB//gadA//livF//pta//rcnB//ascG//mreC//amyA//sad//tldD//rspB//yeiL//tsaB//ycbU//ybhD//betA//xylG//alaC//treC//aidB//hns//yfcR//ampH//nrdG//kdgT//aroD//yehW//gpp//yneE//cmk//tag//fruK//ynaE//rpoS//thiH//acs//glcC//livF//ompF//ycfH//ygiV//hprS//xapA//arfB//yeiE//yccS//phoR//cpdB//arsC//cueO//hxpB//bcr//fadK//rpsG//prfA//ygiS//cysD//cusA//bamB//ypdC//dcyD//ptsI//torC//hemC//ymjB//bhsA//msrA//dcyD//mdtJ//acpS//rpnA//deoA//rpsI//rfbB//lsrC//der//groL//ybgQ//gltL//hxpB//ilvB//yadG//rcnR//iclR//alsC//recG//yheT//intA//trpS//yceK//baeR//yejF//purD//gatC//mtnN//lgt//fabB//gadB//alaS//gstA//rlmG//rlmN//potH//lgt//allS//csdE//yeiE//aaeB//wcaC//miaB//ybaQ//glgS//hcp//xapA//perR//ffh//fdrA//gnsB//tatB//flgI//ybiO//tusA//cspC//trpGD//mglA//cusF//rhaB//cydD//torD//pdxH//rnhA//ybhF//leuS//gatC//lgoT//yaaJ//rnpA//nac//fau//ptsG//yphB//puuA//osmF//aroK//paaH//glgB//speD//mreB//nudF//manX//ygbN//blr//ycbX//rplN//bcsQ//elaD//nirD//yidR//udp//fabI//sdiA//frwD//rplL//fnr//waaF//sapB//folM//nanR//asnA//uxaB//tktA//ivbL//gatA//alaA//rplY//
GO_0006083_6	cspC//ymjB//fdnH//ppk//exuT//fkpB//
GO_0006084_6	potI//csgB//
GO_0006085_7	ydcO//yehZ//
GO_0006086_8	trxA//
GO_0006089_5	ibaG//galP//secY//iscS//pyrH//panF//uhpB//bepA//ldhA//ycbV//agaA//umpG//yiaJ//ycjY//oppA//rutC//metR//galF//kdgK//gcvA//fliG//tcyL//wzzB//trmO//hflD//tdcG//ldrB//waaJ//cirA//
GO_0006090_8	fabH//yeiG//ycjP//ahr//glnQ//yehD//folM//ybfA//hsdR//recO//betT//adiY//yjjV//rpmF//hscA//gapC//mdlA//lpxL//tehA//cmoA//atoC//flgE//kbaZ//smpB//chbF//caiE//glmM//yiiD//fliL//fur//yieL//
GO_0006091_4	pykF//yihT//sspB//artM//afuC//fimC//dosP//yahO//entF//cobT//ais//udk//tusD//ykgA//dcp//chbF//mdtO//hdhA//yhdJ//ftsL//rcsC//yjbE//rplB//dmlA//norV//lepB//yiaO//trg//ratA//dnaK//sapD//narJ//mtnN//bdcA//ybeF//ydiR//proQ//insB-4//yebS//topAI//ccmG//maeA//acrE//holA//elaD//ldrB//waaS//yidA//ydaN//pgpC//mcbR//tufA//mdtL//yiaL//waaY//yiaO//insH-5//yhjD//sdhA//garK//glnK//mdtL//serB//gdhA//ygcO//kefF//pyrG//uacT//mmuM//ttdR//ddpA//ssuA//topB//eco//etk//ymdB//acpP//yhbS//malK//dacB//ydeP//oppA//nikR//pdxB//rraA//pyrE//rapA//rstB//luxS//rpoH//dmsC//proC//argS//yhcD//frvA//hdhA//yojI//yraJ//infB//yhcH//metH//pbpG//ycjW//yegS//nuoG//rhmR//clcB//btuD//speB//feoB//yihI//der//
GO_0006094_7	napB//clpX//guaA//dinB//melA//lrp//fes//xylR//yehU//yeeO//
GO_0006096_6	ampD//uhpA//yohC//opgH//htpG//ydhC//tisB//bdm//yieF//srlB//bioD2//yfcP//sufA//glxR//yafQ//rplN//dnaA//polA//
GO_0006097_5	dcuA//csgG//rpnA//rpsJ//yaaU//
GO_0006098_6	dctR//lsrR//citT//bhsA//xylE//
GO_0006099_4	flgI//yfdS//ybhF//mngR//mlaC//ftsQ//rbn//yehZ//ggt//ftsY//pabC//guaB//creB//rfaC//yraH//yjaZ//dnaE//
GO_0006101_6	rstB//xanQ//yehB//pck//purC//yibF//yicJ//malX//qseB//ybaE//hsdM//mutS//ychF//cheW//yiaF//trmO//ackA//
GO_0006103_5	ydhC//srmB//murJ//
GO_0006104_6	dcuA//hisB//folD//
GO_0006105_5	rhlE//murQ//feaB//recA//waaF//eptB//frdC//mdtD//
GO_0006106_8	etk//
GO_0006107_8	gadA//
GO_0006108_8	yhcH//lamB//rpoA//rfaD//dhaM//
GO_0006109_6	ycaO//aer//iscX//yphD//flhC//ydeI//mmuM//ftsY//phnJ//
GO_0006112_5	melR//ycjP//rihC//yihU//lptF//narG//yhaC//xseB//
GO_0006113_5	hofN//yneJ//glcE//cobU//ispU//galT//glpA//lit//yqiJ//uvrB//rzoR//rpsH//deoR//
GO_0006115_6	moaD//
GO_0006117_5	pflC//
GO_0006124_6	gspI//
