#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	rsmJ//trmB//hldE//iraP//
GO_0006066_4	frwC//mlaF//lptG//udk//yihT//dmsB//nlpI//murJ//hdeB//yaaJ//ldtA//waaQ//pitB//nusG//bfr//trpE//yrbG//gpsA//zntR//dosP//wzzB//fadK//btuE//slyA//yegS//yihO//ppx//hcaB//gpmA//nac//crl//cysK//
GO_0006067_6	thiC//ygiV//chbF//
GO_0006071_6	asnA//adhE//lpp//yadG//kgtP//aroK//rnb//
GO_0006072_6	tnaA//bdcR//ygaZ//folA//hofQ//
GO_0006073_6	cpxP//basR//garK//bolA//rarA//malG//plsC//waaA//adeP//ribD//envZ//tolC//mdlA//metQ//entF//alaC//pheT//yneJ//plaP//ettA//
GO_0006081_4	uacT//sgbH//ribF//ykfM//hyaA//bglH//intF//eno//hiuH//crcB//znuB//tnaB//wzzE//pdxB//yjfP//dnaQ//yphC//panF//galR//recJ//ompA//pspF//sgrT//hofM//ascB//lpxH//galT//cynX//yfdO//glnD//guaC//hybD//marA//hofQ//ppsA//ybdG//yqaB//yqjI//pgi//oxyR//yceD//surE//rcnB//hupA//gspI//tusB//hsdM//cydD//elfA//lacZ//dut//envZ//ybhA//kilR//ldtC//paaJ//paaA//ydjL//yedP//flhD//rutR//rbsK//menH//prmA//ydeT//frc//ndk//
GO_0006082_4	ykgM//rtcB//dhaK//pgl//pinQ//lhr//tnaC//mfd//ldcC//fdoI//ugpA//csgG//xisE//ubiJ//ibpB//spy//yhdX//ampH//yehB//narI//eutK//yqiH//mdtL//miaA//ybbY//ydaN//relB//rho//murE//mpaA//dcp//tnaB//speD//trkA//potH//mngA//hslU//rhaS//fdnH//rfe//ispH//ompA//garR//gltB//cheB//dcuC//cof//leuC//yfeD//trpE//ulaG//yccX//mqsR//bglH//minC//hisP//cysA//yeiL//yjiY//ygjK//kdgT//hemD//gcvP//rsmE//mdaB//mgtL//yehU//moeA//purF//pabA//sxy//yccS//folX//nrdH//cptB//hyfA//fur//sdiA//ftsI//ftsZ//pal//paaA//pagP//lysO//rlmJ//rnlB//ycjR//fabB//ruvA//pliG//paaZ//waaB//rfbB//tnaB//gatY//btuC//sufS//hfq//hemL//yfdR//gsiB//bfr//smpB//srlA//fryC//yaaU//higA//tus//rbsK//phoQ//feoC//galT//livG//pflA//yahD//mcbA//glnK//kefG//ackA//zntA//hemG//vsr//alsA//rbsC//udk//rpsB//mdtF//appA//potB//yijE//sbcC//hyfA//uspC//kdpD//nmpC//napD//glk//nrfE//emrK//yfgI//tatC//purC//ycdY//casC//elaD//otsA//ptsI//ispH//rffC//rusA//torS//agaA//dcuB//ada//argS//xapB//era//sgcX//dapD//cpdA//yeeY//ycjU//dcuS//rpsK//ybjC//alsB//pheA//hypD//cobU//yaiP//lolD//trpGD//yddA//yidH//chaA//btuE//gyrB//pepT//rpsT//potG//mscL//dnaX//yhdX//livJ//yfcP//nudB//aes//ynfL//ibsB//abgA//argA//otsB//sdhC//yggN//yebZ//aas//yfjR//rzoD//nanK//rraA//pta//csgF//insI-1//rsmI//ybaQ//msrC//dauA//sdiA//hyaD//rzpR//psd//gpmA//mngB//epmB//yfcQ//kilR//rhtA//gltL//brnQ//leuC//acpH//crr//ybaT//purN//yphB//yraH//cysE//mutH//yjjV//hybA//codB//gsiC//holD//gcvA//cobS//chbG//qseB//mcrA//nanR//plsB//waaS//lnt//ssb//yeaE//tusD//eutB//cpxR//sdaC//glcF//qseB//purD//coaA//thiE//tolR//surE//yhbS//menF//pheS//viaA//appY//fadR//lepA//lsrB//chbA//sucB//eptB//ompR//nrdA//fucK//syd//ybdR//rho//nagB//hprR//modA//yqjI//cheA//mocA//cysK//ycbX//yqhD//malK//tdcD//yfdG//ynfH//tolR//nemA//prlF//deaD//dfp//waaC//dcuR//bioH//yiaN//rlmL//yihQ//recR//dgoD//eamA//purB//panZ//rnhB//waaQ//yaaJ//lrhA//mdh//cpsG//fliK//xapA//yhfS//hisG//ydbD//gudP//rcsA//gstB//ilvM//frmB//trmL//ybhA//elfD//yafS//rpiA//nemR//gapA//dgcJ//mipA//bisC//prkB//pgrR//clpB//ptsN//glnE//ykfI//deaD//fumB//gabP//lplT//cpsG//trkH//rplN//mmuM//trxA//yejE//grcA//nuoF//yihL//avtA//tauA//yajQ//rayT//rimM//add//yfdG//ycgR//kdsC//insB-2//emrD//baeS//fabD//asmA//rclB//cpsG//yhjV//cydC//pstA//eutD//ruvA//wecC//mdtC//pheT//yedA//yhgH//atpC//sapD//lysR//mocA//pck//nuoF//hpt//osmY//ssuE//pdhR//shiA//fabR//hipA//nadE//mhpA//nac//yibH//gpt//dadA//mdtL//ygiB//ubiB//aphA//rpnC//trmD//nupC//sucA//mnmA//hemC//xseB//glpG//yihR//lldP//plsB//rplF//yphB//arcC//nupX//uspG//umuC//fbp//araA//rppH//yabI//mdtK//sfsA//yjiQ//mug//arnF//ykfM//yfeD//phoP//yfgO//yceD//sapC//mcrA//mlc//ftp//nanC//stpA//lapB//queG//fliL//greB//pbpG//sufA//yraI//ggt//fadL//thiP//dcuR//ilvL//feaR//mtr//dinQ//yfaL//queD//paaF//fdnG//mdtA//mreD//msrP//rpiA//cynT//trpD//lepA//pstA//ybiY//
GO_0006083_6	ibsC//hpt//deoC//ndk//msrP//rhaM//
GO_0006084_6	tsaB//flgC//
GO_0006085_7	alaC//hrsA//
GO_0006086_8	tsf//
GO_0006089_5	alsA//yieH//pheA//melB//kdpD//cra//ilvE//topA//alaE//pinE//narH//hinT//aaeB//yadN//ruvA//dsbG//gdhA//lipA//cobC//cydC//yagI//oxc//thrA//yegS//msbA//fau//rpmF//pflC//murG//
GO_0006090_8	cmoB//icd//fumC//ypdF//csgG//trmJ//tyrR//pgi//setB//fdhF//yajL//flgF//cmk//yccX//caiE//qseB//pbpC//mhpD//livK//prmB//cbrC//ilvN//hybF//rclC//nimR//dkgA//atpF//sdaC//dppD//purR//kbaZ//
GO_0006091_4	radD//potI//gabP//hpt//lldD//mdtO//cmk//mutT//yfaX//rcdA//yddA//selU//yjiQ//pstB//treC//cspI//dsbD//araC//sulA//accD//yodD//cynS//yqiI//hisC//nuoH//minD//btuE//ycaO//yhcF//ttdR//yghU//tnaB//viaA//xanQ//soxS//ligA//crfC//srmB//barA//ebgR//yeaE//kduI//osmC//yiaB//mltG//yfcR//ubiF//iscX//cpsB//nrfC//cmoM//ybjI//rfaE//mqsA//gdhA//ybhF//fimF//pdeH//rplW//pstA//casE//relB//yaaJ//ygcW//yibH//argI//fabG//ldrA//yifB//artM//era//ugd//xylH//araD//ybiY//dnaB//aroB//yigL//yegS//mdtI//rna//ptsI//pagP//yfiC//aaeR//glmU//sufS//qorA//mdtE//csdE//ubiB//ycgB//rsmF//cspD//lplA//prmB//rhaR//hisM//gltS//speE//yfcS//phoR//dinG//kefF//adiC//fucO//cysP//cysI//srkA//araB//frsA//mrcB//
GO_0006094_7	lpd//hybC//yadK//nhaR//uxaC//rnlA//rhaM//nlpI//sspB//glgP//
GO_0006096_6	trg//znuC//crfC//ydfD//cysK//blc//ybdZ//msrC//yebQ//yrfG//ppsR//queF//mepS//sufE//ftsY//rpoS//putA//murJ//
GO_0006097_5	fepD//ydaN//fumC//glnS//frc//
GO_0006098_6	dtpA//citG//dmsA//kefG//uspG//
GO_0006099_4	ygcW//fhuD//iap//gapC//ynfE//garD//proB//yqiG//ykgF//rfbC//yhhY//kdpF//glmM//frc//hokB//moeB//thiD//
GO_0006101_6	pgpC//dcuC//cadB//cytR//vsr//yggN//flhC//galU//nrfE//ispU//ugpB//nupX//ariR//aroP//intS//ilvH//yhbO//
GO_0006103_5	argD//tsaE//insB-4//
GO_0006104_6	waaS//rnlA//ftsN//
GO_0006105_5	pyrG//cysN//hycH//degP//ybcM//barA//htpG//nusA//
GO_0006106_8	rzoR//
GO_0006107_8	ycgB//
GO_0006108_8	rplE//hicA//rbsD//sthA//codB//
GO_0006109_6	yfcG//priA//puuB//yheT//grpE//ibpB//ilvE//lsrR//uxaA//
GO_0006112_5	yjaZ//ydjK//glnB//yjaZ//pyrC//ybaT//gutM//yejA//
GO_0006113_5	cmk//hybE//ribB//recC//yqgF//cmk//ldhA//fimA//flhE//relB//ubiH//mdtG//dhaR//
GO_0006115_6	appC//
GO_0006117_5	mngR//
GO_0006124_6	phnG//
