#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	cmtB//lgoD//sucA//rluB//
GO_0005976_5	metR//rpmE//yeaG//katE//yeeO//fimZ//ydcZ//ybcL//mdoD//rpsP//hslU//eamA//iscU//ypdI//trmL//fabA//gltX//fabZ//pgm//yidE//yccA//alpA//rppH//viaA//nagA//ebgA//dadA//argF//higA//abgT//kdgT//ilvL//grcA//dmlA//psd//nagZ//cbrC//garR//ftsL//ybaL//cobT//ycjQ//rlmA//ygiS//glk//frlC//rdgB//asd//tgt//rraB//ygfX//frdD//rsmA//malG//cytR//oppA//tas//pepD//yaiP//
GO_0005977_6	rplJ//tsaB//acrF//wzc//thrS//nrdR//araD//alaC//
GO_0005978_7	ytfR//bdm//yhcD//rpsN//
GO_0005979_8	nuoB//
GO_0005980_7	yaiV//rplC//gltI//
GO_0005981_7	ykgM//
GO_0005984_5	yeeA//ytfP//fes//rsfS//dgcQ//exuR//citG//mdtK//mraZ//tauD//mazF//
GO_0005985_6	ygiW//
GO_0005986_7	allB//
GO_0005988_6	cpxP//acrF//
GO_0005990_7	xylH//ybjN//
GO_0005991_6	hyfA//yqiH//galK//ycjD//yidH//
GO_0005992_7	nudC//opgB//
GO_0005993_7	alsB//rapA//agaW//
GO_0005994_6	lolA//
GO_0005995_7	appY//
GO_0005996_4	waaF//rarD//cusA//gsiD//ybhG//ydcZ//viaA//yqiI//aaeA//qseB//elfG//lacI//nuoB//cheW//lpxB//yadN//psd//sucA//fadE//topA//insI3//aldB//yfhM//rne//dmsB//rmuC//yjjQ//yhdJ//ligA//ygiW//ybdM//msrA//fdhF//ackA//folX//ydgA//ydiK//serC//ghxQ//sdhD//gmd//yefM//uidA//caiD//zitB//exoX//rpmB//nanC//nei//intA//ydcS//smpB//cysA//marR//leuO//gntR//elbB//cbpM//rbsC//galR//menD//yidC//gspF//livM//ycaN//aer//eutR//btuC//rcnB//intZ//yabI//sufB//cof//ytfT//rsmA//pgpC//fucP//atpF//yejE//adiY//trkG//pdeH//
GO_0005997_6	hdfR//
GO_0005998_7	speB//
GO_0006000_6	yqaE//bhsA//dhaM//
GO_0006001_7	modA//insB-4//
GO_0006002_5	thiQ//pdxB//hdeD//
GO_0006004_6	sbcC//yqgB//ftsN//mcbR//yedX//baeR//
GO_0006006_6	ubiD//creC//sufE//purC//yihI//yhfS//aroD//uxuR//rcsF//fmt//dcyD//mhpD//rpsO//tcyL//orn//aslB//gor//ilvB//btuR//dsdC//yhdX//nfuA//yoaB//
GO_0006007_7	galF//ahpC//putP//
GO_0006011_5	yiaT//
GO_0006012_6	cspE//yfaE//kgtP//nrdI//fixA//nlpA//ispA//rpsI//ribF//
GO_0006013_6	mglC//uxaC//
GO_0006014_6	bssR//groS//sgcC//
GO_0006015_7	rfaF//hmp//
GO_0006020_5	ftnB//
GO_0006022_5	rfaB//cdsA//hns//eptA//alsE//trpA//dtpC//potA//ybiW//csiR//ttdB//tadA//hdeD//tus//apt//symE//tsr//cysW//cheZ//dsbG//viaA//ffh//uacT//dnaE//nrdH//yeeA//corA//rbsC//tdcA//arcC//macB//dgoA//ldtA//rpsN//ampD//ompT//yihX//dusC//ykfI//yadG//cyaY//aspA//yahI//ompL//cydB//csiD//aroE//elaB//gyrB//bisC//cynX//mioC//yfeD//msbA//rspB//ppsA//gcd//iscS//pinR//fimG//djlC//ibsB//pgaB//
GO_0006023_6	glgA//ydiP//recE//aas//amiD//nikB//fadH//mrcA//artP//ada//cdgI//leuS//bioD1//mglB//ltaE//fumA//acrD//ybgP//fdhD//leuA//hycH//mreC//fepG//yjjV//ybcJ//ligB//speG//alkA//yahF//metR//rzpD//ypjD//phoQ//dld//csrA//ydfG//waaY//leuB//pta//
GO_0006024_7	rffT//hokE//hyfR//uxaB//fabG//clsA//glmU//ispG//fepC//lpoA//guaC//ygfZ//yidL//mobA//yjhH//rpmE//ulaD//waaQ//sutR//yibT//yafC//ydhQ//yqiJ//agaV//ravA//ubiF//rng//pnp//ampD//nupC//araG//nuoG//fbaA//mlc//ykgO//ddlA//fadH//yceD//nmpC//
GO_0006026_6	gabP//dsbA//ugpC//ftnA//pfkA//waaS//phoA//ydjL//rpmB//gatA//
GO_0006027_7	sgbE//acrR//iaaA//hemD//entS//ldtC//purL//mpaA//ygiW//rplP//
GO_0006040_5	guaA//hyaC//adeQ//narP//hchA//garP//caiD//dpiB//cusC//caiT//dicC//pspF//cas2//rsmB//fdoG//tbpA//yiaT//
GO_0006044_7	hscA//yibH//rplK//mntP//yidR//
GO_0006046_8	rhoL//gpmA//tsaB//frmB//
GO_0006047_5	ascF//ftsL//kefF//gspF//iraD//ydfH//dsdC//
GO_0006048_6	purT//radA//secB//pheM//insK//fetA//
GO_0006050_6	ybgQ//
GO_0006051_7	insI1//
GO_0006053_8	murA//
GO_0006054_6	nhaR//fecC//bglX//nlpD//cydB//dut//chbF//
GO_0006056_6	csgA//
GO_0006057_7	mmuP//
GO_0006059_6	hisH//rlmD//putA//ygjH//
GO_0006060_7	zraR//
GO_0006062_8	prkB//
GO_0006063_5	fucO//gcvR//mlaC//pcnB//mliC//ykgO//ilvN//umpH//gsiA//
GO_0006064_6	rhtA//melA//ydiF//ispB//glcE//accD//
GO_0006066_4	tap//mdtF//csgB//tktB//purA//nuoI//yiiE//proS//leuB//ydbD//ybdZ//bamC//gadW//zapE//fdoG//artM//dhaR//xthA//yajO//yfiE//hdeA//lgoT//ycfH//tauD//modC//polA//ydaN//yahI//ssuA//ogrK//phnG//ybhD//
GO_0006067_6	yehU//csgA//gltB//
GO_0006071_6	allR//ibsA//sdhB//lamB//ydcM//recR//cueR//
GO_0006072_6	torI//frvR//sgbU//opgE//mntH//
GO_0006073_6	msrB//potA//gadB//mtfA//cspB//yagJ//waaG//dgoK//allC//ampG//chiP//yibF//yfcQ//elfC//argA//bglF//rbn//rlmH//dtpA//insH-5//
GO_0006081_4	modC//amiB//codA//ytfP//rplX//ftsA//rbbA//katG//tatB//acpH//dsbB//ebgA//cbrA//agaA//torD//yqjA//gcvP//aroH//csiR//uraA//insK//sufC//zapA//hemA//ubiE//ydiB//galT//yaaY//dnaG//ugpC//ubiD//rffM//preA//ybbW//aldB//cbeA//rstB//mdtL//nrdH//leuD//dgcN//fre//rfaE//trkA//ykgM//atpD//rfbC//yjaA//nudC//ymfK//pabA//allR//glxK//relB//yjjV//sucD//lptB//fhlA//glcE//rpsE//rplP//frsA//cas3//lacY//yebQ//gsiC//phoU//
GO_0006082_4	prmB//yjbB//rplJ//ais//araA//hcaT//lyxK//ansB//yhjG//pfkB//higB//fetB//ygfX//dbpA//yihV//abgT//corA//sufE//rpmE//potC//pheM//yahF//hybA//slyA//ybjC//nadB//rplI//creC//yihI//osmF//waaC//hchA//yahO//rsfS//mutT//eutK//recR//nupC//yeeL//phnO//yghB//vsr//fliK//abgR//cheZ//chaA//creB//fdnI//opgD//degQ//glsB//pth//hypC//dsdC//nrdB//yjhI//nadE//dgoK//atpC//acpT//yjhH//cysP//yciE//ccmA//erfK//yebC//insI3//betB//yhdW//frdC//tdk//agaW//mfd//cheZ//agaS//lldD//ptsP//glgB//ssuB//yafO//serC//yiaF//napC//bioH//yidD//fryA//narP//panE//ybiH//ridA//xisR//ampH//elfA//znuB//hflC//pgk//mdtD//fecD//yajL//yfiF//hyfA//nagD//thrL//ispA//yqeG//csgA//pgk//glvB//cbeA//gatY//ybcF//yhjD//acrA//mdfA//manY//yheT//rcdA//hinT//bipA//rlmC//nac//sfsB//secY//yeaD//narH//hpf//yehP//ydcI//acnA//ydiO//wzzB//preA//dsdA//pth//fliA//yeaD//queA//ygeR//nrdR//tusA//nuoH//xerC//sgcB//ygiB//psd//sseA//decR//ydhQ//dapF//sodB//ispB//yheT//argF//ygdG//parE//sgcC//parC//gabT//cirA//sdhB//tauC//yebK//lolD//yehP//flgM//ycbU//emrK//kilR//agaI//queC//lysC//yccX//fucK//yccA//thiI//rfbX//tsaC//mutS//yiiE//bcp//insH-6//efp//casB//ybdH//yahK//ubiJ//yjfP//lpoB//hcaD//serS//argI//holD//ldtB//pgaD//mepM//prpD//sdhE//folE//epmB//yjaA//trmD//rhaR//msrQ//rpsO//nadK//yiaL//rffC//pheP//mdaB//katE//hypA//frlB//agaV//recG//ybcF//ppiD//csgD//dhaL//yggX//mtgA//ycaN//thiC//rutR//yebK//ybcC//ygeW//oppC//bioA//talB//pspA//glvC//narZ//azoR//cyoC//yhbQ//malE//yjhI//yehU//yeaV//dpiB//gstA//bioP//yadK//hokE//hipA//pdxY//rpsD//astB//cysZ//glsA//glyS//tnaA//rpsG//nrdI//cmoA//ushA//ygiV//dpiB//rplC//lsrG//rodZ//bdcR//yjiQ//gsiB//narY//lepA//hslU//sucC//gapA//citT//nanE//ygbN//tdcF//ilvB//ybaM//yqjH//ghoT//gatB//ade//rpoH//puuR//rutC//yoaB//ychF//cysE//soxR//msrQ//sseA//accD//yddM//tolB//hisP//ftsQ//yciG//fdhD//ogrK//ygiS//pnp//dsdA//yafE//ttdA//uup//modA//nadC//ybjG//nuoM//rpsH//mraZ//mmuM//frvR//dinG//nhaB//degQ//fliZ//agaC//flhD//mutL//rplY//gltB//pheM//npr//puuR//ispH//dppD//ybcF//rsmJ//rsfS//yneL//dadA//dtpB//hflD//xylG//carB//sufA//yagJ//ycjU//macB//idnK//trpE//asr//trxC//rbsK//mdtJ//pheP//lit//rlmJ//ybgQ//torY//glpC//mtlA//gntR//pbpG//gpt//rcsF//nrdH//dusC//mnmE//ttcA//yhhT//ydeT//rnhA//gluQ//gcvA//gntU//pyrL//ydaN//phr//mdtE//rusA//metL//narZ//uvrB//vsr//rraB//acnA//sucB//hdeA//yfbS//fecA//ulaE//ulaG//nuoB//rnr//cueO//fabH//yehY//hycH//speD//dicA//ynhG//yjgX//secE//ykfI//yaaA//polA//amtB//yieL//polB//fdoI//polB//asnB//betT//fliK//lexA//rffH//matP//cas1//iclR//cyoD//cusF//eamA//mglA//cpoB//abgR//fmt//dkgB//glcA//fimA//modA//ligB//yciF//malS//ydhC//ddpX//ghoS//yiiD//fdoG//ppx//ilvM//ampD//glrK//potI//mutM//yejA//rnc//frvB//dps//elfD//nlpI//entH//galT//dtpC//yhbO//hicB//abpB//osmE//vsr//paaD//mgtL//glnB//yrdA//endA//qseB//glnH//emrE//tehB//nusG//gutQ//ycfH//rpnC//
GO_0006083_6	mhpD//rpmB//ydiF//csdE//purT//ygfX//
GO_0006084_6	mdlB//hypB//
GO_0006085_7	narX//yhbO//
GO_0006086_8	dauA//
GO_0006089_5	yeeL//yhjR//yajO//hycH//pabB//ynfH//tyrS//leuE//msrP//grcA//dppD//raiA//ttdT//selB//clcB//gltD//mglC//recB//yhdZ//ppk//fdoI//rplT//exoX//dsbG//flhD//purC//rffC//ghoS//agaR//
GO_0006090_8	dmsA//hdeD//pgpA//phoA//mtn//nudG//degS//cmtA//ileS//hyaA//entC//rclC//glpB//shoB//kbaY//cdsA//aroP//dnaK//yfeX//proS//rzoD//tsaD//iscS//selA//xylB//fadR//ychH//lgt//phoE//btuD//yobF//
GO_0006091_4	ftsX//rclR//yccA//arnB//mlc//kbaY//mhpT//yieH//ydfK//sapB//yjjB//ybbW//paoC//rstB//yigL//soxS//yehT//aceA//trpGD//mdtE//bipA//abgT//chbC//surE//kefG//yhbY//paaG//puuB//leuE//yceD//gluQ//nlpI//tesB//ybeF//mntR//yafC//potI//paaD//lysR//rhaT//rhaM//ybdN//speA//galF//rpiB//entB//kch//pta//acrB//parC//nrfF//yidA//kbp//galS//rffM//coaA//uxuB//ycjY//sdaA//ydaV//ivbL//glcF//glsA1//hofQ//nac//lldR//degP//aroD//tusA//mdtP//speE//mak//kefG//umpH//acs//lamB//bamE//uvrD//fruA//yggW//pspG//pck//hisB//dnaQ//rplS//rzpR//recC//rpnA//gltI//sgcA//rplY//fliK//adhP//emrB//ptsH//wzyE//btuF//degP//adiA//yfcR//argG//tdcA//cusR//fabA//ymfA//ydhQ//afuB//nudG//ptsH//thrC//zraS//ybhR//
GO_0006094_7	sufC//glsB//yiaM//setB//intA//yraJ//nadA//mliC//htrE//yjjB//
GO_0006096_6	citT//murJ//tyrS//tauB//mdtF//fecA//thiM//truD//yhjC//folC//artI//paaG//insI-1//ldtA//paaZ//rcsF//accB//narJ//
GO_0006097_5	sthA//yebG//tpx//cobU//yhdX//
GO_0006098_6	dgt//ftsH//iscX//nrdE//moaE//
GO_0006099_4	ybhA//ldtD//pspC//sufS//mdtB//ydcM//phnP//mdtL//rplX//symE//groS//ynaI//narI//menH//gppA//ynjD//ugpA//
GO_0006101_6	iap//puuA//spy//ygeA//ycgV//miaB//pta//iraM//gmd//ybiX//nimT//ldtE//radA//rplC//ilvD//dxr//ulaC//
GO_0006103_5	yidP//yjjB//efp//
GO_0006104_6	pepT//fimZ//ada//
GO_0006105_5	dgoT//gpr//hxpB//groS//ptrA//glnB//rbsB//asnC//
GO_0006106_8	ldrB//
GO_0006107_8	osmY//
GO_0006108_8	dmsA//proW//fcl//relB//rsgA//
GO_0006109_6	rlmL//mcbA//kdgK//mgtL//rstB//murJ//bglB//ydiZ//mdh//
GO_0006112_5	ygdG//secE//yraH//ravA//rpiB//ynjA//def//ugpA//
GO_0006113_5	yehB//livF//ynbC//dgcQ//clcA//ftnB//phoQ//yajD//ndk//tamB//dnaC//dusB//lysA//
GO_0006115_6	ldrD//
GO_0006117_5	metR//
GO_0006124_6	pstA//
