#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	ydhJ//yeiL//mug//eutD//
GO_0002252_3	relE//dicA//flhC//norW//ftsW//pflA//miaA//apaH//yghB//gadW//
GO_0002790_6	yjbF//mtgA//cheR//lptG//sdhC//ybaO//waaL//
GO_0002937_9	cedA//
GO_0002938_8	rapA//
GO_0002939_7	sixA//
GO_0002943_8	ttdB//
GO_0002949_8	yacG//yabI//hofM//ydhJ//
GO_0003333_7	spy//ddpA//xseA//ugd//lolC//gpt//ybgI//hemG//treR//cpsG//paaB//malP//gfcE//ldrD//yhaM//gltS//ssuB//deoC//mnmG//ymfK//dsbG//hisD//rpsJ//thiM//emrY//cmtA//lnt//pliG//rnb//lpxK//sdhB//ybiX//pdxJ//ralR//dsbC//basR//ribD//ldrD//yoeB//sapB//secD//dnaN//aaeB//gadC//fadL//yehB//ydhC//coaD//yiaM//
GO_0005975_4	potF//idnT//ppsR//codB//tatC//ihfB//gcvA//bcp//fpr//waaH//mlaB//mnaT//thyA//agaW//mscM//radA//rpmA//mdtJ//slt//narQ//ebgR//rcsB//dxr//yhaM//rplN//argB//folE//cheY//ybaL//yfhM//ypjD//bdcR//rbbA//lgoT//lsrK//ycfH//yijO//pcm//ydfK//fepB//surA//elfC//msrC//seqA//ygiN//eptB//pitB//aroK//rpsQ//clpA//grcA//fepC//fdhE//paaG//norW//yidE//ecpR//corA//bglA//mutY//yijO//bglA//yeaE//menD//ariR//yihT//pphB//tilS//patA//cmoB//elaB//yqgB//frlA//lsrR//ydeT//gabP//yfcA//gadB//opgC//casC//cheZ//cdsA//ispA//emrB//yeaE//phnH//yhhZ//yphD//pliG//cadB//yiiE//mlaF//zinT//sdaB//prmC//folA//yqjH//csiD//mrp//gmd//accC//nemR//ybdG//ybgP//yegT//tus//potB//ymgC//nikR//yfiE//tolC//fdoG//purF//glcD//brnQ//yeeJ//yaiV//ydcM//elyC//ftsI//tig//tolR//adiA//rbn//metK//iraD//garL//idnO//sfsB//garL//tsaC//rclC//lysU//kdgT//ttdA//hemH//yifB//clpB//argG//corA//narP//htpG//relA//essD//dinG//frmB//dhaR//galF//dnaE//ybjL//elaD//yeiG//nhaA//lsrG//pyrG//ompC//yciV//aspA//torD//fliS//rpsD//narJ//lsrG//ydaC//ndh//allB//rusA//ghrB//glsA2//mdoD//epmC//hybO//yeeA//torY//glsA//thyA//cpxR//fhuF//moaC//emrY//rpmE//rdgB//mdfA//rpsJ//yeeO//sucB//trmH//hxpB//abgR//tatE//appA//rcnR//thiH//nrdG//lhr//acrZ//mnaT//frmA//cysD//npr//mltG//nuoE//insI3//rluD//purF//sufD//adiA//kbp//crcB//yeaE//yfcG//truA//ppx//fdx//ascB//malS//ydbD//fhuF//murG//yiaO//eutK//yghG//hemL//mrdA//metC//epmB//luxS//pflB//gspE//fhuD//mntH//torY//mltF//ybjC//sodB//recQ//cobU//pyrG//htrE//arnF//mdtK//yjiM//thiH//pdxH//ahr//hflD//selB//mhpB//nudC//tsx//rhaB//uhpB//ppk//yehC//
GO_0005976_5	rssA//ibpA//iscU//murJ//fabD//yibT//yfaE//bdcA//rplR//idi//cobT//gabP//yihL//ymgC//yjjB//sugE//alkA//rsmF//bdm//ycbB//decR//bioB//mobA//hflX//pbpG//yiiM//araG//yqeA//katG//pepQ//flgD//yqaA//sfmF//acrE//apaH//uvrC//mnmC//prpB//mtnN//yfiC//ralR//lysR//lpd//higA//proX//vsr//lpxH//pspF//livH//yrdA//rcsF//cmoA//bsmA//phoP//amiA//yadG//waaZ//nagK//intZ//
GO_0005977_6	qseB//yfiC//ftsE//leuA//fucO//zapA//nikE//fhuB//
GO_0005978_7	truA//yihW//flhC//cmoM//
GO_0005979_8	narZ//
GO_0005980_7	argE//yfaV//ybaL//
GO_0005981_7	hcaC//
GO_0005984_5	prfB//lhr//cheW//adhE//flgC//sdhC//potD//glrR//speA//macA//gyrA//
GO_0005985_6	yfhM//
GO_0005986_7	argO//
GO_0005988_6	ghxQ//ilvE//
GO_0005990_7	malZ//maa//
GO_0005991_6	ycjU//dcuA//mhpR//ratA//ligB//
GO_0005992_7	rffC//trmL//
GO_0005993_7	htpX//dnaQ//rpsL//
GO_0005994_6	mdtB//
GO_0005995_7	ybiV//
GO_0005996_4	rnhB//eutK//dgcE//pdeR//ygfA//cspA//kbaZ//yraH//sucC//mpaA//fmt//hisA//fiu//pyrG//rnpA//mug//pliG//purF//rpsD//guaB//mnmE//fdhD//dnaG//ybcJ//ssuA//secE//elyC//recQ//mscS//gluQ//accA//hinT//intQ//flgJ//gltB//arnT//otsB//ygaZ//thiP//wza//dnaB//yphD//zupT//gntR//rutB//lspA//yhbO//galM//araE//fimH//hprS//dapA//uidA//tdh//ubiJ//soxS//chiP//menI//rrrQ//chbG//aroB//ygfZ//yfcS//nuoB//trkA//tbpA//modC//kdpA//fur//ibsB//ebgR//rplQ//trpL//argT//pyrG//rlmI//murC//tnaB//lpxH//trmB//pabA//dgcQ//
GO_0005997_6	rnpA//
GO_0005998_7	rnc//
GO_0006000_6	torY//amiC//ppiC//
GO_0006001_7	rpoE//glpA//
GO_0006002_5	gntR//rof//rcsC//
GO_0006004_6	intS//lldD//deoR//dnaA//potF//crfC//
GO_0006006_6	dppB//gltX//dsbA//srlE//tsaC//fepE//adiC//mutS//ybaK//hdhA//cysA//osmY//ccmA//yfaU//hisF//yhdZ//uvrC//yciT//comR//bacA//amiC//minD//gmd//
GO_0006007_7	yecS//rpmJ//asr//
GO_0006011_5	yejB//
GO_0006012_6	basR//yahD//phr//nikB//acs//yajQ//cobB//leuE//greA//
GO_0006013_6	yidD//nemR//
GO_0006014_6	yedP//hisS//bamA//
GO_0006015_7	ybjN//ydiO//
GO_0006020_5	proQ//
GO_0006022_5	ibsD//yjhB//fliS//grpE//ymgA//bglX//kdpD//rluC//waaZ//artQ//lpxB//entS//cpdB//rfaH//ycfH//potA//nikA//agaB//hofM//tsaE//rplL//mraZ//orn//aspS//waaL//ybaK//guaC//ycjR//rssB//insA-1//ychO//ygeX//yobF//mgtL//rclA//ybhR//pgpA//mdtI//ltaE//rimP//arnB//ulaD//pgi//tdcD//dcuS//malG//rcsC//tadA//paaB//ilvM//cheW//dcyD//rpnC//yhjX//narI//gpp//mraZ//gcvA//eutK//ycgR//citG//sdhB//yneE//
GO_0006023_6	yijO//acpP//insH-5//phoA//puuD//dgcE//rseB//nuoE//deoA//yajQ//prs//malG//acpP//sapB//pitA//fdnH//ptsP//tdcC//zupT//ybcF//rluA//zupT//ubiI//menB//malS//mcrA//manX//yoaB//gor//uvrB//htrE//ycaN//sspB//rnt//guaD//yfhH//brnQ//tcyJ//fadL//
GO_0006024_7	gppA//nuoL//panF//pstS//fimG//recO//paaA//secD//hicB//livF//tonB//higB//dadA//ycaN//ilvE//acrA//bioA//mutL//eco//araA//pgpC//yihR//deoR//yhaC//nadK//yiiD//sfmC//barA//menF//fimE//ydeT//oppF//malQ//puuB//rpsA//gldA//dxr//iaaA//treA//
GO_0006026_6	yjiA//csgA//glcA//priB//atoB//rne//rcnB//smpB//chbF//hipA//
GO_0006027_7	rutF//fdx//ydjJ//dnaT//ybaL//leuS//fkpA//epmB//bioC//ravA//
GO_0006040_5	amiA//selA//mcbR//yjbH//malX//pstS//uspF//fadK//lldR//rmf//rseB//bamE//tilS//yqjI//elaA//ahpC//rlpA//
GO_0006044_7	oxyR//ptsI//pphA//livG//fabB//
GO_0006046_8	ptsN//appY//eptB//ygcO//
GO_0006047_5	priA//selA//maoP//ygaZ//ugpE//intA//thiM//
GO_0006048_6	iscX//yihU//yfcQ//mdlA//zur//ampD//
GO_0006050_6	xylH//
GO_0006051_7	ompT//
GO_0006053_8	entF//
GO_0006054_6	yceK//pstB//mrcB//thrB//tdcD//eutR//nth//
GO_0006056_6	zraS//
GO_0006057_7	ndk//
GO_0006059_6	dinD//acrD//dhaR//malP//
GO_0006060_7	epmA//
GO_0006062_8	ibsE//
GO_0006063_5	eptA//fabA//ydcP//hisF//ykgM//soxS//nhaR//mglB//citG//
GO_0006064_6	mppA//hda//rplE//argC//yjiY//hemC//
GO_0006066_4	yciV//ydjL//dauA//mdaB//lacZ//leuC//chaA//iraM//citT//nimR//msrB//yibA//ahpC//allD//shiA//dsbA//tsaE//rlmD//narP//hcp//fepB//moaD//tsaE//ynjA//eptC//hdeA//mlaB//dinB//mepA//citG//galF//ypdC//
GO_0006067_6	pinR//metK//uhpA//
GO_0006071_6	rbsB//ycbV//fliA//yphD//ecpR//opgG//ftsX//
GO_0006072_6	gpsA//groS//glpD//ulaR//narG//
GO_0006073_6	hha//agaR//abgA//prlC//gfcE//nanT//sfmH//fhuC//ycfH//yfbR//tdcB//ubiH//ycjP//yiaT//fumB//rcnA//yjiM//yiiM//nanR//nupG//
GO_0006081_4	tolC//sufA//rimM//arsR//aceB//gldA//ldrA//carA//yigL//hda//nudB//dgcJ//brnQ//xylR//hemL//ydjJ//sbcB//kefG//malP//mdaB//zipA//nadA//kdpF//fucK//dkgA//rhmR//trxA//yneL//waaZ//yjjW//ycjD//tmcA//ycbV//hprS//manA//lpxP//pspC//speB//uspE//purB//ibsE//lolC//phoE//fimG//fliA//cysW//yebZ//yjiR//mepH//bioD//alaA//rhmD//topAI//mreD//ada//bcp//rhlE//sspA//yidC//yhcD//fhuD//gadE//ypdI//aas//rplC//hisM//ecpR//
GO_0006082_4	tatD//deoA//recR//gloA//rutD//yfeW//nadE//lit//insA-2//tatD//yiiD//fimE//yidH//yfiE//rnb//metR//dinI//ssuE//gpmM//ibsC//ispU//hprR//yehA//hflK//yfdS//htrE//dtpB//mtlA//rnlA//fetB//yfgJ//purR//yjaA//roxA//lasT//yddM//nuoL//yedX//yfcQ//polA//yggT//ycgB//yehD//ltaE//yhbY//pspC//trmJ//recO//nuoF//purB//dxr//hfq//frvA//mhpT//rsmI//ygaV//adk//nhaA//yihI//matP//yagI//yrfG//arnF//yjjI//sxy//murE//gadX//hypA//yadI//iaaA//yceO//rcsA//ycjU//ulaC//yfeD//cmtA//bamA//ldcC//yehP//queC//sseA//cspA//ynbD//cca//dsbC//speB//fliK//arcB//speF//aroA//atpH//ubiG//hyfA//serS//lpcA//malS//ybiS//pgaB//narQ//lamB//fic//mglC//ubiF//agaR//opgC//mngR//casA//cvpA//ycjP//trpE//nikB//flgH//rfe//ridA//pncB//idnO//frdC//rutC//uxaB//sfmH//proX//add//deoB//prlF//yegS//ilvM//fliK//iap//yahO//gcvA//fdnH//entA//gph//araC//nupX//yiaU//yqeA//mdtB//glgX//yehA//amiB//mutM//phnJ//gpp//hokE//fdhE//xseB//yaaA//yhjV//hcaC//ltaE//rluD//agaA//accD//uhpC//sfmA//adeD//gatA//sutR//yedP//yedA//gcd//treB//iscR//dsbG//surE//uspC//lptD//acs//feaB//rutA//crr//sdhB//dppC//gloC//ppc//feaR//pfkB//rarD//gsiD//iclR//rhaD//murQ//rplS//ydcZ//yaaU//argD//yjiR//sgrR//ygiW//fmt//glmU//cobS//gapC//tehA//nikC//ytfP//yqeF//ftsN//xanQ//pstS//focA//yggT//alaA//hemB//ddlB//hxpA//leuD//yjhB//frvA//guaA//envZ//yieH//speF//fhuD//tsaC//ftsZ//dedD//yfaV//hsdR//nfi//fryA//tdcR//rhlE//dgoA//frlC//epmC//cvrA//emrE//cdgI//lysP//lptD//pbpG//alaA//dtpA//ubiJ//acrZ//mngB//bglH//hemD//hdeD//seqA//speF//pgrR//kdsC//bglF//mpaA//murJ//pliG//yojI//htpX//citE//kdgR//yieL//pdeK//fabG//nupC//gltL//cyoC//melA//pspG//dedD//lpxK//ygaH//ybgQ//yghU//carB//yahD//rlmL//mglC//fsr//mrdA//modB//der//entC//gnd//dtd//torI//nikA//tldD//cysS//ydhJ//flhD//yejF//yedX//ydfD//acnA//fucA//bluF//gadX//yiaM//fliM//iraM//rutG//paaA//leuD//yihU//fepC//lgoR//thrB//betI//pcnB//pstA//fliA//yagJ//chbF//rayT//ytfE//tufA//pyrB//yggF//alaA//hofN//lpoB//tolC//miaB//scpC//macA//murC//tusD//rlmE//maeA//garL//dhaL//paaG//evgS//uxuR//arnA//yiaM//hycI//dinB//metB//ulaB//uvrD//adeP//umuC//ghoS//fimH//mscK//argF//secD//poxB//ribF//yadI//elaA//gntR//napF//pepB//secM//gudP//potE//yoaB//yjjB//nhaB//narW//gutM//ybiY//phr//ibsC//iaaA//yfgO//yjeI//purC//lysR//rplY//waaG//hfq//pfkA//ulaD//ymgF//fabR//yqgF//yoaA//fis//cspC//dmlR//yhcN//macB//preT//lspA//dnaC//sad//dppD//nrfC//fhuC//sufA//exbB//yhjV//ybaQ//dhaL//aroD//bsmA//tesB//fliG//hslU//dmlA//ycaO//sufB//nrdR//dsdA//essD//yjaA//bepA//yejB//mdh//zapD//ompL//yjbF//mug//cusR//potC//yphF//fliT//yciV//folA//hofC//dgcE//insI3//paaD//mprA//ydjL//purC//mcrA//cobC//carB//proX//waaP//ynfH//yhaJ//speA//rhtA//elfC//nuoG//zapE//ecpR//lldD//gldA//gshA//ycbB//nupG//xylB//uvrC//fimZ//ybjN//glnQ//alaE//glnS//ydiK//mltC//hemG//cpdA//yjhH//ulaD//atpB//pstC//mak//rutG//afuC//uhpB//suhB//
GO_0006083_6	hybC//appB//ompL//rfaQ//ldtC//ynbC//
GO_0006084_6	rihA//ynbC//
GO_0006085_7	fepC//yfcG//
GO_0006086_8	purD//
GO_0006089_5	glnS//nanR//luxS//yeaD//nfo//chaC//wecC//eamA//nupC//abgR//mdtA//rimM//fdhD//kilR//ybeY//ykfI//fdnH//yjiA//rimP//arsC//bdcA//fmt//yfbV//yahK//mtlR//entE//adeQ//glcE//cysN//
GO_0006090_8	yigL//hflC//yafC//dtpA//uspG//ydjH//ygeR//tatE//ymfA//mdlA//wecE//tdh//solA//dcuR//rsgA//sdaA//mdtL//ybcQ//relB//trpD//kbp//bcr//crfC//glgC//sfmC//yehT//mobA//yjcS//lpd//torD//ftnB//
GO_0006091_4	glcA//yjjW//fre//yjcE//mraY//aroH//sucC//ybgQ//modA//ydiR//waaC//creB//ykgM//gsiA//ybiT//tauB//murC//yfeO//cas2//argE//ulaG//ldtC//csgE//stpA//coaD//ykgA//yhjV//rimL//proS//flhA//trmL//fimB//dhaM//tsgA//dicA//yobA//purF//kdgK//yejE//rsmA//araF//cpxP//cdsA//nmpC//ispA//pgm//hicB//torS//fur//caiB//opgH//otsA//tolB//ulaD//soxR//yehU//ompC//lsrA//zntR//allC//gspF//ariR//trpGD//glxK//yhfK//cusR//tatB//panC//ybbN//fabB//napC//zinT//alaE//waaL//lpxP//tnaA//truC//preA//rluE//lrp//fdrA//rseC//paaE//fryB//citC//yggN//fecD//ygeR//nanR//folE//hipA//amiB//tcyL//cspD//sufE//hofN//chaC//ispU//tsaD//gspI//trmO//recT//ymgF//yneL//ispG//adiC//ynjA//rcdA//waaQ//cmoM//rcdA//aspA//
GO_0006094_7	eutB//cspG//mdh//yiaF//betA//lsrG//lpxL//secD//ddpX//dinQ//
GO_0006096_6	arnE//cyoA//nadD//ompC//pheS//livG//hslR//waaZ//yhjR//mreD//gsiB//pdxB//dbpA//hofO//yhbX//rusA//thiL//rseP//
GO_0006097_5	ilvB//glgP//fruA//uxaC//spy//
GO_0006098_6	chbR//hslO//sppA//lsrK//srlA//
GO_0006099_4	iscX//dcyD//fieF//rluE//yfcU//nadB//cyoC//cptB//truB//sodB//yajD//arnB//yfdR//mrcA//yhgF//glgA//aroP//
GO_0006101_6	potE//smpB//ydhQ//ybeY//iraD//sfsB//tus//rcsB//ykgO//folD//yehW//phoP//puuP//gmd//folX//pntA//zapA//
GO_0006103_5	skp//treF//yehP//
GO_0006104_6	fabD//rapA//sbmC//
GO_0006105_5	bioD//yebG//rraA//mnmE//dppC//dgcJ//ybdG//ypdI//
GO_0006106_8	yobA//
GO_0006107_8	dtpC//
GO_0006108_8	yjhG//tusC//setC//galR//rbsA//
GO_0006109_6	uvrD//mtlD//sfmH//yfdS//dinB//mtr//soxS//ldrB//fadH//
GO_0006112_5	mdoD//lolE//garD//insI1//dcp//dgoD//dhaK//ycbX//
GO_0006113_5	truA//yhhY//livJ//yfiR//malP//sufD//nrfC//leuE//yhdJ//cobB//uvrC//rimP//epd//
GO_0006115_6	mdoD//
GO_0006117_5	flgC//
GO_0006124_6	csrD//
